#OTU ID	mgm4440090	mgm4440419	mgm4440420	mgm4440421	mgm4440425	mgm4440426	mgm4440428	mgm4440429	mgm4440430	mgm4440432	mgm4440433	mgm4440434	mgm4440435	mgm4440436	mgm4440437	mgm4440438
Bacteroidota	0.10709219858156	0.41261404907432	0.0998930305274418	0.0671462829736211	0.0190684790311151	0.0592294422081656	0.135057471264368	0.150234131113424	0.145962162493112	0.0680147058823529	0.151080827067669	0.0242884250474383	0.0627101879327399	0.0654320987654321	0.0352577462831735	0.152479220406993
Ignavibacteriota	0.0004728132387706	8.8581805297192e-05	0.0001645684193203	0.0	6.44205372672808e-05	0.0	0.0	0.0001300728407908	0.0	0.0	0.0	0.0	0.0001978239366963	0.0012345679012345	0.0001736834792274	7.16537689882488e-05
Chlorobiota	0.0	8.8581805297192e-05	0.0	0.0	6.44205372672808e-05	0.0	0.0	0.0001300728407908	0.0	0.0	0.0	0.0	0.0003956478733926	0.0	0.0001042100875364	0.0001146460303811
Balneolota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94733916909824e-05	2.86615075952995e-05
Gemmatimonadota	0.0002364066193853	8.8581805297192e-05	0.0	0.0023980815347721	0.0003221026863364	0.0005750431282346	0.0	0.0002601456815816	0.0002449029572032	0.0	0.0001174812030075	0.0003795066413662	0.0001978239366963	0.0	0.0002778935667639	0.0001146460303811
candidate.division.Zixibacteria	0.0001182033096926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Marinimicrobia	0.0001182033096926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018382352941176	0.0	0.0	0.0	0.0	0.0	1.43307537976498e-05
Elusimicrobiota	0.0008274231678487	0.0002657454158915	0.0	0.0007993605115907	0.0001288410745345	0.0017251293847038	0.0	0.0001300728407908	0.0001836772179024	0.0018382352941176	0.00015664160401	0.0003795066413662	0.0	0.0	0.0002431568709184	0.00024362281456
Acidobacteriota	0.0011820330969267	0.0003543272211887	8.22842096601662e-05	0.0015987210231814	0.0012239902080783	0.0	0.0043103448275862	0.0005202913631633	0.0010408375681136	0.0	0.000548245614035	0.0011385199240986	0.0009891196834817	0.0049382716049382	0.0009726274836737	0.0007881914588707
Myxococcota	0.0016548463356974	0.0013287270794578	8.22842096601662e-05	0.0063948840927258	0.0041873349223732	0.0	0.0043103448275862	0.0011706555671175	0.0014694177432192	0.0036764705882352	0.0014097744360902	0.003415559772296	0.0029673590504451	0.0037037037037037	0.0023273586216479	0.0019059902550874
