#OTU ID	mgm4533635	mgm4546120	mgm4546121	mgm4604227	mgm4654798	mgm4663010
Pseudomonadota	0.626046814079644	0.563204230567927	0.875047331734227	0.619037364196138	0.15503205295252	0.386576730762777
Actinomycetota	0.125364301744017	0.172333428794328	0.0361913795985647	0.0530835939263032	0.100380465940481	0.0997416020671835
Chloroflexota	0.0053284096781429	0.0143907448920139	0.0008335050364075	0.0036867726232309	0.202043049981758	0.118827253710975
Bacillota	0.0699772677528134	0.0170792885851693	0.0330929490294565	0.0768780424900867	0.0351800698389535	0.0434958667516807
Cyanobacteriota	0.0049496902583738	0.0097999762993393	0.0053532482981957	0.0516792933363422	0.0059206754573409	0.0052283633678982
Candidatus.Melainabacteria	0.0008605195449191	7.036133632225e-05	4.12087378074619e-05	0.0005557883877623	0.0001980507635378	0.0001387071154513
Candidatus.Margulisbacteria	4.45018023229941e-05	2.71570070015702e-05	5.4426634840044e-06	0.000304974370547	4.16948975869078e-05	4.92186538698167e-05
Deinococcota	0.00317279686562	0.0028625954198473	0.0003980919576871	0.0005196814855411	0.0020534737061552	0.0026085886551002
Armatimonadota	0.0006302908329011	0.0010813426424261	8.31949989697816e-05	0.0003926625616557	0.0019283890133944	0.0012886338467733
Mycoplasmatota	0.0005871513306492	0.0003950110109319	0.0004323029853009	0.0031999742093555	0.0013863553447646	0.000545879615647
Thermomicrobiota	8.76413045748761e-05	0.0002123184183759	3.96536910977463e-05	4.90022244430833e-05	0.0002814405587116	0.0002997863462979
Candidatus.Kaiserbacteria	0.0002047991106905	0.0003234152652005	2.87683641297375e-05	0.0002746703633257	0.0004690675978527	0.0002908375001398
Candidatus.Nomurabacteria	0.0001321431068978	0.000274038888834	5.28715881303285e-05	0.0007073084238692	0.0009798300932923	0.0001991118270188
Candidatus.Yanofskybacteria	8.80954045985801e-05	0.0001110968468246	2.87683641297375e-05	0.0003539765949901	0.0004690675978527	0.000212535096256
Candidatus.Azambacteria	1.45312007585287e-05	5.43140140031403e-05	2.33257006457331e-06	0.0001218607949966	0.0001459321415541	8.50140385024106e-05
Candidatus.Falkowbacteria	0.000154848108083	0.0002073807807392	4.82064480011818e-05	0.0008562493955317	0.0009589826444988	0.0003982236540376
Candidatus.Magasanikbacteria	0.0002601993135824	0.0002468818818324	6.06468216789062e-05	0.0014204197427383	0.0007088132589774	0.0005078470194749
Candidatus.Nealsonbacteria	5.22215027259624e-05	6.04860610489517e-05	1.32178970325821e-05	0.0001773106805506	0.0044300828686089	0.0010738615389778
Candidatus.Uhrbacteria	0.0002134270111408	0.000304899124063	4.82064480011818e-05	0.0005383797027628	0.0007505081565643	0.0003467677886282
Candidatus.Giovannonibacteria	5.04051026311464e-05	4.69075575481667e-05	8.55275690343549e-06	0.0003333440794351	0.0001980507635378	0.0001163350000559
Candidatus.Moranbacteria	0.0001780072092919	0.0002296001501041	2.64357940651642e-05	0.000692478803314	0.0013029655495908	0.0003579538463259
Candidatus.Zambryskibacteria	1.99804010429769e-05	9.38151150963333e-05	7.77523354857772e-06	0.0006486347077597	0.0002188982123312	0.0001319954808326
Candidatus.Staskawiczbacteria	1.77099009244568e-05	5.80172422306272e-05	1.24403736777243e-05	0.0002198652438827	0.0008651691249283	0.0001610792308466
Candidatus.Wolfebacteria	3.85985020148418e-05	7.036133632225e-05	7.77523354857772e-06	0.0001302427544408	0.0004586438734559	0.0001901629808606
Candidatus.Harrisonbacteria	0.0001035348054045	4.07355105023553e-05	1.16628503228666e-05	8.31748283310229e-05	0.0002293219367279	0.0001006745192791
Candidatus.Taylorbacteria	3.49657018252096e-05	0.000122206531507	1.24403736777243e-05	0.0002018117927721	0.0002084744879345	8.72512500419477e-05
Candidatus.Buchananbacteria	5.58543029155946e-05	9.01118868688465e-05	1.24403736777243e-05	0.0003771881749895	0.0010527961640694	0.0001364699039117
Candidatus.Portnoybacteria	3.04247015881694e-05	4.19699199115175e-05	1.16628503228666e-05	0.0001753763822173	0.0008234742273414	0.0004161213463539
Candidatus.Adlerbacteria	1.58935008296407e-05	3.0860235229057e-05	3.88761677428886e-06	5.60946516651085e-05	0.0	4.25070192512053e-05
Candidatus.Sungbacteria	3.58739018726177e-05	5.43140140031403e-05	6.22018683886217e-06	6.12527805538541e-05	0.0001667795903476	0.0001163350000559
Candidatus.Jorgensenbacteria	2.77001014459453e-05	3.70322822748684e-05	9.33028025829326e-06	0.0001914955349946	0.0003856778026788	0.0001319954808326
Candidatus.Liptonbacteria	4.45018023229941e-05	5.43140140031403e-05	5.4426634840044e-06	3.15935394435668e-05	7.29660707770886e-05	0.0001230466346745
Candidatus.Tagabacteria	3.17870016592815e-06	1.23440940916228e-05	0.0	1.2895322221864e-06	9.38135195705426e-05	6.04047115675023e-05
Candidatus.Ryanbacteria	1.31689006874166e-05	2.71570070015702e-05	3.88761677428886e-06	9.73596827750733e-05	0.0001667795903476	7.15907692651879e-05
Candidatus.Wildermuthbacteria	3.58739018726177e-05	1.97505505465965e-05	0.0	0.0001173474322189	0.0001667795903476	0.0001029117308187
Candidatus.Komeilibacteria	2.36132012326091e-05	4.56731481390044e-05	6.22018683886217e-06	4.77126922208969e-05	0.000187627039141	0.0001006745192791
Candidatus.Kuenenbacteria	1.68017008770488e-05	3.0860235229057e-05	7.77523354857772e-06	0.0008111157677552	0.0003231354562985	6.26419231070394e-05
Candidatus.Lloydbacteria	2.90624015170574e-05	8.64086586413596e-05	3.88761677428886e-06	5.60946516651085e-05	7.29660707770886e-05	7.60651923442621e-05
