#OTU ID	mgm4441022	mgm4441021	mgm4441020	mgm4440984	mgm4446341	mgm4446342	mgm4700818	mgm4700821	mgm4700823	mgm4700824	mgm4700815	mgm4700822	mgm4700817	mgm4700820	mgm4700819	mgm4761314	mgm4761315	mgm4761316	mgm4761317	mgm4761318	mgm4761319	mgm4761320	mgm4761321	mgm4761322	mgm4761323	mgm4761324	mgm4761325	mgm4761326	mgm4761327	mgm4761328	mgm4761329	mgm4761330	mgm4761331	mgm4761332	mgm4761333	mgm4761334	mgm4761335	mgm4761336	mgm4761337	mgm4761338	mgm4761339	mgm4761340	mgm4761341	mgm4761342	mgm4761343	mgm4761344	mgm4761345	mgm4761346	mgm4761347	mgm4761348	mgm4761349	mgm4761350	mgm4761351	mgm4761352	mgm4761353	mgm4761354	mgm4761355	mgm4761356	mgm4761357	mgm4761358	mgm4761359	mgm4761360	mgm4761361	mgm4761362	mgm4761363	mgm4761364	mgm4761365	mgm4761366	mgm4761367	mgm4761368	mgm4761369	mgm4761370	mgm4761371	mgm4761372	mgm4761373	mgm4761374	mgm4761375	mgm4761376	mgm4761377	mgm4761378	mgm4761379	mgm4761380	mgm4761381	mgm4761382	mgm4761383	mgm4761384	mgm4761385	mgm4761386	mgm4761387	mgm4761388	mgm4761389	mgm4761390	mgm4761391	mgm4761392	mgm4761393	mgm4761394	mgm4761395	mgm4761396	mgm4761397	mgm4761398	mgm4761399	mgm4761400	mgm4761401	mgm4761402	mgm4761403	mgm4761404	mgm4761405	mgm4761406	mgm4761407	mgm4761408	mgm4761409	mgm4761410	mgm4761411	mgm4761412	mgm4761413	mgm4761414	mgm4761415	mgm4761416	mgm4761417	mgm4761418	mgm4761419	mgm4761420	mgm4761421	mgm4761422	mgm4761423	mgm4761424	mgm4761425	mgm4761426	mgm4761427	mgm4761428	mgm4761429	mgm4761430	mgm4761431	mgm4761432	mgm4761433	mgm4761434	mgm4761435	mgm4761436	mgm4761437	mgm4761438	mgm4761439	mgm4761440	mgm4761441	mgm4761442	mgm4761697	mgm4761698	mgm4761699	mgm4761700	mgm4761701	mgm4761702	mgm4761703	mgm4761704	mgm4761705	mgm4761706	mgm4761707	mgm4761708	mgm4761709	mgm4761710	mgm4761711	mgm4761712	mgm4761713	mgm4761714	mgm4761715	mgm4761716	mgm4761717	mgm4761718	mgm4761719	mgm4761720	mgm4761721	mgm4761722	mgm4761723	mgm4761724	mgm4761725	mgm4761726	mgm4761727	mgm4661593	mgm4661603	mgm4661604	mgm4661596	mgm4661597	mgm4661601	mgm4661598	mgm4661599	mgm4661602	mgm4661587	mgm4661588	mgm4661589	mgm4661590	mgm4661591	mgm4661594	mgm4661592	mgm4661595	mgm4661600	mgm4626019	mgm4626020	mgm4565980	mgm4565982	mgm4565983	mgm4565984	mgm4563526	mgm4548349	mgm4548350	mgm4572199	mgm4572122	mgm4572197	mgm4572123	mgm4572198	mgm4629617	mgm4629618	mgm4629619	mgm4629620	mgm4629621	mgm4629622	mgm4508047
Pseudomonadota	0.556132900324756	0.583400683866957	0.618115535614133	0.5632467660709	0.548170011806375	0.526580912116578	0.409701246976535	0.479720747712374	0.509125752276696	0.434639001980685	0.526810319754049	0.277934142215482	0.512972427933646	0.317542741422467	0.46037194470139	0.32481136126618	0.415778163484586	0.421055656672095	0.37264498689384	0.558240187158825	0.374673130600852	0.399616513544705	0.359949359216401	0.326765336842675	0.370517848965696	0.368020304568528	0.428291481201534	0.408753448441145	0.46244204761104	0.408765744797371	0.455548088024953	0.457456328751432	0.41022506316439	0.546232843842979	0.411154498481442	0.411697399111033	0.382558381151799	0.420190227190768	0.4095133184114	0.360284472864404	0.452087975971321	0.543150254597286	0.358349666797334	0.396189442585391	0.413239217429969	0.410105616898704	0.460871478873239	0.426334420283537	0.403721693555859	0.4087676676273	0.428458087108777	0.421639533208471	0.424671824741372	0.400874774175145	0.409424690505109	0.411801390584364	0.557828586709453	0.418572521155602	0.386088315748339	0.36349123338196	0.392740028978876	0.403701946966617	0.427433922799011	0.555705280467751	0.451182600815587	0.406014755533325	0.418993535202688	0.418825837972048	0.406040858719961	0.360674047222494	0.382961638688564	0.428818095484762	0.364679534540081	0.447817557626287	0.562317260518361	0.372814753622541	0.420965242417534	0.365404325773304	0.41108409570392	0.380327692576513	0.356014715238016	0.356611232580225	0.380320639784745	0.447449816942305	0.397590588590174	0.404541279085323	0.354157166742666	0.41710758377425	0.371129302893171	0.382372785057349	0.39297427696311	0.399174813217857	0.407714585258001	0.361169997379892	0.357881999499291	0.423426838514026	0.426417624996895	0.325768629941806	0.400417984030867	0.365346001273324	0.408398063292214	0.377414006491838	0.408443740350948	0.406452652354292	0.424906648562145	0.417819736715672	0.546475871517735	0.372169457937601	0.377957797450031	0.373848209889569	0.428535913319108	0.428895885523789	0.404821051705944	0.358051290632975	0.371197107193769	0.454534870182792	0.553487485707026	0.4172574669533	0.376955392183959	0.325780192172792	0.324512138503242	0.417686652169411	0.328017169605358	0.417463671815429	0.426525008953086	0.366387398578111	0.379702359346642	0.326958304256804	0.430949199427995	0.407823297137216	0.424872692125258	0.364106897644449	0.360319270239453	0.408621908127208	0.405122478888966	0.35976471661119	0.361790504478582	0.425264488143929	0.356838427276916	0.395741365878992	0.45440162730252	0.328375644047644	0.402497787393057	0.39476323707966	0.467571127027368	0.591179784323193	0.584299110894856	0.456769420468557	0.508870701966385	0.570830807067283	0.496297156123041	0.475069271362731	0.574352902899284	0.580899913701407	0.480646368136296	0.491986630099417	0.452532017389261	0.36460378960777	0.467892492909866	0.479445624231586	0.584987586916313	0.446998593203869	0.573659990358066	0.451900467303628	0.479556099413477	0.483813253215407	0.490750149191142	0.483895370339239	0.509676294531295	0.456149859422106	0.504207314254011	0.491878754347139	0.479639306653072	0.453081688604796	0.577832752352037	0.448367128032153	0.443544562491138	0.36363414421484	0.383161171391627	0.358103326256193	0.470933849450474	0.336116552178583	0.54187327566051	0.422287118833808	0.534808023627861	0.482128176016913	0.596644164866687	0.583011872898501	0.415669214550724	0.308405876453385	0.461098071358494	0.53163002394591	0.516227801592162	0.337381576196645	0.32227766434293	0.417708047896102	0.375481886268351	0.337274135260712	0.389460555035859	0.421328401910926	0.585270976131179	0.486132115619943	0.993127147766323	0.88766952397421	0.919502515169427	0.998230582080797	0.641792015258572	0.544260817878575	0.542359530351616	0.508049711589535	0.510150788235588	0.552417031969232	0.551419219006931	0.295672093998252
Actinomycetota	0.134049462902823	0.145352813179981	0.138754907459338	0.149205095289819	0.18642266824085	0.151389763425385	0.102362676195832	0.140105886507778	0.136844305827094	0.145150906396694	0.170650765632549	0.0766129032258065	0.154447057377539	0.0794522945543002	0.114105320745617	0.210155818661432	0.218468468468468	0.230481846920203	0.223541939711664	0.15734338445542	0.238460408403114	0.216742546095617	0.21695577815783	0.222801103279191	0.225177693272543	0.208186906156449	0.259119285574312	0.222553603953857	0.254413990247183	0.214283269441402	0.20901618156439	0.250536941580756	0.221279122568025	0.152116325942989	0.214806926202027	0.221141574616028	0.223167047616003	0.234177785791561	0.227204012515674	0.191916707656993	0.247786067241546	0.152026931985484	0.218090944727558	0.220714881472772	0.221246479917	0.22761641862698	0.256866197183099	0.250300800390605	0.225697155789669	0.218827764608681	0.240397242284964	0.24333669500072	0.253925063027036	0.206966498684669	0.224151187279231	0.225598428958123	0.155568926327049	0.244689512249278	0.2172886544223	0.221326140210839	0.195099011159409	0.226950354609929	0.245388857197186	0.152521469029783	0.247430901676484	0.227972989871202	0.229097482855515	0.238636818709703	0.212795362979219	0.213187028509846	0.221077510453912	0.255786737268219	0.219154045068341	0.241523622690862	0.156127657465682	0.23228917814642	0.239340270090768	0.229323802265381	0.220943983500629	0.215795911235366	0.230133045667026	0.221913028114578	0.226204267723009	0.241683499558137	0.218487236529543	0.217869023517975	0.214204286365709	0.22152076318743	0.208877815630244	0.225862007741202	0.197869514542054	0.20388060811062	0.219458774925522	0.224638544172641	0.216932320787783	0.256539044730857	0.255209756339882	0.212504077043242	0.223546433738814	0.197120329105245	0.216680981189773	0.23713892067347	0.219640172345943	0.211584162403835	0.238034042965909	0.220404535408859	0.154422286497184	0.236134271007033	0.216775235231891	0.230498698740944	0.255080900785183	0.252756143446178	0.226444336967992	0.224657992720579	0.202183512395257	0.207424779202635	0.151749036547664	0.222796505511595	0.242855563539882	0.215762084210183	0.210091207260637	0.236036036036036	0.214028011619086	0.235746497897649	0.258704389001631	0.205169543039882	0.218787658802178	0.221933879972087	0.256581569261786	0.210865886334791	0.253702891611552	0.195574099503539	0.191045803661711	0.228936716993254	0.206469397724894	0.225320322830696	0.234580219984221	0.250757815101654	0.220703424973122	0.196283793531262	0.249764568501149	0.223805252508396	0.201003048480677	0.191706699044502	0.106839380107886	0.136766993937443	0.136948732693414	0.208877928483354	0.11702186092497	0.13348932136666	0.108415554265815	0.221013937815898	0.135989805509363	0.136151082746302	0.222660296995511	0.234487487144326	0.207554928915521	0.222652725439202	0.106211145127059	0.110986922990947	0.137078029336419	0.208829458601036	0.132979795766315	0.20611959401137	0.109793662179839	0.228133544880667	0.233770423057693	0.233147295161887	0.115360027895624	0.21328884522882	0.117735447778446	0.237452576667721	0.227663777721132	0.207364546569927	0.133606956782488	0.314671939415087	0.318777410002298	0.37642688987706	0.361883316516598	0.386064197311673	0.393182791082912	0.470839388714875	0.27342903904606	0.330193959747877	0.266205185002871	0.283876861240523	0.285145121849215	0.25446679504792	0.345786729573797	0.576694771367426	0.249676667358572	0.286429476946192	0.232823993280874	0.0348672500669171	0.0203941089055081	0.212932457319832	0.132994120014019	0.143687701044438	0.119599487232789	0.234242564339652	0.0683935869839381	0.0599849503819098	0.0013931457230426	0.0017091351498233	0.0045236860200007	0.000903941763071	0.0643070787637089	0.163540431168084	0.15770621546019	0.21951499827606	0.21006040817493	0.149501560879799	0.144494475265479	0.267136764583866
Chloroflexota	0.0101423932050962	0.0060304631644389	0.006842400448682	0.004542312629604	0.0054309327036599	0.007106233696141	0.0055638456580495	0.0086860629646831	0.0080816271925674	0.0171239132100677	0.010010953060487	0.007123139425227	0.008112004985837	0.0046710675535829	0.0076621904210022	0.0281731182136065	0.031180262831639	0.0341986780342945	0.0341784076015727	0.0124252664413829	0.0334361686499192	0.0363403396853957	0.0336050463096639	0.027329595644571	0.0325123937324547	0.0274957698815567	0.024607373813723	0.0254359149153734	0.0199140022580413	0.0295386089813801	0.0225232211480467	0.0189361397479954	0.0221453770652136	0.0132834245129091	0.029878120932434	0.0218721119570479	0.0283234499624379	0.0329065993508835	0.0254415056308814	0.0269921298573537	0.0205794012208119	0.013362840986881	0.0304782438259506	0.0368896526082019	0.0293093226619238	0.0240398463754201	0.0200044014084507	0.0254067344412088	0.037547811585955	0.0224060431399935	0.032091267235719	0.0312635066993229	0.0254194557941407	0.029444391619917	0.0248041629987854	0.0252905896714612	0.0131924945402683	0.026274887129006	0.0292920411619122	0.0329470699953208	0.0303515595210859	0.0363079911460451	0.0323255371743678	0.0131212315000914	0.0216402356139556	0.0362761035388271	0.0339549232673754	0.0264907292459253	0.0225233903188789	0.0336435779367101	0.0283922186534149	0.0246338024115802	0.0342630217953454	0.0210724211214648	0.0128846820952475	0.031882828373038	0.0261456719061324	0.0298283882158156	0.0214189080519579	0.0282261858358311	0.0316986142228861	0.0302789372556814	0.0284016592548301	0.0209411690443126	0.0360846121941103	0.0225191077974083	0.0341807265541876	0.0308241141574475	0.0266436162098947	0.0276091047903128	0.02973463800721	0.0299966546481805	0.0247672233928812	0.0296548603005979	0.0335683885504465	0.024892595400556	0.0252353394103475	0.0272260656103548	0.0364289159209046	0.0278906900435869	0.0214529083650298	0.0323891366788875	0.0253877279194374	0.0226285898417046	0.031448523349983	0.0294032862496397	0.0126452529558025	0.0330602479518596	0.0288541840654752	0.0335513821481325	0.0252232281588597	0.0248759613603798	0.0367569468870911	0.0284273940509559	0.0270157504954626	0.0228198859005705	0.0129377885063313	0.0297305950692952	0.0331103863799679	0.0262647025236953	0.0267331626005302	0.0282075178626903	0.0260134322559159	0.0340079736824906	0.0249691615932514	0.0285963474905516	0.0289074410163339	0.0255364619678995	0.0263028342358816	0.0305140318713863	0.0256495162748239	0.0268300411957325	0.027989931369807	0.0246193382589142	0.0273571079628725	0.034061374310337	0.0285886666357265	0.0264616225354999	0.0308900322531101	0.0292853227156006	0.0205296266998154	0.0263668411940174	0.0299275576097289	0.0304070105051998	0.0114921791841816	0.0112023177209078	0.0112575750873623	0.022852445540485	0.0110128529056355	0.0114770757367446	0.0112594312246082	0.0194656010247985	0.0113513122695394	0.0108776366227146	0.0194255784505583	0.0193692149468632	0.0243802138409118	0.0320312085345788	0.0115695960032305	0.0116016541857606	0.0114437751599854	0.0235964670563154	0.011833282201867	0.0229335952614817	0.0116671589518545	0.0204401984944131	0.0192416251350785	0.019382711898598	0.0109839019003894	0.0223061549405508	0.0110499791945998	0.0184950995889978	0.0186241396890135	0.0234477953316469	0.0118164099104164	0.007203504826891	0.007786029638249	0.0118371261661871	0.0133951952467326	0.0099647129319336	0.0052254435078502	0.006466696153742	0.0065129763853168	0.0068895865274634	0.0116888177865288	0.0068198723720784	0.0028647973115925	0.0079423217796969	0.0070089511906772	0.0020269078599275	0.0047422120742786	0.004192001596394	0.005596044042222	0.0046832230421607	0.0042721308702533	0.0185504992894604	0.0068599836450721	0.0082879949168023	0.008037972490732	0.0159038372630606	0.002359455084644	0.0049036426849578	0.0	1.23514735307922e-05	1.20631627200019e-05	3.84656069391955e-05	0.001538861675842	0.004326337188315	0.0041618339360032	0.0056563861873596	0.0054478099803878	0.004496101915301	0.0043583163006562	0.0084284955376615
Bacillota	0.0197851611291531	0.0255517562946845	0.0234997195737521	0.0218228498074454	0.0217237308146399	0.0277952685076909	0.285462890721455	0.128749400128436	0.191009142132203	0.227935120792573	0.0804111684359558	0.549029973361333	0.0900012391114335	0.46297932494151	0.242169761406868	0.0469296362186369	0.0410157864286305	0.0402145799406073	0.0479603538663172	0.026800103977125	0.0442779491699721	0.0456912297919904	0.0456655487195433	0.0422563141100755	0.0489577318971868	0.040478979565274	0.0343215475490608	0.0366520030250418	0.0281294290038195	0.0428874589266156	0.0359130779437867	0.0302119129438717	0.0342659541024835	0.0289471158460505	0.0412377233463495	0.0344804823306782	0.0423413199494909	0.0392625315542734	0.0346876354985762	0.0479381865879652	0.0302683848464296	0.0289387559898349	0.0460211681693454	0.0452302714218243	0.0414999258929895	0.0357297167546808	0.0283670774647887	0.0345528100859679	0.0428682981060656	0.035035261485802	0.035593127599037	0.0374873937472987	0.0339824393636443	0.0420905834997306	0.0351559453104978	0.0345655750756329	0.0265744083433614	0.0377716922014161	0.0411619122052885	0.0446450689493821	0.0465187218790513	0.0431969101504269	0.0363424605438296	0.0272930750959255	0.0309741730856366	0.0423033637614105	0.0393979289068794	0.038284409915502	0.0380527193077973	0.0484373469187812	0.0431640506635961	0.0325093288056251	0.0469384927964536	0.0330063756743502	0.0251870756727291	0.0457031860501462	0.0378791233119327	0.0378702268008725	0.03586531820891	0.0438312342907835	0.0414903327524687	0.0456061308774487	0.0407713292723943	0.034149728569625	0.0445873081708835	0.0382066763580583	0.0508815929472564	0.0381994548661215	0.0418213250622871	0.0411384538901317	0.0456726208223782	0.0426346504107349	0.036839428257056	0.0415882619155372	0.0479637820245348	0.0367386909274703	0.0346489158242468	0.0467100406845999	0.0426450886876373	0.0451785102110779	0.0374694439987542	0.0441118090745627	0.0375064327013309	0.0380311757360938	0.0384801900974735	0.0393004708369367	0.0277160399857919	0.0443703327774958	0.0443043260397528	0.0467984337999109	0.0333858169839856	0.0341946992367603	0.0426486106225818	0.0435091829477471	0.0407843955356212	0.0378058313790064	0.0288188709609114	0.0383982070164204	0.0435022939583218	0.0447478751692524	0.0472360755417771	0.0377342860101481	0.0458472867213084	0.0400209145770245	0.0340814133938164	0.0451938578639956	0.0433974591651543	0.0433531053733426	0.0328902642004829	0.0432766887604005	0.03416952307651	0.0457378261328826	0.0460833458832641	0.0352842916800514	0.0412450275664736	0.046099129086681	0.0414674896737365	0.0338305738901744	0.0463446475195822	0.0461352029775816	0.0297962104945945	0.0431381547383133	0.0407119677451077	0.0466399197592778	0.0253657832542532	0.0206985353291486	0.0210664838324413	0.0362844225236334	0.0237833681203999	0.023398204999018	0.0242135809634359	0.0340856876314067	0.0215638782445232	0.0215646135629277	0.0330090940485783	0.0286038738429894	0.0381858771002232	0.0462024308688498	0.0261630636891235	0.0225997541075221	0.0209192605560666	0.0384475932183725	0.0230529868080817	0.0383218739768432	0.0235663952065488	0.0317152212807616	0.0292575926194739	0.0301247352318193	0.0227233102806997	0.0360590765895464	0.0232789310647741	0.0282564021498577	0.0317518480754525	0.0381253881458368	0.0219929532591177	0.0270435130978689	0.0274112245945642	0.0384026506234197	0.0346168299517394	0.064939548394574	0.0190973043308485	0.0258180406741106	0.0233397241056816	0.0261711810372101	0.0273894495036508	0.0243641441229822	0.0127175351672628	0.0247259046718466	0.0300134567504399	0.0240412330970362	0.0224904685617774	0.0178273781575735	0.0223720739975166	0.0629783110308757	0.0666433084850608	0.0332965849493063	0.0455471761789177	0.0495174933481593	0.0498908637355784	0.0312528895053167	0.0289770960213735	0.036842113013502	0.0001857527630723	0.0004708999283614	0.00033776855616	0.0003173412572483	0.0122675451905154	0.018684131244894	0.0189887549852072	0.0175406989566282	0.017943835758353	0.0222171625454685	0.0227413133346652	0.0500261697042188
Cyanobacteriota	0.124506620034974	0.0103201740752254	0.0156477846326416	0.0062209933840229	0.030224321133412	0.0515426823783395	0.0049533186529476	0.004804691092226	0.0039374295948855	0.0044046755521391	0.0047714319824558	0.0025880643702969	0.0062069129058298	0.0042325699950362	0.003516162354186	0.0243543340899331	0.018679229688404	0.0224159402241594	0.0280348951507208	0.0390174161684429	0.0263258410459821	0.0346137419008933	0.0284521244697155	0.0201186205404626	0.0288092062038346	0.0298711440843421	0.0158730158730159	0.0245944420182568	0.0166470489322347	0.0202457557502738	0.0214030915576694	0.017110538373425	0.0226227484951157	0.0436030329206258	0.0194848735849801	0.0215860581789376	0.0222335885427489	0.0220879913451136	0.0230625900882425	0.0405599278570257	0.0186997383974421	0.0455086788135673	0.0265974127793022	0.0342769286424889	0.0186379131465837	0.0234397503600576	0.0159551056338028	0.0160775629065165	0.0304273594769512	0.0223863714603271	0.0202998467936091	0.020919175911252	0.0156654785708076	0.0253874679090996	0.0241578730374514	0.0226500716522478	0.039399206667558	0.0184294278735845	0.0235606356649733	0.0258732212160414	0.0317750832507181	0.0319600668563943	0.0184208024339228	0.0408482550703453	0.0173448119619393	0.0282480930348881	0.0229313631093907	0.0191622281846942	0.0253042626081567	0.0286861957480161	0.0232258650990849	0.0144656440952737	0.025512560029553	0.0184894556154978	0.0394841171514941	0.0272165040523343	0.0185964135488156	0.0214449028934851	0.0217500307471074	0.024287960859689	0.0222388183553232	0.0250005521323351	0.021992600620352	0.0190948112612044	0.0351702424493797	0.024079838040793	0.0287847697218422	0.0182379349046016	0.02977068185285	0.0215368772415752	0.0309272761770526	0.027877931829164	0.0253069952354755	0.023342781602077	0.0286447467245264	0.0149102855698762	0.0162936837137677	0.0219902837622097	0.0338781415786935	0.0357755032077967	0.0245958113503157	0.0241225509656026	0.0256299002048374	0.0247633624682805	0.0216041899034964	0.0183290093206496	0.0438321408636525	0.0264868653181566	0.023787651021658	0.0272443787953389	0.0155172056599474	0.0149041320219517	0.0294253429475906	0.0246203405430281	0.0303536038385313	0.0221046853949404	0.0422860288823953	0.0172894845172209	0.0230224973743851	0.0240134423073786	0.0251905767473903	0.0196541368955162	0.022498103572684	0.0232674669397181	0.0151804544188453	0.0320849961677723	0.0243339382940109	0.0211967899511514	0.0155894694891811	0.0202545480186151	0.0156080796871224	0.0362047111017218	0.0406617757793507	0.0230774172823643	0.0248447204968944	0.0248734667821805	0.0211862440246902	0.0160614107742095	0.0248809706650284	0.0299777835482847	0.016781557238106	0.0202549072779991	0.0254695643622775	0.0300902708124373	0.210196828375038	0.0659262835989055	0.0699009156455965	0.0211755034936293	0.169065143359332	0.075745284066164	0.187324434126523	0.0219440538019187	0.0742806015472489	0.0724908182310795	0.0213681362956141	0.0173980116558108	0.0221478087181295	0.0260867257576562	0.210412636402907	0.201072985358221	0.0687912327032828	0.0239880494844165	0.0745672086602095	0.0237074738815966	0.199987341238027	0.0194612294500895	0.0180803535426848	0.0184413139226036	0.175655256581624	0.0213746146810745	0.173470803088446	0.0174083148909263	0.0205200101962784	0.0233872067132189	0.0727444806776866	0.0108789206373822	0.0100228325013568	0.0099119365245444	0.0083324209884689	0.0071831746524926	0.0054594909891719	0.0130038002220557	0.0130147299509002	0.0214158818232703	0.0079764541799983	0.0084432786542953	0.0057025334205852	0.0061119757793682	0.0139961100729498	0.006270252626425	0.0732798614770225	0.0211434172222744	0.0222195866382346	0.0096184843706955	0.0101463108168517	0.0102152010858829	0.0159265845458911	0.0145665382629761	0.0130617052974396	0.017753120665742	0.0094892459294196	0.0353121175931803	0.0	2.31590128702354e-05	6.03158136000097e-05	0.0001153968208175	0.169469851315618	0.0094886291156521	0.0092912477438642	0.0079922469303	0.0082127968163355	0.009063526984841	0.0085721750088365	0.0042996110383608
Candidatus Melainabacteria	0.0	0.0001243394466894	5.60852495793606e-05	9.87459267305224e-05	0.0001180637544273	0.0001799046505352	7.48913126258251e-05	5.93496117159843e-05	4.79969940168319e-05	5.4542331220795e-05	5.43246160219157e-05	3.94961986427891e-05	6.24565601264628e-05	6.03694611019439e-05	4.6790024366805e-05	0.0001840377890926	0.0003925944292916	0.0002682249257591	0.000245740498034	6.4985703145308e-05	0.0001469075951226	0.0002271839190134	0.0003331630499966	0.0001442195020821	0.0002190057140581	3.25393726408955e-05	0.0002799473698944	8.52124452776328e-05	0.0002161954406783	0.0002738225629791	0.000275724206862	0.0001789805269186	0.0002328641121473	0.0001055763508973	0.0003747091074034	0.0002530475729437	0.0002397583236098	0.0002028489001081	0.000128906753542	0.0001434661419904	0.0001550237380098	9.37743227149542e-05	0.000235201881615	0.0002612723965713	0.0002964280420927	3.60057609217475e-05	0.0001540492957746	6.10319633110712e-05	0.0001588204931376	0.00021638847633	8.20748522652659e-05	8.64428756663305e-05	5.21603060071286e-05	9.5084149472283e-05	0.0001448580947817	0.0001724961520089	8.91384766234345e-05	0.0001233562776009	6.51296079197603e-05	0.0002477223307918	0.000177940466204	0.0001806929574919	9.50751093363757e-05	0.0001598757536999	0.0001993656547349	0.0001750656496186	0.000196498398538	0.0002803251772055	0.0002931642473636	0.0002155383560301	0.0001818071632022	0.0001247038284075	0.000230882896195	0.000212522478339	7.43347043956589e-05	0.0002455960168791	0.0001106929377905	0.0001314025912591	0.000179752320224	0.000134410408742	0.0001659613310098	0.0002208529340312	0.00028027953212	0.0002998358793081	0.0001696768598469	0.0002943091316096	0.0002849977200182	0.0002405002405002	0.0001779630853714	0.0002308156670572	0.0001626324777057	0.0003345351819499	0.0001245627329063	0.0002620108139008	0.0003546691145789	0.0002527167045741	0.0001490275949429	0.0002574974679415	0.0002893735598306	0.0002448699740437	0.000235953677574	0.0002335193704317	0.0001412671664833	0.0002658396101019	0.0001939770137238	0.0004083789756894	0.000121784137616	0.0001933347833442	0.0001809476087077	0.000375137745891	0.0001864550746856	0.0001364668726666	0.0002088462891311	0.0002510145170062	0.0001043079169708	0.0002494885484756	6.35243298183204e-05	0.0002515665736632	0.0002763805207009	0.0002120752377689	0.0003444609186622	0.0001863932898415	7.4006919646987e-05	0.0001307161064029	8.95308583024949e-05	0.0001850040965192	0.0001742286751361	0.0001962665736217	0.0001640996788334	0.0004230714990833	0.0001252942176718	0.0003168902503432	0.0001721133366321	0.0001156440732412	0.0001395770814432	0.000364780447768	0.0001856406924397	7.68488553789929e-05	0.0002879741975119	0.0003173778816469	0.0001318416393566	0.0002294582698846	0.0002950142590225	0.0003431346671593	0.0001623698785834	7.51113257148989e-05	0.0001437607820586	0.0002466091245376	5.49269471602768e-05	0.0001537108357599	9.28612884503772e-05	0.0001392389200629	8.13390210396934e-05	0.0001204166415798	0.0001151145389662	0.0002571134727459	0.0002056162613088	0.0002388408258585	9.39090584677798e-05	0.0001341231697775	7.91272266896136e-05	0.0001305274760337	9.64193364596573e-05	0.0002976456231211	6.32938098653952e-05	0.0001519089896364	9.67726326994726e-05	0.0001008640688565	0.0001162317661416	0.0001524338606415	0.0001618197790004	0.0001185583306987	0.0001274534794799	0.0002575016283191	4.68533303347202e-05	5.6862973158092e-05	8.80053585484983e-05	0.0001116051966169	0.0001301940779448	0.00010356791466	6.42721062696833e-05	8.30452325717845e-05	8.60416179565116e-05	8.27431797717262e-05	9.8449421609648e-05	6.00294927507863e-05	3.69016399088776e-05	8.72559623216579e-05	0.0001007894263719	6.05440010108216e-05	8.33834521103997e-05	7.62982439665696e-05	6.53517254065724e-05	0.0002305466495515	0.0002827145428844	0.0001656863557286	0.0001168209135395	0.0002184186489813	0.0002078785988982	0.0001849283402681	9.30558310497922e-05	0.0001693450176486	0.0	0.0	0.0	0.0	0.0	8.41383016548104e-05	5.58219156840976e-05	2.79557801681695e-05	6.43020194406439e-05	6.30935595191722e-05	0.0001167955002996	0.0001419453540187
