samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4569549,0.99417931161041,0.0022846918762688,0.0001032240305543,0.001690580233745,0.0001663053825597,1.1469336728257e-06,0.0,4.70242805858537e-05,6.76690866967163e-05,1.37632040739084e-05,1.1469336728257e-06,0.0,0.0,3.4408010184771e-06,0.0,5.7346683641285e-06,0.0,0.0,3.4408010184771e-06,0.0,0.0,3.4408010184771e-06,0.0,0.0,2.2938673456514e-06,4.5877346913028e-06,1.1469336728257e-06,1.1469336728257e-06,0.0,1.1469336728257e-06,1.1469336728257e-06,0.0,0.0,0.0,1.1469336728257e-06,1.1469336728257e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4408010184771e-06,0.0,0.0,4.5877346913028e-06,0.0,0.0,0.0,2.2938673456514e-06,9.1754693826056e-06,1.1469336728257e-06,2.2938673456514e-06,0.0,0.0,1.1469336728257e-06,0.0,0.0,0.0,0.0,0.0,1.83509387652112e-05,6.8816020369542e-06,0.0,4.5877346913028e-06,1.1469336728257e-06,1.1469336728257e-06,1.1469336728257e-06,1.1469336728257e-06,0.0,0.0,0.0,1.1469336728257e-06,0.0,9.1754693826056e-06,2.2938673456514e-06,2.52325408021654e-05,2.2938673456514e-06,0.0,0.0,0.0,4.5877346913028e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1469336728257e-06,0.0,0.0,0.0,1.1469336728257e-06,0.0,0.0,0.0,0.0,0.0001433667091032,9.1754693826056e-06,3.09672091662939e-05,4.5877346913028e-06,6.8816020369542e-06,3.4408010184771e-06,0.0002030072600901,5.84936173141107e-05,0.0001617176478684,0.0002316806019107,0.0,1.1469336728257e-06,0.0,1.26162704010827e-05,2.2938673456514e-06,4.5877346913028e-06,0.0,0.0,0.0,2.52325408021654e-05,0.0001318973723749,0.0001192811019738,1.26162704010827e-05,0.0,5.39058826228079e-05,4.5877346913028e-06,5.7346683641285e-06,0.0,2.2938673456514e-06,0.0,0.0,1.1469336728257e-06,0.0,6.8816020369542e-06,1.1469336728257e-06,0.0,0.0,2.86733418206425e-05,0.0,1.1469336728257e-06,0.0,4.12896122217252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4569550,0.935515302489993,0.0075303634882703,0.0015271527777448,0.0391899579056303,0.0015156903146324,5.96861984551177e-06,7.05382345378664e-06,0.0005090961427319,0.0002126320819963,0.0001487407195591,2.21788487441176e-05,9.63118202343945e-06,1.83806361151556e-05,0.0001215428041267,5.90079461999459e-06,7.12843120185554e-05,6.53156921730436e-05,1.11233369848174e-05,6.64687210068356e-06,4.27298920758229e-06,1.3632870328953e-05,4.10342614378934e-05,1.55998018689512e-06,4.06951353103075e-07,6.95886813806259e-05,3.11317785123853e-05,2.75370415599748e-05,0.0001075029824447,5.76514416896023e-06,4.14412127909965e-05,5.16828218440906e-05,3.87960289958265e-05,6.78252255171792e-08,4.5782027224096e-05,2.17040721654973e-06,3.66256217792768e-06,1.35650451034358e-06,6.57904687516638e-06,3.73038740344486e-05,4.06951353103075e-07,1.35650451034358e-07,1.35650451034358e-07,1.35650451034358e-07,1.35650451034358e-07,3.45908650137614e-06,5.08689191378844e-06,0.0,4.8834162372369e-06,0.0,0.0,1.41076469075733e-05,4.59176776751303e-05,6.8503477772351e-05,8.13902706206151e-07,2.31284019013581e-05,1.20728901420579e-05,9.29205589585355e-06,4.20516398206511e-06,1.64815298006746e-05,2.03475676551538e-07,1.35650451034358e-07,6.64687210068356e-06,2.44170811861845e-05,6.5112216496492e-06,0.0,1.42432973586076e-06,8.74945409171612e-05,5.08010939123672e-05,9.49553157240509e-07,1.31580937503328e-05,0.0001191010960081,1.9669315399982e-06,1.30224432992984e-05,0.0001928949413708,5.21575984227108e-05,0.0001187619698805,0.0,8.88510454275048e-06,1.28867928482641e-06,1.11233369848174e-05,2.71300902068717e-07,1.08520360827487e-06,3.39126127585896e-06,2.84865947172153e-06,7.66425048344125e-06,4.58498524496132e-05,6.10427029654613e-07,3.23526325716945e-05,0.0,5.08689191378844e-05,5.01906668827126e-06,2.71300902068717e-06,2.78083424620435e-06,3.39126127585896e-05,3.32343605034178e-06,0.0,9.97030815102534e-06,6.64687210068356e-06,2.03475676551538e-07,6.78252255171792e-08,6.78252255171792e-08,0.0,0.0,0.0011163353867872,0.000450359497434,0.000225044098266,3.66256217792768e-05,1.18694144655064e-05,6.10427029654613e-07,0.0022024207229938,0.0004902407300381,0.000391080250332,0.0027645561920802,0.0001121829230054,7.6845980510964e-05,1.50572000648138e-05,7.43364471668284e-05,7.43364471668284e-05,2.57057604710109e-05,8.13902706206151e-07,6.98599822826946e-06,2.71300902068717e-07,0.0004032209656996,0.0005063153084857,0.0004241111351589,8.83084436233673e-05,3.39126127585896e-07,0.0009760049951922,0.0001936410188515,0.0002854763742018,6.30774597309767e-06,3.08604776103165e-05,3.63543208772081e-05,3.94742812509983e-05,7.82703102468248e-05,3.81856019661719e-05,1.91267135958445e-05,6.53156921730436e-05,6.17209552206331e-06,0.0,8.37641535137163e-05,2.4959682990322e-05,1.28189676227469e-05,0.0,0.0004476464884133,8.8172793172333e-07,0.0,2.03475676551538e-07,5.42601804137434e-07,0.0,0.0,0.0,0.0,6.78252255171792e-08,0.0,0.0,1.22085405930923e-06
mgm4569551,0.912904388546573,0.0298978292509079,0.0006293827103264,0.033724065143261,0.0011091854750704,1.32614807984511e-05,2.15051039974882e-05,0.0003100319159637,7.82546839908599e-05,0.0011577511682647,9.49808759889062e-06,2.28193047973347e-05,3.18395011962811e-05,4.1994689195095e-05,4.77891199944182e-06,7.53873367911948e-05,7.11460523916901e-05,1.48146271982697e-05,2.00714303976557e-05,1.8398811197851e-05,1.89364387977882e-05,1.23654347985557e-05,1.37393719983952e-06,2.56866519969998e-06,3.64392039957439e-05,2.31179867972998e-05,3.47665847959393e-05,2.24608863973766e-05,4.77891199944182e-06,1.50535727982417e-05,9.91624239884178e-06,8.30335959903017e-06,1.13499159986743e-06,1.8219601997872e-05,1.07525519987441e-06,6.33205839926042e-06,6.15284919928135e-06,1.63080371980952e-05,2.56269155970068e-05,2.80761079967207e-06,1.13499159986743e-06,2.38945599972091e-07,3.58418399958137e-07,5.37627599937205e-07,6.92942239919064e-06,1.67261919980464e-06,5.97363999930228e-08,8.6617779989883e-06,2.38945599972091e-07,5.97363999930228e-07,4.66541283945508e-05,2.60450703969579e-05,3.35718567960788e-05,1.00357151988278e-05,2.57463883969928e-05,6.39179479925344e-06,2.67021707968812e-05,6.21258559927437e-06,2.628401599693e-06,2.15051039974882e-06,7.76573199909296e-07,8.6617779989883e-06,1.25446439985348e-05,3.16602919963021e-06,4.1815479995116e-07,2.80761079967207e-06,2.38348235972161e-05,0.0001296877243848,1.17083343986325e-05,2.41932419971742e-05,5.28069775938321e-05,8.42283239901621e-06,2.28193047973347e-05,9.26511563891783e-05,1.15888615986464e-05,1.89364387977882e-05,0.0,3.05253003964346e-05,5.85416719931623e-06,1.41575267983464e-05,8.06441399905808e-06,3.88286599954648e-06,5.79443079932321e-06,1.61288279981162e-06,7.3475771991418e-06,7.76573199909296e-06,3.52444759958834e-06,7.28784079914878e-06,2.68813799968603e-06,9.67729679886969e-06,2.03103759976278e-06,8.60204159899528e-06,8.72151439898133e-06,8.18388679904412e-06,1.73235559979766e-06,5.97363999930228e-06,9.37861479890458e-06,2.98681999965114e-06,1.01551879988139e-06,1.67261919980464e-05,1.19472799986046e-07,1.19472799986046e-07,5.97363999930228e-08,0.0016535632882068,0.0002106305463753,0.000950286651089,5.81235171932112e-05,5.86611447931484e-05,7.46704999912785e-06,0.0013400069246434,0.0006321903211261,0.0006446154923247,0.0092740760989167,0.0001083020931873,8.6617779989883e-05,5.4957487993581e-06,7.13849979916622e-05,3.53639487958695e-05,1.42769995983324e-05,1.79209199979068e-07,7.94494119907203e-06,2.98681999965114e-07,0.0002179781235745,0.0004314162807496,0.0006532772703236,3.71560407956602e-05,1.3142007998465e-05,0.0009434169650898,0.0001299864063848,7.55068095911808e-05,2.32971959972789e-06,0.0002017298227764,0.0001135588963867,4.7132019594495e-05,1.88169659978022e-05,2.29985139973138e-05,1.8458547597844e-05,3.22576559962323e-05,2.74787439967905e-06,5.97363999930228e-08,6.42166299924995e-05,5.25680319938601e-06,2.52087607970556e-05,0.0,0.000539359955537,1.07525519987441e-06,1.19472799986046e-07,1.01551879988139e-06,4.24128439950462e-06,1.79209199979068e-07,5.97363999930228e-08,4.77891199944182e-07,1.73235559979766e-06,2.50892879970696e-06,3.10629279963718e-06,5.97363999930228e-08,3.58418399958137e-07
mgm4575355,0.66499162479062,0.164640406332739,0.0075106716377586,0.0115091586967094,0.0141568055330416,0.0,0.0,0.0023234451829037,0.0009726049602852,0.0002701680445236,0.0002161344356189,0.0004863024801426,0.0001080672178094,5.40336089047387e-05,0.0,0.0001080672178094,0.0001621008267142,5.40336089047387e-05,0.0002161344356189,0.0,0.0001080672178094,5.40336089047387e-05,0.0002161344356189,0.0001080672178094,0.0001080672178094,5.40336089047387e-05,0.0,0.0,0.0001621008267142,0.0,0.0001080672178094,0.0001080672178094,0.0,0.0,5.40336089047387e-05,0.0001080672178094,0.0001080672178094,0.0001080672178094,5.40336089047387e-05,0.0,5.40336089047387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40336089047387e-05,0.0,0.0001621008267142,5.40336089047387e-05,5.40336089047387e-05,0.0,5.40336089047387e-05,0.0,0.0,0.0,0.0,0.0,5.40336089047387e-05,0.0,0.0,5.40336089047387e-05,0.0002701680445236,0.0037823526233317,0.0003242016534284,0.0001080672178094,0.0005943696979521,0.0001080672178094,0.0,0.0002161344356189,0.0001621008267142,0.0001080672178094,5.40336089047387e-05,5.40336089047387e-05,0.0007564705246663,5.40336089047387e-05,5.40336089047387e-05,0.0001621008267142,0.0,0.0003242016534284,0.0,0.0,5.40336089047387e-05,0.0,0.0,0.0,5.40336089047387e-05,0.0,0.0,0.0,5.40336089047387e-05,0.0001621008267142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138326038796131,0.0009185713513805,0.003512184578808,0.0007024369157616,0.0002161344356189,0.0004322688712379,0.0063759658507591,0.0073485708110444,0.0004863024801426,0.0422542821635057,0.0005943696979521,0.0003782352623331,5.40336089047387e-05,0.0050791592370454,0.0,5.40336089047387e-05,0.0,0.0,0.0,0.0016750418760469,0.0172907548495164,0.0115091586967094,5.40336089047387e-05,0.0001621008267142,0.0005403360890473,0.0002701680445236,0.0001621008267142,5.40336089047387e-05,0.0002161344356189,0.0001621008267142,0.0,0.0,5.40336089047387e-05,0.0,0.0,5.40336089047387e-05,0.0,0.0034581509699032,0.0,0.0,0.0,0.0047009239747122,0.0,0.0,0.0001080672178094,0.0,0.0,0.0,0.0,5.40336089047387e-05,0.0,0.0,0.0,0.0
mgm4575356,0.669126853377265,0.156891817682592,0.0069192751235584,0.0119714442613948,0.0149038989566172,8.78638110928062e-05,0.0,0.0020208676551345,0.0006699615595826,0.0003624382207578,0.0002306425041186,0.0003404722679846,0.0001537616694124,0.0001317957166392,6.58978583196046e-05,0.0001208127402526,0.000109829763866,7.68808347062054e-05,0.0002086765513454,5.49148819330038e-05,0.0001867105985722,2.19659527732015e-05,2.19659527732015e-05,2.19659527732015e-05,2.19659527732015e-05,5.49148819330038e-05,5.49148819330038e-05,1.09829763866008e-05,0.0001537616694124,6.58978583196046e-05,5.49148819330038e-05,2.19659527732015e-05,1.09829763866008e-05,3.29489291598023e-05,3.29489291598023e-05,5.49148819330038e-05,1.09829763866008e-05,7.68808347062054e-05,0.0,1.09829763866008e-05,0.0,2.19659527732015e-05,0.0,1.09829763866008e-05,2.19659527732015e-05,0.0,2.19659527732015e-05,1.09829763866008e-05,0.0,0.0,7.68808347062054e-05,7.68808347062054e-05,0.000164744645799,0.0001208127402526,0.0001317957166392,3.29489291598023e-05,2.19659527732015e-05,0.0,2.19659527732015e-05,4.39319055464031e-05,2.19659527732015e-05,4.39319055464031e-05,3.29489291598023e-05,1.09829763866008e-05,2.19659527732015e-05,0.0,0.000329489291598,0.0037781438769906,0.0002416254805052,1.09829763866008e-05,0.0004722679846238,5.49148819330038e-05,0.000109829763866,0.000274574409665,8.78638110928062e-05,8.78638110928062e-05,1.09829763866008e-05,5.49148819330038e-05,0.0008127402526084,8.78638110928062e-05,2.19659527732015e-05,0.0001317957166392,0.0,0.000384404173531,1.09829763866008e-05,1.09829763866008e-05,2.19659527732015e-05,5.49148819330038e-05,0.0,1.09829763866008e-05,2.19659527732015e-05,4.39319055464031e-05,1.09829763866008e-05,3.29489291598023e-05,0.0,3.29489291598023e-05,1.09829763866008e-05,1.09829763866008e-05,1.09829763866008e-05,2.19659527732015e-05,0.0,0.0,1.09829763866008e-05,0.0144645799011532,0.000768808347062,0.0042174629324547,0.000494233937397,0.0001208127402526,8.78638110928062e-05,0.0058099945085118,0.0074574409665019,0.0005930807248764,0.0489621087314662,0.0008676551345414,0.0004283360790774,5.49148819330038e-05,0.0044371224601867,5.49148819330038e-05,4.39319055464031e-05,1.09829763866008e-05,2.19659527732015e-05,0.0,0.0017023613399231,0.0145414607358594,0.0116858868753432,0.0001427786930258,0.0001976935749588,0.0010104338275672,0.0004283360790774,0.0002635914332784,0.0,0.000109829763866,6.58978583196046e-05,5.49148819330038e-05,1.09829763866008e-05,7.68808347062054e-05,3.29489291598023e-05,6.58978583196046e-05,1.09829763866008e-05,0.0,0.0026798462383305,0.0,8.78638110928062e-05,1.09829763866008e-05,0.0042394288852279,5.49148819330038e-05,0.0,3.29489291598023e-05,0.0,1.09829763866008e-05,0.0,1.09829763866008e-05,2.19659527732015e-05,0.0,0.0,0.0,0.0
mgm4575357,0.64451313755796,0.156877897990726,0.0030911901081916,0.017774343122102,0.0316846986089645,0.0,0.0,0.0007727975270479,0.0007727975270479,0.0,0.0,0.0007727975270479,0.0,0.0,0.0,0.0,0.0007727975270479,0.0007727975270479,0.0007727975270479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007727975270479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038639876352395,0.0,0.0,0.0,0.0,0.0,0.0007727975270479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007727975270479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008500772797527,0.0,0.0015455950540958,0.0,0.0,0.0,0.0007727975270479,0.0023183925811437,0.0015455950540958,0.0950540958268934,0.0007727975270479,0.0,0.0,0.0046367851622874,0.0,0.0,0.0,0.0,0.0,0.0007727975270479,0.0061823802163833,0.0054095826893353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007727975270479,0.0,0.0007727975270479,0.0,0.0,0.0,0.0007727975270479,0.0,0.0,0.0,0.0054095826893353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4575358,0.642341888944808,0.165492367052508,0.0036067773863445,0.0133366884750881,0.036990437845999,0.0,0.0,0.0011742996141587,0.0006710283509478,0.0003355141754739,0.0001677570877369,0.0001677570877369,0.0,0.0,8.38785438684784e-05,0.0,0.0,8.38785438684784e-05,0.0001677570877369,0.0,8.38785438684784e-05,0.0,0.0,0.0,0.0,8.38785438684784e-05,8.38785438684784e-05,0.0,8.38785438684784e-05,0.0001677570877369,0.0,0.0,0.0,0.0,0.0,0.0001677570877369,0.0,8.38785438684784e-05,0.0,8.38785438684784e-05,0.0001677570877369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003355141754739,0.0001677570877369,8.38785438684784e-05,8.38785438684784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38785438684784e-05,0.001761449421238,0.0,0.0,8.38785438684784e-05,0.0,0.0,8.38785438684784e-05,0.0,0.0001677570877369,0.0,8.38785438684784e-05,0.0001677570877369,8.38785438684784e-05,0.0001677570877369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38785438684784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38785438684784e-05,8.38785438684784e-05,8.38785438684784e-05,0.0,0.0,0.0,0.009478275457138,0.0005871498070793,0.0030196275792652,0.0004193927193423,0.0,0.0001677570877369,0.0046133199127663,0.0040261701056869,0.0010065425264217,0.0800201308505284,0.0007549068948163,8.38785438684784e-05,0.0,0.0036067773863445,0.0,0.0,0.0,0.0,0.0,0.0008387854386847,0.009646032544875,0.0059553766146619,0.0002516356316054,0.0,0.0007549068948163,0.0004193927193423,8.38785438684784e-05,0.0,0.0002516356316054,0.0002516356316054,8.38785438684784e-05,0.0,8.38785438684784e-05,0.0,0.0,0.0,0.0,0.0002516356316054,0.0,0.0,0.0,0.0039422915618184,0.0,0.0,8.38785438684784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4575359,0.648622126091484,0.166165985740607,0.0040254746455179,0.014479692381639,0.0294800929263799,2.00272370423776e-05,2.00272370423776e-05,0.0019826964671953,0.0007810622446527,0.0003805175038051,0.000160217896339,0.0003004085556356,8.01089481695105e-05,4.00544740847553e-05,0.0,6.00817111271329e-05,0.0002202996074661,0.0,0.0003604902667627,0.0001001361852118,8.01089481695105e-05,2.00272370423776e-05,2.00272370423776e-05,8.01089481695105e-05,2.00272370423776e-05,2.00272370423776e-05,0.0001401906592966,4.00544740847553e-05,0.0002202996074661,2.00272370423776e-05,8.01089481695105e-05,2.00272370423776e-05,4.00544740847553e-05,6.00817111271329e-05,0.0,0.0001001361852118,4.00544740847553e-05,8.01089481695105e-05,4.00544740847553e-05,2.00272370423776e-05,6.00817111271329e-05,0.0,2.00272370423776e-05,2.00272370423776e-05,6.00817111271329e-05,2.00272370423776e-05,0.0,2.00272370423776e-05,0.0,0.0,2.00272370423776e-05,4.00544740847553e-05,0.0001401906592966,4.00544740847553e-05,4.00544740847553e-05,4.00544740847553e-05,2.00272370423776e-05,0.0,6.00817111271329e-05,0.0,4.00544740847553e-05,0.0,6.00817111271329e-05,0.0,2.00272370423776e-05,2.00272370423776e-05,0.000160217896339,0.0011816069855002,6.00817111271329e-05,4.00544740847553e-05,0.0002002723704237,2.00272370423776e-05,8.01089481695105e-05,0.0002202996074661,4.00544740847553e-05,4.00544740847553e-05,0.0,6.00817111271329e-05,0.0001001361852118,4.00544740847553e-05,0.0,2.00272370423776e-05,0.0,2.00272370423776e-05,2.00272370423776e-05,0.0,0.0,2.00272370423776e-05,0.0,0.0,0.0,2.00272370423776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00272370423776e-05,0.0,0.0081110310021629,0.0005006809260594,0.0036049026676279,0.0002403268445085,0.0002803813185932,6.00817111271329e-05,0.0039453656973483,0.0033846030601618,0.0008211167187374,0.0801089481695105,0.0004606264519746,0.0004205719778899,2.00272370423776e-05,0.0036649843787551,0.0001201634222542,8.01089481695105e-05,0.0,0.0,2.00272370423776e-05,0.0007610350076103,0.0092726107506208,0.0064687975646879,2.00272370423776e-05,0.0001001361852118,0.0008211167187374,0.000480653689017,0.0001001361852118,0.0,0.0001201634222542,8.01089481695105e-05,2.00272370423776e-05,4.00544740847553e-05,0.0001001361852118,6.00817111271329e-05,0.0,2.00272370423776e-05,0.0,0.000160217896339,0.0,0.0001001361852118,0.0,0.0038452295121365,0.0,0.0,4.00544740847553e-05,0.0,0.0,0.0,0.0,2.00272370423776e-05,0.0,0.0,0.0,0.0
mgm4575360,0.691249083691789,0.150896944717224,0.0053664541292651,0.0111616713461778,0.0097647335444876,6.91553367173345e-05,2.76621346869338e-05,0.0021576465055808,0.0005532426937386,0.0001936349428085,0.0001383106734346,0.0003181145488997,0.0001521417407781,8.29864040608014e-05,1.38310673434669e-05,6.91553367173345e-05,0.0001659728081216,8.29864040608014e-05,0.000207466010152,5.53242693738676e-05,4.14932020304007e-05,6.91553367173345e-05,4.14932020304007e-05,1.38310673434669e-05,4.14932020304007e-05,8.29864040608014e-05,6.91553367173345e-05,1.38310673434669e-05,0.0001521417407781,5.53242693738676e-05,5.53242693738676e-05,1.38310673434669e-05,1.38310673434669e-05,4.14932020304007e-05,1.38310673434669e-05,5.53242693738676e-05,2.76621346869338e-05,5.53242693738676e-05,4.14932020304007e-05,2.76621346869338e-05,2.76621346869338e-05,4.14932020304007e-05,0.0,2.76621346869338e-05,2.76621346869338e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.53242693738676e-05,6.91553367173345e-05,0.0001106485387477,5.53242693738676e-05,4.14932020304007e-05,4.14932020304007e-05,4.14932020304007e-05,0.0,0.0,4.14932020304007e-05,0.0,1.38310673434669e-05,0.0,0.0,0.0,0.0002627902795258,0.0024757610544805,0.0001521417407781,0.0,0.000207466010152,2.76621346869338e-05,5.53242693738676e-05,0.0002766213468693,4.14932020304007e-05,4.14932020304007e-05,0.0,8.29864040608014e-05,0.0004564252223344,2.76621346869338e-05,2.76621346869338e-05,6.91553367173345e-05,1.38310673434669e-05,0.0001106485387477,5.53242693738676e-05,4.14932020304007e-05,1.38310673434669e-05,1.38310673434669e-05,0.0,6.91553367173345e-05,4.14932020304007e-05,1.38310673434669e-05,1.38310673434669e-05,2.76621346869338e-05,0.0,1.38310673434669e-05,0.0,1.38310673434669e-05,1.38310673434669e-05,0.0,0.0,0.0,0.0,0.0132363314476978,0.0006777222998298,0.0032503008257147,0.0003181145488997,0.0001659728081216,6.91553367173345e-05,0.0042737998091312,0.004384448347879,0.0008436951079514,0.0594459274422207,0.0006638912324864,0.0004840873570213,8.29864040608014e-05,0.0042876308764747,5.53242693738676e-05,9.68174714042683e-05,1.38310673434669e-05,4.14932020304007e-05,1.38310673434669e-05,0.0012724581955989,0.0120330285888162,0.0081050054632716,0.0001521417407781,0.0001106485387477,0.0006915533671733,0.0002766213468693,0.0001244796060912,0.0,6.91553367173345e-05,8.29864040608014e-05,0.0,1.38310673434669e-05,8.29864040608014e-05,5.53242693738676e-05,5.53242693738676e-05,1.38310673434669e-05,0.0,0.0013831067343466,1.38310673434669e-05,2.76621346869338e-05,0.0,0.003969516327575,8.29864040608014e-05,0.0,0.0,0.0,2.76621346869338e-05,0.0,1.38310673434669e-05,1.38310673434669e-05,1.38310673434669e-05,0.0,0.0,0.0
