samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Andersenbacteria,Candidatus.Parcubacteria,Candidatus.Veblenbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fischerbacteria,candidate.division.WOR.3,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Huberarchaea,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota
mgm4441363,0.32696161553877,0.0277092646832126,0.0076691845228919,0.0796207800215816,0.32472637582858,0.0032372437182056,0.0001541544627716,0.001503006012024,0.0004239247726221,0.0037767843379065,0.0002697703098504,0.0008478495452443,0.0020810852474179,0.0012332357021735,0.0003468475412363,0.0020810852474179,0.0024279327886542,0.0007322336981655,0.0018113149375674,0.0006166178510867,0.0045090180360721,0.0003853861569292,0.0003468475412363,0.0006166178510867,0.0006936950824726,0.0003083089255433,0.0005395406197009,0.0008093109295514,0.0001156158470787,0.0001926930784646,0.0003853861569292,0.0001926930784646,7.70772313858486e-05,0.0006551564667797,0.0001926930784646,0.000462463388315,0.001002004008016,0.0001541544627716,0.0005780792353938,0.0001541544627716,0.0001156158470787,0.0003468475412363,0.0002312316941575,0.0002697703098504,3.85386156929243e-05,0.0001156158470787,0.0,3.85386156929243e-05,0.0027362417141976,0.0023123169415754,0.0056266378911669,0.0018113149375674,0.0009249267766301,0.0006936950824726,0.0009634653923231,0.0005395406197009,0.000462463388315,0.0001926930784646,0.0001156158470787,0.0003853861569292,0.0024664714043471,0.0002312316941575,3.85386156929243e-05,0.0001156158470787,0.0001541544627716,0.0001926930784646,0.0001926930784646,0.0002697703098504,0.0003083089255433,3.85386156929243e-05,0.0012717743178665,0.0053568675813164,0.0005780792353938,0.0008863881609372,0.0001156158470787,0.000501002004008,0.0002312316941575,0.0002312316941575,0.0001156158470787,7.70772313858486e-05,7.70772313858486e-05,0.0004239247726221,0.0002312316941575,7.70772313858486e-05,3.85386156929243e-05,7.70772313858486e-05,0.0001156158470787,0.0,0.0001926930784646,3.85386156929243e-05,0.0001541544627716,7.70772313858486e-05,0.0002312316941575,0.0009249267766301,7.70772313858486e-05,3.85386156929243e-05,3.85386156929243e-05,0.0102127331586249,0.0012332357021735,0.0030060120240481,0.0009249267766301,0.0016571604747957,0.0001156158470787,0.0190380761523046,0.002004008016032,0.0073994142130414,0.0866348080776938,0.0056651765068598,0.0010405426237089,0.0001156158470787,0.0002312316941575,0.0005780792353938,0.0003083089255433,0.0,3.85386156929243e-05,7.70772313858486e-05,0.0018113149375674,0.003044550639741,0.0018113149375674,0.0002697703098504,7.70772313858486e-05,0.0045090180360721,0.0020810852474179,0.0001541544627716,3.85386156929243e-05,0.0021196238631108,0.0012717743178665,0.0001541544627716,3.85386156929243e-05,0.0005395406197009,0.000501002004008,0.0007707723138584,3.85386156929243e-05,0.0010405426237089,0.0001156158470787,0.0003083089255433,0.0028903961769693,0.0007707723138584,0.0001926930784646,7.70772313858486e-05,7.70772313858486e-05,0.0,7.70772313858486e-05,3.85386156929243e-05,0.0001926930784646
mgm4442466,0.916132522314549,0.0045918591997584,0.0001824163243739,0.0411254458192066,0.0204494989841298,0.0,6.2902180818609e-06,5.03217446548872e-05,2.51608723274436e-05,6.2902180818609e-05,6.2902180818609e-06,6.2902180818609e-06,0.0,3.14510904093045e-05,0.0,1.25804361637218e-05,1.25804361637218e-05,0.0,1.25804361637218e-05,0.0,1.25804361637218e-05,0.0,0.0,6.2902180818609e-06,0.0,6.2902180818609e-06,1.88706542455827e-05,1.25804361637218e-05,0.0,6.2902180818609e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.2902180818609e-06,0.0,1.25804361637218e-05,0.0,0.0,6.2902180818609e-06,0.0,0.0,0.0,0.0,6.2902180818609e-06,0.0,0.0,0.0,2.51608723274436e-05,1.25804361637218e-05,1.88706542455827e-05,6.2902180818609e-06,6.2902180818609e-06,0.0,0.0,0.0,0.0,0.0,1.88706542455827e-05,0.0,0.0,0.0,0.0,1.25804361637218e-05,0.0,0.0,2.51608723274436e-05,6.2902180818609e-06,1.88706542455827e-05,0.0001069337073916,0.0,1.25804361637218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88706542455827e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003899935210753,3.77413084911654e-05,3.77413084911654e-05,3.77413084911654e-05,1.25804361637218e-05,0.0,0.0005787000635312,3.77413084911654e-05,0.0001258043616372,0.0147568516200457,6.2902180818609e-05,8.80630531460526e-05,6.2902180818609e-06,0.0,1.25804361637218e-05,0.0,0.0,0.0,0.0,4.40315265730263e-05,0.0001132239254734,0.0001195141435553,0.0,0.0,0.0001258043616372,6.2902180818609e-06,6.2902180818609e-06,0.0,2.51608723274436e-05,2.51608723274436e-05,6.2902180818609e-06,0.0,0.0,6.2902180818609e-06,6.2902180818609e-06,0.0,1.25804361637218e-05,0.0,6.2902180818609e-06,0.0002138674147832,0.0,0.0,0.0,0.0,0.0,6.2902180818609e-06,0.0,0.0
mgm4442467,0.87183329765218,0.0057803468208092,0.0002140869192892,0.0663669449796617,0.028687647184757,0.0,0.0,7.13623064297438e-05,0.0,7.13623064297438e-05,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,7.13623064297438e-05,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001427246128594,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0002140869192892,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005708984514379,0.0,7.13623064297438e-05,0.0001427246128594,0.0,0.0,0.0004281738385784,0.0,0.0002140869192892,0.0231927495896667,7.13623064297438e-05,0.0002140869192892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002140869192892,0.0001427246128594,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.13623064297438e-05,0.0,0.0,0.0002854492257189,0.0,0.0,0.0,0.0,7.13623064297438e-05,7.13623064297438e-05,0.0,0.0
mgm4555202,0.519485921058104,0.0781516449694298,0.0018716466331156,0.0540697916233415,0.0095246017551886,8.31842948051408e-05,0.0,0.0007070665058436,0.0002495528844154,0.002703489581167,8.31842948051408e-05,0.0007486586532462,0.0002911450318179,8.31842948051408e-05,0.0,0.0005406979162334,0.0004991057688308,4.15921474025704e-05,0.0001663685896102,0.0,0.0004991057688308,0.0002495528844154,0.0002079607370128,0.0001247764422077,4.15921474025704e-05,0.0001247764422077,0.0001663685896102,8.31842948051408e-05,8.31842948051408e-05,4.15921474025704e-05,8.31842948051408e-05,4.15921474025704e-05,0.0,4.15921474025704e-05,0.0001247764422077,0.0001247764422077,4.15921474025704e-05,8.31842948051408e-05,0.0002495528844154,8.31842948051408e-05,0.0001247764422077,0.0,0.0,8.31842948051408e-05,4.15921474025704e-05,0.0,0.0,0.0,0.0001663685896102,0.0002079607370128,0.0003743293266231,0.0004159214740257,0.0002911450318179,8.31842948051408e-05,4.15921474025704e-05,0.0,8.31842948051408e-05,0.0,8.31842948051408e-05,0.0001663685896102,0.0003327371792205,0.0,0.0,0.0,0.0001247764422077,0.0002079607370128,4.15921474025704e-05,0.0002079607370128,0.0002911450318179,0.0,0.0002495528844154,0.0004159214740257,0.0,0.0002079607370128,4.15921474025704e-05,0.0022459759597388,0.0001247764422077,0.0,0.0,0.0,0.0,0.0,8.31842948051408e-05,4.15921474025704e-05,0.0,4.15921474025704e-05,4.15921474025704e-05,4.15921474025704e-05,8.31842948051408e-05,4.15921474025704e-05,0.0001247764422077,0.0,0.0,4.15921474025704e-05,4.15921474025704e-05,4.15921474025704e-05,0.0,0.0074449943850601,0.0006654743584411,0.0090254959863577,0.0004991057688308,0.0004159214740257,8.31842948051408e-05,0.0054069791623341,0.0009150272428565,0.0103980368506426,0.264734018217361,0.0015389094538951,0.0009982115376616,0.0008318429480514,0.0011645801272719,0.0001663685896102,0.0002495528844154,8.31842948051408e-05,8.31842948051408e-05,0.0,0.0007070665058436,0.0017884623383105,0.0017468701909079,0.0001663685896102,0.0002079607370128,0.0036185168240236,0.0014973173064925,8.31842948051408e-05,4.15921474025704e-05,0.0014557251590899,0.0004575136214282,8.31842948051408e-05,0.0001247764422077,0.0001663685896102,8.31842948051408e-05,0.0002911450318179,8.31842948051408e-05,0.0004159214740257,4.15921474025704e-05,0.0003743293266231,0.0026203052863619,4.15921474025704e-05,0.0,4.15921474025704e-05,4.15921474025704e-05,0.0,0.0,4.15921474025704e-05,0.0
