samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4454167,0.359034726309594,0.0220718069452619,0.0,0.0067686874632136,0.586521483225427,0.0,0.0,0.0005885815185403,0.0,0.0011771630370806,0.0,0.0002942907592701,0.0002942907592701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002942907592701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002942907592701,0.0,0.0,0.0002942907592701,0.0,0.0,0.0002942907592701,0.0,0.0002942907592701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002942907592701,0.0,0.0,0.0,0.0,0.0058858151854031,0.0,0.0,0.0,0.0,0.0,0.0026486168334314,0.0,0.0020600353148911,0.0079458505002942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005885815185403,0.0,0.0,0.0002942907592701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017657445556209,0.0002942907592701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4454183,0.392344385177527,0.0449749747397608,0.0010691543106891,0.0116667058298282,0.497556218718425,5.87447423455601e-05,1.1748948469112e-05,0.0010104095683436,0.0001644852785675,0.0004699579387644,4.69957938764481e-05,8.22426392837841e-05,0.0001174894846911,1.1748948469112e-05,0.0,7.04936908146721e-05,9.39915877528961e-05,0.0,4.69957938764481e-05,1.1748948469112e-05,4.69957938764481e-05,3.5246845407336e-05,1.1748948469112e-05,7.04936908146721e-05,0.0,4.69957938764481e-05,9.39915877528961e-05,2.3497896938224e-05,0.0,0.0,3.5246845407336e-05,0.0,2.3497896938224e-05,0.0,1.1748948469112e-05,0.0,0.0,1.1748948469112e-05,0.0,0.0,0.0,0.0,5.87447423455601e-05,0.0,0.0,1.1748948469112e-05,0.0,0.0,0.0,0.0,2.3497896938224e-05,4.69957938764481e-05,0.0001879831755057,7.04936908146721e-05,5.87447423455601e-05,0.0,3.5246845407336e-05,3.5246845407336e-05,0.0,0.0,0.0,8.22426392837841e-05,0.0,0.0,0.0,0.0,5.87447423455601e-05,0.0002232300209131,7.04936908146721e-05,0.0001174894846911,0.0002232300209131,0.0,3.5246845407336e-05,7.04936908146721e-05,3.5246845407336e-05,0.0,0.0,4.69957938764481e-05,4.69957938764481e-05,2.3497896938224e-05,0.0,5.87447423455601e-05,0.0,0.0,0.0,1.1748948469112e-05,1.1748948469112e-05,0.0,0.0,1.1748948469112e-05,0.0,8.22426392837841e-05,0.0,0.0,1.1748948469112e-05,0.0,0.0,1.1748948469112e-05,0.000105740536222,0.0,1.1748948469112e-05,1.1748948469112e-05,0.0,0.0095401461569189,0.0003877152994806,0.000634443217332,0.0001409873816293,0.000105740536222,0.0,0.0054985078835444,0.0006226942688629,0.0011866437953803,0.0203374298000329,0.0002702258147895,8.22426392837841e-05,0.0,0.0001409873816293,2.3497896938224e-05,8.22426392837841e-05,0.0,0.0,1.1748948469112e-05,0.0002349789693822,0.0009634137744671,0.0025025260239208,2.3497896938224e-05,3.5246845407336e-05,0.0008811711351834,0.0010104095683436,8.22426392837841e-05,0.0,0.0002702258147895,3.5246845407336e-05,0.0001292384331602,2.3497896938224e-05,1.1748948469112e-05,2.3497896938224e-05,1.1748948469112e-05,0.0,0.0,0.0001292384331602,1.1748948469112e-05,5.87447423455601e-05,0.0,0.001891580703527,0.0003407195056042,0.0,0.0001174894846911,1.1748948469112e-05,0.0,0.0,0.0,2.3497896938224e-05,0.0,0.0,0.0
mgm4623131,0.497405523618615,0.0033977800306441,0.0003009688605232,0.0243395965577227,0.0029986482802053,9.74428687180551e-05,3.93611587925149e-05,5.4721611004228e-05,7.53622186637175e-05,0.0009365075707828,1.3920409816865e-05,1.68004946065612e-05,0.0001092032149426,4.48813213060993e-05,3.12009185550423e-06,5.83217169913482e-05,0.0001317638791286,5.4961618070036e-05,8.66425507566943e-05,4.80014131616035e-06,4.89614414248355e-05,1.12803320929768e-05,1.4160416882673e-05,2.52007419098418e-05,3.00008832260022e-05,8.88026143489664e-06,2.16006359227216e-05,1.03203038297447e-05,7.20021197424052e-07,5.76016957939242e-06,3.36009892131224e-06,4.80014131616035e-07,9.6002826323207e-06,1.4400423948481e-06,1.68004946065612e-06,1.08003179613608e-05,3.60010598712026e-06,1.3920409816865e-05,6.9602049084325e-06,7.44021904004854e-06,2.16006359227216e-06,5.76016957939242e-06,3.84011305292828e-06,2.64007772388819e-06,9.6002826323207e-07,3.36009892131224e-06,2.40007065808017e-07,2.40007065808017e-05,0.0,2.40007065808017e-07,0.0001096832290742,8.18424094405339e-05,7.70422681243736e-05,7.22421268082132e-05,2.56807560414579e-05,2.68807913704979e-05,6.9602049084325e-06,7.68022610585656e-06,2.01605935278735e-05,2.40007065808017e-07,2.40007065808017e-07,1.00802967639367e-05,8.40024730328061e-06,1.60804734091372e-05,2.40007065808017e-07,1.92005652646414e-05,1.20003532904009e-06,8.64025436908863e-06,2.64007772388819e-06,6.8642020821093e-05,8.88026143489664e-06,2.40007065808017e-07,3.93611587925149e-05,0.0001490443878667,5.04014838196836e-06,3.16809326866583e-05,2.88008478969621e-06,8.3282451835382e-05,2.40007065808017e-06,3.33609821473144e-05,3.64810740028186e-05,4.80014131616035e-07,9.6002826323207e-07,4.0801201187363e-06,1.70405016723692e-05,1.12803320929768e-05,3.36009892131224e-06,2.40007065808017e-07,8.16024023747259e-06,2.40007065808017e-07,4.80014131616035e-07,8.01623599798778e-05,1.08003179613608e-05,7.20021197424052e-07,1.68004946065612e-06,0.0,7.68022610585656e-06,2.40007065808017e-07,9.6002826323207e-07,5.5201625135844e-06,1.92005652646414e-06,1.3920409816865e-05,1.4400423948481e-06,0.0008013835927329,0.0001742451297766,0.0001070431513503,0.0001692049813946,0.0001382440699054,1.20003532904009e-05,0.0540107100753046,0.0002397670587422,0.169164180193465,0.237676357191956,0.0006732198195914,0.0002373669880841,9.84028969812871e-06,6.00017664520043e-06,1.46404310142891e-05,7.65622539927575e-05,2.40007065808017e-07,1.92005652646414e-06,1.75205158039853e-05,0.0001720850661843,0.0001401641264318,0.0001382440699054,6.12018017810444e-05,7.20021197424052e-06,0.0009199470832421,0.0004111321037291,4.58413495693313e-05,7.44021904004854e-06,0.0011069125875065,0.0003228095035117,3.24009538840823e-05,1.68004946065612e-05,0.0001353639851157,6.8642020821093e-05,0.0002090461543187,4.1281215318979e-05,1.20003532904009e-06,8.73625719541183e-05,1.20003532904009e-06,0.0001219235894304,0.0,0.0006616994804327,4.72813919641794e-05,1.20003532904009e-05,4.89614414248355e-05,1.15203391587848e-05,1.20003532904009e-06,9.6002826323207e-07,2.61607701730739e-05,2.42407136466098e-05,8.64025436908863e-06,7.20021197424052e-07,4.80014131616035e-07
mgm4623132,0.285853821719285,0.0049519316556692,0.0005427641933581,0.0436819006953864,0.0061548043944156,0.0002503346176641,6.44462631784226e-05,7.78570462675742e-05,0.0001151092215152,0.0012762595239842,6.33286979209934e-06,4.35850450397425e-05,0.0001944563547926,6.8171480703187e-05,7.0779132970522e-06,0.0001195794825449,0.0002529422699314,5.66233063764176e-05,0.0001981815723174,8.56800030695792e-06,8.67975683270085e-05,2.19787833961095e-05,1.30382613366751e-05,5.6995828128894e-05,3.57620882377374e-05,1.49008700990573e-05,3.50170447327846e-05,2.64490444258266e-05,0.0,1.52733918515337e-05,1.15481743267694e-05,1.86260876238216e-06,1.67634788614394e-05,4.47026102971718e-06,1.11756525742929e-06,3.42720012278317e-05,1.30382613366751e-05,9.68556556438722e-06,1.30382613366751e-05,1.00580873168637e-05,6.70539154457577e-06,1.45283483465808e-05,8.19547855448149e-06,4.84278278219361e-06,2.23513051485859e-06,7.82295680200506e-06,1.11756525742929e-06,2.79391314357324e-05,0.0,7.45043504952863e-07,0.0001348528743964,0.0001776928759312,0.0001516163532579,7.71120027626213e-05,4.84278278219361e-05,5.88584368912762e-05,1.56459136040101e-05,9.31304381191079e-06,3.38994794753553e-05,7.45043504952863e-07,2.23513051485859e-06,2.08612181386802e-05,2.4213913910968e-05,1.34107830891515e-05,3.72521752476431e-07,3.24093924654495e-05,2.98017401981145e-06,2.57040009208738e-05,3.35269577228788e-06,0.0001985540940699,2.12337398911566e-05,1.49008700990573e-06,9.46205251290136e-05,0.000236923834575,1.41558265941044e-05,7.74845245150977e-05,6.33286979209934e-06,0.0001315001786241,1.11756525742929e-06,8.00921767824328e-05,0.0001266573958419,4.09773927724075e-06,3.72521752476431e-06,7.82295680200506e-06,3.5389566485261e-05,2.12337398911566e-05,1.11756525742929e-05,3.72521752476431e-07,1.04306090693401e-05,7.45043504952863e-07,2.98017401981145e-06,1.67634788614394e-05,3.24093924654495e-05,0.0,7.0779132970522e-06,1.86260876238216e-06,1.41558265941044e-05,3.72521752476431e-07,1.49008700990573e-06,8.94052205943436e-06,4.09773927724075e-06,5.10354800892711e-05,2.23513051485859e-06,0.0017568125846788,0.0004045586231894,0.000212709920664,0.000300252532496,0.0001922212242778,3.91147840100253e-05,0.251376188484086,0.0005964073257147,0.128104270328605,0.259126131022606,0.0011078796918649,0.0005498421066552,1.97436528812509e-05,4.32125232872661e-05,2.45864356634445e-05,0.0002294733995254,1.49008700990573e-06,5.9603480396229e-06,4.28400015347896e-05,0.0004757102779124,0.0003032327065158,0.0002033968768521,0.0001098939169805,2.75666096832559e-05,0.0018670790234118,0.0007722375928836,0.0001046786124458,1.71360006139158e-05,0.0012736518717169,0.0005137074966649,3.98598275149782e-05,1.93711311287744e-05,0.0001531064402678,0.0001255398305845,0.0011119774311421,8.34448725547207e-05,3.72521752476431e-07,0.0004202045367934,3.72521752476431e-06,0.0002019067898422,0.0,0.0012282042179147,0.000125912352337,3.35269577228788e-06,8.56800030695792e-05,1.8998609376298e-05,2.60765226733502e-06,7.45043504952863e-07,4.9172871326889e-05,2.90566966931617e-05,9.68556556438722e-06,7.45043504952863e-07,1.11756525742929e-06
mgm4623133,0.25575925868194,0.0049479595790448,0.0004973196696609,0.0515267713858592,0.0045560419886254,0.0002816907681139,4.41649557385494e-05,8.9814447804445e-05,8.68453751497526e-05,0.0015832579931147,4.08247490020205e-06,7.64536208583292e-05,0.0002445773599302,3.15463969561067e-05,1.00206202095868e-05,0.0001503093031438,0.000252000041567,4.23092853293667e-05,0.0002349278738025,9.64948612775029e-06,8.53608388224064e-05,2.67216538922316e-05,1.33608269461158e-05,7.16288777944541e-05,2.07835085828468e-05,1.74433018463178e-05,4.56494920658956e-05,9.64948612775029e-06,1.11340224550965e-06,6.68041347305789e-06,9.64948612775029e-06,1.11340224550965e-06,3.63711400199819e-05,3.34020673652895e-06,2.2268044910193e-06,3.63711400199819e-05,1.4845363273462e-05,6.30927939122134e-06,8.53608388224064e-06,1.52164973552985e-05,4.82474306387514e-06,4.08247490020205e-06,7.42268163673099e-06,7.42268163673099e-06,2.59793857285585e-06,7.42268163673099e-06,0.0,2.04123745010102e-05,3.7113408183655e-07,1.85567040918275e-06,0.0001035464088323,0.0001618144596807,0.0001729484821358,6.346392799405e-05,3.41443355289626e-05,6.30927939122134e-05,2.26391789920295e-05,1.8927838173664e-05,3.93402126746743e-05,3.7113408183655e-07,1.85567040918275e-06,1.29896928642792e-05,4.60206261477322e-05,4.82474306387514e-06,0.0,2.37525812375392e-05,5.19587714571169e-06,3.41443355289626e-05,1.4845363273462e-06,0.0002445773599302,1.29896928642792e-05,1.85567040918275e-06,8.87010455589353e-05,0.0002089484880739,7.79381571856754e-06,8.46185706587333e-05,1.85567040918275e-06,9.7237129441176e-05,1.85567040918275e-06,0.0001124536267964,9.3896922704647e-05,1.85567040918275e-06,4.82474306387514e-06,1.1505156536933e-05,3.56288718563088e-05,2.41237153193757e-05,6.30927939122134e-06,2.9690726546924e-06,2.59793857285585e-06,1.85567040918275e-06,1.11340224550965e-06,1.63298996008082e-05,4.49072239022225e-05,3.7113408183655e-07,8.53608388224064e-06,7.42268163673099e-07,4.45360898203859e-06,7.42268163673099e-07,1.85567040918275e-06,8.16494980040409e-06,4.08247490020205e-06,5.34433077844631e-05,5.19587714571169e-06,0.001505319835929,0.0004323712053395,0.0002137732311378,0.000238268080539,0.0002067216835829,3.48866036926357e-05,0.351179686792526,0.0007073815599804,0.178491740782143,0.123083649168437,0.0008925774668169,0.0005544743182638,1.67010336826447e-05,1.78144359281544e-05,3.15463969561067e-05,0.0002230515831837,7.42268163673099e-07,1.03917542914234e-05,4.60206261477322e-05,0.000603835151148,0.0006179382462578,0.0001688660072356,0.0001684948731537,3.26597992016164e-05,0.0021915467532448,0.0007478351749006,0.0001120824927146,1.85567040918275e-05,0.0014993816906196,0.0005091959602797,6.7546402894252e-05,3.52577377744722e-05,0.0001547629121258,8.05360957585313e-05,0.0101594243561937,8.09072298403678e-05,2.9690726546924e-06,0.0002067216835829,1.85567040918275e-06,0.0002056082813374,0.0,0.0012566600010985,0.0001009484702595,6.30927939122134e-06,3.45154696107991e-05,2.26391789920295e-05,2.2268044910193e-06,7.42268163673099e-07,5.04742351297707e-05,4.00824808383474e-05,4.82474306387514e-06,3.7113408183655e-07,3.7113408183655e-07
mgm4685222,0.54991748696323,0.0052932572299208,0.0001616907486789,0.0106819820917224,0.0016355176327507,4.42293079345928e-05,1.16011299500571e-05,7.66157957118357e-05,1.06343691208857e-05,0.0004966733759868,9.66760829171428e-07,2.12687382417714e-05,3.60118408866357e-05,1.93352165834286e-05,4.59211393856428e-06,2.27188794855286e-05,4.39876177273e-05,1.861014596155e-05,2.41690207292857e-05,9.18422787712857e-06,2.39273305219928e-05,1.45014124375714e-05,3.26281779845357e-05,4.59211393856428e-06,7.00901601149285e-06,6.52563559690714e-06,6.52563559690714e-06,6.04225518232142e-06,2.41690207292857e-07,2.90028248751428e-06,3.86704331668571e-06,8.70084746254285e-06,1.69183145105e-06,3.14197269480714e-06,1.69183145105e-06,1.522648305945e-05,8.94253766983571e-06,1.69183145105e-06,1.11177495354714e-05,0.0,2.41690207292857e-06,1.93352165834286e-06,3.62535310939285e-06,7.25070621878571e-07,3.62535310939285e-06,2.65859228022143e-06,0.0,1.93352165834286e-06,0.0,1.69183145105e-06,2.24771892782357e-05,2.00602872053071e-05,4.88214218731571e-05,3.28698681918285e-05,1.69183145105e-05,1.66766243032071e-05,1.184282015735e-05,2.90028248751428e-06,1.45014124375714e-06,1.20845103646429e-06,2.65859228022143e-06,1.13594397427643e-05,8.45915725524999e-06,5.07549435315e-06,0.0,2.90028248751428e-06,8.70084746254285e-06,8.21746704795714e-06,1.93352165834286e-06,1.37763418156928e-05,5.07549435315e-06,5.80056497502857e-06,2.65859228022143e-05,5.583043788465e-05,2.90028248751428e-06,1.59515536813286e-05,5.07549435315e-06,1.78850753396714e-05,2.90028248751428e-06,9.42591808442142e-06,7.25070621878571e-07,7.25070621878571e-07,1.06343691208857e-05,2.17521186563571e-06,7.49239642607857e-06,3.3836629021e-06,1.93352165834286e-06,1.45014124375714e-06,1.93352165834286e-06,0.0,7.25070621878571e-07,7.25070621878571e-06,7.25070621878571e-06,0.0,1.45014124375714e-06,0.0,9.66760829171428e-07,2.41690207292857e-07,2.41690207292857e-06,1.23262005719357e-05,4.83380414585714e-07,7.25070621878571e-07,0.0,0.0025711004251814,7.56490348826642e-05,0.0004674288609043,0.0001005431262338,7.56490348826642e-05,5.07549435315e-06,0.0005019905605472,0.000101509887063,0.0152866639210659,0.409617530080763,0.0001471893362413,4.03622646179071e-05,4.83380414585714e-06,1.35346516084e-05,6.7673258042e-06,8.70084746254285e-06,1.20845103646429e-06,4.10873352397857e-06,2.90028248751428e-06,6.259776368885e-05,0.0001070687618307,9.64343927098499e-05,1.81267655469643e-05,2.41690207292857e-06,0.0003850125002175,0.0001870682204446,2.32022599001143e-05,2.65859228022143e-06,0.0002694845811315,7.51656544680785e-05,1.59515536813286e-05,2.65859228022143e-06,1.59515536813286e-05,2.70693032168e-05,3.69786017158071e-05,5.07549435315e-06,0.0,5.36552260190143e-05,4.10873352397857e-06,5.48636770554785e-05,2.41690207292857e-07,0.0002873696564712,2.61025423876286e-05,7.00901601149285e-06,4.59211393856428e-06,2.17521186563571e-06,7.25070621878571e-07,0.0,7.97577684066428e-06,1.20845103646428e-05,1.184282015735e-05,1.45014124375714e-06,0.0
mgm4685223,0.634667568338345,0.0060623758707194,0.000188702122173,0.0095623306163643,0.0015967102645415,3.33003745011348e-05,5.97699029507547e-06,0.0001135628156064,9.39241332083289e-06,0.0004260740224632,2.56156726931806e-06,2.39079611803019e-05,2.39079611803019e-05,1.19539805901509e-05,5.97699029507547e-06,1.70771151287871e-05,4.01312205526496e-05,1.28078363465903e-05,2.22002496674232e-05,5.12313453863612e-06,2.04925381545445e-05,1.53694036159084e-05,2.98849514753774e-05,2.56156726931806e-06,5.97699029507547e-06,3.41542302575741e-06,2.56156726931806e-06,2.56156726931806e-06,8.53855756439353e-07,2.56156726931806e-06,4.26927878219677e-06,1.11001248337116e-05,1.70771151287871e-06,2.56156726931806e-06,3.41542302575741e-06,2.13463939109838e-05,3.41542302575741e-06,2.56156726931806e-06,1.36616921030297e-05,4.26927878219677e-06,2.56156726931806e-06,0.0,4.26927878219677e-06,1.70771151287871e-06,5.97699029507547e-06,2.56156726931806e-06,0.0,2.56156726931806e-06,0.0,1.70771151287871e-06,3.33003745011348e-05,1.96386823981051e-05,5.8062191437876e-05,1.87848266416658e-05,1.87848266416658e-05,2.13463939109838e-05,1.28078363465903e-05,4.26927878219677e-06,4.26927878219677e-06,0.0,0.0,2.39079611803019e-05,7.68470180795418e-06,2.56156726931806e-06,0.0,2.56156726931806e-06,1.79309708852264e-05,1.79309708852264e-05,8.53855756439353e-07,8.53855756439353e-06,4.26927878219677e-06,6.83084605151483e-06,3.41542302575741e-05,4.44004993348464e-05,4.26927878219677e-06,1.4515547859469e-05,5.12313453863612e-06,1.36616921030297e-05,5.97699029507547e-06,6.83084605151483e-06,1.70771151287871e-06,2.56156726931806e-06,7.68470180795418e-06,1.70771151287871e-06,5.97699029507547e-06,5.12313453863612e-06,4.26927878219677e-06,8.53855756439353e-07,8.53855756439353e-07,2.56156726931806e-06,8.53855756439353e-07,6.83084605151483e-06,8.53855756439353e-06,0.0,5.97699029507547e-06,0.0,1.70771151287871e-06,0.0,0.0,3.41542302575741e-06,0.0,4.26927878219677e-06,8.53855756439353e-07,0.0032600212780854,0.0001033165465291,0.000470474521798,9.9047267746965e-05,7.68470180795418e-05,9.39241332083289e-06,0.0005328059920181,0.000118685950145,0.0114220284538892,0.328372431388421,0.0001357630652738,2.98849514753774e-05,2.56156726931806e-06,1.79309708852264e-05,6.83084605151483e-06,9.39241332083289e-06,0.0,8.53855756439353e-06,2.56156726931806e-06,7.85547295924205e-05,0.0001408861998124,0.0001255167961965,1.4515547859469e-05,8.53855756439353e-07,0.0003586194177045,0.000204071525789,2.81772399624987e-05,3.41542302575741e-06,0.0002049253815454,6.31853259765121e-05,1.70771151287871e-05,1.70771151287871e-06,1.4515547859469e-05,1.19539805901509e-05,3.84235090397709e-05,2.56156726931806e-06,8.53855756439353e-07,4.61082108477251e-05,2.56156726931806e-06,4.78159223606038e-05,0.0,0.000351788571653,3.15926629882561e-05,9.39241332083289e-06,8.53855756439353e-07,8.53855756439353e-07,0.0,8.53855756439353e-07,6.83084605151483e-06,1.28078363465903e-05,1.36616921030297e-05,0.0,0.0
mgm4685224,0.683706778045474,0.0086000852584336,0.0002227256833846,0.0086886965518232,0.0015219588364618,2.63438980347452e-05,9.57959928536189e-06,0.0001520761386551,1.19744991067024e-05,0.0003843814213251,7.18469946402142e-06,2.75413479454154e-05,2.99362477667559e-05,1.43693989280428e-05,2.39489982134047e-06,1.79617486600536e-05,4.31081967841285e-05,1.55668488387131e-05,2.99362477667559e-05,3.59234973201071e-06,2.5146448124075e-05,8.38214937469166e-06,1.67642987493833e-05,7.18469946402142e-06,1.19744991067024e-06,4.78979964268095e-06,3.59234973201071e-06,1.19744991067024e-06,1.19744991067024e-06,3.59234973201071e-06,4.78979964268095e-06,1.43693989280428e-05,0.0,1.19744991067024e-06,1.19744991067024e-06,1.07770491960321e-05,2.39489982134047e-06,2.39489982134047e-06,4.78979964268095e-06,2.39489982134047e-06,2.39489982134047e-06,3.59234973201071e-06,5.98724955335118e-06,2.39489982134047e-06,1.19744991067024e-06,1.19744991067024e-06,0.0,2.39489982134047e-06,0.0,1.19744991067024e-06,2.75413479454154e-05,2.15540983920643e-05,5.14903461588202e-05,2.27515483027345e-05,1.79617486600536e-05,4.78979964268095e-06,1.07770491960321e-05,3.59234973201071e-06,8.38214937469166e-06,2.39489982134047e-06,1.19744991067024e-06,1.55668488387131e-05,1.31719490173726e-05,2.39489982134047e-06,2.39489982134047e-06,3.59234973201071e-06,1.43693989280428e-05,2.63438980347452e-05,0.0,5.98724955335118e-06,7.18469946402142e-06,2.39489982134047e-06,1.79617486600536e-05,4.90954463374797e-05,7.18469946402142e-06,1.43693989280428e-05,1.19744991067024e-06,2.63438980347452e-05,3.59234973201071e-06,4.78979964268095e-06,3.59234973201071e-06,2.39489982134047e-06,3.59234973201071e-06,0.0,4.78979964268095e-06,1.19744991067024e-06,1.19744991067024e-06,1.19744991067024e-06,1.19744991067024e-06,0.0,0.0,1.07770491960321e-05,8.38214937469166e-06,0.0,2.39489982134047e-06,0.0,1.19744991067024e-06,0.0,2.39489982134047e-06,4.78979964268095e-06,1.19744991067024e-06,2.39489982134047e-06,0.0,0.0038509989127154,8.38214937469166e-05,0.0004670054651613,0.0001149551914243,7.0649544729544e-05,9.57959928536189e-06,0.000573578507211,9.34010930322785e-05,0.0103136360806027,0.278252633192354,0.0001424965393697,3.59234973201071e-05,4.78979964268095e-06,2.99362477667559e-05,4.78979964268095e-06,1.79617486600536e-05,0.0,1.19744991067024e-05,1.19744991067024e-06,9.69934427642892e-05,0.0001544710384764,0.0001808149365112,1.67642987493833e-05,7.18469946402142e-06,0.0002969675778462,0.0001676429874938,2.75413479454154e-05,0.0,0.0002179358837419,5.98724955335118e-05,1.91591985707238e-05,3.59234973201071e-06,1.19744991067024e-05,1.55668488387131e-05,4.90954463374797e-05,2.39489982134047e-06,1.19744991067024e-06,4.19107468734583e-05,2.39489982134047e-06,6.10699454441821e-05,0.0,0.0003221140259702,2.39489982134047e-05,4.78979964268095e-06,2.39489982134047e-06,2.39489982134047e-06,1.19744991067024e-06,0.0,9.57959928536189e-06,3.59234973201071e-06,1.67642987493833e-05,2.39489982134047e-06,0.0
