samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Deinococcota,Mycoplasmatota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Harrisonbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Komeilibacteria,Candidatus.Kerfeldbacteria,Candidatus.Colwellbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Collierbacteria,Candidatus.Pacebacteria,Candidatus.Gracilibacteria,Candidatus.Aminicenantes,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Raymondbacteria,Candidatus.Wallbacteria,Candidatus.Fischerbacteria,candidate.division.WOR.3,Candidatus.Absconditabacteria,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Candidatus.Marinimicrobia,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Spirochaetota,Bdellovibrionota,Fusobacteriota,Thermotogota,Atribacterota,Aquificota,Deferribacterota,Dictyoglomota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Candidatus.Diapherotrites,Candidatus.Aenigmarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota
mgm4443316,0.296006944444444,0.0147569444444444,0.0008680555555555,0.247395833333333,0.0381944444444444,0.0008680555555555,0.0017361111111111,0.0269097222222222,0.0034722222222222,0.0026041666666666,0.0,0.0008680555555555,0.0,0.0008680555555555,0.0,0.0008680555555555,0.0026041666666666,0.0008680555555555,0.0008680555555555,0.0,0.0,0.0008680555555555,0.0008680555555555,0.0008680555555555,0.0008680555555555,0.0,0.0034722222222222,0.0017361111111111,0.0026041666666666,0.0008680555555555,0.0,0.0,0.0008680555555555,0.0,0.0008680555555555,0.0,0.0,0.0,0.0034722222222222,0.0,0.0,0.0008680555555555,0.0008680555555555,0.0008680555555555,0.0026041666666666,0.0008680555555555,0.0017361111111111,0.0008680555555555,0.0008680555555555,0.0052083333333333,0.0017361111111111,0.0373263888888889,0.207465277777778,0.0052083333333333,0.0008680555555555,0.0008680555555555,0.0,0.0008680555555555,0.0,0.0095486111111111,0.0043402777777777,0.0217013888888889,0.0026041666666666,0.0008680555555555,0.0008680555555555,0.0008680555555555,0.0008680555555555,0.0069444444444444,0.0008680555555555,0.0052083333333333,0.0112847222222222,0.0017361111111111,0.0017361111111111,0.0008680555555555,0.0,0.0017361111111111,0.0017361111111111
mgm4443317,0.25077399380805,0.0123839009287926,0.0,0.369969040247678,0.142414860681115,0.0030959752321981,0.0,0.0108359133126935,0.0,0.0,0.001547987616099,0.0,0.001547987616099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001547987616099,0.0,0.001547987616099,0.0,0.0,0.001547987616099,0.0,0.0,0.0,0.0,0.001547987616099,0.0,0.0,0.0,0.0,0.0,0.0061919504643962,0.0,0.0,0.001547987616099,0.0,0.0,0.0,0.0,0.0247678018575851,0.0,0.0,0.001547987616099,0.0030959752321981,0.0030959752321981,0.0,0.0030959752321981,0.0603715170278638,0.0,0.0,0.001547987616099,0.0,0.001547987616099,0.0,0.0,0.0030959752321981,0.0,0.001547987616099,0.0,0.0,0.0,0.0,0.0619195046439628,0.0,0.0030959752321981,0.0232198142414861,0.0,0.001547987616099,0.0,0.0,0.0,0.0
mgm4443776,0.430292598967298,0.0981067125645439,0.0008605851979345,0.0697074010327022,0.274526678141136,0.0008605851979345,0.0008605851979345,0.0025817555938037,0.0,0.0,0.0,0.0,0.0,0.0,0.0008605851979345,0.0,0.0,0.0008605851979345,0.0,0.0,0.0008605851979345,0.0,0.0008605851979345,0.0008605851979345,0.0,0.0034423407917383,0.0,0.0,0.0,0.0,0.0,0.0008605851979345,0.0,0.0008605851979345,0.0,0.0043029259896729,0.0008605851979345,0.0008605851979345,0.0,0.0,0.0008605851979345,0.0,0.0,0.0,0.0025817555938037,0.0008605851979345,0.0060240963855421,0.0,0.0034423407917383,0.0086058519793459,0.0008605851979345,0.0051635111876075,0.0344234079173838,0.0008605851979345,0.0077452667814113,0.0008605851979345,0.0008605851979345,0.0008605851979345,0.0017211703958691,0.0172117039586919,0.0034423407917383,0.0,0.0034423407917383,0.0,0.0,0.0,0.0,0.0,0.0,0.0008605851979345,0.0034423407917383,0.0,0.0,0.0,0.0025817555938037,0.0,0.0
mgm4443777,0.416881998277347,0.0344530577088717,0.0008613264427217,0.0775193798449612,0.321274763135228,0.0,0.0017226528854435,0.0017226528854435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008613264427217,0.0,0.0,0.0,0.0008613264427217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008613264427217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025839793281653,0.0,0.0,0.0,0.0,0.0,0.0008613264427217,0.0086132644272179,0.116279069767442,0.0008613264427217,0.0008613264427217,0.0,0.0008613264427217,0.0008613264427217,0.0008613264427217,0.0025839793281653,0.0,0.0,0.0,0.0,0.0008613264427217,0.0,0.0,0.0034453057708871,0.0,0.0017226528854435,0.0017226528854435,0.0,0.0,0.0,0.0,0.0,0.0
