samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Veblenbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Huberarchaea,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4767414,0.692195315200424,0.199439377127786,0.001665453982995,0.0061636949340336,0.0016212607385638,1.10483111078142e-05,6.31332063303666e-06,0.0013867208770465,0.0003241890145064,0.0001480473688447,0.0001209000901226,0.0002146529015232,7.44971834698326e-05,2.36749523738875e-05,1.3257973329377e-05,5.20848952225524e-05,7.60755136280918e-05,1.73616317408508e-05,0.0001073264507616,1.07326450761623e-05,4.79812368110786e-05,1.893996189911e-05,1.1363977139466e-05,1.42049714243325e-05,9.15431491790316e-06,2.58846145954503e-05,2.87256088803168e-05,1.48363034876361e-05,3.37762653867461e-05,2.14652901523246e-05,1.23109752344215e-05,2.24122882472801e-05,1.57833015825916e-06,1.01013130128587e-05,6.31332063303666e-06,1.73616317408508e-05,6.31332063303666e-06,2.52532825321466e-05,1.01013130128587e-05,1.23109752344215e-05,1.16796431711178e-05,3.15666031651833e-06,6.94465269634033e-06,7.26031872799216e-06,9.15431491790316e-06,3.15666031651833e-06,6.31332063303666e-07,5.36632253808116e-06,2.8409942848665e-06,7.89165079129583e-06,0.0,2.43062844371911e-05,2.90412749119686e-05,3.56702615766571e-05,2.17809561839765e-05,1.7045965709199e-05,6.31332063303666e-06,2.49376165004948e-05,1.29423072977252e-05,7.89165079129583e-06,2.8409942848665e-06,6.31332063303666e-06,1.07326450761623e-05,6.94465269634033e-06,4.10365841147383e-06,6.31332063303666e-07,2.20966222156283e-06,0.0001284760748822,0.0009381594460692,8.30201663244321e-05,1.04169790445105e-05,0.0002591618119861,3.25136012601388e-05,3.0303939038576e-05,9.24901472739871e-05,2.05182920573691e-05,1.60989676142435e-05,5.68198856973299e-06,8.55454945776467e-05,0.0001287917409139,1.92556279307618e-05,2.24122882472801e-05,4.95595669693378e-05,3.15666031651833e-06,1.35736393610288e-05,5.05065650642933e-06,1.07326450761623e-05,1.3257973329377e-05,1.23109752344215e-05,1.57833015825916e-06,1.893996189911e-05,1.1363977139466e-05,1.01013130128587e-05,6.31332063303666e-07,1.07326450761623e-05,2.52532825321466e-06,1.38893053926807e-05,2.8409942848665e-06,5.68198856973299e-06,1.26266412660733e-06,2.20966222156283e-06,1.26266412660733e-06,1.893996189911e-06,1.26266412660733e-06,0.0085463421409417,0.0003977391998813,0.0113469311737568,0.0002844150945183,0.0001369990577368,6.75525307734923e-05,0.0031569759825499,0.0007238222105776,0.0003178756938733,0.0330975834186947,0.0001707753231236,0.0002231758843778,2.20966222156283e-05,0.0021209600666686,3.28292672917906e-05,1.95712939624136e-05,5.05065650642933e-06,1.83086298358063e-05,1.57833015825916e-06,0.0013740942357804,0.0164001130084393,0.0107790479828151,4.5455908557864e-05,8.68081587042541e-05,0.0005697771871315,0.000431515465268,0.0001395243859901,2.52532825321466e-06,6.56585345835813e-05,4.86125688743823e-05,1.07326450761623e-05,1.7045965709199e-05,2.05182920573691e-05,3.15666031651833e-05,1.73616317408508e-05,4.10365841147383e-06,2.20966222156283e-06,4.79812368110786e-05,5.99765460138483e-06,3.66172596716126e-05,3.15666031651833e-07,0.0027756514163145,5.99765460138483e-06,9.46998094955499e-07,1.16796431711178e-05,1.26266412660733e-06,1.26266412660733e-06,3.15666031651833e-07,0.0,3.15666031651833e-07,6.31332063303666e-06,5.99765460138483e-06,1.26266412660733e-06,0.0,0.0
mgm4767417,0.65287681734402,0.24461778289743,0.0013967001230507,0.0068273316191497,0.001342371755985,1.20284207525541e-05,5.01184198023089e-06,0.0010534891842445,0.000304719992398,0.000122689891676,8.48003663055067e-05,0.0001379258912959,0.0001790229955338,2.68634730140376e-05,1.26298417901818e-05,4.75122619725888e-05,6.27482615924907e-05,9.22178924362484e-06,8.05904190421127e-05,1.7040262732785e-05,4.59084725389149e-05,3.08729465982223e-05,9.0213155644156e-06,1.60378943367388e-05,9.62273660204331e-06,2.84672624477115e-05,1.90449995248774e-05,8.82084188520636e-06,2.54601572595729e-05,2.68634730140376e-05,1.18279470733449e-05,1.60378943367388e-05,2.00473679209236e-06,1.00236839604618e-05,6.61563141390477e-06,1.46345785822742e-05,7.21705245153248e-06,2.36558941466898e-05,5.21231565944013e-06,5.41278933864936e-06,2.32549467882713e-05,3.408052546557e-06,6.81610509311401e-06,3.00710518813853e-06,8.21942084757866e-06,2.8066315089293e-06,0.0,8.01894716836942e-06,6.41515773469554e-06,2.10497363169697e-05,4.00947358418471e-07,2.3856367825899e-05,2.24530520714344e-05,3.68871569744993e-05,2.1250209996179e-05,1.28303154693911e-05,8.62036820599713e-06,1.42336312238557e-05,1.00236839604618e-05,4.00947358418471e-06,2.60615782972006e-06,7.41752613074172e-06,8.4198945267879e-06,7.21705245153248e-06,3.408052546557e-06,1.00236839604618e-06,3.60852622576624e-06,9.04136293233652e-05,0.0006140508794178,5.69345248954229e-05,9.22178924362484e-06,0.0001645888906307,2.40568415051083e-05,2.1250209996179e-05,8.13923137589496e-05,1.7842157449622e-05,1.4434104903065e-05,3.00710518813853e-06,9.04136293233652e-05,8.05904190421127e-05,1.12265260357172e-05,1.26298417901818e-05,3.74885780121271e-05,1.00236839604618e-06,6.41515773469554e-06,3.20757886734777e-06,7.61799980995095e-06,1.30307891486003e-05,7.81847348916019e-06,1.80426311288312e-06,1.30307891486003e-05,7.41752613074172e-06,8.62036820599713e-06,1.00236839604618e-06,4.81136830102165e-06,3.80899990497548e-06,7.81847348916019e-06,1.20284207525541e-06,3.408052546557e-06,3.20757886734777e-06,5.21231565944013e-06,6.01421037627707e-07,1.80426311288312e-06,6.01421037627707e-07,0.0094661666585808,0.0002896844664573,0.0093444791353008,0.0002183158366588,8.27956295134143e-05,4.02952095210564e-05,0.0022866027850605,0.0008199373479657,0.0002636228881601,0.0418973951652966,0.0001507562067653,0.0001513576278029,1.76416837704127e-05,0.0015797325921687,2.40568415051083e-05,1.32312628278095e-05,3.20757886734777e-06,1.06251049980895e-05,2.20521047130159e-06,0.0006262797738496,0.0103695010570977,0.0077003944921059,3.44814728239885e-05,4.8514630368635e-05,0.0003859118324777,0.0004769268828387,9.60268923412238e-05,6.01421037627707e-07,5.99416300835614e-05,3.58847885784532e-05,1.18279470733449e-05,1.66393153743666e-05,1.74412100912035e-05,1.84435784872497e-05,1.48350522614834e-05,2.8066315089293e-06,6.01421037627707e-07,3.84909464081732e-05,5.81373669706783e-06,3.04719992398038e-05,0.0,0.0020672845800056,7.81847348916019e-06,4.00947358418471e-07,1.0224157639671e-05,2.20521047130159e-06,0.0,2.00473679209236e-07,0.0,0.0,5.21231565944013e-06,6.01421037627707e-06,2.20521047130159e-06,2.00473679209236e-07,0.0
mgm4767418,0.64128992020205,0.215929023204546,0.0081638135052897,0.0105696391107214,0.0033361069900781,4.07557725766139e-05,1.20414782612723e-05,0.0023360467826868,0.0005471153712557,0.0002902305016819,0.000239594541814,0.0009827698796315,0.0001824747090362,7.78064749189902e-05,3.48894113724043e-05,0.0001040507224115,0.0001725945217449,4.41520869579984e-05,0.000195442454856,4.29170635465859e-05,0.0001170184682313,0.0001287511906397,2.71705150510759e-05,5.18709832793268e-05,2.53179799339571e-05,0.0001194885150541,5.83548561892426e-05,3.30368762552855e-05,0.0005032720401506,6.20599264234803e-05,3.24193645495792e-05,5.21797391321799e-05,4.94009364565017e-06,2.56267357868103e-05,2.13041538468664e-05,3.76682140480825e-05,2.2847933111132e-05,7.07050903033681e-05,2.47004682282509e-05,1.60553043483631e-05,6.45299732463054e-05,1.63640602012162e-05,1.8216595318335e-05,2.09953979940132e-05,4.66221337808235e-05,6.17511705706271e-06,9.26267558559407e-07,1.01889431441535e-05,2.77880267567822e-06,5.55760535135644e-06,0.0,0.0003288249832885,0.0001151659331142,0.0001330737725797,0.0001318387491682,0.0001021981872943,4.38433311051453e-05,3.36543879609918e-05,3.39631438138449e-05,2.77880267567822e-05,1.8216595318335e-05,3.05668294324604e-05,3.05668294324604e-05,8.30553244174935e-05,1.57465484955099e-05,3.08755852853136e-06,1.45115250840974e-05,0.0002615162073666,0.0017064935987192,0.0001830922207419,2.40829565225446e-05,0.0004282443679072,6.97788227448087e-05,7.47189163904588e-05,0.0002670738127179,9.7875605354444e-05,3.67419464895231e-05,4.94009364565017e-06,0.0002680000802765,0.0002673825685708,2.09953979940132e-05,4.19907959880265e-05,8.24378127117872e-05,6.17511705706271e-06,3.92119933123482e-05,1.97603745826007e-05,2.2847933111132e-05,2.13041538468664e-05,2.37742006696914e-05,4.01382608709076e-06,4.04470167237608e-05,2.09953979940132e-05,1.11152107027129e-05,7.71889632132839e-06,1.3585257525538e-05,6.79262876276898e-06,2.09953979940132e-05,1.85253511711881e-06,6.17511705706271e-06,6.79262876276898e-06,9.26267558559407e-06,8.6451638798878e-06,2.16129096997195e-06,0.0,0.0179865722079594,0.0007601569097244,0.0075126474116225,0.0004171291572045,0.0004143503545289,9.81843612072971e-05,0.0050688448362899,0.0012930695117489,0.0005143872508533,0.0237992098937725,0.000338396414727,0.000382548501685,2.47004682282509e-05,0.0032305124884023,5.65023210721238e-05,3.92119933123482e-05,6.79262876276898e-06,2.31566889639852e-05,5.24884949850331e-06,0.0015113598997161,0.0161028527497024,0.0206705868368117,0.0001250461204055,0.0001423364481652,0.000931207652205,0.0004541798595469,0.0002324931571984,8.02765217418153e-06,0.0001111521070271,8.33640802703466e-05,2.43917123753977e-05,2.74792709039291e-05,4.1064528429467e-05,3.27281204024324e-05,3.82857257537888e-05,6.17511705706271e-06,4.3225819399439e-06,0.0016867332241366,1.32765016726848e-05,7.59539398018714e-05,3.08755852853136e-07,0.004143503545289,1.69815719069225e-05,1.23502341141254e-06,1.85253511711881e-05,4.3225819399439e-06,1.54377926426568e-06,9.26267558559407e-07,0.0,0.0,1.3585257525538e-05,5.24884949850331e-06,2.77880267567822e-06,1.85253511711881e-06,9.26267558559407e-07
mgm4767419,0.628073519707111,0.212476946890421,0.0022049108276747,0.0077027729463668,0.0022227853662882,2.76767049498922e-05,8.93726930673602e-06,0.0015931403286781,0.0003964111386052,0.0001542399702936,0.0001438612059374,0.0003664280415761,0.0001084004277204,5.16055227711531e-05,2.01809306926297e-05,6.83268653450463e-05,0.0001069589326709,2.99830970290499e-05,0.0001441495049473,3.20011900983128e-05,6.5732174255994e-05,0.0001649070336597,7.49577425726247e-06,2.71001069301028e-05,1.61447445541038e-05,9.11024871267285e-05,3.63256752467335e-05,1.55681465343144e-05,3.71905722764176e-05,2.96947980191552e-05,2.1910724751998e-05,2.99830970290499e-05,5.4776811879995e-06,2.68118079202081e-05,1.44149504947355e-05,2.3928817821261e-05,4.32448514842065e-06,3.57490772269441e-05,1.0955362375999e-05,1.03787643562096e-05,3.80554693061018e-05,2.59469108905239e-06,1.67213425738932e-05,8.07237227705189e-06,2.04692297025244e-05,1.03787643562096e-05,2.59469108905239e-06,6.63087722757834e-06,2.30639207915768e-06,5.76598019789421e-06,0.0,4.03618613852594e-05,4.43980475237854e-05,5.99661940580997e-05,7.61109386122035e-05,2.59469108905239e-05,1.75862396035773e-05,2.33522198014715e-05,1.81628376233668e-05,1.18202594056831e-05,6.63087722757834e-06,1.44149504947355e-05,1.18202594056831e-05,1.7874538613472e-05,7.20747524736776e-06,3.45958811873652e-06,6.05427920778892e-06,0.0001600059504915,0.0010326870534428,0.0001058057366313,1.47032495046302e-05,0.0003277959742502,4.81459346524166e-05,3.11362930686287e-05,0.0001305994514823,3.60373762368388e-05,2.10458277223139e-05,2.30639207915768e-06,0.0001135898098985,0.0001455909999968,1.84511366332615e-05,2.47937148509451e-05,6.34257821768363e-05,3.74788712863123e-06,2.04692297025244e-05,8.3606712869466e-06,1.32617544551567e-05,2.16224257421033e-05,1.26851564353673e-05,2.30639207915768e-06,1.9892631682735e-05,1.35500534650514e-05,9.22556831663073e-06,2.01809306926297e-06,6.91917623747305e-06,6.91917623747305e-06,1.67213425738932e-05,1.15319603957884e-06,6.34257821768363e-06,5.76598019789421e-06,5.18938217810479e-06,0.0,1.44149504947355e-06,0.0,0.0156433925758969,0.0005500745108791,0.0376630943536351,0.000388627065338,0.0001069589326709,7.58226396023088e-05,0.0039548858177356,0.0027373990989502,0.0003606620613782,0.0334288467953115,0.0002251615267277,0.0002822447306869,2.56586118806292e-05,0.0044040556751515,4.64161405930484e-05,2.45054158410504e-05,3.74788712863123e-06,1.9892631682735e-05,1.44149504947355e-06,0.0023507901266814,0.0161343657897476,0.0175579863006076,7.29396495033617e-05,8.93726930673602e-05,0.0006838452514702,0.0003162640138544,0.0001608708475212,2.30639207915768e-06,5.93895960383103e-05,5.0740625741469e-05,1.06670633661043e-05,2.50820138608398e-05,2.59469108905239e-05,2.79650039597869e-05,2.07575287124191e-05,2.01809306926297e-06,2.8829900989471e-07,4.46863465336801e-05,1.0955362375999e-05,4.41097485138907e-05,2.8829900989471e-07,0.0027546970395439,9.51386732652544e-06,1.44149504947355e-06,1.03787643562096e-05,1.44149504947355e-06,2.59469108905239e-06,5.76598019789421e-07,0.0,0.0,4.32448514842065e-06,4.90108316821008e-06,1.41266514848408e-05,0.0,5.76598019789421e-07
mgm4767420,0.707330795284719,0.171859910432815,0.0016023927717426,0.0059697976764293,0.0019991998145874,2.02194671513273e-05,6.57132682418137e-06,0.0012498158132914,0.0002911603269791,0.0001741401608408,0.0001089323792777,0.0001660523739802,9.07348588415812e-05,3.26038907815153e-05,1.41536270059291e-05,4.47355710723116e-05,8.39107886780083e-05,1.81975204361946e-05,9.12403455203644e-05,1.97139804725441e-05,4.59992877692696e-05,3.23511474421237e-05,7.58230018174774e-06,1.112070693323e-05,1.06152202544468e-05,3.03292007269909e-05,3.31093774602984e-05,1.18789369514048e-05,2.45161039209843e-05,2.04722104907189e-05,1.56700870422787e-05,1.84502637755862e-05,2.7801767333075e-06,1.36481403271459e-05,8.5932735393141e-06,1.56700870422787e-05,5.05486678783182e-06,1.81975204361946e-05,1.08679635938384e-05,7.83504352113933e-06,1.69338037392366e-05,5.56035346661501e-06,9.85699023627206e-06,6.31858348478978e-06,1.18789369514048e-05,4.04389343026546e-06,7.58230018174774e-07,4.54938010904864e-06,1.26371669695796e-06,9.35150355748887e-06,0.0,3.13401740845573e-05,3.10874307451657e-05,4.0186190963263e-05,2.32523872240264e-05,1.56700870422787e-05,9.35150355748887e-06,1.28899103089712e-05,1.2384423630188e-05,9.60424689688046e-06,7.32955684235614e-06,8.5932735393141e-06,1.03624769150552e-05,1.06152202544468e-05,2.27469005452432e-06,1.26371669695796e-06,4.04389343026546e-06,0.0001170201661383,0.000775163821914,8.26470719810503e-05,7.07681350296455e-06,0.0002279744921312,3.74060142299555e-05,2.70435373149003e-05,8.94711421446233e-05,6.11638881327651e-05,2.47688472603759e-05,3.53840675148228e-06,5.15596412358846e-05,0.000101350079096,1.13734502726216e-05,2.04722104907189e-05,4.67575177874444e-05,2.02194671513273e-06,8.5932735393141e-06,5.05486678783182e-06,1.21316802907964e-05,1.18789369514048e-05,1.2384423630188e-05,2.02194671513273e-06,1.99667238119357e-05,1.08679635938384e-05,6.06584014539819e-06,1.51646003634955e-06,7.83504352113933e-06,1.26371669695796e-06,1.01097335756636e-05,1.51646003634955e-06,3.53840675148228e-06,2.02194671513273e-06,3.28566341209069e-06,7.58230018174774e-07,0.0,0.0,0.0147566726137174,0.0003664778421178,0.0126611775868218,0.0003050612106456,0.0001551844103864,6.26803481691146e-05,0.0028256705343979,0.0008613493006465,0.0003146654575425,0.029538619561374,0.0001526569769925,0.000208513254998,1.44063703453207e-05,0.0020027382213389,3.336212079969e-05,2.07249538301105e-05,4.29663676965705e-06,1.59228303816702e-05,2.52743339391591e-06,0.0010375114082024,0.010591462380544,0.0266942460198611,4.75157478056191e-05,6.87461883145128e-05,0.0004994208386377,0.0003085996173971,0.0001228332629443,2.02194671513273e-06,7.02626483508623e-05,4.42300843935285e-05,1.41536270059291e-05,1.69338037392366e-05,1.81975204361946e-05,1.76920337574114e-05,1.94612371331525e-05,3.79115009087387e-06,1.26371669695796e-06,4.448282773292e-05,7.07681350296455e-06,4.0186190963263e-05,2.52743339391591e-07,0.0023530404897357,1.44063703453207e-05,1.01097335756636e-06,1.31426536483627e-05,3.28566341209069e-06,5.05486678783182e-07,0.0,0.0,0.0,6.57132682418137e-06,4.54938010904864e-06,1.26371669695796e-06,7.58230018174774e-07,1.01097335756636e-06
mgm4767421,0.632645345315922,0.239562082831321,0.0062308295471262,0.0092986667261504,0.0025655194301531,2.00475324170011e-05,6.77663067616938e-06,0.0018587733225509,0.0004051860425126,0.0001479564364296,0.0001970870088319,0.0004526224572458,8.10372085025256e-05,3.72714687189316e-05,1.77886555249446e-05,6.01425972510033e-05,0.0001123791253798,1.89180939709729e-05,0.0001493682344872,3.07771976542693e-05,7.56723758838915e-05,4.65893358986645e-05,1.18591036832964e-05,3.04948380427622e-05,1.80710151364517e-05,5.59072030783974e-05,4.23539417260587e-05,1.80710151364517e-05,0.0001194381156674,4.43304590066081e-05,2.34358477550858e-05,3.13419168772834e-05,4.51775378411292e-06,1.75062959134376e-05,1.32709017408317e-05,1.83533747479588e-05,1.07296652372682e-05,2.96477592082411e-05,1.49650594098741e-05,1.04473056257611e-05,2.96477592082411e-05,1.21414632948035e-05,8.75314795671879e-06,7.90606912219762e-06,2.06122516400152e-05,4.80011339561998e-06,8.47078834521173e-07,5.64719223014115e-06,5.64719223014115e-07,1.9765172805494e-06,0.0,2.99301188197481e-05,4.26363013375657e-05,5.98602376394962e-05,5.61895626899045e-05,2.85183207622128e-05,1.29885421293247e-05,1.77886555249446e-05,1.60944978559023e-05,7.90606912219762e-06,5.3648326186341e-06,2.25887689205646e-05,1.27061825178176e-05,2.88006803737199e-05,3.67067494959175e-06,3.67067494959175e-06,9.88258640274702e-06,0.0001807101513645,0.001143838786215,0.0001168968791639,8.75314795671879e-06,0.0003009953458665,5.3930685797848e-05,3.4165512992354e-05,0.0001696981265157,0.0001448504807031,2.4282926589607e-05,5.64719223014115e-07,0.001402762549967,0.0001801454321415,1.63768574674093e-05,2.08946112515223e-05,4.68716955101716e-05,3.67067494959175e-06,1.77886555249446e-05,1.07296652372682e-05,9.03550756822585e-06,2.20240496975505e-05,1.60944978559023e-05,1.69415766904235e-06,2.65418034816634e-05,1.63768574674093e-05,1.12943844602823e-05,3.10595572657764e-06,9.03550756822585e-06,4.80011339561998e-06,1.4682699798367e-05,2.25887689205646e-06,6.21191145315527e-06,3.95303456109881e-06,7.90606912219762e-06,1.69415766904235e-06,1.12943844602823e-06,5.64719223014115e-07,0.0132748547753928,0.0005579425923379,0.0196121338960572,0.0003659380565131,9.43081102433573e-05,9.17668737397938e-05,0.0039010803925815,0.0012533943154798,0.000342502208758,0.0224662248491706,0.0002318172410472,0.0003179369225569,2.11769708630293e-05,0.004542883789537,4.06597840570163e-05,2.34358477550858e-05,6.21191145315527e-06,1.75062959134376e-05,4.23539417260587e-06,0.0015309538135912,0.0118495034565052,0.0153660100582141,8.07548488910185e-05,0.0001056024947036,0.0006497094660777,0.0003026895035355,0.0001849455455371,2.25887689205646e-06,7.17193413227927e-05,6.01425972510033e-05,1.18591036832964e-05,2.68241630931705e-05,2.82359611507058e-05,3.36007937693399e-05,2.56947246471423e-05,3.38831533808469e-06,2.25887689205646e-06,0.0001346855346888,9.3178671797329e-06,4.48951782296222e-05,1.69415766904235e-06,0.0032445942958276,9.3178671797329e-06,8.47078834521173e-07,1.01649460142541e-05,3.10595572657764e-06,2.82359611507058e-07,0.0,0.0,2.82359611507058e-07,5.3648326186341e-06,6.49427106466233e-06,2.82359611507058e-06,0.0,5.64719223014115e-07
mgm4767422,0.652163852714998,0.184744918723226,0.0027705854560033,0.0075260091135764,0.0021965138417066,2.48673388126392e-05,7.58150573556072e-06,0.0015496597723486,0.0004012132835258,0.0001956028479774,0.0001346475418635,0.0004184991166029,7.30857152908053e-05,3.94238298249157e-05,1.51630114711214e-05,5.91357447373736e-05,9.79530541034445e-05,3.1842324089355e-05,0.0001134193258039,2.5473859271484e-05,6.70205107023568e-05,6.12585663433306e-05,1.54662717005439e-05,2.30477774361046e-05,1.54662717005439e-05,4.12433912014503e-05,3.66944877601139e-05,1.24336694063196e-05,7.94541801086763e-05,3.21455843187775e-05,2.27445172066822e-05,3.30553650070447e-05,5.45868412960372e-06,1.72858330770784e-05,9.09780688267286e-06,2.18347365184149e-05,1.00075875709401e-05,2.82032013362859e-05,1.9105394453613e-05,1.12206284886299e-05,2.15314762889924e-05,6.67172504729343e-06,1.12206284886299e-05,5.15542390018129e-06,1.72858330770784e-05,5.15542390018129e-06,9.09780688267286e-07,5.45868412960372e-06,2.42608183537943e-06,2.72934206480186e-06,3.03260229422429e-07,3.8210788907226e-05,3.85140491366485e-05,6.368464817871e-05,5.5193361754882e-05,2.09249558301476e-05,1.42532307828542e-05,1.88021342241906e-05,1.2736929635742e-05,1.03108478003626e-05,7.27824550613829e-06,9.70432734151772e-06,1.03108478003626e-05,1.63760523888112e-05,2.72934206480186e-06,2.72934206480186e-06,6.67172504729343e-06,0.0001467779510404,0.0009513273396981,0.0001079606416743,1.24336694063196e-05,0.0002796059315274,4.48825139545195e-05,4.15466514308727e-05,0.0001325247202576,9.91660950211342e-05,2.60803797303289e-05,1.21304091768971e-06,4.12433912014503e-05,0.0001458681703521,1.66793126182336e-05,2.51705990420616e-05,5.79227038196839e-05,2.42608183537943e-06,1.9105394453613e-05,9.40106711209529e-06,2.42608183537943e-05,1.60727921593887e-05,1.2736929635742e-05,3.33586252364672e-06,2.66869001891737e-05,1.57695319299663e-05,8.49128642382801e-06,2.72934206480186e-06,5.15542390018129e-06,4.85216367075886e-06,1.42532307828542e-05,6.06520458844857e-07,7.58150573556072e-06,5.45868412960372e-06,8.18802619440558e-06,1.51630114711214e-06,4.245643211914e-06,3.03260229422429e-07,0.0141537614276036,0.0006031845963212,0.0223969809837641,0.0003608796730126,0.0002583777154679,7.27824550613829e-05,0.0037437475322198,0.0010765738144496,0.0004157697745381,0.0625686505344355,0.0002401821017025,0.0002753602883155,1.88021342241906e-05,0.0025361652986597,3.69977479895363e-05,2.91129820245532e-05,4.245643211914e-06,2.72934206480186e-05,5.15542390018129e-06,0.0019590610820688,0.0112433730058365,0.0175648324881471,7.15694141436932e-05,8.55193846971249e-05,0.000662623601288,0.000306596091946,0.0001294921179633,2.42608183537943e-06,8.70356858442371e-05,6.88400720788913e-05,1.2736929635742e-05,2.06216956007252e-05,2.85064615657083e-05,2.72934206480186e-05,2.66869001891737e-05,3.63912275306915e-06,3.03260229422429e-07,4.09401309720279e-05,7.88476596498315e-06,4.51857741839419e-05,3.03260229422429e-07,0.002842154870147,1.30401898651644e-05,3.03260229422429e-07,1.2736929635742e-05,3.03260229422429e-06,3.03260229422429e-06,3.03260229422429e-07,3.03260229422429e-07,1.21304091768971e-06,5.15542390018129e-06,9.09780688267286e-06,3.94238298249157e-06,3.33586252364672e-06,3.03260229422429e-07
