samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Huberarchaea,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4460449,0.142550795674709,0.0070377055424001,0.0032042259351868,0.0633227905744424,0.0139429366275315,9.10761893722367e-05,6.62372286343539e-05,0.0002152709930616,6.62372286343539e-05,0.0031131497458146,1.65593071585885e-05,9.10761893722367e-05,0.0002483896073788,0.0005381774826541,2.48389607378827e-05,0.0004967792147576,0.0005712960969713,4.96779214757655e-05,9.10761893722367e-05,6.62372286343539e-05,0.000339465796751,8.27965357929424e-06,7.45168822136482e-05,7.45168822136482e-05,0.0,2.48389607378827e-05,3.3118614317177e-05,8.27965357929424e-05,8.27965357929424e-06,0.000761728129295,1.65593071585885e-05,8.27965357929424e-06,8.27965357929424e-06,2.48389607378827e-05,0.0,4.96779214757655e-05,4.13982678964712e-05,0.0,0.0001490337644272,0.0,1.65593071585885e-05,0.0,0.0001821523787444,0.0,0.0,4.13982678964712e-05,0.0,0.0,0.0,0.0001076354965308,0.0007700077828743,0.000844524665088,0.0003560251039096,9.93558429515309e-05,2.48389607378827e-05,0.0008196857043501,0.0001904320323237,1.65593071585885e-05,0.0,6.62372286343539e-05,2.48389607378827e-05,3.3118614317177e-05,2.48389607378827e-05,0.0,7.45168822136482e-05,2.48389607378827e-05,4.13982678964712e-05,1.65593071585885e-05,4.96779214757655e-05,2.48389607378827e-05,0.0,0.0002649489145374,0.0007865670900329,8.27965357929424e-06,4.13982678964712e-05,1.65593071585885e-05,2.48389607378827e-05,8.27965357929424e-06,0.0001076354965308,4.13982678964712e-05,8.27965357929424e-06,1.65593071585885e-05,8.27965357929424e-06,2.48389607378827e-05,1.65593071585885e-05,8.27965357929424e-06,8.27965357929424e-06,8.27965357929424e-06,0.0,0.0,4.96779214757655e-05,2.48389607378827e-05,0.0,1.65593071585885e-05,0.0,0.0,0.0,0.0,0.0002649489145374,0.0,1.65593071585885e-05,1.65593071585885e-05,0.0018215237874447,0.0003643047574889,0.0004967792147576,0.0004139826789647,0.0002152709930616,8.27965357929424e-06,0.0133468015698223,0.0003477454503303,0.522379903624832,0.0731010614515889,0.0030137939028631,0.123929854774876,8.27965357929424e-06,0.0001241948036894,0.0001241948036894,0.0003229064895924,1.65593071585885e-05,8.27965357929424e-06,0.0,0.0004719402540197,0.0006044147112884,0.0004471012932818,4.13982678964712e-05,1.65593071585885e-05,0.0043799367434466,0.0008942025865637,4.13982678964712e-05,8.27965357929424e-06,0.0026991670668499,0.0012833463047906,0.0001904320323237,9.93558429515309e-05,0.0011508718475219,2.48389607378827e-05,0.0006458129791849,1.65593071585885e-05,8.27965357929424e-06,0.0004636606004404,3.3118614317177e-05,0.0005961350577091,8.27965357929424e-06,0.0023183030022023,8.27965357929424e-05,1.65593071585885e-05,8.27965357929424e-06,1.65593071585885e-05,2.48389607378827e-05,8.27965357929424e-06,8.27965357929424e-06,4.96779214757655e-05,4.13982678964712e-05,9.10761893722367e-05,1.65593071585885e-05,0.0
mgm4529719,0.111124777073981,0.0134063095750569,0.0005534714962179,0.0212164073550212,0.0073796199495726,0.0002459873316524,0.0,0.0005534714962179,0.0001229936658262,0.0018449049873931,0.0,0.0,0.0,6.1496832913105e-05,0.0,0.0,6.1496832913105e-05,6.1496832913105e-05,0.0,0.0,0.0001229936658262,0.0001229936658262,0.0,6.1496832913105e-05,0.0,0.0,0.0001229936658262,0.0001844904987393,0.0,0.0,0.0,6.1496832913105e-05,0.0,0.0,0.0,6.1496832913105e-05,6.1496832913105e-05,0.0,0.0,0.0,0.0,6.1496832913105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000614968329131,6.1496832913105e-05,0.0003074841645655,0.0,6.1496832913105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001229936658262,6.1496832913105e-05,6.1496832913105e-05,0.0,0.0,0.0,6.1496832913105e-05,0.0,6.1496832913105e-05,6.1496832913105e-05,0.0,0.0001229936658262,0.0001229936658262,0.0,0.0,0.0,0.0,0.0,6.1496832913105e-05,6.1496832913105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1496832913105e-05,0.0,0.0,0.0,6.1496832913105e-05,6.1496832913105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005534714962179,0.000614968329131,0.0001844904987393,0.0,0.0001844904987393,0.0,0.0038128036406125,0.0004304778303917,0.005288727630527,0.0115614045876637,0.0006764651620441,0.0003689809974786,0.0,0.0,0.0,6.1496832913105e-05,0.0,0.0,0.0,0.0004304778303917,0.0003689809974786,0.000614968329131,0.0001229936658262,0.0,0.0012914334911752,0.0001844904987393,0.0001844904987393,6.1496832913105e-05,0.0012299366582621,0.0009224524936965,0.0001844904987393,0.0,0.240022138859849,6.1496832913105e-05,0.0002459873316524,0.0001844904987393,0.0,0.0010454461595227,6.1496832913105e-05,0.538158784822582,0.0001844904987393,0.0055347149621794,0.0007379619949572,0.0244142426665027,0.0001844904987393,0.0,0.0,0.0,0.0,0.0001844904987393,0.0001229936658262,0.0,0.0,0.0
mgm4530144,0.10049498502019,0.0362446268073466,0.0163149667839,0.251107203334636,0.0113651165819982,0.0005861664712778,0.000260518431679,0.0906929790282662,0.000814120098997,0.0041031652989449,0.0003582128435586,0.000521036863358,0.0014002865702748,0.0004884720593982,0.0002279536277191,0.0011397681385958,0.0014654161781946,0.0094763579523251,0.0004559072554383,0.0004884720593982,0.0008466849029568,0.0003256480395988,0.0014654161781946,0.0005861664712778,0.0003907776475185,0.0004884720593982,0.000521036863358,0.001074638530676,6.51296079197603e-05,0.0002279536277191,0.0006187312752377,0.0002930832356389,0.000260518431679,0.0001628240197994,0.0003582128435586,0.0001953888237592,0.000260518431679,9.76944118796405e-05,0.0002930832356389,0.0002279536277191,6.51296079197603e-05,0.000260518431679,0.0001628240197994,0.000260518431679,0.0001628240197994,0.0003907776475185,6.51296079197603e-05,3.25648039598802e-05,6.51296079197603e-05,0.0016608050019538,0.0010095089227562,0.0046567669662628,0.0015305457861143,0.0007489904910772,0.0004233424514784,0.0005861664712778,0.0001302592158395,9.76944118796405e-05,0.0001302592158395,9.76944118796405e-05,0.000260518431679,0.0001953888237592,0.0001628240197994,6.51296079197603e-05,0.0,9.76944118796405e-05,0.0005536016673179,9.76944118796405e-05,0.0011072033346359,0.0037775172593461,0.0001302592158395,0.0006838608831574,0.0012374625504754,0.000260518431679,0.0004559072554383,0.0006187312752377,0.0001628240197994,9.76944118796405e-05,0.0007815552950371,9.76944118796405e-05,9.76944118796405e-05,0.0001953888237592,0.0001628240197994,0.0003256480395988,0.0,3.25648039598802e-05,0.0,0.0,0.0,0.0001628240197994,0.0,0.0,0.0003256480395988,0.0003256480395988,6.51296079197603e-05,0.0001628240197994,3.25648039598802e-05,3.25648039598802e-05,3.25648039598802e-05,3.25648039598802e-05,0.0,0.000260518431679,0.0069037384394945,0.0050801094177413,0.0009118145108766,0.0009443793148365,0.0008792497069167,0.0,0.0140028657027485,0.0438322261299987,0.0110394685423994,0.0480330858408232,0.0056337110850592,0.0010095089227562,3.25648039598802e-05,0.0002279536277191,0.0006838608831574,0.0006187312752377,3.25648039598802e-05,3.25648039598802e-05,0.0001302592158395,0.0027354435326299,0.0028657027484694,0.0017910642177934,0.0012374625504754,0.0001302592158395,0.0066757848117754,0.0014654161781946,0.0007815552950371,0.0016933698059137,0.0044613781425035,0.0689396899830663,0.0019213234336329,0.0,0.0157288003126221,0.0002930832356389,0.0011072033346359,0.0822912596066172,0.0006838608831574,0.009769441187964,0.0064152663800963,0.005698840692979,0.0001302592158395,0.077178585384916,0.001074638530676,6.51296079197603e-05,0.0005536016673179,0.000260518431679,0.0001302592158395,0.0001628240197994,0.0,0.0008792497069167,0.0001628240197994,6.51296079197603e-05,0.0001953888237592,3.25648039598802e-05
mgm4544453,0.178718267888801,0.0877371657048018,0.163592471049753,0.0703481573686394,0.0768737505186526,0.0003394817245671,7.54403832371468e-05,0.034400814756139,0.0029044547546301,0.0025272528384444,0.0005658028742786,0.00105616536532,0.0012824865150315,0.0010938855569386,0.0002263211497114,0.0012447663234129,0.00132020670665,0.0088642450303647,0.0008298442156086,0.0006035230658971,0.0008298442156086,0.0003394817245671,0.0009430047904643,0.00105616536532,0.0004149221078043,0.0002263211497114,0.0005658028742786,0.00105616536532,7.54403832371468e-05,0.0002263211497114,0.00079212402399,0.0001886009580928,0.0007166836407528,0.00026404134133,0.00052808268266,0.0003394817245671,0.0003394817245671,0.0003017615329485,0.0004526422994228,0.0001131605748557,0.0001508807664742,0.0001508807664742,0.0001131605748557,0.0001886009580928,0.0001131605748557,0.00026404134133,0.0001131605748557,0.0,3.77201916185734e-05,0.0012824865150315,0.0016974086228358,0.0033948172456716,0.0012070461317943,0.0006789634491343,0.0003772019161857,0.0019614499641658,0.0005658028742786,0.0001508807664742,0.0001508807664742,0.0001131605748557,0.0003017615329485,0.0001886009580928,3.77201916185734e-05,0.0001131605748557,0.0,0.0004526422994228,0.0016974086228358,0.0005658028742786,0.0010938855569386,0.0052053864433631,0.0001131605748557,0.00079212402399,0.0010184451737014,0.0004149221078043,0.0006412432575157,0.0006035230658971,0.0003017615329485,0.0001886009580928,0.0004526422994228,0.0001886009580928,0.0001886009580928,0.0001131605748557,0.00026404134133,0.0001508807664742,7.54403832371468e-05,0.0001508807664742,3.77201916185734e-05,3.77201916185734e-05,7.54403832371468e-05,0.0013956470898872,0.0,7.54403832371468e-05,0.0009807249820829,0.0004526422994228,3.77201916185734e-05,0.0001508807664742,0.0,3.77201916185734e-05,0.0,0.0,3.77201916185734e-05,0.0001886009580928,0.0283655840971672,0.0041869412696616,0.0030553355211044,0.0012447663234129,0.00079212402399,7.54403832371468e-05,0.0217268303722983,0.0296857908038173,0.0051676662517445,0.0316095205763645,0.0208969861566897,0.0011316057485572,7.54403832371468e-05,0.0008298442156086,0.0005658028742786,0.00052808268266,0.0,3.77201916185734e-05,7.54403832371468e-05,0.0034325374372901,0.0092037267549319,0.0062992720003017,0.0014333672815057,0.0001508807664742,0.0048659047187959,0.0012070461317943,0.0014333672815057,0.0005658028742786,0.0014333672815057,0.0051299460601259,0.0009430047904643,0.0,0.0104862132699634,0.0003772019161857,0.00079212402399,0.0030176153294858,0.0001886009580928,0.0051299460601259,0.0445475463015352,0.0056203085511674,0.0004903624910414,0.0635962430689148,0.0005658028742786,0.0001131605748557,0.0011693259401757,0.0001886009580928,0.0001886009580928,0.0,0.0,0.0010184451737014,7.54403832371468e-05,0.0001131605748557,0.00026404134133,0.0
