samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Sungbacteria,Candidatus.Liptonbacteria,Candidatus.Ryanbacteria,Candidatus.Komeilibacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Andersenbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Gracilibacteria,Candidatus.Rokubacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Desantisbacteria,Candidatus.Firestonebacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,Candidatus.Coatesbacteria,Candidatus.Fischerbacteria,Candidatus.Wirthbacteria,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Fibrobacterota,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Spirochaetota,Bdellovibrionota,Synergistota,Fusobacteriota,Thermotogota,Atribacterota,Aquificota,Deferribacterota,Dictyoglomota,Nitrososphaerota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota
mgm4537102,0.646586345381526,0.0508701472556894,0.000669344042838,0.0287817938420348,0.0488621151271754,0.0,0.0,0.0,0.001338688085676,0.00334672021419,0.001338688085676,0.0,0.002008032128514,0.0,0.0,0.000669344042838,0.0,0.0,0.0,0.0,0.0,0.000669344042838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000669344042838,0.000669344042838,0.0,0.0,0.001338688085676,0.0,0.0,0.0,0.000669344042838,0.0,0.0,0.0,0.000669344042838,0.002008032128514,0.0,0.000669344042838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000669344042838,0.000669344042838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040160642570281,0.002008032128514,0.001338688085676,0.000669344042838,0.002008032128514,0.002008032128514,0.002008032128514,0.0053547523427041,0.0441767068273092,0.0,0.0,0.0,0.0,0.0,0.000669344042838,0.0,0.0,0.0,0.000669344042838,0.00334672021419,0.0,0.0,0.0,0.000669344042838,0.000669344042838,0.000669344042838,0.000669344042838,0.0,0.0,0.132530120481928,0.000669344042838,0.002677376171352,0.0,0.0,0.0
mgm4537103,0.62781748213304,0.0505772402418911,0.0016492578339747,0.0219901044529962,0.062671797691039,0.0005497526113249,0.0,0.0,0.0005497526113249,0.0016492578339747,0.0005497526113249,0.0,0.0016492578339747,0.0005497526113249,0.0005497526113249,0.0005497526113249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005497526113249,0.0,0.0,0.0,0.0,0.0005497526113249,0.0005497526113249,0.0005497526113249,0.0,0.0,0.0010995052226498,0.0,0.0,0.0005497526113249,0.0,0.0,0.0,0.0,0.0,0.0005497526113249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005497526113249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043980208905992,0.0016492578339747,0.0021990104452996,0.0,0.0010995052226498,0.0027487630566245,0.0021990104452996,0.0087960417811984,0.051126992853216,0.0005497526113249,0.0010995052226498,0.0,0.0010995052226498,0.0,0.0010995052226498,0.0,0.0005497526113249,0.0021990104452996,0.0010995052226498,0.0016492578339747,0.0016492578339747,0.0005497526113249,0.0,0.0,0.0005497526113249,0.0,0.0,0.0,0.0,0.133040131940627,0.0,0.0043980208905992,0.0,0.0,0.0
mgm4537104,0.924528301886792,0.0172955974842767,0.0003930817610062,0.0062893081761006,0.0019654088050314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003930817610062,0.0,0.0,0.0,0.0,0.0,0.0003930817610062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003930817610062,0.0,0.0,0.0,0.0,0.0,0.0003930817610062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011792452830188,0.0,0.0007861635220125,0.0,0.0,0.0003930817610062,0.0,0.0019654088050314,0.012185534591195,0.0,0.0,0.0,0.0,0.0,0.0003930817610062,0.0,0.0,0.0003930817610062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306603773584906,0.0,0.0,0.0,0.0,0.0
mgm4537105,0.918918918918919,0.0199764982373678,0.0,0.0054837446141794,0.0035252643948296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003916960438699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003916960438699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023501762632197,0.0007833920877399,0.0,0.0,0.0,0.0003916960438699,0.0,0.0003916960438699,0.0109674892283588,0.0,0.0,0.0,0.0,0.0003916960438699,0.0003916960438699,0.0,0.0003916960438699,0.0,0.0011750881316098,0.0,0.0,0.0003916960438699,0.0,0.0,0.0,0.0003916960438699,0.0003916960438699,0.0,0.0,0.0329024676850764,0.0,0.0,0.0,0.0,0.0
mgm4601897,0.581550669532154,0.0104149446189453,0.0003306331625061,0.0208298892378906,0.0060505868738634,0.0,0.0,3.30633162506199e-05,9.91899487518598e-05,0.0014547859150272,6.61266325012399e-05,6.61266325012399e-05,0.0,0.0,0.0001322532650024,6.61266325012399e-05,0.0001322532650024,3.30633162506199e-05,0.0001983798975037,3.30633162506199e-05,6.61266325012399e-05,3.30633162506199e-05,3.30633162506199e-05,0.0,0.0,9.91899487518598e-05,0.0,3.30633162506199e-05,0.0,0.0,0.0,6.61266325012399e-05,3.30633162506199e-05,0.0,3.30633162506199e-05,3.30633162506199e-05,0.0,0.0001322532650024,0.0001322532650024,0.0001653165812531,9.91899487518598e-05,0.0,0.0,0.0,6.61266325012399e-05,0.0,6.61266325012399e-05,0.0,0.0001322532650024,0.0,9.91899487518598e-05,3.30633162506199e-05,3.30633162506199e-05,0.0002314432137543,3.30633162506199e-05,3.30633162506199e-05,3.30633162506199e-05,3.30633162506199e-05,6.61266325012399e-05,6.61266325012399e-05,3.30633162506199e-05,3.30633162506199e-05,0.0,3.30633162506199e-05,0.0007273929575136,0.0005620763762605,0.000429823111258,0.0002314432137543,6.61266325012399e-05,0.0010580261200198,0.0001322532650024,0.0023144321375434,0.318002975698463,0.0004628864275086,6.61266325012399e-05,6.61266325012399e-05,0.0001322532650024,0.0,3.30633162506199e-05,3.30633162506199e-05,9.91899487518598e-05,0.000429823111258,0.0004959497437592,9.91899487518598e-05,0.0009257728550173,0.000429823111258,9.91899487518598e-05,0.0003967597950074,0.0002314432137543,3.30633162506199e-05,6.61266325012399e-05,3.30633162506199e-05,3.30633162506199e-05,0.0475119854521409,0.0004959497437592,0.0007935195900148,0.0,0.0,3.30633162506199e-05
mgm4601898,0.355888650963597,0.0916488222698073,0.0025695931477516,0.10406852248394,0.0723768736616702,0.0004282655246252,0.0004282655246252,0.0004282655246252,0.0,0.0102783725910064,0.0,0.0008565310492505,0.0004282655246252,0.0008565310492505,0.001713062098501,0.0004282655246252,0.0,0.0,0.0008565310492505,0.0,0.0004282655246252,0.0004282655246252,0.0,0.0008565310492505,0.0008565310492505,0.0004282655246252,0.0004282655246252,0.0004282655246252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004282655246252,0.0,0.0008565310492505,0.0004282655246252,0.0,0.001713062098501,0.001713062098501,0.0,0.0004282655246252,0.0,0.0004282655246252,0.0004282655246252,0.0,0.0008565310492505,0.0008565310492505,0.0004282655246252,0.0,0.0012847965738758,0.0021413276231263,0.0,0.0,0.0004282655246252,0.0008565310492505,0.0004282655246252,0.0,0.0,0.0,0.0004282655246252,0.0,0.0029978586723768,0.0094218415417558,0.0025695931477516,0.0004282655246252,0.0008565310492505,0.0029978586723768,0.001713062098501,0.0179871520342612,0.268522483940043,0.0004282655246252,0.0004282655246252,0.0,0.0,0.0,0.0004282655246252,0.0,0.0021413276231263,0.001713062098501,0.0012847965738758,0.0,0.0034261241970021,0.0021413276231263,0.0,0.0055674518201284,0.0047109207708779,0.0012847965738758,0.0004282655246252,0.0008565310492505,0.0,0.0,0.0025695931477516,0.0029978586723768,0.0004282655246252,0.0004282655246252,0.0
