samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Veblenbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4623267,0.7227006468384,0.135913667527324,0.0028276513179522,0.0101574726077372,0.0079190615520143,1.79384858124126e-05,4.67960499454241e-06,0.0020360181397088,0.0002226712043236,0.0001575467014829,6.82442395037435e-05,0.0001672958785548,0.0001138703882005,3.97766424536105e-05,9.74917707196336e-06,5.03057536913309e-05,8.57927582332775e-05,1.20889795692346e-05,8.85225278134273e-05,1.98883212268052e-05,5.38154574372377e-05,3.9386675370732e-05,2.02782883096838e-05,2.10582224754408e-05,1.20889795692346e-05,4.13365107851246e-05,2.65177616357403e-05,1.01391441548419e-05,1.1699012486356e-05,2.22281237240764e-05,1.20889795692346e-05,1.44287820665058e-05,1.55986833151414e-06,1.0919078320599e-05,8.18930874044922e-06,1.59886503980199e-05,5.84950624317801e-06,2.14481895583194e-05,1.13090454034775e-05,8.57927582332775e-06,1.28689137349916e-05,5.84950624317801e-06,1.20889795692346e-05,5.06957207742094e-06,1.52087162322628e-05,4.28963791166388e-06,3.89967082878534e-07,7.79934165757068e-06,1.52087162322628e-05,5.45953916029948e-06,7.79934165757068e-07,3.86067412049749e-05,2.8467597050133e-05,5.34254903543592e-05,2.8467597050133e-05,1.94983541439267e-05,1.24789466521131e-05,1.1699012486356e-05,8.57927582332775e-06,7.79934165757068e-06,5.84950624317801e-06,1.01391441548419e-05,8.18930874044922e-06,1.71585516466555e-05,1.94983541439267e-06,2.33980249727121e-06,1.28689137349916e-05,0.0002495789330422,0.0011484530590772,7.25338774154074e-05,1.52087162322628e-05,0.0002573782746998,2.53478603871047e-05,3.35371691275539e-05,8.18930874044922e-05,2.37879920555906e-05,1.71585516466555e-05,2.72976958014974e-06,0.0001680758127206,0.0001396082156705,1.36488479007487e-05,1.91083870610482e-05,2.45679262213477e-05,2.72976958014974e-06,0.0001169901248635,6.23947332605655e-06,9.35920998908482e-06,1.0919078320599e-05,7.79934165757068e-06,4.28963791166388e-06,1.48187491493843e-05,9.35920998908482e-06,8.18930874044922e-06,1.94983541439267e-06,4.67960499454241e-06,5.45953916029948e-06,7.01940749181362e-06,1.1699012486356e-06,4.28963791166388e-06,2.72976958014974e-06,9.35920998908482e-06,2.72976958014974e-06,1.94983541439267e-06,7.79934165757068e-07,0.0061139039253696,0.000324062645872,0.0029040848661964,0.00020863238934,0.0001208897956923,4.523618161391e-05,0.0035748282487475,0.0014327390624957,0.0010568107946008,0.0815916428494271,0.0002893555754958,0.000147407557328,1.55986833151414e-05,0.0016858276992839,3.04174324645257e-05,1.7548518729534e-05,3.11973666302827e-06,1.48187491493843e-05,3.11973666302827e-06,0.000613028254285,0.0046628364099786,0.0059052715360296,3.54870045419466e-05,5.34254903543592e-05,0.0004972080306701,0.0003427810658502,9.59319023881194e-05,5.45953916029948e-06,8.77425936476702e-05,3.58769716248251e-05,7.79934165757068e-06,1.1699012486356e-05,1.98883212268052e-05,1.83284528952911e-05,1.71585516466555e-05,1.55986833151414e-06,1.1699012486356e-06,0.0002838960363355,1.28689137349916e-05,8.26730215702493e-05,0.0,0.0017287240784005,1.32588808178702e-05,1.1699012486356e-06,8.96924290620629e-06,2.72976958014974e-06,3.89967082878534e-07,0.0,7.79934165757068e-07,5.06957207742094e-06,5.84950624317801e-06,1.1699012486356e-06,0.0,0.0
mgm4623268,0.67026770607068,0.148376907510584,0.0119970628322159,0.0166127951171826,0.0051560482417645,3.07288695809158e-05,1.15233260928434e-05,0.0021580629032764,0.0005985727720449,0.0001651676739974,0.0001741302609585,0.0001933358044465,8.96258696110045e-05,5.18549674177955e-05,2.30466521856869e-05,6.59390326423819e-05,0.0001203547391919,2.81681304491728e-05,0.000148522869641,3.26494239297231e-05,9.3466978308619e-05,3.84110869761448e-05,2.11260978368796e-05,3.00886847979801e-05,1.47242500075222e-05,2.94485000150443e-05,3.90512717590805e-05,2.49672065344941e-05,1.34438804416507e-05,3.39297934955946e-05,2.24064674027511e-05,2.94485000150443e-05,4.48129348055023e-06,1.92055434880724e-05,1.28036956587149e-05,2.75279456662371e-05,8.96258696110045e-06,3.64905326273376e-05,2.17662826198154e-05,1.66448043563294e-05,1.53644347904579e-05,7.04203261229321e-06,7.04203261229321e-06,1.21635108757792e-05,1.15233260928434e-05,3.20092391467873e-06,6.40184782935747e-07,1.02429565269719e-05,5.12147826348597e-06,9.6027717440362e-06,0.0,6.91399565570606e-05,7.10605109058679e-05,7.55418043864181e-05,5.18549674177955e-05,3.32896087126588e-05,2.94485000150443e-05,2.36868369686226e-05,2.49672065344941e-05,1.28036956587149e-05,1.53644347904579e-05,1.47242500075222e-05,8.96258696110045e-06,2.30466521856869e-05,6.40184782935747e-06,1.92055434880724e-06,1.85653587051367e-05,0.0009615575439694,0.0029909433058758,0.0002067796848882,5.12147826348597e-05,0.0011248046636181,8.00230978669683e-05,6.52988478594462e-05,0.0001664480435632,3.7770902193209e-05,2.81681304491728e-05,4.48129348055023e-06,6.78595869911891e-05,0.0005204702285267,3.07288695809158e-05,7.93829130840326e-05,8.77053152621973e-05,6.40184782935747e-06,0.0002925644458016,2.11260978368796e-05,2.62475761003656e-05,3.13690543638516e-05,1.15233260928434e-05,3.20092391467873e-06,4.48129348055023e-05,3.39297934955946e-05,2.49672065344941e-05,3.20092391467873e-06,1.34438804416507e-05,8.96258696110045e-06,2.49672065344941e-05,3.84110869761448e-06,1.28036956587149e-05,1.21635108757792e-05,1.02429565269719e-05,6.40184782935747e-07,8.96258696110045e-06,6.40184782935747e-07,0.0134982961482002,0.0008271187395529,0.0048602828720481,0.0006856379025241,8.25838369987113e-05,0.0001171538152772,0.0157594288015293,0.0129810268435881,0.0006491473698968,0.0340783163652357,0.0020229839140769,0.0003847510545443,3.20092391467873e-05,0.002819373784049,0.0001222752935407,5.18549674177955e-05,6.40184782935747e-06,1.98457282710081e-05,2.56073913174299e-06,0.0019301571205512,0.016369524899667,0.0185173448464165,0.0001229154783236,0.0001638873044315,0.0024787954795272,0.0003719473588856,0.0002477515109961,8.96258696110045e-06,8.45043913475185e-05,9.15464239598118e-05,2.56073913174299e-05,4.2892380456695e-05,4.09718261078878e-05,9.0906239176876e-05,4.41727500225665e-05,3.20092391467873e-06,1.28036956587149e-06,0.0011068794896959,4.92942282860525e-05,0.0002323870762056,0.0,0.0043967890892027,2.94485000150443e-05,1.28036956587149e-06,1.21635108757792e-05,3.20092391467873e-06,0.0,0.0,0.0,1.53644347904579e-05,5.12147826348597e-06,5.76166304642172e-06,1.28036956587149e-06,6.40184782935747e-07
mgm4623269,0.673152682373789,0.149656902908644,0.0120447205205644,0.0144949887103074,0.0050220077551137,2.08406771910102e-05,8.93171879614721e-06,0.002148971542353,0.000628197555329,0.0001744662404847,0.0001917342301572,0.000194711469756,8.09809170850681e-05,4.94221773386813e-05,3.03678439069005e-05,8.21718129245544e-05,0.0001089669693129,2.85815001476711e-05,0.0001440983965778,3.03678439069005e-05,0.0001053942817945,4.10859064622772e-05,1.66725417528081e-05,3.6322323104332e-05,1.25044063146061e-05,3.81086668635614e-05,3.98950106227909e-05,2.67951563884416e-05,2.08406771910102e-05,3.98950106227909e-05,2.32224688699828e-05,2.67951563884416e-05,4.76358335794518e-06,1.54816459133218e-05,1.42907500738355e-05,2.50088126292122e-05,1.6077093833065e-05,3.09632918266437e-05,1.96497813515239e-05,1.66725417528081e-05,2.26270209502396e-05,6.54992711717462e-06,1.1908958394863e-05,1.1908958394863e-05,1.72679896725513e-05,7.74082295666092e-06,1.1908958394863e-06,9.52716671589036e-06,4.16813543820203e-06,9.52716671589036e-06,0.0,6.54992711717462e-05,6.66901670112325e-05,7.32400941284072e-05,4.8231281499195e-05,2.67951563884416e-05,2.20315730304965e-05,2.61997084686985e-05,2.38179167897259e-05,1.25044063146061e-05,1.42907500738355e-05,1.48861979935787e-05,1.90543334317807e-05,2.20315730304965e-05,5.35903127768833e-06,1.78634375922944e-06,9.52716671589036e-06,0.0009217533797623,0.0029313901088955,0.0002238884178234,4.16813543820203e-05,0.0011974457666034,9.46762192391605e-05,5.41857606966264e-05,0.0001470756361765,4.10859064622772e-05,2.97723959871574e-05,2.38179167897259e-06,5.6567552375599e-05,0.0005037489401027,4.0490458542534e-05,7.14537503691777e-05,8.57445004430133e-05,8.33627087640407e-06,0.0002923649285938,2.50088126292122e-05,2.50088126292122e-05,3.75132189438183e-05,2.08406771910102e-05,4.16813543820203e-06,4.88267294189381e-05,3.33450835056163e-05,1.72679896725513e-05,5.35903127768833e-06,2.32224688699828e-05,9.52716671589036e-06,2.56042605489553e-05,2.38179167897259e-06,9.52716671589036e-06,8.93171879614721e-06,8.33627087640407e-06,1.78634375922944e-06,8.33627087640407e-06,2.38179167897259e-06,0.0133511332564809,0.0008580404523498,0.0048272962853577,0.0006669016701123,8.57445004430133e-05,0.0001125396568314,0.0158740460924326,0.0128116574411936,0.0006085477739774,0.0327025952002134,0.0019381829787639,0.0003703686060802,1.90543334317807e-05,0.0028379047854958,0.0001244486152263,5.18039690176538e-05,8.33627087640407e-06,2.0245229271267e-05,6.54992711717462e-06,0.0019125787182149,0.0164045901889237,0.0183624229490392,0.0001381439173804,0.0001548164591332,0.0024699179710945,0.0003864456999133,0.0002631879805264,5.35903127768833e-06,7.80036774863523e-05,8.57445004430133e-05,2.85815001476711e-05,3.6322323104332e-05,3.51314272648457e-05,8.39581566837838e-05,4.10859064622772e-05,2.97723959871574e-06,5.35903127768833e-06,0.0010479883387479,4.8231281499195e-05,0.0001393348132198,5.95447919743148e-07,0.0044378733458456,2.38179167897259e-05,0.0,1.78634375922944e-05,1.1908958394863e-06,1.78634375922944e-06,0.0,0.0,1.36953021540924e-05,5.95447919743148e-06,1.01226146356335e-05,5.95447919743148e-07,5.95447919743148e-07
mgm4623270,0.726525229543697,0.112984733957528,0.0006131336469246,0.0092291076060675,0.0023886466338199,1.23961701555529e-05,6.35701033618096e-06,0.0004879005433018,6.89735621475634e-05,0.0001223724489714,2.06602835925881e-05,0.0001156975881184,8.32768354039705e-05,3.17850516809048e-05,6.99271136979905e-06,3.62349589162315e-05,7.46948714501262e-05,1.52568248068343e-05,5.49881394079653e-05,1.04890670546986e-05,5.43524383743472e-05,3.14672011640957e-05,1.77996289413067e-05,1.71639279076886e-05,1.3031871189171e-05,3.337430426495e-05,1.20783196387438e-05,1.01712165378895e-05,1.84353299749248e-05,1.04890670546986e-05,6.03915981937191e-06,7.3105618866081e-06,2.54280413447238e-06,1.23961701555529e-05,4.44990723532667e-06,1.46211237732162e-05,5.72130930256286e-06,1.62103763572614e-05,7.9462629202262e-06,4.76775775213572e-06,1.11247680883167e-05,3.81420620170857e-06,5.72130930256286e-06,5.40345878575381e-06,9.53551550427143e-06,4.44990723532667e-06,6.35701033618096e-07,8.58196395384429e-06,1.11247680883167e-05,4.76775775213572e-06,6.35701033618096e-07,2.86065465128143e-05,2.82886959960053e-05,5.75309435424377e-05,2.38387887606786e-05,2.09781341093972e-05,1.17604691219348e-05,1.334972170598e-05,7.9462629202262e-06,5.08560826894477e-06,2.54280413447238e-06,1.08069175715076e-05,5.72130930256286e-06,1.55746753236433e-05,2.54280413447238e-06,1.58925258404524e-06,5.08560826894477e-06,5.3081036307111e-05,0.0002215418102159,2.09781341093972e-05,8.89981447065334e-06,7.62841240341715e-05,8.26411343703524e-06,3.21029021977138e-05,6.96092631811815e-05,2.12959846262062e-05,1.81174794581157e-05,1.27140206723619e-06,0.0001465290882489,2.28852372102514e-05,7.9462629202262e-06,9.21766498746239e-06,7.62841240341715e-06,2.86065465128143e-06,3.337430426495e-05,2.22495361766333e-06,3.49635568489953e-06,5.08560826894477e-06,2.86065465128143e-06,1.90710310085429e-06,6.03915981937191e-06,1.27140206723619e-06,7.62841240341715e-06,2.86065465128143e-06,1.58925258404524e-06,3.49635568489953e-06,2.86065465128143e-06,6.35701033618096e-07,3.49635568489953e-06,1.90710310085429e-06,5.72130930256286e-06,6.35701033618096e-07,9.53551550427143e-07,6.35701033618096e-07,0.0017761486879289,0.0001729106811441,0.0023161767159875,9.44016034922872e-05,0.0001020300158957,1.87531804917338e-05,0.0013826497481193,0.0002917867744307,0.0006331582294836,0.133759443736168,0.0001102941293327,7.15163662820358e-05,1.27140206723619e-05,0.0006414223429206,1.36675722227891e-05,1.23961701555529e-05,1.27140206723619e-06,1.14426186051257e-05,2.22495361766333e-06,0.0002806620063423,0.0009773903391878,0.0012739448713706,1.52568248068343e-05,1.49389742900252e-05,0.0002787549032415,0.0002409306917412,3.75063609834676e-05,2.54280413447238e-06,5.43524383743472e-05,3.49635568489953e-05,7.9462629202262e-06,1.27140206723619e-05,1.93888815253519e-05,1.36675722227891e-05,1.46211237732162e-05,1.90710310085429e-06,9.53551550427143e-07,0.0001023478664125,3.49635568489953e-06,0.0002476055525942,0.0,0.000599148224185,8.58196395384429e-06,6.35701033618096e-07,5.40345878575381e-06,1.27140206723619e-06,6.35701033618096e-07,1.27140206723619e-06,3.17850516809048e-07,3.49635568489953e-06,3.17850516809048e-06,9.53551550427143e-07,9.53551550427143e-07,3.17850516809048e-07
mgm4623271,0.720754173730472,0.135318299129243,0.0027122499873406,0.0106351502743846,0.0079258297346464,1.96691481877809e-05,3.3479401170691e-06,0.0020116935178438,0.000206735302229,0.0001452169025778,6.82142798852828e-05,0.0001732559010583,0.0001226183067876,4.47786990657992e-05,9.20683532194001e-06,4.47786990657992e-05,8.11875478389256e-05,1.42287454975437e-05,8.57909654998956e-05,1.88321631585137e-05,5.94259370779765e-05,3.85013113462946e-05,2.301708830485e-05,2.17616107609491e-05,1.25547754390091e-05,3.38978936853246e-05,1.96691481877809e-05,1.54842230414446e-05,1.42287454975437e-05,1.841367064388e-05,1.17177904097418e-05,2.05061332170482e-05,3.3479401170691e-06,1.29732679536427e-05,9.20683532194001e-06,1.59027155560782e-05,5.44040269023728e-06,2.34355808194837e-05,1.88321631585137e-05,9.62532783657365e-06,2.46910583633846e-05,4.18492514633637e-06,8.78834280730638e-06,3.76643263170273e-06,1.29732679536427e-05,5.44040269023728e-06,4.18492514633637e-07,8.36985029267274e-06,1.50657305268109e-05,8.36985029267274e-06,0.0,4.2686236492631e-05,3.13869385975228e-05,4.68711616389673e-05,2.38540733341173e-05,1.42287454975437e-05,1.33917604682764e-05,1.63212080707118e-05,1.04623128658409e-05,4.60341766097001e-06,3.3479401170691e-06,1.46472380121773e-05,7.11437274877183e-06,1.46472380121773e-05,3.76643263170273e-06,1.25547754390091e-06,1.42287454975437e-05,0.0002565359114704,0.0011244893868205,5.44040269023728e-05,1.17177904097418e-05,0.0002477475686631,2.17616107609491e-05,3.47348787145919e-05,9.03943831608656e-05,2.21801032755828e-05,2.46910583633846e-05,1.67397005853455e-06,0.00017702233369,0.0001276402169632,1.42287454975437e-05,2.00876407024146e-05,2.63650284219191e-05,3.3479401170691e-06,0.0001155039340388,6.69588023413819e-06,7.9513577780391e-06,1.79951781292464e-05,7.9513577780391e-06,2.09246257316819e-06,1.46472380121773e-05,8.36985029267274e-06,1.42287454975437e-05,8.36985029267274e-07,2.51095508780182e-06,4.18492514633637e-06,9.62532783657365e-06,2.51095508780182e-06,6.69588023413819e-06,1.25547754390091e-06,8.36985029267274e-06,4.18492514633637e-07,4.18492514633637e-07,4.18492514633637e-07,0.0060354990460463,0.0003310275790752,0.0028733696054745,0.0001987839444509,0.0001150854415242,4.51971915804328e-05,0.0035881548204688,0.0013793513282324,0.0010838956129011,0.0836344735719885,0.0003205652662093,0.0001565162004729,1.54842230414446e-05,0.0016543009103467,2.97129685389882e-05,2.05061332170482e-05,4.18492514633637e-06,1.08808053804746e-05,2.51095508780182e-06,0.0005942593707797,0.0046875346564113,0.0059681217511903,3.38978936853246e-05,4.01752814048292e-05,0.0005147457929993,0.0003569741149824,0.0001000197109974,2.51095508780182e-06,8.70464430437965e-05,4.22677439779973e-05,1.54842230414446e-05,1.12992978951082e-05,2.00876407024146e-05,2.42725658487509e-05,2.00876407024146e-05,4.60341766097001e-06,1.67397005853455e-06,0.0002962927003606,1.12992978951082e-05,0.0002314263605924,0.0,0.0017731527845027,1.42287454975437e-05,4.18492514633637e-07,5.85889520487092e-06,8.36985029267274e-07,0.0,4.18492514633637e-07,0.0,5.85889520487092e-06,2.92944760243546e-06,2.09246257316819e-06,0.0,8.36985029267274e-07
mgm4623272,0.731296396294418,0.112001898685044,0.0012540486414929,0.0497539609230646,0.0084537994048826,1.40212692394898e-05,4.7877504720209e-06,0.001022526707953,0.0001255074588022,0.0002424653631902,3.76180394230214e-05,0.0002253662543615,0.000171333070463,4.95874156030736e-05,1.40212692394898e-05,6.05308452534071e-05,0.0001326890845102,2.73585741258337e-05,9.130924114497e-05,2.1544877124094e-05,0.0001138800647987,5.54011126048133e-05,3.35142533041463e-05,3.043641371499e-05,1.50472157692085e-05,5.81369700173966e-05,2.83845206555525e-05,1.70991088286461e-05,2.32547880069587e-05,1.84670375349378e-05,1.36792870629169e-05,1.43632514160627e-05,4.10378611887506e-06,1.40212692394898e-05,1.09434296503335e-05,1.7441091005219e-05,9.5755009440418e-06,2.77005563024066e-05,2.01769484178024e-05,8.54955441432303e-06,2.66746097726879e-05,5.81369700173966e-06,1.53891979457815e-05,8.20757223775011e-06,1.12854118269064e-05,3.07783958915629e-06,1.02594652971876e-06,8.54955441432303e-06,1.43632514160627e-05,1.23113583566252e-05,0.0,5.6427059134532e-05,5.91629165471154e-05,8.65214906729491e-05,4.51416473076256e-05,3.07783958915629e-05,2.01769484178024e-05,2.32547880069587e-05,1.26533405331981e-05,9.23351876746888e-06,2.05189305943753e-06,2.63326275961149e-05,1.09434296503335e-05,2.5990645419542e-05,8.89153659089596e-06,1.36792870629169e-06,1.16273940034793e-05,8.65214906729491e-05,0.0004209800593612,3.18043424212817e-05,1.19693761800522e-05,0.0001207197083302,1.06014474737606e-05,4.58256116607715e-05,0.0001251654766256,3.043641371499e-05,3.45401998338651e-05,2.05189305943753e-06,0.0004202960950081,5.57430947813862e-05,1.81250553583648e-05,1.26533405331981e-05,1.64151444755002e-05,2.39387523601045e-06,7.25002214334593e-05,6.49766135488551e-06,6.49766135488551e-06,9.91748312061472e-06,4.44576829544798e-06,4.44576829544798e-06,9.23351876746888e-06,5.12973264859382e-06,1.26533405331981e-05,3.07783958915629e-06,3.41982176572921e-06,4.10378611887506e-06,3.07783958915629e-06,3.41982176572921e-07,4.44576829544798e-06,1.70991088286461e-06,1.40212692394898e-05,4.7877504720209e-06,1.70991088286461e-06,3.41982176572921e-07,0.0032731114119794,0.0002387035592478,0.0022776012959756,0.0001371348528057,0.0001966397515294,2.49646988898233e-05,0.0020443694515529,0.000494848209501,0.0007424433053398,0.0732231717547345,0.0002038213772374,0.0001029366351484,7.18162570803135e-06,0.0018935553116842,2.22288414772399e-05,2.1544877124094e-05,3.41982176572921e-06,1.26533405331981e-05,5.12973264859382e-06,0.0003724185902879,0.0018042979635987,0.0024503022951449,2.87265028321254e-05,2.32547880069587e-05,0.0003672888576393,0.0003303547825694,5.77949878408237e-05,4.10378611887506e-06,9.74649203232826e-05,5.12973264859382e-05,8.89153659089596e-06,1.02594652971876e-05,2.32547880069587e-05,1.47052335926356e-05,1.77830731817919e-05,4.10378611887506e-06,1.36792870629169e-06,0.00021852661083,8.54955441432303e-06,0.0004165342910658,6.83964353145843e-07,0.0010368899593691,6.49766135488551e-06,1.02594652971876e-06,8.20757223775011e-06,2.39387523601045e-06,6.83964353145843e-07,3.41982176572921e-07,3.41982176572921e-07,7.52360788460427e-06,4.10378611887506e-06,3.76180394230214e-06,0.0,0.0
mgm4667220,0.386480668653836,0.440275126394979,0.0068942292532093,0.0565192654384227,0.0021209251024888,1.46720414468869e-05,5.1235700290716e-06,0.0020906494614079,0.0005454273185493,0.0001048002960491,0.0040438940902181,0.0001306510357413,3.60978797502772e-05,3.37689842825174e-05,1.2576035525903e-05,4.54134616213165e-05,7.26615385941064e-05,9.31558187103928e-06,0.0001245959075251,1.56035996339908e-05,5.21672584778199e-05,1.63022682743187e-05,1.04800296049192e-05,1.49049309936628e-05,9.54847141781526e-06,1.93298323824065e-05,2.79467456131178e-05,1.51378205404388e-05,1.14115877920231e-05,3.12071992679816e-05,2.07271696630624e-05,2.91111933469977e-05,2.79467456131178e-06,1.09458086984712e-05,6.05512821617553e-06,1.42062623533349e-05,8.38402368393535e-06,1.44391519001109e-05,9.31558187103928e-06,8.38402368393535e-06,1.21102564323511e-05,3.72623274841571e-06,5.82223866939955e-06,6.98668640327946e-06,8.84980277748731e-06,3.72623274841571e-06,4.65779093551964e-07,5.82223866939955e-06,6.98668640327946e-07,1.39733728065589e-06,0.0,3.72623274841571e-05,3.95912229519169e-05,4.33174557003326e-05,3.42347633760693e-05,2.16587278501663e-05,1.21102564323511e-05,1.2343145979127e-05,1.07129191516952e-05,8.84980277748731e-06,6.98668640327946e-06,9.54847141781526e-06,1.18773668855751e-05,1.70009369146467e-05,3.95912229519169e-06,3.26045365486375e-06,3.26045365486375e-06,0.0002801661247715,0.0031999023727019,0.0001646529095706,1.79324951017506e-05,0.0004448190343421,6.28801776295151e-05,3.47005424696213e-05,0.0001315825939284,3.77281065777091e-05,2.5617850145358e-05,1.63022682743187e-06,6.24143985359632e-05,0.0002939066080312,1.74667160081986e-05,2.5617850145358e-05,7.12642013134505e-05,4.19201184196767e-06,2.608362923891e-05,1.07129191516952e-05,1.37404832597829e-05,1.93298323824065e-05,1.56035996339908e-05,2.32889546775982e-06,3.37689842825174e-05,3.53992111099492e-05,8.38402368393535e-06,1.63022682743187e-06,1.51378205404388e-05,6.28801776295151e-06,1.44391519001109e-05,2.32889546775982e-06,7.21957595005544e-06,2.79467456131178e-06,5.58934912262357e-06,2.09600592098384e-06,1.39733728065589e-06,4.65779093551964e-07,0.0157209759655659,0.0005705793896011,0.0023479924105954,0.0002797003456779,0.0001893392015288,6.4976183550499e-05,0.0038876252043314,0.0020741143035868,0.0002496575941438,0.0101437370993747,0.000208901923458,0.0002326566572292,1.51378205404388e-05,0.0032245886646602,5.05370316503881e-05,1.88640532888545e-05,4.65779093551964e-06,1.14115877920231e-05,1.39733728065589e-06,0.0011024991144375,0.0186432739985109,0.0205178019605108,6.35788462698431e-05,0.0001308839252881,0.0006194861944241,0.0002918106021103,0.0002331224363227,4.65779093551964e-06,4.82081361826283e-05,6.17157298956352e-05,1.07129191516952e-05,1.49049309936628e-05,2.93440828937737e-05,1.93298323824065e-05,2.74809665195659e-05,4.19201184196767e-06,2.32889546775982e-06,0.0068832834445109,6.4743294003723e-05,7.12642013134505e-05,6.98668640327946e-07,0.0064831792031497,1.04800296049192e-05,4.65779093551964e-07,1.49049309936628e-05,1.63022682743187e-06,9.31558187103928e-07,0.0,9.31558187103928e-07,4.65779093551964e-06,2.09600592098384e-06,3.26045365486375e-06,2.32889546775982e-07,0.0
