samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Ryanbacteria,Candidatus.Komeilibacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Spechtbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Ratteibacteria,Candidatus.Raymondbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fischerbacteria,Candidatus.Absconditabacteria,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Deferribacterota,Nitrososphaerota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Candidatus.Micrarchaeota,Candidatus.Altiarchaeota,Candidatus.Heimdallarchaeota
mgm4503268,0.865654205607477,0.0957943925233645,0.0,0.0052570093457943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321261682242991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011682242990654,0.0,0.0,0.0,0.0
mgm4503270,0.24608525445846,0.383536320139191,3.62476439031463e-05,0.138973466724663,0.0,0.0,0.0,3.62476439031463e-05,0.0,9.06191097578657e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81238219515731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81238219515731e-05,0.0,0.0,5.43714658547194e-05,0.0,0.0,1.81238219515731e-05,1.81238219515731e-05,1.81238219515731e-05,0.230444396114253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81238219515731e-05,0.0,3.62476439031463e-05,0.0,7.24952878062926e-05,0.0,0.0,0.0,0.0004893431926924,1.81238219515731e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.81238219515731e-05,0.0,0.0,0.0,0.0
mgm4503272,0.910551558752998,0.0215609330717244,0.0,0.0541094397209505,2.18007412252017e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18007412252017e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036080226727708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087856987137562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012753433616743,0.0,0.0,1.09003706126008e-05,0.0,0.0,0.0,2.18007412252017e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27011118378025e-05,0.0,0.0,0.0,0.0
mgm4503273,0.901161365105548,0.0378502485455072,0.0,0.0529858897483337,0.0003566572301107,0.0,0.0,0.0020730701500189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22910768819242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45821537638483e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.68732306457725e-05,2.22910768819242e-05,0.0003120750763469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046588350683221,0.0003343661532288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001114553844096,0.0,0.0,0.0,0.0
mgm4503275,0.641282381039868,0.200624655520852,0.0,0.157404005144222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18611060077163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59305530038582e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001837222120154,0.0001837222120154,0.0,4.59305530038582e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001377916590115,0.0,0.0,0.0,0.0
mgm4503276,0.504432542852279,0.15776447942174,0.0,0.33750180051593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30946613065853e-05,0.0,0.0,0.0,0.0,0.0,2.61893226131706e-05,0.0,1.30946613065853e-05,0.0001964199195987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30946613065853e-05,1.30946613065853e-05,0.0,1.30946613065853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30946613065853e-05,0.0,0.0,0.0,0.0
mgm4503278,0.181718407024145,0.503188042228494,2.61314936761785e-05,0.31441413191178,2.61314936761785e-05,0.0,0.0,2.61314936761785e-05,0.0,5.22629873523571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61314936761785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61314936761785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61314936761785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61314936761785e-05,0.0002613149367617,7.83944810285356e-05,2.61314936761785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61314936761785e-05,0.0,0.0,2.61314936761785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61314936761785e-05,0.0,0.0,0.0,0.0
mgm4503279,0.428343558282209,0.539631901840491,0.0004907975460122,0.0256441717791411,0.0,0.0,0.0,0.0003680981595092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003680981595092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011042944785276,0.0,0.0,0.0,0.0,0.0,0.000122699386503,0.000122699386503,0.0,0.0014723926380368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017177914110429,0.0003680981595092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000122699386503,0.0,0.0,0.0,0.000122699386503,0.0,0.0,0.0,0.0
mgm4503280,0.405013927576602,0.515877437325905,0.0,0.079108635097493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4503281,0.993335946687574,0.0044326508458221,0.0008744685342098,0.0002713867864789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950848837559,0.0,0.0,3.01540873865452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03081747730905e-05,0.0,0.0,0.0,0.0
