samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Andersenbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Huberarchaea,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Lokiarchaeota,Candidatus.Thorarchaeota
mgm4704667,0.635933806146572,0.0819542947202522,0.0018011932905549,0.0230777890352358,0.0238658110998537,0.0002251491613193,0.0,0.0015760441292356,0.000337723741979,0.0024766407745131,0.0,0.0004502983226387,0.0002251491613193,0.0002251491613193,0.0,0.0002251491613193,0.000337723741979,0.0001125745806596,0.0001125745806596,0.0,0.0001125745806596,0.0001125745806596,0.0,0.0002251491613193,0.0001125745806596,0.0001125745806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0001125745806596,0.0,0.0,0.0001125745806596,0.0,0.0001125745806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001125745806596,0.0001125745806596,0.0001125745806596,0.0,0.0005628729032984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001125745806596,0.0,0.0,0.0001125745806596,0.0001125745806596,0.0002251491613193,0.0002251491613193,0.0,0.0,0.0,0.0001125745806596,0.0002251491613193,0.0,0.000337723741979,0.0001125745806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001125745806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001125745806596,0.0,0.0,0.0,0.0231903636158955,0.0004502983226387,0.0027017899358324,0.0002251491613193,0.0002251491613193,0.0001125745806596,0.003940110323089,0.0,0.0027017899358324,0.171676235506023,0.0011257458065968,0.0002251491613193,0.0,0.0005628729032984,0.0,0.0002251491613193,0.0,0.0,0.0007880220646178,0.0016886187098953,0.0055161544523246,0.0001125745806596,0.0001125745806596,0.0018011932905549,0.0016886187098953,0.0001125745806596,0.0,0.0002251491613193,0.0001125745806596,0.0002251491613193,0.0002251491613193,0.0,0.0001125745806596,0.0,0.0,0.0,0.0002251491613193,0.0,0.0001125745806596,0.0,0.0029269390971518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4704668,0.602021478205938,0.120341124447252,0.0023689197725837,0.0262160454832596,0.0579595704358812,0.0001579279848389,0.0,0.0012634238787113,0.0004737839545167,0.0007896399241945,0.0001579279848389,0.0001579279848389,0.0,0.0,0.0,0.0001579279848389,0.0003158559696778,0.0,0.0003158559696778,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0001579279848389,0.0009475679090334,0.0,0.0001579279848389,0.0,0.0,0.0,0.0003158559696778,0.0,0.0,0.0001579279848389,0.0006317119393556,0.0,0.0001579279848389,0.0001579279848389,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0,0.0326910928616551,0.0006317119393556,0.0026847757422615,0.0004737839545167,0.0007896399241945,0.0,0.0052116234996841,0.0004737839545167,0.0009475679090334,0.116392924826279,0.0006317119393556,0.0004737839545167,0.0,0.0014213518635502,0.0,0.0,0.0,0.0,0.0011054958938723,0.003632343651295,0.0085281111813013,0.0001579279848389,0.0001579279848389,0.0015792798483891,0.0011054958938723,0.0,0.0,0.0,0.0007896399241945,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0,0.0,0.0,0.0001579279848389,0.0,0.0031585596967782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4704669,0.681311232978002,0.0841086943126502,0.001725306550003,0.0165958058619344,0.0371967876435188,2.05393636905129e-05,0.0,0.000883192638692,0.0002670117279766,0.0003697085464292,6.16180910715386e-05,0.0004724053648817,0.000123236182143,6.16180910715386e-05,0.0,0.0001026968184525,8.21574547620515e-05,6.16180910715386e-05,0.0001643149095241,0.0,8.21574547620515e-05,4.10787273810257e-05,6.16180910715386e-05,8.21574547620515e-05,2.05393636905129e-05,0.000123236182143,8.21574547620515e-05,0.0,2.05393636905129e-05,2.05393636905129e-05,2.05393636905129e-05,2.05393636905129e-05,4.10787273810257e-05,0.0,2.05393636905129e-05,2.05393636905129e-05,4.10787273810257e-05,0.0001026968184525,2.05393636905129e-05,2.05393636905129e-05,2.05393636905129e-05,4.10787273810257e-05,2.05393636905129e-05,0.0,2.05393636905129e-05,0.0,0.0,4.10787273810257e-05,8.21574547620515e-05,0.0001026968184525,2.05393636905129e-05,8.21574547620515e-05,4.10787273810257e-05,0.0,4.10787273810257e-05,2.05393636905129e-05,2.05393636905129e-05,4.10787273810257e-05,0.0,0.0001437755458335,0.0,0.0,0.0,0.0001643149095241,0.0003902479101197,0.000123236182143,2.05393636905129e-05,0.0002259330005956,2.05393636905129e-05,0.0001026968184525,0.0002053936369051,4.10787273810257e-05,8.21574547620515e-05,8.21574547620515e-05,4.10787273810257e-05,2.05393636905129e-05,2.05393636905129e-05,2.05393636905129e-05,2.05393636905129e-05,4.10787273810257e-05,0.0,0.0,2.05393636905129e-05,2.05393636905129e-05,0.0,2.05393636905129e-05,2.05393636905129e-05,2.05393636905129e-05,8.21574547620515e-05,4.10787273810257e-05,2.05393636905129e-05,0.0,4.10787273810257e-05,0.0,2.05393636905129e-05,0.0439131595703165,0.0003697085464292,0.0019923182779797,0.0002670117279766,0.0004518660011912,6.16180910715386e-05,0.0039024791011974,0.0004313266375007,0.0014993735494074,0.104791833548997,0.0002875510916671,0.0003080904553576,4.10787273810257e-05,0.0003697085464292,4.10787273810257e-05,4.10787273810257e-05,4.10787273810257e-05,0.0,0.0005956415470248,0.0023414874607184,0.0051143015589377,0.0001026968184525,4.10787273810257e-05,0.0011502043666687,0.0005545628196438,0.0001848542732146,0.0,0.0003286298190482,0.0001437755458335,2.05393636905129e-05,4.10787273810257e-05,6.16180910715386e-05,4.10787273810257e-05,0.0001437755458335,2.05393636905129e-05,0.0,0.0001643149095241,0.0,0.000123236182143,0.0,0.0028344321892907,2.05393636905129e-05,0.0,0.0,0.0,0.0,2.05393636905129e-05,2.05393636905129e-05,0.0,0.0
mgm4704670,0.673922902494331,0.10602166792643,0.0018392542202066,0.018745275888133,0.0197026958931721,0.000100781053162,0.0,0.0014361300075585,0.0001763668430335,0.000856638951877,0.0001259763164525,0.0004283194759385,0.000100781053162,0.000151171579743,2.51952632905014e-05,0.000100781053162,0.000251952632905,0.000151171579743,0.000151171579743,5.03905265810028e-05,5.03905265810028e-05,7.55857898715042e-05,2.51952632905014e-05,5.03905265810028e-05,7.55857898715042e-05,0.000100781053162,5.03905265810028e-05,5.03905265810028e-05,2.51952632905014e-05,5.03905265810028e-05,0.0,5.03905265810028e-05,0.0,0.0,0.0,5.03905265810028e-05,5.03905265810028e-05,2.51952632905014e-05,0.0,0.0,5.03905265810028e-05,5.03905265810028e-05,0.0,0.0,0.0,0.0,2.51952632905014e-05,5.03905265810028e-05,0.0001763668430335,0.0001259763164525,5.03905265810028e-05,2.51952632905014e-05,2.51952632905014e-05,5.03905265810028e-05,0.0,2.51952632905014e-05,0.0,5.03905265810028e-05,2.51952632905014e-05,0.000100781053162,2.51952632905014e-05,0.0,0.000100781053162,5.03905265810028e-05,0.0005291005291005,5.03905265810028e-05,0.0,0.000201562106324,2.51952632905014e-05,5.03905265810028e-05,0.0002267573696145,2.51952632905014e-05,5.03905265810028e-05,0.000151171579743,0.000100781053162,0.0,0.0,5.03905265810028e-05,0.0,5.03905265810028e-05,2.51952632905014e-05,0.0,2.51952632905014e-05,2.51952632905014e-05,0.0,7.55857898715042e-05,0.0,2.51952632905014e-05,0.0,2.51952632905014e-05,2.51952632905014e-05,0.0,0.0,5.03905265810028e-05,0.0,0.0236583522297808,0.0003779289493575,0.0032501889644746,0.000201562106324,0.0003275384227765,0.000100781053162,0.0043335852859662,0.0007306626354245,0.0018392542202066,0.116528092718569,0.000352733686067,0.000151171579743,0.0,0.000554295792391,5.03905265810028e-05,5.03905265810028e-05,5.03905265810028e-05,5.03905265810028e-05,0.000806248425296,0.0025951121189216,0.0086923658352229,0.0001763668430335,2.51952632905014e-05,0.0012849584278155,0.0010833963214915,7.55857898715042e-05,2.51952632905014e-05,0.000453514739229,5.03905265810028e-05,0.000100781053162,7.55857898715042e-05,5.03905265810028e-05,0.0,7.55857898715042e-05,0.0,0.0,0.000100781053162,2.51952632905014e-05,0.0001259763164525,0.0,0.0035777273872512,2.51952632905014e-05,2.51952632905014e-05,2.51952632905014e-05,0.0,0.0,0.0,0.0,5.03905265810028e-05,0.0
mgm4704671,0.682002022244692,0.089989888776542,0.0025278058645096,0.0219919110212336,0.0406976744186047,0.0,0.0,0.0012639029322548,0.0002527805864509,0.0005055611729019,0.0,0.0002527805864509,0.0007583417593528,0.0,0.0,0.0,0.0002527805864509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002527805864509,0.0,0.0,0.0,0.0,0.0,0.0,0.0002527805864509,0.0,0.0,0.0,0.0002527805864509,0.0,0.0,0.0,0.0,0.0,0.0005055611729019,0.0,0.0,0.0,0.0002527805864509,0.0002527805864509,0.0002527805864509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005055611729019,0.0,0.0,0.0,0.0005055611729019,0.0,0.0005055611729019,0.0002527805864509,0.0,0.0,0.0,0.0,0.0002527805864509,0.0,0.0,0.0,0.0002527805864509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139029322548028,0.0010111223458038,0.0022750252780586,0.0002527805864509,0.0005055611729019,0.0005055611729019,0.0030333670374115,0.0,0.0030333670374115,0.110717896865521,0.0005055611729019,0.0,0.0,0.0007583417593528,0.0,0.0,0.0,0.0,0.0010111223458038,0.0022750252780586,0.0065722952477249,0.0002527805864509,0.0,0.0015166835187057,0.0005055611729019,0.0,0.0,0.0012639029322548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005055611729019,0.0,0.0,0.0,0.0048028311425682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4708965,0.671112042079784,0.108085462924173,0.0017921146953405,0.0206442303216497,0.0195736163478099,9.30968672904157e-05,2.32742168226039e-05,0.0014197272261788,0.000232742168226,0.0009542428897267,0.000116371084113,0.0003956616859842,9.30968672904157e-05,0.0001396453009356,2.32742168226039e-05,0.000116371084113,0.0002792906018712,0.0001396453009356,0.0001396453009356,6.98226504678118e-05,6.98226504678118e-05,4.65484336452078e-05,2.32742168226039e-05,2.32742168226039e-05,6.98226504678118e-05,0.0001396453009356,4.65484336452078e-05,4.65484336452078e-05,2.32742168226039e-05,4.65484336452078e-05,0.0,4.65484336452078e-05,0.0,0.0,0.0,4.65484336452078e-05,2.32742168226039e-05,2.32742168226039e-05,0.0,0.0,4.65484336452078e-05,4.65484336452078e-05,0.0,0.0,0.0,0.0,2.32742168226039e-05,6.98226504678118e-05,0.0001629195177582,0.0001396453009356,4.65484336452078e-05,2.32742168226039e-05,2.32742168226039e-05,4.65484336452078e-05,0.0,2.32742168226039e-05,0.0,4.65484336452078e-05,2.32742168226039e-05,9.30968672904157e-05,2.32742168226039e-05,0.0,9.30968672904157e-05,4.65484336452078e-05,0.0005585812037424,4.65484336452078e-05,0.0,0.0001861937345808,2.32742168226039e-05,6.98226504678118e-05,0.000232742168226,2.32742168226039e-05,4.65484336452078e-05,0.0001396453009356,9.30968672904157e-05,0.0,0.0,4.65484336452078e-05,0.0,4.65484336452078e-05,2.32742168226039e-05,0.0,2.32742168226039e-05,2.32742168226039e-05,0.0,6.98226504678118e-05,0.0,2.32742168226039e-05,0.0,2.32742168226039e-05,0.0,0.0,0.0,4.65484336452078e-05,0.0,0.0235535074244752,0.0003956616859842,0.0032816645719871,0.0002560163850486,0.0003258390355164,6.98226504678118e-05,0.0043522785458269,0.0006749522878555,0.0018386631289857,0.114974631103663,0.0003258390355164,0.000232742168226,0.0,0.0005353069869198,4.65484336452078e-05,6.98226504678118e-05,4.65484336452078e-05,4.65484336452078e-05,0.0008844202392589,0.0024205185495508,0.0090536703439929,0.0002094679514034,6.98226504678118e-05,0.0012800819252432,0.0011171624074849,4.65484336452078e-05,2.32742168226039e-05,0.000465484336452,9.30968672904157e-05,9.30968672904157e-05,6.98226504678118e-05,4.65484336452078e-05,2.32742168226039e-05,6.98226504678118e-05,0.0,0.0,0.000116371084113,2.32742168226039e-05,0.0001396453009356,0.0,0.0037704231252618,2.32742168226039e-05,2.32742168226039e-05,2.32742168226039e-05,0.0,0.0,0.0,0.0,4.65484336452078e-05,0.0
mgm4708967,0.637306796527631,0.0831039593478721,0.0019055684946008,0.023502011433411,0.0238196061825111,0.0002117298327334,0.0,0.0015879737455007,0.0002117298327334,0.0023290281600677,0.0,0.0004234596654668,0.0002117298327334,0.0002117298327334,0.0,0.0002117298327334,0.0003175947491001,0.0001058649163667,0.0001058649163667,0.0,0.0001058649163667,0.0001058649163667,0.0,0.0002117298327334,0.0001058649163667,0.0001058649163667,0.0,0.0,0.0,0.0,0.0,0.0,0.0001058649163667,0.0,0.0,0.0001058649163667,0.0,0.0001058649163667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001058649163667,0.0001058649163667,0.0001058649163667,0.0,0.0003175947491001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001058649163667,0.0,0.0,0.0001058649163667,0.0001058649163667,0.0002117298327334,0.0002117298327334,0.0,0.0,0.0,0.0002117298327334,0.0002117298327334,0.0,0.0003175947491001,0.0001058649163667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001058649163667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001058649163667,0.0,0.0,0.0,0.023502011433411,0.0004234596654668,0.0026466229091679,0.0003175947491001,0.0003175947491001,0.0001058649163667,0.0040228668219352,0.0,0.0026466229091679,0.168536946855812,0.0010586491636671,0.0002117298327334,0.0,0.0005293245818335,0.0,0.0002117298327334,0.0,0.0,0.0008469193309337,0.0015879737455007,0.0055049756510692,0.0001058649163667,0.0001058649163667,0.0019055684946008,0.0016938386618674,0.0002117298327334,0.0,0.0002117298327334,0.0001058649163667,0.0002117298327334,0.0002117298327334,0.0,0.0001058649163667,0.0,0.0,0.0,0.0002117298327334,0.0,0.0001058649163667,0.0,0.0031759474910014,0.0,0.0,0.0,0.0,0.0001058649163667,0.0,0.0,0.0,0.0001058649163667
mgm4708968,0.731330472103004,0.165665236051502,0.0025751072961373,0.0137339055793991,0.0051502145922746,0.0,0.0,0.0034334763948497,0.0,0.0017167381974248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008583690987124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008583690987124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008583690987124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274678111587983,0.0017167381974248,0.0025751072961373,0.0,0.0,0.0,0.0025751072961373,0.0008583690987124,0.0017167381974248,0.0128755364806867,0.0008583690987124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025751072961373,0.0145922746781116,0.0,0.0,0.0,0.0,0.0,0.0,0.0008583690987124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051502145922746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4708969,0.603630862329803,0.111006051437216,0.0018910741301059,0.0166414523449319,0.134833585476551,0.0,0.0,0.0009455370650529,0.0,0.0005673222390317,0.0001891074130105,0.0011346444780635,0.0001891074130105,0.0,0.0,0.0001891074130105,0.0001891074130105,0.0,0.0001891074130105,0.0,0.0,0.0,0.0,0.0001891074130105,0.0,0.0,0.0001891074130105,0.0001891074130105,0.0001891074130105,0.0,0.0,0.0001891074130105,0.0,0.0,0.0,0.0,0.0,0.0001891074130105,0.0,0.0,0.0,0.0,0.0003782148260211,0.0,0.0,0.0,0.0,0.0005673222390317,0.0,0.0,0.0,0.0,0.0001891074130105,0.0001891074130105,0.0,0.0,0.0,0.0,0.0,0.0001891074130105,0.0,0.0,0.0,0.0001891074130105,0.0001891074130105,0.0001891074130105,0.0,0.0003782148260211,0.0,0.0003782148260211,0.0001891074130105,0.0,0.0001891074130105,0.0,0.0001891074130105,0.0,0.0001891074130105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001891074130105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264750378214826,0.0005673222390317,0.0017019667170953,0.0001891074130105,0.0001891074130105,0.0001891074130105,0.0045385779122541,0.0009455370650529,0.0013237518910741,0.0677004538577912,0.0007564296520423,0.0001891074130105,0.0,0.0001891074130105,0.0001891074130105,0.0001891074130105,0.0,0.0,0.0011346444780635,0.0017019667170953,0.0075642965204236,0.0,0.0,0.0011346444780635,0.0003782148260211,0.0001891074130105,0.0,0.0,0.0007564296520423,0.0001891074130105,0.0001891074130105,0.0001891074130105,0.0,0.0,0.0,0.0,0.0001891074130105,0.0,0.0001891074130105,0.0,0.0043494704992435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4708970,0.714285714285714,0.085978835978836,0.0013227513227513,0.0224867724867725,0.0158730158730159,0.0,0.0,0.0013227513227513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006613756613756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006613756613756,0.0,0.0,0.0,0.0,0.0,0.0006613756613756,0.0006613756613756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0006613756613756,0.0,0.0,0.0,0.0052910052910052,0.0,0.0006613756613756,0.108465608465608,0.0006613756613756,0.0013227513227513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026455026455026,0.0092592592592592,0.0,0.0,0.0006613756613756,0.0,0.0,0.0,0.0013227513227513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013227513227513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
