samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4739968,0.446013854273237,0.0278347402436441,0.0006625172953069,0.0291913232768917,0.322609867451472,0.0002298529391881,5.85899648910903e-05,0.0003109775059604,9.01384075247543e-05,0.0026095068978416,2.70415222574263e-05,0.0001487283724158,0.0001937975761782,0.0001036591686534,4.50692037623771e-06,0.0001892906558019,0.0003019636652079,0.0001171799297821,0.0002208390984356,2.70415222574263e-05,0.0001622491335445,3.1548442633664e-05,6.3096885267328e-05,4.95761241386148e-05,3.1548442633664e-05,4.50692037623771e-05,8.11245667722788e-05,4.50692037623771e-05,9.01384075247543e-06,1.80276815049509e-05,9.01384075247543e-06,4.50692037623771e-06,9.01384075247543e-06,1.35207611287131e-05,9.01384075247543e-06,5.40830445148526e-05,1.80276815049509e-05,1.80276815049509e-05,8.11245667722788e-05,2.25346018811886e-05,1.80276815049509e-05,4.50692037623771e-06,6.3096885267328e-05,2.25346018811886e-05,2.70415222574263e-05,1.80276815049509e-05,0.0,4.50692037623771e-05,1.80276815049509e-05,0.0002028114169306,0.0001397145316633,0.0002794290633267,0.0001847837354257,0.0001216868501584,8.11245667722788e-05,6.3096885267328e-05,4.95761241386148e-05,1.35207611287131e-05,4.50692037623771e-06,3.60553630099017e-05,3.60553630099017e-05,6.76038056435657e-05,3.60553630099017e-05,1.35207611287131e-05,4.50692037623771e-06,4.95761241386148e-05,9.91522482772297e-05,1.35207611287131e-05,9.91522482772297e-05,3.60553630099017e-05,1.80276815049509e-05,0.0001802768150495,0.0002523875410693,8.56314871485165e-05,0.0001171799297821,2.25346018811886e-05,0.0001171799297821,9.01384075247543e-06,1.35207611287131e-05,4.50692037623771e-06,4.50692037623771e-06,1.80276815049509e-05,1.35207611287131e-05,3.60553630099017e-05,4.50692037623771e-06,1.35207611287131e-05,9.01384075247543e-06,4.50692037623771e-06,9.01384075247543e-06,0.0,9.01384075247543e-06,9.01384075247543e-06,2.70415222574263e-05,0.0,0.0,1.35207611287131e-05,3.60553630099017e-05,9.01384075247543e-06,0.0,4.50692037623771e-06,0.0029475259260594,0.0003290051874653,0.0010185640050297,0.0001487283724158,0.0003064705855841,4.05622833861394e-05,0.0020912110545743,0.0004191435949901,0.0055344982220199,0.140904358642696,0.0008067387473465,0.0001397145316633,4.95761241386148e-05,0.0001171799297821,7.66176463960411e-05,0.001158278536693,4.50692037623771e-06,1.35207611287131e-05,9.01384075247543e-06,0.0003470328689703,0.0006129411711683,0.0009374394382574,0.0001081660890297,2.25346018811886e-05,0.0015233390871683,0.0008202595084752,4.50692037623771e-05,1.80276815049509e-05,0.0013340484313663,0.0005047750821386,7.66176463960411e-05,1.35207611287131e-05,0.000153235292792,4.05622833861394e-05,0.0001622491335445,5.85899648910903e-05,1.80276815049509e-05,0.0006129411711683,2.70415222574263e-05,0.000247880620693,0.0013070069091089,6.3096885267328e-05,1.80276815049509e-05,2.70415222574263e-05,1.35207611287131e-05,9.01384075247543e-06,9.01384075247543e-06,3.60553630099017e-05,7.66176463960411e-05,1.80276815049509e-05,9.01384075247543e-06,4.50692037623771e-06
mgm4739971,0.442047863036813,0.0328044941045744,0.0006955161841265,0.0283597752947713,0.326172397473095,0.0002386978620079,4.11548037944729e-05,0.0003745087145297,7.81941272094985e-05,0.0025639442763956,2.46928822766837e-05,0.0001481572936601,0.0002098894993518,8.23096075889458e-05,4.11548037944729e-06,0.0001893120974545,0.0003004300676996,8.64250879683931e-05,0.0001851966170751,3.70393234150256e-05,0.0001605037347984,3.29238430355783e-05,6.99631664506039e-05,4.93857645533675e-05,3.29238430355783e-05,6.17322056917094e-05,6.99631664506039e-05,5.76167253122621e-05,8.23096075889458e-06,1.64619215177892e-05,8.23096075889458e-06,4.11548037944729e-06,8.23096075889458e-06,1.64619215177892e-05,1.23464411383419e-05,6.17322056917094e-05,2.8808362656131e-05,2.8808362656131e-05,9.05405683478404e-05,2.05774018972365e-05,1.64619215177892e-05,8.23096075889458e-06,5.35012449328148e-05,2.05774018972365e-05,2.05774018972365e-05,1.64619215177892e-05,4.11548037944729e-06,2.05774018972365e-05,1.64619215177892e-05,0.0001975430582134,0.0001070024898656,0.0002921991069407,0.0002057740189723,9.46560487272877e-05,7.81941272094985e-05,7.40786468300512e-05,4.11548037944729e-05,1.64619215177892e-05,8.23096075889458e-06,3.70393234150256e-05,4.11548037944729e-05,5.76167253122621e-05,2.8808362656131e-05,1.23464411383419e-05,8.23096075889458e-06,4.93857645533675e-05,0.0001275798917628,2.8808362656131e-05,0.0001070024898656,4.52702841739202e-05,8.23096075889458e-06,0.0001646192151778,0.0002428133423873,9.05405683478404e-05,0.0001234644113834,3.29238430355783e-05,0.0001193489310039,1.64619215177892e-05,2.46928822766837e-05,8.23096075889458e-06,8.23096075889458e-06,2.05774018972365e-05,1.64619215177892e-05,3.70393234150256e-05,8.23096075889458e-06,4.11548037944729e-06,8.23096075889458e-06,8.23096075889458e-06,8.23096075889458e-06,4.11548037944729e-06,8.23096075889458e-06,1.23464411383419e-05,2.05774018972365e-05,0.0,0.0,1.64619215177892e-05,2.8808362656131e-05,1.23464411383419e-05,4.11548037944729e-06,4.11548037944729e-06,0.0032306520978661,0.0003292384303557,0.0010700248986563,0.0001728501759367,0.0002551597835257,3.29238430355783e-05,0.0020700866308619,0.0003992015968063,0.0054159721793526,0.13663806407803,0.00081898059551,0.0001358108525217,3.70393234150256e-05,0.0001399263329012,8.23096075889458e-05,0.0011070642220713,8.23096075889458e-06,1.64619215177892e-05,1.23464411383419e-05,0.0003745087145297,0.0006667078214704,0.0011605654670041,0.0001193489310039,3.70393234150256e-05,0.0014980348581188,0.0009671378891701,6.58476860711567e-05,2.46928822766837e-05,0.0012140667119369,0.0004485873613597,9.05405683478404e-05,1.23464411383419e-05,0.0001646192151778,4.93857645533675e-05,0.0001399263329012,6.58476860711567e-05,1.64619215177892e-05,0.0005720517727431,2.8808362656131e-05,0.000193427577834,0.0014363026524271,6.17322056917094e-05,2.05774018972365e-05,2.05774018972365e-05,1.23464411383419e-05,1.64619215177892e-05,8.23096075889458e-06,3.29238430355783e-05,8.23096075889458e-05,2.8808362656131e-05,1.23464411383419e-05,4.11548037944729e-06
mgm4742213,0.452504338848854,0.0342027289022204,0.0007438026606186,0.0297195904614422,0.307694496266761,0.0002398052293797,5.283844037182e-05,0.0003779980734291,7.72254128511216e-05,0.0026297285323513,2.43869724793016e-05,0.000150386330289,0.000207289266074,7.31609174379047e-05,4.06449541321693e-06,0.0001950957798344,0.0002967081651648,0.00011380587157,0.0002032247706608,3.25159633057354e-05,0.0001544508257022,3.25159633057354e-05,6.09674311982539e-05,6.09674311982539e-05,4.06449541321693e-05,5.6902935785037e-05,8.12899082643385e-05,5.6902935785037e-05,1.21934862396508e-05,2.43869724793016e-05,1.21934862396508e-05,4.06449541321693e-06,8.12899082643385e-06,1.21934862396508e-05,4.06449541321693e-06,6.50319266114708e-05,2.43869724793016e-05,2.03224770660846e-05,9.75478899172062e-05,2.03224770660846e-05,2.03224770660846e-05,4.06449541321693e-06,6.90964220246877e-05,2.84514678925185e-05,2.03224770660846e-05,1.62579816528677e-05,4.06449541321693e-06,2.43869724793016e-05,2.03224770660846e-05,0.0002316762385533,0.0001056768807436,0.000300772660578,0.0002154182569004,0.0001097413761568,7.72254128511216e-05,6.90964220246877e-05,4.47094495453862e-05,1.62579816528677e-05,4.06449541321693e-06,4.06449541321693e-05,4.47094495453862e-05,6.09674311982539e-05,2.43869724793016e-05,1.21934862396508e-05,8.12899082643385e-06,4.87739449586031e-05,0.0001585153211154,1.62579816528677e-05,0.0001056768807436,4.87739449586031e-05,1.21934862396508e-05,0.0001788377981815,0.0002398052293797,8.94188990907724e-05,0.0001219348623965,2.84514678925185e-05,0.0001219348623965,2.03224770660846e-05,2.43869724793016e-05,8.12899082643385e-06,8.12899082643385e-06,1.21934862396508e-05,1.62579816528677e-05,3.65804587189523e-05,8.12899082643385e-06,1.21934862396508e-05,8.12899082643385e-06,8.12899082643385e-06,8.12899082643385e-06,4.06449541321693e-06,8.12899082643385e-06,8.12899082643385e-06,2.84514678925185e-05,4.06449541321693e-06,4.06449541321693e-06,1.21934862396508e-05,2.84514678925185e-05,1.21934862396508e-05,4.06449541321693e-06,4.06449541321693e-06,0.0034466921104079,0.0003332886238837,0.0011461877065271,0.0001869667890079,0.0002682566972723,3.25159633057354e-05,0.0022029565139635,0.0003901915596688,0.0054261013766446,0.141037990838627,0.0008372860551226,0.0001300638532229,3.65804587189523e-05,0.0001219348623965,8.12899082643385e-05,0.0011665101835932,4.06449541321693e-06,1.62579816528677e-05,1.21934862396508e-05,0.000394256055082,0.0006503192661147,0.0012071551377254,0.0001219348623965,2.84514678925185e-05,0.0015323147707827,0.0007519316514451,7.31609174379047e-05,2.43869724793016e-05,0.0012030906423122,0.0004755459633463,9.75478899172062e-05,1.21934862396508e-05,0.0001544508257022,4.47094495453862e-05,0.0001259993578097,6.50319266114708e-05,1.62579816528677e-05,0.0005852873395032,3.25159633057354e-05,0.0002357407339665,0.0015485727524356,6.50319266114708e-05,2.43869724793016e-05,3.25159633057354e-05,1.21934862396508e-05,1.62579816528677e-05,8.12899082643385e-06,3.25159633057354e-05,9.34833945039893e-05,1.62579816528677e-05,1.21934862396508e-05,4.06449541321693e-06
