samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Absconditabacteria,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota
mgm4749366,0.850841105100607,0.0943053144888007,0.0002293999672767,0.034027099557899,0.00149784684516,1.51808801874333e-05,1.68676446527036e-06,0.0037699185798792,2.19279380485147e-05,4.04823471664887e-05,2.36147025137851e-05,2.53014669790554e-05,3.37352893054073e-06,8.43382232635182e-06,1.68676446527036e-06,2.69882314443258e-05,8.43382232635182e-06,1.68676446527036e-06,1.01205867916222e-05,1.68676446527036e-06,1.01205867916222e-05,1.68676446527036e-06,1.68676446527036e-06,0.0,0.0,3.37352893054073e-06,3.37352893054073e-06,1.68676446527036e-06,0.0,3.37352893054073e-06,5.06029339581109e-06,1.34941157221629e-05,3.37352893054073e-06,0.0,0.0,0.0,5.06029339581109e-06,0.0,1.68676446527036e-06,1.68676446527036e-06,0.0,8.43382232635182e-06,0.0,5.06029339581109e-06,1.68676446527036e-06,3.37352893054073e-06,3.37352893054073e-06,1.34941157221629e-05,8.43382232635182e-06,1.01205867916222e-05,5.06029339581109e-06,0.0,1.68676446527036e-06,6.74705786108145e-06,3.37352893054073e-06,6.74705786108145e-06,3.37352893054073e-06,0.0,0.0,0.0,2.02411735832444e-05,8.60249877287885e-05,1.01205867916222e-05,1.68676446527036e-05,3.03617603748665e-05,3.37352893054073e-06,1.68676446527036e-06,1.51808801874333e-05,5.06029339581109e-06,0.0,6.40970496802738e-05,1.34941157221629e-05,2.53014669790554e-05,1.68676446527036e-06,3.37352893054073e-06,5.06029339581109e-06,1.68676446527036e-06,1.68676446527036e-06,1.68676446527036e-06,1.01205867916222e-05,6.74705786108145e-06,1.68676446527036e-06,0.0,1.68676446527036e-06,1.68676446527036e-06,3.37352893054073e-06,0.0,1.68676446527036e-06,0.0,0.0,1.68676446527036e-06,0.0006443440257332,4.38558760970294e-05,0.0003086778971444,4.38558760970294e-05,2.53014669790554e-05,3.37352893054073e-06,0.0004132572939912,9.78323389856811e-05,0.000193977913506,0.0105152896764954,6.24102852150034e-05,4.89161694928405e-05,5.06029339581109e-06,0.0002108455581587,5.06029339581109e-06,3.37352893054073e-06,0.0,0.0001130132191731,0.0003171117194708,0.0005009690461852,1.34941157221629e-05,1.18073512568925e-05,0.0001518088018743,2.02411735832444e-05,1.34941157221629e-05,0.000399763178269,1.51808801874333e-05,1.8554409117974e-05,0.0,6.74705786108145e-06,6.74705786108145e-06,1.51808801874333e-05,1.68676446527036e-06,0.0,5.06029339581109e-06,1.01205867916222e-05,0.0004031367071996,1.68676446527036e-06,1.68676446527036e-06,1.18073512568925e-05,1.68676446527036e-06,0.0
mgm4749367,0.851105119671849,0.0939656771877157,0.0002122819304617,0.03389490540082,0.0015411333849273,1.50436013713078e-05,1.67151126347865e-06,0.0037659148766174,2.17296464252224e-05,4.51308041139235e-05,3.00872027426157e-05,2.67441802156584e-05,1.67151126347865e-06,6.6860450539146e-06,1.67151126347865e-06,2.17296464252224e-05,1.00290675808719e-05,0.0,5.01453379043595e-06,3.3430225269573e-06,1.17005788443505e-05,0.0,0.0,1.67151126347865e-06,0.0,5.01453379043595e-06,5.01453379043595e-06,3.3430225269573e-06,0.0,1.67151126347865e-06,6.6860450539146e-06,1.33720901078292e-05,3.3430225269573e-06,0.0,0.0,0.0,8.35755631739324e-06,1.67151126347865e-06,1.67151126347865e-06,1.67151126347865e-06,0.0,6.6860450539146e-06,0.0,5.01453379043595e-06,1.67151126347865e-06,1.67151126347865e-06,3.3430225269573e-06,8.35755631739324e-06,8.35755631739324e-06,1.00290675808719e-05,5.01453379043595e-06,3.3430225269573e-06,1.67151126347865e-06,6.6860450539146e-06,1.67151126347865e-06,6.6860450539146e-06,3.3430225269573e-06,0.0,0.0,0.0,2.00581351617438e-05,0.0001002906758087,1.17005788443505e-05,1.83866238982651e-05,3.17587140060943e-05,3.3430225269573e-06,1.67151126347865e-06,1.17005788443505e-05,5.01453379043595e-06,0.0,6.35174280121887e-05,1.33720901078292e-05,2.17296464252224e-05,3.3430225269573e-06,1.67151126347865e-06,5.01453379043595e-06,1.67151126347865e-06,1.67151126347865e-06,3.3430225269573e-06,1.00290675808719e-05,6.6860450539146e-06,1.67151126347865e-06,0.0,0.0,1.67151126347865e-06,3.3430225269573e-06,0.0,1.67151126347865e-06,1.67151126347865e-06,0.0,1.67151126347865e-06,0.0006769620617088,4.84738266408808e-05,0.0003209301625879,3.84447590600089e-05,2.67441802156584e-05,6.6860450539146e-06,0.0004396074622948,9.5276142018283e-05,0.0002039243741443,0.0105689657189755,7.35464955930606e-05,4.84738266408808e-05,3.3430225269573e-06,0.0002223109980426,6.6860450539146e-06,3.3430225269573e-06,0.0,0.0001103197433895,0.0003393167864861,0.0005164969804149,8.35755631739324e-06,1.33720901078292e-05,0.0001320493898148,2.50726689521797e-05,1.83866238982651e-05,0.0004045057257618,1.33720901078292e-05,1.83866238982651e-05,0.0,8.35755631739324e-06,8.35755631739324e-06,1.67151126347865e-05,0.0,0.0,6.6860450539146e-06,1.33720901078292e-05,0.0003861191018635,1.67151126347865e-06,1.67151126347865e-06,1.00290675808719e-05,1.67151126347865e-06,0.0
mgm4749858,0.548568386180786,0.131389020350213,0.0007098911500236,0.2479886417416,0.0014197823000473,0.0,0.0,0.0065073355418835,0.0001774727875059,0.0171557027922385,5.91575958353053e-05,0.0,0.0,0.0,0.0,0.0,0.0001183151916706,0.0,5.91575958353053e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.91575958353053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91575958353053e-05,0.0,0.0,5.91575958353053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91575958353053e-05,0.0004732607666824,0.0,0.0,0.0001183151916706,0.0,0.0,5.91575958353053e-05,0.0,0.0,5.91575958353053e-05,0.0002366303833412,0.0,0.0,0.0001183151916706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087553241836251,0.0001183151916706,0.0011831519167061,0.0001183151916706,5.91575958353053e-05,0.0,0.0010648367250354,0.0007098911500236,0.0006507335541883,0.0114174159962139,0.0001774727875059,0.0,0.0,0.003312825366777,0.0,0.0,0.0,0.0004732607666824,0.0043185044959772,0.0086370089919545,5.91575958353053e-05,5.91575958353053e-05,0.0018930430667297,5.91575958353053e-05,5.91575958353053e-05,0.0002366303833412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91575958353053e-05,0.0,0.0010648367250354,0.0,5.91575958353053e-05,0.0,0.0,0.0
mgm4749859,0.61981149740965,0.154422320704076,0.0006865988390237,0.147056987703639,0.0016228699831471,0.0,0.0,0.0072404968478871,0.0001872542288246,0.0177891517383434,0.0001248361525497,6.24180762748892e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.24180762748892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24180762748892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24180762748892e-05,0.000561762686474,0.0,6.24180762748892e-05,0.0001872542288246,0.0,0.0,0.0,0.0,0.0,6.24180762748892e-05,0.0001872542288246,6.24180762748892e-05,0.0,6.24180762748892e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.24180762748892e-05,6.24180762748892e-05,0.0,0.0,6.24180762748892e-05,0.0,0.0,0.0,0.0,0.0,0.0105486548904563,6.24180762748892e-05,0.0013107796017726,0.0001248361525497,0.0,0.0,0.0014980338305973,0.0006241807627488,0.0008114349915735,0.012421197178703,0.0002496723050995,0.0,0.0,0.0042444291866924,0.0,0.0,0.0,0.0004369265339242,0.0043692653392422,0.0098620560514324,0.0,6.24180762748892e-05,0.0003745084576493,0.0,6.24180762748892e-05,0.0002496723050995,6.24180762748892e-05,6.24180762748892e-05,0.0,0.0,0.0,0.0001248361525497,0.0,0.0,6.24180762748892e-05,0.0,0.0018101242119717,0.0,0.0,0.0,0.0,0.0
mgm4749860,0.903307617779482,0.0473941629664938,0.000310866332658,0.0223435176597982,0.0018677885487205,7.77165831645156e-06,2.59055277215052e-06,0.001085441611531,4.40393971265589e-05,6.99449248480641e-05,4.14488443544083e-05,4.92205026708599e-05,0.0,1.81338694050537e-05,7.77165831645156e-06,4.14488443544083e-05,2.07244221772042e-05,0.0,7.77165831645156e-06,0.0,3.62677388101073e-05,2.59055277215052e-06,2.59055277215052e-05,2.59055277215052e-06,2.59055277215052e-06,0.0,1.55433166329031e-05,0.0,0.0,0.0,2.59055277215052e-06,2.33149749493547e-05,0.0,0.0,5.18110554430104e-06,2.59055277215052e-06,0.0,2.59055277215052e-06,0.0,0.0,0.0,5.18110554430104e-06,0.0,2.59055277215052e-06,0.0,0.0,1.55433166329031e-05,1.55433166329031e-05,1.81338694050537e-05,2.59055277215052e-05,1.29527638607526e-05,7.77165831645156e-06,2.59055277215052e-06,1.03622110886021e-05,0.0,1.29527638607526e-05,7.77165831645156e-06,2.59055277215052e-06,5.18110554430104e-06,5.18110554430104e-06,2.07244221772042e-05,0.0001502520607847,1.81338694050537e-05,4.14488443544083e-05,4.92205026708599e-05,5.18110554430104e-06,0.0,2.59055277215052e-05,3.10866332658063e-05,5.18110554430104e-06,3.10866332658063e-05,3.88582915822578e-05,3.36771860379568e-05,0.0,7.77165831645156e-06,1.03622110886021e-05,2.59055277215052e-06,0.0,0.0,1.81338694050537e-05,2.59055277215052e-06,0.0,0.0,5.18110554430104e-06,2.59055277215052e-06,7.77165831645156e-06,0.0,5.18110554430104e-06,0.0,2.59055277215052e-06,2.59055277215052e-06,0.0014584812107207,0.0001295276386075,0.000707220906797,4.66299498987094e-05,4.14488443544083e-05,1.29527638607526e-05,0.0007201736706578,0.0001657953774176,0.000207244221772,0.0149941194452072,0.0001372992969239,0.0001062126636581,5.18110554430104e-06,0.0003160474382023,2.07244221772042e-05,7.77165831645156e-06,2.59055277215052e-06,0.0002435119605821,0.0008730162842147,0.0012305125667715,3.62677388101073e-05,1.55433166329031e-05,0.0001321181913796,5.18110554430104e-05,3.10866332658063e-05,6.4763819303763e-05,3.10866332658063e-05,7.77165831645156e-06,0.0,5.18110554430104e-06,5.18110554430104e-06,4.14488443544083e-05,0.0,0.0,1.03622110886021e-05,2.59055277215052e-06,0.0007201736706578,2.59055277215052e-06,2.59055277215052e-06,0.0,2.59055277215052e-06,0.0
mgm4749861,0.902657815957308,0.0460887674085644,0.0002941559286736,0.0243732916829364,0.0018352206169465,1.04125992450866e-05,1.04125992450866e-05,0.0010490693739424,5.46661460367044e-05,0.0001457763894312,4.42535467916179e-05,5.20629962254328e-05,0.0,1.82220486789015e-05,0.0,4.16503969803462e-05,1.56188988676298e-05,0.0,5.20629962254328e-06,2.60314981127164e-06,3.64440973578029e-05,0.0,2.34283483014447e-05,2.60314981127164e-06,2.60314981127164e-06,0.0,1.82220486789015e-05,0.0,0.0,2.60314981127164e-06,2.60314981127164e-06,1.56188988676298e-05,0.0,0.0,5.20629962254328e-06,2.60314981127164e-06,0.0,2.60314981127164e-06,0.0,0.0,0.0,2.60314981127164e-06,0.0,2.60314981127164e-06,0.0,0.0,1.30157490563582e-05,1.30157490563582e-05,2.34283483014447e-05,2.60314981127164e-05,7.80944943381492e-06,7.80944943381492e-06,2.60314981127164e-06,7.80944943381492e-06,2.60314981127164e-06,1.30157490563582e-05,7.80944943381492e-06,2.60314981127164e-06,5.20629962254328e-06,5.20629962254328e-06,1.82220486789015e-05,0.0001483795392424,1.82220486789015e-05,3.64440973578029e-05,4.94598464141611e-05,2.60314981127164e-06,0.0,2.08251984901731e-05,2.60314981127164e-05,2.60314981127164e-06,3.38409475465313e-05,4.42535467916179e-05,2.34283483014447e-05,0.0,5.20629962254328e-06,1.04125992450866e-05,0.0,2.60314981127164e-06,0.0,1.56188988676298e-05,5.20629962254328e-06,0.0,0.0,5.20629962254328e-06,0.0,7.80944943381492e-06,0.0,5.20629962254328e-06,0.0,0.0,2.60314981127164e-06,0.0014629701939346,0.0001405700898086,0.0006924378497982,4.42535467916179e-05,3.90472471690746e-05,1.04125992450866e-05,0.0007080567486658,0.0001509826890537,0.0002238708837693,0.0148483665234934,0.0001379669399973,9.3713393205779e-05,2.60314981127164e-06,0.0003045685279187,1.30157490563582e-05,7.80944943381492e-06,0.0,0.0002603149811271,0.0008512299882858,0.0011818300143173,3.64440973578029e-05,1.82220486789015e-05,0.0003201874267864,3.38409475465313e-05,3.90472471690746e-05,5.46661460367044e-05,3.64440973578029e-05,7.80944943381492e-06,0.0,5.20629962254328e-06,5.20629962254328e-06,4.16503969803462e-05,0.0,2.60314981127164e-06,1.04125992450866e-05,5.20629962254328e-06,0.00075751659508,2.60314981127164e-06,2.60314981127164e-06,0.0,5.20629962254328e-06,0.0
mgm4749862,0.867616235199866,0.0690610822845538,0.0003330321294493,0.033310199632966,0.0029856446849935,2.56178561114889e-05,4.65779202027071e-06,0.0034351216149496,3.9591232172301e-05,0.004767250132747,4.42490241925718e-05,6.05512962635192e-05,2.32889601013536e-06,3.49334401520303e-05,4.65779202027071e-06,3.2604544141895e-05,4.65779202027071e-06,2.32889601013536e-06,1.16444800506768e-05,0.0,3.2604544141895e-05,4.65779202027071e-06,2.79467521216243e-05,2.32889601013536e-06,2.32889601013536e-06,6.98668803040607e-06,3.2604544141895e-05,2.32889601013536e-06,2.32889601013536e-06,2.56178561114889e-05,2.32889601013536e-06,7.2195776314196e-05,0.0,2.32889601013536e-06,2.32889601013536e-06,4.65779202027071e-06,4.65779202027071e-06,4.65779202027071e-06,4.65779202027071e-06,6.98668803040607e-06,2.32889601013536e-06,6.98668803040607e-06,2.32889601013536e-06,1.16444800506768e-05,0.0,0.0,1.16444800506768e-05,1.86311680810828e-05,2.56178561114889e-05,2.32889601013536e-05,1.63022720709475e-05,4.65779202027071e-06,2.32889601013536e-06,1.39733760608121e-05,2.32889601013536e-06,1.86311680810828e-05,0.0,0.0,2.32889601013536e-06,2.32889601013536e-06,2.32889601013536e-05,0.0001117870084864,4.65779202027071e-06,0.0001001425284358,3.72623361621657e-05,9.31558404054142e-06,2.32889601013536e-06,2.32889601013536e-05,1.39733760608121e-05,2.32889601013536e-06,3.2604544141895e-05,1.86311680810828e-05,6.05512962635192e-05,0.0,6.98668803040607e-06,1.86311680810828e-05,0.0,2.32889601013536e-06,2.32889601013536e-06,1.63022720709475e-05,1.63022720709475e-05,0.0,0.0,0.0,2.32889601013536e-06,0.0,0.0,2.32889601013536e-06,0.0,0.0,6.98668803040607e-06,0.0006614064668784,0.0001304181765675,0.0003400188174797,5.12357122229778e-05,8.15113603547374e-05,2.32889601013536e-06,0.0008337447716284,0.0002375473930338,0.0002515207690946,0.0108456687192003,0.0001793249927804,7.68535683344667e-05,2.32889601013536e-06,0.0001467204486385,1.39733760608121e-05,6.98668803040607e-06,0.0,0.0002608363531351,0.0008593626277399,0.0009082694439527,9.08269443952789e-05,1.86311680810828e-05,0.0002235740169729,3.72623361621657e-05,1.63022720709475e-05,0.0001374048645979,6.75379842939253e-05,1.39733760608121e-05,2.32889601013536e-06,9.31558404054142e-06,6.98668803040607e-06,4.89068162128425e-05,0.0,0.0,1.39733760608121e-05,1.16444800506768e-05,0.0007033265950608,0.0,0.0,2.32889601013536e-06,4.65779202027071e-06,0.0
mgm4749863,0.866810641612833,0.0689364262097068,0.0003219461527434,0.0342813903373855,0.0029092652342804,2.34997191783558e-05,1.17498595891779e-05,0.0034286090281221,2.34997191783558e-05,0.0048832416452623,4.22994945210405e-05,6.34492417815607e-05,0.0,3.05496349318626e-05,4.69994383567116e-06,3.05496349318626e-05,7.04991575350675e-06,2.34997191783558e-06,1.87997753426847e-05,0.0,2.11497472605202e-05,2.34997191783558e-06,3.28996068496981e-05,2.34997191783558e-06,0.0,9.39988767134233e-06,2.8199663014027e-05,0.0,0.0,2.58496910961914e-05,2.34997191783558e-06,6.81491856172319e-05,0.0,2.34997191783558e-06,2.34997191783558e-06,4.69994383567116e-06,2.34997191783558e-06,2.34997191783558e-06,7.04991575350675e-06,4.69994383567116e-06,2.34997191783558e-06,7.04991575350675e-06,0.0,1.17498595891779e-05,0.0,0.0,9.39988767134233e-06,2.34997191783558e-05,2.8199663014027e-05,2.11497472605202e-05,1.40998315070135e-05,2.34997191783558e-06,2.34997191783558e-06,1.64498034248491e-05,0.0,1.40998315070135e-05,0.0,0.0,2.34997191783558e-06,2.34997191783558e-06,2.34997191783558e-05,9.16489047955877e-05,2.34997191783558e-06,9.16489047955877e-05,3.52495787675337e-05,9.39988767134233e-06,0.0,2.11497472605202e-05,1.40998315070135e-05,2.34997191783558e-06,3.75995506853693e-05,2.58496910961914e-05,6.10992698637251e-05,0.0,4.69994383567116e-06,1.40998315070135e-05,0.0,2.34997191783558e-06,2.34997191783558e-06,1.40998315070135e-05,1.64498034248491e-05,0.0,2.34997191783558e-06,0.0,2.34997191783558e-06,0.0,2.34997191783558e-06,0.0,0.0,0.0,7.04991575350675e-06,0.0006579921369939,0.0001339483993166,0.0003383959561683,5.16993821923828e-05,6.81491856172319e-05,0.0,0.0008154402554889,0.0001973976410981,0.0002655468267154,0.0108286705973864,0.0001621480623306,7.04991575350675e-05,2.34997191783558e-06,0.0001339483993166,1.17498595891779e-05,7.04991575350675e-06,0.0,0.0002725967424689,0.0008436399185029,0.0009235389637093,8.69489609599165e-05,1.64498034248491e-05,0.0003430959000039,3.99495226032049e-05,2.11497472605202e-05,0.0001409983150701,6.34492417815607e-05,1.17498595891779e-05,2.34997191783558e-06,7.04991575350675e-06,9.39988767134233e-06,4.93494102745472e-05,0.0,0.0,1.64498034248491e-05,7.04991575350675e-06,0.0006955916876793,0.0,0.0,2.34997191783558e-06,9.39988767134233e-06,2.34997191783558e-06
