samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4461451,0.690853122251539,0.0861917326297273,0.0035180299032541,0.0303430079155673,0.12401055408971,0.0,0.0,0.0004397537379067,0.0004397537379067,0.0013192612137203,0.0,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008795074758135,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0,0.0004397537379067,0.0,0.0,0.0,0.0,0.0004397537379067,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035180299032541,0.0004397537379067,0.0013192612137203,0.0008795074758135,0.0004397537379067,0.0,0.0065963060686015,0.0021987686895338,0.0026385224274406,0.0228671943711522,0.0,0.0004397537379067,0.0,0.0004397537379067,0.0,0.0,0.0,0.0,0.0,0.0,0.0026385224274406,0.0030782761653474,0.0,0.0,0.0026385224274406,0.0,0.0,0.0,0.0,0.0004397537379067,0.0008795074758135,0.0,0.0,0.0,0.0,0.0,0.0,0.0004397537379067,0.0,0.0,0.0,0.0039577836411609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008795074758135,0.0,0.0,0.0,0.0
mgm4461452,0.670120182345628,0.0828843762950684,0.0029009531703273,0.0368835474513054,0.113551595524244,0.0,0.0,0.0,0.0008288437629506,0.0029009531703273,0.0,0.0,0.0004144218814753,0.0,0.0,0.0,0.0004144218814753,0.0004144218814753,0.0,0.0,0.0004144218814753,0.0008288437629506,0.0004144218814753,0.0,0.0,0.0004144218814753,0.0004144218814753,0.0,0.0004144218814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144218814753,0.0008288437629506,0.0004144218814753,0.0004144218814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144218814753,0.0,0.0004144218814753,0.0,0.0,0.0,0.0,0.001243265644426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008288437629506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053874844591794,0.0008288437629506,0.0008288437629506,0.0004144218814753,0.0,0.0,0.003729796933278,0.002486531288852,0.0045586406962287,0.0443431413178616,0.0,0.0008288437629506,0.0004144218814753,0.0,0.0,0.0,0.0,0.0,0.0,0.001243265644426,0.001243265644426,0.001243265644426,0.0,0.0,0.0020721094073767,0.0029009531703273,0.0,0.0,0.001243265644426,0.0008288437629506,0.0,0.0,0.0004144218814753,0.0,0.0008288437629506,0.0,0.0,0.0,0.0,0.0004144218814753,0.0,0.003729796933278,0.0004144218814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144218814753,0.0,0.0,0.0
mgm4461453,0.766362554541848,0.0932169773899246,0.003371677905593,0.0249900833002777,0.0392701309004363,0.0,0.0,0.0007933359777865,0.0005950019833399,0.0013883379611265,0.0,0.0001983339944466,0.0,0.0,0.0,0.0013883379611265,0.0,0.0,0.0001983339944466,0.0001983339944466,0.0,0.0007933359777865,0.0,0.0,0.0,0.0001983339944466,0.0,0.0001983339944466,0.0007933359777865,0.0007933359777865,0.0007933359777865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001983339944466,0.0,0.0,0.0,0.0,0.0,0.0005950019833399,0.0,0.0,0.0,0.0,0.0,0.0,0.0003966679888932,0.0001983339944466,0.0,0.0,0.0,0.0001983339944466,0.0001983339944466,0.0003966679888932,0.0,0.0003966679888932,0.0,0.0,0.0,0.0,0.0,0.0,0.0003966679888932,0.0,0.0,0.0,0.0,0.0,0.0003966679888932,0.0,0.0003966679888932,0.0001983339944466,0.0005950019833399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003966679888932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095200317334391,0.0021816739389131,0.0013883379611265,0.0009916699722332,0.0003966679888932,0.0,0.0053550178500595,0.0013883379611265,0.0015866719555731,0.0156683855612852,0.0,0.0001983339944466,0.0001983339944466,0.0005950019833399,0.0,0.0001983339944466,0.0,0.0001983339944466,0.0,0.0015866719555731,0.0039666798889329,0.0029750099166997,0.0003966679888932,0.0,0.0019833399444664,0.0007933359777865,0.0,0.0,0.0005950019833399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005950019833399,0.0,0.0,0.0,0.006743355811186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4461454,0.692797648211661,0.0842724154826066,0.0044096031357177,0.0293973542381186,0.0847623713865752,0.0,0.0,0.0,0.0014698677119059,0.0029397354238118,0.0,0.0004899559039686,0.0014698677119059,0.0,0.0,0.0004899559039686,0.0009799118079372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004899559039686,0.0014698677119059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004899559039686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009799118079372,0.0004899559039686,0.0,0.0,0.0,0.0,0.0,0.0004899559039686,0.0,0.0,0.0,0.0004899559039686,0.0,0.0,0.0,0.0,0.0009799118079372,0.0,0.0,0.0004899559039686,0.0,0.0,0.0009799118079372,0.0,0.0,0.0,0.0004899559039686,0.0,0.0,0.0,0.0004899559039686,0.0,0.0,0.0,0.0,0.0014698677119059,0.0,0.0,0.0,0.0,0.0009799118079372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107790298873101,0.0009799118079372,0.0009799118079372,0.0009799118079372,0.0,0.0,0.0058794708476237,0.0019598236158745,0.0029397354238118,0.0333170014698677,0.0004899559039686,0.0009799118079372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019598236158745,0.0044096031357177,0.0044096031357177,0.0,0.0,0.0019598236158745,0.0004899559039686,0.0,0.0,0.0009799118079372,0.0,0.0,0.0,0.0004899559039686,0.0,0.0,0.0,0.0,0.0063694267515923,0.0,0.0009799118079372,0.0,0.0044096031357177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4461455,0.707006369426752,0.0878541620909291,0.0024159894575005,0.0325060399736437,0.0654513507577422,0.0,0.0,0.0004392708104546,0.0,0.0008785416209092,0.0,0.0,0.0,0.0,0.0002196354052273,0.0002196354052273,0.0,0.0,0.0,0.0002196354052273,0.0,0.0004392708104546,0.0,0.0,0.0002196354052273,0.0,0.0,0.0002196354052273,0.0002196354052273,0.0,0.0,0.0002196354052273,0.0,0.0,0.0,0.0002196354052273,0.0,0.0,0.0004392708104546,0.0,0.0,0.0,0.0,0.0,0.0004392708104546,0.0,0.0,0.0,0.0,0.0,0.0,0.0004392708104546,0.0002196354052273,0.0004392708104546,0.0,0.0,0.0,0.0,0.0,0.0,0.0002196354052273,0.0002196354052273,0.0002196354052273,0.0,0.0,0.0,0.0002196354052273,0.0013178124313639,0.0,0.0,0.0,0.0,0.0,0.0008785416209092,0.0,0.0004392708104546,0.0,0.0,0.0006589062156819,0.0,0.0,0.0002196354052273,0.0,0.0,0.0,0.0,0.0004392708104546,0.0,0.0,0.0,0.0,0.0002196354052273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090050516143202,0.0024159894575005,0.0015374478365912,0.0004392708104546,0.0010981770261366,0.0,0.0074676037777289,0.0024159894575005,0.0021963540522732,0.0298704151109159,0.0,0.0002196354052273,0.0002196354052273,0.0,0.0002196354052273,0.0002196354052273,0.0,0.0,0.0,0.0015374478365912,0.0019767186470459,0.0050516143202284,0.0002196354052273,0.0004392708104546,0.0015374478365912,0.0010981770261366,0.0006589062156819,0.0,0.0002196354052273,0.0004392708104546,0.0,0.0,0.0002196354052273,0.0,0.0,0.0,0.0,0.0155941137711399,0.0,0.0004392708104546,0.0,0.0072479683725016,0.0002196354052273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4461456,0.723064644852354,0.0909816440542698,0.0007980845969672,0.0359138068635275,0.0566640063846768,0.0,0.0,0.0,0.0,0.0007980845969672,0.0,0.0,0.0,0.0,0.0,0.0023942537909018,0.0,0.0007980845969672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015961691939345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007980845969672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007980845969672,0.0,0.0,0.0,0.0,0.0,0.0007980845969672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095770151636073,0.0031923383878691,0.0007980845969672,0.0007980845969672,0.0,0.0,0.0071827613727055,0.0031923383878691,0.0023942537909018,0.0303272146847566,0.0007980845969672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031923383878691,0.0039904229848363,0.0,0.0,0.0047885075818036,0.0015961691939345,0.0015961691939345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865921787709,0.0,0.0,0.0,0.0047885075818036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007980845969672,0.0,0.0,0.0,0.0
mgm4476434,0.525379037574159,0.241265655899802,0.020435069215557,0.030323005932762,0.012524719841793,0.0,0.0,0.004614370468029,0.000659195781147,0.0,0.000659195781147,0.001318391562294,0.0,0.0,0.0,0.000659195781147,0.000659195781147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000659195781147,0.0,0.0,0.000659195781147,0.000659195781147,0.0,0.000659195781147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000659195781147,0.000659195781147,0.003295978905735,0.000659195781147,0.000659195781147,0.000659195781147,0.0,0.000659195781147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000659195781147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017139090309822,0.003295978905735,0.002636783124588,0.001318391562294,0.0,0.0,0.013843111404087,0.001318391562294,0.002636783124588,0.013843111404087,0.001977587343441,0.001318391562294,0.0,0.001977587343441,0.0,0.0,0.0,0.0,0.000659195781147,0.003295978905735,0.023071852340145,0.009887936717205,0.0,0.0,0.003955174686882,0.001977587343441,0.000659195781147,0.0,0.0,0.000659195781147,0.0,0.000659195781147,0.000659195781147,0.000659195781147,0.000659195781147,0.0,0.0,0.031641397495056,0.0,0.000659195781147,0.0,0.009887936717205,0.000659195781147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4476436,0.50723638869745,0.251550654720882,0.0158511371467953,0.0303239145416954,0.019986216402481,0.0,0.0,0.0048242591316333,0.0034458993797381,0.0006891798759476,0.0,0.0006891798759476,0.0,0.0,0.0,0.0006891798759476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006891798759476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006891798759476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006891798759476,0.0034458993797381,0.0013783597518952,0.0,0.0013783597518952,0.0,0.0,0.0,0.0,0.0,0.0,0.0013783597518952,0.0,0.0,0.0,0.0,0.0,0.0006891798759476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151619572708477,0.0020675396278428,0.0020675396278428,0.0013783597518952,0.0006891798759476,0.0,0.0179186767746382,0.0027567195037904,0.0,0.0234321157822192,0.0013783597518952,0.0,0.0,0.0041350792556857,0.0006891798759476,0.0,0.0,0.0,0.0,0.0041350792556857,0.0220537560303239,0.0055134390075809,0.0,0.0006891798759476,0.0048242591316333,0.0013783597518952,0.0006891798759476,0.0,0.0006891798759476,0.0,0.0,0.0,0.0,0.0006891798759476,0.0,0.0,0.0,0.0289455547898001,0.0006891798759476,0.0006891798759476,0.0,0.011026878015162,0.0,0.0,0.0006891798759476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4476439,0.351574599896748,0.0232318017552917,0.0005162622612287,0.0330407847186371,0.473412493546722,0.0,0.0,0.0,0.0,0.0020650490449148,0.0,0.0010325245224574,0.0005162622612287,0.0005162622612287,0.0,0.0,0.0010325245224574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162622612287,0.0005162622612287,0.0,0.0,0.0005162622612287,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162622612287,0.0,0.0,0.0,0.0005162622612287,0.0,0.0,0.0005162622612287,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162622612287,0.0005162622612287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162622612287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162622612287,0.0,0.0,0.0,0.0,0.0,0.0030975735673722,0.0010325245224574,0.0005162622612287,0.0,0.0005162622612287,0.0,0.0061951471347444,0.0015487867836861,0.0046463603510583,0.041817243159525,0.0015487867836861,0.0,0.0,0.0005162622612287,0.0,0.0010325245224574,0.0,0.0,0.0,0.0005162622612287,0.0025813113061435,0.0010325245224574,0.0,0.0,0.0020650490449148,0.0005162622612287,0.0,0.0,0.0010325245224574,0.0010325245224574,0.0,0.0010325245224574,0.0,0.0,0.0,0.0,0.0,0.0325245224574084,0.0,0.0005162622612287,0.0,0.0015487867836861,0.0010325245224574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4530252,0.839276949376301,0.0461300204796642,0.0012355499889985,0.0161721645820287,0.0043836636595975,6.77013692601933e-05,3.38506846300966e-05,0.0007954910888072,0.000177716094308,0.0015740568352994,9.30893827327658e-05,0.0001015520538902,5.92386981026691e-05,0.0001692534231504,8.46267115752416e-06,0.0001269400673628,0.0001692534231504,0.0001269400673628,0.0001269400673628,4.23133557876208e-05,0.0001692534231504,5.92386981026691e-05,9.30893827327658e-05,1.69253423150483e-05,5.0776026945145e-05,0.0001184773962053,5.92386981026691e-05,0.0,8.46267115752416e-06,8.46267115752416e-06,2.53880134725725e-05,1.69253423150483e-05,8.46267115752416e-06,8.46267115752416e-06,1.69253423150483e-05,5.0776026945145e-05,1.69253423150483e-05,5.0776026945145e-05,4.23133557876208e-05,2.53880134725725e-05,2.53880134725725e-05,8.46267115752416e-06,8.46267115752416e-06,2.53880134725725e-05,8.46267115752416e-06,0.0,8.46267115752416e-06,8.46267115752416e-06,0.0,8.46267115752416e-06,8.46267115752416e-05,0.0001438654096779,0.0001100147250478,4.23133557876208e-05,4.23133557876208e-05,1.69253423150483e-05,8.46267115752416e-06,7.61640404177174e-05,7.61640404177174e-05,8.46267115752416e-06,0.0,8.46267115752416e-06,0.0001015520538902,0.0,8.46267115752416e-06,2.53880134725725e-05,2.53880134725725e-05,0.0023864732664218,0.0001438654096779,1.69253423150483e-05,0.0002115667789381,8.46267115752416e-06,0.000177716094308,0.000177716094308,8.46267115752416e-05,2.53880134725725e-05,8.46267115752416e-06,2.53880134725725e-05,3.38506846300966e-05,7.61640404177174e-05,1.69253423150483e-05,9.30893827327658e-05,0.0,8.46267115752416e-06,2.53880134725725e-05,2.53880134725725e-05,8.46267115752416e-06,0.0,8.46267115752416e-06,0.0,0.0,8.46267115752416e-06,8.46267115752416e-06,6.77013692601933e-05,8.46267115752416e-06,0.0,8.46267115752416e-06,0.0,0.0,8.46267115752416e-06,0.0,8.46267115752416e-06,8.46267115752416e-06,0.0047137078347409,0.0006177749944992,0.0018194742988676,0.0002115667789381,0.0004485215713487,4.23133557876208e-05,0.0039943807863514,0.0028180694954555,0.0021749064874837,0.0239747473892659,0.0003046561616708,0.0003808202020885,1.69253423150483e-05,0.0001269400673628,2.53880134725725e-05,0.0001269400673628,8.46267115752416e-06,4.23133557876208e-05,2.53880134725725e-05,0.0004908349271364,0.001244012660156,0.0012101619755259,0.0002708054770407,4.23133557876208e-05,0.0008208791022798,0.0007701030753346,4.23133557876208e-05,3.38506846300966e-05,0.0003046561616708,0.0002454174635682,5.92386981026691e-05,4.23133557876208e-05,4.23133557876208e-05,1.69253423150483e-05,6.77013692601933e-05,2.53880134725725e-05,0.0,0.0340368633955622,8.46267115752416e-06,0.000194641436623,0.0,0.0017348475872924,1.69253423150483e-05,8.46267115752416e-06,2.53880134725725e-05,8.46267115752416e-06,0.0,0.0,0.0,3.38506846300966e-05,2.53880134725725e-05,1.69253423150483e-05,0.0,0.0
