samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Sungbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Yonathbacteria,Candidatus.Campbellbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Microgenomates,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Edwardsbacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Blackallbacteria,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Chrysiogenota,Aquificota,Deferribacterota,Coprothermobacterota,Nitrososphaerota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Candidatus.Heimdallarchaeota
mgm4573676,0.921760215965694,0.0119569502012733,0.0001911200831372,0.0045868819952936,0.0011825555144116,0.0,0.0002150100935293,2.38900103921545e-05,9.55600415686181e-05,1.19450051960773e-05,2.38900103921545e-05,1.19450051960773e-05,1.19450051960773e-05,1.19450051960773e-05,0.0,9.55600415686181e-05,2.38900103921545e-05,0.0,1.19450051960773e-05,2.38900103921545e-05,1.19450051960773e-05,2.38900103921545e-05,1.19450051960773e-05,1.19450051960773e-05,0.0,2.38900103921545e-05,1.19450051960773e-05,2.38900103921545e-05,0.0,1.19450051960773e-05,1.19450051960773e-05,0.0,2.38900103921545e-05,1.19450051960773e-05,1.19450051960773e-05,0.0,1.19450051960773e-05,2.38900103921545e-05,3.58350155882318e-05,1.19450051960773e-05,1.19450051960773e-05,3.58350155882318e-05,1.19450051960773e-05,1.19450051960773e-05,1.19450051960773e-05,0.0,3.58350155882318e-05,5.97250259803863e-05,1.19450051960773e-05,0.0,3.58350155882318e-05,3.58350155882318e-05,1.19450051960773e-05,1.19450051960773e-05,0.0,1.19450051960773e-05,0.0,0.0,0.0,0.0,1.19450051960773e-05,1.19450051960773e-05,0.0041688068134309,5.97250259803863e-05,0.0002389001039215,2.38900103921545e-05,0.0002150100935293,1.19450051960773e-05,0.0007525353273528,5.97250259803863e-05,0.0005255802286273,0.0506946020521519,7.16700311764636e-05,0.0001194500519607,1.19450051960773e-05,0.0001194500519607,2.38900103921545e-05,1.19450051960773e-05,0.0001313950571568,0.0002986251299019,0.0002986251299019,0.0,0.000155285067549,0.0004419651922548,2.38900103921545e-05,0.0,8.36150363725408e-05,7.16700311764636e-05,1.19450051960773e-05,0.0,2.38900103921545e-05,0.0,4.7780020784309e-05,1.19450051960773e-05,0.0004300201870587,1.19450051960773e-05,1.19450051960773e-05
mgm4573677,0.827177119404899,0.0673656534564576,0.0007695267410542,0.0105168654610748,0.0027895344363216,6.41272284211876e-05,0.0005771450557906,9.61908426317815e-05,0.0003206361421059,0.0,6.41272284211876e-05,3.20636142105938e-05,0.0,0.0,3.20636142105938e-05,6.41272284211876e-05,0.0,6.41272284211876e-05,0.0,3.20636142105938e-05,3.20636142105938e-05,0.0,0.0,0.0,3.20636142105938e-05,3.20636142105938e-05,0.0,0.0,3.20636142105938e-05,6.41272284211876e-05,0.0,3.20636142105938e-05,0.0,3.20636142105938e-05,0.0,6.41272284211876e-05,0.0,3.20636142105938e-05,3.20636142105938e-05,3.20636142105938e-05,0.0,3.20636142105938e-05,0.0,6.41272284211876e-05,9.61908426317815e-05,3.20636142105938e-05,6.41272284211876e-05,0.0001603180710529,3.20636142105938e-05,6.41272284211876e-05,3.20636142105938e-05,6.41272284211876e-05,6.41272284211876e-05,0.0,3.20636142105938e-05,0.0,3.20636142105938e-05,3.20636142105938e-05,3.20636142105938e-05,3.20636142105938e-05,0.0,3.20636142105938e-05,0.0175708605874054,0.0003847633705271,0.0009939720405284,0.0003206361421059,0.0001603180710529,6.41272284211876e-05,0.0025650891368475,0.0003206361421059,0.0009298448121072,0.0575862511222265,0.0002885725278953,0.0001282544568423,0.0,6.41272284211876e-05,9.61908426317815e-05,0.0,0.0003526997563165,0.0009619084263178,0.0024047710657945,0.0001282544568423,0.00054508144158,0.0004168269847377,6.41272284211876e-05,3.20636142105938e-05,0.0002244452994741,6.41272284211876e-05,0.0,6.41272284211876e-05,6.41272284211876e-05,3.20636142105938e-05,9.61908426317815e-05,3.20636142105938e-05,0.001731435167372,0.0,3.20636142105938e-05
