samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Brennerbacteria,Candidatus.Andersenbacteria,Candidatus.Jacksonbacteria,Candidatus.Parcubacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,Candidatus.Sumerlaeota,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Candidatus.Korarchaeota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Huberarchaea,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Odinarchaeota,Candidatus.Thorarchaeota
mgm4583642,0.377228093251089,0.502171398766328,0.0061003265602322,0.0077784833091436,0.0024662100870827,1.13388969521045e-05,5.66944847605225e-06,0.0022054154571843,0.0005102503628447,0.0001020500725689,0.0003741835994194,0.000113388969521,5.66944847605225e-05,1.70083454281567e-05,5.66944847605225e-06,3.40166908563135e-05,3.96861393323657e-05,5.66944847605225e-06,0.0001303973149492,5.10250362844702e-05,3.96861393323657e-05,5.66944847605225e-06,0.0,2.2677793904209e-05,0.0,1.13388969521045e-05,3.40166908563135e-05,1.13388969521045e-05,3.40166908563135e-05,5.10250362844702e-05,1.70083454281567e-05,4.5355587808418e-05,0.0,0.0,5.66944847605225e-06,1.70083454281567e-05,3.40166908563135e-05,1.70083454281567e-05,1.13388969521045e-05,5.66944847605225e-06,1.13388969521045e-05,5.66944847605225e-06,5.66944847605225e-06,0.0,1.13388969521045e-05,5.66944847605225e-06,0.0,0.0,0.0,0.0,3.40166908563135e-05,3.40166908563135e-05,3.96861393323657e-05,3.40166908563135e-05,3.96861393323657e-05,1.70083454281567e-05,1.13388969521045e-05,1.70083454281567e-05,5.66944847605225e-06,1.13388969521045e-05,1.70083454281567e-05,1.70083454281567e-05,1.13388969521045e-05,0.0,0.0,5.66944847605225e-06,0.000221108490566,0.0018879263425254,0.0001587445573294,1.13388969521045e-05,0.0004195391872278,6.23639332365747e-05,4.5355587808418e-05,0.0001474056603773,2.83472423802612e-05,2.83472423802612e-05,0.0,0.0001247278664731,0.0002721335268505,3.40166908563135e-05,2.2677793904209e-05,7.93722786647315e-05,5.66944847605225e-06,4.5355587808418e-05,1.70083454281567e-05,2.83472423802612e-05,3.40166908563135e-05,1.13388969521045e-05,0.0,3.40166908563135e-05,3.40166908563135e-05,1.13388969521045e-05,0.0,5.66944847605225e-06,0.0,1.13388969521045e-05,0.0,0.0,0.0,5.66944847605225e-06,0.0,0.0,0.0,0.0182442851959361,0.0004875725689404,0.0026249546444121,0.0004195391872278,3.96861393323657e-05,7.37028301886792e-05,0.0035320664005805,0.0010318396226415,0.0002437862844702,0.0143437046444122,0.0001984306966618,0.0001757529027576,2.2677793904209e-05,0.0058281930333817,9.0711175616836e-05,2.2677793904209e-05,1.13388969521045e-05,1.70083454281567e-05,5.66944847605225e-06,0.0009694756894049,0.0236245917997097,0.0152678247460087,6.8033381712627e-05,0.0001360667634252,0.0005782837445573,0.0001870917997097,0.0001814223512336,0.0,1.13388969521045e-05,2.83472423802612e-05,0.0,0.0,3.96861393323657e-05,1.70083454281567e-05,2.83472423802612e-05,1.13388969521045e-05,1.13388969521045e-05,0.000980814586357,1.70083454281567e-05,7.93722786647315e-05,0.0,0.0063951378809869,1.70083454281567e-05,0.0,1.70083454281567e-05,5.66944847605225e-06,0.0,0.0,0.0,0.0,1.70083454281567e-05,5.66944847605225e-06,0.0,0.0,0.0
mgm4583643,0.305608132363019,0.566719968671475,0.0064043990470906,0.0082890056456613,0.002594393499331,8.15847012368241e-06,0.0,0.0025372842084652,0.0006853114903893,8.15847012368241e-05,0.0003263388049472,0.0002365956335867,3.26338804947296e-05,2.44754103710472e-05,1.63169402473648e-05,4.0792350618412e-05,4.0792350618412e-05,0.0,0.0001958032829683,0.0,3.26338804947296e-05,1.63169402473648e-05,0.0,8.15847012368241e-06,2.44754103710472e-05,4.0792350618412e-05,2.44754103710472e-05,8.15847012368241e-06,1.63169402473648e-05,1.63169402473648e-05,3.26338804947296e-05,2.44754103710472e-05,0.0,8.15847012368241e-06,8.15847012368241e-06,0.0,1.63169402473648e-05,1.63169402473648e-05,3.26338804947296e-05,8.15847012368241e-06,0.0,0.0,0.0,8.15847012368241e-06,0.0,8.15847012368241e-06,8.15847012368241e-06,8.15847012368241e-06,0.0,0.0,1.63169402473648e-05,4.0792350618412e-05,5.71092908657768e-05,3.26338804947296e-05,3.26338804947296e-05,8.15847012368241e-06,2.44754103710472e-05,2.44754103710472e-05,8.15847012368241e-06,2.44754103710472e-05,8.15847012368241e-06,2.44754103710472e-05,0.0,0.0,8.15847012368241e-06,0.0,0.0002284371634631,0.0022109454035179,0.0001223770518552,1.63169402473648e-05,0.0004731912671735,8.15847012368241e-05,4.89508207420944e-05,0.0001713278725973,4.0792350618412e-05,3.26338804947296e-05,8.15847012368241e-06,8.15847012368241e-05,0.0003018633945762,1.63169402473648e-05,3.26338804947296e-05,6.52677609894593e-05,0.0,3.26338804947296e-05,8.15847012368241e-06,0.0,2.44754103710472e-05,1.63169402473648e-05,0.0,3.26338804947296e-05,3.26338804947296e-05,0.0,0.0,1.63169402473648e-05,1.63169402473648e-05,1.63169402473648e-05,0.0,1.63169402473648e-05,0.0,0.0,0.0,0.0,0.0,0.0258133994713311,0.0006200437293998,0.0027657213719283,0.0003344972750709,4.0792350618412e-05,8.15847012368241e-05,0.0042179290539438,0.0011340273471918,0.0002529125738341,0.0110302516072186,0.0001876448128446,0.0001631694024736,1.63169402473648e-05,0.0102959892960872,8.15847012368241e-05,1.63169402473648e-05,1.63169402473648e-05,8.15847012368241e-06,0.0,0.0013053552197891,0.017287798192083,0.0159498090917991,0.0001060601116078,0.0001142185817315,0.000562934438534,0.0001713278725973,0.0001713278725973,0.0,2.44754103710472e-05,6.52677609894593e-05,8.15847012368241e-06,8.15847012368241e-06,4.0792350618412e-05,0.0,3.26338804947296e-05,0.0,0.0,0.0010442841758313,4.0792350618412e-05,4.89508207420944e-05,0.0,0.0072447214698299,0.0,0.0,2.44754103710472e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.15847012368241e-06,0.0,0.0,0.0
mgm4583644,0.37638322335899,0.484726870601331,0.0059320234058602,0.0090005639083978,0.0034200678154774,2.92939427449889e-05,7.32348568624723e-06,0.002519279076069,0.0005858788548997,0.0001244992566662,0.0004833500552923,0.0001830871421561,3.66174284312361e-05,2.19704570587417e-05,7.32348568624723e-06,5.12643998037306e-05,0.0001171757709799,7.32348568624723e-06,0.0002050575992149,1.46469713724945e-05,4.39409141174834e-05,2.19704570587417e-05,1.46469713724945e-05,2.19704570587417e-05,7.32348568624723e-06,7.32348568624723e-06,5.12643998037306e-05,3.66174284312361e-05,1.46469713724945e-05,3.66174284312361e-05,7.32348568624723e-06,1.46469713724945e-05,0.0,3.66174284312361e-05,2.92939427449889e-05,7.32348568624723e-06,7.32348568624723e-06,5.85878854899778e-05,3.66174284312361e-05,1.46469713724945e-05,7.32348568624723e-06,7.32348568624723e-06,0.0,0.0,1.46469713724945e-05,7.32348568624723e-06,0.0,7.32348568624723e-06,0.0,0.0,2.92939427449889e-05,4.39409141174834e-05,9.52053139212139e-05,2.92939427449889e-05,2.92939427449889e-05,0.0,2.92939427449889e-05,7.32348568624723e-06,1.46469713724945e-05,7.32348568624723e-06,7.32348568624723e-06,2.19704570587417e-05,1.46469713724945e-05,1.46469713724945e-05,0.0,0.0,0.0002563219990186,0.002636454847049,0.0002636454847049,0.0,0.0003588507986261,6.5911371176225e-05,3.66174284312361e-05,0.0001684401707836,1.46469713724945e-05,4.39409141174834e-05,7.32348568624723e-06,0.0001244992566662,0.0003442038272536,2.92939427449889e-05,4.39409141174834e-05,7.32348568624723e-05,0.0,1.46469713724945e-05,2.19704570587417e-05,4.39409141174834e-05,2.19704570587417e-05,2.92939427449889e-05,0.0,5.12643998037306e-05,3.66174284312361e-05,0.0,0.0,1.46469713724945e-05,2.19704570587417e-05,7.32348568624723e-06,1.46469713724945e-05,1.46469713724945e-05,0.0,7.32348568624723e-06,0.0,0.0,0.0,0.0232740375108937,0.0006078493119585,0.0034640087295949,0.0003881447413711,5.12643998037306e-05,6.5911371176225e-05,0.0040279171274359,0.0009886705676433,0.0002343515419599,0.0168000761642511,0.0001391462280386,0.0002197045705874,0.0,0.0088760646517316,5.12643998037306e-05,1.46469713724945e-05,1.46469713724945e-05,1.46469713724945e-05,0.0,0.0012962569664657,0.0241601792789296,0.01641193142288,6.5911371176225e-05,0.0001684401707836,0.0006591137117622,0.0002636454847049,0.0002636454847049,1.46469713724945e-05,5.12643998037306e-05,0.0001025287996074,0.0,7.32348568624723e-06,3.66174284312361e-05,1.46469713724945e-05,2.19704570587417e-05,0.0,7.32348568624723e-06,0.0005419379407822,1.46469713724945e-05,8.05583425487195e-05,0.0,0.0070964576299735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32348568624723e-06,0.0,0.0,0.0,0.0
mgm4583645,0.342167096799045,0.53850556053861,0.0051175664595794,0.0066308253589175,0.0044352242649688,1.10055192679129e-05,5.50275963395643e-06,0.0021240652187071,0.0005557787230295,6.05303559735207e-05,0.0003851931743769,0.000121060711947,2.75137981697821e-05,4.95248367056079e-05,2.75137981697821e-05,3.30165578037386e-05,7.15358752414336e-05,0.0,0.0001870938275545,1.10055192679129e-05,3.8519317437695e-05,5.50275963395643e-06,5.50275963395643e-06,1.10055192679129e-05,5.50275963395643e-06,3.30165578037386e-05,2.20110385358257e-05,5.50275963395643e-06,2.75137981697821e-05,4.40220770716514e-05,1.10055192679129e-05,5.50275963395643e-05,0.0,0.0,5.50275963395643e-06,5.50275963395643e-06,5.50275963395643e-06,2.20110385358257e-05,5.50275963395643e-06,1.10055192679129e-05,2.75137981697821e-05,0.0,5.50275963395643e-06,0.0,0.0,0.0,0.0,1.10055192679129e-05,0.0,0.0,1.10055192679129e-05,5.50275963395643e-05,4.95248367056079e-05,2.75137981697821e-05,5.50275963395643e-06,2.75137981697821e-05,5.50275963395643e-06,1.10055192679129e-05,5.50275963395643e-06,0.0,2.20110385358257e-05,1.65082789018693e-05,5.50275963395643e-06,1.10055192679129e-05,5.50275963395643e-06,0.0,0.0002201103853582,0.0018324189581074,0.0001650827890186,5.50275963395643e-06,0.000495248367056,6.05303559735207e-05,2.20110385358257e-05,0.0001320662312149,1.10055192679129e-05,5.50275963395643e-06,0.0,4.40220770716514e-05,0.000247624183528,4.40220770716514e-05,3.30165578037386e-05,3.8519317437695e-05,0.0,1.10055192679129e-05,5.50275963395643e-06,1.10055192679129e-05,2.20110385358257e-05,2.75137981697821e-05,0.0,3.30165578037386e-05,3.30165578037386e-05,0.0,0.0,0.0,1.10055192679129e-05,1.10055192679129e-05,0.0,5.50275963395643e-06,0.0,0.0,0.0,0.0,0.0,0.0212351494274379,0.0004072042129127,0.0027403742977103,0.0002806407413317,3.8519317437695e-05,7.15358752414336e-05,0.0031971033473286,0.0007428725505841,0.0001760883082866,0.0161230857274923,0.0002146076257243,0.0001980993468224,2.75137981697821e-05,0.0096243265997897,4.40220770716514e-05,1.65082789018693e-05,5.50275963395643e-06,5.50275963395643e-06,0.0,0.0010180105322819,0.0159910194962774,0.0152536497053272,4.40220770716514e-05,0.0001650827890186,0.0005337676844937,0.0001430717504828,0.0002036021064563,5.50275963395643e-06,2.75137981697821e-05,1.65082789018693e-05,5.50275963395643e-06,1.65082789018693e-05,1.10055192679129e-05,1.10055192679129e-05,2.20110385358257e-05,5.50275963395643e-06,0.0,0.0005117566459579,1.10055192679129e-05,8.25413945093464e-05,0.0,0.0060475328377181,1.65082789018693e-05,0.0,1.65082789018693e-05,0.0,5.50275963395643e-06,0.0,0.0,0.0,1.10055192679129e-05,0.0,0.0,0.0,0.0
mgm4583646,0.389202423642884,0.460032150364783,0.0067565228143934,0.0095461852355632,0.0031754667985656,1.48386298998392e-05,0.0,0.0024434277235068,0.0006726845554593,6.43007295659701e-05,0.000395696797329,0.0002077408185977,4.94620996661308e-05,5.44083096327439e-05,9.89241993322617e-06,5.44083096327439e-05,7.41931494991962e-05,1.48386298998392e-05,0.0001978483986645,2.47310498330654e-05,6.43007295659701e-05,9.89241993322617e-06,9.89241993322617e-06,1.97848398664523e-05,9.89241993322617e-06,1.48386298998392e-05,1.97848398664523e-05,9.89241993322617e-06,2.96772597996785e-05,2.47310498330654e-05,1.48386298998392e-05,4.45158896995177e-05,0.0,1.97848398664523e-05,2.47310498330654e-05,1.48386298998392e-05,4.94620996661308e-06,2.47310498330654e-05,2.96772597996785e-05,9.89241993322617e-06,1.97848398664523e-05,1.48386298998392e-05,4.94620996661308e-06,0.0,1.48386298998392e-05,4.94620996661308e-06,0.0,4.94620996661308e-06,0.0,0.0,2.47310498330654e-05,3.95696797329047e-05,8.90317793990355e-05,4.45158896995177e-05,2.47310498330654e-05,2.47310498330654e-05,9.89241993322617e-06,9.89241993322617e-06,1.48386298998392e-05,4.94620996661308e-06,4.94620996661308e-06,2.47310498330654e-05,1.97848398664523e-05,4.94620996661308e-06,4.94620996661308e-06,9.89241993322617e-06,0.0001978483986645,0.0024483739334734,0.0002225794484975,4.94620996661308e-06,0.0005984914059601,8.90317793990355e-05,4.94620996661308e-05,0.0002027946086311,4.45158896995177e-05,3.46234697662916e-05,0.0,8.90317793990355e-05,0.0002769877581303,4.45158896995177e-05,4.45158896995177e-05,0.0001137628292321,4.94620996661308e-06,2.47310498330654e-05,2.96772597996785e-05,4.94620996661308e-06,5.44083096327439e-05,9.89241993322617e-06,0.0,4.45158896995177e-05,2.47310498330654e-05,4.94620996661308e-06,1.48386298998392e-05,9.89241993322617e-06,9.89241993322617e-06,1.48386298998392e-05,0.0,4.94620996661308e-06,9.89241993322617e-06,4.94620996661308e-06,0.0,0.0,0.0,0.0269815753678744,0.0005885989860269,0.0038382589340917,0.0004995672066279,2.96772597996785e-05,7.41931494991962e-05,0.0041548163719549,0.0012810683813527,0.0002967725979967,0.0188796834425621,0.0002819339680969,0.0002670953381971,1.97848398664523e-05,0.0099468282428589,5.9354519599357e-05,2.96772597996785e-05,4.94620996661308e-06,0.0,1.48386298998392e-05,0.0013206380610856,0.0265017930011129,0.016490664028688,5.9354519599357e-05,0.0001483862989983,0.0007765549647582,0.0002275256584642,0.0002868801780635,0.0,1.97848398664523e-05,8.90317793990355e-05,9.89241993322617e-06,2.47310498330654e-05,3.95696797329047e-05,9.89241993322617e-06,2.96772597996785e-05,0.0,0.0,0.0010832199826882,1.48386298998392e-05,8.90317793990355e-05,0.0,0.0069049091133918,1.97848398664523e-05,0.0,2.96772597996785e-05,9.89241993322617e-06,0.0,0.0,0.0,0.0,9.89241993322617e-06,4.94620996661308e-06,0.0,4.94620996661308e-06,0.0
mgm4583647,0.347461906643833,0.533345409037018,0.0055767795196065,0.0066361480700829,0.0028268124533438,2.19558248803408e-05,5.48895622008519e-06,0.002321828481096,0.0005598735344486,6.03785184209371e-05,0.0003952048478461,8.23343433012778e-05,1.64668686602556e-05,2.19558248803408e-05,5.48895622008519e-06,3.84226935405963e-05,5.48895622008519e-05,1.09779124401704e-05,8.7823299521363e-05,5.48895622008519e-06,2.19558248803408e-05,1.64668686602556e-05,1.64668686602556e-05,2.74447811004259e-05,2.19558248803408e-05,1.64668686602556e-05,3.29337373205111e-05,1.09779124401704e-05,1.64668686602556e-05,1.09779124401704e-05,2.19558248803408e-05,1.09779124401704e-05,0.0,1.64668686602556e-05,1.09779124401704e-05,5.48895622008519e-06,2.74447811004259e-05,1.64668686602556e-05,5.48895622008519e-06,0.0,5.48895622008519e-06,0.0,5.48895622008519e-06,5.48895622008519e-06,1.09779124401704e-05,5.48895622008519e-06,0.0,1.09779124401704e-05,0.0,0.0,2.19558248803408e-05,2.19558248803408e-05,1.64668686602556e-05,2.19558248803408e-05,1.09779124401704e-05,1.09779124401704e-05,0.0,5.48895622008519e-06,0.0,0.0,5.48895622008519e-06,1.64668686602556e-05,1.09779124401704e-05,0.0,0.0,0.0,0.0002030913801431,0.0018333113775084,0.0001372239055021,5.48895622008519e-06,0.0004500944100469,7.13564308611075e-05,2.74447811004259e-05,0.0001207570368418,3.29337373205111e-05,1.64668686602556e-05,0.0,0.0001042901681816,0.0001921134677029,1.09779124401704e-05,1.64668686602556e-05,6.03785184209371e-05,0.0,1.09779124401704e-05,1.09779124401704e-05,1.09779124401704e-05,1.09779124401704e-05,2.19558248803408e-05,5.48895622008519e-06,2.74447811004259e-05,3.29337373205111e-05,5.48895622008519e-06,1.09779124401704e-05,5.48895622008519e-06,0.0,3.29337373205111e-05,0.0,5.48895622008519e-06,5.48895622008519e-06,5.48895622008519e-06,0.0,0.0,0.0,0.0211050366662275,0.0004226496289465,0.0025523646423396,0.0003073815483247,3.29337373205111e-05,5.48895622008519e-05,0.003161638782769,0.0009331225574144,0.0001427128617222,0.015786238088965,0.0002030913801431,0.0002415140736837,3.84226935405963e-05,0.0096111623413691,2.19558248803408e-05,1.09779124401704e-05,0.0,1.64668686602556e-05,0.0,0.0007849207394721,0.0186953848856102,0.0139090150616959,5.48895622008519e-05,0.0001152680806217,0.0006312299653097,0.0001262459930619,0.0001866245114828,0.0,1.64668686602556e-05,2.74447811004259e-05,2.19558248803408e-05,1.64668686602556e-05,3.84226935405963e-05,2.19558248803408e-05,1.64668686602556e-05,5.48895622008519e-06,0.0,0.0007300311772713,2.19558248803408e-05,4.39116497606815e-05,0.0,0.0063397444341983,5.48895622008519e-06,0.0,5.48895622008519e-06,0.0,0.0,0.0,0.0,0.0,2.19558248803408e-05,5.48895622008519e-06,0.0,0.0,0.0
mgm4583648,0.385324111252148,0.493977152034816,0.0061394192161231,0.0077757341830082,0.0024005042785966,4.31745373848319e-06,0.0,0.0022623457589651,0.0005742213472182,6.90792598157311e-05,0.0003194915766477,9.0666528508147e-05,1.72698149539328e-05,4.31745373848319e-05,1.29523612154496e-05,3.02221761693823e-05,7.77141672926975e-05,8.63490747696638e-06,0.0001122537972005,2.1587268692416e-05,5.61268986002815e-05,1.72698149539328e-05,1.29523612154496e-05,3.88570836463487e-05,1.29523612154496e-05,8.63490747696638e-06,3.45396299078655e-05,1.72698149539328e-05,2.1587268692416e-05,8.63490747696638e-06,3.02221761693823e-05,3.02221761693823e-05,4.31745373848319e-06,4.31745373848319e-06,0.0,1.72698149539328e-05,8.63490747696638e-06,2.59047224308992e-05,8.63490747696638e-06,4.31745373848319e-06,1.29523612154496e-05,0.0,8.63490747696638e-06,4.31745373848319e-06,8.63490747696638e-06,0.0,4.31745373848319e-06,8.63490747696638e-06,4.31745373848319e-06,0.0,2.59047224308992e-05,3.45396299078655e-05,5.61268986002815e-05,3.88570836463487e-05,1.72698149539328e-05,2.1587268692416e-05,1.72698149539328e-05,2.1587268692416e-05,4.31745373848319e-06,8.63490747696638e-06,8.63490747696638e-06,8.63490747696638e-06,4.31745373848319e-06,0.0,4.31745373848319e-06,0.0,0.000241777409355,0.0017615211253011,0.0001511108808469,1.29523612154496e-05,0.0004576500962792,5.18094448617983e-05,3.02221761693823e-05,0.0001295236121544,3.02221761693823e-05,2.1587268692416e-05,0.0,9.93014359851134e-05,0.0002935868542168,1.72698149539328e-05,2.59047224308992e-05,5.61268986002815e-05,0.0,2.1587268692416e-05,3.45396299078655e-05,1.72698149539328e-05,4.31745373848319e-05,8.63490747696638e-06,0.0,2.59047224308992e-05,3.88570836463487e-05,0.0,0.0,8.63490747696638e-06,8.63490747696638e-06,1.29523612154496e-05,0.0,2.1587268692416e-05,4.31745373848319e-06,8.63490747696638e-06,8.63490747696638e-06,4.31745373848319e-06,0.0,0.0185952732516471,0.0005180944486179,0.0026163769655208,0.0002288250481396,3.88570836463487e-05,6.04443523387647e-05,0.0033373917398475,0.0010016492673281,0.0001813330570162,0.0174295607422566,0.0002676821317859,0.0002547297705705,1.29523612154496e-05,0.0062214508371542,3.88570836463487e-05,1.29523612154496e-05,4.31745373848319e-06,1.72698149539328e-05,1.29523612154496e-05,0.0011139030645286,0.0219369824452331,0.0139540104827777,6.47618060772479e-05,0.0001122537972005,0.0006648878757264,0.0001597457883238,0.0002029203257087,0.0,2.1587268692416e-05,8.20316210311807e-05,8.63490747696638e-06,4.31745373848319e-06,3.88570836463487e-05,2.1587268692416e-05,1.29523612154496e-05,8.63490747696638e-06,0.0,0.0012347917692061,8.63490747696638e-06,7.77141672926975e-05,0.0,0.0057897054633059,8.63490747696638e-06,4.31745373848319e-06,8.63490747696638e-06,0.0,0.0,0.0,0.0,0.0,8.63490747696638e-06,4.31745373848319e-06,0.0,0.0,0.0
mgm4583649,0.354377328005465,0.494700144763309,0.0068098395675535,0.0096183562044903,0.0059748751619776,5.42184678945342e-06,0.0,0.0027109233947267,0.0008512299459441,0.0001138587825785,0.0004933880578402,0.0001789209440519,1.62655403683603e-05,4.87966211050808e-05,2.16873871578137e-05,4.87966211050808e-05,9.21713954207082e-05,3.25310807367205e-05,0.000168077250473,1.08436935789068e-05,8.67495486312548e-05,3.25310807367205e-05,5.42184678945342e-06,1.62655403683603e-05,5.42184678945342e-06,1.08436935789068e-05,6.50621614734411e-05,1.08436935789068e-05,1.08436935789068e-05,5.42184678945342e-05,5.42184678945342e-06,4.87966211050808e-05,1.62655403683603e-05,1.62655403683603e-05,0.0,1.08436935789068e-05,1.08436935789068e-05,3.25310807367205e-05,1.08436935789068e-05,2.16873871578137e-05,5.42184678945342e-06,5.42184678945342e-06,1.08436935789068e-05,1.62655403683603e-05,2.16873871578137e-05,5.42184678945342e-06,0.0,1.08436935789068e-05,5.42184678945342e-06,0.0,3.25310807367205e-05,2.16873871578137e-05,3.7952927526174e-05,5.42184678945342e-05,2.71092339472671e-05,1.08436935789068e-05,5.42184678945342e-06,3.25310807367205e-05,1.62655403683603e-05,0.0,5.42184678945342e-06,5.42184678945342e-06,1.08436935789068e-05,0.0,0.0,0.0,0.0003253108073672,0.0039959010838271,0.0002656704926832,1.62655403683603e-05,0.0006126686872082,7.04840082628945e-05,5.42184678945342e-05,0.0001409680165257,1.62655403683603e-05,3.7952927526174e-05,5.42184678945342e-06,9.75932422101616e-05,0.0003632637348933,4.87966211050808e-05,6.50621614734411e-05,7.59058550523479e-05,0.0,1.62655403683603e-05,1.08436935789068e-05,1.08436935789068e-05,3.7952927526174e-05,2.16873871578137e-05,5.42184678945342e-06,4.33747743156274e-05,2.16873871578137e-05,1.08436935789068e-05,5.42184678945342e-06,1.08436935789068e-05,5.42184678945342e-06,1.08436935789068e-05,5.42184678945342e-06,1.62655403683603e-05,1.08436935789068e-05,0.0,0.0,0.0,0.0,0.0225928355716524,0.000634356074366,0.0033832323966189,0.0004608569771035,4.33747743156274e-05,0.0001030150889996,0.0046898974728772,0.0014422112459946,0.000346998194525,0.019730100466821,0.0002602486458937,0.000287357879841,5.42184678945342e-05,0.0117111890652194,5.96403146839877e-05,4.33747743156274e-05,5.42184678945342e-06,1.62655403683603e-05,5.42184678945342e-06,0.0015886011093098,0.0231133328634399,0.0164065083848861,7.59058550523479e-05,0.000168077250473,0.0007427930101551,0.0002439831055254,0.0002168738715781,0.0,6.50621614734411e-05,9.21713954207082e-05,1.62655403683603e-05,2.16873871578137e-05,5.96403146839877e-05,1.08436935789068e-05,4.33747743156274e-05,1.62655403683603e-05,0.0,0.0008674954863125,3.7952927526174e-05,7.59058550523479e-05,0.0,0.0066959807849749,5.42184678945342e-06,5.42184678945342e-06,1.08436935789068e-05,0.0,5.42184678945342e-06,0.0,0.0,0.0,1.08436935789068e-05,0.0,0.0,5.42184678945342e-06,5.42184678945342e-06
