#OTU ID	DRR125227	ERR2108715	SRR1573679	SRR1573955	SRR1573960	SRR1658343	SRR1658462	SRR1658463	SRR1658465	SRR1658468	SRR1658469	SRR1658471	SRR1658472	SRR2177362	SRR2177950	SRR2177951	SRR2177952	SRR2177953	SRR2177954	SRR2177956	SRR2177968	SRR2177986	SRR3308675	SRR3308741	SRR3309137	SRR3309324	SRR3309325	SRR3309326	SRR3309327	SRR3989308	SRR3989310	SRR3989311	SRR3989312	SRR3989313	SRR3989315	SRR4343428	SRR4343429	SRR4343430	SRR4343431	SRR4343433	SRR4343434	SRR446575	SRR446576	SRR446577	SRR5248198	SRR5248199	SRR5248218	SRR5248219
Pseudomonadota	0.879428703795847	0.6270862787670239	0.9633129302504291	0.764693693507018	0.7654125552097191	0.0171763478834842	0.0129060214329191	0.178019977451135	0.0457532342161797	0.0858265090922016	0.11849279992181098	0.0491408335026097	0.122094714158563	0.112378536971003	0.6201298266113799	0.533647341190743	0.514620818462326	0.7014110114291899	0.113489611926197	0.6105098163912321	0.41996254450803705	0.407943920959069	0.0173543064028178	0.17823953865245998	0.0461380179925347	0.0859930236674112	0.0488179033706048	0.12382311243635401	0.120700882556783	0.0580356209561247	0.182390962602284	0.0699493756208734	0.24358849739557398	0.111497727585703	0.170198438826187	0.20803437214394502	0.20620887827487197	0.21078296130545102	0.29989932169261607	0.268627189291254	0.285711830486724	0.24895338265388298	0.24301722745975	0.21423655649299	0.201404030058108	0.260923356846257	0.10219244090678699	0.24373125194675
Actinomycetota	0.0268060815833993	0.32303090906367604	0.0269599670547765	0.10266238311757901	0.10260465871450501	0.0047305185624951	0.004630832952115371	0.0138035437160967	0.0040778909653293	0.00509386009203505	0.00261048126972288	0.00313073818641358	0.00441985629227114	0.0543426838086436	0.0542058789016964	0.0162569084948359	0.0429413778745381	0.009804685584382229	0.019013470036207	0.00926261129609484	0.0552976231843094	0.0181304858943915	0.00493006547714905	0.0140713924148608	0.0045676754736768705	0.00527568245340318	0.00320165717847252	0.00458694064818749	0.00320556900235342	0.0093918666274381	0.0202228235154495	0.00972133023333644	0.022572368303504	0.0229018650000065	0.0200215006147195	0.0429828087160389	0.0450952850838425	0.0440070637600967	0.0689595557951044	0.049351346127324	0.058293103975068004	0.005310574524608079	0.00505074826664114	0.0072081999069591	0.0478974067743856	0.0405773458196587	0.018184684615378	0.0513433212916943
Chloroflexota	0.00591475045722261	0.0038036389116998296	0.00020951509774848	0.00443250031757243	0.0044181156569454705	0.00042787313660727996	0.0009717615369714599	0.0440615010630656	0.00135885668417109	0.0178984296377949	0.00030805238424956	0.00452466316932064	0.00031329432378628	0.00201202463685828	0.0005888027178716599	0.00745088096341805	0.00119062053511959	0.0038318222434566202	0.0113277083250195	0.00302272418120203	0.00061549016405685	0.00436040856266916	0.00043009360656355	0.0442141113154606	0.00136257492528214	0.0179619552854793	0.00457821641865225	0.0003157524536189	0.00031155389980994	0.00519580331134829	0.0440908183480274	0.00647240228940977	0.00071986514271613	0.0171948588685544	0.0486753912160181	0.0051445391697793	0.00578235337603939	0.00519826322902887	0.00671188715893952	0.00707093365273031	0.00816745088453665	0.00396302681817583	0.00650424855744557	0.00555726023901575	0.0169111962786982	0.045546047108303	0.00694702659824992	0.0662364912447014
Bacillota	0.004071978170390371	0.0051169957195020205	0.00148570395445954	0.00881499986936737	0.00876352532175747	0.004571008806675021	0.0035242792955362	0.0093103873941951	0.00271975948819446	0.0511285911027268	0.00428721523396595	0.0134852543753024	0.00297686227053078	0.00702386561314069	0.00280743988022925	0.00430609025394706	0.00380111629860736	0.00274408515901443	0.00676004051041396	0.00296953097086828	0.0049182199298825	0.0046734501333335395	0.00455960916712402	0.00920224943104618	0.0027175931800027	0.0507746011847773	0.0134933026759697	0.00296501529003522	0.00426872769827887	0.0066161734720246	0.007505980976229591	0.004695128346234929	0.0317512669278154	0.009329733396338259	0.00779810009924855	0.0163294663445045	0.0193270099222484	0.0162022333796095	0.0171559903592894	0.0197456156277283	0.0238569006080235	0.0066912154485017795	0.007412319720764141	0.0369457206830828	0.129769127018364	0.0574685456290856	0.181914427351655	0.0714075471282892
Cyanobacteriota	0.00104531918612284	0.00078326014656456	0.00043657231036584	0.00233607181371246	0.00232703779730283	0.00065555284716975	0.00050352633141915	0.00081026785417847	0.00032339053766435	0.00068169502431819	0.00030767711740356003	0.00028661899810653	0.00028361629221073997	0.00109970102837802	0.00042898679619503	0.0009240483649152801	0.00064093904362939	0.00063359279117956	0.0013102789243385	0.00064729422594485	0.00079590436863688	0.00090481070195799	0.00065326831725533	0.00080794689213838	0.00032230731702709	0.00067872669887628	0.00028637968604133	0.00028326360505492003	0.00030683276415595	0.0007407161723623599	0.00138486580488232	0.00075335580948924	0.0007041328417513599	0.0013861813463983698	0.0014095818548019	0.00416652486992256	0.00492416085163555	0.00414814058307982	0.00407797992535568	0.005518534887107789	0.00634185279110269	0.0009324381440634401	0.00073994480903296	0.00080105224291805	0.009173565839286009	0.00474770686673627	0.00268941113216724	0.0056876853644994
Candidatus Melainabacteria	3.11923245139057e-05	1.0419590392877198e-05	0.0	0.00030541008285712003	0.00030242124335275	5.25414716682642e-05	7.814270716039391e-05	0.00252778305305753	0.00013312729165423	0.0133038520308138	0.00022015654965317998	0.0031580567558345102	0.00033886744479414	0.00022325304492347003	0.00055836158993325	0.00112888115859166	0.00030607167768037004	0.00046693025162604005	0.00375271390652621	0.00063744878544489	0.00032692245977167	0.00120819882262477	5.2243838593272705e-05	0.0024831201593543397	0.00013206302978068	0.0132167269677921	0.0031482348204888	0.00033672803734026	0.00021889648093116002	0.0122924429845651	0.0017877717575709602	0.00422665251006654	0.00028857534912504	0.0108368784825198	0.00099277680341989	0.0140478417615785	0.0139030403157634	0.0138260943997255	0.00802375601273225	0.00229348843168236	0.00199746402273213	0.00113692686145547	0.00211035102228328	0.0015770517551308	0.007626858837194609	0.00050593872830295	0.00059097487026547	0.0028953680881894897
Candidatus Margulisbacteria	6.6900427911862e-06	2.6048975982192903e-06	0.0	9.45960433628263e-06	9.3670296613685e-06	8.930561756645469e-06	6.45338873923087e-06	0.00025057893743452004	5.49085327445481e-06	0.10673399518493902	0.0001970984867823	0.0184358160506137	7.171797773421021e-05	1.55137837948994e-05	1.59747360577663e-05	2.54123664285808e-05	6.23764167243649e-06	2.16875749455423e-05	6.89734018285771e-05	2.7344580328531603e-05	9.63188116383705e-06	1.82530299081164e-05	8.91132017242327e-06	0.00025694078915646	5.48879787412476e-06	0.10621845003963198	0.0184171463165446	7.131698465263149e-05	0.00019574238954985	7.29558223068374e-05	0.00074283511731193	9.52153126962785e-05	1.4720938759883402e-05	0.00062850655474105	0.00060879563539463	2.2687479056237697e-05	3.8570450535004295e-05	2.1307368712627102e-05	1.01695259983932e-05	3.13241024716795e-05	3.43731858596352e-05	1.5203622110931699e-05	1.1082523501534699e-05	9.73880799248446e-06	0.00031105758017094	6.14207930098802e-05	4.2365130367069e-05	0.00026302291409921
Deinococcota	0.00059892608088094	0.00061149971118197	0.00037588225166625	0.0014995725159754698	0.00149337215744103	6.970799593381601e-05	6.99342126971044e-05	0.00038484079054545	3.99899879988596e-05	8.803976659248509e-05	2.927081398798e-05	5.09210099132761e-05	4.0294179595404904e-05	0.00035786743972713	0.00012649522758188	0.00033521108473328	0.00027086745344689	0.00024147658073692997	0.00043994136991206	0.00020226639952936	0.00022136049759938998	0.0002523808084524	6.996855234281789e-05	0.00038722328914086003	4.01065184197674e-05	8.871038961762241e-05	5.11072231782733e-05	4.04129579698245e-05	2.95994678828531e-05	0.0001731321362979	0.0004776259372084	0.00020857809835693998	9.91134960779936e-05	0.00041481096018155	0.00046905135092615	0.0013883817419753	0.00148174814138641	0.00139489791382492	0.00203390519967864	0.00173856191490919	0.00191916954382963	0.00012340273280039	9.76554200919989e-05	5.9067987606590504e-05	0.00134778616712314	0.00147819375177112	0.00058392291918293	0.00165706551915602
Armatimonadota	0.00019518199843285	0.00016687625238592	9.52084137641658e-05	0.00049325079753473	0.00048976183658012	3.4233820067141e-05	4.59027650907635e-05	0.00016098465861551	3.60531498020806e-05	5.9010438148476504e-05	9.75693799599332e-06	3.27923268968139e-05	1.3494303705252699e-05	0.00014503771829085	4.3090650696592795e-05	0.00024413283180736	6.61360911570663e-05	0.00012733357901795	0.00033203224007705	0.00011619707162505	4.24580232468691e-05	0.00014522329799875	3.44701615460768e-05	0.00016170283198353998	3.61239487994723e-05	5.9309025264125906e-05	3.27852961158237e-05	1.3797272847829401e-05	9.975964903652301e-06	0.00013769645117744	0.0003466841006369	0.00015431244056408	3.191409624280061e-05	0.00032637068852097004	0.00033154064431923	0.0004962119574664901	0.00054480761380693	0.00050311105951625	0.0008033925538730599	0.00082927221045877	0.00097390693268966	0.0005630914842485401	0.00035314982960495	0.00013570817224309	0.00094760425206936	0.00073259349780215	0.00017517687575487	0.00086408211562682
Mycoplasmatota	7.55138580055143e-05	6.72389192540355e-05	1.8390926878665e-06	0.00017027287805308002	0.00016860653390463	0.00052918539831322	0.00223827282907868	0.0030358078791592803	0.0015377756201141802	0.0140028987596496	0.00203840781115438	0.0429159158035664	0.0158404724176432	0.00118292601436108	0.00020571757743058998	0.0038693126149723	0.00102305868142578	0.00273138012443813	0.00393720022994729	0.011933230518639	0.00066481576176582	0.0015327064998365	0.00052875465132966	0.0029874527300486698	0.0015286685018824	0.0139208408226046	0.0427789862532523	0.015736069357398998	0.0020262703693397803	0.0304900773644384	0.00443477137607296	0.021523963502368	0.00071188661865543	0.00723413653116301	0.00786005760688641	0.00076416948037395	0.00098033228443135	0.0007455742207289099	0.0005593239299116201	0.00089043586078262	0.0009605395826331301	0.00029515298391355	0.00023009903054756	0.00033577716252347997	0.0023930956528386803	0.0009160128463395	0.00107296504198262	0.00415578320309855
