#OTU ID	mgm4486524	mgm4486533	mgm4486537	mgm4486539	mgm4486540	mgm4486544	mgm4486613	mgm4486614	mgm4486617	mgm4709032	mgm4692823	mgm4692828	mgm4689127	mgm4689323	mgm4693524	mgm4698701	mgm4698702	mgm4698713	mgm4703636	mgm4703637	mgm4703638	mgm4703639	mgm4703709	mgm4715698	mgm4715819	mgm4715909	mgm4715910	mgm4715911	mgm4715912	mgm4715913	mgm4715914	mgm4715916	mgm4715917	mgm4715918	mgm4716055	mgm4716056	mgm4716057	mgm4716058	mgm4716059	mgm4716060	mgm4716116	mgm4716117	mgm4716118	mgm4716119	mgm4716120	mgm4716121	mgm4716122	mgm4716123	mgm4716124	mgm4716125	mgm4716126	mgm4716127	mgm4716139	mgm4716304	mgm4716305	mgm4716306	mgm4716307	mgm4716308	mgm4716309	mgm4716310	mgm4716312	mgm4716313	mgm4716314	mgm4716315	mgm4716316	mgm4716339	mgm4716400	mgm4716401	mgm4716402	mgm4716403	mgm4716404	mgm4716405	mgm4716411	mgm4716412	mgm4716506	mgm4716507	mgm4716508	mgm4716509	mgm4716512	mgm4734390	mgm4734391	mgm4734744	mgm4754101	mgm4754102	mgm4754103	mgm4754104	mgm4754105	mgm4754110	mgm4754111	mgm4754134	mgm4754218	mgm4754219	mgm4754220	mgm4754828	mgm4754829	mgm4754830	mgm4754831	mgm4754840	mgm4754841	mgm4754898	mgm4755890	mgm4755992	mgm4755993	mgm4756093	mgm4756094	mgm4756095	mgm4698770	mgm4698771	mgm4699602	mgm4714551	mgm4714552	mgm4714578	mgm4739110
Pseudomonadota	0.20405849581755198	0.17446833953873198	0.26541724710802694	0.308834289059973	0.152775886751939	0.21487887230923702	0.22782283004807896	0.16394279708589302	0.253703059876156	0.0943615022757125	0.428484410820997	0.0658139202707585	0.049665863354642	0.129615705862492	0.157224388141069	0.14349935617799803	0.112231268428473	0.112705074283705	0.100528345694797	0.0781636602673504	0.202162169416349	0.0822370531299257	0.0329410584847986	0.0401276794424095	0.0587165267537121	0.058229032652580004	0.0582290647309742	0.232268420682834	0.596446712238229	0.0739750546599753	0.0448248221108578	0.0696951988435395	0.0259055418365121	0.949966495017601	0.164465016944948	0.0347178155561868	0.111681641115858	0.0568681869239462	0.0512755011819224	0.0341865331183755	0.0222529828663652	0.0372186596578678	0.0196583541525484	0.086007702182285	0.0400750439645363	0.12434140780985599	0.306139425747057	0.09681579160179302	0.727482548056729	0.0273526605273344	0.064612301676488	0.0569943815421213	0.0649769318098064	0.0246064603469446	0.523144064773155	0.11808102205632301	0.160406808674715	0.0754262143259866	0.215796856709387	0.11716828270419	0.0725179580302067	0.0968522702323704	0.050126879092009996	0.0564620547197138	0.0485034671639182	0.6678865615093851	0.0309789815931482	0.0368016225317618	0.0349431994403667	0.0397898152316987	0.17048451659951597	0.0751603700307068	0.0188137740216808	0.0623139347964392	0.0501219680581765	0.0223747347130195	0.099138285470286	0.018504528314776003	0.0226063069756809	0.209383005977797	0.21913805697589497	0.11064780342516803	0.0310586434439334	0.0509675051505693	0.0382732412309401	0.0436074066448894	0.15607455647877802	0.0352697857985097	0.0641002229714831	0.148592088218403	0.273226899153385	0.423721030210654	0.0789733776037265	0.207716377267371	0.0997038222371949	0.203070175438596	0.0673911694023961	0.098610856740092	0.18854488997765198	0.0957996145928215	0.0547306765207063	0.175048710393296	0.0291806832191229	0.12386902647470599	0.18522577258108103	0.0789394917581496	0.4293575101981021	0.37360430246409104	0.154961118280883	0.0638020254528244	0.0424723136944855	0.0253526118536946	0.0672364033115853
Actinomycetota	0.24977989876992102	0.14509870462302202	0.331989655798359	0.20010197163628898	0.377566636422356	0.19644362430219103	0.0960083905537612	0.28037077074205796	0.394646454234635	0.593431362067386	0.0613442848797991	0.8998737611824109	0.18985383224323898	0.449949177661654	0.262463161522143	0.43830300270747996	0.6389949495036229	0.421330598397531	0.45825126995181603	0.845244294415867	0.46482553470245	0.809355096621197	0.42819811743309005	0.26196537030802003	0.9009915611642221	0.33283617665087295	0.332835441843195	0.50756932921853	0.355350152290364	0.39378972052609496	0.28777077534469003	0.745947774736259	0.180144862223872	0.026351533191607004	0.3056044017614	0.132672633503643	0.690558557426489	0.156357411464745	0.414793099064499	0.48985970569066706	0.38974970895096006	0.243557402327212	0.8397917151324509	0.6277278562259311	0.0703139737247242	0.673775407399844	0.3578308322219121	0.7185660953691221	0.13056295455150602	0.421501840899475	0.34228211991310403	0.823792088557688	0.530570996335483	0.5498551774076761	0.27423294947773197	0.70299356297914	0.638417594337474	0.6986713638567591	0.441922093102385	0.5582777796404189	0.12967316270239398	0.5254768160796621	0.431396854669212	0.5993217414703249	0.787544004817124	0.215658933823637	0.270275171196489	0.0909655504632589	0.435222657548363	0.2918673760685	0.766537997105037	0.196579417949345	0.427716516052647	0.6026885663084179	0.826085867678871	0.599180784141882	0.39454180525653293	0.568434008020979	0.34411301903237795	0.537094363791631	0.4282931580228879	0.5448498386696451	0.739433077289103	0.346528454582465	0.0548679683937105	0.14167888981374402	0.42106445093195605	0.170501922677663	0.32383305714058697	0.401567307431956	0.405980849181575	0.40455113925040104	0.36047520963024293	0.19196043748632502	0.14244606336239002	0.34013157894736795	0.172305136549995	0.15469827897193397	0.22525302991232604	0.39120835943958	0.585652124971373	0.5985014748409421	0.614966241674457	0.347638935197341	0.501712599328213	0.6501619378314419	0.37113243278101704	0.558240698825969	0.787155762732144	0.693328998514482	0.17592238404569802	0.6968363109144239	0.496921011796889
Chloroflexota	0.0007353194652821599	0.00028085893060295	0.00042300705059827	0.00055502739768639	0.0005889108308399	0.00017463082038132	0.00020153665037208	0.00021462408870586	0.00018926588712415	8.591196505483091e-05	0.00013086653873471002	3.52381954062843e-05	0.00016763651374724	0.00010953583111455	0.00019212626587142	0.00014687954408589	0.00012793674944488998	0.00020607061569104	0.00019058125649677	7.977422011277691e-05	0.00017593104006488	7.96511880728158e-05	0.00021338288098737	0.00019047144352432	0.00025456025939037	0.00017334987992215	0.00017334997542066	0.00027383982892217	7.27943317480346e-05	0.00012461341520057	0.00012893186945316	0.00018454156798818002	0.00025591510551655	2.07712828886172e-05	0.00013313067109942	0.00018137904085162	6.15732596129681e-05	0.00016882703522885	9.67809462452338e-05	0.00019071793640448	0.0001656426899285	0.00016396113525343	7.08021887990937e-05	0.0	0.00014185788958055	0.00011726032030414	0.00012330787219562	0.00020037895422146999	0.00015203612447034	0.0001595596244385	0.0001930111887141	0.00031844894841545	0.00012002392321498001	0.00031758650001574	0.00011396745485896999	0.00017618834944295	0.00024151749253997003	0.00010615627450059	9.092588282455821e-05	0.00028390748983637997	7.80534390574818e-05	0.00016643413103677	0.00021840047134792	0.00011990217881649	9.49439620845716e-05	6.69573691716543e-05	0.00019869909029692	0.0002023662671865	0.00013965734291058	0.00010274169715297	0.00010365388091964	0.00011372902969778998	0.00011330531113341001	0.0002913908571262	4.60256823307406e-05	0.00010735835987917	0.00020969479050074	0.00013380649759841	0.00012234589775097	0.00032023911187018997	0.0	9.928021841648051e-05	9.516688192509009e-05	0.00016654535585191002	0.00010254942200543	0.00012576372350053	0.0	0.00014701952677593	0.00018418696977176002	0.00011970705972384	0.00026127253475612003	0.0004201352249189	0.00013464463842185	9.22633248011725e-05	7.018430398225739e-05	0.00087719298245614	0.00015370927073818	0.00023864626518595	0.00013699071686436	0.00020994687488482	0.00012770400617947	0.00011743515487088999	0.00034819640345045	0.00022349190659491002	0.0007135830534218799	0.00021341164690707	5.7601065870157994e-05	4.48044594341969e-05	7.730551385270491e-05	7.39417826855365e-05	0.00028236382205538	0.00014501921674036	0.00016334502049306998
Bacillota	0.353920979386774	0.3546941255559	0.266054539269498	0.312213883909149	0.324260766230357	0.34633045428222203	0.33969875449758197	0.337971400577298	0.176022225056358	0.15877371170235502	0.0354418312115109	0.0244402439559098	0.0750966448680096	0.0322478823813903	0.0311793599446024	0.108958428193039	0.0610488409273955	0.053758293856266	0.0439276183278183	0.0318663461459944	0.053205614527752	0.0969966335532998	0.049248281044702	0.0596938521209211	0.012489770675474	0.0808572518828845	0.080857112793724	0.0942855753068537	0.0209347254382681	0.0800471265279304	0.0652336319149845	0.10232829944945099	0.0536198223072327	0.00495801491558731	0.23838120294797	0.0652281708323831	0.10779278713244501	0.059466691815299004	0.237093006250376	0.0614290124515487	0.0876903747505162	0.0362488800521982	0.0586975431640487	0.0783055198973042	0.0292866183513147	0.12481044909107301	0.0790852766524798	0.104492890257847	0.09558433838946499	0.0555420526254197	0.0907168069137227	0.0359353297827669	0.0649343990603176	0.0488221358184051	0.0467997443164926	0.0944656371257534	0.0642341194304001	0.0520795203980009	0.10968635145312701	0.182717692911756	0.0261628240652527	0.0948692252668258	0.0575723497061438	0.118949292854147	0.0882514227997591	0.0282056695785791	0.108375123955638	0.118494791150809	0.11636952579967698	0.0907327527082658	0.0286962096550733	0.030101896371076	0.0694166898298935	0.136103812849365	0.0720471140543482	0.0985773406940611	0.0654996052368737	0.149463630088916	0.116338446260681	0.194064901793339	0.0454711468224982	0.0648299826259618	0.0708243012912988	0.34292305604559603	0.0233267404278944	0.0440037952697003	0.0646754996631484	0.19073002148670498	0.0494447289109866	0.10025181235063302	0.0718682819726535	0.051598467972017	0.0685828222089169	0.0287835212429715	0.0156651366488399	0.0495614035087719	0.0179026961197277	0.0595394682073226	0.20511002234828896	0.0393650390409048	0.0581938228524184	0.0302325413252338	0.0257054094211911	0.0410471050075815	0.18641592717375197	0.043572215682669	0.087561550704173	0.0352864472690137	0.0389186485026611	0.0658738480553021	0.0645004211483044	0.0582658751147363	0.0405103978682583
Cyanobacteriota	0.0005068998026058401	0.00047994880546075	0.00032307601331617	0.00042782918025116	0.00043460312238925	0.00027799485736714	0.00036519269685632	0.00029294662344686	0.00021518075474576	0.00017678773253505	0.00027244033972953	5.78336794835963e-05	0.00047099412804752996	0.00020992249768125	0.00023773075955385	0.00021077214576326002	0.00023303378388821002	0.00035425137288607004	0.00030901389446262996	0.00015515143596736	0.00028224455295272003	0.00012313643129093998	0.00031787205294118	0.00028812302471702996	0.00027699746174049	0.00036322676110807004	0.00036322696120982004	0.00050624336794164	0.00014096680116286	0.00036251175331075	0.00026523127430365	0.0004921108479685	0.00034665791185508	7.72149863902942e-05	0.00022002015636312	0.00029634134468552	0.00012314651922593	0.00041933099024422997	0.00021698049182882	0.0002284499022399	0.00025699339728459	0.00017898443042673002	8.91348983988591e-05	0.0	0.00034380571630247	0.00012443952358807	0.00024963025581861004	0.00019526071784288	0.0002473808126975	0.00028108599566105	0.00035015532498	0.00019798556339433002	0.00027500627066734	0.00039904920819821004	0.00028615741383069	0.00044866568055823	0.00020126457711664	0.00013981051416615	0.00018871409642831998	0.00026760510959658997	0.00031852690203604	0.00027975098621075	0.00035407349142769	0.00014839378566397	0.00012913000407901	0.00012560615968697	0.00029918731218061	0.00035588550436246	0.00030387573329067997	0.00021462794326721	0.00017384469792035	0.00019116156055586	0.00015659048617313998	0.00036909508569319	9.20513646614811e-05	0.00015048063443063998	0.00031919267505657004	0.00017674380236658998	0.00021790072300173998	0.00010674637062339001	0.0001217433649866	0.00019856043683296002	0.00015961852682673002	0.00024056551400831002	0.00029773412249915	0.00024407478190473998	0.00022456770716371	0.00041920432634758	0.00026733423041158	0.00027361613651165	0.00051337761215238	0.00107476452886231	0.00018907544969876	0.00018452664960233998	0.00018247919035386002	0.00021929824561403	0.00023351985362147002	0.00055499131438593	0.00035456420835482	0.00041002163966534	0.00030780935228062	0.00034507531515235	0.0004111454475677	0.00036158446676738	0.00046382898472422003	0.00037581925241497	0.00023207385959281	0.00013070542303907	0.00016150451301711	0.00016400839420818998	0.00037413206422338	0.00019143891929511	0.00022294870240642997
Candidatus Melainabacteria	4.25663938320696e-05	4.75100837728824e-05	1.5247209812115198e-05	2.10931717354908e-05	3.12246186511909e-05	1.7136669289755802e-05	3.4329297273365994e-05	2.3140748900750897e-05	1.1355953227449301e-05	2.29098573479549e-06	8.327870646754331e-06	8.06981574189717e-07	2.06321863073528e-05	4.06629535460065e-06	6.9344936726416395e-06	5.1407840430063305e-06	2.57590770694413e-06	1.2312395277138e-05	1.03458396383966e-05	5.6532911890944195e-06	7.33919714215857e-06	1.29164088766728e-06	1.0028792120079901e-05	8.900534744127431e-06	2.03974566819212e-06	1.2487067621511098e-05	1.2487074500641e-05	9.007889109281911e-06	5.777327916510679e-07	0.0	8.84104247678858e-06	9.22707839940947e-05	8.1566567495315e-06	4.51549628013416e-07	7.39059989599229e-06	9.33568592618673e-06	2.19904498617743e-06	1.26304515133807e-05	8.60275077735412e-06	7.54639316708401e-06	2.59589290186462e-06	3.3672902974638304e-06	2.52864959996763e-06	0.0	1.21701138514151e-05	0.0	2.58386693774302e-06	2.30320637036173e-06	0.0	9.90214876628228e-06	8.51519950209306e-06	2.66007474810042e-06	5.53508383758433e-06	3.1483172244435397e-06	0.0	4.09740347541763e-06	5.2964362399116095e-06	1.86967998141954e-06	5.14674808440896e-06	4.61388119994131e-06	3.4435340760653703e-06	7.082303448373551e-06	7.77638041920647e-06	3.56145085593536e-06	9.323465998484942e-07	3.42117944672686e-06	7.68606796277495e-06	8.32875626907735e-06	1.05773854065786e-05	7.79976234930994e-06	1.63234458141176e-06	0.0	2.97055122821684e-06	4.85651428543677e-06	2.70739307827886e-06	4.11540379536852e-06	4.8618751829809005e-06	4.51123652348646e-06	2.2325893750178602e-06	0.0	0.0001217433649866	0.0	1.5105854273823799e-06	3.08417325651686e-06	1.6730117185176402e-05	5.58949882224602e-06	0.0	1.0927126990103e-05	5.26248485062174e-06	4.2752521329945395e-06	0.0	1.9541173252042102e-05	2.8647795408904302e-06	5.27218998863843e-06	0.0	0.0	2.95594751419594e-06	1.10998262877186e-05	2.68609248753653e-06	1.28337431355928e-05	6.98684532288929e-06	2.19095438191972e-06	1.06435581840752e-05	6.3595257974164e-06	5.09702181015633e-06	1.20799045419099e-05	5.84358639262473e-06	4.01695153547972e-06	5.90870169574815e-06	3.1959120217717098e-06	1.30526672459565e-05	1.3553197826202601e-06	4.52083814911652e-06
Candidatus Margulisbacteria	7.494083421139011e-06	5.81756127831213e-06	2.26647713423334e-06	6.81799490440106e-06	5.80923137696574e-06	1.9040743655284198e-06	8.28638210046765e-06	4.06870310342872e-06	4.36767431824972e-06	1.90915477899624e-06	4.3622179578237e-06	0.0	4.83566866578582e-06	1.65193248780651e-06	2.61063291205332e-06	1.2239962007157899e-06	2.06072616555531e-06	7.5602427140320905e-06	2.72258937852541e-06	1.8844303963648102e-06	2.72598750994461e-06	4.3054696255576107e-07	3.65915388165077e-06	1.52580595613613e-06	0.0	4.59083368437908e-06	4.5908362134709504e-06	1.8015778218563801e-06	0.0	0.0	3.6837676986619102e-06	0.0	6.11749256214863e-06	4.51549628013416e-07	2.6965702323215097e-06	2.66733883605335e-06	3.1414928373963297e-07	3.7891354540142098e-06	1.91172239496758e-06	6.860357424621821e-07	2.3486650064489397e-06	1.29511165287071e-06	0.0	0.0	3.42284452071049e-06	0.0	2.72741510095096e-06	5.118236378581609e-07	1.71792231039936e-06	4.27592787634917e-06	5.160726970965489e-07	1.14003203490018e-06	2.6218818178031e-06	2.75477757138809e-06	4.95510673299903e-06	0.0	2.11857449596465e-06	1.6619377612618098e-06	4.0030262878736296e-06	6.15184159992175e-07	0.0	0.0	4.1363725634077e-06	3.95716761770595e-07	4.661732999242471e-07	4.8873992096098e-07	5.40871449232311e-06	3.15142129100224e-06	6.4539978752004795e-06	1.34478661194999e-06	8.16172290705879e-07	0.0	2.12182230586917e-06	2.42825714271839e-05	0.0	3.5786119959726295e-07	3.59355991785545e-06	6.12239242473163e-06	3.12562512502501e-06	5.3373185311699395e-05	0.0	0.0	5.035284757941269e-07	1.54208662825843e-06	4.6472547736601e-06	6.52108195928702e-06	0.0	9.93375180918455e-07	4.7362363655595594e-06	0.0	9.16745735986396e-06	0.0	0.0	0.0	0.0	0.0	0.0	5.5499131438593e-06	2.68609248753653e-06	1.97442202086043e-06	3.1052645879508e-06	1.3145726291518298e-06	7.29843989765154e-06	5.4510221120712005e-06	5.09702181015633e-06	0.0	8.347980560892471e-07	3.0899627195997897e-07	1.4771754239370398e-06	3.34118075003407e-06	3.9957144630479e-06	4.06595934786078e-06	8.32785974837253e-07
Deinococcota	0.00016906652198088999	5.1711655807218894e-05	0.00014526057996677	0.0001335900876581	0.0001648369403214	5.5218156600324206e-05	4.67588704240674e-05	7.04394224781097e-05	8.327699033462791e-05	9.622140086141059e-05	9.08134465765115e-05	6.0254624206165505e-05	0.00012943473128753	0.00010064081002635999	0.00016112500004079	0.00015618191521133	0.0001626256398984	0.00014278058382786	0.00015763792501662	0.00016268915755282	0.00014321918994555	0.00011710877381516001	0.00014460434043412	0.00015919242142353	0.00040794913363842	0.00015259931166876	0.00015259939573577	0.00042697394377996003	0.00016003198328734	4.5313969163844e-05	0.00010388224910226	0.00024605542398425	0.00014885898567895	4.42518635453148e-05	9.577817973319742e-05	0.00010669355344213	6.094496104548879e-05	0.00011577913887265	0.00013907780423389	0.0001776832572977	0.00014574084434754	0.00014168521482405	0.00012137518079843999	0.0	8.671206119133242e-05	0.00011805800955791	0.00011986271627863001	0.00022852925430366002	0.00021817613342071002	0.00012850288512607	0.00016101468149412	0.00031882895909375	0.00011856732220508999	0.00021565972987438	0.00029606762729668997	0.00028476954154152	0.00023198390730812002	0.00011862080771006001	0.00010979729246739001	0.00030236301463615	5.62443899090677e-05	0.00019122219310608002	0.00014874395738014	0.0001385008666197	9.33900510848241e-05	0.00037584099921899	0.00013109015914288	0.00014519048090688	9.84234675968073e-05	7.36943063348594e-05	0.00022322312150805	9.67906635725918e-05	0.00010566675083228	0.00028653434284076003	4.87330754090194e-05	0.00011254734727333001	0.00017777552299508	0.00010110003280313001	7.7247592375618e-05	0.00037361229718189	0.0001217433649866	0.00019856043683296002	9.063512564294291e-05	0.00015266657619758	5.142961949517179e-05	0.00012902426448017	0.00033685156074556	0.0001132447706247	0.0001557695515784	0.00021803785878271999	0.00037586575175442	0.00064485871731738	0.00018048111107609	0.00020561540955688998	1.40368607964515e-05	0.00021929824561403	0.0001389295331672	0.00016094748117192	0.00023637613890321	0.00017835612255105	0.00012459874159152	0.00012838992678049	0.00024662644820814	0.00015262861913798998	0.00035934003761602004	0.00017582972166557	8.723639686132629e-05	0.00022371330089902003	8.81381336282432e-05	7.06006019355024e-05	0.00020444739002595	0.00013078835902285	0.00016691410324238
Armatimonadota	4.67630805479074e-05	2.6502223601199698e-05	3.37911136376608e-05	3.6007535588868106e-05	4.7200004937846703e-05	1.9584764902578e-05	1.9828128597547603e-05	2.5683688340393803e-05	2.56236893337317e-05	2.17643644805572e-05	9.91413172232659e-06	3.22792629675887e-06	3.20766021497126e-05	2.29999830994599e-05	4.152537975734821e-05	2.8396711856606397e-05	1.5455446241664802e-05	2.54888182930225e-05	4.19278764292914e-05	1.3191012774553699e-05	2.8308331834040197e-05	5.16656355066913e-06	3.47619618756823e-05	3.5856439969199104e-05	1.59100162118986e-05	3.01158689695268e-05	3.0115885560369398e-05	6.66583794086861e-05	9.24372466641709e-06	0.0	3.24171557482248e-05	3.0756927998031604e-05	6.5253253996252e-05	4.51549628013416e-06	1.77773889390085e-05	2.32058478736642e-05	9.73862779592862e-06	1.8735169744848002e-05	1.57717097584826e-05	2.60693582135629e-05	2.7442296391140197e-05	3.54860592886573e-05	1.1378923199854302e-05	0.0	2.62418079921138e-05	1.91445420904723e-05	1.8517713053825e-05	3.557174283114221e-05	1.8897145414392898e-05	1.86790533545779e-05	3.6125088796758396e-05	8.360234922601329e-05	1.4857330300884198e-05	4.28958221830432e-05	1.9820426931996104e-05	4.0974034754176294e-05	2.22450322076288e-05	1.0594853228044001e-05	1.71558269480299e-05	5.41362060793114e-05	1.14784469202179e-05	1.4164606896747101e-05	3.4910984435160996e-05	1.42458034237414e-05	9.47885709845969e-06	9.28605849825862e-06	2.94632605239706e-05	4.2994390470102e-05	2.68916578133353e-05	1.72132686329599e-05	1.38749289419999e-05	9.67906635725918e-06	1.2306569374041198e-05	4.3708628568930896e-05	2.03054480870914e-06	1.37776561844946e-05	4.31227190142654e-05	1.53059810618291e-05	2.1432858000171498e-05	0.0	0.0	0.0	2.21552529349416e-05	2.6215472680393303e-05	1.14632284416949e-05	3.21396182279146e-05	0.0	3.17880057893906e-05	3.65742697118211e-05	1.8526092576309698e-05	3.6669829439455796e-05	0.00011724703951225	2.8647795408904302e-06	5.27218998863843e-06	1.40368607964515e-05	0.0	2.21696063564695e-05	1.66497394315779e-05	3.22331098504384e-05	2.63256269448057e-05	1.97960617481863e-05	1.94994939990855e-05	6.62941624036682e-05	3.9065658469843605e-05	3.31306417660161e-05	3.22130787784264e-05	2.08699514022312e-06	6.797917983119529e-06	1.42793624313914e-05	1.1185692076201e-05	6.033528839202329e-05	2.20239464675792e-05	2.83147231444666e-05
Mycoplasmatota	0.00032914014385642	0.00055686989347398	0.00010611233855728	0.00018280748837425	0.00021748309967515	0.00020917616958447	0.00036223327467758	0.00022377867068857997	8.03652074557948e-05	0.00011607661056296999	0.00079828588628173	2.71683796643871e-05	0.00085365670846672	0.0005344636956703201	0.00016128816459778998	0.0016511708747656	6.0791421883881496e-05	0.00124808806861936	0.0004720969982363	4.7738903374575106e-05	0.00059950756084089	4.30546962555761e-05	0.00053084836127503	0.00014444296384755	5.50731330411874e-05	0.00148596104695982	0.00148596186557628	0.00013331675881737	2.0798380499438397e-05	0.0005211106453842	0.00093862400961905	0.00012302771199212	0.00075856907770643	3.1608473960939194e-05	0.00016588900577355	0.0003302165479034	0.00014450867052023	0.00096075634511782	0.00064950768369023	0.00022227558055773998	0.00217523463781484	3.75582379332505e-05	8.028462479897241e-05	0.0	0.00111204415317305	2.15376098517814e-05	5.68450726303464e-05	3.50599191932841e-05	6.35631254847762e-05	0.00138652587611512	0.00057103443933733	3.72410464734059e-05	0.00012730692826444	0.000362056480811	0.00016971240560521	0.00011062989383627	0.00012499589526191002	4.5703288434699796e-05	0.00024418460356029	0.00035711440487545	0.00017562023787933	0.00021778083103748	0.00028259697353201003	0.00031855199322532	2.25317094963386e-05	0.00010459034308565	0.00073231147534216	0.0007869549166674099	0.00456405216407927	0.00010220378250819	5.71320603494115e-05	0.00047185448491637996	7.55368740889425e-05	0.00020883011427378	3.9257199635043394e-05	4.58062335484497e-05	0.00079819307351895	3.78621636792614e-05	7.81406281256251e-05	5.3373185311699395e-05	0.00024348672997321	0.0	3.826816416035371e-05	5.3973031989045e-05	0.00061188854519858	0.0013526587149835401	0.00056141926790927	0.0011582754609509199	0.00032443219104083	6.27036979505866e-05	7.792338755884358e-05	0.00024426466565052	0.00010599684301294	7.11745648466188e-05	2.8073721592903e-05	0.00087719298245614	0.00013597358565301	0.0008435867978666099	0.00100459859033866	0.00079602114474356	6.36579240529913e-05	3.35216020433717e-05	9.57920236566765e-05	0.00010992894592676	0.0001044889471082	0.00033018405747887	0.00010142796381484001	4.14055004426372e-05	7.238159577291479e-05	4.4161693391754603e-05	0.00053768997624414	5.9295240489636405e-05	7.51886765853063e-05
