#OTU ID	mgm4716389	mgm4716390	mgm4716391	mgm4667949	mgm4668300	mgm4668301	mgm4668302	mgm4668305	mgm4668298	mgm4668303	mgm4668304	mgm4718937	mgm4718936	mgm4441102	mgm4441663	mgm4448187	mgm4469452	mgm4481541
Pseudomonadota	0.5924396764180079	0.5745032325631851	0.5975024104382579	0.7524893314366999	0.499217308006822	0.516142500813361	0.595410741752205	0.7448744589657851	0.518083356887735	0.754266573240135	0.555829202319683	0.18930269855524498	0.545938544049711	0.0986505638055333	0.0986505638055333	0.42849072379273706	0.42851009016745395	0.5223608234973139
Actinomycetota	0.0628224940445539	0.0625197662070949	0.0573733075114474	0.00189663347558084	0.0170167363690879	0.0169829736471099	0.0152556737922592	0.0171865166010921	0.0411709535678495	0.0182831165723856	0.0180975234967846	0.00812470313584696	0.18911598023111303	0.00967404029823156	0.00967404029823156	0.0125189252706031	0.0124968927255881	0.00633769114825367
Chloroflexota	0.00931252164144467	0.00879843500764891	0.00785215198367974	0.0	0.0005529465822449599	0.00036330116039475	0.00026681733998807	0.00034809025030853	0.00067451242387645	0.00032471416608275	0.00046835696167892	0.00116726504223884	0.0373142742155311	0.00234148746071847	0.00234148746071847	0.00047454409870517004	0.00047456554654132	0.00031755544920678
Bacillota	0.0330344665172714	0.0366813006303677	0.032025299725866	0.0298719772403983	0.0677086983948973	0.0363789176878863	0.025661550051794	0.0205830335889511	0.0431944908394789	0.0204501563755063	0.0317061875743319	0.0513038946653872	0.0292751360431114	0.10493560909483	0.10493560909483	0.0410141685309471	0.0409934238774265	0.0462020815536065
Cyanobacteriota	0.007055841341885159	0.007663512836384	0.006936258599912121	0.102418207681366	0.163859099865268	0.145022231862054	0.228976363122705	0.0755461325063553	0.17913122799804698	0.0791174610770256	0.14146485217812302	0.00727665719906388	0.00803557029643341	0.0150348142214554	0.0150348142214554	0.0053329717759248	0.005333212808750079	0.0110428789308668
Candidatus Melainabacteria	0.0002070465433008	0.00019172059140226	0.00017532676861792	0.0	0.00022585142091695	0.00017351697212883001	0.00023542706469535	9.49337046296003e-05	0.00018629390754683	9.91232717515766e-05	0.00014734825760685	0.00022499177914652997	0.00011702633235193001	0.0	0.0	0.00033896007050369	0.00033897539038665	0.00025046626979689
Candidatus Margulisbacteria	5.6651998964513205e-05	6.213659056527571e-05	5.75481465839079e-05	0.0	6.23038402529536e-05	7.04912699273398e-05	7.84756882317858e-05	1.75803156721482e-05	8.9934989850194e-05	2.05082631210158e-05	6.31492532600802e-05	0.00029422001888392	5.49452901896255e-05	0.00123236182143077	0.00123236182143077	0.0	0.0	9.3924851173837e-05
Deinococcota	0.00193632975832969	0.0019270309304795102	0.00176960550745517	0.0	0.00026479132107505	0.00024400824205617002	0.0003295978905735	0.00030238142956094	0.00085438240357684	0.00030420590296172996	0.0003946828328755	0.00023268380578401	0.00360355474620271	0.00067779900178692	0.00067779900178692	0.00027116805640295	0.00027118031230932	0.00015654141862306002
Armatimonadota	0.00044407037753349006	0.00045380954391477	0.00036747905466927	0.0	7.00918202845728e-05	7.04912699273398e-05	6.27805505854286e-05	8.08694520918818e-05	0.00013490248477528998	7.519696477705809e-05	6.31492532600802e-05	0.00011153438624358	0.00157985548675105	0.00018485427321461	0.00018485427321461	4.5194676067159295e-05	4.51967187182211e-05	5.814395548856579e-05
Mycoplasmatota	0.00086222818154958	0.0010241915803857599	0.00088468082968821	0.00284495021337127	0.00623038402529536	0.005091638650905539	0.00266817339988072	0.00233114985812685	0.00402137883187296	0.0018183993300634	0.00345215917821772	0.00171916795347862	0.00036463692580387003	0.00659313574465463	0.00659313574465463	0.00653063069170452	0.00653092585478294	0.00418636479517673
Thermomicrobiota	0.00013007095726381	0.00012294547620393998	0.00010412312962427	0.0	2.33639400948576e-05	5.4224053790261395e-06	0.0	7.03212626885928e-06	1.28478556928849e-05	1.7090219267513198e-05	1.5787313315020002e-05	7.692026637488251e-06	0.00051448771723012	0.0	0.0	0.0	0.0	4.472611960658911e-06
Candidatus Kaiserbacteria	0.00036353816375882004	0.00045434062588541	0.00034333809487348	0.0	0.00015575960063238	0.0001247153237176	1.5695137646357197e-05	8.08694520918818e-05	0.00014775034046817	8.20330524840634e-05	0.00012103606874848001	0.00010768837292483	0.00055016647709352	0.00018485427321461	0.00018485427321461	4.5194676067159295e-05	4.51967187182211e-05	7.60344033312014e-05
Candidatus Nomurabacteria	0.00031044279253199	0.0003428134120503	0.00027701141745474	0.00047415836889521	0.00020248748082209	0.00023858583667715	0.00025112220234171	0.00017228709358705	0.00025053318601125	0.00014697588570061	0.00019997263532358002	0.00036921727859942996	0.00029542013166889	0.0005545628196438401	0.0005545628196438401	0.00033896007050369	0.00033897539038665	0.00031755544920678
Candidatus Yanofskybacteria	0.00015014049949788	0.0001678219027233	0.00013557953178242	0.0	8.566778034781121e-05	0.00011387051295953999	7.84756882317858e-05	5.625701015087429e-05	8.35110620037516e-05	5.46887016560422e-05	2.1049751086693398e-05	0.00018268563264034	0.00024261556707107	0.00018485427321461	0.00018485427321461	9.038935213431859e-05	9.039343743644209e-05	0.00016995925450503
Candidatus Azambacteria	4.0393129306536294e-05	4.4079803563400705e-05	3.48702752605883e-05	0.0	2.33639400948576e-05	2.16896215161045e-05	3.13902752927143e-05	1.75803156721482e-05	3.21196392322121e-05	1.36721754140106e-05	1.0524875543346699e-05	3.6537126528069204e-05	8.277472288307209e-05	0.0	0.0	4.5194676067159295e-05	4.51967187182211e-05	2.23630598032945e-05
Candidatus Falkowbacteria	0.00036557052246607004	0.00045513724884137	0.00034894660068462004	0.0	0.00014797162060076001	0.00017351697212883001	0.0001098659635245	7.03212626885928e-05	0.0002119896189326	0.00015381197340761	0.00012629850652016002	0.00068651337739582	0.00035536044823939	0.00024647236428615	0.00024647236428615	0.00022597338033579	0.0002259835935911	0.00014759619470174
Candidatus Magasanikbacteria	0.00053730483322845	0.0005740996102654901	0.00052598030585376	0.00094831673779042	0.00050621870205524	0.00036872356577377	0.00021973192704900004	0.00023206016687235	0.00041755531001875	0.00021191871891716	0.00027890920189868	0.00052498081800857	0.00044955237427875	0.00086265327500154	0.00086265327500154	0.00045194676067159006	0.00045196718718220995	0.00040700768841996
Candidatus Nealsonbacteria	9.882344213989079e-05	0.0001322394106902	9.7539231498149e-05	0.0	0.00019469950079048	0.0001464049452337	0.0001098659635245	5.625701015087429e-05	0.00018629390754683	3.4180438535026396e-05	3.15746266300401e-05	0.00012307242619981	0.00021692685996943	0.0004929447285723	0.0004929447285723	6.77920141007389e-05	6.77950780773316e-05	0.00013865097078041998
Candidatus Uhrbacteria	0.00025353674872907	0.00028704980513274	0.00026189283657253	0.0	0.00015575960063238	0.00011387051295953999	9.417082587814291e-05	9.14176414951707e-05	0.00015417426831461	8.886914019106871e-05	0.00010524875543346	0.00027691295894957	0.00050806554045471	0.00024647236428615	0.00024647236428615	0.00018077870426863	0.00018078687487288	7.60344033312014e-05
Candidatus Giovannonibacteria	5.86843576717603e-05	6.85095742129963e-05	5.3646577323981896e-05	0.0	2.33639400948576e-05	3.79568376531829e-05	1.5695137646357197e-05	1.05481894032889e-05	4.4967494925097e-05	2.05082631210158e-05	2.6312188858366698e-05	8.07662796936266e-05	0.00015841369379346	0.00012323618214307	0.00012323618214307	2.2597338033579603e-05	2.2598359359110502e-05	2.23630598032945e-05
Candidatus Moranbacteria	0.00028859493642909	0.00031971134632731	0.00026408746928122996	0.0	0.00022585142091695	0.0001464049452337	0.00015695137646357	8.43855152263114e-05	0.00012847855692884	0.00011279544716558	0.00012629850652016002	0.00044229153165557003	0.00033252604192682	0.0005545628196438401	0.0005545628196438401	9.038935213431859e-05	9.039343743644209e-05	0.00019232231430833
Candidatus Zambryskibacteria	8.99318727956847e-05	0.00011285491876171001	7.973832174973679e-05	0.0	6.23038402529536e-05	5.96464591692875e-05	4.70854129390715e-05	2.4612441941007503e-05	9.63589176966364e-05	6.49428332165502e-05	6.84116910317536e-05	9.03813129904869e-05	0.00014985079142625	0.00030809045535769	0.00030809045535769	6.77920141007389e-05	6.77950780773316e-05	4.9198731567247995e-05
Candidatus Staskawiczbacteria	9.298041085655541e-05	0.00010807518102592	0.0001080246988842	0.0	0.00010903172044266	8.133608068539201e-05	6.27805505854286e-05	4.5708820747585296e-05	0.00011563070123596001	6.836087707005279e-05	6.84116910317536e-05	0.00014230249279353002	9.77598020256973e-05	0.0	0.0	0.00013558402820147	0.00013559015615466	0.00011181529901646999
Candidatus Wolfebacteria	9.145614182612e-05	0.00010515423018739	8.68099160333526e-05	0.0	3.11519201264768e-05	5.4224053790261404e-05	1.5695137646357197e-05	4.21927576131557e-05	6.42392784644243e-05	3.4180438535026396e-05	3.68370644017134e-05	0.00011153438624358	0.00013343856188909	0.00018485427321461	0.00018485427321461	0.0	0.0	6.70891794098836e-05
Candidatus Harrisonbacteria	7.62134515217667e-05	8.31143284056893e-05	7.38859678598478e-05	0.0	3.8939900158096e-05	4.33792430322091e-05	1.5695137646357197e-05	3.16445682098668e-05	5.13914227715394e-05	4.10165262420317e-05	4.2099502173386795e-05	4.9998173143673604e-05	7.63525461076614e-05	0.00012323618214307	0.00012323618214307	4.5194676067159295e-05	4.51967187182211e-05	7.60344033312014e-05
Candidatus Taylorbacteria	0.00010136389052395	0.00011657249255622	9.24184218444961e-05	0.0	3.8939900158096e-05	3.25344322741568e-05	0.0	2.4612441941007503e-05	7.06632063108667e-05	3.0762394681523806e-05	3.15746266300401e-05	0.00010191935294671	0.00017197162254155	0.00018485427321461	0.00018485427321461	6.77920141007389e-05	6.77950780773316e-05	7.60344033312014e-05
Candidatus Buchananbacteria	0.00014277319918411	0.00016675973878201998	0.0001316779625225	0.0	0.00015575960063238	7.591367530636591e-05	3.13902752927143e-05	6.32891364197336e-05	8.35110620037516e-05	5.12706578025396e-05	6.31492532600802e-05	0.00010191935294671	0.00019837390484046	0.00024647236428615	0.00024647236428615	0.00013558402820147	0.00013559015615466	0.00011181529901646999
Candidatus Portnoybacteria	7.418109281451959e-05	9.187718092130509e-05	7.02282466786672e-05	0.0	6.23038402529536e-05	4.33792430322091e-05	3.13902752927143e-05	4.21927576131557e-05	9.63589176966364e-05	3.7598482388529e-05	4.73619399450601e-05	8.07662796936266e-05	0.00013629286267816002	0.00024647236428615	0.00024647236428615	6.77920141007389e-05	6.77950780773316e-05	0.00010734268705581
Candidatus Adlerbacteria	1.7783138688412197e-05	2.2570983752343698e-05	2.3165567480810396e-05	0.0	7.7879800316192e-06	1.0844810758052301e-05	0.0	1.05481894032889e-05	2.56957113857697e-05	3.4180438535026402e-06	1.0524875543346699e-05	7.692026637488251e-06	4.92366886114826e-05	0.0	0.0	0.0	0.0	8.94522392131781e-06
Candidatus Sungbacteria	4.9030653812336604e-05	5.974672169738051e-05	5.58412100326903e-05	0.0	7.7879800316192e-06	1.0844810758052301e-05	1.5695137646357197e-05	1.05481894032889e-05	2.56957113857697e-05	2.39263069745185e-05	2.1049751086693398e-05	5.769019978116179e-05	0.00014128788905903001	0.0	0.0	0.0	0.0	1.34178358819767e-05
Candidatus Jorgensenbacteria	4.21714431753776e-05	4.62041314459742e-05	4.2917261859185495e-05	0.0	7.7879800316192e-06	1.0844810758052301e-05	0.0	1.75803156721482e-05	3.21196392322121e-05	3.4180438535026402e-06	5.262437771673349e-06	4.61521598249295e-05	0.00015413224260985	0.0	0.0	0.0	0.0	2.68356717639534e-05
Candidatus Liptonbacteria	4.2679532852189295e-05	4.35487215927573e-05	3.82841483630235e-05	0.0	4.67278801897152e-05	1.0844810758052301e-05	0.0	2.4612441941007503e-05	1.28478556928849e-05	1.02541315605079e-05	3.15746266300401e-05	2.11530732530927e-05	0.00011060415557651001	0.00012323618214307	0.00012323618214307	2.2597338033579603e-05	2.2598359359110502e-05	4.9198731567247995e-05
Candidatus Tagabacteria	2.7182797709430102e-05	2.9740590356029402e-05	2.4628655953282602e-05	0.0	7.7879800316192e-06	1.62672161370784e-05	0.0	0.0	3.21196392322121e-05	3.4180438535026402e-06	5.262437771673349e-06	1.1538039956232401e-05	3.49651846661253e-05	0.0	0.0	2.2597338033579603e-05	2.2598359359110502e-05	1.34178358819767e-05
Candidatus Ryanbacteria	6.12248060558192e-05	6.29332135212408e-05	5.85235388988894e-05	0.0	1.55759600632384e-05	2.16896215161045e-05	1.5695137646357197e-05	7.03212626885928e-06	4.4967494925097e-05	1.36721754140106e-05	2.6312188858366698e-05	0.00012691843951855	0.00015698654339893	0.0	0.0	2.2597338033579603e-05	2.2598359359110502e-05	8.94522392131781e-06
Candidatus Wildermuthbacteria	2.9723246093489e-05	2.8678426414742602e-05	2.19463270870835e-05	0.0	7.7879800316192e-06	1.0844810758052301e-05	0.0	7.03212626885928e-06	2.56957113857697e-05	3.4180438535026402e-06	5.262437771673349e-06	4.03831398468133e-05	8.06339972912686e-05	0.0	0.0	0.0	0.0	3.5780895685271204e-05
Candidatus Komeilibacteria	8.10403034514786e-05	7.93967546111856e-05	6.51074370250144e-05	0.0	6.23038402529536e-05	7.04912699273398e-05	3.13902752927143e-05	2.8128505075437104e-05	3.21196392322121e-05	2.73443508280211e-05	1.0524875543346699e-05	6.153621309990601e-05	0.00010061410281476	0.00024647236428615	0.00024647236428615	2.2597338033579603e-05	2.2598359359110502e-05	3.13082837246123e-05
Candidatus Kuenenbacteria	7.418109281451959e-05	7.541363983136021e-05	6.754591781246811e-05	0.0	3.8939900158096e-05	2.16896215161045e-05	3.13902752927143e-05	1.05481894032889e-05	4.4967494925097e-05	1.36721754140106e-05	1.0524875543346699e-05	4.61521598249295e-05	5.99403165705005e-05	0.0	0.0	2.2597338033579603e-05	2.2598359359110502e-05	2.68356717639534e-05
Candidatus Lloydbacteria	4.2679532852189295e-05	4.275209863679221e-05	3.3407186788115994e-05	0.0	7.7879800316192e-06	4.33792430322091e-05	0.0	2.1096378806577898e-05	2.56957113857697e-05	6.8360877070052805e-06	1.5787313315020002e-05	2.30760799124647e-05	0.00010489555399837	0.0	0.0	2.2597338033579603e-05	2.2598359359110502e-05	2.68356717639534e-05
