#OTU ID	mgm4487624	mgm4487625	mgm4546288	mgm4546289	mgm4546290	mgm4546291	mgm4546292	mgm4546293	mgm4546371	mgm4546372	mgm4546373	mgm4546374	mgm4546375	mgm4722282	mgm4722291	mgm4722293	mgm4722294	mgm4722283	mgm4722296	mgm4722281	mgm4703499	mgm4446437	mgm4722278	mgm4699428	mgm4699429	mgm4699430	mgm4699432	mgm4699433	mgm4699434	mgm4699435	mgm4699436	mgm4699437	mgm4699438	mgm4699439	mgm4699440	mgm4699441	mgm4699442	mgm4699443	mgm4699444	mgm4699445	mgm4699446	mgm4699447	mgm4699448	mgm4699449	mgm4699450	mgm4699451	mgm4699452	mgm4699453	mgm4699454	mgm4699455	mgm4699456	mgm4699465	mgm4699466	mgm4699467	mgm4722276	mgm4547679	mgm4461593	mgm4461594	mgm4463925	mgm4463926	mgm4463927	mgm4463928	mgm4463929	mgm4463930	mgm4463931	mgm4463932	mgm4463933	mgm4468639	mgm4722277	mgm4535370	mgm4535371	mgm4535372	mgm4722290	mgm4441574	mgm4441570	mgm4441571	mgm4441573	mgm4449103	mgm4449104	mgm4539502	mgm4539503	mgm4539504	mgm4539505	mgm4539506	mgm4539507	mgm4539508	mgm4539509	mgm4539510	mgm4539511	mgm4539512	mgm4539513	mgm4722279	mgm4634011	mgm4634013	mgm4535373	mgm4535374	mgm4566627	mgm4535375	mgm4531574	mgm4706473	mgm4706478	mgm4706479	mgm4706483
Pseudomonadota	0.130803234007467	0.898635148635149	0.7882960436959541	0.7880815717924342	0.788171889845123	0.797916666666667	0.787214211230513	0.800562802565998	0.726707079563945	0.7332233223322329	0.7299646608622099	0.724413950829045	0.7370875818666279	0.35560106853379	0.608277142857143	0.379668605341269	0.214371409186077	0.19110750463111803	0.48036926420914206	0.6150603956055601	0.507040614453625	0.6824445775913721	0.27015614340321104	0.684229037658122	0.682882428434342	0.617638480832884	0.339269691836537	0.32044215847740803	0.39517611628877797	0.5936667217224829	0.38101752683610995	0.32707540868367796	0.57313352082172	0.421894781713661	0.23485609811828698	0.17755340078453302	0.380290833145563	0.25711105306282894	0.39693643821365	0.549829034278182	0.502188049039267	0.37059518965838395	0.450829624104476	0.5173308817145901	0.43373302315737605	0.563795260101542	0.421814871078698	0.5252328837032971	0.419441545915856	0.383894002990601	0.344193665423121	0.530988724715883	0.31237247549525105	0.32359250285217	0.34170481384752305	0.752035101285084	0.570339761248852	0.32870905587668603	0.608472998137803	0.525971370143149	0.8343064223877591	0.8314282772114101	0.460353185595568	0.46685696162384993	0.709275730622618	0.374364765669113	0.368821292775665	0.903857084855867	0.287031140663463	0.45281938902335295	0.510638085444144	0.5598778952793441	0.700297899546035	0.542508617487236	0.912944843805467	0.912944843805467	0.669642720760078	0.450090434873784	0.42978069888129494	0.472444609578192	0.24165778650626604	0.469097403379219	0.220516801829684	0.23558882115048002	0.354531757235269	0.409781839441214	0.32110759378524895	0.5635879365004539	0.388290416883585	0.29663760896637603	0.5364546136669771	0.436475553258307	0.841063689959543	0.400155995015067	0.505504314192205	0.5030353200883	0.43454545454545507	0.647019198383294	0.0562876115376634	0.3470899837274519	0.365893671449227	0.292651019622932	0.26178107606679
Actinomycetota	0.00320652298389867	0.0031927531927531897	0.0568549623404028	0.0573749137360003	0.0572237795796103	0.05625	0.0580139756157895	0.052636689140159	0.137342022949355	0.12046204620462	0.133410328462849	0.139794168096055	0.12893679644974199	0.0108030948941244	0.0051848571428571395	0.0041263977625784	0.00439389467636704	0.00704262677901753	0.0123819594145857	0.0145374966164927	0.04724775980449201	0.0037946874375873797	0.0133168080536045	0.0188503641820582	0.0170274766140253	0.0192950952617286	0.0207710101143559	0.15228964452595498	0.028863777195604002	0.0255325342831406	0.0343481671962882	0.179893531681578	0.0268331548194337	0.0217163501415307	0.027465577672132	0.0134027755000578	0.0329101105811515	0.270318890886528	0.142959764681783	0.0262177636614046	0.0324734084661226	0.296141816147058	0.24002734246650603	0.0195572987969705	0.0314197142148367	0.0305203573001325	0.0259758004136412	0.0251339016999563	0.0362643113839822	0.15139010554450302	0.0197176460503667	0.0254669452440706	0.0196651723629162	0.0198936931090112	0.0872328496232365	0.0068670258613045205	0.012396694214876	0.0204238921001927	0.013268156424581	0.0160872528970688	0.0163076303603785	0.0116362887447225	0.016101108033241	0.014906438312718	0.00762388818297332	0.0169395821569735	0.0171102661596958	0.00933820544051969	0.0704060013524456	0.0210391182050108	0.017641949300611998	0.0140242028999871	0.0254404273609343	0.023947543476195002	0.0013885191101644801	0.0013885191101644801	0.0135640857225778	0.0640645888489869	0.0273962632195704	0.0031796937638109398	0.00748575504848127	0.00199830102607323	0.00423848841235037	0.0244461882054687	0.0028232878470291303	0.00673097633773347	0.0361314267001419	0.0106303991703103	0.0390452925393456	0.0529016189290162	0.0096097344892738	0.021353321014543	0.0234715020808432	0.0943194213793759	0.07616780720023798	0.0485651214128035	0.00363636363636364	0.306949590209947	0.0115169122224528	0.0301561472146245	0.0707652096540985	0.289034243939977	0.18627087198515802
Chloroflexota	0.00010306681019674	0.00012150012150012	0.00340178052411282	0.00342838771545213	0.0034573794999522896	0.00405092592592593	0.00331145287090527	0.0029502846377384303	0.00967886079471204	0.0121012101210121	0.009652179924604421	0.008576329331046309	0.009206996311717041	0.00020365955329104	0.00031928571428571	0.00022084838303073	0.00016855124891508	0.00018688657868966	0.00047058891281825997	0.00066916212590177	0.0008146165483533099	0.00019972039145196	0.00028476160278751003	0.00024280977647371	0.00032905773350193996	0.00020371001134318002	0.00032104058165927004	0.00031597175053302	0.0001760409843613	0.0003821948618542	0.00026732634135426	0.00028038870462944	0.00028888388505259	0.00016673811193671	0.00026757032082494	0.00017617564395218	0.00028375016671818	0.00014189691973068001	0.0003099530699262	0.00034277889358687004	0.00025058996882842	0.00020466615502288	0.00028758189269455	0.00022631468426132997	0.00036534147978912004	0.00028795457154655	0.0003381035300534	0.00026658651089817996	0.00038521031748135	0.00030570967048442003	0.00022646795926384	0.00033031139615526003	0.00022803044924581	0.00034744020399702996	0.00083645140894738	4.96582448648054e-05	0.00027548209366391003	0.0001926782273603	0.00046554934823091	0.00027266530334015	0.0	0.0	0.0	0.00031715826197272	0.00025412960609911	0.00028232636928289	0.00076045627376425	0.00028420625253755	0.00053562494135627	0.00047425917446195995	0.00064397607803592	0.00047573267787942	0.00043422571012757	0.0012785845723221	7.02579576381493e-05	7.02579576381493e-05	0.0006262697236775701	0.0031455608272825	0.00065506474223202	0.00035395115083012	0.00069573488097649	0.00031604928362162	0.0006924263247899099	0.00102613629504437	0.00055610215168755	0.00146927597772239	0.00272895972055452	0.00235707298676504	0.00220255496375796	0.00254047322540473	0.00219676903188479	0.00061503816305717	0.00064812724112715	0.0009142881264384599	0.00386789645938709	0.0011037527593819	0.0	0.00022454249466711	0.0	0.007478447529688741	0.007424090757424091	0.0032320123124278603	0.00241187384044527
Bacillota	0.0801745264652665	0.0331762831762832	0.0108990162305997	0.0107978969599042	0.0107358548232518	0.00833333333333333	0.0108158638135965	0.00940105133699677	0.0109519513696263	0.011001100110011	0.0110470388730516	0.007146941109205259	0.0109208824456927	0.0270957286064125	0.0378515714285714	0.0251386597359729	0.0199111440296116	0.0159032103830481	0.041221367451578	0.0593507637899989	0.040207145350867	0.02436588775714	0.0231266351134699	0.136532567703604	0.112737994965006	0.162558240809655	0.173913283547065	0.128343277768979	0.26842164737746305	0.167681131819749	0.32513325082213	0.267166230085455	0.17692068832366298	0.100508160573532	0.24185739127064299	0.0744922794404654	0.32112760640092497	0.165859093366632	0.171536591703231	0.1763145921238	0.27239529021865194	0.179239204443602	0.171062521064159	0.13481454439144	0.21332108589341298	0.251366606179928	0.221033444724471	0.134772591042743	0.267045813013475	0.23594291991900002	0.15674935373003498	0.0825466247849568	0.126165207698854	0.138952274441978	0.0255247399361587	0.00402586485153958	0.0264462809917355	0.0364161849710983	0.026536312849162	0.0271301976823449	0.0171129454399034	0.0171969931006076	0.0228531855955679	0.0266412940057088	0.0188055908513342	0.0443252399774139	0.0490494296577947	0.00986601705237515	0.0244675591003736	0.0302217570484726	0.0314450024461107	0.0293665817615985	0.0288602577507417	0.11794942679671401	0.0129755354395929	0.0129755354395929	0.0849053721722395	0.10423602191407401	0.0726539584106674	0.086747364921681	0.0786268483209892	0.0853065510829287	0.0814020583946201	0.165026860626547	0.0644175424087303	0.110664943536724	0.148782883964633	0.105526157617471	0.14480797725361402	0.152478206724782	0.0964860735691621	0.0524874478719441	0.0116898538955995	0.00806022213459895	0.152930675394228	0.153697571743929	0.00041958041958042	0.0260469293813854	0.0113094002905167	0.16705328393864902	0.15015015015014999	0.0870334744132359	0.123005565862709
Cyanobacteriota	0.00655046838139301	0.00860625860625861	0.00156770472767027	0.0015368156735798	0.00144518463098006	0.0009259259259259199	0.0015457091196838099	0.0014819559092566	0.00215835223296714	0.0033003300330033	0.0023972867350134	0.0028587764436821	0.00226004451533585	0.550504697094274	0.26755442857142897	0.530883602887425	0.7216209971005421	0.751643494457259	0.376787461438139	0.169152379929623	0.24345397416501802	0.00439384861194328	0.5840752064849991	0.0575225490287718	0.0885884420377413	0.10877574510018699	0.0279115994644065	0.0296894980370231	0.0190854761047361	0.0203524211412591	0.133888795354061	0.0325963597102	0.0967268790924183	0.139003350442106	0.127275246400695	0.22286516262345002	0.0462478051266112	0.18150071270334697	0.17726457058232603	0.11563513013178399	0.0374342430992699	0.0609516289235403	0.0270666118690393	0.20378175547477498	0.0782958363908564	0.0539224707376126	0.02125001259198	0.109357299439754	0.0641350386997023	0.105600150347171	0.0108258105973714	0.0131151376133702	0.18775409328604797	0.0835179590369731	0.46294846959660096	0.00145427717104073	0.324977043158861	0.529672447013487	0.280609869646183	0.356646216768916	0.0781155627139118	0.0727010606528679	0.442693905817174	0.44180145892800504	0.22503176620076198	0.476849237718803	0.469961977186312	0.0372310190824198	0.5518763491733399	0.0272699025315628	0.036941263391208	0.0292575596895844	0.005803996110254121	0.0264442390262023	0.0487867560052065	0.0487867560052065	0.061000198573327	0.0510236179192115	0.27373699878449104	0.188890627138862	0.4607085927661189	0.2415603135744	0.501673363618242	0.127180539626969	0.0190785815117423	0.19147512231145603	0.0942400756831496	0.0269295588737905	0.0284329822594209	0.0351681195516812	0.10149434535378801	0.20121626759942302	0.0817911720046319	0.46409428392435903	0.0208271347813151	0.03835540838852101	0.0	0.00157179746266981	0.8918344054783149	0.197140186268739	0.17448003559114703	0.0767987687572143	0.102226345083488
Candidatus Melainabacteria	0.00080163074597466	0.00016875016875016	2.0810239747835397e-05	1.10861365091419e-05	1.3829517999809199e-05	0.0	1.09333978403806e-05	1.0220385581080001e-05	8.43106341002791e-06	0.0	2.23665429051293e-05	0.0	1.14259075598375e-05	0.00018042147605655	0.00023128571428571	0.00015756490121648	0.00012709860436481998	0.00010104657585991	0.00024084773466354	0.00036924362429534	0.0002327475852438	0.0	0.0001714086216041	0.00012281783680183	0.00012716527027311999	0.00011406586514115	0.00017787383578418998	9.25387456232232e-05	0.00013473628618636	0.00019981339128865	0.00011763603845391002	0.00017086750533081002	9.407829715900408e-05	4.32658027148494e-05	7.06435660121926e-05	5.9556382631632606e-05	0.00017958871311276998	5.30866750813505e-05	0.00015946303514814	0.00015312543924938	0.00013076690435834	0.00012909910728485	0.0001456926634922	0.00011575439588448	0.00013028084108338998	0.00011651836277992	0.00020884951583659	0.00013410869654125	0.00017012173364134	0.00015905355667138	0.00010811922354567	5.579156019513101e-05	0.00010662774065323001	0.00015496294812823998	0.00017103773784334	4.96582448648054e-05	0.00036730945821854	0.0001926782273603	0.00011638733705772	0.00013633265167007	0.0	0.00010297600659046	0.0	0.0	0.0	0.0	0.00038022813688212004	0.0	0.00015530476059094	0.00016353764636618999	0.00031449994508731	0.00021804414402806001	0.00017206000994907	0.00070840496574602	6.84090640160928e-05	6.84090640160928e-05	0.0004964333175493	0.00056357964822144	0.00062595075368837	0.0005279934294151	0.00033465728452032996	0.0005300932428997599	0.00062947847708173	0.0008450534194483	0.00044202991544395	0.00074617680544016	0.0005821780737182901	0.00062462434149273	0.00080092907773016	0.00054794520547945	0.00059665331730204	0.00035598933465147	4.2984067929328e-05	2.2065715538389102e-05	0.0	0.00082781456953642	0.0	0.0	5.18779829840216e-05	0.0113907835058685	0.0103714825937048	0.00038476337052712004	0.00148423005565863
Candidatus Margulisbacteria	0.00016032614919493	0.00013500013500013	4.1620479495670796e-06	2.77153412728548e-06	8.29771079988549e-06	0.0	1.23000725704282e-05	6.81359038738668e-06	0.0	0.0	4.0666441645689595e-06	0.0	9.14072604786998e-06	5.0784337327062395e-05	6.171428571428571e-05	4.659228465148571e-05	3.69990546398956e-05	2.8760257687501195e-05	7.42493870312031e-05	0.00012026161866989	4.98744825522435e-05	0.00019972039145196	4.505222774728621e-05	3.86930530101348e-05	4.0237719283839e-05	3.11729152804699e-05	6.211780296232901e-05	3.3306180219061404e-05	3.49015681085163e-05	5.60000453229939e-05	3.750037733782179e-05	4.7994462954589705e-05	2.67944517225012e-05	1.4776281516864999e-05	2.51628631149624e-05	1.7358623601168302e-05	5.25596300376729e-05	1.4461698847951099e-05	4.35831446546363e-05	4.3249169864329104e-05	4.18581905215483e-05	3.39598053299526e-05	3.8034342898618397e-05	3.25002726906442e-05	3.6256585601104703e-05	3.4612807766977005e-05	7.0231324958638e-05	4.94282754324159e-05	6.13806054042631e-05	4.67721707837917e-05	3.03151966571448e-05	2.20313263270546e-05	2.68635780715505e-05	4.8047171067696205e-05	5.28487392212594e-05	3.54701749034325e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031715826197272	0.0	0.0	0.0	4.06008932196508e-05	4.35323950141289e-05	4.08844115915484e-05	3.99365009634681e-05	2.97332923674638e-05	4.93488376806575e-05	0.0003110070581324	2.03378298426222e-05	2.03378298426222e-05	9.928666350985991e-05	0.00011795853102308999	0.00013829144558231	0.00011244304515321001	0.00011448801838853	0.00012708860082138998	0.00019933485107588	0.00042252670972415	0.00011882524608708001	0.00019231360964952	0.00047301968489610997	0.00017678047400737	0.0005206039005246	0.00044831880448317996	0.00019888443910068	0.00010451187075031	1.54069400108133e-05	7.4351867575006605e-06	0.00059506099375186	0.00027593818984547	0.0	0.00011227124733355	0.0	0.00678599868434719	0.006450895339784229	0.0	0.0
Deinococcota	3.43556033989144e-05	2.0250020250020198e-05	0.00131104510411363	0.00123194691957839	0.0012266782465830699	0.00127314814814815	0.00129424096935505	0.00117704773942105	0.00221736967683734	0.0022002200220022	0.00230985388547517	0.00200114351057747	0.00245428494385309	6.906147672497679e-05	0.00011228571428571	6.93400019275948e-05	5.8239252673909705e-05	8.23138409676758e-05	0.00018346385936795	0.00017708247519742	0.00045718275672889004	0.00039944078290393	0.0001411986729689	8.358134203593721e-05	0.00012493635870929	6.51050151526199e-05	7.828815166998291e-05	0.00010632731002878	3.00315818608163e-05	0.00013487948659507	9.16502998007345e-05	8.931300437038299e-05	0.00010142196170517	7.6857924724413e-05	0.00012018783686587	6.022771061620811e-05	8.08149209007499e-05	4.07103622741697e-05	9.101186089644631e-05	0.00013822200909343	8.41157912579968e-05	4.75696509774526e-05	9.26558853391343e-05	7.55371634682095e-05	0.00013860771241762	0.00011626133697966999	8.93853226746302e-05	9.170575974897459e-05	0.00013250687796183998	9.32625815026208e-05	5.06248850579905e-05	0.0001277499929468	6.09596579315954e-05	0.00011542863920167	0.00070961443481636	3.54701749034324e-05	0.0	0.0001926782273603	0.00023277467411545	0.0	0.0	0.0	0.00034626038781162996	0.00031715826197272	0.0	0.00056465273856578	0.00038022813688212004	0.0001624035728786	0.00038414397221927	0.00027801399882252	0.00029453169460557	0.00020813304657223998	0.00022581499385122	0.00034556339792489	2.03378298426222e-05	2.03378298426222e-05	0.00020621076267431999	0.0010092007654198	0.00027658289116463	2.34663746406711e-05	0.00011448801838853	2.00666211823253e-05	0.00013638700336771002	0.00066397054385223	3.32710689043837e-05	0.00015385088771962	0.00043663355528872	0.00024749266361032	0.0005206039005246	0.0006973848069738401	0.00027120605331911	0.00025129719331771003	0.0002861288859151	0.0008428143956728099	0.00178518298125558	0.0126931567328918	0.00013986013986014	0.0005613562366677799	0.00015563394895206002	3.46224422670775e-05	2.7805583361138898e-05	0.00084647941515967	0.00037105751391465
Armatimonadota	3.43556033989144e-05	3.37500337500337e-05	0.00024278613039141	0.00025359537264662	0.00025722903479645	0.00011574074074073999	0.00027470162073956	0.00020270431402475	0.0004974327411916401	0.0	0.0005103638426534	0.00114351057747284	0.00050959547716875	7.21947006217622e-05	7.385714285714291e-05	6.30927252752462e-05	5.54129360000288e-05	4.3305675368536296e-05	6.47882463014653e-05	0.00010224076449612	0.00018287310269156002	0.0	4.46581849390009e-05	4.80402512092123e-05	4.4695542411494604e-05	2.8472436743932104e-05	5.42298279829856e-05	4.8357077985692704e-05	2.55223353351682e-05	6.55876017207049e-05	3.95232192689076e-05	5.28660813747924e-05	3.1260193676251396e-05	1.8443775850187602e-05	3.743171252194721e-05	2.2921055473365803e-05	5.33977106988659e-05	1.50963815560117e-05	4.31985874959189e-05	4.3833618105739e-05	4.7370051487172e-05	2.22942233463811e-05	5.30367781530734e-05	2.7306165183007e-05	5.13490398943875e-05	3.98389990387235e-05	7.64741093994058e-05	4.3281104122293105e-05	6.804869345653679e-05	4.39545701341657e-05	2.897117316003e-05	3.5503720124174297e-05	2.15941839113618e-05	5.43957462237881e-05	0.0001395687158525	0.0	9.182736455463729e-05	0.00057803468208092	0.0	0.0	0.0	0.0	0.00017313019390581002	0.00031715826197272	0.00012706480304955	0.00028232636928289	0.0	0.0	8.38292741826131e-05	7.35919408647871e-05	0.000149761878613	4.95554872791064e-05	6.80749591219784e-05	0.00013822535916995	2.03378298426222e-05	2.03378298426222e-05	9.928666350985991e-05	0.00034076908962227004	0.00010189895990275	0.00013786495101393998	6.16473945169046e-05	0.00011371085336651	5.24565397568115e-05	0.00054324862678819	0.00011882524608708001	0.0002000061540355	0.00047301968489610997	0.00034177558308093	0.00044051099275159005	0.00054794520547945	0.00037968847464675	0.0001163646616116	5.7096307098896494e-05	0.0001393497905196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018552875695732
Mycoplasmatota	0.008279700419138359	0.0018562518562518602	0.00011098794532178	0.00010116099564592	9.8189577798645e-05	0.0	0.00010660062894371	0.00011923783177926001	9.2741697510307e-05	0.0	9.3532815785086e-05	0.0	9.826280501460229e-05	0.00283948415646171	0.00386828571428571	0.00262123329157514	0.00206672265628546	0.00155062967884489	0.00403887870673611	0.00555446858339904	0.00285115791923659	0.00079888156580786	0.00239853857403263	0.00179368385906251	0.00210198091582457	0.00171280786482672	0.0025979045594467396	0.00141070608228141	0.00193960730054227	0.00245593973087729	0.0018305163444072	0.0022256078967852	0.0015163674900734	0.00067290548202701	0.0012416544473094302	0.00083589924479437	0.00230747551188171	0.00079108666111833	0.00235028516836105	0.00245935819985266	0.0018035767664036602	0.00168800971302279	0.0017996583248196302	0.00150391672806844	0.00208466693382046	0.00176902290785282	0.0029765312450651896	0.0019813964014710104	0.0023676841884073398	0.0025552820291458197	0.00152569067314147	0.00069977198369745	0.0015532314198062301	0.00232155850594364	0.00243680732118389	0.0001808978920075	0.0020202020202020198	0.00500963391136802	0.00209497206703911	0.00190865712338105	0.0006039863096436401	0.0014416640922665	0.00294321329639889	0.00158579130986362	0.00152477763659466	0.00536420101637493	0.00418250950570342	0.0008120178643930099	0.0024422261878534603	0.00237129587230981	0.0025259836859393603	0.00235884119448547	0.00269105380477335	0.009356128998816441	0.00119438527984854	0.00119438527984854	0.00772144744680526	0.0075362394820309795	0.00581551921159319	0.00888788939515419	0.00844569304881593	0.00964033925967546	0.0082356767418194	0.0162974588036458	0.0065829186332244894	0.0104080125542324	0.0144089073245279	0.00886259443023653	0.0125345400664771	0.0147945205479452	0.00872379471509804	0.00526606428349857	0.00047424891814797	0.00018875780574687	0.00952097590002975	0.0115894039735099	0.0	0.00033681374200067004	0.00129694957460054	0.0184191392860852	0.0161272383494606	0.00454020777222008	0.007235621521335809
