#OTU ID	mgm4603270	mgm4603402	mgm4625051	mgm4625350	mgm4485218	mgm4485219	mgm4485982	mgm4451034	mgm4451035	mgm4627134	mgm4627135	mgm4627136	mgm4627137	mgm4627138	mgm4627140	mgm4627141	mgm4627142	mgm4627143	mgm4627144	mgm4627145	mgm4627146	mgm4627147	mgm4627148	mgm4627149	mgm4627150	mgm4451033	mgm4451036	mgm4627151	mgm4627153	mgm4627154	mgm4627155	mgm4627156	mgm4627157	mgm4627158
Pseudomonadota	0.46939162636340404	0.45463540686203496	0.500911718352548	0.491734810935945	0.5338429420776479	0.49143501126972206	0.49037099228629905	0.497564630947921	0.550079491255962	0.31874630396215303	0.26842513576415805	0.365861498897869	0.495556027913981	0.344640554839283	0.544978145952997	0.4566229747221521	0.46161697389583095	0.61170745670531	0.559014409855901	0.5368496199554871	0.541010237234108	0.45810774919811204	0.654447558636967	0.6489542933777961	0.44884863745278797	0.606476399560922	0.5566189952328571	0.450050454086781	0.26345557792810104	0.33518805842384003	0.227864316458291	0.441661649608669	0.389111191948587	0.623918703283783
Actinomycetota	0.273429760148776	0.23058093280532996	0.20211054214807	0.18828619689811799	0.179537859484517	0.20394440270473302	0.20837487537387803	0.20627405565584697	0.223584444172679	0.0780208949339641	0.0683893298323089	0.0641531961792799	0.110081529864861	0.0844262659494065	0.0992471223597794	0.0890006397571898	0.0470431770382284	0.0997566909975669	0.0838191618083819	0.0496472515012808	0.0864647826886532	0.0473777759617545	0.0669420268476176	0.10635881450336501	0.0713154367867441	0.17148737650932996	0.17462412907957503	0.0766902119071645	0.03640189135992399	0.0622224600074902	0.0370465259274441	0.0817579771222155	0.0782102582757366	0.13059544805576598
Chloroflexota	0.0186406813877856	0.0326498225658202	0.0175099198678592	0.0235372908410747	0.0241389437922193	0.0520160280490859	0.0511754211051057	0.0294628563643176	0.0155313684725449	0.00883106643012025	0.0076982753476159205	0.0053269654665687	0.0106064481728736	0.00493486862579469	0.00457676377033799	0.00879294184160802	0.0070209080786836605	0.0051524259338772	0.00676493235067649	0.00347499265107294	0.0103291853123276	0.00702800988824647	0.00221271573978463	0.00276680319450989	0.00613247776469155	0.0191822173435785	0.0284561789512285	0.00504540867810293	0.00556548494377955	0.0113601911793555	0.00491904078704653	0.0111980734497291	0.0106705468655269	0.00814646846392878
Bacillota	0.0325988588860514	0.0416549630789876	0.0420784819529041	0.046986317809300994	0.0353630366965923	0.031893313298272004	0.0322060135383324	0.0289860008855887	0.0230218906689495	0.0780997437413759	0.08951482962344098	0.0596987509184423	0.0446486794179423	0.0525052238474192	0.0340511224513147	0.0509127698510705	0.0638840776939255	0.0260483755546014	0.0426245737542625	0.0608596144962835	0.0413167412493104	0.0543444950660919	0.0367163298421596	0.0240917273792695	0.0606343662429436	0.021953896816684998	0.0274660799413275	0.0454086781029263	0.0544331576208683	0.0643090257343106	0.0855195736831318	0.0473208910295003	0.0709348854128774	0.023851515915008
Cyanobacteriota	0.00852722434588074	0.0101041445785795	0.0100552430292271	0.0109829162951368	0.00423086387413775	0.0347858752817431	0.0326126882510364	0.00694846554719166	0.005166931637519871	0.008752217622708459	0.0075789222414513295	0.00569434239529758	0.00684519413330835	0.00702440759347353	0.0045081123137829205	0.00611488848883401	0.00663429419769887	0.005724917704308	0.00593994060059399	0.005102255070759671	0.00585422669036964	0.00633338100394304	0.0035255937453901797	0.00386627520630203	0.0063761523778581	0.00609220636663008	0.00689402273560689	0.009081735620585271	0.00787312504241985	0.00834626290728158	0.00927444148391064	0.00746538229981939	0.00909421607857403	0.00529100529100529
Candidatus Melainabacteria	0.00010194501565596	0.00015531599261792	0.00014153454373325	0.00015949436672606002	0.00011906746362488999	0.00012521913348359	0.00013118539119483	3.40611056234885e-05	3.05735599853247e-05	0.00067021486300019	0.00047741242465835	0.0005051432770022	0.00026660229782358	0.0002222913795403	0.00016018673196183	0.00017853689018493	0.00021650377335147	0.0004293688278231	0.00021999780002200002	0.00019947087725192	6.13008030405198e-05	0.00016344209042433	0.00010326006785661	2.41642200393877e-05	0.00016244974211103	8.23271130625686e-05	0.0	0.0	0.00024886314789257996	0.00030317621671749	0.00025620004099200004	0.0	0.00024251242876197003	0.0
Candidatus Margulisbacteria	6.18195985941465e-05	8.41383489421302e-05	6.76220597836671e-05	8.20699168590449e-05	7.144047817493391e-05	3.75657400450789e-05	3.9355617358451e-05	0.0	0.0	3.9424403705894e-05	0.00017902965924688	0.00013776634827331998	9.00683438593205e-05	0.00013337482772418	4.57676377033799e-05	5.95122967283115e-05	0.00013918099715451999	0.0	0.0001649983500165	7.348927056649731e-05	9.195120456077969e-05	0.00014301182912128998	5.90057530609234e-05	1.20821100196938e-05	0.00020306217763879	0.0	0.00022002200220022002	0.0	0.00022623922535688998	0.00017833895101029	0.0001024800163968	0.0	0.00012125621438098	0.0
Deinococcota	0.00316444030863589	0.0032649291389374897	0.0041453895253429395	0.0039659384036885	0.00185745243254828	0.00419484097170048	0.00426352521383219	0.00367859940733676	0.00302678243854714	0.00126158091858861	0.0016112669332219401	0.0015154298310066099	0.0021580375188693197	0.0020006224158627102	0.0018764731458385802	0.00177049082766727	0.00098973153532104	0.0008587376556462	0.0014849851501485	0.0009238651156931	0.00171642248513456	0.00128710646209165	0.00107685499336185	0.0011357183418512198	0.00158388498558259	0.0038693743139407203	0.00286028602860286	0.00201816347124117	0.0012669396619986	0.0018547250905070198	0.00102480016396803	0.00216736905478627	0.00266763671638171	0.00277147896195515
Armatimonadota	0.00136329411507405	0.00150917851650493	0.00153853291058188	0.0016042346012447302	0.0009049127235491599	0.00172802404207363	0.0017972398593692602	0.0022480329711502397	0.00088663323957441	0.00098561009264734	0.00047741242465835	0.00041329904481998	0.00073495768589205	0.0008891655181612	0.00070939838440238	0.00056536681891895	0.00029382654954843	0.0001431229426077	0.0003849961500385	0.00040944022172762	0.00073560963648623	0.0005311867938790901	0.00022127157397846002	0.00014498532023632	0.00036551191974982004	0.00087815587266739	0.0013934726806013901	0.0	0.00042985452817809	0.0009273625452535	0.00040992006558721	0.00060204695966285	0.0013338183581908599	0.0009238263206517099
Mycoplasmatota	0.00062066524237603	0.0009124548978080199	0.00087043744395952	0.00111052469259267	0.00038101588359963997	0.0004633107938893	0.00045914886918192	0.00047685547872884003	0.00018344135991194	0.00311452789276562	0.0020290028047979898	0.0017909625275532698	0.00188422975353698	0.0020006224158627102	0.00157898350076661	0.0021126865338550603	0.00372695781269331	0.001431229426077	0.001539984600154	0.0014907823457775199	0.00104211365168884	0.00308496945675935	0.00135713232040124	0.00107530779175275	0.00296470779352638	0.00019209659714599	0.00033003300330033	0.00100908173562059	0.00128956358453429	0.00174772171990084	0.00584136093461775	0.00048163756773028	0.00206135564447678	0.00016796842193666999
