#OTU ID	mgm4739968	mgm4739971	mgm4742213
Candidatus.Daviesbacteria	0.0001216868501584	9.46560487272877e-05	0.0001097413761568
Candidatus.Curtissbacteria	8.11245667722788e-05	7.81941272094985e-05	7.72254128511216e-05
Candidatus.Shapirobacteria	6.3096885267328e-05	7.40786468300512e-05	6.90964220246877e-05
Candidatus.Beckwithbacteria	4.95761241386148e-05	4.11548037944729e-05	4.47094495453862e-05
Candidatus.Amesbacteria	1.35207611287131e-05	1.64619215177892e-05	1.62579816528677e-05
Candidatus.Chisholmbacteria	4.50692037623771e-06	8.23096075889458e-06	4.06449541321693e-06
Candidatus.Collierbacteria	3.60553630099017e-05	3.70393234150256e-05	4.06449541321693e-05
Candidatus.Woykebacteria	3.60553630099017e-05	4.11548037944729e-05	4.47094495453862e-05
Candidatus.Pacebacteria	6.76038056435657e-05	5.76167253122621e-05	6.09674311982539e-05
Candidatus.Blackburnbacteria	3.60553630099017e-05	2.8808362656131e-05	2.43869724793016e-05
Candidatus.Microgenomates	1.35207611287131e-05	1.23464411383419e-05	1.21934862396508e-05
Candidatus.Gracilibacteria	4.50692037623771e-06	8.23096075889458e-06	8.12899082643385e-06
candidate.division.NC10	4.95761241386148e-05	4.93857645533675e-05	4.87739449586031e-05
Candidatus.Rokubacteria	9.91522482772297e-05	0.0001275798917628	0.0001585153211154
Candidatus.Handelsmanbacteria	1.35207611287131e-05	2.8808362656131e-05	1.62579816528677e-05
Candidatus.Schekmanbacteria	9.91522482772297e-05	0.0001070024898656	0.0001056768807436
Candidatus.Aminicenantes	3.60553630099017e-05	4.52702841739202e-05	4.87739449586031e-05
Candidatus.Glassbacteria	1.80276815049509e-05	8.23096075889458e-06	1.21934862396508e-05
candidate.division.WWE3	0.0001802768150495	0.0001646192151778	0.0001788377981815
Candidatus.Peregrinibacteria	0.0002523875410693	0.0002428133423873	0.0002398052293797
Candidatus.Doudnabacteria	8.56314871485165e-05	9.05405683478404e-05	8.94188990907724e-05
Candidatus.Berkelbacteria	0.0001171799297821	0.0001234644113834	0.0001219348623965
Candidatus.Gribaldobacteria	2.25346018811886e-05	3.29238430355783e-05	2.84514678925185e-05
