#OTU ID	mgm4713017	mgm4713020	mgm4713021	mgm4713022	mgm4713025	mgm4713028	mgm4713031	mgm4713033	mgm4713035	mgm4713037
Pseudomonadota	0.550332044636952	0.586837856444306	0.552200635060726	0.554414889548896	0.59944913923265	0.601583103075598	0.55381774622338	0.586150259530703	0.560379567959875	0.561616253053039
Actinomycetota	0.112938908017033	0.28266750200252	0.115284292738133	0.256757460095703	0.131047054691913	0.132236987831454	0.255012723087259	0.281415022902894	0.144801597848483	0.144723938677466
Chloroflexota	0.0823231748692201	0.0269288897005203	0.084467932758835	0.0451159503554514	0.0262986087542368	0.0275081765593888	0.046193641581828	0.0275058871864644	0.0657407285578575	0.0674260978308843
Bacillota	0.018563859069246	0.0273937890042897	0.018587574483449	0.024598354676263	0.013600454879367	0.0137373672993492	0.0250571943233029	0.0280422098156053	0.0202225725044801	0.0207638998150515
Cyanobacteriota	0.0050742777307434	0.0029272803108078	0.0050845502779281	0.0035410424712557	0.0033960056484927	0.0034045883156936	0.0036604985816302	0.0029241252522461	0.0046885484893858	0.004787395435127
Candidatus.Melainabacteria	2.25802929492892e-05	2.15060476234834e-05	2.13780728010475e-05	2.62745719545888e-05	2.35950764659547e-05	1.96717415825601e-05	3.0635671619021e-05	2.06811181853116e-05	2.97359813268563e-05	3.23294674474592e-05
Candidatus.Margulisbacteria	2.22944664562603e-05	1.75735132009036e-05	2.21698532751603e-05	2.00824753793036e-05	3.09685378615656e-05	3.18682213637474e-05	2.13521347647722e-05	1.76771568846518e-05	2.447297578228e-05	2.34687985914889e-05
Deinococcota	0.0032727133451817	0.0024235472296155	0.0032816661383731	0.0029030891700398	0.0019937839613731	0.0020435005155963	0.0029405602985833	0.0024713358546581	0.0032299065027065	0.0033148480622794
Armatimonadota	0.0030406222328422	0.0008010081051992	0.0030945420196578	0.0012144876985633	0.0016784104839666	0.0017350476075818	0.0012668933293764	0.0008153444191829	0.0025833462715553	0.0026610743872308
Mycoplasmatota	0.0002701060359123	0.0001367784628853	0.0002702610684971	0.0001599903871884	0.0002711327090328	0.0002714700338393	0.00016029573635	0.000142341550862	0.000250782214199	0.0002636647678492
Thermomicrobiota	0.0003226981106297	0.0005539957867809	0.000337298481972	0.0005375409243193	0.0002155157430774	0.0002213070928038	0.0005424680035166	0.0005723701647487	0.0003978832191699	0.0004116618854976
Candidatus.Kaiserbacteria	0.0002683910769542	0.0001534917341813	0.0002641907515289	0.0001974776745631	0.0001554747002845	0.0001463577573742	0.0002047019876361	0.0001601342447197	0.000312885679625	0.0003182656462049
Candidatus.Nomurabacteria	0.0001772124256779	8.23374394727651e-05	0.0001691770946354	0.0001214989760447	0.0001396744258654	0.0001314072337715	0.0001220785096333	8.71148777191338e-05	0.0001784158879611	0.000190384641635
Candidatus.Yanofskybacteria	0.0001786415581431	5.94795831415199e-05	0.0001934583625082	9.47223422057152e-05	0.0001548426893078	0.0001571772152446	9.91791187262245e-05	5.75374126049451e-05	0.0002189410306543	0.0002140929177631
Candidatus.Azambacteria	3.74432705867961e-05	2.40867733383014e-05	3.53661945103748e-05	2.87848813770018e-05	2.67551313497879e-05	2.6163416304805e-05	3.35754582895331e-05	2.53025971094036e-05	3.26306343763733e-05	3.59216304971769e-05
Candidatus.Falkowbacteria	0.0002243737970277	0.0001259639932232	0.0002090300451657	0.0001643415901873	0.0001605307880987	0.0001569804978288	0.0001606051875785	0.0001328675190676	0.0002073624184563	0.0002040348612239
Candidatus.Magasanikbacteria	0.0001769265991849	0.0001260868849239	0.0001974172648788	0.0001653457139562	0.0001348290083768	0.0001333744079297	0.0001701981756612	0.0001292858729014	0.0002320985445158	0.0002440276098441
Candidatus.Nealsonbacteria	7.46007146805632e-05	3.28120840884004e-05	7.33716572677926e-05	5.37206216396371e-05	4.42407683736651e-05	4.76056146297955e-05	5.66295748109176e-05	3.40834070651783e-05	0.0001181544744757	0.0001247677965935
Candidatus.Uhrbacteria	0.0004064452730872	0.0002679039075382	0.0004159486757339	0.0003372182324108	0.0002700793574049	0.0002586834018106	0.0003304939120112	0.0002713963498173	0.0004970908736852	0.0005136793161096
Candidatus.Giovannonibacteria	0.0001051841494346	2.3595206535479e-05	0.0001068903640052	5.22144359861893e-05	6.5729141583731e-05	5.99988118268084e-05	4.85838428705686e-05	2.11432660777208e-05	0.0001178913241985	0.0001113570545412
Candidatus.Moranbacteria	0.0002320911123395	0.000108513371723	0.0002301441911421	0.0001434223450005	0.0001904459743323	0.0001752752175006	0.0001483818640537	0.0001099911983933	0.0002434140064366	0.0002519303685535
Candidatus.Zambryskibacteria	5.83086045779114e-05	3.06000334756993e-05	6.07031696819867e-05	4.08343666045839e-05	3.43392630709877e-05	3.26550910270498e-05	3.806250110242e-05	3.21192785224392e-05	7.52609792874417e-05	8.54934805832811e-05
Candidatus.Staskawiczbacteria	2.11511604841443e-05	1.09373613628001e-05	2.29616337492732e-05	1.43924406885009e-05	1.87496589774105e-05	1.77045674243041e-05	1.64009151091728e-05	1.27090670412529e-05	2.07888719010765e-05	2.46661862747281e-05
Candidatus.Wolfebacteria	1.82928955538546e-05	2.62988239510026e-05	2.16419996257518e-05	3.04584209919437e-05	2.06456919077104e-05	2.4196242146549e-05	2.69222568773215e-05	3.00396130065979e-05	2.84202299407122e-05	3.49637203505855e-05
Candidatus.Harrisonbacteria	5.0877115759158e-05	1.78192966023148e-05	5.43689258890837e-05	2.7278695723554e-05	4.19233947921874e-05	4.36712663132835e-05	3.00167691620711e-05	2.03345072660047e-05	6.15771648715432e-05	6.46589348949185e-05
