#OTU ID	mgm4577669	mgm4577670	mgm4577671	mgm4577672	mgm4578714	mgm4578924	mgm4578925	mgm4578926	mgm4578927	mgm4698609	mgm4698612	mgm4698610	mgm4698611	mgm4670120	mgm4670123	mgm4670118	mgm4670121	mgm4670116	mgm4670122	mgm4670117	mgm4670119
Pseudomonadota	0.5656598641841241	0.487757844826108	0.47600510381309	0.46433229442212204	0.47069071183803796	0.566114440463865	0.57666567317853	0.4889580254416379	0.483345051505557	0.42906806932292496	0.417453396958358	0.448561079576827	0.42691384546021094	0.313730834226471	0.29157370512952396	0.37683866063869603	0.294035922740126	0.332021367227166	0.294038389044256	0.41908694052170703	0.43085286462456895
Actinomycetota	0.299066690482478	0.368321639174897	0.3936240628649729	0.39037799495914294	0.399727893361305	0.31961490744624604	0.302899720920151	0.36627256529605895	0.37116376888176894	0.3756284167129771	0.40072779704075	0.417717604964993	0.43907387516410107	0.58399060030089	0.596380250893396	0.48305154979684795	0.5738833185066489	0.546374810681032	0.5886031112757839	0.40875832468245393	0.41533577789033205
Chloroflexota	0.00507035709471935	0.00979163700576869	0.00884825045335317	0.00939041682412123	0.00842838159162495	0.004758531457631329	0.0044251767957298105	0.0099977900857723	0.00987502282617613	0.00939555681920984	0.0100449723643105	0.00579764560372816	0.00617946983861771	0.0062485433366476295	0.00701012307142421	0.007360843133524471	0.00726487700796415	0.0076892006436844905	0.0085716960071356	0.00930002362072814	0.00964181389752516
Bacillota	0.0126643866314397	0.0106801594868037	0.00970982661805371	0.0100560596027638	0.00955246045098692	0.0107032108365258	0.0110212154875769	0.0106994378530683	0.0107369039500973	0.0212724711477571	0.0148031171684576	0.0107339267177596	0.00964050337483922	0.007012729306066221	0.00788143523757165	0.0102723929364217	0.011181919401368999	0.0084000879902931	0.00915668379150884	0.0122869551860492	0.0108911981441689
Cyanobacteriota	0.0037367446926719295	0.0028496824202994602	0.00273105968397933	0.00294200240602129	0.0027453747764364803	0.00316813013157878	0.00324057766819303	0.00290258421845002	0.00288822804474724	0.00465254533000762	0.0037763054001167203	0.00314729332773815	0.00296375860285635	0.00310776017092363	0.00309182976236136	0.00810294654526438	0.0146135354484747	0.00912092533948333	0.006861029674217679	0.008176994895788041	0.00456459418712487
Candidatus Melainabacteria	2.08205716013978e-05	1.8635119149224802e-05	1.2308230924293401e-05	2.08013368325804e-05	1.3259121539000999e-05	1.3939772578946601e-05	1.51732733627767e-05	1.8646151296252803e-05	2.73473028060979e-05	6.46186851389948e-05	3.43300490919702e-05	2.20862689665835e-05	2.65213297794751e-05	1.1960251321925301e-05	1.39655194730435e-05	1.75431008277621e-05	1.6964623996966598e-05	1.55973013441647e-05	1.82530435002303e-05	3.2948363417664096e-05	2.71738519711565e-05
Candidatus Margulisbacteria	1.64372933695246e-05	7.454047659689931e-06	4.78653424833634e-06	2.08013368325804e-06	2.20985358983349e-06	1.52070246315781e-05	2.16761048039667e-05	3.4529909807875603e-06	6.17519740782856e-06	0.0	1.37320196367881e-05	1.10431344832917e-05	0.0	2.22270157310116e-06	2.15727536575468e-06	6.04934511302143e-06	4.46437473604384e-06	3.6304063473486704e-06	3.6728685091926903e-06	6.4968603922154605e-06	6.53806964719555e-06
Deinococcota	0.00232971238024062	0.0025865545379124	0.00246027860364488	0.00252944255884178	0.0023004575870166698	0.0022835881988419898	0.0021524372070339	0.00262289194900623	0.00267386047758977	0.0035540276826447103	0.00321329259500841	0.00305894825187181	0.00266539364283725	0.00301641772056238	0.00320366745895443	0.00274216813973261	0.00329649430509477	0.0027058628642238802	0.00317436008335408	0.00288367789123049	0.00252185605172921
Armatimonadota	0.00071666599091127	0.00086168790946015	0.00074943450516808	0.0008029316017376	0.00071009962019983	0.0007096611494736401	0.00066437261224158	0.00082871783538901	0.00082924079476555	0.0012148312806131	0.00120841772803735	0.00085032135521346	0.0007028152391560901	0.00053768209482637	0.0005689529925156099	0.00068932287562879	0.00075090783060257	0.0006323630019104	0.0007173223497499	0.00086501055507783	0.00074779171589799
Mycoplasmatota	6.246171480419351e-05	0.00010733828629953	7.8635919794097e-05	0.00011510073047361	9.57603222261181e-05	5.70263423684181e-05	7.58663668138835e-05	9.11589618927915e-05	0.00010144967170004	0.00069788179950114	0.00036389852037488	7.73019413830422e-05	9.2824654228163e-05	6.21298011147801e-05	7.91379436805797e-05	0.00013520286327602	0.00010684736868264	0.00010514732457876	8.881663849502321e-05	0.00017912772224251	0.00014097712676765
