#OTU ID	mgm4450130	mgm4450131	mgm4450171	mgm4450172	mgm4450628	mgm4450629	mgm4450630	mgm4450631	mgm4470861	mgm4519753	mgm4519754	mgm4519755	mgm4519756	mgm4519757	mgm4519758	mgm4519759	mgm4519760	mgm4519761	mgm4519762	mgm4519763	mgm4519764	mgm4519765	mgm4519766	mgm4519767	mgm4519769	mgm4519770	mgm4519771	mgm4519772	mgm4519773	mgm4519774	mgm4519775	mgm4519776	mgm4600198	mgm4600199	mgm4600200	mgm4658538	mgm4658539	mgm4658540
Pseudomonadota	0.41690246024623	0.4109825651088	0.543885968173048	0.56385742191533	0.45303628187087297	0.434225017743949	0.404450700013327	0.410969692941646	0.6363009968771179	0.550912925126153	0.5491492142447629	0.332299072865845	0.328844728389397	0.31548709619132204	0.31464684270333004	0.444158256761291	0.438683274390127	0.541279333614996	0.5406966219612721	0.550564411868644	0.5268772324576799	0.40591842630528396	0.40811566864235105	0.31217224398567306	0.548434600015721	0.547610778733176	0.265002636634672	0.263708478470474	0.269245665014692	0.268168418278879	0.43198496509754797	0.41954231898663796	0.9276187829952759	0.870589414366705	0.633191228492698	0.301845957367987	0.238913230260216	0.43644436058986297
Actinomycetota	0.429402374606916	0.43716081070344104	0.261244755987467	0.244716921132728	0.36635144310723206	0.4043091281398629	0.4518474695826571	0.43934600558287895	0.17902112668229997	0.179512353449605	0.18069336299256303	0.0753820251988076	0.0783240972785994	0.0586684683879517	0.0583630504622619	0.10206371010221699	0.10559444803844198	0.129169893794704	0.131416429701745	0.17985213986521803	0.179428097232654	0.10810834471408098	0.110839112120985	0.0630670170722838	0.182664219818508	0.18379528255955896	0.0568498285955773	0.0597842724230164	0.0573931878636645	0.0576020440573409	0.12337494779547802	0.124671334989835	0.0511922954789029	0.0407649608567999	0.305538961018651	0.111512983119751	0.291084648454132	0.419477858041777
Chloroflexota	0.0242085214543611	0.0238222725812413	0.0140459879985131	0.0137192792629088	0.0206847009968412	0.0224919846300693	0.0250327496367472	0.0212116177057025	0.00522888165279337	0.0182629855574564	0.0185509063062394	0.0282341136177386	0.0269147014988269	0.022624166250561	0.0224919193133932	0.0382631130067606	0.0339610575136675	0.0276370188533885	0.0274662034942687	0.0191324563483006	0.0173578197108998	0.0348228980635221	0.0353865446243877	0.0236150830703737	0.0182984245741409	0.0184147501910934	0.0232380654052216	0.022276146067357998	0.0290954798342304	0.0291633434265723	0.0366759143249209	0.0331712741742107	0.00107172627317112	0.00025055292474984	0.00097586302886615	0.0006946103114291401	0.00491253130422441	0.00109590800795637
Bacillota	0.00977315858345722	0.00844626688821564	0.0118200485015843	0.0119104158320978	0.0104653565700003	0.009443043964202091	0.00902687258034632	0.00798883424165891	0.0179649037018926	0.0161945134831743	0.0161797378310058	0.0177264480825551	0.0333103062268994	0.0904315776589151	0.0907334097429642	0.0275522757327737	0.0520570414309802	0.0140538085455718	0.0136921856661935	0.015182586732773997	0.0518577983908265	0.032010540322863	0.0320896882134168	0.0631835673440791	0.0165563285727806	0.0164007780024647	0.0206389645486165	0.0312986792656532	0.0837184978699029	0.0837221230151728	0.0262655867788318	0.0604083334781324	0.00405618624221014	0.0804980992144027	0.0312151058592443	0.556148885455104	0.41154315137585995	0.10378208692196401
Cyanobacteriota	0.0308781112762998	0.0404695364398553	0.0184845910112757	0.00811097666235788	0.0180474508221726	0.0109563784396747	0.0113055321694075	0.034377907749568	0.0035340794167657602	0.00471435897987655	0.004865514533596229	0.0026351694268107397	0.0025345424605195603	0.0022017979650005	0.00220638944859898	0.0035053959705874604	0.0032264559021419397	0.00352240170668305	0.00346139417206222	0.00465841383036006	0.00426401466821046	0.00395043246839654	0.00389920793989346	0.0021818210880067803	0.0047065466556088	0.00466013295664746	0.00263570791092345	0.00247798347668279	0.00224489275303165	0.00227391968228648	0.0041629377722093	0.00394641274695487	0.00040189735243917004	0.00034849634078842	0.00102590728675673	0.00112112541493826	0.0012117271996129801	0.00113805831595469
Candidatus Melainabacteria	0.0	2.07270353085046e-05	3.09772892216735e-05	2.47789511069996e-05	2.95214571791264e-05	3.6711618003377505e-05	3.25058429252658e-05	3.32314236341885e-05	5.00105577844212e-05	7.352176423542751e-05	5.615448642646429e-05	7.182868206339859e-05	7.0954222640664e-05	0.00017486151939117	0.0001629635810756	0.00011866781293513	9.77041016477945e-05	8.68854115664992e-05	8.147791009869101e-05	8.98899377027481e-05	8.44602905433995e-05	0.00014882515670413	0.00012647238507625	0.00016516838517267	6.81759484878575e-05	6.81450027134847e-05	0.00010287045643899001	0.00010609246495793	0.0001008810276414	0.00011293134480056999	0.00012678241155062	0.00012024117739048001	4.9616957091255505e-06	3.41663079204335e-05	3.12776611816075e-06	2.43722916290927e-05	6.104419141627099e-06	2.20787327610258e-05
Candidatus Margulisbacteria	6.85114516891498e-06	3.4545058847507696e-06	4.42532703166764e-06	2.47789511069996e-05	9.840485726375451e-06	4.07906866704194e-06	9.75175287757974e-06	6.6462847268376996e-06	5.55672864271346e-06	1.70355307374771e-05	1.44914803681198e-05	3.11983164517792e-05	2.41316391722055e-05	2.72006807941822e-05	2.65061246327797e-05	3.15878350978412e-05	3.7009129412043396e-05	1.8644938104399e-05	1.6649833802776002e-05	9.69401288951205e-06	9.020031028906739e-06	3.93948944216829e-05	4.5015594688159795e-05	2.4642057465278e-05	1.36351896975715e-05	1.3136386065250099e-05	2.82662064990033e-05	3.03788996575597e-05	3.24674571719453e-05	3.05855725501545e-05	2.61022612015989e-05	2.9191499713297802e-05	2.48084785456278e-06	2.27775386136223e-06	3.12776611816075e-06	9.74891665163709e-06	1.5261047854067801e-06	1.20429451423777e-05
Deinococcota	0.0021204294297791897	0.00193106878957568	0.00219053688067548	0.00213098979520197	0.00233711536001417	0.0021455901188640603	0.00202186342995153	0.00176126545261199	0.0027005701203587397	0.00373705747967392	0.00366362738056529	0.00153597292856783	0.0014342117490107802	0.0011555432073099901	0.0011265102968931401	0.0024408005552629198	0.00214578932331027	0.0022060690765124897	0.00225977212399804	0.00349160718802243	0.00323573113091509	0.0025650453479006898	0.00278239247167769	0.0012321028732639	0.0035403369014753295	0.00362317948162179	0.0014661356944728901	0.0014292103869664198	0.00118158353065044	0.00119283732945602	0.00251924109540004	0.00235756111970252	0.00023568054618346	0.00010477667762266	0.00097586302886615	0.00021447616633601	0.0010774299784971802	0.00092529961843935
Armatimonadota	0.00076047711374956	0.00076690030641467	0.00072132830616182	0.00071445975691849	0.00081184007242597	0.00070567887939825	0.00064686627421279	0.0006646284726837701	0.0007001478089818901	0.00117096858648132	0.00123268154881319	0.0005702762030488	0.00055286665864679	0.00037449508736275	0.00036961318237931003	0.0009228770200207099	0.00082530358588856	0.0007103721417776	0.00069575050188621	0.0011386058775681401	0.00108076371782719	0.00107679378085933	0.00103964587732179	0.00039693692565691003	0.00119508427349303	0.00119212703542144	0.00067375515163198	0.00064777161423658	0.00037337575747737	0.00038584876140194	0.00103663265914922	0.00093690813365536	5.4578652800381105e-05	2.7333046336346802e-05	0.00015326053978987	6.33679582356411e-05	0.00028843380444187997	0.00012444376647123
Mycoplasmatota	9.59160323648098e-05	6.21811059255139e-05	0.00012833448391836002	0.00012802458071948998	0.00013284655730606002	0.00013868833467941999	0.00018203272038148	9.30479861757278e-05	0.00011113457285426001	0.00013359442525705	0.00012408330065202	0.00024160556694052002	0.00026652855205122004	0.00036332337917942996	0.00039759186949169	0.00037734657062826	0.00031679814776709	0.0001860764822819	0.00019023320749128998	0.00014364764554458	0.00012464042876307	0.00043334383863851	0.00040942755168753997	0.0003369967858765	0.00012913326713582	0.00012151157110356001	0.00030629446714493	0.00029864795201816	0.00041164097485858997	0.00045407811555229	0.00038556768689219	0.00033848238953276003	8.682967490969709e-05	0.00017766480118625	0.00019392149932596	0.00048257137425603	8.39357631973727e-05	0.00020272290989669
