#OTU ID	mgm4530252	mgm4530253	mgm4530254	mgm4530373	mgm4530430	mgm4530431	mgm4530432	mgm4530290	mgm4530291	mgm4530370	mgm4530372	mgm4530427	mgm4530428	mgm4530429	mgm4461451	mgm4461452	mgm4461453	mgm4461454	mgm4461455	mgm4461456	mgm4775061	mgm4775062	mgm4476434	mgm4476436	mgm4476439
Pseudomonadota	0.8392769493763008	0.7641238624564829	0.814714445198433	0.708887485898219	0.7982327929843209	0.7851732882502109	0.734601817210048	0.47796012070054394	0.492947909391321	0.36920552440858706	0.457945993802568	0.5671330730135121	0.514191257146157	0.535530010319422	0.6908531222515389	0.6701201823456279	0.766362554541848	0.692797648211661	0.707006369426752	0.7230646448523539	0.524082324195425	0.5072786577014671	0.5253790375741589	0.50723638869745	0.351574599896748
Actinomycetota	0.0461300204796642	0.0361876259695841	0.0430707265284679	0.19147372669971696	0.0381178580919479	0.040574809805579	0.0374131480491716	0.332417720123107	0.319048462925705	0.19162222526095105	0.18370960602036301	0.209929341762737	0.213446324421089	0.23518682953754605	0.0861917326297273	0.0828843762950684	0.0932169773899246	0.0842724154826066	0.0878541620909291	0.0909816440542698	0.32467120262501503	0.358089438847822	0.241265655899802	0.251550654720882	0.0232318017552917
Chloroflexota	0.00123554998899853	0.00081842057045135	0.00115141299827069	0.00240118403212619	0.0029231995748073302	0.00236686390532544	0.0025227151256012803	0.0108169341660735	0.0113104483524273	0.00278043666529924	0.0037627268702965897	0.010203607288954999	0.00925391234047468	0.0083515323141904	0.00351802990325418	0.0029009531703273897	0.00337167790559302	0.00440960313571779	0.00241598945750055	0.00079808459696727	0.00923646971819922	0.00818416519128995	0.020435069215557	0.0158511371467953	0.0005162622612287
Bacillota	0.0161721645820287	0.0129756306113724	0.0201037585097301	0.0232976950703278	0.0429677119319692	0.0428402366863905	0.0528273650454303	0.0244508826979178	0.0229127792429818	0.0374675235881307	0.0566622399291722	0.0188344489897112	0.0189481434428596	0.0222227555256906	0.0303430079155673	0.0368835474513054	0.0249900833002777	0.0293973542381186	0.0325060399736437	0.0359138068635275	0.0203572099130317	0.0229339556162143	0.030323005932762	0.0303239145416954	0.0330407847186371
Cyanobacteriota	0.00438366365959751	0.0027026201673486802	0.00411969441586586	0.00912863929454869	0.0123239436619718	0.0130684699915469	0.0129983965793693	0.009543763972291	0.0105181957489393	0.26632936779251604	0.16113324479858301	0.0995180984256849	0.144937056072068	0.0818354172166359	0.12401055408971	0.11355159552424401	0.0392701309004363	0.0847623713865752	0.0654513507577422	0.0566640063846768	0.00535744620521146	0.004517993233150879	0.012524719841793	0.019986216402481	0.473412493546722
Candidatus Melainabacteria	6.77013692601933e-05	8.24528186648751e-05	0.00010069391239629	1.03499311729577e-05	0.00011626361945256001	0.00021978021978022	0.0003848209513629	4.00998486230714e-05	3.12731290850525e-05	0.00022790464469665	0.0	5.42332961447874e-05	7.21834035918462e-05	9.59946243010391e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.2032649192966398e-05	1.7895404937222897e-05	0.0	0.0	0.0
Candidatus Margulisbacteria	3.38506846300966e-05	9.16142429609723e-06	1.75119847645733e-05	0.0	0.0	3.38123415046492e-05	0.0	0.0	0.0	4.55809289393318e-05	0.00022133687472332002	3.8738068674848103e-05	7.2183403591846205e-06	2.3998656075259803e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.11759814746931e-05	4.374432317987819e-06	0.0	0.0	0.0
Deinococcota	0.00079549108880727	0.00060465400354241	0.00084057526869951	0.00165598898767323	0.0010463725750730801	0.0012172442941673699	0.00113308391234634	0.0055337791099838605	0.00517049067539534	0.00246137016272392	0.00210270030987162	0.00285886946820379	0.00294508286654732	0.00362379706736423	0.00043975373790677	0.0	0.00079333597778659	0.0	0.00043927081045464	0.0	0.0042184540360620205	0.00417599216101729	0.0046143704680290006	0.0048242591316333605	0.0
Armatimonadota	0.00017771609430799998	0.00012215232394796	0.00023641179432172998	2.06998623459154e-05	0.00044844538931702996	0.00028740490278951003	0.00032068412613575	0.00151376928552095	0.0017825683578479897	0.00077487579196864	0.0016600265604249699	0.00072827569108714	0.0007001790148409	0.00098394489908565	0.00043975373790677	0.00082884376295068	0.00059500198333994	0.0014698677119059302	0.0	0.0	0.0013621924848868801	0.00112979656503667	0.000659195781147	0.00344589937973811	0.0
Mycoplasmatota	0.00157405683529949	0.00152690404934954	0.00335792307860692	0.00011384924290253	0.0016941270263088	0.00165680473372781	0.00271512560128274	0.00035087367545187	0.00028145816176547	0.0020967227312092603	0.00409473218238158	0.0007670137597619901	0.00046197378298780997	0.0006479637140320099	0.0013192612137203198	0.0029009531703273897	0.00138833796112654	0.0029397354238118604	0.0008785416209092901	0.00079808459696727	0.00022479688451954	0.00019247502199146	0.0	0.00068917987594762	0.00206504904491482
Thermomicrobiota	9.30893827327658e-05	0.00010077566725707	0.00014447387430772	1.03499311729577e-05	1.6609088493223498e-05	8.4530853761623e-05	8.5515766969535e-05	0.00037092359976341	0.00047952131263747	4.55809289393318e-05	0.0	0.00020143795710921	0.00029595195472656	0.00026398521682785	0.0	0.0	0.0	0.0	0.0	0.0	0.00055528662241403	0.0004736317173385	0.000659195781147	0.0	0.0
