#OTU ID	mgm4556511	mgm4441092	mgm4687116	mgm4687117	mgm4687118	mgm4687973	mgm4687974	mgm4687976	mgm4687977	mgm4687978	mgm4688234	mgm4688237	mgm4688240	mgm4566733	mgm4511199	mgm4511200	mgm4511201	mgm4511202	mgm4556521	mgm4556520	mgm4556519	mgm4556518	mgm4556517	mgm4556516	mgm4556515	mgm4556514	mgm4556513	mgm4556512	mgm4556510	mgm4556509	mgm4556508	mgm4556507	mgm4556506	mgm4556505	mgm4556504	mgm4556503	mgm4556502	mgm4556501	mgm4556500	mgm4556499	mgm4556498	mgm4556497	mgm4556496	mgm4556495	mgm4556494	mgm4556493	mgm4556492	mgm4556491	mgm4556490	mgm4556527	mgm4556526	mgm4556525	mgm4556524	mgm4556523	mgm4556522	mgm4724757	mgm4711612	mgm4494854	mgm4494855	mgm4494863	mgm4494888	mgm4675014	mgm4675015	mgm4467420	mgm4537904	mgm4537905	mgm4537906	mgm4537907	mgm4537908	mgm4537909	mgm4537910	mgm4537911	mgm4537913	mgm4537914	mgm4537915	mgm4490314	mgm4490316	mgm4491214	mgm4491220	mgm4491221	mgm4491222	mgm4491567	mgm4491568	mgm4521534	mgm4522552	mgm4524971	mgm4571849	mgm4571867	mgm4574017	mgm4750430	mgm4750435	mgm4751275	mgm4751277	mgm4633836	mgm4633837	mgm4491800	mgm4555634	mgm4556372	mgm4597413	mgm4545162	mgm4545349	mgm4568625	mgm4568626	mgm4569569	mgm4569570	mgm4569598	mgm4569599	mgm4572171	mgm4572172	mgm4572368	mgm4572418	mgm4572525	mgm4572669	mgm4573407	mgm4573631	mgm4580158	mgm4547780	mgm4544122	mgm4734360	mgm4734362	mgm4480719	mgm4480764	mgm4480776	mgm4480815	mgm4480859	mgm4480861	mgm4480863	mgm4480864	mgm4480865	mgm4480867	mgm4750323	mgm4750324	mgm4750325	mgm4750326	mgm4767525	mgm4767527	mgm4767528	mgm4773096	mgm4773097	mgm4773098	mgm4773099	mgm4773100	mgm4576679	mgm4441093	mgm4742241
Candidatus Bipolaricaulota	0.00015003750937733998	0.0	6.957252651920129e-06	4.41890123137102e-06	8.112039488963741e-06	2.0456085767860396e-05	8.62701342729284e-06	1.05805342283973e-05	1.0912299621193199e-05	6.65848307389822e-06	4.83706965517525e-05	3.14211322510743e-05	1.96930741906106e-05	0.0	0.00028721876495931003	5.50100393321781e-05	1.7319016279875303e-05	4.340910827273421e-05	0.0	0.0	8.36680053547523e-05	0.0	0.0	9.119927040583679e-05	8.12942037232745e-05	0.0	4.88854125928823e-05	0.0	0.0	0.0	0.0	7.373543725114291e-05	0.00027114967462039	0.0	0.0	0.0	0.0	0.00012924906294428998	0.00039603960396039	0.0	0.0	0.0	0.0	0.00010662117496534001	0.0	0.0	0.0	0.00010235414534288	0.0	0.0	0.0	0.0	4.134025093532321e-05	0.0	0.0	0.0	0.0	1.23555657247455e-05	9.30310877334324e-06	2.62575090321728e-05	1.60957837094573e-05	2.2220404355396802e-05	2.6013387203147698e-05	1.24403065933625e-05	0.0	1.89164998016074e-05	0.0	1.4926857067613599e-05	0.0	1.00708997637682e-06	0.0	2.51702193287148e-05	0.0004030945543071	0.0	3.40047893856695e-06	2.1045034034496696e-05	1.37126922210914e-05	2.3195641828845897e-05	2.1045075043230103e-05	2.13855711551416e-05	2.17318838044057e-05	1.82645132562011e-05	1.6695915437043398e-05	1.66894113387861e-05	1.66894113387861e-05	1.64975439281477e-05	3.1274433150899106e-05	1.8266031704612196e-05	1.61098563323012e-05	0.0	0.0	0.0	0.0	9.00354289412884e-06	1.17237417494167e-05	7.01236795837864e-05	1.60635796482478e-05	8.17795224075891e-06	0.0	8.00868141064914e-06	4.7977508144182e-06	1.53323048727696e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72169494259672e-05	6.64707993778333e-05	0.00012968346675811	1.6460580202531e-06	6.4161727724687e-06	7.65371986092681e-06	3.48955565088828e-06	3.44084467575523e-06	3.62130141671896e-06	3.53955989112314e-06	4.092948451721869e-06	6.14230089608799e-06	4.30839225572647e-06	5.5290402018917e-06	8.845313337264192e-06	1.3056582647939099e-05	5.22459254522295e-06	4.68953307040685e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5207968975743302e-05	0.0	0.0	5.301965989283429e-05
Candidatus Blackallbacteria	0.0	0.0	4.2595424399511e-06	1.7233714802347e-05	4.77832463048549e-06	2.5223393891726103e-05	4.1697231565248704e-05	6.34832053703839e-05	4.51496396826867e-05	3.59082480056654e-05	3.55633253607448e-05	2.43513774945826e-05	1.79522499527665e-05	0.0	0.0	0.0	1.15460108532502e-05	1.38909146472749e-05	0.0	4.7687172150691495e-05	0.0	0.00012250398137939	0.0	0.0	4.06471018616373e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.997410957945561e-05	0.0	0.0	8.119519324455992e-05	0.00013638843426076999	0.0	0.0	0.0	0.0	0.0	0.0	2.0670125467661604e-05	0.0	0.0	0.0	0.0	1.6016474087633e-05	1.7210751230685002e-05	4.34889993345363e-05	1.7820331964042e-05	9.546544093429719e-06	7.523479632282919e-06	1.5249408082186301e-05	0.0	2.44530363289072e-05	0.0	7.463428533806799e-06	2.17703661775591e-05	5.8537104876902395e-06	0.0	2.70007807344395e-05	2.32767707803371e-05	2.86491906603638e-05	1.58689017133124e-05	3.6244225281633206e-05	1.97462767983716e-05	2.79072565753302e-05	3.624429590778521e-05	2.7734412591824298e-05	3.97803974724714e-05	3.17802530657899e-05	3.41338715601776e-05	0.00019642153344878998	0.00019642153344878998	0.00023050734988495	3.1274433150899106e-05	1.8266031704612196e-05	3.06087270313723e-05	3.1894671038362893e-05	2.8996433438687e-05	0.0	1.6173901792068302e-05	3.7514762058870204e-05	4.59179885185489e-05	2.11215902360802e-05	8.03178982412388e-06	0.00010631337912986	0.0	8.00868141064914e-06	2.87865048865092e-05	1.82682781462787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002710027100271	0.0	0.0	0.0	0.0001382934587194	0.00020571898786258	6.72169494259672e-05	7.97649592534e-05	5.96773475347058e-06	3.70363054556947e-05	1.1577007393802199e-05	1.0375042478145199e-05	1.72296810262609e-05	1.59139066253679e-05	1.02054858107534e-05	1.1707775024484199e-05	7.94513522981304e-06	1.00733734695843e-05	1.4771630591062197e-05	1.39427970308573e-05	1.61869234071935e-05	2.0501125385799104e-05	1.05984591631666e-05	6.49319963594794e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48979185340106e-05	1.4713589826719599e-05
candidate division CPR2	0.0	0.0	2.8396949599674003e-07	8.837802462742029e-07	6.6674297169565e-07	1.73356659049664e-07	1.96068486983928e-06	7.62782700186783e-06	9.54826216854401e-07	2.49693115271183e-06	2.5157336268051003e-06	1.41395095129834e-06	1.74082423784403e-06	0.0	0.0	0.0	5.7730054266251e-06	3.4727286618187403e-06	0.0	0.0	0.0	0.00012250398137939	0.0	0.0	0.0	0.00011687704534829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001051745898191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7456812721656602e-06	3.25608807067014e-06	1.14876602015756e-05	6.898193018338851e-06	5.43165439798588e-06	2.16778226692898e-06	2.4078012761346804e-06	0.0	8.30480479094961e-06	9.66370313103981e-05	7.463428533806799e-06	0.0	1.88829370570653e-06	7.214486689272059e-05	1.6932693002953603e-05	1.8843100155511e-05	0.0	1.88915496587053e-06	1.55889140996272e-05	9.32463071034214e-06	1.0148093300120098e-05	1.5588944476466698e-05	1.20293837747672e-05	9.94509936811785e-06	6.57522477223239e-06	2.11481595535883e-05	1.1554207849928802e-05	1.1554207849928802e-05	1.3747953273456399e-05	1.2509773260359698e-05	1.30471655032944e-05	1.77208419655314e-05	6.37893420767258e-06	0.0	0.0	1.6173901792068302e-05	1.1004330203935199e-05	5.86187087470837e-06	6.0830179879911095e-05	1.0039737280154901e-05	8.17795224075891e-06	0.0	8.00868141064914e-06	1.43932524432546e-05	5.21950804179391e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65883197511333e-05	2.52481085723755e-06	4.52665955569602e-06	2.7896403358559604e-07	6.80330654304605e-07	1.52668059726362e-06	1.50536954564291e-06	1.31683687880689e-06	2.4504645400083303e-06	3.37066343082977e-06	2.21122832259168e-06	3.6929076477655405e-06	3.8462888360985706e-06	3.5381253349056797e-07	4.58125706945232e-07	0.0	1.8036665655410898e-07	0.0	0.0	0.0	0.00015002062783632	0.0	0.0	0.0	0.0	0.0	0.0	8.371525246236999e-06
Candidatus Fraserbacteria	0.0	4.63198851266849e-05	4.5435119359478404e-06	1.10472530784275e-06	4.0004578301739e-06	2.2536365676456298e-06	1.8299725451833302e-06	2.46058935544124e-07	2.04605617897372e-06	1.4268178015496201e-06	1.1549504377605198e-05	5.42014531331032e-06	6.0384840750214695e-06	0.0	9.57395883197702e-05	0.0	0.0	1.2154550316365598e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48589953637536e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.997410957945561e-05	5.0215928492517795e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0992085983584197e-05	8.60777798819013e-06	9.609884452579801e-06	1.16288859666791e-05	2.29753204031512e-05	1.1496988363898101e-05	9.21735291779421e-06	1.0456361522833901e-05	6.01950319033669e-06	0.0	1.15344510985411e-05	0.0	6.3972244575486804e-06	0.0	3.14715617617755e-07	0.0	5.94932456860532e-06	8.128396145514549e-06	2.86491906603638e-05	4.28208458930653e-06	1.51991912471365e-05	5.48507688843655e-06	1.19602528179987e-05	1.51992208645551e-05	1.6039178366356197e-05	1.5101817558993801e-05	1.2054578749092699e-05	1.22436713204985e-05	1.66894113387861e-05	1.66894113387861e-05	1.87888694737238e-05	2.0849622100599397e-05	5.21886620131776e-06	6.44394253292049e-06	1.27578684153452e-05	0.0	0.0	0.0	6.50255875687083e-06	7.8158278329445e-06	1.26729541416481e-05	0.0	4.0889761203794605e-06	0.0	0.0	2.87865048865092e-05	6.19816579963026e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002710027100271	0.0	0.0	0.0	0.0001382934587194	0.0	1.34433898851935e-05	0.0	1.60669781824208e-05	9.46483361645531e-06	4.88187058774793e-06	6.12297588874145e-06	7.85150021449862e-06	7.3117949359798595e-06	3.62130141671896e-06	1.08909535111481e-06	1.20380836815349e-06	2.21122832259168e-06	6.15484607960924e-07	9.615722090246441e-07	4.2457504018868105e-06	4.81031992292493e-06	2.23911109080984e-06	1.08219993932466e-06	0.0	0.0	0.0	0.0	0.0	3.79968082681055e-05	0.0	0.0	0.0	0.0	6.59574716370188e-06
Candidatus Fischerbacteria	0.0	0.0	8.5190848799022e-07	1.76756049254841e-06	5.55619143079708e-07	3.46713318099328e-07	3.9213697396785605e-07	7.38176806632371e-07	9.54826216854401e-07	0.0	7.089794766450729e-06	7.38396607900247e-06	3.26404544595755e-06	5.7362473469856004e-05	0.0	0.0	5.7730054266251e-06	8.68182165454684e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013555645926528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72155559763803e-05	7.77943027113602e-06	1.1163730528011901e-05	3.36424334474714e-05	8.62274127292356e-06	8.06518380306994e-06	5.86576378110194e-06	7.22340382840403e-06	5.33418680322185e-05	1.66096095818992e-05	0.00048318515655199003	2.02578774489042e-05	0.0	3.6507011643659598e-06	0.0	1.7847973705816e-05	3.7686200311022e-05	0.00011459676264145	9.319831164961259e-06	1.87066969195526e-05	9.32463071034214e-06	1.19602528179987e-05	1.8706733371760103e-05	1.03586360282717e-05	1.73118396407977e-05	1.42463203398368e-05	1.48408137218164e-05	3.4662623549786405e-05	3.4662623549786405e-05	3.62029436201019e-05	3.96142819911389e-05	2.60943310065888e-05	2.41647844984518e-05	3.1894671038362893e-05	2.8996433438687e-05	4.094836411285371e-05	4.8521705376205e-05	6.50255875687083e-06	1.07467632702987e-05	1.26729541416481e-05	1.60635796482478e-05	2.86228328426562e-05	0.00053008216273522	8.00868141064914e-06	0.00010075276710278	1.82682781462787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001382934587194	0.0	0.00010754711908154	5.317663950226671e-05	6.65631953271719e-06	5.18508276379726e-05	3.90549647019834e-06	3.0614879443707198e-06	3.05336119452724e-06	2.15052792234702e-06	2.63367375761379e-06	1.9059168644509201e-06	2.88914008356838e-06	2.21122832259168e-06	2.4619384318437e-06	3.3655027315862498e-06	4.68801606875002e-06	1.21403312340486e-05	3.67214218892813e-05	4.6173864077852e-05	0.0	0.0	0.0	3.7505156959081895e-05	2.2403441168563502e-05	0.0	0.0	0.0	0.0	2.48979185340106e-05	6.84942974692118e-06
Candidatus Sumerlaeota	0.0	0.0	2.8396949599674003e-07	6.62835184705653e-07	7.77866800311591e-07	2.94706320384429e-06	9.149862725916651e-07	1.7224125488088699e-06	5.45614981059658e-07	9.512118676997459e-07	3.6592489117165002e-06	3.927641531384291e-06	3.91685453514906e-06	0.0	0.0	0.0	2.88650271331255e-05	1.73636433090937e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.06471018616373e-05	0.0	4.88854125928823e-05	6.0481432200314504e-05	0.0	0.0	2.8149190710767102e-05	7.373543725114291e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.997410957945561e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001051745898191	4.18690336627031e-05	0.0	0.0	2.0670125467661604e-05	0.0	0.0	2.0992085983584197e-05	0.0	9.609884452579801e-06	6.977331580007429e-06	2.0513678931385e-05	1.32215366184828e-05	1.1192499971607301e-05	1.30066936015739e-05	9.22990489184959e-06	0.0	1.10730730545995e-05	0.0	1.01289387244521e-05	0.0	6.2943123523551e-07	0.0	1.4186850894366501e-05	1.2192594218271801e-05	0.0	2.392929623436e-06	2.57217082643849e-05	1.3164184532247699e-05	1.4859708046604401e-05	2.5721758386170103e-05	1.3365981971963499e-05	1.69435026271638e-05	2.8127350414549703e-05	1.81799968092251e-05	1.34799091582503e-05	1.34799091582503e-05	1.23731579461108e-05	4.7954130831378705e-05	3.3922630308565505e-05	1.77208419655314e-05	0.0	0.0	0.0	0.0	1.30051175137417e-05	1.27007202285348e-05	1.8586999407750603e-05	0.0	4.0889761203794605e-06	0.0	0.0	4.7977508144182e-06	4.56706953656967e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03301696555804e-05	5.317663950226671e-05	0.0	3.2921160405062e-06	3.6265324366127503e-06	8.84429850595987e-06	1.4394417059914098e-05	1.78493817554802e-05	2.9628829773155102e-05	2.66828361023129e-05	2.74468307938996e-05	2.5060587656039e-05	2.8312291966202503e-05	3.3414634263606394e-05	5.13028173561323e-06	7.10094845765109e-06	1.94056294536853e-06	1.08219993932466e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0415937951486603e-05	0.0	0.0	1.29378117441845e-05
candidate division WOR-3	0.0	0.0	1.4198474799837001e-07	6.62835184705653e-07	0.0	1.04013995429798e-06	5.22849298623808e-07	9.84235742176495e-07	1.2276337073842301e-06	8.32310384237278e-07	4.57406113964563e-07	1.33539812067066e-06	2.72003787163129e-07	0.0	0.0	0.0	0.0	5.209092992728109e-06	0.0001713796058269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.997410957945561e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.152270907218849e-07	3.7212435093373e-06	7.38492441529861e-06	1.14969883638981e-06	1.81055146599529e-06	7.650996236219921e-07	3.61170191420201e-06	0.0	2.30689021970822e-06	9.66370313103981e-05	4.4514020183776296e-05	2.17703661775591e-05	7.55317482282612e-07	0.0	3.66112281144943e-06	6.65050593723918e-06	0.0	2.2669859590446302e-06	3.5075056724161203e-06	1.64552306653097e-06	2.89945522860574e-06	3.50751250720502e-06	2.00489729579453e-06	2.94669610907196e-06	1.82645132562011e-06	3.33918308740868e-06	1.34799091582503e-05	1.34799091582503e-05	1.9705399691954198e-05	3.7529319781078996e-05	2.0875464805271104e-05	1.2887885065841e-05	0.0	2.8996433438687e-05	0.0	0.0	5.0019682745160206e-06	1.95395695823612e-06	3.3794544377728403e-06	4.01589491206194e-06	6.133464180569189e-05	0.0	4.00434070532457e-06	1.91910032576728e-05	1.6310962630606002e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03301696555804e-05	0.0	6.426791272968319e-06	7.81877559620221e-06	2.7896403358559604e-07	3.4016532715230303e-07	2.1809722818051702e-07	8.602111689388071e-07	0.0	1.08909535111481e-06	7.222850208920941e-07	1.2284601792176e-06	1.53871151990231e-06	9.615722090246441e-07	4.0688441351415295e-06	9.162514138904629e-06	1.74650665083167e-05	2.21850987561555e-05	0.0	0.0	0.0	0.0	0.0	1.8998404134052697e-05	0.0	0.0	0.0	0.0	4.31260391472815e-06
Candidatus Wirthbacteria	0.0	0.0	5.679389919934801e-07	8.837802462742029e-07	8.889906289275329e-07	2.6003498857449604e-07	0.0	0.0	1.36403745264914e-07	3.5670445038740503e-07	1.1435152849114099e-06	1.0997396287876e-06	4.3520605946100704e-07	0.0	0.0	0.0	1.15460108532502e-05	1.73636433090937e-05	0.0	4.7687172150691495e-05	4.1834002677376204e-05	0.0	0.0	0.0	0.0	0.0	4.88854125928823e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.25163161711385e-05	0.0	0.0	0.0	0.0	8.119519324455992e-05	0.0	0.0	0.0	0.0	2.0934516831351502e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.406589635053201e-06	4.18639894800446e-06	2.70780561894282e-05	9.19759069111846e-06	4.2794852832616e-06	6.8858966125979294e-06	8.02600425378226e-06	0.0	1.38413413182493e-05	0.0	5.06446936222604e-06	0.0	8.18260605806163e-07	0.0	6.4069649200365e-06	7.75892359344571e-06	0.0	2.2669859590446302e-06	1.51991912471365e-05	1.04216460880295e-05	1.4134844239453e-05	1.51992208645551e-05	1.5705028817057098e-05	1.2523458463555802e-05	1.27851592793408e-05	2.22612205827246e-05	1.1554207849928802e-05	1.1554207849928802e-05	1.4664483491686802e-05	1.4594735470419598e-05	2.0875464805271104e-05	6.44394253292049e-06	0.0	0.0	0.0	1.6173901792068302e-05	1.5005904823548099e-05	2.54014404570696e-05	6.7589088755456805e-06	8.03178982412388e-06	4.0889761203794605e-06	0.0	8.00868141064914e-06	7.1966262216273e-05	1.6310962630606002e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3773559540773797e-05	2.65883197511333e-05	6.885847792466059e-07	1.02878626265819e-05	6.4161727724687e-06	8.16396785165526e-06	6.76101407359604e-06	1.0107481235031e-05	1.08639042501569e-05	1.36136918889351e-05	1.20380836815349e-05	1.15475256846454e-05	1.13864652472771e-05	1.44235831353697e-05	3.44967220153303e-06	4.00859993577078e-06	1.7912888726478699e-06	1.4429332524328801e-06	0.0	0.0	0.00087336244541484	0.0	0.0	0.0	1.7239595903872e-05	0.0	0.0	0.0	1.1162033661649302e-05
Candidatus Abawacabacteria	0.0	4.63198851266849e-05	7.0992373999185e-07	1.76756049254841e-06	2.3336004009347696e-06	6.327518055312741e-06	1.00648489985083e-05	1.9192596972441602e-05	1.48680082338757e-05	1.36736705981839e-05	1.1435152849114099e-07	4.71316983766115e-07	1.08801514865252e-07	0.0	0.0	0.0	1.7319016279875303e-05	3.4727286618187403e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88854125928823e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022841480127912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.60777798819013e-06	4.11852190824848e-06	2.32577719333581e-06	2.78986033466836e-05	6.898193018338851e-06	3.12731616853732e-06	1.6577158511809798e-06	6.01950319033669e-06	0.0	5.99791457124138e-06	9.66370313103981e-05	5.06446936222604e-06	0.0	1.69946433513588e-06	0.0	8.6951666771924e-06	7.75892359344571e-06	2.86491906603638e-05	1.04533241444836e-05	8.57390275479496e-06	6.03358457728021e-06	7.2486380715143405e-06	8.5739194620567e-06	5.68054233808449e-06	5.893392218143911e-06	6.57522477223239e-06	9.275508576135229e-06	1.60475109026789e-05	1.60475109026789e-05	1.8330604364608603e-05	3.1274433150899106e-05	1.04377324026355e-05	1.1276899432610901e-05	6.37893420767258e-06	0.0	0.0	9.704341075240991e-05	2.70106286823865e-05	9.76978479118062e-06	3.5484271596614794e-05	1.60635796482478e-05	4.0889761203794605e-06	0.0	2.0021703526622897e-05	1.43932524432546e-05	1.30487701044848e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6066978182420798e-06	7.654169794176899e-05	4.18446050378394e-07	3.4016532715230303e-07	4.36194456361035e-07	2.15052792234702e-07	9.8762765910517e-07	2.72273837778703e-07	2.40761673630698e-07	7.37076107530559e-07	1.8464538238827702e-06	9.615722090246441e-07	1.7690626674528398e-07	3.43594280208924e-07	1.49274072720656e-07	1.8036665655410898e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5207968975743302e-05	0.0	0.0	6.34206458048258e-06
Candidatus Absconditabacteria	0.0	0.0	4.2595424399511e-07	2.2094506156855102e-07	1.11123828615942e-07	1.30017494287248e-06	2.7449588177749902e-06	3.93694296870598e-06	2.31886366950355e-06	1.7835222519370201e-06	4.80276419662791e-06	2.67079624134132e-06	1.9040265101419101e-06	0.0	0.0	0.0	1.15460108532502e-05	1.38909146472749e-05	0.0001713796058269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48589953637536e-05	2.8149190710767102e-05	0.00014747087450228	0.0	0.00013555645926528	0.00041666666666666	4.5716375605742e-05	0.0	0.00012924906294428998	0.0	0.0	0.0	6.997410957945561e-05	0.0	0.0	8.119519324455992e-05	6.81942171303873e-05	4.71231327458649e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.60777798819013e-06	1.2813179270106402e-05	1.20940414053462e-05	1.39493016733418e-05	8.04789185472865e-06	2.46893381726631e-06	1.5301992472439801e-06	2.5281913399414102e-05	0.0	3.22964630759151e-05	0.0	1.14616938197747e-05	0.0	8.37143542863228e-06	0.0	3.75265088173566e-05	2.06904629158552e-05	0.0016616530583011	8.954594538226291e-05	3.11778281992544e-05	1.12444076212949e-05	2.35580737324216e-05	3.1177888952933505e-05	4.27711423102832e-05	2.9835298104353602e-05	7.05010211689362e-05	1.70669357800888e-05	5.77710392496441e-05	5.77710392496441e-05	7.74468034404711e-05	2.2934584310659398e-05	1.5656598603953302e-05	1.93318275987615e-05	0.00014033655256878998	0.00023197146750949	0.00012284509233856	0.00025878242867309	8.60338543216756e-05	5.47107948306115e-05	0.00012419495058815	4.01589491206194e-06	2.0444880601897303e-05	0.0	4.00434070532457e-06	0.00012474152117487	1.50060856201575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010840108401084	0.00036062026685899	0.00017337031900138	0.0	0.0004148803761582	0.00061715696358773	0.00016132067862232	3.98824796267e-05	7.11537605221492e-06	4.8970226102529705e-05	2.23171226868477e-06	3.40165327152303e-06	3.92575010724931e-06	3.01073909128582e-06	2.3044645379120602e-06	1.33414180511564e-05	1.5649508785995402e-05	1.44958301147677e-05	1.87722805428082e-05	1.29812248218327e-05	1.76906266745284e-06	1.8325028277809299e-06	2.08983701808918e-06	4.14843310074452e-06	0.0	0.0	0.00087336244541484	0.0	0.0	0.0	3.4479191807744e-05	0.0	0.0	0.0	5.07365166438606e-06
