#OTU ID	mgm4739174	mgm4739175	mgm4739176	mgm4739177	mgm4739178	mgm4739179	mgm4739181	mgm4739182	mgm4739183	mgm4739184	mgm4739185	mgm4739186	mgm4739187	mgm4739188	mgm4739189
Pseudomonadota	0.6220501426792371	0.877893998540021	0.8267418647829909	0.524754265386053	0.650198243412798	0.868222282874105	0.887953115008927	0.7502774416160691	0.4450863459224939	0.6072890158559261	0.596162126923567	0.882935467710554	0.5742460721091209	0.844393019574843	0.7896119682734559
Actinomycetota	0.305064656016417	0.0598386312507695	0.0757192913880474	0.117210666783945	0.318440819740694	0.0632703704052278	0.0660291719700569	0.109034987941461	0.13688457796292097	0.32214997063717304	0.34259343900274003	0.0457982361096548	0.10065014703326801	0.0869962819533055	0.115106468919656
Chloroflexota	0.00481428202189402	0.0077550517894695	0.00459285524827942	0.0280278763919668	0.00213132580510247	0.00479777303019941	0.00378096968334379	0.0104943048724115	0.00770801281551755	0.00292251884114711	0.00489536900497716	0.00616313073060478	0.008449005865569141	0.00897454612066621	0.00741285051296621
Bacillota	0.0147665830346164	0.0065039962891156895	0.0138762860692697	0.0267492175340779	0.00308824759514847	0.0222749266164511	0.00446270462624849	0.013054039220982	0.030874601432308	0.0181422506606636	0.00568680704067125	0.00918644344249881	0.016637568194587	0.0045695623924872	0.00873872003006217
Cyanobacteriota	0.00115918721134541	0.00092523388892965	0.0014239247274301	0.00565704740566633	0.00087996654119615	0.0008292576314185099	0.00073129368875415	0.0022515620698789303	0.00639174061614131	0.00048785113046882	0.00097305983415885	0.00119417939487144	0.00432038160517314	0.00106904575859315	0.00203026146937987
Candidatus Melainabacteria	3.13293840904166e-05	1.43013302724341e-05	0.0	0.00010424734637565	3.34588038477624e-06	2.7188774800606897e-05	1.14831240382884e-05	6.23269777129116e-05	0.00476506245103329	3.05862777723402e-06	1.0223743622188198e-05	3.49515920450177e-05	0.00167379789470779	1.43111882007116e-06	2.8145250793201597e-05
Candidatus Margulisbacteria	1.0443128030138901e-05	3.73078181020021e-06	0.0	6.3525726697664e-05	6.69176076955249e-06	5.22861053857826e-06	1.2087498987671998e-06	1.4716091959992998e-05	5.64037140361385e-05	1.8351766663404102e-05	2.40558673463251e-06	1.16505306816725e-05	3.10195704786546e-05	2.86223764014231e-06	5.3247771770922e-06
Deinococcota	0.00066313862991381	0.00082823356186444	0.0010051233370094801	0.00322922444046458	0.00036470096194061	0.00061279315512137	0.00062008869806757	0.00143784874973814	0.00237093506720329	0.00032727317216403996	0.0007812142920719	0.00058835179942446	0.00203213436147095	0.00103756114455159	0.00111516047737388
Armatimonadota	0.00025324585473086	0.00030530231146805	2.7920092694707697e-05	0.00221036951612128	0.00016729401923881002	0.00020809869943541002	0.00017708186016939	0.00043888580139508	0.00120402138690301	0.00011928648331211999	0.00021469861606595	0.00030291379772347997	0.0008981575634046801	0.00042933564602134	0.00029818752191716
Mycoplasmatota	0.00018014395851989	3.979500597546889e-05	0.00041880139042061	0.0005627727839498099	0.00011041405269761	6.901765910923299e-05	7.55468686729497e-05	0.00027354617996222004	0.00103388255212952	7.49363805422335e-05	8.599972576311221e-05	0.0002737874710193	0.00073177986720098	2.14667823010673e-05	0.00018408515383661002
