#OTU ID	mgm4754624	mgm4754625	mgm4754626	mgm4754627	mgm4754629	mgm4754630	mgm4754631	mgm4754632	mgm4754633	mgm4754634	mgm4754635	mgm4755556	mgm4766430	mgm4766431	mgm4766432	mgm4766433	mgm4766434	mgm4766435	mgm4766436	mgm4766437	mgm4766438	mgm4766439
habitat	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh
Pseudomonadota	0.545844850908663	0.628441173515523	0.38344778830951104	0.406163508713291	0.313967596177611	0.512220715004595	0.5179272809997871	0.509369600965842	0.419219630193659	0.36519989430948296	0.174266022167948	0.639590261926422	0.680043663266083	0.571372518245311	0.623622344935041	0.539598170102914	0.687037783773223	0.584189529615077	0.570665836524681	0.6360649197369079	0.6101673948004089	0.590703479060892
Actinomycetota	0.231199609276112	0.12355696774841803	0.0918598708062588	0.26531071635035997	0.23270092884724497	0.13479193103750098	0.12272097842267402	0.132709560583668	0.432077101519573	0.10377724932519501	0.431357829266719	0.110854491926487	0.11630465956114301	0.14611159067723498	0.10861421075544801	0.209642256503955	0.11546727748147	0.181241348476902	0.187504405234593	0.154785586444209	0.10870895702166197	0.14366459944798401
Chloroflexota	0.00385353991239398	0.00349768913895308	0.00171403823587013	0.0058833259720704	0.00558373151687477	0.00862731370060824	0.00656666815032418	0.007072084261360091	0.00268669456251447	0.0037213187898119397	0.00433609951458784	0.0065485352473361	0.0048228594171597795	0.007714039080279371	0.007246293792819009	0.0225830340025884	0.00757837150233005	0.00807762082040083	0.00654911542889364	0.0070815486316209405	0.00781631497047315	0.0109466044229393
Bacillota	0.0952645185376494	0.11203782779061601	0.381054662932351	0.15850106496726699	0.35081935849417606	0.191983547017897	0.17079519097144902	0.197138902187715	0.0635017032005682	0.42799714888756	0.329954583900893	0.125051644402746	0.0198562506950419	0.0546103743231578	0.0281603006209472	0.024472451190056	0.0227891566515487	0.017694245501208	0.0150776496017668	0.0219206622744072	0.0148610903124573	0.0215098647221181
Cyanobacteriota	0.00303526999071775	0.012963428112127	0.00801131758827735	0.0035027105932268396	0.0026412348617030896	0.00386032468384895	0.0041169023209349	0.0042775962198955105	0.0034713637100952602	0.00637940363967761	0.00218758173708936	0.00364895494709665	0.0139564420876426	0.0135133014203877	0.0139713126961941	0.0168040473669276	0.00795250942619714	0.009620923574271979	0.039224208819867004	0.0120463902387668	0.00956448704008751	0.00976675639758749
Candidatus Melainabacteria	4.34705895890495e-05	3.13975685722898e-05	4.61747411428089e-05	6.90651309764786e-05	2.07766754116271e-05	3.500634490001311e-05	5.4648051710409794e-05	2.73204138132012e-05	2.08667660922138e-05	2.88750288750289e-05	2.5476495385357503e-05	3.99666478323839e-05	0.00016388357242776	0.0003845248371655	0.00029787136539651	6.228847870772171e-05	0.00027436781083586	6.878229543715451e-05	7.635739961938771e-05	0.00029367924685126	4.2320739115431396e-05	0.00013204075373973002
Candidatus Margulisbacteria	2.30138415471439e-05	1.25590274289159e-05	1.4330092078802802e-05	2.7284990015398998e-05	4.76132144849787e-06	2.10038069400079e-05	3.1898636518746e-05	2.0815553381486603e-05	4.13398196166499e-06	1.81952236746757e-05	1.6984330256905002e-06	1.09908281539056e-05	2.9264923647814198e-05	7.06270109079495e-05	5.72829548839447e-05	1.3841884157271499e-05	4.1570880429676596e-05	3.22417009861662e-05	4.69891689965463e-05	1.66233535953543e-05	9.76632441125341e-06	4.25937915289467e-06
Deinococcota	0.00142430108241768	0.00142168190495328	0.0011973588048066301	0.0018570846329230898	0.0014548001262183	0.00205049665251827	0.00161051022981855	0.00206334172893986	0.00103349549041625	0.00130807836287288	0.00133157149214135	0.00143480265718258	0.00171785101812669	0.00259750451228125	0.0019361638750773301	0.0040072254635301	0.00200371643671041	0.0025685888452312397	0.00246693137231868	0.0021721182031263	0.0015984217619751401	0.00331805636010495
Armatimonadota	0.00029662284660763	0.00033030242138047997	0.00026510670345785	0.00041353812992089	0.00033329250139485	0.00042795256640266	0.00040578032966869	0.00040720426302532996	0.00021162050518047	0.00028835474040952996	0.00026155868595633	0.00030774318830935	0.00044190034708199006	0.00067488032645373	0.0005155465939555	0.0009066434123012801	0.0004240229803827	0.00062763844586403	0.00045814439771632	0.00053194731505133	0.0003125223811601	0.00077946638497972
Mycoplasmatota	0.00019945329340858	0.00020345624434843	0.00040442704311287	0.00037175798895981	0.00012595859468298	0.00020128648317507	0.00039020192578745	0.00017172831539726002	0.00795929327019234	0.00021399165234781	8.83185173359059e-05	0.00104662659011055	0.0006789462286292799	0.00144393000078474	0.0011170176202369199	0.00020762826235907	0.00091871645749585	0.00037185428470711	0.00039940793647063997	0.0011525525159445699	0.00026694620057426	0.00041315977783078
