#OTU ID	mgm4754624	mgm4754625	mgm4754626	mgm4754627	mgm4754629	mgm4754630	mgm4754631	mgm4754632	mgm4754633	mgm4754634	mgm4754635	mgm4755556	mgm4766430	mgm4766431	mgm4766432	mgm4766433	mgm4766434	mgm4766435	mgm4766436	mgm4766437	mgm4766438	mgm4766439
habitat	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh	saline_marsh
Thermomicrobiota	8.43840856728608e-05	0.00012182256606048001	7.403880907381429e-05	0.00015603603665056002	0.0001411082538373	0.00020303680042006999	0.00014564571247706	0.00018603900834703	8.5632483491632e-05	0.0001095668903888	0.00019871666400578	0.0001248957744762	8.486827857866121e-05	0.00022757592403672	0.00016039227367504	0.00049830782966177	0.00022448275432025	0.0001955996526494	0.00018208302986161002	0.00018839800741401002	0.0001106850099942	0.00025130337002078
Candidatus Kaiserbacteria	0.00021479585444	0.00021852707726313	0.00013374752606882	0.00027967114765783	0.00018569153649141	0.00019691069006257	0.00017779162524788998	0.00028100997065007	0.0001881946073977	0.00017364572159092	0.00011379501272126	0.0001673603377981	0.00030728169830204	0.00040021972847838	0.00033796943381527003	0.0002145492044377	0.00034919539560928	0.00042559045301739	0.0003700397058478	0.00037125489696291	0.00017904928087296998	0.00251729307936075
Candidatus Nomurabacteria	0.00011251211423048001	7.03305536019291e-05	6.84659954876132e-05	0.00012534042288323	6.14643314260634e-05	6.1261103575023e-05	8.40739257083228e-05	0.00013530109697966	5.61040409083106e-05	7.4758636402472e-05	2.7174928411048003e-05	0.00013139035474896	0.00011120670986169	0.00039237228282194	0.0002062186375822	0.00020762826235907	0.00027021072279289	0.00012036901701502	0.00014096750698963	9.9740121572126e-05	7.16197123491917e-05	0.00029815654070262004
Candidatus Yanofskybacteria	6.648443113619339e-05	4.39565960012057e-05	4.85630898226094e-05	9.805543286784e-05	4.1120503418845204e-05	7.00126898000263e-05	7.64083618937404e-05	0.00010277679482109	3.2087574273875896e-05	4.4696962505181704e-05	2.8873361436738502e-05	3.94670647344791e-05	8.77947709434426e-05	0.00015694891312877	9.16527278143116e-05	9.689318910090041e-05	0.00013302681737496002	0.00010317344315573	7.04837534948194e-05	7.75756501116535e-05	7.16197123491917e-05	0.00014481889119841
Candidatus Azambacteria	7.67128051571462e-06	1.75826384004823e-05	2.14951381182042e-05	3.49588934572299e-05	1.3851116941084698e-05	2.10038069400079e-05	2.25021389395805e-05	1.0407776690743302e-05	1.1417664465550901e-05	2.1755158741460102e-05	1.3587464205524001e-05	2.3979988699430302e-05	3.5117908377377e-05	8.63219022208271e-05	3.43697729303668e-05	1.3841884157271499e-05	2.9099616300773602e-05	2.36439140565219e-05	2.34945844982731e-05	3.3246707190708696e-05	9.76632441125341e-06	5.1112549834736105e-05
Candidatus Falkowbacteria	0.00011251211423048001	7.15864563448207e-05	7.56310415270146e-05	0.00018246837072798	6.96884321098324e-05	0.00011202030368003999	0.00018422080780206002	9.75729064757187e-05	4.31115261716492e-05	7.43630880617182e-05	3.7365526565191e-05	0.00010491245056	0.00019022200371078999	0.00021188103272384	0.0003093279563733	0.00022147014651634	0.00027021072279289	0.00018700186571976002	9.39783379930926e-05	0.00016623353595354	7.487515381960949e-05	0.00028537840324394
Candidatus Magasanikbacteria	0.00013041176876714	9.92163166884356e-05	0.00010986403927082	0.00019866883354962	9.13308023302773e-05	0.00014615148995755	0.00018916633284372	0.0001092816552528	6.574999881886229e-05	9.29538600771477e-05	7.30326201046914e-05	0.00013188993784686	0.00019022200371078999	0.00040021972847838	0.00034942602479206	0.0002145492044377	0.00039908045212489	0.00022139301343834	0.00018795667598618	0.00024380918606519	0.00021485913704756999	0.0003961222612192
Candidatus Nealsonbacteria	3.57993090733349e-05	2.7629860343615004e-05	2.22912543448043e-05	5.62752919067604e-05	2.07766754116271e-05	3.93821380125148e-05	3.8822371577078495e-05	3.38252742449158e-05	1.4764221291660699e-05	2.4523997126736898e-05	2.0381196308286e-05	2.8476236580573498e-05	6.14563396604098e-05	5.49321195950718e-05	6.30112503723392e-05	6.228847870772171e-05	6.651340868748261e-05	9.67251029584985e-05	5.87364612456829e-05	4.4328942920944896e-05	8.13860367604451e-05	5.96313081405254e-05
Candidatus Uhrbacteria	0.00014319723629334	0.00012433437154626002	9.553394719201851e-05	0.00019440555385971	0.00015322798116075	0.00018903426246007	0.00019955193543122	0.0001548156782748	7.795508841996851e-05	0.00010758914868503	9.681068246435841e-05	0.00011090744773486001	0.00020778095789948	0.00029035548928823	0.00018903375111701	0.0003875727564036	0.00021201149019135	0.00026653139481897	0.00021732490660902	0.00028259701112102	0.00015951663205047	0.00026408150747947
Candidatus Giovannonibacteria	2.0456748041905605e-05	2.51180548578318e-05	2.14951381182042e-05	3.66642053331924e-05	2.2075217624853798e-05	2.53796000525095e-05	3.38768465354124e-05	3.122333007223e-05	1.79139218338816e-05	1.77996753339219e-05	8.49216512845249e-06	1.6985825328763097e-05	3.5117908377377e-05	5.49321195950718e-05	5.72829548839447e-05	3.46047103931787e-05	5.40421445585796e-05	4.94372748454548e-05	3.52418767474097e-05	3.3246707190708696e-05	2.27880902929246e-05	5.1112549834736105e-05
Candidatus Moranbacteria	0.00014575432979857	6.78187481161459e-05	9.633006341861859e-05	0.00015006744508468998	7.79125327936015e-05	0.00012602284164004	0.00013550738614165	0.0001183884598572	5.11826338110904e-05	7.95052164915179e-05	5.77467228734769e-05	0.00016935867018972	0.00015217760296863	0.00019618614141097	0.00029787136539651	0.00020762826235907	0.00029099616300773	0.00019774909938181	0.00014096750698963	0.00014406906449307	0.00015951663205047	0.00022148771595052
Candidatus Zambryskibacteria	2.55709350523821e-05	5.14920124585552e-05	2.70679517044052e-05	6.139122753464771e-05	2.55379968601249e-05	2.53796000525095e-05	4.3767896618744504e-05	6.76505484898316e-05	3.7993262790540204e-05	3.797264071236671e-05	1.6984330256905e-05	3.29724844617167e-05	8.19417862138798e-05	7.06270109079495e-05	8.01961368375226e-05	4.15256524718145e-05	0.00010808428911715	0.00010102399642331999	5.28628151211146e-05	0.00012744571089771	5.20870635266849e-05	0.00017889392442156998
Candidatus Staskawiczbacteria	2.0456748041905605e-05	7.535416457349541e-06	1.6718440758603197e-05	3.66642053331924e-05	1.86124383895826e-05	3.32560276550125e-05	2.1760310183330605e-05	1.9514581295143697e-05	1.57485027111047e-05	1.50308369486452e-05	8.49216512845249e-06	2.44795717973351e-05	3.5117908377377e-05	5.49321195950718e-05	6.30112503723392e-05	5.53675366290859e-05	4.57279684726443e-05	4.7287828113043704e-05	1.76209383737049e-05	6.64934143814173e-05	2.60435317633424e-05	6.38906872934201e-05
Candidatus Wolfebacteria	1.2785467526191e-05	2.7629860343615004e-05	2.46796030246048e-05	3.8369517209154795e-05	1.6448201367538098e-05	3.85069793900144e-05	2.9920426502079603e-05	3.25243021585729e-05	1.94887721049921e-05	2.05685137191987e-05	1.52858972312145e-05	2.44795717973351e-05	3.80444007421585e-05	4.7084673938633e-05	8.592443232591709e-05	4.8446594550450203e-05	5.81992326015473e-05	4.2988934648221505e-05	4.69891689965463e-05	6.095229651629921e-05	4.55761805858492e-05	6.815006644631479e-05
Candidatus Harrisonbacteria	3.06851220628585e-05	2.6373957600723397e-05	1.91067894384037e-05	3.49588934572299e-05	1.7313896176355898e-05	2.8880234542510804e-05	2.8684045241663106e-05	2.8621385899544103e-05	1.27956584527726e-05	1.77996753339219e-05	1.6984330256905e-05	2.0482907014096698e-05	4.97503702012841e-05	3.92372282821941e-05	4.00980684187613e-05	4.15256524718145e-05	4.9885056515611893e-05	2.7942807521344e-05	1.17472922491366e-05	3.878782505582679e-05	1.9532648822506798e-05	0.00017463454526868002
Candidatus Taylorbacteria	3.83564025785731e-05	2.00944438862654e-05	2.14951381182042e-05	6.139122753464771e-05	3.33292501394851e-05	5.338467597252e-05	4.10478578458282e-05	5.85437438854312e-05	3.1497005422209496e-05	3.2830512282567104e-05	2.8873361436738502e-05	3.99666478323839e-05	5.5603354930847e-05	3.92372282821941e-05	7.446784134912809e-05	8.30513049436289e-05	9.14559369452886e-05	6.44834019723323e-05	9.98519841176609e-05	5.5411178651181104e-05	5.20870635266849e-05	0.00019593144103315
Candidatus Buchananbacteria	3.57993090733349e-05	3.51652768009645e-05	3.2640765290606296e-05	4.774873252694821e-05	3.63591819703474e-05	4.8133724237518e-05	5.8109919239576096e-05	5.85437438854312e-05	2.42133229183235e-05	3.1643867260305605e-05	1.3587464205524001e-05	3.54703999512407e-05	7.31623091195355e-05	9.41693478772659e-05	0.00012029420525628	5.53675366290859e-05	7.48275847734179e-05	9.02767627612653e-05	5.87364612456829e-05	5.5411178651181104e-05	3.9065297645013596e-05	7.666882475210409e-05
Candidatus Portnoybacteria	3.06851220628585e-05	1.75826384004823e-05	2.14951381182042e-05	4.0074829085117206e-05	2.42394546468982e-05	4.463308974751671e-05	3.56077802999955e-05	4.42330509356591e-05	1.2401945884995e-05	2.25462554229678e-05	2.8873361436738502e-05	2.3979988699430302e-05	2.34119389182514e-05	5.49321195950718e-05	4.58263639071558e-05	8.99722470222647e-05	6.23563206445149e-05	4.2988934648221505e-05	1.76209383737049e-05	5.5411178651181104e-05	3.2554414704178e-05	5.5371928987630795e-05
Candidatus Adlerbacteria	2.81280285576203e-05	1.13031246860243e-05	4.77669735960092e-06	3.0695613767323806e-05	1.08211851102224e-05	2.18789655625082e-05	1.68147851416646e-05	4.1631106762973294e-05	1.9291915821103302e-05	2.33373521044754e-05	1.52858972312145e-05	2.09824901120015e-05	1.4632461823907099e-05	5.49321195950718e-05	3.43697729303668e-05	2.7683768314542998e-05	3.3256704343741305e-05	5.1586721577865896e-05	4.1115522871978e-05	1.66233535953543e-05	2.60435317633424e-05	8.518758305789351e-05
Candidatus Sungbacteria	2.81280285576203e-05	3.01416658293982e-05	2.54757192512049e-05	4.60434206509858e-05	2.55379968601249e-05	4.20076138800158e-05	3.4618675291662296e-05	3.25243021585729e-05	2.1260478659991397e-05	2.05685137191987e-05	3.22702274881195e-05	2.59783210910495e-05	4.97503702012841e-05	6.27795652515106e-05	6.30112503723392e-05	7.61303628649932e-05	4.57279684726443e-05	7.30811889019766e-05	4.69891689965463e-05	6.64934143814173e-05	5.20870635266849e-05	5.96313081405254e-05
Candidatus Jorgensenbacteria	2.55709350523821e-05	1.50708329146991e-05	1.2737859625602499e-05	2.7284990015398998e-05	1.94781331984004e-05	3.06305517875115e-05	2.39857964520803e-05	2.60194417268583e-05	1.39767961561055e-05	1.66130303116604e-05	6.7937321027619905e-06	1.4987492937144e-05	2.0485446553469896e-05	5.49321195950718e-05	4.00980684187613e-05	4.8446594550450203e-05	2.9099616300773602e-05	4.0839487915810497e-05	5.87364612456829e-05	3.878782505582679e-05	9.76632441125341e-06	5.1112549834736105e-05
Candidatus Liptonbacteria	2.0456748041905605e-05	2.00944438862654e-05	1.6718440758603197e-05	3.41062375192487e-05	2.1209522816035998e-05	2.6254758675009802e-05	2.6705835224996698e-05	3.25243021585729e-05	1.79139218338816e-05	2.25462554229678e-05	1.1889031179833501e-05	1.94837408182871e-05	3.80444007421585e-05	3.92372282821941e-05	4.58263639071558e-05	3.46047103931787e-05	3.7413792386709005e-05	4.0839487915810497e-05	5.87364612456829e-06	0.00013298682876283001	2.60435317633424e-05	6.38906872934201e-05
Candidatus Tagabacteria	5.11418701047641e-06	5.02361097156636e-06	7.165046039401379e-06	1.7905774697605605e-05	2.16423702204449e-06	1.3127379337504901e-05	6.67645880624917e-06	1.30097208634292e-05	3.7402693938873803e-06	3.1643867260305597e-06	6.7937321027619905e-06	6.4945802727623805e-06	8.77947709434426e-06	4.7084673938633e-05	0.0	4.8446594550450203e-05	1.2471264128903e-05	6.4483401972332294e-06	0.0	1.10822357302362e-05	1.9532648822506798e-05	1.7037516611578697e-05
Candidatus Ryanbacteria	2.55709350523821e-05	1.50708329146991e-05	1.35339758522026e-05	2.64323340774177e-05	1.77467435807648e-05	2.0128648317507502e-05	2.05239289229141e-05	4.03301346766304e-05	1.2598802168883802e-05	1.2261998563368401e-05	1.1889031179833501e-05	1.6985825328763097e-05	8.77947709434426e-06	7.847445656438829e-05	1.71848864651834e-05	2.7683768314542998e-05	3.3256704343741305e-05	3.0092254253755103e-05	3.52418767474097e-05	3.878782505582679e-05	1.6277207352089e-05	6.815006644631479e-05
Candidatus Wildermuthbacteria	1.78996545366674e-05	8.79131920024113e-06	1.35339758522026e-05	2.13163984495304e-05	1.2985422132266901e-05	2.2754124185008498e-05	1.4094746368748199e-05	1.5611665036115e-05	7.48053878777475e-06	1.14709018818608e-05	8.49216512845249e-06	6.99416337066718e-06	2.34119389182514e-05	1.5694891312877697e-05	5.7282954883944704e-06	4.15256524718145e-05	3.3256704343741305e-05	2.14944673241108e-05	1.17472922491366e-05	5.5411178651181095e-06	2.92989732337602e-05	5.96313081405254e-05
Candidatus Komeilibacteria	2.55709350523821e-05	2.1350346629157002e-05	3.0252416610805798e-05	3.75168612711736e-05	2.33737598380804e-05	3.23808690325121e-05	3.4371399039578995e-05	4.2932078849316204e-05	1.3583083588327802e-05	2.57106421489983e-05	1.6984330256905e-05	2.7976653482668702e-05	2.9264923647814198e-05	7.06270109079495e-05	4.58263639071558e-05	8.30513049436289e-05	7.48275847734179e-05	4.51383813806326e-05	4.69891689965463e-05	7.75756501116535e-05	6.83642708787739e-05	7.24094455992095e-05
Candidatus Kuenenbacteria	1.2785467526191e-05	7.535416457349541e-06	1.35339758522026e-05	3.1548269705305103e-05	1.47168117499025e-05	1.75031724500066e-05	2.10184814270807e-05	1.5611665036115e-05	1.10239518977733e-05	8.30651515583022e-06	6.7937321027619905e-06	2.1482073209906303e-05	2.0485446553469896e-05	3.13897826257553e-05	5.72829548839447e-05	6.228847870772171e-05	2.9099616300773602e-05	1.7195573859288597e-05	5.87364612456829e-06	1.10822357302362e-05	1.6277207352089e-05	6.815006644631479e-05
Candidatus Lloydbacteria	2.55709350523821e-05	3.01416658293982e-05	2.38834867980046e-05	2.8990301891361402e-05	1.47168117499025e-05	3.675666214501379e-05	2.3738520199997e-05	5.0737911367373704e-05	1.61422152788824e-05	2.4128448785983e-05	1.0190598154143e-05	1.44879098392392e-05	4.09708931069399e-05	3.92372282821941e-05	5.1554659395550296e-05	2.7683768314542998e-05	4.57279684726443e-05	6.44834019723323e-05	2.93682306228414e-05	2.7705589325590504e-05	1.9532648822506798e-05	0.00010648447882236
Candidatus Kerfeldbacteria	3.06851220628585e-05	1.75826384004823e-05	2.22912543448043e-05	3.32535815812675e-05	1.99109806028093e-05	3.41311862775128e-05	3.4371399039578995e-05	4.5534023022002004e-05	1.31893710205502e-05	2.33373521044754e-05	1.52858972312145e-05	2.1981656307811102e-05	6.73093243899727e-05	3.92372282821941e-05	8.592443232591709e-05	0.00015226072572998	8.314176085935319e-05	4.94372748454548e-05	1.76209383737049e-05	3.878782505582679e-05	4.55761805858492e-05	9.79657205165775e-05
Candidatus Terrybacteria	1.53425610314292e-05	1.13031246860243e-05	8.75727849260169e-06	9.37921531779339e-06	6.05986366172456e-06	9.62674484750361e-06	1.3105641360415e-05	1.0407776690743302e-05	7.48053878777475e-06	6.3287734520611195e-06	1.6984330256905002e-06	6.4945802727623805e-06	1.17059694591257e-05	3.13897826257553e-05	1.71848864651834e-05	1.3841884157271499e-05	3.3256704343741305e-05	1.7195573859288597e-05	1.76209383737049e-05	4.4328942920944896e-05	9.76632441125341e-06	2.5556274917368e-05
Candidatus Yonathbacteria	1.78996545366674e-05	1.6326735657590698e-05	1.1145627172402199e-05	2.55796781394365e-05	1.99109806028093e-05	1.92534896950072e-05	1.85457189062477e-05	3.38252742449158e-05	1.67327841305488e-05	1.93818686969372e-05	8.49216512845249e-06	1.34887436434296e-05	4.97503702012841e-05	2.35423369693165e-05	1.71848864651834e-05	5.53675366290859e-05	2.4942528257806e-05	3.8690041183399394e-05	4.1115522871978e-05	4.4328942920944896e-05	2.27880902929246e-05	0.00013630013289263
Candidatus Niyogibacteria	7.67128051571462e-06	6.27951371445795e-06	6.36892981280123e-06	1.2789839069718302e-05	4.76132144849787e-06	4.37579311250164e-06	7.91284006666568e-06	1.0407776690743302e-05	4.92140709722023e-06	2.76883838527674e-06	6.7937321027619905e-06	5.99499717485758e-06	0.0	1.5694891312877697e-05	2.29131819535779e-05	0.0	4.15708804296766e-06	1.07472336620554e-05	1.17472922491366e-05	3.878782505582679e-05	6.51088294083561e-06	2.5556274917368e-05
Candidatus Campbellbacteria	1.53425610314292e-05	2.3862152114940198e-05	1.0349510945802e-05	3.0695613767323806e-05	9.089795492586839e-06	1.40025379600053e-05	2.59640064687468e-05	3.51262463312587e-05	1.1811377033328599e-05	9.8887085188455e-06	1.3587464205524001e-05	1.94837408182871e-05	4.09708931069399e-05	0.00015694891312877	1.71848864651834e-05	2.07628262359072e-05	4.9885056515611893e-05	2.5793360788932897e-05	5.87364612456829e-05	2.21644714604724e-05	1.6277207352089e-05	0.00010648447882236
Candidatus Colwellbacteria	5.11418701047641e-06	1.50708329146991e-05	9.55339471920185e-06	1.7053118759624402e-05	6.925558470542349e-06	1.1377062092504301e-05	1.2116536352081801e-05	1.43106929497721e-05	8.85853277499642e-06	5.9332251113073e-06	1.0190598154143e-05	1.09908281539056e-05	1.17059694591257e-05	0.0	1.71848864651834e-05	0.0	2.0785440214838298e-05	3.0092254253755103e-05	1.17472922491366e-05	1.10822357302362e-05	2.27880902929246e-05	3.4075033223157395e-05
Candidatus Vogelbacteria	1.53425610314292e-05	1.50708329146991e-05	1.91067894384037e-05	2.64323340774177e-05	1.3418269536675801e-05	1.22522207150046e-05	2.32439676958304e-05	3.122333007223e-05	1.7717065549992802e-05	9.09761183733786e-06	8.49216512845249e-06	1.29891605455248e-05	2.63384312830328e-05	3.92372282821941e-05	3.43697729303668e-05	2.07628262359072e-05	3.7413792386709005e-05	4.0839487915810497e-05	1.76209383737049e-05	2.7705589325590504e-05	2.92989732337602e-05	9.37063413636828e-05
Candidatus Spechtbacteria	1.0228374020952802e-05	5.02361097156636e-06	7.165046039401379e-06	1.5347806883661903e-05	4.76132144849787e-06	4.37579311250164e-06	8.654668822915581e-06	2.34174975541725e-05	5.90568851666428e-06	7.51541847432258e-06	1.0190598154143e-05	8.99249576228637e-06	1.17059694591257e-05	3.13897826257553e-05	3.43697729303668e-05	0.0	4.15708804296766e-06	1.9345020591699697e-05	3.52418767474097e-05	2.21644714604724e-05	9.76632441125341e-06	1.7037516611578697e-05
Candidatus Brennerbacteria	0.0	0.0	1.59223245320031e-06	5.11593562788731e-06	0.0	0.0	1.4836575124998101e-06	1.3009720863429199e-06	1.3779939872216699e-06	3.9554834075381997e-07	1.6984330256905002e-06	4.995830979047979e-07	0.0	0.0	0.0	0.0	4.15708804296766e-06	4.298893464822149e-06	0.0	5.5411178651181095e-06	0.0	4.25937915289467e-06
Candidatus Andersenbacteria	1.2785467526191e-05	5.02361097156636e-06	1.19417433990023e-05	1.7053118759624402e-05	3.895626639680069e-06	2.80050759200105e-05	1.13747075958319e-05	9.10680460440041e-06	8.07110763944118e-06	1.0679805200353098e-05	1.6984330256905e-05	1.09908281539056e-05	1.75589541886885e-05	4.7084673938633e-05	3.43697729303668e-05	2.07628262359072e-05	2.0785440214838298e-05	1.7195573859288597e-05	2.93682306228414e-05	3.3246707190708696e-05	1.30217658816712e-05	2.98156540702627e-05
Candidatus Jacksonbacteria	0.0	1.25590274289159e-06	3.98058113300077e-06	1.70531187596244e-06	1.73138961763559e-06	1.75031724500066e-06	2.72003877291633e-06	1.3009720863429199e-06	1.3779939872216699e-06	1.5821933630152799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87364612456829e-06	0.0	0.0	4.25937915289467e-06
Candidatus Parcubacteria	1.0228374020952802e-05	7.535416457349541e-06	0.0	1.2789839069718302e-05	1.29854221322669e-06	8.751586225003281e-07	3.95642003333284e-06	1.43106929497721e-05	1.77170655499928e-06	2.3732900445229197e-06	3.3968660513810003e-06	5.4954140769527805e-06	0.0	1.5694891312877697e-05	5.7282954883944704e-06	1.3841884157271499e-05	1.2471264128903e-05	8.59778692964431e-06	1.76209383737049e-05	5.5411178651181095e-06	0.0	4.25937915289467e-06
Candidatus Veblenbacteria	0.0	2.51180548578318e-06	0.0	0.0	0.0	0.0	2.4727625208330197e-07	0.0	3.9371256777761896e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15708804296766e-06	0.0	0.0	0.0	0.0	0.0
Candidatus Woesebacteria	5.8813150620478696e-05	5.02361097156636e-05	4.85630898226094e-05	0.00016967853165826002	6.96884321098324e-05	0.00015752855205005	0.0001139943522104	0.00013400012489332	4.7245508133314206e-05	7.15942496764415e-05	8.66200843102154e-05	7.99332956647678e-05	9.95007404025683e-05	0.00014125402181589	0.00018903375111701	0.00018686543612316	0.00027021072279289	0.00017195573859288	0.00013509386086507	0.00011082235730236001	7.81305952900273e-05	0.00020445019933894
Candidatus Gottesmanbacteria	6.904152464143161e-05	5.2747915201446794e-05	6.13009494482118e-05	8.69709056740842e-05	4.06876560144363e-05	9.10164967400341e-05	8.87721744979056e-05	9.236901813034699e-05	3.4056137112764e-05	4.3905865823674e-05	4.0762392616572e-05	5.6952473161146995e-05	0.00011705969459125	0.00018049125009809	0.00012602250074467	0.00024223297275225	0.00013718390541793	0.00013111625067707	9.39783379930926e-05	0.00012190459303258998	6.83642708787739e-05	0.00017037516611578
Candidatus Roizmanbacteria	6.648443113619339e-05	7.15864563448207e-05	8.518443624621651e-05	0.00015944666040248	8.094246462446379e-05	0.00011114514505753999	0.00012116536352081001	0.00011188359942548998	5.4726046921089e-05	6.96165079726724e-05	5.77467228734769e-05	7.24395491961958e-05	0.00015217760296863	0.00030605038060111	0.00021194693307059	0.00020762826235907	0.0002826819869218	0.00018700186571976002	0.00013509386086507	0.00022164471460472002	0.00013672854175754	0.00024278461171498998
Candidatus Levybacteria	7.15986181466698e-05	5.9027428915904796e-05	3.82135788768074e-05	0.00010487668037169001	3.9389113801209604e-05	7.26381656675272e-05	6.75064168187416e-05	6.76505484898316e-05	4.40958075910933e-05	5.498121936478101e-05	2.8873361436738502e-05	5.545372386743261e-05	0.00010828021749691	0.00014910146747233	0.00012602250074467	0.00013149789949407	0.00013718390541793	0.00012036901701502	0.00018208302986161002	0.00019948024314425	3.9065297645013596e-05	8.09282039049988e-05
