"samples","Pseudomonadota","Actinomycetota","Chloroflexota","Bacillota","Cyanobacteriota","Candidatus Melainabacteria","Candidatus Margulisbacteria","Deinococcota","Armatimonadota","Mycoplasmatota","Thermomicrobiota","Candidatus Kaiserbacteria","Candidatus Nomurabacteria","Candidatus Yanofskybacteria","Candidatus Azambacteria","Candidatus Falkowbacteria","Candidatus Magasanikbacteria","Candidatus Nealsonbacteria","Candidatus Uhrbacteria","Candidatus Giovannonibacteria","Candidatus Moranbacteria","Candidatus Zambryskibacteria","Candidatus Staskawiczbacteria","Candidatus Wolfebacteria","Candidatus Harrisonbacteria","Candidatus Taylorbacteria","Candidatus Buchananbacteria","Candidatus Portnoybacteria","Candidatus Adlerbacteria","Candidatus Sungbacteria","Candidatus Jorgensenbacteria","Candidatus Liptonbacteria","Candidatus Tagabacteria","Candidatus Ryanbacteria","Candidatus Wildermuthbacteria","Candidatus Komeilibacteria","Candidatus Kuenenbacteria","Candidatus Lloydbacteria","Candidatus Kerfeldbacteria","Candidatus Terrybacteria","Candidatus Yonathbacteria","Candidatus Niyogibacteria","Candidatus Campbellbacteria","Candidatus Colwellbacteria","Candidatus Vogelbacteria","Candidatus Spechtbacteria","Candidatus Brennerbacteria","Candidatus Andersenbacteria","Candidatus Jacksonbacteria","Candidatus Parcubacteria","Candidatus Woesebacteria","Candidatus Gottesmanbacteria","Candidatus Roizmanbacteria","Candidatus Levybacteria","Candidatus Daviesbacteria","Candidatus Curtissbacteria","Candidatus Shapirobacteria","Candidatus Beckwithbacteria","Candidatus Amesbacteria","Candidatus Chisholmbacteria","Candidatus Collierbacteria","Candidatus Woykebacteria","Candidatus Pacebacteria","Candidatus Blackburnbacteria","Candidatus Microgenomates","Candidatus Gracilibacteria","candidate division NC10","Candidatus Rokubacteria","Candidatus Handelsmanbacteria","Candidatus Schekmanbacteria","Candidatus Aminicenantes","Candidatus Glassbacteria","candidate division WWE3","Candidatus Peregrinibacteria","Candidatus Doudnabacteria","Candidatus Berkelbacteria","Candidatus Gribaldobacteria","Candidatus Saccharibacteria","Candidatus Eisenbacteria","Candidatus Desantisbacteria","Candidatus Edwardsbacteria","Candidatus Lindowbacteria","Candidatus Ratteibacteria","Candidatus Dadabacteria","Candidatus Firestonebacteria","Candidatus Raymondbacteria","Candidatus Riflebacteria","Candidatus Wallbacteria","candidate division CPR1","Candidatus Coatesbacteria","Candidatus Bipolaricaulota","Candidatus Blackallbacteria","candidate division CPR2","Candidatus Fraserbacteria","Candidatus Fischerbacteria","Candidatus Sumerlaeota","candidate division WOR-3","Candidatus Wirthbacteria","Candidatus Abawacabacteria","Candidatus Absconditabacteria","candidate division CPR3","Candidatus Delongbacteria","Candidatus Calescamantes","Planctomycetota","Candidatus Omnitrophica","Verrucomicrobiota","Lentisphaerota","Chlamydiota","Kiritimatiellota","Thermodesulfobacteriota","Nitrospirota","Campylobacterota","Bacteroidota","Ignavibacteriota","Chlorobiota","Balneolota","Gemmatimonadota","candidate division Zixibacteria","Candidatus Marinimicrobia","Candidatus Hydrogenedentes","Fibrobacterota","Candidatus Cloacimonetes","Elusimicrobiota","Acidobacteriota","Myxococcota","Nitrospinota","Candidatus Tectomicrobia","Spirochaetota","Bdellovibrionota","Synergistota","Caldisericota","Fusobacteriota","Thermotogota","Atribacterota","Chrysiogenota","Aquificota","Calditrichota","Deferribacterota","Dictyoglomota","Coprothermobacterota","Nitrososphaerota","Candidatus Bathyarchaeota","Thermoproteota","Candidatus Korarchaeota","Euryarchaeota","Candidatus Woesearchaeota","Nanoarchaeota","Candidatus Micrarchaeota","Candidatus Diapherotrites","Candidatus Altiarchaeota","Candidatus Aenigmarchaeota","Candidatus Nanohaloarchaeota","Candidatus Thermoplasmatota","Candidatus Heimdallarchaeota","Candidatus Lokiarchaeota","Candidatus Odinarchaeota","Candidatus Thorarchaeota"
"mgm4530252",0.839276949376301,0.0461300204796642,0.00123554998899853,0.0161721645820287,0.00438366365959751,6.77013692601933e-05,3.38506846300966e-05,0.00079549108880727,0.000177716094308,0.00157405683529949,9.30893827327658e-05,0.00010155205389029,5.92386981026691e-05,0.00016925342315048,8.46267115752416e-06,0.00012694006736286,0.00016925342315048,0.00012694006736286,0.00012694006736286,4.23133557876208e-05,0.00016925342315048,5.92386981026691e-05,9.30893827327658e-05,1.69253423150483e-05,5.0776026945145e-05,0.00011847739620533,5.92386981026691e-05,0,8.46267115752416e-06,8.46267115752416e-06,2.53880134725725e-05,1.69253423150483e-05,8.46267115752416e-06,8.46267115752416e-06,1.69253423150483e-05,5.0776026945145e-05,1.69253423150483e-05,5.0776026945145e-05,4.23133557876208e-05,2.53880134725725e-05,2.53880134725725e-05,8.46267115752416e-06,8.46267115752416e-06,2.53880134725725e-05,8.46267115752416e-06,0,8.46267115752416e-06,8.46267115752416e-06,0,8.46267115752416e-06,8.46267115752416e-05,0.00014386540967791,0.00011001472504781,4.23133557876208e-05,4.23133557876208e-05,1.69253423150483e-05,8.46267115752416e-06,7.61640404177174e-05,7.61640404177174e-05,8.46267115752416e-06,0,8.46267115752416e-06,0.00010155205389029,0,8.46267115752416e-06,2.53880134725725e-05,2.53880134725725e-05,0.00238647326642181,0.00014386540967791,1.69253423150483e-05,0.0002115667789381,8.46267115752416e-06,0.000177716094308,0.000177716094308,8.46267115752416e-05,2.53880134725725e-05,8.46267115752416e-06,2.53880134725725e-05,3.38506846300966e-05,7.61640404177174e-05,1.69253423150483e-05,9.30893827327658e-05,0,8.46267115752416e-06,2.53880134725725e-05,2.53880134725725e-05,8.46267115752416e-06,0,8.46267115752416e-06,0,0,8.46267115752416e-06,8.46267115752416e-06,6.77013692601933e-05,8.46267115752416e-06,0,8.46267115752416e-06,0,0,8.46267115752416e-06,0,8.46267115752416e-06,8.46267115752416e-06,0.00471370783474096,0.00061777499449926,0.00181947429886769,0.0002115667789381,0.00044852157134878,4.23133557876208e-05,0.0039943807863514,0.00281806949545555,0.00217490648748371,0.0239747473892659,0.00030465616167087,0.00038082020208858,1.69253423150483e-05,0.00012694006736286,2.53880134725725e-05,0.00012694006736286,8.46267115752416e-06,4.23133557876208e-05,2.53880134725725e-05,0.0004908349271364,0.00124401266015605,0.00121016197552596,0.00027080547704077,4.23133557876208e-05,0.00082087910227984,0.00077010307533469,4.23133557876208e-05,3.38506846300966e-05,0.00030465616167087,0.0002454174635682,5.92386981026691e-05,4.23133557876208e-05,4.23133557876208e-05,1.69253423150483e-05,6.77013692601933e-05,2.53880134725725e-05,0,0.0340368633955622,8.46267115752416e-06,0.00019464143662305,0,0.00173484758729245,1.69253423150483e-05,8.46267115752416e-06,2.53880134725725e-05,8.46267115752416e-06,0,0,0,3.38506846300966e-05,2.53880134725725e-05,1.69253423150483e-05,0,0
"mgm4530253",0.764123862456483,0.0361876259695841,0.00081842057045135,0.0129756306113724,0.00270262016734868,8.24528186648751e-05,9.16142429609723e-06,0.00060465400354241,0.00012215232394796,0.00152690404934954,0.00010077566725707,5.49685457765834e-05,9.77218591583705e-05,7.9399010566176e-05,2.13766566908935e-05,2.74842728882917e-05,0.00010382947535576,5.80223538752825e-05,0.00012215232394796,3.35918890856899e-05,0.00013742136444145,8.55066267635742e-05,9.16142429609723e-06,1.52690404934954e-05,3.9699505283088e-05,9.46680510596714e-05,3.35918890856899e-05,2.13766566908935e-05,4.88609295791852e-05,6.10761619739816e-06,3.05380809869908e-06,3.05380809869908e-06,0,6.10761619739816e-06,4.58071214804862e-05,1.83228485921945e-05,3.35918890856899e-05,9.16142429609723e-06,8.85604348622733e-05,6.10761619739816e-06,4.58071214804862e-05,1.22152323947963e-05,4.27533133817871e-05,3.66456971843889e-05,1.83228485921945e-05,3.66456971843889e-05,3.05380809869908e-06,2.44304647895926e-05,0,6.10761619739816e-06,8.85604348622733e-05,0.00019544371831674,6.41299700726806e-05,4.88609295791852e-05,2.44304647895926e-05,1.83228485921945e-05,9.16142429609723e-06,5.19147376778843e-05,4.27533133817871e-05,9.16142429609723e-06,6.10761619739816e-06,9.16142429609723e-06,3.9699505283088e-05,3.05380809869908e-06,3.05380809869908e-06,6.10761619739816e-06,9.16142429609723e-06,0.0010077566725707,0.00010993709155316,1.83228485921945e-05,0.00020155133451413,1.83228485921945e-05,8.85604348622733e-05,0.00029621938557381,4.88609295791852e-05,5.80223538752825e-05,0,4.88609295791852e-05,7.9399010566176e-05,1.22152323947963e-05,6.10761619739816e-06,6.41299700726806e-05,0,2.44304647895926e-05,3.05380809869908e-06,3.05380809869908e-06,6.10761619739816e-06,6.10761619739816e-06,0,3.05380809869908e-06,0,9.16142429609723e-06,0,1.83228485921945e-05,1.52690404934954e-05,0,6.10761619739816e-06,3.05380809869908e-06,0,1.22152323947963e-05,0,0,0,0.00253160691382154,0.00059549257924632,0.00084285103524094,0.00014963659683625,0.00020460514261283,1.83228485921945e-05,0.00243693886276186,0.00052830880107494,0.00236670127649179,0.0232181029744091,0.00021987418310633,0.00021071275881023,6.10761619739816e-06,0.00014352898063885,1.22152323947963e-05,9.77218591583705e-05,3.05380809869908e-06,3.05380809869908e-06,6.10761619739816e-06,0.00020155133451413,0.00087949673242533,0.00095889574299151,0.00015574421303365,3.05380809869908e-06,0.0006321382764307,0.00045807121480486,3.35918890856899e-05,2.74842728882917e-05,0.0003206498503634,0.00016185182923105,3.66456971843889e-05,1.22152323947963e-05,6.41299700726806e-05,1.22152323947963e-05,2.44304647895926e-05,9.16142429609723e-06,0,0.137009100348134,9.16142429609723e-06,0.00019544371831674,0,0.00150858120075734,1.83228485921945e-05,0,2.13766566908935e-05,6.10761619739816e-06,3.05380809869908e-06,0,0,3.66456971843889e-05,1.83228485921945e-05,6.10761619739816e-06,0,0
"mgm4530254",0.814714445198433,0.0430707265284679,0.00115141299827069,0.0201037585097301,0.00411969441586586,0.00010069391239629,1.75119847645733e-05,0.00084057526869951,0.00023641179432173,0.00335792307860692,0.00014447387430772,0.00015322986669001,0.0001926318324103,0.00013133988573429,8.75599238228663e-06,0.00017074185145458,0.00015760786288115,0.00010069391239629,0.00027143576385088,3.50239695291465e-05,0.00026267977146859,0.00012258389335201,4.37799619114331e-05,2.62679771468599e-05,5.69139504848631e-05,0.00010944990477858,4.37799619114331e-05,2.18899809557166e-05,3.50239695291465e-05,8.75599238228663e-06,3.06459733380032e-05,1.75119847645733e-05,8.75599238228663e-06,1.31339885734299e-05,3.06459733380032e-05,5.69139504848631e-05,1.75119847645733e-05,2.18899809557166e-05,4.37799619114331e-05,3.94019657202898e-05,2.62679771468599e-05,1.31339885734299e-05,2.62679771468599e-05,2.18899809557166e-05,2.18899809557166e-05,1.75119847645733e-05,1.75119847645733e-05,0,0,0,8.3181927631723e-05,0.00011382790096972,0.00010069391239629,6.56699428671497e-05,9.19379200140096e-05,3.94019657202898e-05,1.31339885734299e-05,0.00012258389335201,5.25359542937198e-05,4.37799619114331e-06,3.06459733380032e-05,2.62679771468599e-05,9.63159162051529e-05,4.37799619114331e-06,0,4.37799619114331e-06,3.06459733380032e-05,8.75599238228663e-05,9.63159162051529e-05,3.06459733380032e-05,0.00028456975242431,4.37799619114331e-06,0.00014885187049887,0.00033710570671803,8.75599238228663e-05,2.62679771468599e-05,2.18899809557166e-05,3.06459733380032e-05,3.06459733380032e-05,6.56699428671497e-05,0,6.56699428671497e-05,4.37799619114331e-06,5.25359542937198e-05,4.37799619114331e-06,1.75119847645733e-05,1.75119847645733e-05,0,0,0,0,3.94019657202898e-05,0,3.94019657202898e-05,0,0,0,0,0,1.31339885734299e-05,0,4.37799619114331e-06,0,0.00559070113609001,0.00089748921918437,0.00231595998511481,0.00023203379813059,0.00077928332202351,9.19379200140096e-05,0.00449620208830418,0.00288509948996344,0.00320031521572576,0.0224503644681829,0.00029770374099774,0.00027143576385088,3.06459733380032e-05,0.00015760786288115,2.18899809557166e-05,0.00010944990477858,0,4.37799619114331e-06,1.31339885734299e-05,0.00029770374099774,0.00146662872403301,0.00116016899065298,0.00041590963815861,5.69139504848631e-05,0.00106385307444783,0.00088873322680209,8.3181927631723e-05,1.75119847645733e-05,0.00042904362673204,0.00020576582098373,7.0047939058293e-05,1.31339885734299e-05,0.00010069391239629,1.75119847645733e-05,7.88039314405797e-05,3.50239695291465e-05,0,0.0547555983626294,8.75599238228663e-06,0.0001926318324103,2.18899809557166e-05,0.00198323227458792,3.50239695291465e-05,1.31339885734299e-05,2.62679771468599e-05,1.31339885734299e-05,4.37799619114331e-06,0,0,8.75599238228663e-06,5.69139504848631e-05,8.75599238228663e-06,0,0
"mgm4530373",0.708887485898219,0.191473726699717,0.00240118403212619,0.0232976950703278,0.00912863929454869,1.03499311729577e-05,0,0.00165598898767323,2.06998623459154e-05,0.00011384924290253,1.03499311729577e-05,0.00192508719817013,0.0002690982104969,0.00017594882994028,2.06998623459154e-05,0.00179053809292168,0.00136619091483042,2.06998623459154e-05,0.00081764456266365,0.00024839834815098,0.00057959614568563,0.00012419917407549,0,5.17496558647885e-05,0.00022769848580506,0.00075554497562591,0.00083834442500957,0.00050714662747492,1.03499311729577e-05,6.20995870377462e-05,0.00072449518210703,5.17496558647885e-05,2.06998623459154e-05,4.13997246918308e-05,1.03499311729577e-05,3.10497935188731e-05,9.31493805566193e-05,0,0,0,2.06998623459154e-05,1.03499311729577e-05,0,0,0,1.03499311729577e-05,0,0,0,0,5.17496558647885e-05,6.20995870377462e-05,0.00093149380556619,2.06998623459154e-05,1.03499311729577e-05,1.03499311729577e-05,6.20995870377462e-05,8.27994493836616e-05,3.10497935188731e-05,0,0.00062099587037746,2.06998623459154e-05,0.00021734855463211,0,1.03499311729577e-05,0,0.00016559889876732,0.00018629876111323,2.06998623459154e-05,0.00032084786636168,0.00017594882994028,4.13997246918308e-05,0.00025874827932394,0.00028979807284281,0.0004139972469183,0.00020699862345915,1.03499311729577e-05,0,1.03499311729577e-05,2.06998623459154e-05,9.31493805566193e-05,0.00055889628333971,1.03499311729577e-05,2.06998623459154e-05,1.03499311729577e-05,1.03499311729577e-05,2.06998623459154e-05,3.10497935188731e-05,0,8.27994493836616e-05,0,0,2.06998623459154e-05,0,0,0.00012419917407549,0,0,0,0,0,0,0,0.00399507343276167,0.00074519504445295,0.00159388940063549,0.00031049793518873,1.03499311729577e-05,0,0.0039640236392428,0.00165598898767323,0.00171808857471098,0.0165495399455594,0.00044504704043718,0.00011384924290253,1.03499311729577e-05,0.00038294745339943,3.10497935188731e-05,4.13997246918308e-05,0,1.03499311729577e-05,0,0.00074519504445295,0.0024218838944721,0.0036949254287459,0.00033119779753464,8.27994493836616e-05,0.00278413148552562,0.00062099587037746,0.00075554497562591,0,0.00011384924290253,0.0003415477287076,1.03499311729577e-05,1.03499311729577e-05,3.10497935188731e-05,0.00016559889876732,3.10497935188731e-05,1.03499311729577e-05,0,0.00040364731574535,0,9.31493805566193e-05,0,0.00259783272441238,0,0,6.20995870377462e-05,1.03499311729577e-05,0,0,0,3.10497935188731e-05,2.06998623459154e-05,0,0,1.03499311729577e-05
"mgm4530430",0.798232792984321,0.0381178580919479,0.00292319957480733,0.0429677119319692,0.0123239436619718,0.00011626361945256,0,0.00104637257507308,0.00044844538931703,0.0016941270263088,1.66090884932235e-05,0.00053149083178315,0.00028235450438479,0.00024913632739835,4.98272654796705e-05,0.00122907254849854,0.00038200903534414,0.00014948179643901,0.00066436353972894,0,0.0010629816635663,0.00041522721233058,0.00014948179643901,0.00038200903534414,0.00029896359287802,0.00039861812383736,0.00039861812383736,0.00079723624767472,0,0.00011626361945256,0.00011626361945256,4.98272654796705e-05,3.3218176986447e-05,3.3218176986447e-05,0,0.00093010895562051,0.0009965453095934,0.00023252723890512,3.3218176986447e-05,0.00038200903534414,0,0,0,0,4.98272654796705e-05,4.98272654796705e-05,0,0.00019930906191868,0,0,0.00039861812383736,0.00018269997342545,0.00044844538931703,0.0002159181504119,0.00016609088493223,0.00053149083178315,0.00039861812383736,0.0002159181504119,4.98272654796705e-05,9.9654530959341e-05,0.0002159181504119,0.00028235450438479,8.30454424661175e-05,0,1.66090884932235e-05,0,3.3218176986447e-05,0.00014948179643901,0,1.66090884932235e-05,6.6436353972894e-05,3.3218176986447e-05,0.00018269997342545,0.00071419080520861,0.00031557268137124,0.00041522721233058,1.66090884932235e-05,1.66090884932235e-05,1.66090884932235e-05,6.6436353972894e-05,0,0,0,1.66090884932235e-05,3.3218176986447e-05,0,0,0,1.66090884932235e-05,0,0,4.98272654796705e-05,0,0,0,0,0,0,8.30454424661175e-05,1.66090884932235e-05,1.66090884932235e-05,0,1.66090884932235e-05,0.0069259899016742,0.00097993622110018,0.00102976348657986,0.00023252723890512,0.00161108158384268,4.98272654796705e-05,0.00783948976880149,0.00250797236247675,0.00441801753919745,0.0394798033483922,0.00142838161041722,0.0004982726547967,0,0.00036539994685091,0.00019930906191868,0.00011626361945256,0,0.00028235450438479,1.66090884932235e-05,0.00089689077863406,0.00195987244220037,0.00249136327398352,0.0002159181504119,0,0.00172734520329524,0.00348790858357693,4.98272654796705e-05,0,0.0010629816635663,0.00026574541589157,8.30454424661175e-05,0.00019930906191868,0.00023252723890512,4.98272654796705e-05,0.00034879085835769,3.3218176986447e-05,0,0.00131211799096466,1.66090884932235e-05,0.00019930906191868,0,0.00244153600850385,9.9654530959341e-05,1.66090884932235e-05,1.66090884932235e-05,1.66090884932235e-05,1.66090884932235e-05,1.66090884932235e-05,1.66090884932235e-05,0.00056470900876959,3.3218176986447e-05,0,0,0
"mgm4530431",0.785173288250211,0.040574809805579,0.00236686390532544,0.0428402366863905,0.0130684699915469,0.00021978021978022,3.38123415046492e-05,0.00121724429416737,0.00028740490278951,0.00165680473372781,8.4530853761623e-05,0.00030431107354184,0.00021978021978022,0.00018596787827557,1.69061707523246e-05,0.0007607776838546,0.00049027895181741,0.00028740490278951,0.00071005917159763,0.00015215553677092,0.00087912087912087,0.00037193575655114,0.00037193575655114,0.00060862214708368,0.00018596787827557,0.00042265426880811,0.00020287404902789,0.00065934065934065,8.4530853761623e-05,0.00025359256128486,1.69061707523246e-05,0,0,6.76246830092984e-05,0.00010143702451394,0.00054099746407438,0.0007607776838546,0.00023668639053254,0.00010143702451394,0.00023668639053254,5.07185122569738e-05,0,0,0,0.00011834319526627,5.07185122569738e-05,0,0.00011834319526627,0,0,0.00032121724429416,0.00023668639053254,0.00059171597633136,0.00025359256128486,0.00010143702451394,0.00045646661031276,0.00032121724429416,0.00016906170752324,3.38123415046492e-05,0,0.00011834319526627,0.00027049873203719,5.07185122569738e-05,0,5.07185122569738e-05,1.69061707523246e-05,1.69061707523246e-05,8.4530853761623e-05,3.38123415046492e-05,0.00013524936601859,5.07185122569738e-05,5.07185122569738e-05,0.00040574809805579,0.00062552831783601,0.00028740490278951,0.00032121724429416,5.07185122569738e-05,0.00015215553677092,0.00010143702451394,6.76246830092984e-05,0,0,8.4530853761623e-05,0.00035502958579881,1.69061707523246e-05,0,0,1.69061707523246e-05,1.69061707523246e-05,0,0,3.38123415046492e-05,3.38123415046492e-05,5.07185122569738e-05,0,0,0,0,1.69061707523246e-05,3.38123415046492e-05,0,0,0,0.00610312764158918,0.00174133558748943,0.00120033812341505,0.00028740490278951,0.00060862214708368,0.00011834319526627,0.00772612003381234,0.00241758241758242,0.00696534234995773,0.0483685545224007,0.00177514792899408,0.00094674556213017,0,0.00013524936601859,0.00021978021978022,0.00020287404902789,0,0.00023668639053254,0,0.00074387151310228,0.0021301775147929,0.00163989856297549,0.00033812341504649,0,0.00201183431952663,0.00464919695688926,0.00010143702451394,0,0.0008284023668639,0.00032121724429416,0.00015215553677092,0.00020287404902789,0.00025359256128486,5.07185122569738e-05,0.00027049873203719,0,0,0.00071005917159763,1.69061707523246e-05,0.00028740490278951,0,0.00233305156382079,5.07185122569738e-05,0,0,3.38123415046492e-05,5.07185122569738e-05,0,0,0.00052409129332206,8.4530853761623e-05,3.38123415046492e-05,0,0
"mgm4530432",0.734601817210048,0.0374131480491716,0.00252271512560128,0.0528273650454303,0.0129983965793693,0.0003848209513629,0,0.00113308391234634,0.00032068412613575,0.00271512560128274,8.5515766969535e-05,0.00044895777659005,0.00051309460181721,0.00021378941742383,4.27578834847675e-05,0.00076964190272581,0.00061998931052912,0.00027792624265098,0.00076964190272581,8.5515766969535e-05,0.00066274719401389,0.00029930518439337,0.00021378941742383,0.00044895777659005,0.00034206306787814,0.00055585248530197,0.00032068412613575,0.00042757883484767,2.13789417423838e-05,0.00027792624265098,2.13789417423838e-05,2.13789417423838e-05,4.27578834847675e-05,0.00010689470871191,2.13789417423838e-05,0.00049171566007482,0.0010475681453768,0.00029930518439337,0.00021378941742383,0.0001282736504543,4.27578834847675e-05,6.41368252271513e-05,4.27578834847675e-05,0,0.00017103153393907,2.13789417423838e-05,0,0.00010689470871191,0,6.41368252271513e-05,0.00055585248530197,0.00029930518439337,0.00047033671833244,0.00023516835916622,0.00014965259219668,0.00042757883484767,0.00029930518439337,0.00019241047568145,4.27578834847675e-05,4.27578834847675e-05,6.41368252271513e-05,0.0002565473009086,2.13789417423838e-05,2.13789417423838e-05,2.13789417423838e-05,0,2.13789417423838e-05,0.00017103153393907,4.27578834847675e-05,0.00010689470871191,4.27578834847675e-05,2.13789417423838e-05,0.0003848209513629,0.00061998931052912,0.00019241047568145,0.0003848209513629,2.13789417423838e-05,0.00017103153393907,2.13789417423838e-05,0.00023516835916622,0,4.27578834847675e-05,2.13789417423838e-05,0.00029930518439337,2.13789417423838e-05,4.27578834847675e-05,2.13789417423838e-05,0,0,4.27578834847675e-05,0,0.00021378941742383,0,4.27578834847675e-05,2.13789417423838e-05,0,0,0,0.0002565473009086,0,4.27578834847675e-05,0,0,0.00543025120256547,0.00162479957242117,0.00096205237840726,0.0003848209513629,0.00044895777659005,6.41368252271513e-05,0.00771779796900053,0.00243719935863175,0.00780331373597007,0.0864350614644575,0.00200962052378407,0.00076964190272581,2.13789417423838e-05,0.0002565473009086,0.0001282736504543,0.0003848209513629,0,0.0002565473009086,4.27578834847675e-05,0.00074826296098343,0.00126135756280064,0.00151790486370925,0.00042757883484767,0,0.00277926242650989,0.00401924104756815,0,4.27578834847675e-05,0.00141101015499733,0.00044895777659005,4.27578834847675e-05,6.41368252271513e-05,0.00021378941742383,4.27578834847675e-05,0.00021378941742383,6.41368252271513e-05,0,0.00344200962052378,2.13789417423838e-05,0.00044895777659005,0,0.00286477819347942,2.13789417423838e-05,0,0.00010689470871191,4.27578834847675e-05,0.00021378941742383,0,0,0.00040619989310529,8.5515766969535e-05,2.13789417423838e-05,0,2.13789417423838e-05
"mgm4530290",0.477960120700544,0.332417720123107,0.0108169341660735,0.0244508826979178,0.009543763972291,4.00998486230714e-05,0,0.00553377910998386,0.00151376928552095,0.00035087367545187,0.00037092359976341,0.00026064901604996,7.0174735090375e-05,0.00015037443233651,6.01497729346072e-05,0.00011027458371344,0.00021052420527112,1.00249621557679e-05,0.00026064901604996,0.00011027458371344,0.00011027458371344,0.00011027458371344,6.01497729346072e-05,3.00748864673036e-05,6.01497729346072e-05,5.01248107788393e-05,0.00010024962155767,7.0174735090375e-05,1.00249621557679e-05,2.00499243115357e-05,9.02246594019108e-05,5.01248107788393e-05,0,2.00499243115357e-05,4.00998486230714e-05,0.00010024962155767,2.00499243115357e-05,3.00748864673036e-05,1.00249621557679e-05,7.0174735090375e-05,0.00010024962155767,0,2.00499243115357e-05,3.00748864673036e-05,0,0,0,2.00499243115357e-05,0,0,0.00011027458371344,0.00015037443233651,0.00013032450802498,0.00010024962155767,6.01497729346072e-05,8.01996972461429e-05,7.0174735090375e-05,2.00499243115357e-05,4.00998486230714e-05,2.00499243115357e-05,3.00748864673036e-05,7.0174735090375e-05,0,1.00249621557679e-05,0,2.00499243115357e-05,0.00068169742659221,0.00473178213752243,0.00100249621557679,0.00019047428095958,0.00142354462611904,0.00022054916742689,0.00020049924311535,0.00046114825916532,6.01497729346072e-05,3.00748864673036e-05,0,9.02246594019108e-05,0.00043107337269801,0.00016039939449228,0.00011027458371344,0.0002806989403615,6.01497729346072e-05,0.00021052420527112,2.00499243115357e-05,6.01497729346072e-05,4.00998486230714e-05,2.00499243115357e-05,0,0.00012029954586921,5.01248107788393e-05,2.00499243115357e-05,1.00249621557679e-05,0.00011027458371344,1.00249621557679e-05,2.00499243115357e-05,0,5.01248107788393e-05,2.00499243115357e-05,0,0,1.00249621557679e-05,0,0.0152379424767672,0.00166414371785747,0.00287716413870538,0.00075187216168259,9.02246594019108e-05,0.00032079878898457,0.0110174334091889,0.00480195687261281,0.00085212178324026,0.0165512125191727,0.00045112329700955,0.00069172238874798,3.00748864673036e-05,0.00813024430832774,0.00019047428095958,0.0003107738268288,1.00249621557679e-05,4.00998486230714e-05,4.00998486230714e-05,0.00279696444145923,0.0213230945053182,0.0149371936120941,0.00046114825916532,0.00147366943689788,0.00194484265821897,0.00043107337269801,0.00063157261581337,2.00499243115357e-05,0.00010024962155767,0.00025062405389419,4.00998486230714e-05,2.00499243115357e-05,7.0174735090375e-05,0.00011027458371344,5.01248107788393e-05,1.00249621557679e-05,1.00249621557679e-05,0.00231576625798238,0.00011027458371344,0.00023057412958266,2.00499243115357e-05,0.0109071588254754,0.00015037443233651,0,0.00015037443233651,0,0,0,0,4.00998486230714e-05,3.00748864673036e-05,2.00499243115357e-05,0,0
