"samples","Pseudomonadota","Actinomycetota","Chloroflexota","Bacillota","Cyanobacteriota","Candidatus Melainabacteria","Candidatus Margulisbacteria","Deinococcota","Armatimonadota","Mycoplasmatota","Thermomicrobiota","Candidatus Kaiserbacteria","Candidatus Nomurabacteria","Candidatus Yanofskybacteria","Candidatus Azambacteria","Candidatus Falkowbacteria","Candidatus Magasanikbacteria","Candidatus Nealsonbacteria","Candidatus Uhrbacteria","Candidatus Giovannonibacteria","Candidatus Moranbacteria","Candidatus Zambryskibacteria","Candidatus Staskawiczbacteria","Candidatus Wolfebacteria","Candidatus Harrisonbacteria","Candidatus Taylorbacteria","Candidatus Buchananbacteria","Candidatus Portnoybacteria","Candidatus Adlerbacteria","Candidatus Sungbacteria","Candidatus Jorgensenbacteria","Candidatus Liptonbacteria","Candidatus Tagabacteria","Candidatus Ryanbacteria","Candidatus Wildermuthbacteria","Candidatus Komeilibacteria","Candidatus Kuenenbacteria","Candidatus Lloydbacteria","Candidatus Kerfeldbacteria","Candidatus Terrybacteria","Candidatus Yonathbacteria","Candidatus Niyogibacteria","Candidatus Campbellbacteria","Candidatus Colwellbacteria","Candidatus Vogelbacteria","Candidatus Spechtbacteria","Candidatus Brennerbacteria","Candidatus Andersenbacteria","Candidatus Parcubacteria","Candidatus Woesebacteria","Candidatus Gottesmanbacteria","Candidatus Roizmanbacteria","Candidatus Levybacteria","Candidatus Daviesbacteria","Candidatus Curtissbacteria","Candidatus Shapirobacteria","Candidatus Beckwithbacteria","Candidatus Amesbacteria","Candidatus Chisholmbacteria","Candidatus Collierbacteria","Candidatus Woykebacteria","Candidatus Pacebacteria","Candidatus Blackburnbacteria","Candidatus Microgenomates","Candidatus Gracilibacteria","candidate division NC10","Candidatus Rokubacteria","Candidatus Handelsmanbacteria","Candidatus Schekmanbacteria","Candidatus Aminicenantes","Candidatus Glassbacteria","candidate division WWE3","Candidatus Peregrinibacteria","Candidatus Doudnabacteria","Candidatus Berkelbacteria","Candidatus Gribaldobacteria","Candidatus Saccharibacteria","Candidatus Eisenbacteria","Candidatus Desantisbacteria","Candidatus Edwardsbacteria","Candidatus Lindowbacteria","Candidatus Ratteibacteria","Candidatus Dadabacteria","Candidatus Firestonebacteria","Candidatus Raymondbacteria","Candidatus Riflebacteria","Candidatus Wallbacteria","candidate division CPR1","Candidatus Coatesbacteria","Candidatus Bipolaricaulota","Candidatus Blackallbacteria","candidate division CPR2","Candidatus Fraserbacteria","Candidatus Fischerbacteria","Candidatus Sumerlaeota","candidate division WOR-3","Candidatus Wirthbacteria","Candidatus Abawacabacteria","Candidatus Absconditabacteria","candidate division CPR3","Candidatus Delongbacteria","Candidatus Calescamantes","Planctomycetota","Candidatus Omnitrophica","Verrucomicrobiota","Lentisphaerota","Chlamydiota","Kiritimatiellota","Thermodesulfobacteriota","Nitrospirota","Campylobacterota","Bacteroidota","Ignavibacteriota","Chlorobiota","Balneolota","Gemmatimonadota","candidate division Zixibacteria","Candidatus Marinimicrobia","Candidatus Hydrogenedentes","Fibrobacterota","Candidatus Cloacimonetes","Elusimicrobiota","Acidobacteriota","Myxococcota","Nitrospinota","Candidatus Tectomicrobia","Spirochaetota","Bdellovibrionota","Synergistota","Caldisericota","Fusobacteriota","Thermotogota","Atribacterota","Chrysiogenota","Aquificota","Calditrichota","Deferribacterota","Dictyoglomota","Coprothermobacterota","Nitrososphaerota","Candidatus Bathyarchaeota","Thermoproteota","Candidatus Korarchaeota","Euryarchaeota","Candidatus Woesearchaeota","Nanoarchaeota","Candidatus Micrarchaeota","Candidatus Diapherotrites","Candidatus Altiarchaeota","Candidatus Aenigmarchaeota","Candidatus Nanohaloarchaeota","Candidatus Thermoplasmatota","Candidatus Heimdallarchaeota","Candidatus Lokiarchaeota","Candidatus Odinarchaeota"
"mgm4518019",0.761790348046955,0.138395002402691,0.00068648314683874,0.00288322921672273,0.00789455618864557,0,0,0.00274593258735498,0.00041188988810324,0,6.86483146838745e-05,0.00109837303494199,0,0,0,0.00041188988810324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041188988810324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013729662936774,0,0,0,0,0,0,0,0,0,0,0,0,0.0365209034118212,0,0.00075513146152262,0,0,0,0.00151026292304524,0.00013729662936774,0,0.0296560719434338,0,6.86483146838745e-05,0,6.86483146838745e-05,0,0,0,0,0,0.00041188988810324,0.00741401798585845,0.00391295393698085,0,0,6.86483146838745e-05,0,0,0,0,0,0,0,0,0.00034324157341937,0,0,0,6.86483146838745e-05,0,0,0,0.00212809775520011,0,0,0,0,0,0,0,0,0,0,0
"mgm4533948",0.365644914092119,0.514455110107284,0.00292812777284827,0.00781640719528918,0.00257320319432121,1.61329353875938e-05,8.06646769379689e-06,0.00162136000645317,0.00039525691699604,0.00012906348310075,0.00027425990158909,0.00012099701540695,4.03323384689844e-05,2.41994030813907e-05,8.06646769379689e-06,2.41994030813907e-05,6.45317415503751e-05,8.06646769379689e-06,8.87311446317658e-05,8.06646769379689e-06,4.03323384689844e-05,4.83988061627813e-05,8.06646769379689e-06,2.41994030813907e-05,8.06646769379689e-06,0,2.41994030813907e-05,4.83988061627813e-05,3.22658707751875e-05,1.61329353875938e-05,8.06646769379689e-06,0,8.06646769379689e-06,3.22658707751875e-05,3.22658707751875e-05,0,2.41994030813907e-05,0,2.41994030813907e-05,0,0,0,0,0,0,8.06646769379689e-06,0,8.06646769379689e-06,0,4.03323384689844e-05,4.83988061627813e-05,5.64652738565782e-05,4.03323384689844e-05,1.61329353875938e-05,3.22658707751875e-05,8.06646769379689e-06,8.06646769379689e-06,0,0,8.06646769379689e-06,1.61329353875938e-05,0,8.06646769379689e-06,0,0,0.00012099701540695,0.00079051383399209,9.67976123255626e-05,0,0.00017746228926353,1.61329353875938e-05,1.61329353875938e-05,7.2598209244172e-05,2.41994030813907e-05,1.61329353875938e-05,8.06646769379689e-06,0.00043558925546503,0.00011293054771315,8.06646769379689e-06,8.06646769379689e-06,4.03323384689844e-05,8.06646769379689e-06,1.61329353875938e-05,0,0,0,2.41994030813907e-05,7.2598209244172e-05,8.06646769379689e-06,0,1.61329353875938e-05,0,8.06646769379689e-06,8.06646769379689e-06,3.22658707751875e-05,8.06646769379689e-06,0,8.06646769379689e-06,8.06646769379689e-06,0,8.06646769379689e-06,0,0.0198677099298217,0.00023392756312011,0.00344438170525127,0.00022586109542631,4.03323384689844e-05,6.45317415503751e-05,0.00247640558199564,0.00066951681858514,0.00037105751391465,0.0411631846414455,0.00021779462773251,0.0002581269662015,0,0.00163749294184077,3.22658707751875e-05,8.06646769379689e-06,0,8.06646769379689e-06,8.06646769379689e-06,0.00065338388319754,0.00703395982899088,0.00863112043236267,3.22658707751875e-05,4.03323384689844e-05,0.00041945632007743,0.0007663144309107,0.00010486408001936,0,0.00013712995079454,0.00011293054771315,1.61329353875938e-05,3.22658707751875e-05,8.06646769379689e-06,2.41994030813907e-05,1.61329353875938e-05,0,0,0.00825199645075421,8.06646769379689e-06,8.87311446317658e-05,0,0.00373477454222796,8.06646769379689e-06,0,1.61329353875938e-05,0,0,0,0,8.06646769379689e-06,8.06646769379689e-06,1.61329353875938e-05,8.06646769379689e-06
"mgm4533949",0.442359025110989,0.431061519483144,0.00131722921879247,0.00821003185046312,0.00170054989092785,4.87862673626841e-05,0,0.0009130001463588,0.0002787786706439,0.00013938933532195,0.00013938933532195,7.6664134427075e-05,9.06030679592704e-05,3.48473338304886e-05,1.39389335321955e-05,6.96946676609773e-05,0.00011848093502366,1.39389335321955e-05,4.87862673626841e-05,6.96946676609773e-06,6.27252008948795e-05,3.48473338304886e-05,2.09084002982932e-05,4.18168005965864e-05,0,6.96946676609773e-06,3.48473338304886e-05,0,1.39389335321955e-05,4.18168005965864e-05,6.96946676609773e-06,1.39389335321955e-05,0,6.96946676609773e-06,1.39389335321955e-05,1.39389335321955e-05,6.96946676609773e-06,2.09084002982932e-05,1.39389335321955e-05,1.39389335321955e-05,6.96946676609773e-06,6.96946676609773e-06,0,2.09084002982932e-05,0,0,0,6.96946676609773e-06,6.96946676609773e-06,6.27252008948795e-05,6.96946676609773e-05,2.78778670643909e-05,4.87862673626841e-05,6.96946676609773e-06,6.96946676609773e-06,1.39389335321955e-05,1.39389335321955e-05,1.39389335321955e-05,0,2.09084002982932e-05,6.96946676609773e-06,1.39389335321955e-05,6.96946676609773e-06,0,6.96946676609773e-06,0.00012545040178975,0.00045301533979635,7.6664134427075e-05,1.39389335321955e-05,0.00012545040178975,2.78778670643909e-05,2.78778670643909e-05,8.36336011931727e-05,2.09084002982932e-05,2.78778670643909e-05,0,0.00077361081103684,2.09084002982932e-05,2.78778670643909e-05,1.39389335321955e-05,4.87862673626841e-05,6.96946676609773e-06,2.09084002982932e-05,6.96946676609773e-06,6.96946676609773e-06,2.09084002982932e-05,3.48473338304886e-05,0,2.09084002982932e-05,0,2.09084002982932e-05,6.96946676609773e-06,0,0,0,0,0,0,6.96946676609773e-06,0,0,0,0.0103635970811873,0.00032059547124049,0.00243234390136811,0.00016029773562024,0.00010454200149146,6.96946676609773e-06,0.00181206135918541,0.00042513747273196,0.00039029013890147,0.0757650732142484,0.00021605346974903,0.00015332826885415,2.09084002982932e-05,0.0012196566840671,2.78778670643909e-05,1.39389335321955e-05,0,2.09084002982932e-05,0,0.00053664894098952,0.00471832900064816,0.00584738261675599,2.09084002982932e-05,4.18168005965864e-05,0.00044604587303025,0.00043210693949805,7.6664134427075e-05,0,0.00010454200149146,0.00012545040178975,3.48473338304886e-05,1.39389335321955e-05,6.96946676609773e-06,0,4.18168005965864e-05,0,0,0.00197932856157175,1.39389335321955e-05,2.78778670643909e-05,0,0.00264839737111714,6.96946676609773e-06,0,0,6.96946676609773e-06,0,0,0,0,1.39389335321955e-05,0,0
"mgm4533950",0.356627558970723,0.536281113703634,0.00340509032146361,0.00936605957671347,0.00233327012342422,1.64895415082984e-05,0,0.00161597506781324,0.00038750422544501,0.00014840587357468,0.00035452514242841,8.24477075414918e-05,4.12238537707459e-05,6.59581660331934e-05,1.64895415082984e-05,4.94686245248951e-05,5.77133952790443e-05,8.24477075414918e-06,8.24477075414918e-05,0,4.12238537707459e-05,8.24477075414918e-06,0,1.64895415082984e-05,8.24477075414918e-06,8.24477075414918e-06,4.94686245248951e-05,8.24477075414918e-06,1.64895415082984e-05,8.24477075414918e-06,0,8.24477075414918e-06,0,1.64895415082984e-05,0,4.12238537707459e-05,8.24477075414918e-06,8.24477075414918e-06,2.47343122624475e-05,8.24477075414918e-06,0,0,0,0,8.24477075414918e-06,0,0,0,0,3.29790830165967e-05,4.94686245248951e-05,4.12238537707459e-05,4.94686245248951e-05,6.59581660331934e-05,2.47343122624475e-05,1.64895415082984e-05,0,8.24477075414918e-06,0,0,4.94686245248951e-05,8.24477075414918e-06,0,0,0,9.0692478295641e-05,0.00074202936787342,9.89372490497902e-05,0,0.00021436403960787,2.47343122624475e-05,3.29790830165967e-05,7.42029367873426e-05,6.59581660331934e-05,3.29790830165967e-05,0,0.00033803560092011,0.00015665064432883,3.29790830165967e-05,8.24477075414918e-06,1.64895415082984e-05,0,8.24477075414918e-06,1.64895415082984e-05,8.24477075414918e-06,1.64895415082984e-05,0,0,1.64895415082984e-05,4.12238537707459e-05,0,0,0,0,8.24477075414918e-06,8.24477075414918e-06,0,0,0,0,8.24477075414918e-06,0,0.0194081903552672,0.00034628037167426,0.00263008187057359,0.00021436403960787,4.12238537707459e-05,2.47343122624475e-05,0.00239098351870326,0.00066782643108608,0.00032979083016596,0.0319072628185573,0.00019787449809958,0.00013191633206638,2.47343122624475e-05,0.00228380149889932,1.64895415082984e-05,2.47343122624475e-05,0,1.64895415082984e-05,0,0.00051942055751139,0.00624129146089093,0.00742853844948841,0.00010718201980393,4.12238537707459e-05,0.00051117578675724,0.00024734312262447,0.00015665064432883,0,6.59581660331934e-05,6.59581660331934e-05,0,0,4.12238537707459e-05,3.29790830165967e-05,8.24477075414918e-06,1.64895415082984e-05,0,0.00609288558731624,8.24477075414918e-06,0.00014016110282053,0,0.00394100042048331,0,0,0,0,0,0,0,2.47343122624475e-05,8.24477075414918e-06,8.24477075414918e-06,0
"mgm4543715",0.465165852136841,0.218519288759488,0.00158573359675575,0.0249948008734533,0.0053421025267755,7.79868982011022e-05,2.59956327337007e-05,0.00123479255485079,0.00051991265467401,0.00532910471040865,0.00011698034730165,7.79868982011022e-05,5.19912654674015e-05,9.09847145679526e-05,1.29978163668504e-05,6.49890818342518e-05,0.0002079650618696,2.59956327337007e-05,0.0001559737964022,0.00085785588021212,7.79868982011022e-05,2.59956327337007e-05,0.00111781220754913,5.19912654674015e-05,1.29978163668504e-05,3.89934491005511e-05,3.89934491005511e-05,5.19912654674015e-05,1.29978163668504e-05,2.59956327337007e-05,3.89934491005511e-05,1.29978163668504e-05,0,3.89934491005511e-05,3.89934491005511e-05,6.49890818342518e-05,3.89934491005511e-05,1.29978163668504e-05,5.19912654674015e-05,5.19912654674015e-05,1.29978163668504e-05,0,2.59956327337007e-05,0,3.89934491005511e-05,0,0,2.59956327337007e-05,2.59956327337007e-05,5.19912654674015e-05,7.79868982011022e-05,0.00122179473848393,3.89934491005511e-05,0.00227461786419881,9.09847145679526e-05,0,1.29978163668504e-05,2.59956327337007e-05,1.29978163668504e-05,0,1.29978163668504e-05,5.19912654674015e-05,0,0,0,0.00011698034730165,0.0002859519600707,7.79868982011022e-05,3.89934491005511e-05,0.00019496724550275,2.59956327337007e-05,0.0002339606946033,0.0001299781636685,3.89934491005511e-05,6.49890818342518e-05,1.29978163668504e-05,0.00083186024747842,3.89934491005511e-05,2.59956327337007e-05,1.29978163668504e-05,5.19912654674015e-05,0,0,0,0,1.29978163668504e-05,0,0,1.29978163668504e-05,1.29978163668504e-05,2.59956327337007e-05,0,1.29978163668504e-05,0,1.29978163668504e-05,1.29978163668504e-05,0,1.29978163668504e-05,0,1.29978163668504e-05,0,0,0.0104632421753145,0.00040293230737236,0.00380836019548716,0.00024695851097015,0.00019496724550275,5.19912654674015e-05,0.00295050431527503,0.00066288863470936,0.00276853488613913,0.223198502651555,0.00057190392014141,0.0002859519600707,1.29978163668504e-05,0.00062389518560881,0.00046792138920661,6.49890818342518e-05,0,1.29978163668504e-05,0,0.00059789955287511,0.00427628158469377,0.00557606322137881,9.09847145679526e-05,9.09847145679526e-05,0.00107881875844858,0.00055890610377456,7.79868982011022e-05,0,0.0002859519600707,0.0003119475928044,2.59956327337007e-05,1.29978163668504e-05,7.79868982011022e-05,1.29978163668504e-05,5.19912654674015e-05,2.59956327337007e-05,1.29978163668504e-05,0.00378236456275346,0,0.0002339606946033,0,0.00297649994800873,2.59956327337007e-05,0,6.49890818342518e-05,0.00011698034730165,7.79868982011022e-05,0,1.29978163668504e-05,9.09847145679526e-05,6.49890818342518e-05,0,1.29978163668504e-05
"mgm4543716",0.460234680573664,0.263545677814499,0.00294108729268367,0.0175252418058882,0.00706467359995149,3.03204875534399e-05,0,0.00148570389011855,0.00036384585064127,0.00133410145235135,0.00045480731330159,0.00018192292532063,0.00015160243776719,0,3.03204875534399e-05,0.00015160243776719,9.09614626603196e-05,0.00012128195021375,0.00012128195021375,0.00036384585064127,0.00018192292532063,6.06409751068797e-05,3.03204875534399e-05,0,6.06409751068797e-05,0,6.06409751068797e-05,9.09614626603196e-05,3.03204875534399e-05,6.06409751068797e-05,0,6.06409751068797e-05,6.06409751068797e-05,9.09614626603196e-05,0,0,6.06409751068797e-05,0,0.00012128195021375,0,6.06409751068797e-05,3.03204875534399e-05,0,0,0,6.06409751068797e-05,0,0,0,3.03204875534399e-05,0.00018192292532063,0.00051544828840847,0.00015160243776719,0.00021224341287407,0.00045480731330159,9.09614626603196e-05,0,0,0,0,3.03204875534399e-05,3.03204875534399e-05,0,0,0,0.00018192292532063,0.00036384585064127,0.00015160243776719,0,0.00012128195021375,6.06409751068797e-05,0.00021224341287407,0.00030320487553439,6.06409751068797e-05,9.09614626603196e-05,0,0.00057608926351535,9.09614626603196e-05,9.09614626603196e-05,0,0,3.03204875534399e-05,0,0,0,3.03204875534399e-05,0,3.03204875534399e-05,3.03204875534399e-05,3.03204875534399e-05,3.03204875534399e-05,0,3.03204875534399e-05,0,0,0,0,0,0,3.03204875534399e-05,3.03204875534399e-05,0,0.0245292744307328,0.00036384585064127,0.00724659652527213,0.00045480731330159,9.09614626603196e-05,3.03204875534399e-05,0.0038810224068403,0.00142506291501167,0.00148570389011855,0.159394803068433,0.00042448682574815,0.00027288438798095,9.09614626603196e-05,0.00103089657681696,9.09614626603196e-05,0.00015160243776719,0,3.03204875534399e-05,0,0.00093993511415663,0.00606409751068797,0.00682210969952397,0.00030320487553439,3.03204875534399e-05,0.00151602437767199,0.00093993511415663,0,0,9.09614626603196e-05,6.06409751068797e-05,0,3.03204875534399e-05,9.09614626603196e-05,3.03204875534399e-05,0.00012128195021375,0,0,0.0159182559655559,0,0.00033352536308783,0,0.00400230435705406,0,0,3.03204875534399e-05,3.03204875534399e-05,3.03204875534399e-05,0,0,0,3.03204875534399e-05,0,0
"mgm4543717",0.471100774117402,0.282153643211719,0.00312424063595654,0.0249244975179644,0.00600548477800535,6.94275696879231e-05,0,0.00177040302704204,0.00059013434234734,0.00055542055750338,0.0004512792029715,0.0001735689242198,0,6.94275696879231e-05,3.47137848439615e-05,0.00048599298781546,0.0001735689242198,6.94275696879231e-05,3.47137848439615e-05,3.47137848439615e-05,0.00010414135453188,3.47137848439615e-05,3.47137848439615e-05,3.47137848439615e-05,3.47137848439615e-05,0.00010414135453188,3.47137848439615e-05,0.00010414135453188,0,0.00013885513937584,3.47137848439615e-05,0.00010414135453188,0,0,0,3.47137848439615e-05,0,6.94275696879231e-05,3.47137848439615e-05,0,3.47137848439615e-05,3.47137848439615e-05,0,0,3.47137848439615e-05,0,0,0,0,0.00013885513937584,0.00024299649390773,0.00024299649390773,0.00027771027875169,0.00041656541812753,0.00215225466032562,0,3.47137848439615e-05,0,0,3.47137848439615e-05,3.47137848439615e-05,0.00010414135453188,0,0,3.47137848439615e-05,6.94275696879231e-05,0.00079841705141111,0.00020828270906376,0.0001735689242198,0.00027771027875169,0.0001735689242198,0,0.00031242406359565,6.94275696879231e-05,3.47137848439615e-05,0,0.0004512792029715,0.00010414135453188,0,0,6.94275696879231e-05,3.47137848439615e-05,0,0,0,0,3.47137848439615e-05,0,0,0,0,0,6.94275696879231e-05,0,3.47137848439615e-05,0,0,3.47137848439615e-05,0,0,3.47137848439615e-05,0,0.022563960148575,0.00020828270906376,0.00381851633283577,0.00041656541812753,0.00024299649390773,6.94275696879231e-05,0.00416565418127538,0.00124969625438262,0.0013538376089145,0.132224806470649,0.0004512792029715,0.00034713784843961,0,0.00121498246953865,3.47137848439615e-05,0,0,3.47137848439615e-05,0,0.00111084111500677,0.0058666296386295,0.00725518103238796,0.00020828270906376,6.94275696879231e-05,0.00076370326656715,0.00059013434234734,6.94275696879231e-05,0,0.00024299649390773,0.0001735689242198,6.94275696879231e-05,0,6.94275696879231e-05,3.47137848439615e-05,6.94275696879231e-05,0,0,0.0104488492380324,3.47137848439615e-05,0.0001735689242198,0,0.00479050230846669,3.47137848439615e-05,0,0,0,0,0,0,0,0,0,0
"mgm4553173",0.373013431764585,0.519019788782939,0.00307597662257767,0.00912539731364708,0.00164052086537476,0,0,0.0009227929867733,0,0.00030759766225776,0.00030759766225776,0.00030759766225776,0,0,0,0,0,0,0,0.00010253255408592,0,0.00010253255408592,0,0,0,0.00010253255408592,0,0.00010253255408592,0.00020506510817184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010253255408592,0.00010253255408592,0,0,0,0.00020506510817184,0,0.00010253255408592,0,0,0,0,0,0,0,0,0.00010253255408592,0.0009227929867733,0.00020506510817184,0,0.00010253255408592,0,0,0,0.00010253255408592,0,0,0.00041013021634368,0,0,0,0,0,0.00010253255408592,0,0,0,0,0.00010253255408592,0.00010253255408592,0,0,0,0,0,0.00010253255408592,0,0,0,0,0,0,0,0.0185583922895519,0.00061519532451553,0.00317850917666359,0.00010253255408592,0.00010253255408592,0,0.00215318363580437,0.00051266277042961,0.00020506510817184,0.0371167845791039,0.00010253255408592,0.00020506510817184,0,0.00112785809494515,0,0,0,0,0,0.00071772787860145,0.00707474623192864,0.00861273454321747,0,0.00020506510817184,0.00041013021634368,0.00010253255408592,0,0,0.00010253255408592,0,0,0,0,0,0,0,0,0.00584435558289757,0,0,0,0.0018455859735466,0,0,0,0,0,0,0,0,0,0,0
"mgm4553174",0.494082840236686,0.282248520710059,0.00059171597633136,0.00236686390532544,0.00532544378698225,0,0,0.00157790927021696,0.00019723865877712,0,0,0.00019723865877712,0,0,0,0,0,0,0.00019723865877712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019723865877712,0,0,0,0,0,0,0,0.00019723865877712,0,0,0,0,0,0,0.00039447731755424,0,0,0,0,0,0,0,0.00019723865877712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258382642998028,0,0.00157790927021696,0.00019723865877712,0,0,0.00236686390532544,0.00019723865877712,0,0.16094674556213,0,0,0,0.00019723865877712,0,0,0,0,0,0.00019723865877712,0.00374753451676529,0.0096646942800789,0,0,0,0.00019723865877712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00710059171597633,0,0,0,0,0,0,0,0,0,0,0
"mgm4553178",0.361419068736142,0.31729490022173,0.00044345898004434,0.00399113082039911,0.00532150776053215,0,0,0.00288248337028825,0,0.00022172949002217,0.00110864745011086,0.00088691796008869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044345898004434,0.00110864745011086,0,0,0.00022172949002217,0,0,0,0,0,0,0,0.00022172949002217,0,0,0,0,0,0,0,0,0,0,0,0.00022172949002217,0,0,0,0,0,0,0,0,0,0,0,0,0.0678492239467849,0,0.00842572062084257,0.00022172949002217,0,0,0.00443458980044346,0.00022172949002217,0,0.202439024390244,0.00022172949002217,0,0,0.00155210643015521,0,0,0,0,0,0.00022172949002217,0.00753880266075388,0.00310421286031042,0,0,0.00443458980044346,0,0.00044345898004434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310421286031042,0,0,0,0,0,0,0,0,0,0,0
