#OTU ID	mgm4551388	mgm4551389	mgm4630419	mgm4559916	mgm4559918	mgm4559917	mgm4559927	mgm4559919	mgm4702051	mgm4698592	mgm4702047	mgm4702048	mgm4679715	mgm4679721	mgm4679712	mgm4698593	mgm4698588	mgm4698594	mgm4679716	mgm4532156	mgm4641382	mgm4702050	mgm4698586	mgm4698587	mgm4631155	mgm4698595	mgm4698589	mgm4702049	mgm4698590	mgm4698585	mgm4679713	mgm4702046	mgm4698591	mgm4688575	mgm4688577	mgm4688578	mgm4688579	mgm4688580	mgm4688582	mgm4688584	mgm4688585	mgm4688586	mgm4533663	mgm4533664	mgm4533665	mgm4533666	mgm4533667	mgm4533668	mgm4533669	mgm4533670	mgm4533671	mgm4533672	mgm4533673	mgm4533674	mgm4533675	mgm4533676	mgm4533677	mgm4533678	mgm4533679	mgm4533680	mgm4549286	mgm4549287	mgm4549294	mgm4549295	mgm4549326	mgm4549327	mgm4549328	mgm4549329	mgm4549332	mgm4549333	mgm4549334	mgm4549335	mgm4549336	mgm4549337	mgm4549338	mgm4549339	mgm4549340	mgm4549341	mgm4549342	mgm4549343	mgm4549344	mgm4549345	mgm4549346	mgm4549347	mgm4549358	mgm4549359	mgm4549360	mgm4549361	mgm4549362	mgm4549363	mgm4549364	mgm4549382	mgm4549383	mgm4549386	mgm4549387	mgm4549388	mgm4549389	mgm4549390	mgm4549391	mgm4549392	mgm4549393	mgm4549394	mgm4549395	mgm4549396	mgm4549397	mgm4549398	mgm4549399	mgm4549400	mgm4549401	mgm4549410	mgm4549411	mgm4549414	mgm4549415	mgm4534330	mgm4534331	mgm4534328	mgm4534329	mgm4534346	mgm4534347	mgm4534348	mgm4534349	mgm4534350	mgm4534351	mgm4534338	mgm4534339	mgm4534340	mgm4534341	mgm4534344	mgm4534345	mgm4534342	mgm4534343	mgm4534334	mgm4534335	mgm4534337	mgm4534332	mgm4534333	mgm4628877	mgm4628878	mgm4628879	mgm4628880	mgm4628881	mgm4533806	mgm4533809	mgm4533810	mgm4533812	mgm4533813	mgm4533743	mgm4533744	mgm4533745	mgm4533746	mgm4533747	mgm4533748	mgm4533749	mgm4533750	mgm4533798	mgm4533799	mgm4533800	mgm4533801	mgm4533803	mgm4533804	mgm4533805	mgm4533767	mgm4533768	mgm4533769	mgm4533771	mgm4533772	mgm4533773	mgm4533774	mgm4533728	mgm4533729	mgm4533730	mgm4533731	mgm4533732	mgm4533733	mgm4533734	mgm4533735
Pseudomonadota	0.862184685944404	0.849311509482983	0.796711181208227	0.275767918088737	0.382309582309582	0.19115936409461	0.225337212377678	0.32488038277512	0.629174355787159	0.756545393852322	0.680943492411578	0.639803249574644	0.655037196230782	0.607478051060274	0.599684463885269	0.606841222560975	0.624992204107819	0.64526031643306	0.591417315072704	0.72235491642864	0.718304199316858	0.541591629335489	0.532870134975603	0.550116911838993	0.338603046852544	0.604981429270659	0.538259219902256	0.547775837460682	0.541890287463921	0.608158200348291	0.63389882111241	0.575421272547338	0.659108215105043	0.597437536329036	0.700343886009855	0.822501104521981	0.57906976744186	0.821444434247958	0.764024195671772	0.631834871991347	0.675665589721031	0.618886519180386	0.105682383898727	0.0877354157096922	0.0918050954362717	0.0822895528654398	0.0783615136876007	0.0802183131773206	0.0814851981936779	0.0781157725309464	0.0790871369294606	0.0788184045739178	0.094772433453774	0.101511309463434	0.0758116883116883	0.062544420753376	0.0646857999333851	0.0693659621802002	0.0925977266426393	0.0853360649279017	0.493469602905002	0.491555726702608	0.627058360991488	0.634482646217535	0.647861924757659	0.516942723507223	0.451345332040344	0.467578401320443	0.581115879828326	0.577185225864633	0.485615250394425	0.486213472506248	0.516972451434506	0.516572912320043	0.635701275045537	0.638202854815665	0.727650529520832	0.728534286051945	0.668896407510156	0.668030784711884	0.543514118180879	0.480285252671806	0.618799910002372	0.625578831312018	0.599421159534804	0.598429597914998	0.528108545607134	0.526763606060526	0.595428860771572	0.594052650585728	0.469122920393736	0.598339433041994	0.597128110756331	0.695360099984377	0.69995105237396	0.622250941288646	0.537691449251048	0.574015102121829	0.577444024544524	0.794318181818182	0.811087626430688	0.631347367874847	0.455532574974147	0.563704606333073	0.56072528224427	0.308461859107962	0.639973011824867	0.58443915537599	0.491003855856595	0.627058360991488	0.634482646217535	0.589038376275631	0.587828618816299	0.504642668763249	0.50347968123546	0.453365303847152	0.451613889228512	0.516141781330951	0.515125587452106	0.474853219844056	0.47513904710849	0.590835912118846	0.595502218636547	0.703020740073899	0.701338892244922	0.689327945153783	0.689016196336375	0.509578544061303	0.515223074976807	0.584220335473183	0.580642495609958	0.688576630609403	0.688921960104001	0.647885679384925	0.432571243361839	0.432256774322568	0.506249625097475	0.404576218389828	0.460414725974228	0.692098666610494	0.488347299371189	0.547422274695002	0.549941588785047	0.538901844392622	0.548223722842043	0.539248021108179	0.502080443828017	0.485487214927436	0.491779320423822	0.497179693795326	0.491443452380952	0.485005553498704	0.485455522296416	0.51007326007326	0.427772786263352	0.419184511586976	0.413107511045655	0.434351775392238	0.430373163437784	0.421531003837609	0.42789105521655	0.42998321834794	0.439553674490189	0.460758466842425	0.433925997116771	0.433637140415836	0.425593746868424	0.435973290507987	0.35920299427565	0.354639349813749	0.356808974758492	0.362816024893038	0.36555784098163	0.377925253230877	0.358303754903792	0.357671957671958
Actinomycetota	0.0556518820963141	0.0288603100372391	0.142037154344369	0.157679180887372	0.344963144963145	0.146180690189996	0.0938905051573658	0.264593301435407	0.176531051297987	0.163595286792655	0.21626862660705	0.24930127006863	0.122598776657299	0.183498263474501	0.199020794358952	0.295929186229058	0.248120404351776	0.216649588515913	0.202061254529931	0.124764031004528	0.163351416515973	0.257756150636505	0.331046906151692	0.273228399854405	0.0005748778384593	0.281313438918136	0.32638691588974	0.313415321157493	0.33129497208152	0.307179087545681	0.144455718274739	0.308616326294805	0.206201296556632	0.214495535843535	0.14484245731839	0.0800534999062464	0.168003422856481	0.0857313939616408	0.0829053986897789	0.289032317172566	0.134171518953225	0.0397342240903472	0.0660692696109807	0.0528249885163068	0.0524398439065797	0.0500514809520477	0.0418478260869565	0.0566986021674258	0.0559959859508279	0.0474878125036186	0.0392946058091286	0.0609855703784372	0.0470381542745384	0.083517598133685	0.0335227272727273	0.0401563610518834	0.0310314200066615	0.0294994438264739	0.0573884114222345	0.0512173981561737	0.3978856741244	0.399136318626912	0.292545555951761	0.285223003642705	0.221460491433226	0.174194118220626	0.296713453518108	0.289554350389059	0.325321888412017	0.331477204460842	0.310116081037311	0.305514704847245	0.134035230524503	0.135146147418358	0.267152398299939	0.271952571069955	0.165218059159482	0.164916682575613	0.246943765281174	0.247236690432071	0.336687747366283	0.272336001122682	0.25791257302454	0.246527012127894	0.291857266148722	0.29269520772439	0.301590074874487	0.302502129782722	0.223113967297581	0.223935086259357	0.24696169482633	0.304192354254284	0.306709605869306	0.206998906420872	0.209495839451787	0.160500789497982	0.147342481645528	0.0924913402634973	0.0927882964034028	0.134090909090909	0.120638306779222	0.17378395034003	0.135987590486039	0.289678638301539	0.28908655490934	0.610671112963735	0.224452200417387	0.271746730153543	0.214291141411863	0.292545555951761	0.285223003642705	0.260115452947628	0.259946852621555	0.360794578079438	0.361243379696085	0.443010522778991	0.444446142560215	0.344654417671545	0.344662220255933	0.422385138703364	0.423842390940159	0.247168156096056	0.24444780601497	0.220948810153881	0.221828300933858	0.188066073337946	0.188116399871121	0.300383141762452	0.296618031542549	0.246904120936012	0.252432599938023	0.215366820177787	0.216486193008034	0.243479198103039	0.433244408985514	0.430706929307069	0.155153410113371	0.0754594625208847	0.232310588417948	0.0985402228635224	0.231926769974603	0.198051948051948	0.207067757009346	0.204579181683273	0.200381679389313	0.195580474934037	0.304438280166435	0.328956461644782	0.323468517841919	0.321514907332796	0.318576388888889	0.31803035912625	0.326771049197943	0.307692307692308	0.322252171308775	0.312701672044588	0.315169366715758	0.314616019818332	0.326745546742946	0.32175318117552	0.321178746837327	0.307663621107589	0.298422470180839	0.2867572500507	0.298414223930803	0.302335516946739	0.301633430203427	0.300228214014031	0.477873183619551	0.481374873010498	0.478549911706658	0.46441073512252	0.471451876019576	0.453719874257772	0.481038669904726	0.483068783068783
Chloroflexota	0.0006152469377481	0.0001515545163245	0.00012927746823	0.0	0.0024570024570024	0.0019387359441644	0.0015868817773075	0.0057416267942583	0.0041310895443897	0.0036538606951778	0.0052347698447151	0.0068927756463104	0.0035708381550669	0.0061929102139995	0.0078276403631739	0.0032278866784053	0.0073436095681825	0.0068291314459374	0.0081250553449431	0.0002893571160625	0.0002009242515571	0.0074495449718193	0.0102715055439493	0.0078149976541513	0.0	0.0097754901808791	0.0140013568617063	0.0136394003095027	0.0132607378239335	0.0016845027515549	0.0049732059565243	0.0088887588375511	0.011648909290071	0.0003594486672115	0.0014299801998776	0.0003287411507469	0.0034255305873229	0.0011016793612921	0.0014001963413549	0.0014075775982181	0.0014520107068826	0.0002176791771727	0.0032003413697461	0.00367478180983	0.0025819077822709	0.0025390605475973	0.0019323671497584	0.0020417779173865	0.0017059708981435	0.0016327192301902	0.0013278008298755	0.0023141845902532	0.002287267544005	0.0032051932244649	0.0012987012987013	0.0003553660270078	0.0018596647052292	0.0016017797552836	0.0019406709176601	0.0030730438893704	0.0007028230057397	0.0009351963912421	0.0012343308555284	0.0012468319873524	0.0045056585929795	0.0027244954042996	0.0020235090830548	0.0025937278943645	0.0008583690987124	0.0021416335513762	0.0013269389503599	0.0013875684751199	0.0004981989246133	0.0005054028198504	0.002428658166363	0.0035484904728205	0.0013370215021205	0.001336730272149	0.0023694392830686	0.0024376547316907	0.001474588204081	0.0011838824304539	0.00127361508717	0.0011025358324145	0.0020500599809033	0.0021605299909113	0.0018726088397889	0.0019466612172537	0.0040144792317788	0.0040119082114226	0.0011895848837379	0.0014030496210716	0.0016330709045262	0.0017184814872676	0.0009789525208027	0.0015715346727803	0.0012688002162665	0.0003277213647056	0.0003350860704932	0.0007575757575757	0.0005446376472337	0.0008151680398333	0.0005170630816959	0.0009354522557784	0.0010263427984947	0.0008336807002917	0.0019047277169428	0.0021128690016705	0.0014354582185868	0.0012343308555284	0.0012468319873524	0.00237603967593	0.0024584955757605	0.0005075586429275	0.0005246745532841	0.0004887212303556	0.00041264213229	0.000730300153363	0.0007220548093858	0.000403839582492	0.0005025799102057	0.000501296622996	0.0005658643718345	0.000336352259743	0.0002673823270184	0.000381313290144	0.0004007827050475	0.0007024265644955	0.0005060301931348	0.0004762890867674	0.000475157525049	0.0004969476277176	0.0005191411674619	0.0003952001149673	0.0003490488419058	0.0002249775022497	0.0009110131365844	0.0003624727437487	0.0014749262536873	0.0013481347292145	0.0027909440317257	0.0028532073986619	0.0017523364485981	0.0019079923680305	0.0024955960070463	0.0023087071240105	0.0006934812760055	0.0031098825155494	0.0018268176835951	0.0024174053182917	0.0012400793650793	0.0012958163643095	0.0013047816409547	0.0009157509157509	0.0005989817310572	0.0002933411557641	0.0007363770250368	0.0	0.0010401768300611	0.0016158351848111	0.0016371483851763	0.0009323140033563	0.0011542901115813	0.0008111944838775	0.0009610764055742	0.0008544574195385	0.0008016835354243	0.0008452370890034	0.0018714222809335	0.0013545546901456	0.0009348706762231	0.0020225593154414	0.0014185403220086	0.0013971358714635	0.0007472445357743	0.0021164021164021
Bacillota	0.0058168801387102	0.0021434138737334	0.004304939692061	0.120819112627986	0.0353808353808354	0.129119813881349	0.224808251785242	0.062200956937799	0.0091117273031505	0.0054933320546419	0.0062496028579013	0.0063966244460952	0.0175345787182454	0.0143224309117451	0.0136544071759804	0.0101019861357303	0.0075181408598059	0.009808109708905	0.0160053398471895	0.0062939504436953	0.0154711673699015	0.0082056979765886	0.0064503532677818	0.0089258158225071	0.0026827632461435	0.0065853555901549	0.0091326970979808	0.0099461182238115	0.0070085850748754	0.0079240962069681	0.0186693371595861	0.0057513953633196	0.0069727303268381	0.0620692573398572	0.0248999039634783	0.0232907270852932	0.0419763430700527	0.0204937138662017	0.03185315898593	0.0166535586250715	0.0196824348545897	0.153404217274916	0.756205106322452	0.575103353238401	0.621296612867097	0.465067924867799	0.45006038647343	0.527171352285221	0.622980431510286	0.596278326520687	0.65701244813278	0.664034848897359	0.654025922365499	0.526300841870372	0.526866883116883	0.6727078891258	0.680484623070945	0.606362625139043	0.551982256723039	0.575841147269719	0.0118601382218578	0.0106263982102908	0.0162291649523183	0.0154509375687591	0.0133758368325903	0.183668855969907	0.0174746369397663	0.018391888705494	0.015450643776824	0.0124727678714546	0.0101563071393495	0.0095276260800932	0.0062632287015166	0.0060650992808627	0.0109289617486339	0.0101026825653283	0.008416198508085	0.0077086420426481	0.0094300422952268	0.00911718231405	0.0151431341006389	0.134072163249788	0.0081076692348422	0.0099228224917309	0.0142415273036852	0.0135015311341159	0.0201865440959062	0.0194467076611138	0.0273586353047562	0.0268486679865236	0.0087655045152661	0.0166861437478569	0.0160656397006849	0.0076550538978284	0.0063631913852178	0.0378697886371359	0.148715203935183	0.135903177928768	0.133762960943104	0.0109848484848485	0.0080802868510375	0.013651135418605	0.294725956566701	0.0133971225611698	0.0147109134450907	0.0362651104626928	0.0104069275088478	0.017575946604582	0.164720403783513	0.0162291649523183	0.0154509375687591	0.0111349109746266	0.0110776331745116	0.0152168071575721	0.0154036529228332	0.0157765322174199	0.0159860618657538	0.0175658666300085	0.0174169636969206	0.0178776676710882	0.0160490517992361	0.0152413454030136	0.0153847877728475	0.010402188268231	0.010462571425742	0.0119858167180326	0.0121177829643775	0.017816091954023	0.019313485704647	0.014640712362808	0.01369693213511	0.0125179393809575	0.0120700321434906	0.0134637493712725	0.0159066543668503	0.0177482251774823	0.0143625157459061	0.0075977685271713	0.0208575919888216	0.0111010469108757	0.018551968600182	0.0251869342778434	0.0198598130841121	0.0252278990884036	0.0245889606576629	0.0201187335092348	0.0159500693481276	0.0193503800967519	0.020460358056266	0.0201450443190975	0.0186011904761905	0.0205479452054795	0.0197252283367872	0.0228937728937729	0.0381351702106419	0.0352009386916984	0.0360824742268041	0.0355078447563997	0.0305551943830451	0.0317107655019188	0.034231284417324	0.0179004288644415	0.0173913043478261	0.0206854593388765	0.0209835015217043	0.0190828823696952	0.0193406152921134	0.0185106922491759	0.019374724790841	0.0177785303081612	0.0195284096811052	0.0210812913263322	0.0180863891056103	0.0192106182326231	0.0188679245283019	0.0158730158730159
Cyanobacteriota	0.0351809385312378	0.0025980774227072	0.000116349721407	0.009556313993174	0.0058968058968059	0.0062039550213261	0.0243321872520497	0.0110047846889952	0.085210594253478	0.0029814411466911	0.0031709675913539	0.0036068035076517	0.0064164875737036	0.0040818515552113	0.0040660838708432	0.0133929163250582	0.006633881213326	0.0033153374093817	0.0041544211629037	0.0033787208162989	0.0038175607795861	0.0951399492041109	0.0304430563715094	0.0476065423574464	0.655360735843633	0.0037150317706753	0.003079058258438	0.0032744063017534	0.0023152484738801	0.0029112678801548	0.0091060118171827	0.0023495524858437	0.0025101180776726	0.0008694470859937	0.0358489953280784	0.0007278980926575	0.0026589533546667	0.0047026704597595	0.0107303340418594	0.001509606151935	0.0119545865934781	0.0022519429162272	0.0030581039755351	0.0013780431786862	0.0024758019829994	0.0027989643831782	0.0027777777777777	0.0025914873566829	0.0025087807325639	0.0022695955256545	0.0027385892116182	0.0038115981486523	0.0028839460337454	0.0026980423978091	0.002840909090909	0.0028429282160625	0.002220495170423	0.0032035595105673	0.0027723870252287	0.0019698999290836	0.0028991448986763	0.0029889610151465	0.001901783836666	0.0019721133394724	0.0048373800656071	0.0031643673954287	0.0532878809895918	0.0514029709974063	0.0214592274678112	0.0178975890767629	0.133706339006781	0.137644728037517	0.0282880581252164	0.0283200771270186	0.0060716454159077	0.0067391275320131	0.0060123745863778	0.0059355521010415	0.0084598406085868	0.0083580577326736	0.0017774437348415	0.0014484121157286	0.0542920377999048	0.0579933847850055	0.0023956363780353	0.002352119678636	0.0021085515803683	0.0022518637257529	0.002875462234349	0.0028409753238145	0.111748923958213	0.0013015821921163	0.001346674141419	0.0037494141540384	0.0022026431718061	0.0017017963993669	0.001319063179866	0.0019193518241356	0.0019600461696617	0.006060606060606	0.0055612843367338	0.0017935370732677	0.0015511892450879	0.0054665491197055	0.0051317139924734	0.0008336807002917	0.0031023891768824	0.0026865619094088	0.0019843304551141	0.001901783836666	0.0019721133394724	0.0029037665874019	0.0029288116514298	0.0022889899583005	0.0024550809285749	0.0066893718404936	0.0067703875779435	0.0426967836722069	0.0428558311143017	0.0104532322698891	0.0095825236212557	0.027089298281131	0.027363184079602	0.0168918083385682	0.0170877113063112	0.0472199509403107	0.0473237931332563	0.0641123882503193	0.0645188496246943	0.0210602609235867	0.0210102262163	0.005702045624933	0.005697574312895	0.0119098943737875	0.0027425266149742	0.0028497150284971	0.0075017995321216	0.0021040410047291	0.0146473761838224	0.0867651085880395	0.0334166315818066	0.0399449035812672	0.035338785046729	0.0390078439686241	0.0357457428068115	0.0471635883905013	0.0201109570041609	0.0234968901174845	0.02021678236512	0.0217566478646253	0.0220320767195767	0.0231395779340985	0.0199171079898688	0.0228937728937729	0.0700808625336927	0.0777354062775007	0.0751104565537555	0.0660611065235343	0.0711220907554284	0.0765501918804282	0.0714392022622414	0.0220026104792094	0.0203155059638322	0.0216994524437234	0.0190613487105558	0.0219310737681572	0.0226475598757391	0.0191868819203787	0.0471158080140907	0.0484253301727057	0.0490287732419238	0.0473745624270712	0.0446130931271721	0.0464547677261614	0.0468895946198393	0.0380952380952381
Candidatus Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0005289605924358	0.0	3.77683224171726e-05	1.95492243937435e-05	1.91245127105007e-05	5.88321581282902e-06	0.0003019782884223	0.0001567676167609	9.43605961588089e-05	2.50406468617736e-05	2.03055796348573e-05	5.15656075374726e-05	0.0001745976318212	9.52972537930473e-06	0.0	2.16527034922766e-05	1.02451608446345e-05	2.23167020273945e-05	0.0	1.32885362012947e-05	1.24699163268614e-05	1.69683477289563e-05	6.67671315622763e-06	1.59182326375415e-05	0.0003120048260101	5.25207325591777e-06	1.05364982272342e-05	1.6480298248857e-05	2.26817335236537e-05	1.56926620307592e-05	5.16993947605338e-05	1.97302009727448e-05	3.66178370715495e-05	3.5992580174216e-05	1.69627419028352e-05	1.2957093879328e-05	0.0	0.0	4.71581330095142e-05	4.99815068424683e-05	4.02576489533011e-05	3.92649599497409e-05	0.0	9.2636552067532e-05	0.0	0.0	0.0	0.0	0.0001623376623376	0.0	2.77561896302876e-05	0.0001334816462736	0.0	0.0	0.0	1.83371841420032e-05	2.74295745672985e-05	4.07461433775293e-05	3.32620446808147e-05	2.97328980087266e-05	4.20122794478895e-05	0.0	0.0	4.32090075448503e-05	2.92553469370697e-05	3.42551568088459e-05	1.25987633492114e-05	1.32721328742237e-05	0.0	2.47025677317702e-05	2.21161451478585e-05	2.57573415999248e-05	1.27239565460979e-05	1.30684738059739e-05	1.85932557255607e-05	1.65891497545142e-05	1.55401310370875e-05	0.0	2.15985248207547e-05	2.37507877344599e-05	4.33059460557243e-05	3.71550879912102e-05	3.849129310686e-05	3.90152364014059e-05	2.8371700804653e-05	1.39955074421111e-05	2.437419260487e-05	0.0	0.0	1.52334716055861e-05	1.83391894214122e-05	2.86088283727443e-05	2.97359809010043e-05	0.0	5.76675155894517e-05	2.28760367099014e-05	0.0	5.38500476188278e-05	0.0	0.0	2.12119877101007e-05	2.93391337553053e-05	2.58704111484225e-05	2.74295745672985e-05	4.07461433775293e-05	1.83943274431314e-05	2.16046253841053e-05	4.97606512674038e-05	3.95980794931446e-05	4.58176153458466e-05	7.64152096833354e-05	9.45094316116865e-05	8.34745444376737e-05	4.65968749029232e-05	6.70106546940964e-05	6.74822377110025e-05	7.84366456008247e-05	5.93562811311329e-05	3.46606720209152e-05	6.28970375495314e-05	2.75046954444366e-05	6.38569604086846e-05	8.43383655224762e-05	0.000103541105819	2.06590228282202e-05	4.71243440077113e-05	2.59570583730981e-05	4.49091039735575e-05	4.98641202722581e-05	0.0	0.0001087217323495	4.24772746580579e-05	0.000140700201832	8.42584205759063e-05	0.000129021743559	0.0001967729240456	0.0	0.0002119991520033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001851166234727	0.0001535037224652	0.0	0.000199660577019	0.0002933411557641	0.0007363770250368	0.0	0.0001300221037576	0.0004039587962027	0.0005953266855186	0.0	0.0001539053482108	0.0	0.0	0.0	0.000200420883856	0.0001690474178006	0.0	0.0	0.0	0.0	7.09270161004327e-05	0.0	0.0	0.0
Candidatus Margulisbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002644802962179	0.0	5.73696036716546e-06	4.42623948537589e-06	5.55227788369376e-06	3.13771510017548e-06	1.76337686669973e-05	1.94486141094391e-05	1.93010310324836e-05	1.03108545901421e-05	2.41733090891159e-06	9.69811884879072e-06	1.75433027188778e-05	3.46535468338354e-06	0.0	1.18413222223388e-05	4.09806433785379e-06	1.17638429291692e-05	0.0	1.7718048268393e-06	3.70727242149935e-06	2.90885961067823e-06	4.32022615991199e-06	8.13598557029898e-06	3.71134772874955e-05	1.87574044854206e-06	4.05249931816699e-06	4.00872119566791e-06	1.0309878874388e-05	5.23088734358641e-06	1.06964265021794e-05	1.28475727264385e-05	1.65652120085581e-05	7.7339428473522e-06	9.04679568151208e-06	6.478546939664e-06	0.0	0.0	2.35790665047571e-05	1.99926027369873e-05	6.03864734299517e-05	0.0	0.0	0.0	4.149377593361e-05	0.0	3.31488049855803e-05	0.0	0.0	0.0	1.38780948151438e-05	4.44938820912125e-05	0.0	0.0	2.92842919058217e-05	1.83371841420032e-05	9.14319152243282e-06	1.62984573510117e-05	1.25856385278758e-05	9.18221850269498e-06	8.89671800072953e-06	0.0	0.0	1.3241470054067e-05	1.35828396493538e-05	1.31389642554477e-05	4.65606471601292e-06	6.37062377962738e-06	0.0	1.33527393144704e-05	6.03167594941595e-06	5.30298209410217e-06	9.54296740957342e-06	6.91860377963324e-06	5.36343915160404e-06	4.70773168709187e-06	4.95482438863661e-06	0.0	8.09944680778303e-06	8.70862216930195e-06	1.34397763621213e-05	2.38854137086351e-05	1.35532722207253e-05	1.33222758443825e-05	8.3313724585092e-06	1.39955074421111e-05	6.09354815121749e-06	0.0	0.0	7.46129221498097e-06	8.15075085396096e-06	6.45646710357654e-06	7.28228103698064e-06	0.0	8.54333564288174e-06	1.06010901826373e-05	0.0	1.61550142856483e-05	0.0	0.0	9.51819961350671e-06	8.12468319377685e-06	5.82666917757264e-06	9.14319152243282e-06	1.62984573510117e-05	8.88002014495999e-06	1.05253303153334e-05	3.9808521013923e-05	9.89951987328614e-06	3.05450768972311e-05	1.52830419366671e-05	1.71835330203066e-05	2.92160905531858e-05	0.0	3.35053273470482e-05	2.89209590190011e-05	2.80130877145803e-05	1.48390702827832e-05	1.48545737232494e-05	1.96553242342286e-05	2.35754532380885e-05	0.0	8.43383655224762e-05	2.0708221163802e-05	0.0	4.2840312734283e-06	1.29785291865491e-05	8.9818207947115e-06	2.4932060136129e-05	4.999500049995e-05	1.12470757603023e-05	5.66363662107439e-06	2.91103865859339e-05	2.63307564299707e-06	3.39530904102891e-05	0.0	0.0002920560747663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001851166234727	0.0	0.0	0.000199660577019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002027986209693	0.0	0.000142409569923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.0005593153979529	0.0004546635489737	0.000116349721407	0.0013651877133105	0.0024570024570024	0.0007754943776657	0.0005289605924358	0.000956937799043	0.002257015824449	0.0023591856457053	0.0014989093886757	0.0019022397794813	0.0018493414889513	0.001950754930371	0.0021009529705359	0.001163064397768	0.0017987359293211	0.0018230098040885	0.0021937482352272	0.0002200500223948	0.0006027727546714	0.0017109018993819	0.0021345060822592	0.0020488116442669	0.0	0.0019290525052212	0.0022145897346974	0.0021685548397606	0.0022590855338012	0.0008532172693722	0.0016424286304686	0.0022992826418228	0.002422989342332	0.0003794922731898	0.0010088216478588	0.0002788465330081	0.0010634030680916	0.0008309626502707	0.0010300946309532	0.0010619298448095	0.0009902471773055	0.0002215663053365	0.0017068487305312	0.00367478180983	0.0016269555888282	0.0012795265751671	0.0013083735909822	0.0020417779173865	0.001806322127446	0.0015516622471311	0.0011203319502074	0.0017696705690171	0.0013591010044087	0.0020286033066233	0.0011363636363636	0.0010660980810234	0.0010131009215055	0.0009343715239154	0.0011089548100914	0.0011819399574501	0.000322127210964	0.000293394946272	0.0005028755337338	0.0005704460072854	0.0016118607057486	0.0010205379992995	0.0007651177480627	0.0004715868898844	0.0	0.0010934666586753	0.000782058113657	0.0007803606270289	0.0005609188551996	0.0005845047317808	0.0012143290831815	0.0010328343859742	0.0006200562875999	0.0006439335399981	0.000946344268116	0.0009862854054743	0.0008567200138162	0.0006940541572969	0.0007601151050749	0.0013230429988974	0.0009863326334811	0.0010648269834282	0.0009363044198944	0.0009129535906411	0.000938428568563	0.0009325593091067	0.0010375936294273	0.0010776540730425	0.000996295122724	0.000781127948758	0.0002447381302006	0.000858670379074	0.000691455364111	0.0010695471712269	0.0011106490009317	0.0	0.0003395975918045	0.00038108129446	0.0005170630816959	0.0004084910755085	0.0	0.0	0.0006369035284237	0.0008675356165799	0.0006118002636451	0.0005028755337338	0.0005704460072854	0.0010383280698071	0.0010752455864243	0.0001293776932952	7.91961589862892e-05	0.0002290880767292	0.0001681134613033	0.0002405694622842	0.0002212075427598	0.0001863874996116	0.0001675266367352	0.000202446713133	0.0002577204069741	8.90344216966993e-05	0.0001485457372324	0.0001886911126485	0.0002121790791427	0.0002554278416347	0.0003373534620899	8.28328846552081e-05	0.0002479082739386	0.0001756452822105	0.0001903517614027	0.0002065818782783	0.0001246603006806	0.0001499850014998	0.0003898986263571	0.0002860136493642	0.0007471665890389	0.0004660543888104	0.0007333867528622	0.001082251082251	0.0002920560747663	0.0014839940640237	0.0007339988256018	0.0006596306068601	0.0020804438280166	0.0003455425017277	0.000608939227865	0.0	0.0007853835978835	0.0005553498704183	0.000614014889861	0.0	9.98302885095338e-05	0.0002933411557641	0.0003681885125184	0.0	0.0001300221037576	0.0	0.0002976633427593	0.0003729256013425	0.0006156213928434	0.0002027986209693	0.0004805382027871	0.0009968669894616	0.0007014730934963	0.0005916659623024	0.0007705856450902	0.0006772773450728	0.0010387451958034	0.0010112796577207	0.000496489112703	0.0006985679357317	0.0005604334018307	0.0
