id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.00012614137204110408,-3.899142449491107,0.012614137204110417,0.007647816140295504,0.0007194460240736878,0.01150874310359998,0.9734513274336283
1,Actinomycetota,0.42710964871247237,-0.36946061743936187,42.710964871247256,21.654927830516865,2.0371242513507952,40.59808491815755,1.0
2,Aquificota,1.1445432344759702e-05,-4.941367797450162,0.001144543234475971,0.0009321985507281677,8.769386301469327e-05,0.0009147884704126928,0.9203539823008849
3,Armatimonadota,2.4635547586761075e-05,-4.608437779998949,0.002463554758676109,0.0018054247950686191,0.00016984007810182296,0.002202394646757918,0.9380530973451328
4,Atribacterota,3.872265514556127e-06,-5.4120348715203725,0.00038722655145561295,0.0004935324642551853,4.642762883496346e-05,0.00023306103438223896,0.8141592920353983
5,Bacillota,0.09576126879309542,-1.0188101083599002,9.576126879309548,8.378355120387871,0.7881693504477436,6.523363191498461,1.0
6,Bacteroidota,0.18864725277108055,-0.7243495149530343,18.864725277108068,14.3331005514816,1.3483446797419187,15.657112000886396,1.0
7,Balneolota,4.436683427851213e-06,-5.3529415585366005,0.00044366834278512156,0.0006618086949762602,6.225772502418827e-05,0.0002911782878833142,0.8672566371681416
8,Bdellovibrionota,7.72769688495935e-05,-4.111949921242056,0.007727696884959356,0.021184959433497057,0.0019929133434950634,0.0048359153528368375,0.9646017699115044
9,Caldisericota,1.559612311366582e-06,-5.806983345209194,0.00015596123113665832,0.0002524596798155546,2.3749408922793345e-05,6.991108009722436e-05,0.672566371681416
10,Calditrichota,3.6964797024299822e-06,-5.432211674194411,0.0003696479702429983,0.000616683320152927,5.8012686845194136e-05,0.00023066048161069842,0.8053097345132744
11,Campylobacterota,0.01576384422569535,-1.8023378653729907,1.576384422569536,1.0943397181308745,0.10294682099467373,1.4612409453483703,1.0
12,Candidatus Abawacabacteria,4.800800497061014e-07,-6.318686341276361,4.8008004970610165e-05,7.690388628692045e-05,7.234509068990521e-06,0.0,0.45132743362831856
13,Candidatus Absconditabacteria,0.0001610365662943229,-3.793075498274186,0.0161036566294323,0.045504233417656414,0.0042806781975787645,0.0006146105213126452,0.8938053097345132
14,Candidatus Adlerbacteria,2.005223596922087e-06,-5.697837193370397,0.00020052235969220887,0.0002283143055523473,2.147800317836021e-05,0.00013985198997727407,0.7256637168141593
15,Candidatus Aenigmarchaeota,2.1122750372607553e-08,-7.675249533397801,2.1122750372607566e-06,7.827712304264535e-06,7.363692316324702e-07,0.0,0.07964601769911504
16,Candidatus Altiarchaeota,9.365613350957913e-07,-6.028463775553678,9.365613350957916e-05,0.00047798897765273014,4.496542061352642e-05,2.0774222015772633e-05,0.5221238938053098
17,Candidatus Amesbacteria,2.196067579036898e-06,-5.658354299581129,0.0002196067579036899,0.0003184577985394744,2.9957989678558304e-05,0.00014541955411040823,0.7610619469026548
18,Candidatus Aminicenantes,2.3210412264541996e-05,-4.634317145514545,0.0023210412264542007,0.0017188459565513382,0.00016169542608646098,0.0019396118950692804,0.9469026548672567
19,Candidatus Andersenbacteria,1.0584012509407683e-06,-5.975349655520903,0.00010584012509407689,0.00015441953879075367,1.4526568262663238e-05,4.8873992096098075e-05,0.6371681415929203
20,Candidatus Azambacteria,3.2072795485229057e-06,-5.493863185038869,0.00032072795485229086,0.0005404113629629488,5.0837624665086857e-05,0.0001866126121703288,0.7610619469026548
21,Candidatus Bathyarchaeota,1.3200679477825377e-06,-5.879403713803594,0.00013200679477825384,0.00017059366014121903,1.6048101610878382e-05,9.774798419219615e-05,0.7345132743362832
22,Candidatus Beckwithbacteria,3.2456289353794334e-06,-5.488701133471218,0.00032456289353794364,0.00033689774777519177,3.169267418435565e-05,0.0002477553366499511,0.8053097345132744
23,Candidatus Berkelbacteria,8.562467448929467e-06,-5.067401066509992,0.0008562467448929474,0.00124367794624967,0.00011699537975855185,0.0005630382523292651,0.8849557522123894
24,Candidatus Bipolaricaulota,1.0858752122008024e-06,-5.964220080609493,0.0001085875212200803,0.0001167239506606814,1.0980465622668036e-05,7.367535397323832e-05,0.7433628318584071
25,Candidatus Blackallbacteria,1.5311965156005576e-06,-5.814969067849084,0.00015311965156005584,0.00016535805543353919,1.55555773501662e-05,0.00011554655833021405,0.7699115044247787
26,Candidatus Blackburnbacteria,2.3224847229874135e-06,-5.634047134059439,0.0002322484722987415,0.00025604723965948315,2.4086898163969203e-05,0.00014566010098906123,0.8230088495575221
27,Candidatus Brennerbacteria,8.38952522972081e-08,-7.076262615565406,8.389525229720816e-06,1.9098303965447704e-05,1.7966173091029864e-06,0.0,0.22123893805309736
28,Candidatus Buchananbacteria,9.471892205410871e-06,-5.02356325306854,0.000947189220541088,0.0012404372038403867,0.00011669051635720498,0.0006465372983564262,0.8938053097345132
29,Candidatus Calescamantes,1.1937615994781832e-07,-6.9230823954585485,1.1937615994781836e-05,2.6624720470691385e-05,2.5046430161659336e-06,0.0,0.24778761061946902
30,Candidatus Campbellbacteria,3.0759481212700727e-06,-5.512020993589766,0.0003075948121270075,0.0003494730542413699,3.287565950626095e-05,0.0002210260619197154,0.8141592920353983
31,Candidatus Chisholmbacteria,1.749828992598028e-06,-5.757004391999383,0.00017498289925980287,0.00048010665743739755,4.5164635170125484e-05,9.789873420199976e-05,0.6991150442477876
32,Candidatus Cloacimonetes,1.1331587663417161e-06,-5.945709237077889,0.00011331587663417168,0.00016247403805549015,1.528427181693503e-05,6.282985674792661e-05,0.5929203539823009
33,Candidatus Coatesbacteria,3.304843558524906e-06,-5.480849093902222,0.00033048435585249084,0.0004949563573897566,4.6561577433567396e-05,0.000233617605680549,0.7787610619469026
34,Candidatus Collierbacteria,4.0487335655807796e-06,-5.392680801844889,0.0004048733565580782,0.00047802159917864536,4.496848938854511e-05,0.000274763488740707,0.8141592920353983
35,Candidatus Colwellbacteria,2.390048154916714e-06,-5.621593348757335,0.00023900481549167158,0.00030377896706238833,2.8577121369160213e-05,0.00017080151028388803,0.7610619469026548
36,Candidatus Curtissbacteria,4.136736866267446e-06,-5.383342103267532,0.0004136736866267448,0.0004524870254612515,4.2566398752421936e-05,0.0002773797469056662,0.8053097345132744
37,Candidatus Dadabacteria,5.057417217277166e-06,-5.296071217281619,0.0005057417217277167,0.002078474463346786,0.000195526430207272,0.000145004031112065,0.7433628318584071
38,Candidatus Daviesbacteria,1.3761353326708912e-05,-4.861338854369337,0.0013761353326708916,0.00121368297376064,0.0001141736901018496,0.001178805663571812,0.9380530973451328
39,Candidatus Delongbacteria,9.256192994949753e-07,-6.033567598765911,9.256192994949763e-05,0.00014805642774317823,1.3927977127633594e-05,4.1739902804462314e-05,0.6106194690265486
40,Candidatus Desantisbacteria,4.125919369364068e-06,-5.384479263464762,0.000412591936936407,0.0003630888469095736,3.41565255365173e-05,0.0003200806603264023,0.8938053097345132
41,Candidatus Diapherotrites,7.565048878522252e-07,-6.121188261612517,7.565048878522258e-05,0.0001276475038872628,1.2008067070382447e-05,4.1208675167879046e-05,0.5929203539823009
42,Candidatus Doudnabacteria,6.623260416964393e-06,-5.178928168790167,0.0006623260416964397,0.0007206829892452066,6.779615274720375e-05,0.0005400173367165784,0.8938053097345132
43,Candidatus Edwardsbacteria,3.4824101412480233e-06,-5.45812008112471,0.0003482410141248025,0.0003573957057602512,3.362095986793521e-05,0.00022956893840435803,0.8230088495575221
44,Candidatus Eisenbacteria,1.0288029999420464e-05,-4.98766777803535,0.0010288029999420475,0.000953742293874012,8.972052789073246e-05,0.0008106531213102961,0.911504424778761
45,Candidatus Falkowbacteria,1.752058614265629e-05,-4.7564513688150205,0.00175205861426563,0.00192184790138567,0.00018079224266927214,0.00138787796543259,0.9292035398230089
46,Candidatus Firestonebacteria,4.318884678768689e-06,-5.364628392165295,0.00043188846787686926,0.0006599266364901948,6.208067585485226e-05,0.00032029611667164616,0.8230088495575221
47,Candidatus Fischerbacteria,1.9734019270528438e-06,-5.704784452039242,0.00019734019270528454,0.00024098618510587418,2.2670073332124825e-05,0.00010986026872421012,0.7876106194690266
48,Candidatus Fraserbacteria,1.3501011507929422e-06,-5.869633692552723,0.00013501011507929432,0.0001744937999548452,1.6414995902107566e-05,7.606321157134433e-05,0.6548672566371682
49,Candidatus Giovannonibacteria,8.025948515664778e-06,-5.095503630477387,0.0008025948515664785,0.002060792720880483,0.00019386307179452842,0.0006083640393153474,0.8849557522123894
50,Candidatus Glassbacteria,2.5905505384075954e-06,-5.586607930750939,0.0002590550538407597,0.0002683962795197202,2.524859811407179e-05,0.00020382480151832013,0.7787610619469026
51,Candidatus Gottesmanbacteria,1.3130542079312517e-05,-4.881717344192733,0.0013130542079312526,0.0011052809798579263,0.00010397608831798217,0.000976127509814028,0.9469026548672567
52,Candidatus Gracilibacteria,4.101001100841258e-06,-5.387110114133822,0.000410100110084126,0.0006666944260212745,6.271733593932373e-05,0.00026927916415747405,0.7964601769911505
53,Candidatus Gribaldobacteria,1.2336085655972958e-06,-5.908822623746162,0.00012336085655972962,0.0002746745904977496,2.5839211929595195e-05,4.320138693732623e-05,0.6194690265486725
54,Candidatus Handelsmanbacteria,6.2097846949116675e-06,-5.206923457381034,0.0006209784694911672,0.0010762781223048648,0.00010124772898368998,0.0005092373534086014,0.9203539823008849
55,Candidatus Harrisonbacteria,4.216225935002596e-06,-5.37507612462288,0.0004216225935002598,0.000615578432792936,5.7908747785518466e-05,0.0003108267966889688,0.8495575221238938
56,Candidatus Heimdallarchaeota,1.6052653852813016e-06,-5.79445315900016,0.00016052653852813024,0.00021254241980870318,1.9994308973079433e-05,9.987297156746337e-05,0.7345132743362832
57,Candidatus Huberarchaea,6.131821876761022e-08,-7.2124104694509565,6.131821876761024e-06,3.300090431075829e-05,3.104463936066054e-06,0.0,0.07079646017699115
58,Candidatus Hydrogenedentes,1.2286156140657034e-06,-5.9105839696777895,0.00012286156140657042,0.00017167889280684528,1.6150191712439e-05,8.327859748372528e-05,0.6991150442477876
59,Candidatus Jacksonbacteria,2.2063304641824496e-07,-6.656329438395263,2.2063304641824505e-05,6.092755180177546e-05,5.731581943945281e-06,0.0,0.19469026548672566
60,Candidatus Jorgensenbacteria,4.31588890993814e-06,-5.364929742492782,0.0004315888909938143,0.0005087799898628475,4.786199538799757e-05,0.0003263213099469731,0.7964601769911505
61,Candidatus Kaiserbacteria,2.269817219845697e-05,-4.644009113559493,0.0022698172198456984,0.0019820620643470938,0.00018645671463627834,0.0017839576335547086,0.9380530973451328
62,Candidatus Kerfeldbacteria,4.9345908627915856e-06,-5.306748849761905,0.000493459086279159,0.0005594831482948748,5.2631747310994355e-05,0.00034451559169906864,0.7964601769911505
63,Candidatus Komeilibacteria,4.520000324925296e-06,-5.344861533968871,0.0004520000324925299,0.0006592303502163824,6.201517475203781e-05,0.0002921793196312361,0.8407079646017699
64,Candidatus Korarchaeota,1.4725278117971117e-07,-6.831936493895053,1.4725278117971136e-05,6.718312203048089e-05,6.320056489723517e-06,0.0,0.19469026548672566
65,Candidatus Kuenenbacteria,3.6024382394935736e-06,-5.443403456031547,0.00036024382394935764,0.0005152327873370559,4.846902351234165e-05,0.00019091547789962368,0.8053097345132744
66,Candidatus Levybacteria,8.547545524132779e-06,-5.068158577477608,0.0008547545524132784,0.0008332835026305778,7.838871802043626e-05,0.0006521081959287017,0.9026548672566371
67,Candidatus Lindowbacteria,4.333940964859979e-06,-5.363117008754587,0.0004333940964859982,0.00044913091571880916,4.2250682505291836e-05,0.0003165734094164765,0.8141592920353983
68,Candidatus Liptonbacteria,2.7733286285151848e-06,-5.556998665187939,0.0002773328628515187,0.0002772792174675702,2.6084234624081695e-05,0.00022577481400670819,0.8495575221238938
69,Candidatus Lloydbacteria,3.6231206406088536e-06,-5.440917204834239,0.0003623120640608855,0.0003468367431458169,3.2627656219947154e-05,0.000286477954089043,0.7610619469026548
70,Candidatus Lokiarchaeota,1.0353157006205675e-06,-5.9849271998387765,0.00010353157006205683,0.00016840625746922824,1.5842328076768404e-05,6.180697385391954e-05,0.672566371681416
71,Candidatus Magasanikbacteria,2.4402389963136175e-05,-4.612567636900116,0.0024402389963136197,0.0023248537218154685,0.00021870384120510855,0.0020130369304206435,0.9469026548672567
72,Candidatus Margulisbacteria,3.0713811834263794e-06,-5.512666280728715,0.0003071381183426382,0.0005669254818598768,5.333186316040126e-05,0.00019117223949675831,0.7876106194690266
73,Candidatus Marinimicrobia,8.331188387550956e-06,-5.079293045010477,0.000833118838755096,0.0009867731680832297,9.282781115768892e-05,0.0006274720156444908,0.9026548672566371
