,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillota,Bacteroidota,Balneolota,Bdellovibrionota,Caldisericota,Campylobacterota,Candidatus.Absconditabacteria,Candidatus.Altiarchaeota,Candidatus.Amesbacteria,Candidatus.Aminicenantes,Candidatus.Beckwithbacteria,Candidatus.Berkelbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,Candidatus.Buchananbacteria,Candidatus.Cloacimonetes,Candidatus.Collierbacteria,Candidatus.Curtissbacteria,Candidatus.Daviesbacteria,Candidatus.Desantisbacteria,Candidatus.Doudnabacteria,Candidatus.Edwardsbacteria,Candidatus.Eisenbacteria,Candidatus.Falkowbacteria,Candidatus.Fischerbacteria,Candidatus.Giovannonibacteria,Candidatus.Gottesmanbacteria,Candidatus.Gracilibacteria,Candidatus.Gribaldobacteria,Candidatus.Handelsmanbacteria,Candidatus.Harrisonbacteria,Candidatus.Heimdallarchaeota,Candidatus.Jorgensenbacteria,Candidatus.Kaiserbacteria,Candidatus.Kerfeldbacteria,Candidatus.Komeilibacteria,Candidatus.Levybacteria,Candidatus.Liptonbacteria,Candidatus.Magasanikbacteria,Candidatus.Margulisbacteria,Candidatus.Marinimicrobia,Candidatus.Melainabacteria,Candidatus.Micrarchaeota,Candidatus.Microgenomates,Candidatus.Moranbacteria,Candidatus.Nealsonbacteria,Candidatus.Nomurabacteria,Candidatus.Omnitrophica,Candidatus.Pacebacteria,Candidatus.Parcubacteria,Candidatus.Peregrinibacteria,Candidatus.Ratteibacteria,Candidatus.Raymondbacteria,Candidatus.Roizmanbacteria,Candidatus.Rokubacteria,Candidatus.Ryanbacteria,Candidatus.Saccharibacteria,Candidatus.Schekmanbacteria,Candidatus.Shapirobacteria,Candidatus.Spechtbacteria,Candidatus.Staskawiczbacteria,Candidatus.Taylorbacteria,Candidatus.Terrybacteria,Candidatus.Uhrbacteria,Candidatus.Woesearchaeota,Candidatus.Woesebacteria,Candidatus.Wolfebacteria,Candidatus.Woykebacteria,Candidatus.Yanofskybacteria,Candidatus.Zambryskibacteria,Chlamydiota,Chlorobiota,Chloroflexota,Chrysiogenota,Cyanobacteriota,Deferribacterota,Deinococcota,Elusimicrobiota,Euryarchaeota,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota,candidate.division.CPR2,candidate.division.WWE3,candidate.division.Zixibacteria
Acidobacteriota,1.0,-0.0028,-0.0016,0.0042,-0.0055,-0.0021,-0.0014,0.003,-0.0024,-0.005,-0.0033,-0.0018,-0.0032,-0.0012,0.0037,-0.0003,-0.0037,0.0002,-0.0009,-0.0042,-0.0006,-0.0029,-0.0017,0.0004,0.0033,-0.0004,-0.005,-0.0004,-0.002,0.0011,-0.0008,-0.0057,-0.0007,0.0025,-0.0041,-0.0017,-0.0044,-0.0026,0.0016,-0.0028,0.0006,-0.0021,-0.0018,-0.0052,-0.0026,0.0027,-0.004,-0.0022,0.0028,0.0025,-0.004,0.0001,-0.0029,-0.0005,-0.0004,0.0028,0.0001,-0.0021,-0.0011,-0.0008,0.0007,-0.0049,-0.0,0.0011,0.0001,-0.0006,-0.0015,0.0023,0.0008,-0.0018,-0.0046,-0.0039,-0.0051,-0.001,-0.006,-0.006,-0.0032,-0.0053,-0.0031,-0.0004,-0.0066,-0.0048,-0.0084,-0.001,-0.0045,-0.0089,-0.0021,0.0039,-0.0019,-0.0014,0.0017,-0.0026,-0.0037,-0.0006,0.0008,-0.0063,0.0016,-0.0004,0.0026,-0.0003,-0.003,-0.0076,0.0001,0.0021,0.0018,0.0014,-0.0047
Actinomycetota,-0.0028,1.0,-0.0032,-0.0056,-0.0013,0.0107,-0.0075,0.0003,-0.0055,-0.0012,0.0017,0.0005,-0.0046,-0.0043,-0.0006,-0.0038,-0.0008,-0.0026,-0.005,-0.0029,0.0004,-0.0068,-0.0034,0.0027,0.0033,-0.0028,-0.0005,-0.0026,-0.0045,0.0039,-0.003,-0.0016,0.0013,-0.0033,-0.0045,-0.0026,-0.0003,-0.0038,0.0003,-0.003,-0.0019,0.0008,0.0029,-0.0032,-0.0018,-0.0064,-0.0032,-0.0029,-0.0031,0.0002,0.0027,-0.0012,-0.0014,0.0049,-0.0044,-0.002,-0.0024,-0.0005,-0.0004,-0.0051,-0.0005,-0.0025,0.0002,-0.0042,0.0015,-0.0025,-0.0053,0.0001,0.0014,-0.0056,0.0007,-0.001,-0.0031,-0.0005,-0.005,-0.0017,-0.0055,0.0005,-0.0008,-0.0003,0.0026,-0.0029,-0.0019,-0.0026,-0.0022,0.0001,-0.002,-0.0032,0.0002,0.0008,-0.001,-0.0009,-0.0032,-0.005,-0.0008,0.0003,-0.0337,0.0012,0.0042,-0.004,0.0056,0.0052,-0.0106,-0.0005,0.0007,-0.0016,0.0014
Aquificota,-0.0016,-0.0032,1.0,-0.0009,-0.0035,-0.0009,0.0017,-0.0021,0.0038,-0.0058,0.0003,-0.004,0.0006,-0.002,-0.0002,-0.0016,0.0014,-0.0007,-0.0055,-0.0004,-0.0005,0.0013,0.0003,-0.002,-0.0056,0.0006,0.0034,0.0044,-0.0003,-0.0038,0.0002,-0.0037,-0.003,-0.0025,-0.001,-0.0011,-0.0017,-0.0038,-0.0036,-0.0016,-0.003,-0.0059,-0.0019,-0.0028,-0.0001,-0.0005,-0.0049,-0.0036,-0.0043,-0.0007,0.0006,-0.0021,0.0039,-0.006,-0.0007,-0.002,-0.0026,-0.0005,-0.0116,-0.0015,-0.0009,-0.0044,-0.005,-0.0014,-0.0017,0.0019,-0.008,-0.0004,-0.0032,-0.0001,0.0012,-0.0031,-0.0005,-0.0041,-0.005,0.001,-0.0012,-0.0061,-0.0063,0.0037,-0.0002,0.0013,-0.001,0.0033,0.0014,-0.0035,0.0069,-0.0003,0.0007,-0.0025,-0.0013,-0.002,-0.0025,-0.0043,-0.002,-0.0006,-0.0014,0.0021,-0.0012,-0.0057,-0.0014,0.0004,0.0038,0.0037,-0.0004,-0.0047,-0.0078
Armatimonadota,0.0042,-0.0056,-0.0009,1.0,0.0048,-0.0026,0.0031,-0.0082,-0.0049,-0.0039,-0.0074,-0.0009,0.0015,-0.0028,-0.0019,-0.0055,-0.0027,0.0003,-0.0008,-0.0061,-0.0033,-0.0064,0.0012,0.0029,-0.0039,0.0014,-0.0006,-0.0004,0.0008,0.0036,-0.0016,0.0021,-0.0041,-0.0061,0.0015,-0.004,0.002,-0.0005,-0.0038,-0.0022,0.004,-0.0023,-0.0082,0.0002,-0.0065,-0.0021,-0.0025,-0.0059,0.0015,-0.0088,-0.0003,-0.0013,-0.0031,-0.0016,0.0013,-0.0009,-0.0035,0.0017,-0.0007,0.0002,-0.0018,-0.0019,0.0006,-0.0007,0.0012,-0.0041,-0.0005,-0.0049,-0.0024,0.0006,0.0015,-0.0072,-0.0037,-0.0023,-0.0046,-0.0043,-0.0021,-0.0018,0.0044,-0.0021,0.0032,-0.0051,-0.0027,0.0018,-0.0044,0.002,-0.003,0.0026,-0.0012,-0.0038,0.0035,0.0,0.0012,0.0018,0.0001,-0.0047,-0.0014,-0.0,-0.0025,-0.0036,-0.0051,-0.0001,-0.0059,0.0004,-0.0023,-0.0009,-0.0018
Atribacterota,-0.0055,-0.0013,-0.0035,0.0048,1.0,0.0023,-0.0025,0.0031,-0.0035,0.0009,-0.0045,0.0,-0.0024,0.0017,-0.0005,-0.0043,-0.0026,-0.0014,-0.0011,-0.0001,-0.0059,-0.0025,0.0036,-0.0001,-0.0043,-0.0011,-0.0068,-0.0011,-0.0013,-0.0013,-0.0022,-0.0079,-0.0028,-0.004,-0.0001,-0.002,0.0036,-0.0034,-0.0057,0.003,-0.0069,0.0046,-0.0037,0.0,-0.0015,-0.0086,-0.0023,-0.0007,-0.0015,-0.0033,-0.0021,-0.0009,-0.0038,-0.0004,-0.0002,0.0016,-0.0034,-0.0031,0.0008,0.0036,-0.0003,-0.0051,0.0023,-0.0019,-0.003,-0.0032,0.0003,-0.0016,-0.0014,-0.0031,-0.0041,-0.003,-0.0001,0.0031,-0.0003,-0.0006,-0.0026,-0.006,-0.0059,0.0021,-0.006,-0.0036,-0.0054,-0.0009,0.0019,-0.0054,0.0028,-0.0057,-0.0035,-0.0007,-0.0001,0.0003,-0.0001,-0.0025,-0.0061,0.0029,-0.0047,-0.0039,-0.004,0.0015,0.0012,-0.0052,0.0022,-0.0042,0.0015,0.0025,-0.0007
Bacillota,-0.0021,0.0107,-0.0009,-0.0026,0.0023,1.0,0.0105,-0.0017,0.0021,-0.0077,-0.001,-0.0032,0.0015,-0.0015,-0.0053,-0.004,0.0022,-0.0017,-0.0069,-0.0012,-0.003,-0.0046,-0.0033,-0.0066,-0.003,-0.0037,-0.0003,-0.0014,0.0017,0.0019,-0.0031,0.0001,-0.0049,-0.0009,-0.0005,-0.0028,0.0001,-0.0002,0.0016,-0.0011,-0.0048,-0.0037,-0.002,-0.0,0.0002,-0.0009,0.0005,-0.0007,-0.0061,-0.0022,-0.0015,-0.0017,-0.0061,-0.0015,0.0002,-0.0028,-0.0024,-0.0013,0.0008,-0.001,-0.0054,0.0002,-0.0051,0.0002,-0.0022,-0.0031,-0.0022,0.0072,-0.0027,0.0019,-0.0034,0.0028,-0.0016,0.0005,0.0043,0.0003,-0.0049,-0.0054,-0.0034,-0.0019,-0.0068,-0.0027,-0.0044,-0.0032,-0.0032,-0.0011,-0.0047,-0.0038,-0.004,-0.0068,0.0005,-0.0034,-0.0038,0.0026,-0.0039,-0.004,-0.0381,0.001,-0.0003,0.0033,-0.0027,0.0003,-0.0016,-0.0027,-0.0001,0.002,-0.0032
Bacteroidota,-0.0014,-0.0075,0.0017,0.0031,-0.0025,0.0105,1.0,0.0029,0.0009,-0.0019,0.001,-0.0031,-0.0029,-0.0007,-0.0018,-0.0036,-0.0034,0.0008,-0.0004,-0.007,-0.0005,0.0008,-0.002,0.0,0.0016,-0.0033,-0.0023,-0.004,-0.0013,0.0002,-0.0055,0.0025,-0.0008,0.0019,-0.0031,0.0003,0.0017,0.0031,0.0006,0.0013,-0.0051,-0.0082,-0.0034,0.0028,-0.0004,-0.0024,-0.0023,0.0003,0.0009,0.0016,-0.0033,-0.0001,-0.0007,-0.0003,-0.0069,-0.0007,-0.0025,-0.0005,0.0048,-0.004,-0.0033,-0.0053,-0.0041,-0.0002,-0.0043,-0.0013,-0.0041,-0.0028,0.0052,0.0005,-0.0024,-0.0003,0.0021,-0.0001,-0.0079,0.0036,-0.004,-0.0016,-0.0029,-0.0075,-0.0031,-0.0006,0.0019,-0.0005,0.0026,-0.0054,-0.0075,-0.0041,-0.0051,0.0003,0.0013,0.0013,-0.0015,-0.0023,-0.0002,-0.0004,-0.0211,-0.0032,-0.0046,-0.0012,-0.0031,-0.0064,0.0003,-0.0016,-0.0057,-0.0058,0.0005
Balneolota,0.003,0.0003,-0.0021,-0.0082,0.0031,-0.0017,0.0029,1.0,-0.0063,-0.0029,-0.0064,0.0021,-0.0017,-0.0021,-0.0006,0.0027,0.0017,-0.0017,0.0018,0.0026,-0.002,0.0026,0.0017,-0.0005,0.002,-0.0041,-0.0009,-0.0059,-0.0056,-0.0028,0.0013,-0.0005,-0.0017,-0.0014,0.0021,0.0035,0.0047,-0.0029,-0.0012,-0.0022,-0.0036,0.0027,-0.0106,-0.0022,-0.0048,-0.0005,-0.002,-0.0027,-0.0022,0.0031,0.0,0.0006,-0.0028,-0.0025,-0.0021,-0.0044,-0.0034,0.0053,-0.0008,0.0018,-0.0007,0.0006,-0.0005,-0.002,-0.0053,0.0071,-0.0047,-0.0014,-0.0023,0.0005,-0.004,-0.0087,-0.0029,-0.005,-0.0013,-0.0051,-0.0009,-0.0031,-0.002,-0.002,-0.0046,-0.0026,-0.0038,0.0025,-0.0028,-0.0003,0.0016,-0.0007,0.0009,-0.0033,-0.001,-0.0061,-0.0035,-0.001,0.0016,0.0017,-0.0033,0.0088,-0.0007,-0.0018,-0.0066,-0.0095,-0.0063,0.0029,-0.0039,0.0071,-0.001
Bdellovibrionota,-0.0024,-0.0055,0.0038,-0.0049,-0.0035,0.0021,0.0009,-0.0063,1.0,-0.0017,0.0007,-0.0053,-0.0035,-0.0068,-0.0039,-0.0092,-0.0037,0.0007,0.0003,-0.0086,0.0019,0.0065,0.0007,0.0022,0.0014,-0.008,0.0041,0.0018,0.0045,-0.0025,-0.0024,-0.0021,-0.0026,0.0039,-0.004,0.0012,-0.0061,-0.0003,0.0045,-0.0021,-0.0002,0.0047,-0.0025,-0.0048,-0.0038,-0.0009,-0.0049,-0.0028,0.0024,0.0011,-0.0021,-0.0006,-0.0021,-0.0038,-0.0025,-0.0002,-0.0006,0.0002,-0.0014,-0.0062,-0.0056,0.0003,-0.0031,0.0013,-0.0011,0.0018,-0.0017,-0.0029,-0.0016,-0.0067,0.0005,-0.0008,-0.0007,0.0024,-0.0058,0.0002,-0.0028,-0.0068,-0.0014,0.0049,0.0008,0.001,-0.004,-0.001,0.0034,-0.004,-0.0003,-0.0036,-0.0003,-0.0055,-0.0036,0.0007,0.0002,-0.0021,-0.004,-0.0038,-0.0011,0.0056,-0.0002,0.0042,0.0032,-0.004,-0.0076,-0.0011,0.006,-0.0024,0.0045
Caldisericota,-0.005,-0.0012,-0.0058,-0.0039,0.0009,-0.0077,-0.0019,-0.0029,-0.0017,1.0,-0.0079,0.0037,-0.0028,-0.0058,0.0012,0.0017,-0.0045,-0.0025,-0.0038,0.0044,-0.0017,-0.0008,0.0021,0.0035,-0.0064,-0.0036,0.0024,0.0017,-0.0055,-0.0071,-0.0025,-0.0002,0.0033,-0.0077,0.0019,-0.0007,-0.0058,0.0029,0.0034,0.0003,0.0023,0.0005,-0.009,-0.0031,-0.0021,-0.0018,0.0022,0.0006,-0.0006,0.0,-0.0089,-0.0014,0.0044,-0.0034,-0.0028,-0.0026,0.0009,0.0002,0.002,-0.0021,-0.0055,-0.0002,0.0005,-0.0013,-0.0003,0.0018,-0.0036,-0.0012,-0.0055,0.0009,-0.0008,0.0034,-0.0049,-0.0013,-0.0064,-0.0033,-0.0042,-0.0026,-0.0042,0.0019,-0.0032,-0.0001,-0.0066,-0.0035,0.0005,-0.0016,0.0024,-0.0046,-0.0035,0.0006,-0.0009,-0.0021,-0.003,-0.0011,-0.0014,-0.0048,-0.002,-0.0026,-0.0039,-0.0032,-0.0022,-0.0046,-0.0021,0.0004,0.0055,-0.0005,-0.0053
