#OTU ID	Pseudomonadota	Actinomycetota	Chloroflexota	Bacillota	Cyanobacteriota	Candidatus.Melainabacteria	Deinococcota	Armatimonadota	Mycoplasmatota	Thermomicrobiota	Candidatus.Kaiserbacteria	Candidatus.Nomurabacteria	Candidatus.Yanofskybacteria	Candidatus.Azambacteria	Candidatus.Falkowbacteria	Candidatus.Magasanikbacteria	Candidatus.Nealsonbacteria	Candidatus.Uhrbacteria	Candidatus.Moranbacteria	Candidatus.Zambryskibacteria	Candidatus.Staskawiczbacteria	Candidatus.Wolfebacteria	Candidatus.Buchananbacteria	Candidatus.Portnoybacteria	Candidatus.Adlerbacteria	Candidatus.Liptonbacteria	Candidatus.Ryanbacteria	Candidatus.Wildermuthbacteria	Candidatus.Komeilibacteria	Candidatus.Kerfeldbacteria	Candidatus.Terrybacteria	Candidatus.Yonathbacteria	Candidatus.Colwellbacteria	Candidatus.Woesebacteria	Candidatus.Gottesmanbacteria	Candidatus.Roizmanbacteria	Candidatus.Levybacteria	Candidatus.Daviesbacteria	Candidatus.Curtissbacteria	Candidatus.Beckwithbacteria	Candidatus.Amesbacteria	Candidatus.Collierbacteria	Candidatus.Gracilibacteria	candidate.division.NC10	Candidatus.Rokubacteria	Candidatus.Handelsmanbacteria	Candidatus.Schekmanbacteria	Candidatus.Aminicenantes	Candidatus.Glassbacteria	candidate.division.WWE3	Candidatus.Peregrinibacteria	Candidatus.Doudnabacteria	Candidatus.Berkelbacteria	Candidatus.Saccharibacteria	Candidatus.Eisenbacteria	Candidatus.Lindowbacteria	Candidatus.Ratteibacteria	Candidatus.Firestonebacteria	Candidatus.Wallbacteria	Candidatus.Blackallbacteria	Candidatus.Fischerbacteria	Candidatus.Absconditabacteria	Planctomycetota	Candidatus.Omnitrophica	Verrucomicrobiota	Lentisphaerota	Chlamydiota	Kiritimatiellota	Thermodesulfobacteriota	Nitrospirota	Campylobacterota	Bacteroidota	Ignavibacteriota	Chlorobiota	Gemmatimonadota	candidate.division.Zixibacteria	Fibrobacterota	Elusimicrobiota	Acidobacteriota	Myxococcota	Nitrospinota	Candidatus.Tectomicrobia	Spirochaetota	Bdellovibrionota	Synergistota	Caldisericota	Fusobacteriota	Thermotogota	Atribacterota	Aquificota	Deferribacterota	Nitrososphaerota	Candidatus.Bathyarchaeota	Thermoproteota	Euryarchaeota	Candidatus.Micrarchaeota	Candidatus.Diapherotrites	Candidatus.Thermoplasmatota	Candidatus.Heimdallarchaeota
Candidatus.Aminicenantes	0.0050	-0.0001	-0.0002	-0.0036	0.0032	-0.0058	0.0001	-0.0013	-0.0060	0.0013	-0.0035	-0.0030	0.0011	-0.0037	-0.0011	-0.0043	0.0030	0.0013	-0.0044	-0.0029	-0.0070	-0.0051	-0.0022	0.0024	0.0021	0.0010	0.0042	-0.0078	0.0009	-0.0087	0.0036	-0.0045	-0.0024	0.0011	-0.0056	-0.0004	-0.0017	-0.0003	0.0013	-0.0014	-0.0027	-0.0017	0.0057	0.0005	-0.0019	-0.0037	0.0013	1.5992	-0.0022	-0.0048	0.0010	0.0010	-0.0021	0.0043	0.0004	0.0042	-0.0009	-0.0031	-0.0038	-0.0060	0.0011	0.0014	-0.0022	-0.0029	-0.0049	0.0000	0.0036	-0.0032	-0.0049	-0.0020	-0.0036	0.0009	-0.0037	0.0014	-0.0038	-0.0030	-0.0039	-0.0040	-0.0107	0.0022	0.0013	0.0025	-0.0036	-0.0009	-0.0034	0.0020	0.0007	-0.0044	-0.0020	-0.0011	-0.0037	0.0016	-0.0030	-0.0073	-0.0041	-0.0070	-0.0028	0.0001	-0.0051
Candidatus.Glassbacteria	-0.0004	0.0002	-0.0049	-0.0036	0.0003	-0.0016	-0.0038	-0.0024	-0.0068	-0.0063	0.0013	-0.0038	0.0004	-0.0034	0.0031	-0.0080	-0.0015	-0.0006	0.0021	0.0008	0.0060	0.0014	-0.0022	0.0022	-0.0013	-0.0025	-0.0013	0.0053	-0.0058	0.0021	-0.0026	-0.0039	-0.0004	0.0020	0.0012	-0.0026	-0.0069	-0.0047	-0.0039	0.0031	-0.0040	-0.0031	-0.0011	-0.0002	-0.0049	0.0003	-0.0047	-0.0022	1.6163	0.0010	0.0033	0.0024	-0.0064	-0.0031	-0.0080	0.0005	0.0014	0.0060	0.0031	-0.0096	0.0062	0.0001	-0.0050	-0.0021	0.0045	0.0002	-0.0003	-0.0064	0.0011	0.0007	0.0032	-0.0000	0.0057	0.0009	-0.0036	0.0042	0.0020	0.0019	-0.0007	-0.0026	0.0043	-0.0046	-0.0042	-0.0059	-0.0011	-0.0031	-0.0020	-0.0012	-0.0044	0.0065	-0.0016	-0.0048	-0.0035	-0.0042	0.0002	-0.0023	-0.0120	-0.0053	-0.0113
candidate.division.WWE3	0.0029	0.0023	0.0001	0.0036	0.0044	0.0003	-0.0020	-0.0028	-0.0032	0.0010	-0.0036	0.0010	-0.0011	-0.0072	-0.0025	-0.0015	-0.0053	-0.0010	-0.0046	-0.0022	0.0032	-0.0043	-0.0012	0.0022	-0.0016	-0.0049	-0.0053	-0.0031	-0.0003	-0.0086	0.0009	0.0002	0.0046	-0.0030	0.0010	-0.0006	-0.0021	-0.0048	0.0005	0.0018	-0.0061	-0.0008	-0.0005	-0.0036	-0.0017	-0.0045	0.0017	-0.0048	0.0010	1.6016	-0.0013	-0.0013	-0.0037	-0.0081	-0.0057	-0.0022	-0.0068	-0.0036	-0.0065	-0.0011	-0.0020	-0.0009	-0.0072	0.0040	0.0060	-0.0053	-0.0066	-0.0015	0.0042	0.0040	0.0012	-0.0032	-0.0066	-0.0092	-0.0033	-0.0055	0.0022	-0.0036	-0.0032	-0.0011	-0.0017	-0.0003	-0.0065	-0.0039	-0.0050	-0.0010	-0.0030	-0.0059	-0.0018	-0.0018	-0.0000	0.0021	-0.0014	-0.0018	-0.0013	0.0011	0.0011	-0.0045	0.0026
Candidatus.Peregrinibacteria	-0.0057	0.0006	-0.0036	0.0002	-0.0036	-0.0016	0.0044	0.0004	-0.0041	-0.0038	0.0066	-0.0005	-0.0035	0.0002	0.0028	0.0006	-0.0014	0.0019	-0.0005	0.0016	-0.0029	-0.0049	0.0002	0.0011	0.0074	-0.0007	-0.0067	-0.0069	-0.0082	-0.0018	0.0062	-0.0017	-0.0075	-0.0017	-0.0068	0.0038	-0.0066	0.0028	-0.0023	0.0015	-0.0003	0.0036	-0.0078	0.0015	-0.0003	-0.0044	-0.0087	0.0010	0.0033	-0.0013	1.6037	-0.0024	-0.0015	0.0011	-0.0025	0.0020	-0.0006	0.0038	-0.0051	0.0018	-0.0024	-0.0040	-0.0102	0.0007	0.0021	0.0009	-0.0040	-0.0001	-0.0009	-0.0037	-0.0079	-0.0028	0.0056	0.0034	-0.0029	-0.0059	-0.0013	-0.0028	-0.0016	0.0002	0.0026	-0.0007	-0.0043	-0.0046	-0.0002	-0.0060	-0.0016	0.0038	0.0047	0.0002	-0.0054	0.0011	0.0035	-0.0067	-0.0076	0.0025	-0.0068	-0.0056	-0.0017
Candidatus.Doudnabacteria	-0.0087	-0.0032	-0.0045	0.0046	0.0003	0.0058	-0.0014	-0.0039	-0.0023	0.0059	-0.0001	-0.0048	-0.0046	-0.0051	0.0007	-0.0050	-0.0022	-0.0012	-0.0046	-0.0037	-0.0004	-0.0008	0.0025	-0.0073	0.0013	0.0025	-0.0045	-0.0026	0.0033	0.0009	0.0030	-0.0048	0.0023	0.0010	-0.0009	-0.0031	-0.0032	-0.0063	-0.0020	0.0002	0.0002	-0.0021	-0.0046	0.0052	-0.0007	0.0006	-0.0087	0.0010	0.0024	-0.0013	-0.0024	1.6023	-0.0008	0.0035	0.0009	0.0014	-0.0065	-0.0070	0.0012	-0.0006	-0.0055	-0.0033	-0.0042	-0.0008	-0.0042	-0.0005	-0.0056	-0.0030	-0.0012	-0.0043	-0.0120	-0.0020	-0.0017	-0.0053	-0.0039	-0.0066	-0.0011	-0.0007	-0.0068	-0.0014	-0.0009	-0.0066	0.0040	-0.0049	0.0028	-0.0052	-0.0043	0.0021	-0.0030	0.0010	0.0034	-0.0045	-0.0017	-0.0017	-0.0036	0.0028	0.0012	0.0054	-0.0046
Candidatus.Berkelbacteria	-0.0033	-0.0032	-0.0069	-0.0031	-0.0055	-0.0038	-0.0026	-0.0065	0.0011	-0.0072	-0.0021	0.0016	0.0081	-0.0037	-0.0023	0.0091	0.0012	-0.0072	0.0041	-0.0020	-0.0018	-0.0002	-0.0031	-0.0004	-0.0038	-0.0019	-0.0005	0.0028	0.0023	-0.0035	0.0020	-0.0044	0.0004	0.0006	-0.0048	-0.0013	-0.0037	0.0042	0.0041	-0.0024	0.0011	-0.0003	0.0008	-0.0009	0.0028	-0.0064	-0.0082	-0.0021	-0.0064	-0.0037	-0.0015	-0.0008	1.6043	-0.0049	-0.0129	-0.0010	-0.0025	-0.0007	-0.0014	0.0001	0.0008	-0.0013	-0.0056	-0.0007	-0.0087	0.0023	-0.0076	0.0083	0.0017	-0.0027	-0.0050	-0.0023	-0.0027	0.0037	0.0002	-0.0053	-0.0073	-0.0011	0.0004	-0.0004	-0.0069	0.0046	0.0058	-0.0013	0.0010	0.0007	0.0012	0.0031	-0.0086	0.0009	-0.0002	-0.0073	-0.0023	-0.0041	0.0009	0.0001	-0.0023	-0.0038	-0.0098
Candidatus.Saccharibacteria	0.0015	-0.0019	-0.0005	-0.0079	-0.0025	0.0002	0.0008	0.0010	0.0012	0.0056	-0.0061	-0.0050	0.0028	0.0024	0.0005	0.0022	-0.0019	0.0006	-0.0051	-0.0046	-0.0037	0.0032	-0.0010	0.0017	-0.0053	0.0024	0.0026	-0.0001	-0.0072	0.0001	-0.0024	-0.0063	-0.0065	-0.0067	-0.0034	-0.0037	-0.0023	-0.0011	-0.0092	-0.0040	-0.0010	-0.0011	0.0015	-0.0026	-0.0008	-0.0028	-0.0078	0.0043	-0.0031	-0.0081	0.0011	0.0035	-0.0049	1.6017	-0.0018	0.0018	-0.0006	-0.0002	-0.0009	0.0009	-0.0067	0.0034	-0.0084	0.0011	-0.0010	-0.0039	0.0032	0.0071	-0.0005	0.0019	-0.0079	-0.0042	-0.0021	0.0026	-0.0073	-0.0016	-0.0001	-0.0003	-0.0046	-0.0028	-0.0056	0.0014	-0.0055	-0.0024	0.0049	-0.0028	-0.0048	-0.0025	-0.0045	-0.0020	-0.0048	-0.0042	-0.0001	-0.0051	0.0065	0.0019	-0.0038	0.0037	-0.0020
Candidatus.Eisenbacteria	-0.0042	0.0035	0.0016	-0.0077	0.0014	0.0016	-0.0007	-0.0066	0.0020	-0.0010	-0.0043	0.0089	-0.0023	0.0002	-0.0009	-0.0050	-0.0010	0.0088	-0.0056	-0.0017	-0.0053	0.0044	0.0033	0.0070	0.0033	-0.0005	-0.0035	-0.0106	-0.0027	-0.0010	-0.0039	0.0001	-0.0000	-0.0005	-0.0065	-0.0003	-0.0043	-0.0049	-0.0078	0.0001	-0.0049	-0.0069	-0.0037	0.0001	-0.0034	-0.0054	-0.0000	0.0004	-0.0080	-0.0057	-0.0025	0.0009	-0.0129	-0.0018	1.6052	-0.0006	-0.0061	-0.0041	-0.0059	0.0087	0.0045	-0.0030	0.0047	-0.0029	-0.0055	0.0020	-0.0081	0.0002	-0.0011	0.0029	0.0027	-0.0065	-0.0015	-0.0025	-0.0047	-0.0009	-0.0038	-0.0045	0.0013	-0.0002	-0.0000	0.0014	-0.0050	0.0017	-0.0016	-0.0016	-0.0063	-0.0034	-0.0038	-0.0070	0.0038	0.0061	-0.0094	-0.0049	0.0007	0.0016	-0.0020	0.0001	-0.0039
Candidatus.Lindowbacteria	-0.0025	-0.0007	-0.0013	0.0084	-0.0041	-0.0013	0.0002	-0.0006	-0.0046	0.0010	-0.0021	-0.0074	-0.0062	-0.0007	-0.0018	0.0005	-0.0045	-0.0050	-0.0069	0.0009	0.0017	-0.0013	0.0008	-0.0058	0.0005	-0.0015	-0.0042	-0.0030	-0.0021	0.0033	0.0027	-0.0064	-0.0085	-0.0066	-0.0025	-0.0043	-0.0003	-0.0025	0.0015	-0.0029	-0.0106	-0.0015	0.0007	-0.0029	-0.0039	-0.0010	0.0000	0.0042	0.0005	-0.0022	0.0020	0.0014	-0.0010	0.0018	-0.0006	1.5956	-0.0018	-0.0078	-0.0064	0.0026	-0.0040	0.0022	-0.0004	-0.0013	-0.0043	-0.0044	-0.0062	0.0034	0.0007	0.0089	-0.0019	-0.0006	0.0025	-0.0045	0.0011	0.0041	0.0022	-0.0009	-0.0065	-0.0006	-0.0051	0.0028	-0.0015	-0.0004	-0.0023	0.0013	-0.0046	-0.0014	-0.0006	-0.0021	-0.0015	-0.0111	0.0003	0.0002	0.0003	-0.0033	-0.0039	0.0033	-0.0080
Candidatus.Ratteibacteria	-0.0055	0.0011	-0.0038	-0.0086	0.0057	0.0023	0.0006	0.0031	-0.0003	-0.0035	0.0002	-0.0015	-0.0007	0.0033	-0.0087	-0.0035	0.0034	-0.0071	-0.0002	-0.0072	0.0047	-0.0070	-0.0017	0.0032	0.0027	0.0009	-0.0031	0.0020	-0.0016	-0.0018	-0.0006	-0.0028	0.0013	-0.0043	-0.0077	-0.0069	-0.0026	0.0009	0.0054	0.0018	0.0025	-0.0016	-0.0058	0.0001	-0.0030	-0.0018	0.0066	-0.0009	0.0014	-0.0068	-0.0006	-0.0065	-0.0025	-0.0006	-0.0061	-0.0018	1.6005	0.0002	0.0014	0.0061	0.0036	-0.0017	0.0015	-0.0071	0.0028	-0.0077	-0.0033	-0.0042	-0.0075	-0.0019	-0.0042	0.0066	-0.0048	-0.0026	0.0017	0.0016	-0.0064	-0.0012	-0.0013	0.0040	-0.0020	-0.0041	-0.0032	-0.0017	-0.0046	0.0049	-0.0067	0.0031	-0.0052	-0.0056	-0.0044	-0.0031	0.0002	-0.0089	-0.0010	-0.0041	-0.0054	0.0005	-0.0019
Candidatus.Firestonebacteria	-0.0027	0.0017	0.0067	-0.0007	-0.0040	0.0038	-0.0087	0.0024	-0.0062	0.0001	-0.0026	0.0004	-0.0032	-0.0017	-0.0055	-0.0092	-0.0022	-0.0049	0.0014	-0.0020	-0.0002	-0.0076	-0.0088	0.0046	-0.0043	0.0052	-0.0058	-0.0057	-0.0007	-0.0094	-0.0026	-0.0063	-0.0003	-0.0031	-0.0008	0.0038	0.0009	-0.0002	0.0028	0.0025	-0.0068	0.0033	-0.0056	-0.0021	0.0046	-0.0073	-0.0129	-0.0031	0.0060	-0.0036	0.0038	-0.0070	-0.0007	-0.0002	-0.0041	-0.0078	0.0002	1.6050	-0.0028	-0.0020	0.0002	-0.0011	-0.0004	-0.0028	-0.0020	-0.0007	-0.0006	-0.0041	-0.0040	-0.0016	-0.0054	-0.0023	-0.0069	0.0031	0.0014	0.0040	-0.0010	-0.0059	0.0046	-0.0075	-0.0028	-0.0058	-0.0051	-0.0008	0.0028	-0.0009	-0.0002	-0.0024	-0.0056	-0.0045	-0.0075	-0.0021	-0.0025	0.0044	0.0009	-0.0020	-0.0010	-0.0028	0.0017
Candidatus.Wallbacteria	-0.0029	0.0003	0.0026	0.0074	-0.0004	0.0010	-0.0028	-0.0013	-0.0035	-0.0038	0.0002	-0.0014	-0.0032	-0.0028	-0.0001	0.0069	-0.0004	-0.0005	0.0028	0.0001	-0.0013	-0.0060	0.0012	-0.0018	-0.0113	-0.0025	-0.0012	-0.0061	-0.0012	0.0010	-0.0120	-0.0069	0.0027	-0.0042	0.0003	-0.0014	-0.0029	-0.0010	-0.0031	-0.0056	-0.0028	0.0002	-0.0038	0.0040	-0.0017	-0.0017	-0.0047	-0.0038	0.0031	-0.0065	-0.0051	0.0012	-0.0014	-0.0009	-0.0059	-0.0064	0.0014	-0.0028	1.6158	-0.0010	0.0006	-0.0011	0.0057	-0.0059	0.0002	-0.0060	0.0011	-0.0060	0.0008	-0.0014	-0.0007	0.0020	0.0000	-0.0043	-0.0016	0.0020	-0.0037	0.0050	-0.0002	0.0028	-0.0070	-0.0017	0.0026	-0.0084	-0.0097	-0.0035	0.0018	0.0015	-0.0076	0.0009	0.0025	-0.0037	0.0025	-0.0002	-0.0046	-0.0043	0.0023	-0.0045	0.0026
Candidatus.Blackallbacteria	-0.0068	0.0013	-0.0008	0.0035	0.0071	-0.0021	0.0011	-0.0090	-0.0043	0.0041	-0.0030	-0.0066	-0.0023	0.0041	-0.0075	-0.0083	-0.0032	-0.0031	0.0030	0.0011	0.0011	-0.0021	-0.0019	-0.0016	-0.0048	-0.0046	-0.0013	-0.0056	-0.0002	-0.0075	0.0001	-0.0016	-0.0037	-0.0092	-0.0051	-0.0020	-0.0055	0.0031	-0.0036	0.0024	-0.0020	-0.0032	-0.0005	-0.0033	-0.0048	-0.0023	-0.0008	-0.0060	-0.0096	-0.0011	0.0018	-0.0006	0.0001	0.0009	0.0087	0.0026	0.0061	-0.0020	-0.0010	1.5982	-0.0021	-0.0008	-0.0001	0.0033	-0.0022	-0.0023	-0.0024	-0.0014	-0.0037	-0.0025	0.0014	-0.0000	-0.0037	-0.0049	-0.0090	-0.0016	-0.0018	0.0054	0.0018	0.0042	0.0009	0.0013	-0.0002	-0.0014	0.0011	-0.0029	0.0029	-0.0021	-0.0020	-0.0074	0.0027	-0.0009	0.0028	-0.0035	-0.0016	0.0018	0.0008	-0.0073	0.0011
Candidatus.Fischerbacteria	-0.0013	-0.0004	-0.0061	0.0014	-0.0042	-0.0004	-0.0069	-0.0008	-0.0051	0.0001	-0.0041	0.0013	-0.0007	-0.0018	-0.0038	0.0004	-0.0025	-0.0022	-0.0035	0.0040	-0.0142	0.0007	-0.0033	-0.0064	-0.0015	-0.0054	0.0019	-0.0077	0.0003	0.0017	-0.0017	-0.0054	-0.0009	-0.0018	0.0020	-0.0042	-0.0031	0.0014	-0.0012	-0.0062	-0.0070	-0.0038	0.0052	-0.0017	0.0021	-0.0009	-0.0015	0.0011	0.0062	-0.0020	-0.0024	-0.0055	0.0008	-0.0067	0.0045	-0.0040	0.0036	0.0002	0.0006	-0.0021	1.6138	-0.0095	-0.0026	0.0027	0.0010	0.0002	-0.0027	0.0001	-0.0031	-0.0057	-0.0042	0.0018	-0.0047	-0.0003	0.0028	0.0012	-0.0072	-0.0005	-0.0047	0.0011	0.0029	-0.0089	0.0014	-0.0072	-0.0018	-0.0007	0.0014	-0.0014	-0.0060	-0.0012	0.0045	-0.0024	-0.0044	-0.0030	0.0001	-0.0025	0.0022	0.0075	0.0067
Candidatus.Absconditabacteria	0.0031	-0.0034	0.0003	0.0021	-0.0046	-0.0071	-0.0041	-0.0086	0.0036	0.0029	-0.0018	0.0014	-0.0023	-0.0066	-0.0032	0.0006	-0.0024	-0.0061	0.0005	-0.0056	-0.0035	0.0078	-0.0042	-0.0081	-0.0097	-0.0061	0.0056	0.0019	-0.0039	-0.0021	-0.0028	-0.0009	0.0008	0.0044	0.0028	-0.0030	-0.0014	0.0057	-0.0037	0.0046	0.0025	-0.0044	0.0034	0.0060	-0.0033	-0.0075	0.0070	0.0014	0.0001	-0.0009	-0.0040	-0.0033	-0.0013	0.0034	-0.0030	0.0022	-0.0017	-0.0011	-0.0011	-0.0008	-0.0095	1.6046	-0.0031	-0.0020	-0.0015	-0.0059	-0.0050	-0.0052	-0.0003	-0.0010	0.0026	0.0017	-0.0002	0.0009	0.0036	0.0021	-0.0031	-0.0076	0.0028	-0.0039	-0.0057	-0.0003	0.0009	-0.0079	0.0033	-0.0003	-0.0033	0.0025	0.0005	-0.0051	0.0046	-0.0116	-0.0047	0.0025	-0.0022	0.0000	-0.0036	-0.0058	-0.0026
Planctomycetota	-0.0041	-0.0047	-0.0035	-0.0028	-0.0007	-0.0068	-0.0027	0.0025	-0.0001	-0.0032	0.0092	-0.0006	-0.0092	0.0029	-0.0071	-0.0089	-0.0067	0.0061	-0.0013	-0.0053	0.0040	0.0015	-0.0118	0.0008	0.0023	0.0029	0.0007	0.0062	0.0024	-0.0048	-0.0023	-0.0035	-0.0014	-0.0068	-0.0002	-0.0022	0.0037	-0.0044	-0.0036	-0.0035	-0.0034	0.0041	-0.0015	0.0021	0.0026	-0.0045	-0.0021	-0.0022	-0.0050	-0.0072	-0.0102	-0.0042	-0.0056	-0.0084	0.0047	-0.0004	0.0015	-0.0004	0.0057	-0.0001	-0.0026	-0.0031	1.6033	-0.0016	-0.0009	0.0038	-0.0017	-0.0043	-0.0045	-0.0059	-0.0040	-0.0029	-0.0051	0.0028	-0.0078	-0.0019	-0.0022	-0.0046	-0.0044	-0.0034	0.0012	-0.0080	-0.0038	0.0046	0.0011	-0.0045	-0.0001	0.0098	-0.0035	-0.0053	0.0011	-0.0014	-0.0107	0.0015	0.0005	-0.0031	-0.0059	-0.0012	-0.0123
Candidatus.Omnitrophica	0.0028	0.0042	-0.0035	-0.0010	-0.0048	-0.0000	-0.0016	-0.0093	0.0017	0.0005	0.0008	-0.0033	-0.0081	0.0029	0.0013	0.0040	-0.0024	-0.0013	0.0046	-0.0051	0.0038	-0.0004	-0.0001	0.0009	-0.0089	0.0008	-0.0005	-0.0030	-0.0040	-0.0060	0.0053	-0.0003	0.0023	-0.0016	-0.0078	-0.0075	-0.0032	-0.0107	-0.0059	-0.0027	-0.0029	-0.0010	-0.0044	0.0032	-0.0034	-0.0026	-0.0002	-0.0029	-0.0021	0.0040	0.0007	-0.0008	-0.0007	0.0011	-0.0029	-0.0013	-0.0071	-0.0028	-0.0059	0.0033	0.0027	-0.0020	-0.0016	1.6061	-0.0069	-0.0077	-0.0045	-0.0050	-0.0034	0.0022	-0.0066	-0.0029	0.0001	0.0042	0.0017	-0.0034	-0.0090	-0.0046	0.0004	-0.0057	0.0013	0.0005	-0.0055	-0.0101	0.0006	0.0032	-0.0067	-0.0040	-0.0006	-0.0060	-0.0044	0.0008	0.0036	-0.0057	-0.0065	0.0046	-0.0012	-0.0001	-0.0027
Verrucomicrobiota	-0.0030	0.0022	-0.0020	-0.0017	-0.0009	0.0042	-0.0006	-0.0084	-0.0047	-0.0035	-0.0027	-0.0049	-0.0045	-0.0087	-0.0027	-0.0027	0.0084	-0.0007	-0.0025	-0.0065	0.0011	0.0011	-0.0054	-0.0003	-0.0018	-0.0072	0.0007	0.0007	-0.0095	-0.0010	0.0012	0.0027	-0.0002	0.0037	-0.0055	0.0034	-0.0059	-0.0044	-0.0020	0.0010	-0.0016	-0.0103	0.0003	-0.0027	-0.0032	0.0052	-0.0040	-0.0049	0.0045	0.0060	0.0021	-0.0042	-0.0087	-0.0010	-0.0055	-0.0043	0.0028	-0.0020	0.0002	-0.0022	0.0010	-0.0015	-0.0009	-0.0069	1.6028	0.0104	-0.0010	-0.0005	-0.0008	-0.0078	-0.0079	-0.0054	0.0013	-0.0022	0.0031	-0.0077	-0.0031	-0.0061	0.0002	-0.0005	0.0023	-0.0045	-0.0042	0.0018	-0.0053	-0.0024	-0.0008	-0.0083	0.0041	-0.0042	-0.0004	-0.0053	-0.0001	-0.0038	-0.0017	-0.0106	-0.0001	-0.0031	-0.0002
Lentisphaerota	-0.0083	-0.0018	-0.0016	0.0004	-0.0014	-0.0083	0.0035	-0.0011	-0.0044	0.0002	-0.0043	0.0038	-0.0021	-0.0021	0.0004	-0.0016	0.0039	0.0020	-0.0002	-0.0014	0.0019	0.0037	-0.0007	-0.0025	0.0031	-0.0056	0.0000	-0.0060	0.0003	-0.0062	0.0035	0.0030	0.0029	-0.0013	-0.0036	-0.0054	0.0044	0.0078	-0.0042	-0.0061	0.0028	0.0008	-0.0017	-0.0015	-0.0046	-0.0044	0.0002	0.0000	0.0002	-0.0053	0.0009	-0.0005	0.0023	-0.0039	0.0020	-0.0044	-0.0077	-0.0007	-0.0060	-0.0023	0.0002	-0.0059	0.0038	-0.0077	0.0104	1.5957	-0.0007	0.0030	-0.0073	-0.0010	0.0011	-0.0077	-0.0033	-0.0043	-0.0005	-0.0031	-0.0044	-0.0032	-0.0027	-0.0006	0.0013	-0.0007	-0.0038	-0.0009	-0.0041	-0.0027	-0.0059	0.0044	0.0054	0.0007	-0.0054	-0.0024	-0.0075	-0.0046	-0.0047	-0.0117	-0.0021	-0.0047	0.0013
Chlamydiota	-0.0008	-0.0019	-0.0033	0.0040	-0.0005	-0.0061	-0.0050	-0.0000	-0.0007	-0.0067	-0.0070	0.0017	0.0018	-0.0057	0.0024	-0.0053	0.0068	-0.0042	-0.0001	-0.0025	-0.0043	-0.0052	-0.0010	0.0011	0.0008	0.0045	-0.0005	-0.0030	-0.0036	0.0022	-0.0022	0.0024	-0.0057	0.0073	-0.0005	-0.0032	-0.0014	0.0025	-0.0034	0.0031	-0.0036	0.0003	-0.0020	0.0005	0.0062	-0.0021	0.0013	0.0036	-0.0003	-0.0066	-0.0040	-0.0056	-0.0076	0.0032	-0.0081	-0.0062	-0.0033	-0.0006	0.0011	-0.0024	-0.0027	-0.0050	-0.0017	-0.0045	-0.0010	-0.0007	1.6051	0.0002	-0.0021	-0.0061	0.0023	-0.0025	0.0005	-0.0032	0.0004	-0.0008	0.0004	0.0008	0.0016	-0.0012	-0.0038	-0.0018	-0.0098	-0.0059	-0.0049	-0.0086	0.0012	-0.0007	-0.0037	-0.0003	-0.0024	-0.0054	-0.0041	-0.0032	-0.0066	0.0001	-0.0048	-0.0041	-0.0056
Kiritimatiellota	-0.0011	-0.0024	-0.0023	0.0015	-0.0040	0.0015	-0.0018	-0.0003	0.0012	0.0014	-0.0053	-0.0025	-0.0018	-0.0032	-0.0072	0.0006	-0.0017	-0.0029	-0.0034	-0.0044	-0.0114	-0.0013	-0.0029	-0.0043	0.0028	-0.0099	-0.0038	-0.0021	-0.0069	-0.0018	0.0020	0.0023	0.0004	-0.0038	-0.0073	-0.0020	-0.0020	0.0017	0.0031	-0.0055	0.0066	-0.0040	0.0006	0.0029	0.0015	-0.0001	-0.0010	-0.0032	-0.0064	-0.0015	-0.0001	-0.0030	0.0083	0.0071	0.0002	0.0034	-0.0042	-0.0041	-0.0060	-0.0014	0.0001	-0.0052	-0.0043	-0.0050	-0.0005	0.0030	0.0002	1.5971	0.0018	-0.0073	0.0006	-0.0002	-0.0017	-0.0036	-0.0024	-0.0006	-0.0041	-0.0074	-0.0025	-0.0024	-0.0058	0.0039	-0.0063	-0.0009	-0.0058	-0.0045	-0.0000	0.0012	0.0075	-0.0074	-0.0033	-0.0033	-0.0046	0.0045	-0.0047	-0.0031	-0.0050	-0.0013	-0.0049
Thermodesulfobacteriota	0.0002	-0.0048	0.0035	0.0025	-0.0063	-0.0036	0.0035	-0.0061	-0.0051	0.0015	0.0046	-0.0074	0.0023	-0.0004	0.0007	-0.0040	-0.0041	-0.0011	-0.0046	-0.0004	0.0034	-0.0076	-0.0104	-0.0015	-0.0001	0.0031	-0.0086	-0.0007	0.0074	0.0043	-0.0019	-0.0026	-0.0022	-0.0029	-0.0034	-0.0004	0.0014	-0.0042	-0.0025	-0.0094	0.0001	-0.0009	-0.0010	-0.0014	-0.0040	-0.0031	-0.0049	-0.0049	0.0011	0.0042	-0.0009	-0.0012	0.0017	-0.0005	-0.0011	0.0007	-0.0075	-0.0040	0.0008	-0.0037	-0.0031	-0.0003	-0.0045	-0.0034	-0.0008	-0.0073	-0.0021	0.0018	1.6098	0.0003	-0.0046	0.0027	0.0050	-0.0050	0.0053	-0.0059	-0.0080	-0.0045	0.0026	-0.0024	-0.0095	-0.0054	-0.0063	-0.0042	0.0010	-0.0039	-0.0060	0.0015	0.0019	-0.0010	0.0020	-0.0026	-0.0013	-0.0059	-0.0010	-0.0008	0.0011	0.0020	0.0021
