id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.0006560401923598461,-3.183069552719791,0.06560401923598477,0.04884185287251023,0.0037350298401149797,0.07330528210741032,0.8538011695906432
1,Actinomycetota,0.059091333559037264,-1.228476208856076,5.909133355903737,8.410110827903905,0.6431372491721107,2.8958896905792266,1.0
2,Aquificota,0.00012000479727646844,-3.9208013923769207,0.012000479727646882,0.01881927702367,0.0014391460830995514,0.007271569538805641,0.7426900584795322
3,Armatimonadota,0.0001361883253960326,-3.865860120274884,0.013618832539603302,0.01360204196765196,0.0010401741467156848,0.013976440738090021,0.7719298245614035
4,Atribacterota,7.82469629815665e-05,-4.106532509831908,0.007824696298156675,0.011489502424326696,0.0008786242101615025,0.004230498722918208,0.7192982456140351
5,Bacillota,0.33279892283889245,-0.477818088048027,33.27989228388929,23.710045803750702,1.8131525193907003,25.09765625000004,1.0
6,Bacteroidota,0.34137538584478716,-0.4667677959839064,34.1375385844788,28.293472701587813,2.1636559345271578,30.92909937038053,1.0
7,Balneolota,2.1769817089501556e-05,-4.662145219895693,0.0021769817089501617,0.002493627234640833,0.00019069244067824873,0.0017673955911054605,0.5730994152046783
8,Bdellovibrionota,0.0004984459776836868,-3.3023819042835787,0.049844597768368845,0.08236882004805915,0.006298901099792577,0.022333891680620024,0.783625730994152
9,Caldisericota,2.4292158420453544e-05,-4.614533895304107,0.0024292158420453625,0.005654515468294774,0.0004324116052804296,0.0007994116330380857,0.5906432748538012
10,Calditrichota,3.508433861029478e-05,-4.454886706126951,0.0035084338610294895,0.005778232969108515,0.0004418725190277017,0.0021360389827114372,0.672514619883041
11,Campylobacterota,0.008439896913364822,-2.073662857903993,0.8439896913364836,3.123425995520396,0.23885435565090055,0.2154854869603606,0.9122807017543859
12,Candidatus Abawacabacteria,1.8575199218580727e-05,-4.731066519744165,0.0018575199218580796,0.004446652415626948,0.00034004400906612086,0.0001607998829376852,0.5614035087719298
13,Candidatus Absconditabacteria,7.132300030397493e-05,-4.14677039589414,0.007132300030397517,0.015493055557569713,0.0011847835702124138,0.0017260499777771133,0.6257309941520468
14,Candidatus Adlerbacteria,1.8302361634334737e-05,-4.737492867723927,0.0018302361634334782,0.002920974696632867,0.00022337251788179024,0.0010651413842044924,0.6081871345029239
15,Candidatus Aenigmarchaeota,4.611718224922535e-06,-5.336137235874237,0.00046117182249225515,0.0018841184014069367,0.00014408213525260067,0.0,0.25146198830409355
16,Candidatus Altiarchaeota,1.183244101941497e-05,-4.926925651660852,0.0011832441019415014,0.0027948289528482422,0.0002137259117534577,0.0,0.47368421052631576
17,Candidatus Amesbacteria,2.9101425158854877e-05,-4.5360857421662955,0.002910142515885495,0.004452471871128029,0.00034048903395095666,0.0018983947490401202,0.6023391812865497
18,Candidatus Aminicenantes,0.00011485484676954634,-3.9398506732521033,0.011485484676954665,0.010517309108988591,0.000804278729194054,0.011201575295220033,0.7368421052631579
19,Candidatus Andersenbacteria,1.6087152645383198e-05,-4.7935208172948265,0.0016087152645383259,0.004287557905077444,0.0003278777477686234,0.0003052950371238775,0.5672514619883041
20,Candidatus Azambacteria,3.118413847878436e-05,-4.506066249659292,0.003118413847878447,0.005537912443250592,0.00042349474909308347,0.001586437021094323,0.6374269005847953
21,Candidatus Bathyarchaeota,1.3466870407868278e-05,-4.870733319088494,0.0013466870407868334,0.004074194317210546,0.0003115614264047099,0.00012624254222181805,0.5263157894736842
22,Candidatus Beckwithbacteria,4.2345766914861507e-05,-4.373189997314429,0.0042345766914861655,0.008709305593256845,0.0006660172447266691,0.0017900936218964306,0.6608187134502924
23,Candidatus Berkelbacteria,9.589611455022352e-05,-4.018198988904229,0.009589611455022382,0.013703580801613633,0.0010479390154189108,0.0059335516385873735,0.7017543859649122
24,Candidatus Bipolaricaulota,6.510174805731971e-06,-5.186407349965516,0.0006510174805731991,0.001330735281836551,0.00010176387042332706,0.0,0.4327485380116959
25,Candidatus Blackallbacteria,1.7411487379380086e-05,-4.759164127615246,0.0017411487379380144,0.00361797522429641,0.00027667348040249037,0.000795924864692775,0.5730994152046783
26,Candidatus Blackburnbacteria,1.0251289181473996e-05,-4.989221515174677,0.0010251289181474027,0.0020848612129422983,0.00015943332172847562,0.00014855287219550734,0.5263157894736842
27,Candidatus Brennerbacteria,1.791314853458037e-06,-5.746828072944023,0.00017913148534580425,0.0007529682302613123,5.758091970887236e-05,0.0,0.2222222222222222
28,Candidatus Buchananbacteria,8.564481076187152e-05,-4.067298945900548,0.008564481076187179,0.01297310958254991,0.0009920784851546348,0.004450163728940533,0.6900584795321637
29,Candidatus Calescamantes,3.3805112082837832e-06,-5.471017619796572,0.00033805112082837955,0.0013390036017697372,0.00010239616465177656,0.0,0.29239766081871343
30,Candidatus Campbellbacteria,5.867313296958422e-05,-4.231560721139814,0.005867313296958443,0.011319906517537408,0.0008656548870223332,0.001913289710327943,0.6491228070175439
31,Candidatus Chisholmbacteria,8.304361054703271e-06,-5.080693776950278,0.0008304361054703296,0.001705250164385073,0.00013040373929843252,5.847204363885567e-05,0.5029239766081871
32,Candidatus Cloacimonetes,1.4326032863084627e-05,-4.8438740569300185,0.001432603286308467,0.0028812308542360793,0.0002203332302916919,0.0004944803629485874,0.5730994152046783
33,Candidatus Coatesbacteria,1.045145074040112e-05,-4.980823422010237,0.0010451450740401147,0.0014458796559380475,0.00011056918078518084,0.0004677763491108455,0.5263157894736842
