#OTU ID	mgm4612269	mgm4624935	mgm4624936	mgm4624937	mgm4624938	mgm4624939	mgm4624940	mgm4624941	mgm4624942	mgm4624943	mgm4625757	mgm4625759	mgm4625760	mgm4625761	mgm4625762	mgm4625763	mgm4625764	mgm4625765	mgm4625766
Pseudomonadota	0.766798906705989	0.816428776272463	0.947364799187978	0.856262307995274	0.712535956203025	0.799693984554134	0.518824115856858	0.722184437895161	0.436009542918176	0.122691127217784	0.896409863799662	0.947364799187978	0.90687202146507	0.797295885662734	0.799693984554134	0.502144130668959	0.76755661168577	0.450172827607936	0.0963158010021733
Actinomycetota	0.011617791323984	0.0290340302468048	0.0046417329842273	0.0160890114218196	0.0299248399369027	0.0131045838563662	0.00587023822017	0.0170029471775108	0.0121682188881901	0.0019308794558954	0.0154966109413465	0.0046417329842273	0.0123200806449179	0.019595926022649	0.0131045838563662	0.0034613211896306	0.0102750478484334	0.0099211387161642	0.0011382594029409
Chloroflexota	0.0003208311996001	0.0002971470428686	6.21985603018351e-05	0.0002363135092556	0.0003711608054189	0.0001890612668423	0.0001574142092559	0.0005289805788558	0.0006987492388624	8.23402753047105e-05	0.0001495981749022	6.21985603018351e-05	0.0001388348137349	0.0003205052111773	0.0001890612668423	0.0001489864510545	0.0003516053418206	0.0006079083689336	5.902245648011e-05
Bacillota	0.0682074790688491	0.0544124608266907	0.0087872008596635	0.0404785348562426	0.062958151619189	0.0280558126446813	0.0216247769965369	0.0440313358019094	0.0547320296668963	0.0058708616292258	0.0321570076845063	0.0087872008596635	0.0254867518388067	0.0467605232544337	0.0280558126446813	0.0147499853790709	0.0347723704866562	0.0424868641751073	0.0037180910519042
Cyanobacteriota	0.0067436250223656	0.0090560744111478	0.0015609191888513	0.0050807404489956	0.0067736846988958	0.0054278170678356	0.0026891594081225	0.0044333610418398	0.0044320666007846	0.0007554720259207	0.0046727429925354	0.0015609191888513	0.0040262095983146	0.0067543505614776	0.0054278170678356	0.0018273710981314	0.0044708715941592	0.00391063005625	0.0004659213292159
Candidatus.Melainabacteria	0.0002313686535578	0.0001278423323969	1.85272307282062e-05	7.87711697518708e-05	0.0001391853020321	6.15548310649645e-05	2.62357015426593e-05	0.0001007582054963	9.98213198374909e-05	1.23510412957066e-05	4.83994095272038e-05	1.85272307282062e-05	4.22540737454313e-05	9.97127323662781e-05	6.15548310649645e-05	3.33259166832479e-05	7.95681813294338e-05	0.0001278831629768	8.20056068096593e-06
Candidatus.Margulisbacteria	4.93586460923377e-05	3.10967835560209e-05	4.63180768205155e-06	1.96927924379677e-05	9.27902013547369e-05	3.95709628274772e-05	6.55892538566481e-06	5.03791027481801e-05	4.99106599187454e-05	1.02925344130888e-05	2.41997047636019e-05	4.63180768205155e-06	1.96179628103788e-05	6.41010422354645e-05	3.95709628274772e-05	1.47026103014329e-05	5.16117932947679e-05	4.26277209922992e-05	6.47412685339415e-06
Deinococcota	6.78681383769643e-05	0.0001036559451867	2.4482412033701e-05	6.8924773532887e-05	0.0001391853020321	6.81499915362107e-05	7.21481792423129e-05	0.0002267059623668	9.98213198374909e-05	4.11701376523552e-05	7.03991411304782e-05	2.4482412033701e-05	4.52722218701049e-05	9.25903943401154e-05	6.81499915362107e-05	5.12957737183326e-05	9.99978495086127e-05	7.59885461167073e-05	2.00697932455219e-05
Armatimonadota	2.77642384269399e-05	5.18279725933681e-05	3.9701208703299e-06	9.84639621898385e-06	0.0	1.97854814137386e-05	5.24714030853185e-05	2.518955137409e-05	0.0001896605076912	1.02925344130888e-05	2.41997047636019e-05	3.9701208703299e-06	3.01814812467366e-05	2.61152394292633e-05	1.97854814137386e-05	2.48310751757534e-05	2.90316337283069e-05	0.0001223230254561	5.7188120538315e-06
Mycoplasmatota	0.0050469215629415	0.0047474422895525	0.0007695417620322	0.0029440724694761	0.0051498561751879	0.0021742045686875	0.0012724315248189	0.0029219879593944	0.002026372792701	0.0003005420048621	0.0026773673361185	0.0007695417620322	0.0017973072082431	0.0031884333230455	0.0021742045686875	0.0007756443745689	0.0019902797789294	0.0017959244191973	0.0001752330334985
Thermomicrobiota	0.0	0.0	1.98506043516495e-06	0.0	0.0	4.39677364749747e-06	0.0	0.0	1.99642639674982e-05	0.0	4.39994632065489e-06	1.98506043516495e-06	0.0	2.37411267538757e-06	4.39677364749747e-06	1.96034804019106e-06	1.075245693641e-06	1.11202750414694e-05	0.0
Candidatus.Kaiserbacteria	0.00012031169985	3.80071799018033e-05	9.26361536410309e-06	7.87711697518708e-05	9.27902013547369e-05	3.07774155324823e-05	1.31178507713296e-05	7.55686541222701e-05	0.0001497319797562	1.44095481783243e-05	2.41997047636019e-05	9.26361536410309e-06	2.11270368727156e-05	6.64751549108521e-05	3.07774155324823e-05	1.69896830149891e-05	6.98909700866648e-05	8.52554419845984e-05	4.63979091159914e-06
Candidatus.Nomurabacteria	0.0002807272996501	0.0002556846647939	4.36713295736289e-05	0.0001181567546278	0.0001855804027094	0.0001099193411874	3.27946269283241e-05	0.0001007582054963	6.98749238862436e-05	2.88190963566487e-05	0.0001385983091006	4.36713295736289e-05	0.0001086533324882	0.0002112960281094	0.0001099193411874	5.42362957786192e-05	0.000110750306445	6.48682710752379e-05	1.3271960049458e-05
