#OTU ID	mgm4453247	mgm4453254	mgm4453256	mgm4453257	mgm4453261	mgm4453274	mgm4453406	mgm4453407	mgm4453433	mgm4453434	mgm4453435	mgm4453436	mgm4477804	mgm4623639	mgm4623640	mgm4623641	mgm4623642	mgm4623643	mgm4623644	mgm4623645	mgm4623646	mgm4623647	mgm4623648	mgm4623649	mgm4623650	mgm4623651	mgm4623652	mgm4623653	mgm4623654	mgm4623655	mgm4623656	mgm4623657	mgm4623658	mgm4623659	mgm4623660	mgm4623661	mgm4623662	mgm4623663	mgm4623664	mgm4623666	mgm4623667	mgm4623668	mgm4623669	mgm4623670	mgm4623671	mgm4623672	mgm4623673	mgm4623674	mgm4623675	mgm4623676	mgm4623677	mgm4623678	mgm4623679	mgm4623680	mgm4623682	mgm4623683	mgm4623684	mgm4623685	mgm4623686	mgm4623687	mgm4623688	mgm4623689	mgm4623692	mgm4623693	mgm4623694	mgm4623696	mgm4623697	mgm4623698	mgm4623699	mgm4623700	mgm4623701	mgm4623702
Pseudomonadota	0.641483882487055	0.647399271736878	0.554375035237075	0.519098566392141	0.507284905505065	0.520626786242239	0.5099091559138039	0.580292260652027	0.5535162660488461	0.502412870332792	0.48708784504129604	0.513819839255156	0.5194794392236071	0.44447392310544603	0.41434962225149696	0.402224239604378	0.37751837805294297	0.467509517753181	0.424969972246755	0.41318051741205997	0.45907409906582	0.417473082217525	0.459681882999617	0.419904438010579	0.44959644826213396	0.41897338364993103	0.401758426439456	0.42233287593099295	0.459019496850893	0.4273567898817	0.47051098150384	0.480872588192231	0.528328581430317	0.47067803585330503	0.448799750001483	0.434711812114568	0.42258878404125705	0.417354492804135	0.380235201092411	0.437383014380048	0.42307442412816704	0.45896754219818503	0.449070090291733	0.452485750810973	0.43122364361776205	0.40333252059063	0.420807639116742	0.361009749208574	0.428626438880678	0.5214572429220891	0.41438262706171997	0.419382178401699	0.430139749551455	0.402384531805336	0.436675461741425	0.465117350995412	0.379757204453447	0.389409116871042	0.38426447070148706	0.459209315236606	0.44058070060249105	0.441794106543774	0.420581475482668	0.47445028525152005	0.392209515207505	0.38213213213213204	0.4331151515910471	0.501856425940613	0.418214543220769	0.408755020882695	0.434159494504475	0.406323303698126
Actinomycetota	0.202076666346193	0.20348071286894198	0.226016237244179	0.19191115304421105	0.353279045874021	0.19574258401498001	0.33622875158449	0.25763411825437804	0.28545226373202004	0.358341365665584	0.39549535663365604	0.355800034062984	0.333212782924276	0.38993982091180696	0.42749088218713394	0.448458748660622	0.468270871600971	0.38650262971217997	0.42532648550083	0.455955228088289	0.383112861679219	0.43689473512467	0.37817314936921	0.43521149941998	0.38350203283909795	0.43933429987350203	0.4620318265290979	0.42632860225008895	0.39805862508053996	0.42974698489857505	0.371154518192748	0.371791968219634	0.320494984307965	0.37564187586337106	0.40014398648742205	0.413505068864424	0.4178175419843621	0.42320771029147797	0.48031456431922703	0.41928426982163197	0.425947402047258	0.38453547766291707	0.38755217781431706	0.391375773927259	0.4203482526267949	0.43808966893821394	0.41909656527991995	0.5056814851746679	0.40867379888687105	0.325224866950784	0.435739755331601	0.42668617222095706	0.4209466799508189	0.423093222105202	0.392097008409104	0.334917986820019	0.441849439368279	0.45606186752562894	0.459160443126417	0.37341544065724797	0.41256840866113104	0.403877686209426	0.4385308841072	0.385230551197044	0.468342918249318	0.367117117117117	0.41601933502963595	0.389635704777522	0.454874402906842	0.425609203460742	0.436365926801514	0.45247989729035704
Chloroflexota	0.00420277712920106	0.00411128215755351	0.00371257822630659	0.0035255013666269297	0.00671327136311115	0.00411287408429421	0.0054278935222803705	0.0037842989318190795	0.0062144029346462	0.00695642248376623	0.00550717377621928	0.00572177030194402	0.00656758628546216	0.00660179940588067	0.00717914005767318	0.0065123722949102895	0.00727529307098511	0.00556583934620276	0.006877156104575679	0.00623530489040269	0.00535874407169601	0.0058675871104037	0.00546493778441443	0.00627523970630553	0.00643692166632484	0.00527947550185626	0.005515111731039171	0.00665747728832053	0.00565650527919376	0.00656199724311643	0.006056890106743071	0.00483056364854501	0.00402310056294265	0.00597957006440384	0.00543509433290546	0.0054377363476323295	0.0066515584275863	0.0056240678418743	0.00453858453350762	0.00537397423530355	0.0051049953152644	0.0053950541216920295	0.0053616794462121	0.0049188881059061	0.00437406071052626	0.0056575157348364895	0.00519516360993649	0.0045402103670946796	0.00546163912062289	0.00496913565744616	0.00518686884812354	0.00596244393408893	0.00510185084788759	0.0052165975195978395	0.00498341432394981	0.0030882177833715103	0.00703785745704721	0.00487954111630993	0.00553519858398286	0.00518405968608315	0.00563847785548203	0.0052182088850583706	0.00587352505955733	0.00454088605123681	0.00499764827574576	0.0045045045045045	0.0061740763148235	0.00362743730694037	0.00432344067965448	0.006304312487569829	0.00562696810932137	0.00608551414349103
Bacillota	0.008718702358224941	0.00838538737085171	0.00968032925522918	0.00982026785167686	0.0103320965711098	0.0122335008705364	0.00916972730522963	0.00887900567843386	0.00954484023554397	0.0096292867288961	0.00739855882239605	0.0109812572485219	0.0104426791846211	0.0163159061172128	0.011948835960043999	0.0109999530175608	0.0122574039490285	0.0110813091055621	0.0117406296625972	0.00938468182857093	0.0115528249158662	0.0104492601764264	0.0149006577374812	0.0114757941920179	0.011788053903413	0.0101886990145646	0.0107282177453833	0.0115335653410265	0.0110678046506393	0.0111182464991802	0.0128291013321121	0.0126177704899808	0.00901485383127818	0.0127711999245083	0.013453242959397	0.010791199922869001	0.0124653383910072	0.0112843469857486	0.00974971405896221	0.0105520408112565	0.011540125521006	0.0136773274609586	0.0122251547922113	0.0118340164309303	0.00942022926702727	0.0110092198083305	0.011211520003924998	0.00940558168886191	0.0103959809302202	0.00968710207509362	0.0123081204919875	0.0107499117240627	0.0174704328737753	0.0196110442643132	0.0181196731269338	0.018712397555544998	0.0191802687134049	0.0239514995061571	0.0110276992826755	0.0225673392064907	0.00940024605351276	0.0116943152436375	0.00975830741729314	0.00971807460646859	0.011290150304225002	0.108108108108108	0.0115095238952446	0.00768731168562155	0.00935070417858481	0.0116650668255307	0.0100854700209969	0.0115878164226026
Cyanobacteriota	0.00313148099822824	0.00281979928357855	0.00414669899081017	0.00414849599014732	0.00330175880392797	0.005643704214710421	0.00353463126076641	0.0031410078227375603	0.00345110531904624	0.00334187297077922	0.00247903099430979	0.0032765346590863	0.00359481319809988	0.0054830309462010896	0.00851717356163858	0.007270153571953609	0.0048709030459441706	0.00449128816020887	0.00467518517275266	0.00371248668833065	0.007985307461008279	0.00441791239589716	0.0108417167520838	0.00620789180541715	0.00429128111088323	0.0041057354917435	0.005930831091673129	0.0106377042811206	0.00371200007154944	0.00481782682317164	0.00537941666635127	0.00333627617885799	0.00274636633806951	0.005858468829538221	0.00441749752275995	0.005938373749745571	0.00555696303571491	0.0106325435497487	0.00468155505240307	0.0043042900228346	0.00608732017138346	0.00459397320919194	0.00692392565348097	0.00573260479346451	0.0105645277129253	0.00541162662875704	0.00419673056106663	0.00593398670613559	0.00912417851674653	0.00300634202330492	0.00743571686322751	0.00670367671824479	0.00513417470842037	0.0205579376481475	0.00463224407281563	0.051922261927473	0.0361980819731287	0.0052103655777866	0.0168317004626898	0.0071198640310507905	0.0049496949974088605	0.0036825197837499	0.0062347171157808605	0.00310197470697547	0.00426371042747663	0.00075075075075075	0.0053585362856612894	0.00233549029203532	0.00317372505490648	0.00552331151676745	0.00297246033042172	0.00347031170059753
Candidatus Melainabacteria	5.493826312681121e-05	4.44062879303709e-05	5.63793200654e-05	3.6011249914473296e-05	2.1341007966293398e-05	4.599060477645279e-05	1.21883836578152e-05	2.77965294047572e-05	5.63117418026193e-05	6.34131493506494e-06	1.28447201777709e-05	2.4330702914007198e-05	1.44660490869211e-05	2.45063567358385e-05	3.44346857638154e-05	1.97023132031263e-05	2.7610220383245197e-05	8.39493114057732e-06	2.62369061440275e-05	2.30723585213791e-05	2.82712956201362e-05	1.8732770383369198e-05	2.99921747689466e-05	2.70111901958743e-05	2.23190049343097e-05	1.8247713296637803e-05	1.62448062769931e-05	1.75659031354104e-05	2.19865479591825e-05	2.35179830977695e-05	2.9016553312870397e-05	2.5427131458860998e-05	2.35918280683081e-05	2.35911496491472e-05	1.6811609108332002e-05	2.14252811175427e-05	2.56816927706035e-05	2.20662621562472e-05	2.9177656917438898e-05	2.69727936787129e-05	2.52671485300965e-05	2.6623460593475e-05	2.26031584497177e-05	2.78068652223195e-05	2.8942443128099297e-05	1.7219125075592003e-05	2.7597965110039195e-05	1.76630642044355e-05	1.88666010366955e-05	2.05036114121392e-05	2.1084832715949302e-05	2.2399891828886e-05	1.92306512030409e-05	2.22308057833441e-05	2.6100491638351602e-05	2.1766045736863896e-05	2.37053582011321e-05	1.9150475338735998e-05	1.64969102257554e-05	3.4089636263581107e-05	1.5505068666582e-05	2.63545903285776e-05	1.57420266634949e-05	2.16921308180103e-05	1.9363466635185398e-05	0.0	2.30887052401969e-05	1.1141031428437e-05	1.45270927314729e-05	2.81523605754343e-05	1.6972556131071898e-05	2.17196142596507e-05
Candidatus Margulisbacteria	2.74691315634056e-06	0.0	1.409483001635e-05	3.60112499144733e-06	3.0487154237562e-06	1.3140172793272198e-05	4.06279455260506e-06	3.970932772108171e-06	0.0	0.0	9.633540133328191e-06	8.11023430466906e-06	7.23302454346053e-06	5.32746885561707e-06	2.9515444940413202e-06	6.8200314933898695e-06	9.20340679441507e-06	1.2592396710866e-05	6.559226536006871e-06	6.48910083413786e-06	6.4010480649365e-06	6.64711207151809e-06	9.08853780877171e-06	6.48268564700984e-06	5.42894714618345e-06	9.41817460471627e-06	3.69200142658935e-06	7.233018938110159e-06	7.825720460048019e-06	7.199382580949859e-06	1.26158927447262e-06	4.1393004700471295e-06	4.85714107288695e-06	5.7667254697915296e-06	7.91134546274449e-06	9.284288484268491e-06	9.02329745994177e-06	6.223817531249221e-06	6.56497280642375e-06	7.098103599661279e-06	6.18787310941139e-06	5.70502727003035e-06	5.78220332434639e-06	1.17081537778188e-05	1.01834522117386e-05	6.88765003023678e-06	7.35945736267713e-06	5.62006588322948e-06	5.8051080112909305e-06	4.27158571086234e-06	4.81939033507414e-06	4.479978365777201e-06	9.41074420574342e-06	6.2524141265655404e-06	5.93192991780718e-06	5.12142252632091e-06	0.0	5.7451426016208e-06	6.79284538707574e-06	1.21748700941361e-05	7.75253433329099e-06	5.69828980077354e-06	4.3727851843041495e-06	1.4461420545340198e-05	4.99702364778979e-06	0.0	5.87000980682972e-06	7.4273542856246905e-06	5.33648304421454e-06	4.5407033186184306e-06	4.90318288230966e-06	3.21772063105937e-06
Deinococcota	0.00178274663846502	0.00165413422540632	0.0020127417263347803	0.00217868061982563	0.00192678814781392	0.00231924049801255	0.00219797185295934	0.0020370885120914897	0.00246967210477202	0.0018453226461039	0.0018078943650212602	0.00184913342146455	0.00215182480167951	0.0027447119544139103	0.00285807891839668	0.0026681478764695303	0.00299954366441311	0.0022582364768153	0.002807734794266	0.0025357964037403197	0.00253748213707524	0.00244069869607832	0.0022203297866829302	0.00250735874858236	0.0025715112982422302	0.00231039595771946	0.00223735286451315	0.00251812387888206	0.00231790386959518	0.00241947250603788	0.0024474831924768898	0.00192181807537903	0.0017825707737495102	0.00224325620774891	0.002236932929591	0.00251747053131126	0.00284789149831854	0.00252460671131218	0.0024414404425667	0.00232888779104887	0.0023013731406085897	0.0021636315921590103	0.0023722803275250197	0.00222454921778556	0.00222588826501845	0.0027750341971824	0.0027027607164431698	0.00229298688035763	0.00261858747209315	0.00212724968400945	0.00230427100395732	0.00269491062239525	0.00236127847005849	0.00242107369234232	0.00237751751105712	0.00174896579273859	0.00273138405050822	0.0023076322783176896	0.00283261652641058	0.00263464188837105	0.00251420651916576	0.0024096642995021103	0.00266827351946239	0.00235721154889045	0.0023873280477315698	0.00225225225225225	0.00260080567841269	0.00180278393743857	0.00209990607789842	0.0028570105280747104	0.00224603492801185	0.002425356925661
Armatimonadota	0.0007141974206485401	0.00059578436306581	0.00093871567908891	0.00092909024779341	0.0006371815235650401	0.0010183633914786	0.00071505184125849	0.00063137831076519	0.00079238665250828	0.00064364346590909	0.00041745340577755	0.0006812596815922	0.00064373918436798	0.00078100693423346	0.0007644500239567	0.00067215199273742	0.00087355669490323	0.00070517421580849	0.00080794237449402	0.00065684120665551	0.0007819947052664	0.00069190393835347	0.00061983827855823	0.0007116548243606299	0.0007359239464826401	0.00061276998521935	0.00057078342055071	0.00074086779694642	0.0006312747837772	0.00064218492622072	0.00069892045805783	0.0005357437465518099	0.00046975492947777997	0.0006039334310181599	0.00057357254604897	0.00066489789068107	0.00085860145830368	0.00070102817465616	0.00059887140823043	0.0006565745829686599	0.00064560142774858	0.00056242060503715	0.00067494082440552	0.0005839441696687099	0.00060779130569008	0.0007218257231688099	0.00069485543265943	0.0005732467200894	0.0006622660722881	0.0005540246666988401	0.00065423223798631	0.00070417114494807	0.00058837609425474	0.00066831359886178	0.00061276836050948	0.00042763878094779	0.00069799110258888	0.00062813559111054	0.00086463217712635	0.0006184834007821099	0.0006357078153298599	0.00067382276894147	0.00070226930059924	0.0005784568218136	0.00065773323764033	0.0	0.0006468750807126299	0.0004984579987241401	0.00048621289958399006	0.0007592055948730001	0.00060460016618018	0.00065641500873611
Mycoplasmatota	0.00012086417887898	8.51120518665443e-05	0.00016631899419293	0.00014764612464933998	9.45101781364422e-05	0.00017739233270917	7.719309649949621e-05	9.92733193027042e-05	0.00014480162177816	6.65838068181818e-05	4.8167700666640994e-05	9.32676945036942e-05	0.0001084953681519	0.00011933530236582	0.0001101909944442	9.39648783533716e-05	0.00011274173323158001	0.0001091341048275	0.00010340427715586999	8.79633668627577e-05	0.00012748754062665	0.00010816664189105999	0.00011178901504788999	0.00010624401477043	0.00010978537562281999	0.00010595446430305	9.52536368060053e-05	0.00011882816826895	0.00011514988676927	0.00010655086219805	0.00013499005236857	0.00012950097184861	0.00011657138574928	0.00012581946479545	0.00013449287286665	0.00014283520745028	0.00012216156561151002	0.00013013436656248	9.55568264046124e-05	0.00010789117471485	0.00011473348057033	0.00012360892418398998	0.00013614460554597	0.00014122960494493002	0.00010290646445545999	0.00010606981046564	0.00012695063950618	0.00011079558455508999	0.00010400818520229	9.56835199233165e-05	0.00011205082529047	0.00011037037610232	0.00010474567463784	0.00010698575283234	9.194491372601129e-05	8.06624047895543e-05	8.95535754264989e-05	0.00010006123364489	0.00010965593267708001	0.00010713885682839001	8.11034361021212e-05	0.00010541836131431	8.308291850177891e-05	8.6768523272041e-05	0.00010431286864760999	0.0	0.00011622619417521999	6.93219733324971e-05	9.48708096749252e-05	0.00012259898960269	9.88179934742408e-05	0.00011181579192931001
