#OTU ID	mgm4712785	mgm4712786	mgm4712787	mgm4712788
Pseudomonadota	0.327329292746569	0.600715137867159	0.334594310172011	0.435226219132218
Actinomycetota	0.394615828419566	0.275093387573097	0.469087220064341	0.425911441508927
Chloroflexota	0.0020048811710085	0.0014793373882771	0.0020318416697928	0.0018647150898295
Bacillota	0.0109011300469437	0.0111742107807117	0.0109212288933895	0.0133488457729468
Cyanobacteriota	0.198004416779713	0.0105645722332273	0.109975428333866	0.0397841925116934
Candidatus.Melainabacteria	2.26964495834231e-05	2.17927620090691e-05	2.18176831282817e-05	4.10211880266042e-05
Candidatus.Margulisbacteria	8.18422159699644e-06	1.01699556042323e-05	6.55329676380624e-06	1.55816915759969e-05
Deinococcota	0.0015676581162081	0.001198378394991	0.0014137538994113	0.0011075720767183
Armatimonadota	0.0002832415659908	0.0002014992302684	0.000271242551419	0.0002133737764794
Mycoplasmatota	0.0003121816485452	0.0003856760086835	0.0003836875336955	0.0006333374637182
Thermomicrobiota	0.0001186290264471	6.26960999337835e-05	9.90187157360479e-05	6.98526173372924e-05
Candidatus.Kaiserbacteria	0.0001145791023579	9.03002651452711e-05	0.0001091683338946	0.0001216855913554
Candidatus.Nomurabacteria	5.89770195494898e-05	7.73363656937223e-05	7.83198881528063e-05	7.76964620762297e-05
Candidatus.Yanofskybacteria	3.77149180810042e-05	3.58742389995446e-05	3.82808432910145e-05	4.83350432561538e-05
Candidatus.Azambacteria	1.82246584015591e-05	1.83282716383966e-05	2.00594815575045e-05	1.72776580060374e-05
Candidatus.Falkowbacteria	6.53050259389201e-05	7.07426582140552e-05	6.73710874620568e-05	8.20423760532084e-05
Candidatus.Magasanikbacteria	0.0001079136022944	0.0001255039576214	0.0001223548456754	0.0001584668633069
Candidatus.Nealsonbacteria	2.16839685611143e-05	2.40279170869224e-05	2.26168656604532e-05	3.46613139139524e-05
Candidatus.Uhrbacteria	0.0001351662164782	0.0001603723768359	0.000163432827829	0.0001804084289955
Candidatus.Giovannonibacteria	2.10089812129084e-05	1.69871785916847e-05	1.84611164931615e-05	1.9185620239833e-05
Candidatus.Moranbacteria	7.34048741173908e-05	6.67193790739194e-05	7.32051199469087e-05	8.72362732452074e-05
Candidatus.Zambryskibacteria	2.4974531883618e-05	2.68218609342389e-05	3.18873830336425e-05	3.90072278909311e-05
Candidatus.Staskawiczbacteria	2.14308483055371e-05	1.92223336695379e-05	2.3575884699059e-05	2.18355677867712e-05
Candidatus.Wolfebacteria	1.82246584015591e-05	2.89452582581995e-05	2.07787458364588e-05	3.69932677552581e-05
Candidatus.Harrisonbacteria	2.37933040242577e-05	1.92223336695379e-05	2.06988275832417e-05	2.54394964506073e-05
Candidatus.Taylorbacteria	5.07084245339676e-05	9.2982451238695e-05	8.95883618564243e-05	0.0001710806136303
Candidatus.Buchananbacteria	6.77518550761664e-05	6.80604721206313e-05	4.91497257285468e-05	4.63210831204807e-05
Candidatus.Portnoybacteria	2.60713863244526e-05	3.12921710899454e-05	3.70820694927572e-05	3.63572803439929e-05
Candidatus.Adlerbacteria	2.14308483055371e-05	2.77159229653802e-05	2.34959664458419e-05	3.56152950308502e-05
Candidatus.Sungbacteria	4.80928485596698e-05	3.88916983546465e-05	5.91395073806904e-05	5.14089824106022e-05
Candidatus.Jorgensenbacteria	2.40464242798349e-05	1.53108122832947e-05	1.50246316048241e-05	1.85496328285678e-05
Candidatus.Liptonbacteria	2.10933546314341e-05	1.6204874314436e-05	2.0858664089676e-05	2.16235719830162e-05
Candidatus.Tagabacteria	3.29056332250372e-06	3.68800587845785e-06	6.15370549772049e-06	4.87590348636639e-06
Candidatus.Ryanbacteria	1.07154241527685e-05	1.5869601052758e-05	1.75820157077728e-05	1.80196433191801e-05
Candidatus.Wildermuthbacteria	1.01248102230884e-05	1.07287443736956e-05	1.03893729182294e-05	1.43097167534666e-05
Candidatus.Komeilibacteria	2.26120761648974e-05	1.20698374204075e-05	1.4465203832304e-05	2.57574901562398e-05
Candidatus.Kuenenbacteria	7.67798108584202e-06	5.9231609563111e-06	9.51027213284076e-06	1.17657671084059e-05
Candidatus.Lloydbacteria	3.94867598700447e-05	1.721069409947e-05	2.5174249763402e-05	2.93614188200759e-05
