#OTU ID	ERR2136696	ERR2136697	SRR1633224
Candidatus.Edwardsbacteria	0.0	1.76566141676672e-05	1.12543369632052e-05
Candidatus.Lindowbacteria	0.0	0.0	1.01086858950945e-05
Candidatus.Ratteibacteria	0.0	8.8283070838336e-06	5.29695140902951e-05
Candidatus.Dadabacteria	0.0	8.8283070838336e-06	2.76304081132583e-05
Candidatus.Firestonebacteria	0.0	1.76566141676672e-05	1.82630258504707e-05
Candidatus.Raymondbacteria	0.0	0.0	8.15433995537622e-06
Candidatus.Riflebacteria	0.0	0.0	5.39129914405039e-06
Candidatus.Wallbacteria	0.0	0.0	1.53652025605436e-05
candidate.division.CPR1	0.0	0.0	6.15955927207757e-05
Candidatus.Coatesbacteria	0.0	0.0	4.3332566870305e-05
Candidatus.Bipolaricaulota	0.0	1.76566141676672e-05	1.98130243543852e-05
Candidatus.Blackallbacteria	0.0	1.76566141676672e-05	3.03260576852835e-06
candidate.division.CPR2	0.0	0.0	4.43434354598145e-05
Candidatus.Fraserbacteria	0.0	0.0	1.48934638854392e-05
Candidatus.Fischerbacteria	0.0	0.0	4.31303931524031e-06
Candidatus.Sumerlaeota	0.0	0.0	2.6956495720252e-06
candidate.division.WOR.3	6.24375624375624e-05	1.76566141676672e-05	2.08912841831953e-06
Candidatus.Wirthbacteria	0.0	0.0	3.36956196503149e-06
Candidatus.Abawacabacteria	0.0	0.0	6.73912393006299e-07
Candidatus.Absconditabacteria	0.0	0.0	1.96782418757839e-05
candidate.division.CPR3	0.0	0.0	3.36956196503149e-06
Candidatus.Calescamantes	0.0	0.0	6.06521153705669e-07
Planctomycetota	0.0017170329670329	0.0035754643689526	0.0010917380766702
Candidatus.Omnitrophica	8.32500832500833e-05	0.0002207076770958	0.000457990862287
Verrucomicrobiota	0.0006243756243756	0.0006532947242036	0.0003018453608275
Lentisphaerota	0.0001665001665001	0.0002913341337665	9.1584694209556e-05
Chlamydiota	0.0002913752913752	0.0002207076770958	0.000111195544846
Kiritimatiellota	0.0	3.53132283353344e-05	1.0378250852297e-05
Thermodesulfobacteriota	0.0017274392274392	0.0027632601172399	0.0039936722321946
Nitrospirota	0.0002185314685314	0.0003884455116886	0.0025385605932154
Campylobacterota	0.0033508158508158	0.001165336535066	0.0005815863951644
Bacteroidota	0.0913045288045288	0.0631753654919133	0.003209170815496
Ignavibacteriota	0.0002601565101565	1.76566141676672e-05	0.0001780476542322
Chlorobiota	1.04062604062604e-05	4.4141535419168e-05	0.0001250107489026
Balneolota	0.0	1.76566141676672e-05	1.54999850391449e-06
Gemmatimonadota	0.0002289377289377	0.0007768910233773	7.9386879896142e-05
candidate.division.Zixibacteria	0.0	0.0	0.0001037151172836
Candidatus.Marinimicrobia	5.2031302031302e-05	6.17981495868352e-05	4.24564807593968e-06
Candidatus.Hydrogenedentes	0.0	0.0	7.27825384446803e-06
Fibrobacterota	2.08125208125208e-05	0.0	2.77651905918595e-05
Candidatus.Cloacimonetes	0.0	0.0	8.76086110908189e-06
Elusimicrobiota	0.0002601565101565	0.0002913341337665	0.0004721430225402
Acidobacteriota	0.0034444721944721	0.0029309979518327	0.0006771471724927
Myxococcota	0.0018315018315018	0.0040080514160604	0.0005665581488003
Nitrospinota	0.0	8.8283070838336e-06	0.0001897063386312
Candidatus.Tectomicrobia	0.0	3.53132283353344e-05	2.55412796949387e-05
Spirochaetota	0.0006243756243756	0.0014125291334133	0.0008282383310047
Bdellovibrionota	0.0002289377289377	0.0003531322833533	0.0001792606965396
