#OTU ID	mgm4762274	mgm4762275	mgm4762276	mgm4762277	mgm4762278	mgm4762279	mgm4762280	mgm4762281	mgm4762282	mgm4762283	mgm4762284	mgm4762285	mgm4762286	mgm4762287	mgm4762288	mgm4762289	mgm4762290	mgm4762291	mgm4762292	mgm4762293	mgm4762294	mgm4762295	mgm4762296	mgm4762297	mgm4762298	mgm4762299	mgm4762304	mgm4762307	mgm4762308	mgm4762309	mgm4762310	mgm4762311	mgm4762312	mgm4762313	mgm4762314	mgm4762315	mgm4762316	mgm4762317	mgm4762318	mgm4762319	mgm4762320	mgm4762321	mgm4762322	mgm4768634	mgm4768635	mgm4768636	mgm4768637	mgm4768638	mgm4768639	mgm4768640	mgm4768641	mgm4768642
Pseudomonadota	0.142857547967037	0.541616868756011	0.341975480756664	0.0980168928822202	0.380106059867791	0.34264834542741	0.348152047408918	0.319315185501541	0.146027057875291	0.33266197662544	0.135901823354753	0.555422402490987	0.290433510946369	0.144793786641668	0.0987427485915651	0.172955400114089	0.479186164801628	0.489252250597097	0.60166634177334	0.167706134201436	0.133855193550276	0.144465382439489	0.311005612837821	0.21962880727841	0.143332519359472	0.244119116962793	0.281816220880069	0.50504666811374	0.715866665618688	0.177761666227261	0.456444491313657	0.13074491630482	0.170087701471071	0.670864214475249	0.528429405165501	0.154391823683162	0.482935207361654	0.601626594247203	0.148447640667893	0.349845359006221	0.228297965153576	0.136067448776184	0.143373502431903	0.424408848207475	0.776183438178492	0.146372898831893	0.195514442796056	0.177578344914981	0.318368973303227	0.331976273119205	0.37604787974958	0.185355429665327
Actinomycetota	0.0478621135555442	0.0058341063914377	0.0778316066465099	0.0073369509642849	0.041993535707905	0.0354588029437497	0.0422395038678077	0.0256879711813421	0.295543186035064	0.460073187336889	0.088065812747613	0.280389626352016	0.090702102397776	0.271275846492357	0.0122396864802897	0.146964183849225	0.285222109189556	0.0390672160835674	0.215512573371743	0.127362975616831	0.209511911036498	0.305019556449151	0.096225964114103	0.144345848258148	0.320202141441065	0.0400589380805487	0.527526124053303	0.234263077924897	0.077254399547273	0.168995518059583	0.0796970211049009	0.171388515684327	0.102029171291447	0.0982020312928905	0.0037555992936049	0.0947119136095514	0.344037564603555	0.116719512021726	0.336956701850901	0.108777885357909	0.62406661363578	0.0773765563216888	0.0746064387532373	0.226754385964912	0.0882976958821971	0.392672536596616	0.0296360938999913	0.473995824374435	0.256002715426278	0.121735303237939	0.0435173043660168	0.100535342630413
Chloroflexota	0.000828044623665	0.0003817670953238	0.0008234074254794	0.000608430079965	0.0006131332326333	0.0007561272035565	0.0007402502868469	0.0004567905819437	0.0013307151782671	0.00049642573471	0.0006809807276683	0.0004711569977056	0.0004524788601876	0.0010637316093433	0.0006111571209049	0.0012959609217937	0.0008545269582909	0.0005642896511902	0.0003609925852123	0.0027450537998313	0.0001301397049732	0.000927964704781	0.0005151282875487	0.000734958494186	0.0017590113114774	0.0012149516604339	0.0010425654299683	0.0004522104044569	0.0003301134175384	0.0017136831004481	0.0004814283290768	0.0016615716130874	0.0023605921803429	0.0004803733186933	0.0004311984374139	0.0015169621468834	0.0007248203706038	0.0004123359542733	0.0014416146083613	0.0006115081122822	0.0003592414872597	0.0002026077579164	0.0020844884581102	0.0022120518688024	0.000299557595518	0.0006647763502421	0.000837769438869	0.0006647762093214	0.000693614320922	0.0005251522941653	0.0006122730125362	0.0006232679273002
Bacillota	0.320941021670949	0.279317949983647	0.368925736492197	0.495693269433973	0.0862528220370641	0.393380126126768	0.13412923947508	0.0875292457384781	0.0429669539064064	0.0758254850788608	0.30329323434105	0.0994960668633235	0.0915962006255068	0.060992136157646	0.485895213802808	0.0568062870719591	0.080217022719566	0.0641584210388179	0.0973163811215318	0.0309208017061235	0.623798647848465	0.0379773625452281	0.140432213238385	0.0937574946425394	0.0401840960544342	0.0688817274716942	0.1097809414246	0.0811446349757615	0.106382978723404	0.0394806221987872	0.0671065240416137	0.0406890329783022	0.0449684993824941	0.14499268002562	0.290490790489453	0.0310758972176295	0.0702130341610992	0.0805334774139426	0.0497826531232221	0.0945132826617851	0.0810987657488902	0.748034377961505	0.0345239014324717	0.192200610221205	0.0812939897853336	0.324492260103922	0.0562585449573843	0.212271353338942	0.219787193223241	0.10614578227686	0.103009832084126	0.0579639172389231
Cyanobacteriota	0.0057594473652867	0.022101761599823	0.033676928036805	0.0179947030793038	0.00455180366743	0.0369512634450105	0.0058932147836207	0.0034834924053923	0.0047386442933415	0.0071059798025643	0.0053208833127981	0.0030522779416584	0.0031818313448395	0.004148067554243	0.0182948132418674	0.0049900033783596	0.0067955239064089	0.0102359518122884	0.0054509880367057	0.0045339049061793	0.0018870257221126	0.003577548138169	0.0053655762431075	0.0054077472361692	0.0030461937064644	0.0067899426129215	0.0038826574633304	0.0096773026553794	0.0063428935227031	0.0052728710783021	0.0092296688231599	0.0032192950003569	0.005846764738068	0.0037743617897337	0.0235784227445941	0.0050638160874381	0.0089341989159208	0.0072229884403748	0.0044574060879219	0.0043981544998765	0.0055810731056426	0.0025816149799026	0.003319740877731	0.0090579710144927	0.0043918609458593	0.0101480144894111	0.0033219885388486	0.0078111204595265	0.011127344637771	0.0043412589650998	0.0053063661086478	0.003088515175461
Candidatus.Melainabacteria	0.000558646544048	0.0005653557303362	0.0004269519983967	0.0004397057720756	0.0001218145495297	0.0004908888651362	7.40250286846986e-05	6.68474022356742e-05	3.78658790563823e-05	0.00049642573471	0.0004789949186141	0.0002867912159947	6.87767867485231e-05	7.77155513675508e-05	0.0005109195676355	9.96893016764418e-05	0.0002305866395388	7.87380908637569e-05	0.0004043116954377	0.0	0.0001952095574599	4.07002063500462e-05	9.89046312093564e-05	9.28368624235063e-05	2.06942507232641e-05	0.0001378668550847	0.000455373406193	0.0005788293177049	0.0004087118502857	0.0	8.25305706988964e-05	1.29810282272459e-05	2.34495911954602e-05	0.0005947479183822	0.0005943690619936	1.09133967401684e-05	0.0007248203706038	0.000355462029546	2.76171380912139e-05	0.0001763965708506	0.000551692284006	0.0002875723015587	3.50923982846836e-05	0.0006674294431731	0.0002351898477207	0.0004409230894463	9.30854932076679e-05	0.0005712920548855	0.0006198255633771	5.50159546268418e-05	9.69432269849126e-05	4.45191376643034e-05
Candidatus.Margulisbacteria	0.0006011830829349	2.61401036607088e-05	6.09931426281074e-05	2.72685750124413e-05	9.33911546395101e-05	7.12580610681583e-05	8.63625334654817e-05	3.34237011178371e-05	1.08188225875378e-05	0.0	0.0005193920804249	2.04850868567683e-05	3.61983088150122e-05	1.45716658814158e-05	3.50344846378651e-05	3.32297672254806e-05	4.06917599186165e-05	2.18716919065991e-05	7.21985170424599e-06	5.3719252442883e-06	1.95209557459933e-05	8.14004127000924e-06	3.70892367035086e-05	4.64184312117531e-05	1.24165504339584e-05	1.72333568855877e-05	0.0	0.0	7.8598432747251e-06	0.0	2.29251585274712e-05	2.59620564544918e-05	0.0	1.14374599688901e-05	2.19344118287468e-05	1.09133967401684e-05	3.15139291566873e-05	1.42184811818402e-05	0.0	3.91992379668139e-05	0.0	6.53573412633574e-06	2.80739186277469e-05	3.813882532418e-05	0.0	3.39171607266413e-05	2.3271373301917e-05	5.19356413532351e-05	2.95155030179602e-05	3.50101529443539e-05	5.10227510446908e-06	3.33893532482276e-05
Deinococcota	0.0015341511691876	4.68090228342924e-05	0.000191692733974	3.06771468889964e-05	0.0026027708749533	0.000209815402034	0.0029774511537623	0.0029747093994875	0.0016823269123621	0.0003404062180869	0.0015841458452961	0.0002765486725663	0.0025230221244063	0.0017826004594932	3.40613045090355e-05	0.0022596241713326	0.0003390979993218	0.0015266440950806	0.0003609925852123	0.0017566195548822	0.0001756886017139	0.0014000870984415	0.0027446035160596	0.003009461623562	0.0012457938935405	0.0036534716597446	0.0005392579810181	0.000651182982418	0.0003458331040879	0.0015818613234906	0.001558910779868	0.0029402028934711	0.0012428283333593	0.0003774361789733	2.9959196644142e-05	0.0019698681116004	0.000598764653977	0.0004123359542733	0.0010660215303208	0.0025636301630296	0.0005773523902388	0.000156857619032	0.0031091864880229	0.0010106788710907	0.0002005302912145	0.0005223242751902	0.0047124530936381	0.0005712920548855	0.0009740115995926	0.002685778875874	0.0027450240062043	0.0044630435508464
Armatimonadota	0.0001588030785111	9.72655019933349e-05	2.61399182691889e-05	0.0001371950180313	0.0004466533482759	4.75053740454389e-05	0.0001480500573693	0.0002488208860994	0.0015525010413116	5.67343696811528e-05	0.0003029787135812	8.19403474270731e-05	0.0003221649484536	0.0018748876767421	0.0001089961744289	0.0008805888314752	6.78195998643608e-05	0.0001356044898209	2.8879406816984e-05	0.0008004168613989	1.95209557459933e-05	0.0013064766238364	0.0003420451829323	0.0005183391485312	0.0011506003402134	0.0003963672083685	0.0001078515962036	5.42652485348383e-05	0.0001178976491208	0.0007909306617453	0.0002475917120966	0.0008113142642028	0.0018525177044413	0.0001486869795955	7.54329772647146e-05	0.0007748511685519	0.0001102987520484	9.95293682728811e-05	0.0023198395996619	0.0004978303221785	2.56601062328398e-05	1.30714682526715e-05	0.0004632196573578	0.0002860411899313	4.95136521517395e-05	7.46177535986108e-05	0.0004654274660383	3.1161384811941e-05	0.0001033042605628	0.0004051174840703	0.0003418524319994	0.0006733519571725
Mycoplasmatota	0.0123667897390525	0.046888051054662	0.0127519234623193	0.189043656988595	0.0057496467378063	0.0130204312696207	0.0035449763736783	0.0020574144910313	0.0009520563877033	0.0059429252241007	0.0118277118758999	0.006053343166175	0.0021610390362562	0.0103944549954099	0.187234990886168	0.0135577450279961	0.0066734486266531	0.0212942792402649	0.0045051874634495	0.0006607468050474	0.0008459080823263	0.0012291462317714	0.0034328149082247	0.0286324356524497	0.0006042721211193	0.0367501335585159	0.0021929824561403	0.0083749366905433	0.0054075721730108	0.0007250197732665	0.0188949156583418	0.0019925878328822	0.0008832679350289	0.0080519718180986	0.0479020805057112	0.0014787652582928	0.0027101979074751	0.0067395600801922	0.0006020536103884	0.0051390200974493	0.0016165866926689	0.0010457174602137	0.0019160449463437	0.0034706331045003	0.0049761220412498	0.0118981399829058	0.0028856502894377	0.0048819502872041	0.0067442924396039	0.0025257324624141	0.0024439897750406	0.0029215684092199
