#OTU ID	mgm4446412	mgm4446411	mgm4446406	mgm4453379	mgm4453380	mgm4454502	mgm4454505	mgm4454687	mgm4454695	mgm4454700	mgm4453381	mgm4453382	mgm4454503	mgm4454506	mgm4460178	mgm4460188	mgm4460189	mgm4460182	mgm4460180	mgm4460179	mgm4533759	mgm4533760	mgm4533761	mgm4533762	mgm4533763	mgm4533764	mgm4533766	mgm4533775	mgm4533776	mgm4533777	mgm4533778	mgm4533779	mgm4533780	mgm4533781	mgm4533782	mgm4533700	mgm4533701	mgm4533702	mgm4533703	mgm4533704	mgm4533705	mgm4533751	mgm4533752	mgm4533753	mgm4533754	mgm4533755	mgm4533756	mgm4533757	mgm4533758	mgm4533783	mgm4533784	mgm4533785	mgm4533786	mgm4533787	mgm4533788	mgm4533789	mgm4533790	mgm4533706	mgm4533707	mgm4533708	mgm4533709	mgm4533710	mgm4533711	mgm4533712
Pseudomonadota	0.536390600045631	0.299297423887588	0.721883233948135	0.585151167240719	0.625883392226148	0.909303777708398	0.7822164948453609	0.110348770726129	0.0737553779963122	0.7921195652173909	0.7103009542451679	0.699767711962834	0.921433060967945	0.922295277943813	0.5602941998993229	0.569103638241708	0.525051164679967	0.6179017962457449	0.5875809839363371	0.5548955128885121	0.455857856746252	0.46673529790245794	0.480952380952381	0.463182897862233	0.467522935779817	0.473867924528302	0.46830122591944	0.573510773130545	0.573333333333333	0.5837860426243211	0.58397476340694	0.5770290315744859	0.571677384780279	0.570405278039585	0.580383480825959	0.481865284974093	0.496529631607047	0.473884743610097	0.46816311260755705	0.47903687489476293	0.47437011294526504	0.457651762995274	0.457192203306193	0.470246528761689	0.45558929588157104	0.46710447761193996	0.454162571950021	0.459345934593459	0.46361224636122494	0.555425545017859	0.558423369347739	0.5575017515764189	0.5648942252715841	0.5602015799509671	0.5647227533460799	0.556108543666311	0.565864833906071	0.561201944321697	0.567774184063511	0.5520891364902509	0.561671087533157	0.5589583715386031	0.577725118483412	0.557802365509348
Actinomycetota	0.259867670545289	0.172833723653396	0.00866731382609901	0.18446230386528897	0.136410482921084	0.0218545113955667	0.0446735395189003	0.779302458547742	0.0147510755992624	0.0665760869565217	0.168827991191583	0.173635307781649	0.0377121307353865	0.0239091452480574	0.0260361317747078	0.0222081946516699	0.21745379555999902	0.0292184814477808	0.0396414519421353	0.0277571514444327	0.27040533037201603	0.27654098571612395	0.271957671957672	0.285035629453682	0.27779816513761496	0.274245283018868	0.286164623467601	0.11364596535699198	0.108333333333333	0.10071040534893401	0.106750788643533	0.108497563043018	0.11079849946409401	0.108199811498586	0.109513274336283	0.0929763960852044	0.0878270154831821	0.095570725511986	0.0947250280583614	0.0937868328001347	0.10338835794960902	0.243547800799709	0.24895139402911398	0.238311136299235	0.24288289998102103	0.237731343283582	0.24961392671627106	0.24182418241824202	0.233025023302502	0.11189801699716698	0.109943977591036	0.10969872885597	0.10832163833879101	0.11291201307545598	0.108604206500956	0.113046569498756	0.0994654448262696	0.0576668139637649	0.0529256101146722	0.0583101207056639	0.0503978779840849	0.0597836053548505	0.0630331753554502	0.0614269362838611
Chloroflexota	0.0018252338580880699	0.00062451209992193	0.0006240465954791201	0.0030616150019135103	0.00272379269729093	0.00031220730565095	0.0021477663230240604	0.00514579759862779	0.0	0.00135869565217391	0.00220210423293369	0.0	0.0	0.0005977286312014299	0.0007550757872364201	0.0005394238494204	0.00268712212345139	0.00064031274222357	0.00062124663491406	0.00088398571479084	0.0005552470849528	0.00283103847638657	0.00105820105820106	0.00271462504241602	0.0023241590214067302	0.0016037735849056599	0.0042031523642732105	0.00126742712294043	0.00111111111111111	0.00208942749686586	0.00201892744479495	0.00169527442254715	0.00187566988210075	0.00282752120640905	0.0025811209439528	0.00057570523891767	0.00106780565936999	0.00150817590093666	0.00074822297044519	0.00117864960431049	0.00260642919200695	0.00036350418029807	0.0	0.00070841598186455	0.00071171000189789	0.0004776119402985	0.00042117085497682996	0.0006000600060006	0.0005019000501899999	0.00036950363345238996	0.00055022008803521	0.00060054048643779	0.00046779978169342995	0.00027240533914464	0.0005736137667304	0.00059248726152387	0.00038182512409316003	0.0017675651789659699	0.00205821817112614	0.0016713091922005599	0.0006631299734748	0.00128369704749679	0.0018957345971564	0.0011446012972148
Bacillota	0.0219028062970568	0.0402810304449649	0.0227430314796838	0.0463069269039418	0.0525618374558304	0.0280986575085857	0.0609965635738832	0.050314465408805006	0.0473263675476337	0.0529891304347826	0.0249571813065818	0.0197444831591173	0.0157133878064111	0.0155409444112373	0.0389563174674199	0.0377941007689659	0.0247465200206221	0.0400700973949382	0.0389314557879478	0.0409108588805205	0.0305385896724042	0.0351306138206151	0.0349206349206349	0.0352901255514082	0.0326605504587156	0.0379245283018868	0.0329246935201401	0.0259822560202788	0.0283333333333333	0.0246552444630171	0.0267507886435331	0.0260648442466624	0.0265273311897106	0.021866163996230002	0.0228613569321534	0.0224525043177893	0.0197544046983449	0.0188125099222099	0.0195286195286195	0.0190267721838693	0.0208514335360556	0.0164788561735127	0.0146804835924007	0.0160102011901389	0.0170810400455494	0.0145671641791045	0.0169872244840657	0.018001800180018002	0.0177816017781602	0.0119472841482941	0.0128551420568227	0.0115103593233911	0.0127865273662872	0.0137564696268047	0.0120458891013384	0.0129162223012205	0.0106911034746086	0.0444100751215201	0.0449867685974713	0.045125348189415	0.0537135278514589	0.0502475701448744	0.0431279620853081	0.0480732544830218
Cyanobacteriota	0.00410677618069815	0.00655737704918033	0.017334627652198002	0.00650593187906621	0.0111896348645465	0.00468310958476428	0.00558419243986254	0.0028587764436821	0.00860479409956976	0.00543478260869565	0.00782970393931979	0.0063879210220673605	0.0031426775612822104	0.00597728631201435	0.00850159404888417	0.00802249512223115	0.00665531409645519	0.00832406564890641	0.00695204567641925	0.0254587885859765	0.0549694614103276	0.0437524128168833	0.0391534391534392	0.0451306413301663	0.0470948012232416	0.0469811320754717	0.0381786339754816	0.04900718208703	0.0561111111111111	0.0513999164229001	0.0474447949526814	0.0550964187327824	0.0551982851018221	0.0573044297832234	0.0529129793510324	0.0143926309729419	0.0200213561131874	0.0204000635021432	0.0180321735877291	0.0198686647583768	0.0243266724587315	0.0227795952986793	0.0203552923760178	0.0218192122414282	0.0223476940595939	0.0236417910447761	0.0230240067387337	0.0216021602160216	0.0232308023230802	0.0246951595024018	0.0230592236894758	0.0241717545791212	0.0233380113311503	0.0256061018795968	0.0232313575525813	0.0231070031994312	0.0252004581901489	0.031374281926646	0.0370479270802705	0.0304549675023213	0.029840848806366	0.030808729139922997	0.0312796208530806	0.0316673025562762
Candidatus Melainabacteria	0.0	0.00031225604996096	0.00013867702121758	0.0	0.0001472320376914	0.0	0.00042955326460481	0.0	0.00061462814996926	0.0	0.00024467824810374	0.0	0.0	0.0005977286312014299	0.00022372615918116	0.0001606794445082	7.81140152166102e-05	6.74013412866916e-05	0.00011833269236458001	0.0002121565715498	0.0	0.00012868356710848	0.00052910052910052	0.0	0.00024464831804281	0.00028301886792452	0.0	0.0002112378538234	0.0	0.0	0.00012618296529968	0.00063572790845518	0.0002679528403001	0.0001885014137606	0.00055309734513274	0.00028785261945883	0.00026695141484249	0.0	0.00022446689113355	0.00033675702980298997	0.0	0.00012116806009935	0.000246730816679	0.0	0.00014234200037957	0.00011940298507462	0.00014039028499227	0.0	0.0	0.0	0.0001500600240096	5.0045040536482793e-05	5.1977753521492795e-05	0.0	9.560229445506691e-05	0.00011849745230477	0.0	0.00044189129474149003	0.0	0.0	0.0006631299734748	0.00018338529249954	0.0	0.00038153376573826
Candidatus Margulisbacteria	0.0	0.0	0.0	0.0	7.361601884570079e-05	0.0	0.00042955326460481	0.0	0.0	0.0	0.00024467824810374	0.00058072009291521	0.0	0.0	5.59315397952906e-05	3.4431309537472696e-05	1.5622803043322e-05	6.74013412866916e-05	8.874951927343729e-05	0.0	0.0	0.0	0.0	0.0	0.0001223241590214	9.433962264150942e-05	0.00035026269702276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.48222970445193e-05	0.00016837851490149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019091256204658002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.00456308464522017	0.0014051522248243599	0.00020801553182637	0.00038270187523917995	0.0004416961130742	0.00031220730565095	0.00042955326460481	0.0	0.0	0.0	0.00073403474431123	0.0	0.0	0.0011954572624028699	0.00033558923877173997	0.0002410191667623	0.0009373681825993199	0.00020220402386007	0.00050291394254947	0.00014143771436653	0.00111049416990561	0.0006434178355424	0.00105820105820106	0.000678656260604	0.00073394495412844	0.00122641509433962	0.0014010507880910699	0.00063371356147021	0.00111111111111111	0.0008357709987463401	0.00037854889589905	0.00021190930281839	0.0002679528403001	0.00056550424128181	0.00036873156342182	0.00028785261945883	0.00080085424452749	0.00055564375297666	0.00029928918817807	0.00067351405960599	0.00173761946133797	0.00024233612019871	0.0001233654083395	0.00028336639274582003	0.00018978933383943	0.00023880597014925	0.00014039028499227	0.0006000600060006	0.00028680002868	0.00018475181672619	0.0002000800320128	0.00040036032429186	0.00020791101408597	0.00040860800871697005	0.0002868068833652	0.0004739898092191	0.0	0.00022094564737074	0.00058806233460746	0.00018570102135561002	0.0	0.00036677058499908	0.0	0.00038153376573826
Armatimonadota	0.00022815423226099995	0.0	6.93385106087921e-05	0.00076540375047837	0.0001472320376914	0.0	0.0	0.00057175528873642	0.0	0.0	0.0012233912405187198	0.0	0.00125707102451289	0.0	8.389730969293579e-05	8.033972225410309e-05	0.00024996484869315	3.37006706433458e-05	0.00023666538472916001	0.00017679714295816998	0.0005552470849528	0.00012868356710848	0.00105820105820106	0.0	0.00024464831804281	0.00018867924528301002	0.0	0.0	0.0	0.0	0.00037854889589905	0.0	0.0002679528403001	0.0	0.00018436578171091	0.00057570523891767	0.00053390282968499	0.00023813303698999	0.00014964459408903	0.00033675702980298997	0.00086880973066898	0.00012116806009935	0.0	0.0	0.00014234200037957	0.00011940298507462	0.0	0.0	7.170000717000071e-05	0.0	0.0001000400160064	0.0	0.0	0.0	0.0	0.0	0.0	0.0006628369421122401	0.00058806233460746	0.0011142061281337	0.0	0.00036677058499908	0.0	0.00038153376573826
Mycoplasmatota	0.00022815423226099995	0.00202966432474629	0.00152544723339343	0.00191350937619594	0.00353356890459364	0.0024976584452076197	0.00257731958762887	0.00057175528873642	0.00184388444990781	0.00951086956521739	0.0012233912405187198	0.0023228803716608603	0.00062853551225644	0.0	0.00195760389283517	0.0026626879375645602	0.0011092190160758599	0.00293195834597108	0.00292873413602343	0.0022276440012729396	0.0038867295946696297	0.00424655771457985	0.00264550264550265	0.00169664065151001	0.00428134556574924	0.00254716981132075	0.00175131348511384	0.0033798056611744802	0.00333333333333333	0.0029251984956122	0.00113564668769716	0.00169527442254715	0.0022775991425509103	0.0013195098963242199	0.0040560471976401205	0.0023028209556707	0.0021356113187399896	0.00087315446896332	0.00119715675271231	0.0008418925745074901	0.00086880973066898	0.00109051254089422	0.00098692326671601	0.0011334655709832801	0.00132852533687607	0.00155223880597015	0.00042117085497682996	0.0024002400240024	0.0017925001792500198	0.0006158393890873201	0.00050020008003201	0.0006505855269742701	0.00077966630282239	0.00013620266957232	0.00066921606118546	0.0013034719753525301	0.0011454753722795	0.00353513035793195	0.004998529844163479	0.00278551532033426	0.0013262599469496	0.0060517146524848705	0.004739336492891	0.0034338038916444102
