#OTU ID	mgm4518019	mgm4533948	mgm4533949	mgm4533950	mgm4543715	mgm4543716	mgm4543717	mgm4553173	mgm4553174	mgm4553178	mgm4553179	mgm4553184	mgm4553185	mgm4553189	mgm4553190	mgm4553191	mgm4518020	mgm4533951	mgm4533952	mgm4533953	mgm4543718	mgm4543719	mgm4543720	mgm4553180	mgm4553181	mgm4553183	mgm4553186	mgm4553187	mgm4553188	mgm4553192	mgm4553193	mgm4553194	mgm4518021
Pseudomonadota	0.761790348046955	0.36564491409211897	0.442359025110989	0.3566275589707229	0.465165852136841	0.460234680573664	0.4711007741174021	0.373013431764585	0.494082840236686	0.361419068736142	0.463735818476499	0.449786126092617	0.35766065830721006	0.472222222222222	0.466053748231966	0.472789115646259	0.863422684536907	0.34196151821744003	0.460672728428817	0.419872741733894	0.30517309910273904	0.501894819634622	0.409558583106267	0.6227684346701159	0.757272515708634	0.5819914558001971	0.348098822621116	0.471468662301216	0.40998787344284005	0.297129495242703	0.509461426491994	0.41956764437227206	0.79476550991744
Actinomycetota	0.138395002402691	0.514455110107284	0.431061519483144	0.536281113703634	0.218519288759488	0.263545677814499	0.282153643211719	0.519019788782939	0.28224852071005896	0.31729490022173	0.36871961102107004	0.437046680305003	0.544083072100313	0.23873873873873896	0.275106082036775	0.291761148904006	0.0564612922584517	0.55517866541903	0.375	0.45219861379388704	0.621260596740667	0.24495012691716395	0.484261580381471	0.204657179818887	0.100069816150803	0.177127834373973	0.561281605867593	0.38330215154349895	0.47580200639400294	0.635381390098371	0.248908296943231	0.488074698061504	0.125038539275804
Chloroflexota	0.00068648314683874	0.0029281277728482697	0.0013172292187924699	0.00340509032146361	0.00158573359675575	0.00294108729268367	0.00312424063595654	0.0030759766225776698	0.00059171597633136	0.00044345898004434004	0.0022285251215559197	0.0006509205876883	0.0028409090909090897	0.00262762762762763	0.00247524752475248	0.00340136054421769	0.0014502900580116	0.0014269840341540401	0.0015101417943663802	0.00222701965685718	0.0014595971772433198	0.00232383540095098	0.00116621253405995	0.0	0.00139632301605771	0.00065724613867893	0.00125458405713183	0.00081852198316183	0.0025355528607650803	0.00137074665376552	0.00174672489082969	0.00040596772556581	0.00041108560857798
Bacillota	0.00288322921672273	0.00781640719528918	0.00821003185046312	0.00936605957671347	0.0249948008734533	0.0175252418058882	0.0249244975179644	0.00912539731364708	0.00236686390532544	0.0039911308203991105	0.00283630470016207	0.00790403570764367	0.00832680250783699	0.0165165165165165	0.0137906647807638	0.0272108843537415	0.0019003800760152	0.00721679630387742	0.00918802060151332	0.00919213725712987	0.0050499455909088	0.0174287655071324	0.006103542234332421	0.0031047865459249697	0.00418896904817314	0.00065724613867893	0.00694846554719166	0.00853601496725912	0.00760665858229523	0.003950975649088861	0.0168850072780204	0.00537907236374708	0.0015758281662156099
Cyanobacteriota	0.00789455618864557	0.00257320319432121	0.00170054989092785	0.0023332701234242198	0.0053421025267755	0.007064673599951491	0.00600548477800535	0.00164052086537476	0.00532544378698225	0.00532150776053215	0.008103727714748779	0.00111586386460852	0.00186128526645768	0.00375375375375375	0.00919377652050919	0.0049130763416477706	0.000250050010002	0.0017778817474706102	0.00266261842690914	0.0028633109873878	0.00151824170668613	0.0062743555825676605	0.0020272479564032698	0.00077619663648124	0.00023272050267627998	0.0009858692080184	0.00154410345493148	0.0025724976613657603	0.00308676000440966	0.00185453959038865	0.00465793304221252	0.00152237897087182	0.0008906854852523
Candidatus Melainabacteria	0.0	1.61329353875938e-05	4.87862673626841e-05	1.64895415082984e-05	7.79868982011022e-05	3.03204875534399e-05	6.94275696879231e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56368029503402e-05	2.27246903760936e-05	6.51605882697909e-06	5.36269707911766e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Margulisbacteria	0.0	8.06646769379689e-06	0.0	0.0	2.5995632733700698e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.948114707191451e-06	1.13623451880468e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.00274593258735498	0.0016213600064531699	0.0009130001463588	0.00161597506781324	0.00123479255485079	0.00148570389011855	0.0017704030270420399	0.0009227929867733	0.0015779092702169599	0.00288248337028825	0.00263371150729335	0.0013018411753766	0.00156739811912226	0.00112612612612613	0.00141442715700141	0.00226757369614512	0.0003500700140028	0.00112287268261302	0.00122400966490748	0.0014998295648221802	0.00119895482416415	0.00144792821136177	0.00127520435967302	0.0	0.00069816150802885	0.0	0.00067554526153252	0.0012862488306828802	0.00198434571712049	0.00120948234155781	0.00116448326055313	0.00142088703948036	0.00352848480696105
Armatimonadota	0.00041188988810324	0.00039525691699604	0.0002787786706439	0.00038750422544501	0.00051991265467401	0.00036384585064127	0.00059013434234734	0.0	0.00019723865877711998	0.0	0.00283630470016207	9.29886553840431e-05	0.00088166144200627	0.00075075075075075	0.00141442715700141	0.0007558578987150401	0.0001000200040008	0.00021053862798994	0.00030202835887327	0.00043176911714577	0.00021502994129031	0.00062564799256372	0.00029427792915531	0.0	0.00069816150802885	0.0	0.00028951939779965	0.00011693171188026	0.00066144857237349	0.00032252862441541	0.0	0.00050745965695727	0.00017128567024082
Mycoplasmatota	0.0	0.00012906348310075	0.00013938933532195	0.00014840587357468001	0.00532910471040865	0.00133410145235135	0.00055542055750338	0.00030759766225776003	0.0	0.00022172949002217002	0.0	0.0	0.00019592476489028	0.0	0.0	0.0	0.0	0.00014035908532661999	0.00026228778533731	0.00018179752300874	6.516058826979089e-05	0.00058989667870294	0.00013079019073568998	0.0	0.0	0.0	0.0	0.00011693171188026	0.00055120714364458	0.0	0.0005822416302765599	0.00010149193139145	0.0
