#OTU ID	mgm4754624	mgm4754625	mgm4754626	mgm4754627	mgm4754629	mgm4754630	mgm4754631	mgm4754632	mgm4754633	mgm4754634	mgm4754635	mgm4755556	mgm4766430	mgm4766431	mgm4766432	mgm4766433	mgm4766434	mgm4766435	mgm4766436	mgm4766437	mgm4766438	mgm4766439
Pseudomonadota	0.545844850908663	0.628441173515523	0.383447788309511	0.406163508713291	0.313967596177611	0.512220715004595	0.517927280999787	0.509369600965842	0.419219630193659	0.365199894309483	0.174266022167948	0.639590261926422	0.680043663266083	0.571372518245311	0.623622344935041	0.539598170102914	0.687037783773223	0.584189529615077	0.570665836524681	0.636064919736908	0.610167394800409	0.590703479060892
Actinomycetota	0.231199609276112	0.123556967748418	0.0918598708062588	0.26531071635036	0.232700928847245	0.134791931037501	0.122720978422674	0.132709560583668	0.432077101519573	0.103777249325195	0.431357829266719	0.110854491926487	0.116304659561143	0.146111590677235	0.108614210755448	0.209642256503955	0.11546727748147	0.181241348476902	0.187504405234593	0.154785586444209	0.108708957021662	0.143664599447984
Chloroflexota	0.0038535399123939	0.003497689138953	0.0017140382358701	0.0058833259720704	0.0055837315168747	0.0086273137006082	0.0065666681503241	0.00707208426136	0.0026866945625144	0.0037213187898119	0.0043360995145878	0.0065485352473361	0.0048228594171597	0.0077140390802793	0.007246293792819	0.0225830340025884	0.00757837150233	0.0080776208204008	0.0065491154288936	0.0070815486316209	0.0078163149704731	0.0109466044229393
Bacillota	0.0952645185376494	0.112037827790616	0.381054662932351	0.158501064967267	0.350819358494176	0.191983547017897	0.170795190971449	0.197138902187715	0.0635017032005682	0.42799714888756	0.329954583900893	0.125051644402746	0.0198562506950419	0.0546103743231578	0.0281603006209472	0.024472451190056	0.0227891566515487	0.017694245501208	0.0150776496017668	0.0219206622744072	0.0148610903124573	0.0215098647221181
Cyanobacteriota	0.0030352699907177	0.012963428112127	0.0080113175882773	0.0035027105932268	0.002641234861703	0.0038603246838489	0.0041169023209349	0.0042775962198955	0.0034713637100952	0.0063794036396776	0.0021875817370893	0.0036489549470966	0.0139564420876426	0.0135133014203877	0.0139713126961941	0.0168040473669276	0.0079525094261971	0.0096209235742719	0.039224208819867	0.0120463902387668	0.0095644870400875	0.0097667563975874
Candidatus Melainabacteria	4.34705895890495e-05	3.13975685722898e-05	4.61747411428089e-05	6.90651309764786e-05	2.07766754116271e-05	3.50063449000131e-05	5.46480517104098e-05	2.73204138132012e-05	2.08667660922138e-05	2.88750288750289e-05	2.54764953853575e-05	3.99666478323839e-05	0.0001638835724277	0.0003845248371655	0.0002978713653965	6.22884787077217e-05	0.0002743678108358	6.87822954371545e-05	7.63573996193877e-05	0.0002936792468512	4.23207391154314e-05	0.0001320407537397
Candidatus Margulisbacteria	2.30138415471439e-05	1.25590274289159e-05	1.43300920788028e-05	2.7284990015399e-05	4.76132144849787e-06	2.10038069400079e-05	3.1898636518746e-05	2.08155533814866e-05	4.13398196166499e-06	1.81952236746757e-05	1.6984330256905e-06	1.09908281539056e-05	2.92649236478142e-05	7.06270109079495e-05	5.72829548839447e-05	1.38418841572715e-05	4.15708804296766e-05	3.22417009861662e-05	4.69891689965463e-05	1.66233535953543e-05	9.76632441125341e-06	4.25937915289467e-06
Deinococcota	0.0014243010824176	0.0014216819049532	0.0011973588048066	0.001857084632923	0.0014548001262183	0.0020504966525182	0.0016105102298185	0.0020633417289398	0.0010334954904162	0.0013080783628728	0.0013315714921413	0.0014348026571825	0.0017178510181266	0.0025975045122812	0.0019361638750773	0.0040072254635301	0.0020037164367104	0.0025685888452312	0.0024669313723186	0.0021721182031263	0.0015984217619751	0.0033180563601049
Armatimonadota	0.0002966228466076	0.0003303024213804	0.0002651067034578	0.0004135381299208	0.0003332925013948	0.0004279525664026	0.0004057803296686	0.0004072042630253	0.0002116205051804	0.0002883547404095	0.0002615586859563	0.0003077431883093	0.0004419003470819	0.0006748803264537	0.0005155465939555	0.0009066434123012	0.0004240229803827	0.000627638445864	0.0004581443977163	0.0005319473150513	0.0003125223811601	0.0007794663849797
Mycoplasmatota	0.0001994532934085	0.0002034562443484	0.0004044270431128	0.0003717579889598	0.0001259585946829	0.000201286483175	0.0003902019257874	0.0001717283153972	0.0079592932701923	0.0002139916523478	8.83185173359059e-05	0.0010466265901105	0.0006789462286292	0.0014439300007847	0.0011170176202369	0.000207628262359	0.0009187164574958	0.0003718542847071	0.0003994079364706	0.0011525525159445	0.0002669462005742	0.0004131597778307
