#OTU ID	SRR1556897	SRR5435972	SRR5435975	SRR5468912	SRR5468955	SRR5468956	SRR5468957	SRR5487649	SRR5487652	SRR5487656	SRR5487657	SRR6050920	SRR6050958	SRR6050961	SRR6051235	SRR6051236	SRR6051345	SRR6051694	SRR6051698	SRR6240743	SRR6240745	SRR6240752	SRR6240782	SRR6240785
Pseudomonadota	0.629425253177948	0.332051848266702	0.15280902208654198	0.5734881319675771	0.553484298794528	0.553623141019181	0.6025936123298841	0.11547118719917401	0.43969730608243895	0.38331334748006796	0.187475512732331	0.564412388337633	0.626929099774451	0.57422352554214	0.287523635063154	0.214091017898784	0.24346007306557502	0.26628524952813	0.245577920205057	0.0718154472834118	0.0926425758270733	0.062654338892064	0.0278793803827763	0.0821131079473713
Actinomycetota	0.005277995391046279	0.0109384930014933	0.0173073290466738	0.212753849302779	0.230314165261323	0.221767594254231	0.19435642388352398	0.0416470666160542	0.0031712622070345898	0.0116247142483086	0.00198421126916895	0.0064556243550244795	0.00507268098276721	0.00619501188611954	0.0212160457185084	0.0215150112477761	0.0184818447827963	0.0147817612881795	0.00843251540970086	0.0155800117316444	0.0220060127668605	0.0307594252845152	0.0026250459864788603	0.0289810777541563
Chloroflexota	0.004866277440715471	0.0163855727811403	0.0596044601679284	0.008871552385026609	0.0086332898938432	0.00992623752788158	0.008472955148064171	0.0616625253019286	0.0029327402016896603	0.0174092766852613	0.00033835412834999	0.0251198085145586	0.0164171284372558	0.0243731675437723	0.0489895821867468	0.0582851283863039	0.0425152995858318	0.0403411250295827	0.0378118311905812	0.0910314440316971	0.0638511732621607	0.0281579917746457	0.00130682898590443	0.00141266871335727
Bacillota	0.00073766132767602	0.00245445375896436	0.00176507401408795	0.0119323858184029	0.010450355649798	0.0115625944722099	0.0107057729798857	0.0014135825831618	0.00136213173917816	0.00107601256286349	0.0012807738746376	0.00120384197508639	0.0013823214789676	0.00126503808061354	0.0016536457728976801	0.00152055996917813	0.00174113233545806	0.00119101654794891	0.0011433074571874599	0.00140989991430905	0.00245828569640222	0.0051533312785921395	0.00527054075134335	0.00742685691350648
Cyanobacteriota	0.00290489887177845	0.00048770533963145	0.00036911722353339	0.00405057744149811	0.00375181688931611	0.00412577784352865	0.00386782418591276	0.00144590216956354	0.00029004902628415	0.00030209704107646003	0.00020382176694916002	0.0009821806375901099	0.0016681768970632802	0.0013948256710844	0.0009459075552816301	0.0006766302936349	0.00124490805122445	0.00059021851963597	0.0027555004933193	0.00033352870735298997	0.00053565263655132	0.0019006692369427699	0.00113517095551091	0.0008745175589830599
Candidatus Melainabacteria	5.71830486570561e-06	2.46588376730826e-05	1.16500684637801e-05	3.0934509079759304e-05	2.22314206195368e-05	2.73366394586702e-05	2.42911147210407e-05	9.17590781121752e-06	1.76919156053719e-05	8.16874755736121e-06	7.496410791059151e-06	6.5899316552946e-06	6.84937706632977e-06	6.81329003332388e-06	8.83800995527871e-06	7.83050598828002e-06	9.49019980007835e-06	6.60929918440785e-06	6.13756539295685e-06	7.256395331107809e-06	2.1760582733735603e-05	7.233630631853101e-05	5.5978142955516895e-05	0.00010811150630285
Candidatus Margulisbacteria	0.0	5.64629920376563e-06	3.34306312438906e-06	1.0177934334532199e-05	8.91021223243338e-06	9.02287772982252e-06	9.10916802039025e-06	2.17502999969601e-06	2.96990962273493e-06	1.8013135639309298e-06	2.17637732643653e-06	1.77853269105962e-06	2.00026055919365e-06	2.04771011930499e-06	2.2245331179953203e-06	1.97627055894686e-06	2.14005686164695e-06	1.9098675401528802e-06	1.54271535193671e-06	1.6459628433976299e-06	5.45237072991352e-06	6.07846925479985e-06	1.1667284784520099e-05	7.344463562888009e-06
Deinococcota	2.85915243285281e-05	2.67074949063073e-05	5.06524715816524e-05	0.00264810617492872	0.00239481803229343	0.00283032487362611	0.00248573120274061	5.3798007648730894e-05	2.36317348508418e-05	4.1283593424510104e-05	1.1800801503344699e-05	4.7908054278121795e-05	4.0894215876848e-05	4.66877907201538e-05	0.00011523081551215	8.60609896235728e-05	6.389918472236939e-05	4.1229988957724606e-05	3.63370508074877e-05	5.51486045164194e-05	4.75309807127887e-05	0.00018341339593736002	3.49087643153861e-05	0.00012751292199457
Armatimonadota	0.00391132052814264	0.00520152822334511	0.0671344059407853	0.00083298779112698	0.00081224083192093	0.0009108639735967301	0.00080517900854743	0.0327522134626099	0.0006625813707408299	0.0174133401135334	0.00020630444923265	0.00869245683847505	0.00596495882938448	0.007764451383741041	0.031268205849589004	0.0365558347206898	0.0243105193374586	0.0273696172206436	0.0228961932477613	0.0152639691671869	0.0492158610687038	0.0038609377388195295	0.00037816276507698	0.00063089693998064
Mycoplasmatota	4.0028134059939294e-05	0.00021432202530753	0.00010125429069171999	0.0002204684831047	0.00014917988995093	0.00016937996213607	0.00016289335754109	8.12917462386382e-05	0.0001093036062993	6.72769670621646e-05	9.398725787499971e-05	9.10234309887567e-05	0.00011088313079651	0.00010175257738291	0.00010550299230968	9.24869762837962e-05	0.0001135798764739	7.720494844133159e-05	6.11647791692318e-05	5.599813372591489e-05	0.00019508729172188	0.00040670255906077	0.0006220896951065401	0.00029603452108432004
Thermomicrobiota	0.0	2.17357535720181e-06	4.5840486781395405e-06	0.00028113538303573996	0.00028345061289908997	0.00031455002462084	0.00024380420289867998	4.35005999939201e-06	2.0953350099050097e-06	3.07898946392845e-06	5.642459735205811e-07	2.93925928943538e-06	2.22251173243739e-06	3.0715651789574903e-06	4.70158080614146e-06	4.5740098471223e-06	3.96638811006817e-06	2.9631884259341703e-06	2.68587852639341e-06	5.92900594127102e-06	4.84111840593218e-06	1.96730540196842e-06	1.33429054716587e-06	7.51992856268397e-08
Candidatus Kaiserbacteria	0.0110306100859461	0.00158294997522561	0.00476254798799329	0.00076743227706677	0.00022072624757967998	0.00067591181092908	0.0007819595606523201	0.00193161355637065	0.0119064041181532	0.0071177648748337406	0.0124296294588631	0.00448257635175318	0.00406471129815052	0.00402412269536509	0.0042562773739321606	0.0038470405864198796	0.00361752522816115	0.0032977856440141603	0.00067582031086424	0.0013740604007834599	0.00310516180582519	0.00427316388612429	0.0021902224181664103	0.0302755081240796
Candidatus Nomurabacteria	0.0045632072828330796	0.00181743378574306	0.00085259506478026	0.00048958268385556	0.00014794481102763002	0.00052180820613755	0.00079999928555544	0.00063023193483379	0.00244709620730698	0.00111291854541751	0.00436200828683879	0.00041574605758274	0.00039554647441751003	0.00039418419796621	0.00083490936494533	0.0007416483520867901	0.00062024674183345	0.00054398815020948	0.0002230943977646	0.00034729815995688997	0.0015073482309379699	0.00326403710237101	0.0036100627104145204	0.00622040970776655
Candidatus Yanofskybacteria	0.0002058589751654	0.00074042719624955	0.00024075119742759	0.00031631737652282	8.55733254005979e-05	0.00031571138512072	0.0006112073130544201	0.00018540431505221	0.00052612951083493	0.00021737246705203002	0.00030075922519999	6.677922220010191e-05	5.051163028266789e-05	6.07052972641234e-05	0.00012780844600633	0.00012481577957826	0.00010495242211019	0.00010482279056742	8.60258035457659e-05	8.08114660532641e-05	0.00064091028674091	0.00116123984630805	0.00211404373692706	0.0089476371331666
Candidatus Azambacteria	0.00014867592650834	0.00062166753578451	0.00017139530071441002	4.9527271013707795e-05	2.91125746208219e-05	4.21663196878835e-05	4.4831395551332396e-05	0.00015558261466575	0.00026424907520567	0.00010546062551618	0.00023737022040334	2.85688514374419e-05	2.64882989202311e-05	2.80350130879392e-05	9.23722346618381e-05	8.79999720587659e-05	7.33109531191413e-05	8.22284788196732e-05	9.75462246631062e-05	5.11310392965134e-05	0.00075193815886888	0.0012342319210939	0.00317551841221659	0.00144520493760515
Candidatus Falkowbacteria	0.00872613322506676	0.0269843009772282	0.0101168181490034	0.00013367554700787	9.00725414783612e-05	0.00012721364244819	0.00012860001911139	0.0067423211203076604	0.00603707923053832	0.00363371025959295	0.0119634171929134	0.00405696411808424	0.00298865193591278	0.00349925736069414	0.00513506415156704	0.00525685482804948	0.0045836992765207205	0.003942394876202729	0.00254381552995607	0.00357096063506414	0.0171526693144487	0.0346966591623214	0.022493376954084	0.0127687885665803
Candidatus Magasanikbacteria	0.00524368556185204	0.00140214348258114	0.00053256008620949	0.00026045894950574	0.00014626863248885	0.00024656576766642996	0.00023094420098754	0.00075291722075414	0.0115809348200494	0.00686968629516864	0.0168839000230293	0.0023866223788312803	0.0018643236597769301	0.0020806782522258	0.00231986338047893	0.00191999035082792	0.00158091938747539	0.00108558028477769	0.00036339270541807	0.00026623891455086003	0.00107878700154818	0.00120467189633612	0.0026975010661912397	0.0199562861539365
Candidatus Nealsonbacteria	0.0146617336756692	0.11447957829140401	0.028397991614306	6.77193268714937e-05	2.9730114082475703e-05	5.3511918417462296e-05	6.251389817914879e-05	0.022699479690342996	0.0277155063445378	0.0122664845692254	0.0290128508632601	0.00310565506373157	0.00277939235397775	0.0029215797204916604	0.0110643347242718	0.0108608745176206	0.00960944914656269	0.0101244046045818	0.0101797459831494	0.008515486112206209	0.0772278924704472	0.169309606957603	0.258933850963594	0.0875756843210191
Candidatus Uhrbacteria	0.00320796902966085	0.00107961737828462	0.00052939430673564	0.00030333449965515	0.00020961053726991	0.00029909499643015	0.00029202921006545	0.00088100609682999	0.0116228779608564	0.006880871195670261	0.0050953023540261395	0.00308517385568926	0.00209269684261093	0.0027713336443743	0.0028079860690838	0.00238119472416303	0.00177921638400643	0.00141694809047161	0.00026877653005647997	0.0002276738281448	0.0008460710167619999	0.00251968944823137	0.00176799703502022	0.0280869081151961
Candidatus Giovannonibacteria	0.00012580270704552	0.00047718723359257997	0.00016135344822335	8.57511002988145e-05	3.24649316983711e-05	6.96816299926888e-05	8.94841799650101e-05	0.00013913395029305	0.00019395514069946	9.53858368621101e-05	0.00021165672532433	3.39980564943608e-05	3.00241130400178e-05	3.2800593001958096e-05	9.086917174427371e-05	9.17660725578911e-05	7.65714585994516e-05	7.72859731248533e-05	6.7324541905382e-05	7.46700778096192e-05	0.00044298678423575	0.00098559478452204	0.00151466801113506	0.00075352190840947
Candidatus Moranbacteria	0.0024417161776563	0.0218115663814599	0.0158454733905915	0.00016164483112402	0.00011062778355912	0.00016285847625213998	0.00016843030280839	0.006386822662310471	0.00459780272238679	0.0112487424056044	0.0007288445846532901	0.0134862951325604	0.00794994467158065	0.0115852178487126	0.0114467019059968	0.0118959058274017	0.00978251364020143	0.0103992287561324	0.00194051393930445	0.0044939210256054705	0.0160518527791443	0.0233869987343669	0.0204655035624937	0.0132246717024787
Candidatus Zambryskibacteria	8.57745729855842e-05	0.00025475802203893	9.686018878201479e-05	0.00032745700544014	4.8785617470650106e-05	0.00023861491501342002	0.00033918255040629	7.352620944284859e-05	0.0042020212694723795	0.00121249348359109	0.00036339052826077996	0.00023310011090929	0.00019434854867559	0.00019827418618834	0.00010814838304459	8.59988427506499e-05	7.60784612072397e-05	6.26436553170145e-05	3.19641741984009e-05	3.3574102300271994e-05	0.00022985532390994	0.0004893798296717	0.00073221521026681	0.0506892064660557
Candidatus Staskawiczbacteria	0.00014295762164263999	0.0011665603925726901	0.00033322994741779	0.0003354711269634	2.54073378508992e-05	0.00011461734779566	0.00015842807909972	0.00024530260215321003	0.00040893651271572	0.00017694763939637	0.00036019850818201003	4.7383855169178e-05	4.0025415835986105e-05	4.50682381712489e-05	0.00013030954270116	0.00013063272688384	0.00011208967981106999	0.00012218522275062	0.00011378358120903	9.82445133731207e-05	0.00091663398504241	0.00178200036622147	0.00326081991719703	0.00103038061165896
Candidatus Wolfebacteria	0.005026389976955229	0.0289579323851923	0.0110747830177914	7.01235633284698e-05	3.38764504678655e-05	5.9676062609123204e-05	7.2873344163122e-05	0.00844757862491307	0.0107065424102639	0.0045726135365321205	0.007387059921390859	0.00088617731506639	0.0009566902775537301	0.0009443294448373	0.00318472578324549	0.0033314328405281	0.00276523357740252	0.0033499771151568897	0.00339965629411826	0.00251304898988942	0.0363253319589121	0.0725777804456905	0.15554808559715902	0.079574229666038
Candidatus Harrisonbacteria	0.00011436609731411001	0.00032547417202237	9.360576748289371e-05	4.91265649375451e-05	1.94966030036414e-05	3.99329341111947e-05	6.269250931680351e-05	7.86239360046361e-05	0.0010210111995656301	0.00032930525409444	0.00022226454962652	0.00014960268141323	0.00011312584718106	0.00012969451273816	9.08451227375927e-05	7.10711638745796e-05	5.83753730323592e-05	5.05015277435577e-05	3.73470299227844e-05	2.86362137700791e-05	0.00029369451662655	0.00074795438070991	0.00108747782595291	0.0114331991209905
Candidatus Taylorbacteria	0.00011436609731411001	0.00033710404936464	0.0001186914040337	0.00016549160945518	5.4343472625534295e-05	0.00015776635713728998	0.00016289335754109	9.10284039716524e-05	0.00044503093579939003	0.00014242944458988	0.00023230812795517998	0.0001480675268799	0.00019055007407833	0.00016390988727709	0.00013576866721775	0.00010229375283102	0.00011480116546824	9.73337948190641e-05	4.52381854280147e-05	4.2759636877942604e-05	0.00027298528789006	0.00057695014192342	0.00081723744513273	0.0029248010151703
