#OTU ID	mgm4561562	mgm4561566	mgm4727034	mgm4727036	mgm4727049	mgm4727051	mgm4727057	mgm4740857	mgm4740863	mgm4740867	mgm4740871	mgm4727024	mgm4727027	mgm4727029	mgm4727043	mgm4727047	mgm4740846	mgm4740858	mgm4740873	mgm4740875	mgm4727021	mgm4727025	mgm4727030	mgm4727033	mgm4727046	mgm4727050	mgm4727052	mgm4727053	mgm4740852	mgm4740864	mgm4740865	mgm4740866	mgm4740868	mgm4740872	mgm4740878	mgm4727032	mgm4727037	mgm4727040	mgm4727045	mgm4727048	mgm4727056	mgm4727058	mgm4740841	mgm4740848	mgm4740851	mgm4740861	mgm4740874	mgm4740881	mgm4727026	mgm4727035	mgm4727038	mgm4727039	mgm4727042	mgm4727044	mgm4740847	mgm4740854	mgm4740856	mgm4740859	mgm4740860	mgm4740877	mgm4727022	mgm4727023	mgm4727028	mgm4727031	mgm4727041	mgm4727055	mgm4740855	mgm4740862	mgm4740869	mgm4740870	mgm4740876	mgm4740880	mgm4520028	mgm4520029	mgm4520030	mgm4519612	mgm4519616	mgm4519620	mgm4520025	mgm4520026	mgm4520027	mgm4519600	mgm4519606	mgm4520021	mgm4520022	mgm4520024	mgm4519652	mgm4519654	mgm4519660	mgm4520034	mgm4520035	mgm4520036	mgm4519628	mgm4519638	mgm4519644	mgm4519648	mgm4520031	mgm4520032	mgm4520033	mgm4723592	mgm4723610	mgm4723615	mgm4723603	mgm4723611	mgm4723617	mgm4723596	mgm4723598	mgm4723600	mgm4723599	mgm4723614	mgm4723601	mgm4723618	mgm4723619	mgm4723606	mgm4723588	mgm4723602	mgm4723604	mgm4723607	mgm4723608	mgm4723612	mgm4723593	mgm4723594	mgm4723605	mgm4723616	mgm4723609	mgm4723595	mgm4723590	mgm4723613	mgm4723589	mgm4723591	mgm4723597
Pseudomonadota	0.517073303315002	0.529437648508316	0.505680883763256	0.510350773661651	0.496195050235204	0.577245958883245	0.436807410380253	0.511182342705376	0.675544108177721	0.500636730419052	0.484550146654237	0.49993679107926	0.527222645836658	0.507633930666452	0.561107598282193	0.378091005752611	0.440794083300895	0.315430332379485	0.447147037307974	0.549752669681337	0.327072309530192	0.553805627611412	0.580778531285893	0.33610665826988	0.29531887795349	0.552882485533551	0.548714238042644	0.466988202794194	0.61634452829531	0.583351242925711	0.376035993369642	0.274712860101676	0.482772673384707	0.56195075607632	0.590602744263674	0.583344888484727	0.551968620978634	0.571190043600267	0.597990240221968	0.537914542348639	0.559433048886803	0.538000088555161	0.686823003908431	0.597826816017171	0.587372708757637	0.532959918937176	0.571861209656485	0.55502503784791	0.502356804575105	0.508869764497247	0.535418312097909	0.571241456005887	0.544767502127424	0.54574443080356	0.492236861438997	0.562123678838153	0.530800424021134	0.542143818947733	0.482158440033636	0.588691733558654	0.332100056189355	0.553210249997701	0.41727737666537	0.376815164277759	0.452284456649033	0.393873798873401	0.458644812374255	0.349287815004902	0.441507329509242	0.417301935125459	0.6011455744083	0.330979699911739	0.54899995837829	0.556800368372056	0.547024952015355	0.537833094600314	0.501460826325628	0.55051239676696	0.57400749887594	0.565898911112827	0.506734133704493	0.64023094816936	0.54006521542224	0.518318965517241	0.646737617143744	0.520955595595323	0.529780082267439	0.449138662467972	0.524566516967552	0.599324886062002	0.524777600619887	0.569854726331172	0.537727251882276	0.520983670769404	0.460977775035648	0.451126762147992	0.62769595621292	0.575245855393073	0.46590221171038	0.525952104196287	0.533694597846969	0.538625471944569	0.527548163806557	0.524039771546564	0.506875105391928	0.550262660279743	0.553656305791742	0.545270645307221	0.555524636690506	0.549731626921124	0.529309983282901	0.44374125318926	0.518741057408984	0.507907671965276	0.554757915048112	0.546369995623373	0.567891243421703	0.560648378958773	0.53987406004523	0.50556948166076	0.494492080139313	0.494866006091818	0.567753222677936	0.553609118972763	0.508890429301519	0.423300204560852	0.573588648010202	0.564976340107508	0.537340085148276	0.552490680297579	0.494346102763191
Actinomycetota	0.159154534006179	0.0740121446801021	0.249019219619348	0.180887197482391	0.224605506261825	0.170951321456212	0.104041480415358	0.16179137283634	0.119742433998712	0.271925544196232	0.243946249516837	0.124977114011456	0.215308046506954	0.0978674336128933	0.124539980093231	0.111221175099689	0.11008174386921	0.101107931616406	0.0899780541331383	0.106447572341464	0.163895203963109	0.208013983737925	0.176144053046309	0.181602450334917	0.577940294825494	0.206794876705458	0.199707421318919	0.170421695386032	0.172525576450494	0.198653198653199	0.450390717499408	0.130295612878931	0.160899525785418	0.177420631778957	0.209527206940923	0.137278423253909	0.142981622103707	0.142839735840771	0.124040146518363	0.213212590724201	0.161890381907189	0.154095141833306	0.0901730876605248	0.191584501531513	0.100558438998752	0.201671920738572	0.159816561391365	0.121579131244905	0.158727995710839	0.261291063038915	0.168413203866932	0.126994641467185	0.16790615711355	0.140407404007461	0.114365479747269	0.159456805437114	0.138749137655432	0.162324426490753	0.302997128214892	0.107843965638642	0.552110734962359	0.24380614374638	0.405550459861595	0.482840886653235	0.366837620643702	0.466428978593869	0.375694482898647	0.475059108471253	0.362778840025494	0.416159995061881	0.168096833459419	0.552153348269853	0.105885629944579	0.109008098179161	0.0934101087651951	0.126414992893155	0.0939338191020874	0.126612723987915	0.106329275140821	0.123235384971812	0.0963896449981373	0.101605782462324	0.101866388897276	0.0948275862068965	0.126821320852171	0.0665470015020589	0.103555889794514	0.0983879205906315	0.099400707848794	0.129271297641108	0.0943986648586628	0.0936995416201046	0.139058573691284	0.124599575711177	0.122304143358561	0.125703171585118	0.125218405336747	0.107884429923832	0.113143087759804	0.130492409971478	0.127062464002168	0.135412725891126	0.148559320589883	0.147102381849246	0.135189507812746	0.12960831107948	0.117950892152818	0.118560322894241	0.148336269984043	0.155017018453	0.111938960915727	0.123734469164273	0.137575977995509	0.123214809278795	0.154046879540063	0.13718872165392	0.158603343349741	0.16817555999407	0.116302671429371	0.124873944737373	0.123763020673428	0.121721397389193	0.157318334451829	0.162015049322325	0.121584768859171	0.124108581689502	0.146324390966971	0.134398049385378	0.153348938613993	0.134574875059011	0.121956622372677
Chloroflexota	0.000896925990016	0.0061603449793188	0.0156337972759361	0.0138971703487486	0.0199016756579418	0.0096672490051269	0.0222892650050513	0.0152944408828647	0.0071603348358016	0.0186853599609631	0.0231008844728405	0.0245937192128964	0.0123124028395959	0.0258187352091336	0.0174393671322883	0.0346731856860268	0.0303036200856364	0.0521865140509208	0.0328730797366496	0.0226949451202683	0.0527123933193685	0.0108593567715839	0.0123568712059584	0.0547031545199519	0.0097586722239273	0.0122712776221184	0.0127480711042598	0.0244820324706202	0.0148142984122558	0.008214533037228	0.0184308153761149	0.0578987008096404	0.0229697688203912	0.0152798669939039	0.011657387471175	0.0079424198744304	0.0089365115569827	0.0118302219584169	0.0118605033222187	0.0102259354144505	0.0162358754694206	0.0115488145059462	0.0065884980457844	0.0109106356339571	0.0068458051376387	0.0100484125197028	0.0147443108073029	0.0089670432048445	0.01711866678581	0.0182541474918827	0.0185676998642019	0.014706557132238	0.0157449438030701	0.0204519111753141	0.0118038889160993	0.0160994392330155	0.0261816223856237	0.0228415422055862	0.0247988957113618	0.0151668779045205	0.0098792627732941	0.0079578157611643	0.0106669331496504	0.0075587514161875	0.0082477890401001	0.0078600106595257	0.0060357716374107	0.0062280145320339	0.0089706819630337	0.0044134440295052	0.0047984437479736	0.0124923620069251	0.0144619433496512	0.0139280673480215	0.0147152911068458	0.0267137423365322	0.0245663374481022	0.0152926834098756	0.0242738961542692	0.0150610085720905	0.0539416336987798	0.0116814337788901	0.0590121574429113	0.0233028017241379	0.015150838843792	0.0089186878612519	0.0177368233564019	0.0550107851869362	0.0189260327751837	0.0114248510041569	0.01283136390052	0.0133378559530143	0.0322388712573477	0.0239713598196567	0.0518742459142262	0.0370374537313097	0.0208383231181804	0.0195634631659745	0.0784587011304923	0.0086937294715946	0.0112752424010852	0.0073809257972516	0.0073690298279323	0.0079702390113526	0.0098149611138529	0.0054819990215237	0.0068680938870819	0.0097728125872286	0.0069752189786921	0.0075488323487614	0.009718644310036	0.0103069372915919	0.0087416889709677	0.0080600189715139	0.0073169940448484	0.0082395572930189	0.0062886104935475	0.0056942400163139	0.0085920456452424	0.0107845679545913	0.0114456662433899	0.0141852604285912	0.0070636978074625	0.0076869103345606	0.0101222331773307	0.0196891464353134	0.0067073629822736	0.0073281743654277	0.0070825980173962	0.0063666997672109	0.0103469396062483
Bacillota	0.0846643775424228	0.111150224412567	0.0264344739386192	0.0309280564723402	0.0289644863132812	0.0263731508601064	0.0378029034445536	0.0295631468083158	0.0224597553122988	0.0226723635195125	0.0304222277801778	0.0467702421119626	0.0253979512823696	0.0518493192011424	0.034221491731111	0.0575291341397288	0.0606072401712729	0.0827096632181378	0.0629114850036576	0.0303802305585631	0.0665779798601528	0.0216412657518024	0.024448473634145	0.0629859162993073	0.0250879915551055	0.0233255451431974	0.025156822847204	0.0463947950395882	0.0196594454223818	0.0183394225947417	0.0269555608177441	0.082846921483713	0.0437907528156491	0.0266539994194178	0.0202953204826031	0.0280645067670191	0.0274867566895696	0.0321717855359069	0.031816632998272	0.0209324040511777	0.0335656685890558	0.0351823549260335	0.0234505862646566	0.0183110872627272	0.0260166874712568	0.0296948885386174	0.033313143549364	0.041613291409495	0.0397194173889733	0.0234762294383994	0.0371293067139688	0.0338397646016474	0.0309989127840683	0.0446675631316825	0.0556888867120537	0.0299764839651653	0.0441688680991402	0.0334655153244636	0.0204039538610437	0.0340797070835094	0.012305049494156	0.0189065933560743	0.0164072621371697	0.0175645599418764	0.0165246537172394	0.0164481546236465	0.0116654668955461	0.0114180266420622	0.0127629063097514	0.0110181784512824	0.0170323138441586	0.0105687193065834	0.0312995258326743	0.0309852951480996	0.0377479206653871	0.0298101486578333	0.0386354751993004	0.0276949517310583	0.0246965039337258	0.0238551239477952	0.0301933278024989	0.0211653832526749	0.0253451989171019	0.0323275862068966	0.0148543262149047	0.0262638923422242	0.03226150206582	0.0366886310199705	0.0333640662641644	0.0253097611058246	0.0356286042110596	0.0316265864985863	0.0268522035245575	0.0332103927479207	0.0387480119556872	0.0350235703115331	0.0177777036126697	0.0272851922559652	0.0275771611456031	0.0360805831395011	0.0382866349697524	0.0289589415000114	0.0281239945514083	0.0315593677706267	0.0377767908597943	0.0305045844595908	0.0294133114589495	0.0375592352437268	0.027376666443435	0.0232046002208235	0.0378167257681138	0.0487374144100203	0.0338114330141405	0.0409416769668573	0.0231985736974693	0.0319243436913513	0.0223782799520868	0.0210999022289669	0.0342762847713343	0.044587547180684	0.0420775603537841	0.0424359929247584	0.0230013385139918	0.0230379591900635	0.0399507450669721	0.0529227207251057	0.0226119834924638	0.0307992222275143	0.0288130386134691	0.0310740855296358	0.0416376753560133
Cyanobacteriota	0.0005526513675856	0.0081844583296664	0.0063029207036724	0.0072666614165336	0.0074594282585047	0.0067458690029095	0.0070911581948269	0.0070702445278871	0.005331616226658	0.0058436380514859	0.0075714513085195	0.0082444049207055	0.0062891966497023	0.0092020139042524	0.0071030065604573	0.0096523088698447	0.009400544959128	0.0127668941228263	0.0096698975859546	0.00554104834087	0.0129588632204562	0.0058438770168287	0.0062398662673053	0.0121514856586706	0.0024740901802285	0.0063705130882787	0.0066313340082268	0.0091751013291669	0.004409432350942	0.0046803734746997	0.0040255742363248	0.0163810958388251	0.0092990515708358	0.0062808434275459	0.0055802576091526	0.0077349645982408	0.0080587498109929	0.0080299772950461	0.0080393433446102	0.0062761407717363	0.0077234358234978	0.0109915277139485	0.0071468453378001	0.0048069398797147	0.0062413770448722	0.0070929970727313	0.0077009604568659	0.0085788595163231	0.0088061835403449	0.0061559849390788	0.0077487911078547	0.0089951270138297	0.0079688990351661	0.008376870395571	0.012783464759759	0.0075070418895521	0.0095909542158133	0.0078444452680082	0.0057435702159392	0.0077735530207013	0.0025578736382467	0.0045779277498368	0.0034069373610332	0.0026770977308409	0.0039769010216855	0.0029779972813886	0.0029348247411263	0.0036330084770197	0.0037922243467176	0.0033332304558501	0.0047335999135415	0.0029194106864009	0.0101204788417639	0.0100181182994825	0.0083173384516954	0.0080525865194655	0.0081443151901853	0.007603981224955	0.0070531115703834	0.00718781373079	0.0067009944074579	0.0068153861056889	0.0078890029487837	0.0071390086206896	0.0189268580926692	0.0193019683443632	0.0111344198805874	0.0096264652868944	0.0112140499063141	0.0096018430410176	0.009806434308364	0.0104175136898304	0.0062474057333146	0.0094170753653636	0.0096145936163211	0.0084043067853245	0.0055224648293788	0.0077414106424714	0.0084423233048481	0.011054303074922	0.0103479257092592	0.0094275094226314	0.0089577012475831	0.0116951534790521	0.010359756312243	0.0109052171231533	0.0155573061327611	0.0100038180062307	0.0116942588671071	0.0073567535185349	0.0108936443393231	0.0129585121586005	0.0100570801365045	0.0128327919744747	0.006958020553877	0.0089136691714821	0.0078462500546036	0.0076840650730968	0.0112323096716451	0.0104906791137235	0.0096354825478151	0.011412739492194	0.0077114845972741	0.0070122953561155	0.01038400764657	0.0120105503410444	0.0080037786634919	0.0093611787247305	0.0115355142324	0.0125860749808722	0.0109944516548003
Candidatus Melainabacteria	0.0	0.0002640147848279	5.15945621911179e-05	8.79567743591684e-05	7.5235635543781e-05	9.04185409676721e-05	0.0001291649944412	5.49500870043044e-05	5.1513200257566e-05	2.38030063196982e-05	6.8211273049726e-05	0.0001863573352862	6.3837710354122e-05	0.0002105079677936	0.0001296533070569	0.0002544598635004	0.000175165434021	0.0004769242057377	0.0002057425018288	0.0001061503513576	0.0002548091082673	6.66639216816562e-05	5.86383614021828e-05	0.000208965477758	2.86851035388812e-05	7.29916984590079e-05	8.87623494832121e-05	0.0001343507762908	1.74285863673597e-05	9.55178260142799e-05	7.89328281632331e-05	0.0001882884579175	0.0001111440426793	2.63900984350672e-05	8.91821992330331e-05	7.73926418945719e-05	7.81656445334024e-05	0.0001097848458307	0.0001140871808601	4.99377662366051e-05	0.0001131638948497	0.0001190914240433	0.0	6.70735797169495e-05	0.0001051179291767	0.0001407340689034	8.65276455827637e-05	0.0001552734754085	0.0001005272093646	4.62786418514419e-05	0.0001218602887022	0.0001209695248567	0.0001205339170389	0.0001351758951115	0.0001469363765489	0.0001162880843476	8.41311773316956e-05	0.0001358880282647	7.93310803306519e-05	8.44951415293621e-05	1.53751967326309e-05	2.85028640781162e-05	1.99862237814649e-05	1.24605336559014e-05	2.74603238702904e-05	2.34682490030626e-05	1.84580172397881e-05	0.0	0.0	6.17264899231505e-05	4.32292229547174e-05	4.52621811845113e-05	0.0001120584496873	0.0001201213225357	0.0	0.00012407683389	0.000161181852035	9.35231376242482e-05	0.000109993805612	0.0001023245038226	0.0001439845319474	7.82920132857566e-05	0.000104415124342	0.0002693965517241	4.14480018874782e-05	0.0001464592621859	0.000137010909113	0.0001561847031857	0.0001442464979329	9.21520508839585e-05	0.0001460310837592	0.0001393958120851	0.0001117078006145	0.0001259992631782	0.0001559586486782	0.0001350089443425	6.77301943169459e-05	0.0002164970772894	0.0001994434354953	0.0001358781247336	0.0001292471167226	9.86435963504037e-05	0.0001012339516622	0.0001185744476856	0.0001692447668468	0.0001392655640571	0.0001268656433199	0.0001443783868763	0.0001235471661513	6.58172215461406e-05	0.0001347208408454	0.0001991953645531	0.0001219567968047	0.0001713185202219	7.96935255005177e-05	0.0001335242235195	7.0697293730587e-05	6.19279096578139e-05	0.000129456044878	0.0001627913677356	0.0001940359727956	0.0001439392402519	7.17718318257159e-05	7.18735367330702e-05	0.0001687756446411	0.0001999565883722	6.52913523662527e-05	0.0001086274421329	0.000123061777012	0.0001326734929756	0.0001609313570962
Candidatus Margulisbacteria	0.0	0.0	2.96668732598928e-05	5.42059190818131e-05	4.0701245458111e-05	5.70497937057931e-05	5.07433906733648e-05	9.15834783405074e-05	5.1513200257566e-05	3.57045094795473e-05	2.27370910165753e-05	9.04541451974298e-05	3.90119341052968e-05	0.000107265206519	7.8789317365365e-05	0.0001322787385657	7.78513040093422e-05	0.0001834323868222	0.0001600219458668	6.36902108145978e-05	9.92762759483366e-05	2.54891465253392e-05	4.83999173478335e-05	9.58951165054102e-05	2.4382338008049e-05	3.396643393637e-05	3.59543694109214e-05	6.34014899350135e-05	3.48571727347195e-05	7.16383695107099e-05	0.0	9.41442289587648e-05	3.70480142264375e-05	0.0001319504921753	5.09612567045903e-05	5.15950945963812e-05	6.08666904153543e-05	6.75599051265904e-05	6.23676588702022e-05	3.48622141651772e-05	5.5534133583691e-05	5.80188988929078e-05	2.79173646007817e-05	6.70735797169495e-05	1.31397411470994e-05	2.814681378068e-05	6.9222116466211e-05	3.88183688521408e-05	6.25502636046823e-05	2.59160394368074e-05	6.24533979599064e-05	8.09244407662293e-05	6.58918746479405e-05	6.65791722191342e-05	0.0001469363765489	6.46044913042355e-05	8.41311773316956e-05	9.8827656919789e-05	3.17324321322608e-05	9.85776651175891e-05	8.38647094507141e-06	1.83889445665266e-05	1.49896678360987e-05	1.05435284780704e-05	2.26143843637685e-05	8.02861150104773e-06	0.0	0.0	1.59337157425112e-05	0.0	0.0	0.0	5.76300598392121e-05	6.60667273946686e-05	0.0	4.2737576117691e-05	9.26332482960114e-05	4.95122493304844e-05	4.43834654223859e-05	4.05436713259711e-05	4.57093752214048e-05	4.11364815569229e-05	6.66747179533629e-05	0.000134698275862	2.33809241416544e-05	6.13085283568974e-05	6.69831111219367e-05	7.59817474957682e-05	6.09701692293965e-05	4.80793308959784e-05	0.0001013276907717	6.5051378973071e-05	5.05624781728837e-05	6.57387460060288e-05	8.56915652078535e-05	5.48473836391661e-05	3.14111046107575e-05	6.5605174936199e-05	5.16206538929012e-05	7.16448294050144e-05	7.96814748727292e-05	7.154370724315e-05	6.51505629509797e-05	5.62929196083211e-05	8.09162936384351e-05	5.69722762052123e-05	5.47582477577582e-05	9.06375428723599e-05	5.6577674218824e-05	4.49974881999124e-05	0.0001007477592409	0.000129192422153	7.2956298088545e-05	8.73839432004369e-05	4.1609893845403e-05	6.21258539986796e-05	4.36828806790619e-05	2.06426365526046e-05	8.31075843661848e-05	0.0001037254732474	9.70179863978327e-05	7.72828135581104e-05	3.25120263825893e-05	4.41203888856471e-05	8.1804521637296e-05	0.0001183953483783	4.29393578624905e-05	5.76561039013128e-05	5.58578278636301e-05	6.10460857249833e-05	8.42522987151051e-05
Deinococcota	0.0019659892912472	0.0015840887089677	0.004385537786245	0.0038128238931509	0.0043895676541035	0.0032324628395942	0.003943222758872	0.003077204872241	0.0021635544108177	0.0037370719921926	0.0035924603806189	0.0041031308032328	0.003883460713209	0.0047169874566749	0.0043024951280276	0.0045499847021153	0.0029972752043596	0.0053929121725731	0.0062637161667885	0.0039912532110481	0.0044277219072958	0.0034822095560771	0.0037724012502071	0.0049937024102593	0.0014313866665901	0.0037565430553457	0.0037459958630003	0.0036606812641049	0.0031371455461247	0.0026983785849034	0.0022101191885705	0.0043306345321031	0.0029267931238885	0.0029293009262924	0.0029684932030423	0.002886100603985	0.0028902067417227	0.0031282648927365	0.002832404410154	0.0038225946721114	0.0037385997854077	0.0033101308631532	0.0018146286990508	0.0023922910099045	0.0019052624663294	0.00289912181941	0.0028034957168815	0.0024455572376848	0.0045393619873112	0.0046287897579812	0.004457040059285	0.0036532796506733	0.00389244196091	0.0037314599702814	0.0026448547778811	0.0028425976173863	0.0037522505089936	0.0040642873908263	0.0043632094181858	0.0038867765103506	0.0023705757871401	0.002876950377433	0.0026974264167912	0.002176759379427	0.0027621855187174	0.0024715771713225	0.0020119238791369	0.0018453376391211	0.0024697259400892	0.001882657942656	0.0023776072625094	0.002217846878041	0.0024076558332826	0.0025345599055045	0.0019193857965451	0.0028193013922799	0.002716006840039	0.0026780625526755	0.0022423298617744	0.0024364815815893	0.0021414842291228	0.0019878209474926	0.0021109467306744	0.0029633620689655	0.0027759533571818	0.0013283514477327	0.002339841858964	0.0024060886706993	0.0022544091841893	0.0024480392647869	0.0021472529765009	0.0020769976000687	0.0028409057503648	0.0027240492876248	0.0032100060326861	0.0029392572257912	0.0024353422043527	0.0020632827517434	0.0027288554762474	0.0030918449655301	0.0032311779180673	0.0029918277574408	0.0033397180885025	0.0032530121203446	0.0031378226846049	0.0026722710505778	0.0027433339965768	0.0030656344146739	0.0031729683419046	0.0032821302213876	0.0029333998737138	0.0031802962774939	0.0032057215160101	0.0029147144212251	0.003032585483648	0.0028707708056703	0.0031026340777049	0.0033647497580745	0.0028136711976282	0.0033350620912207	0.0033158045984069	0.0032536064507964	0.0031279023117891	0.0034058093743017	0.0030887665169787	0.0035689620016706	0.0029598746406034	0.0030014597857031	0.0034282741851303	0.0028374220644972	0.0029535637302373
Armatimonadota	0.0003170950469753	0.0001760098565519	0.0013904734510506	0.0015187884874809	0.0016070825100581	0.0012098861910436	0.0013359350853642	0.0011356351314222	0.0009529942047649	0.0010354307749068	0.0010459061867624	0.001536630659378	0.0012956690842244	0.001167849935976	0.0012815730736011	0.0017004381354554	0.0011093810821331	0.0016875779587644	0.001051572787125	0.0009341230919474	0.002799590981743	0.0010058409359614	0.0011439134311632	0.002957004637316	0.0005493197327695	0.0012105058902855	0.001107844007474	0.0020152616443629	0.0008191435592659	0.0007880220646178	0.0007893282816323	0.0020711730370928	0.0017042086544161	0.0006597524608766	0.0009810041915633	0.0011146690228426	0.0010680502412883	0.0013318952724956	0.0012869034001022	0.0010345597609017	0.0015046606759656	0.0015039109318293	0.0006979341150195	0.0008719565363203	0.0007752447276788	0.0011821661787885	0.0008998875140607	0.0013586429098249	0.0017380037530158	0.0012735882237516	0.0015788523654986	0.0012071924308116	0.0016384577122823	0.001511145454307	0.0014203849733065	0.0011241181486937	0.0012619676599754	0.0012600526257273	0.0010630364764307	0.0009294465568229	0.0006646278223969	0.0007852079329906	0.0006602591784948	0.0005597655119266	0.0007349674918224	0.0005990579350781	0.0004060763792753	0.0003460008073352	0.0003505417463352	0.0003394956945773	0.0006700529557981	0.0006789327177676	0.0010309377371236	0.0009950049550045	0.0019193857965451	0.001272476863117	0.0012264642074391	0.0010199523362079	0.0008722315813442	0.0008282492856591	0.0010078917236319	0.0007470915844047	0.0008969636585046	0.0009428879310344	0.0008661569625203	0.0004836561681488	0.0010732521213855	0.0010869611100089	0.0011153079737084	0.0009435568688335	0.0009119492169455	0.0007364745405165	0.0011547058968784	0.0012367101592384	0.0016161429198201	0.0015765106938334	0.0010326400640786	0.0008659883091578	0.0014829206027415	0.0011067890887395	0.001386583145423	0.0009550000921396	0.0010063256185043	0.0011126834535346	0.0011983023638058	0.0008039421197846	0.0008934811119285	0.0012464667400322	0.0008555929917581	0.0008703991747326	0.0011269691208117	0.0013482680532181	0.0011509672698446	0.0011900313317427	0.0008787445378198	0.0010802480583352	0.0008449188762923	0.0007375051059248	0.000961330999928	0.0013224997839052	0.0014908839935059	0.0014442225783671	0.0008336574312063	0.0010033830375606	0.0012399843279758	0.0017272565824524	0.000767026337708	0.0009701266178177	0.0010674081793315	0.0008465057220531	0.0012439047248499
Mycoplasmatota	9.05985848501046e-06	0.0037842119158672	0.0003514879549269	0.0006156974205141	0.0003663112091229	0.0003584449302647	0.0006993361841892	0.000549500870043	0.0003348358016741	0.0001666210442378	0.0002955821832154	0.0008914637442349	0.0003723866437323	0.0010914234763312	0.0006123625425611	0.001300572635669	0.0010120669521214	0.0014491158558955	0.0014401975128017	0.0004033713351591	0.0013402297253025	0.0004009638818793	0.0003825455005761	0.0009646762466365	0.000203664235126	0.00036784925263	0.0005494277075606	0.000840824521281	0.000244000209143	0.0002149151085321	0.0002762648985713	0.0017887403502165	0.0015189685832839	0.0003694613780909	0.0001911047126422	0.0004353336106569	0.0004452878930386	0.0006032134386302	0.0005141528950763	0.0003156443714955	0.0005029506437768	0.0005771353626715	0.0004745951982132	0.0002682943188677	0.0003679127521187	0.0004784958342715	0.0005191658734965	0.0007763673770428	0.0006389062639621	0.0002480535203237	0.0005255224950284	0.0005798194467271	0.0005239207593958	0.0006446074401216	0.0007836606749277	0.0006460449130423	0.0005047870639901	0.0004941382845989	0.0001903945927935	0.0004224757076468	9.57455432895653e-05	0.0003144509520876	0.0001948656818692	0.0001792399841271	0.0002002988329362	0.0001581018880206	0.0002214962068774	0.0002883340061126	0.0002071383046526	0.0003086324496157	0.0003458337836377	9.05243623690226e-05	0.0008068208377489	0.0006746814282425	0.0	0.000650714062179	0.0012190535475755	0.0006117513472833	0.0007506594804047	0.0006197389759827	0.0007976285976135	0.0004591362135063	0.0006378128679689	0.0012122844827586	0.0002710061661873	0.0015207921061863	0.0009621210506605	0.0010553020485523	0.0009219879249323	0.0004928131416837	0.001150367312879	0.0008735470890669	0.0005126800112413	0.0007025828479394	0.0008140698694746	0.0007298921053519	0.0003631908970618	0.0010496827989791	0.0006264870267911	0.0007955046575315	0.0008344595400057	0.0007880647752389	0.0006585218439814	0.0007952872046792	0.0010661184948086	0.000948633614909	0.0008430601511219	0.0008446135632265	0.0008475104668697	0.0005614611960466	0.0010133350202725	0.0015099008633127	0.0008046970789169	0.0011451895714162	0.0005409286199902	0.0007816730585207	0.0005115495237416	0.0004841636573247	0.0011714972950079	0.0010185265220272	0.000994741379522	0.0010037105410859	0.0004717310997775	0.0004412038888564	0.0010135149680747	0.0013720705373175	0.0006182091111435	0.000796322710405	0.0007566990118401	0.0009181331293037	0.0011568124610096
