#OTU ID	mgm4479361	mgm4479944	mgm4530680	mgm4530682	mgm4530683	mgm4532159	mgm4532160	mgm4532161	mgm4532162	mgm4532163	mgm4532702	mgm4533994	mgm4533995	mgm4533996	mgm4533997	mgm4533998	mgm4533999	mgm4534000	mgm4534001	mgm4538733	mgm4538734	mgm4538735	mgm4538736	mgm4538737	mgm4538738	mgm4538739	mgm4538740	mgm4538741	mgm4538742	mgm4538743	mgm4544115	mgm4544116	mgm4544117	mgm4544118	mgm4544124	mgm4544125	mgm4544126	mgm4544127	mgm4544129	mgm4544130	mgm4544131	mgm4544132	mgm4544133	mgm4544134	mgm4544135	mgm4544136	mgm4544137	mgm4549525	mgm4549527	mgm4549528	mgm4549529	mgm4549530	mgm4549531	mgm4549532	mgm4549533	mgm4549534	mgm4556395	mgm4556396	mgm4556397	mgm4556398	mgm4556399	mgm4556400	mgm4556401	mgm4556403	mgm4556404	mgm4556405	mgm4556406	mgm4556407	mgm4556408	mgm4556409	mgm4556410	mgm4565311	mgm4565312	mgm4565313	mgm4565314	mgm4570097	mgm4570098	mgm4570099	mgm4577137	mgm4587453	mgm4587455	mgm4587458	mgm4587459	mgm4587460	mgm4587461	mgm4587462	mgm4587463	mgm4587464	mgm4587465	mgm4587466	mgm4587467	mgm4587468	mgm4587469	mgm4604926	mgm4604927	mgm4604929	mgm4604932	mgm4729903	mgm4741982	mgm4741983	mgm4742537	mgm4742538	mgm4742540	mgm4742541	mgm4742545	mgm4749376
Pseudomonadota	0.659580461950521	0.140369818954642	0.34033957811401	0.346384605565066	0.35122740760723	0.407644167279533	0.29747475906818	0.344483243774685	0.323734207252799	0.326260292760259	0.327676783176121	0.324758005275377	0.296062116152699	0.303304239918642	0.323030483474069	0.349853385178993	0.410343284095996	0.405302036891337	0.337870258425268	0.253951906153573	0.327776196339217	0.489856806261717	0.488412391777323	0.341140754682752	0.324150769141967	0.253098553709757	0.418730019432082	0.31104708049638	0.415333374836581	0.307793705717581	0.40289201166817	0.402431644928537	0.261814769057055	0.259661270702723	0.487064233974718	0.488224967617328	0.414585721752957	0.415472387605186	0.335337657820294	0.320203891761086	0.316637386884599	0.299680799484493	0.289891049510412	0.401927819960359	0.402401530483566	0.363451776649746	0.368043156072277	0.486883989053008	0.418338990452371	0.420758345468491	0.344278570646421	0.342420446003508	0.321272568433314	0.323865568735765	0.310756829591119	0.307024823088936	0.486557851972282	0.487734872771346	0.413411827509849	0.41525082920569	0.318249092440178	0.311678779307944	0.298220661691207	0.403720291081345	0.404143079917356	0.368379268601672	0.368710439749664	0.275495610111316	0.265497599875369	0.33573830760554	0.332881634285447	0.274818001323627	0.273448773448773	0.334378265412748	0.325739722440429	0.0024759647043329	0.0819217149966504	0.0782696177062374	0.310118927635557	0.231879245283019	0.284948128010874	0.193223743578327	0.371161063358209	0.369136770276328	0.194649932239381	0.192905337361531	0.223031445616663	0.202593728920513	0.363360993442813	0.339708131324635	0.36200132935396	0.38478926239388	0.341274711879902	0.193431879648037	0.185029391511232	0.217865174403158	0.377489388693903	0.0653521337367938	0.0743486453881475	0.306072674924054	0.552310639748513	0.019816640352219	0.0098522323305724	0.66042257789699	0.233319388361405	0.137930153853539
Actinomycetota	0.0804520410647852	0.0717321070092439	0.368048733702634	0.353765633540962	0.362518786851131	0.0819023648303378	0.404975878124271	0.422036512806604	0.379806265642875	0.413317880069461	0.412638099237628	0.379179310109692	0.40290654588917	0.402481207622795	0.371352780388415	0.418620465741728	0.0794718176496918	0.0807216539907335	0.421688453982167	0.645153395753498	0.306608545941552	0.241780766958209	0.251468105998858	0.338586783981133	0.304731016768161	0.642408095643219	0.349213314110199	0.396159062843724	0.361088630185312	0.39426307607442	0.279939797892926	0.279234659984083	0.382251909096575	0.350721437260223	0.268536224689563	0.265895938351211	0.37124716134955	0.36927940988697	0.345097051610836	0.315417774344831	0.315281781504884	0.4084532672248	0.416563232657564	0.274656831822469	0.271797395471294	0.304520183708001	0.293815145267002	0.25463403272452	0.356120605807976	0.349959425960715	0.339383874146804	0.332828864946129	0.322364589400116	0.313332852387381	0.3990615646948	0.397685617767556	0.263351750532011	0.260172433048916	0.370169005339483	0.362537804341495	0.311786599163105	0.307689739120111	0.404228923240838	0.272738277664353	0.268781100701654	0.295146533036795	0.291701798346139	0.374063458031008	0.37104953117241	0.440813193240449	0.438570702246653	0.3909662475182	0.386183261183261	0.457157784743992	0.458496988740508	0.0026182009745818	0.0645994832041344	0.0596579476861167	0.327756500705503	0.1976	0.172053091330681	0.199633945520081	0.0997317602492993	0.0952956072647857	0.454846394876089	0.446963746223565	0.300105195058879	0.299199251474204	0.0997736900133465	0.355586828490548	0.36141050537172	0.316931197919899	0.388525138293415	0.308953642911322	0.301534913617062	0.181574277906403	0.0924113878236091	0.253772993508537	0.247098830086691	0.104690107936939	0.201639122061304	0.169114427493509	0.955435576594195	0.102622140237253	0.397879324890129	0.464492139308259
Chloroflexota	0.0017454798724794	0.0003905446858543	0.0033132407563489	0.0039998297944768	0.0029673590504451	0.0028335480871546	0.0029889318657438	0.0039614869560795	0.0036418861873098	0.0026634717173982	0.00268526295387	0.0035876899615969	0.0029343580409683	0.003034319832905	0.0036427356927116	0.00402647503202	0.0028784905140653	0.002797447329312	0.0040331721323862	0.0011176078297809	0.0045236764216656	0.001159847396179	0.0011359771007553	0.004535353077237	0.0045816618084216	0.0011149420140599	0.001930671347082	0.0044806434851848	0.0021374172529	0.004212426658643	0.0058918480057249	0.0059426323855377	0.0107085378684841	0.0116702535791148	0.0012567820785322	0.0012677660487454	0.0025772969458976	0.0025706708490445	0.0043560707593451	0.0044512471547874	0.0044081439853504	0.0042377264846687	0.0043442283822921	0.0032255447647253	0.0031593905132164	0.0052211747643219	0.0052075571896531	0.0011160497661147	0.0022628476150777	0.002000911526362	0.0044092418877979	0.0043998997744926	0.0045136866627839	0.0047201409858704	0.0045610102190477	0.0043190475879328	0.001207096216885	0.001216967341592	0.0024956153464592	0.0024122920367258	0.0043207708617166	0.0043074955740884	0.0041756509390328	0.0032221317329675	0.0032082829074737	0.0051678349896305	0.0051638620700575	0.0042407853731764	0.0041624879506927	0.0047260459966996	0.0046620021826211	0.0054599602911978	0.005050505050505	0.0047021943573667	0.0044514270751505	5.79481101014092e-05	0.0020097616996841	0.0020120724346076	0.0042330175367869	0.0085937106918239	0.0015591580546504	0.0047906572836174	0.0033934186357834	0.0032748470923649	0.0072551338380132	0.0077190332326284	0.0073511095659404	0.0074634984877167	0.0031683398131491	0.003392119220382	0.0042226537554249	0.0039491864806509	0.0029161182191786	0.0069299015716253	0.0069812799466087	0.0082243708961172	0.0031405989587706	0.0145871007125739	0.0141808736474923	0.0015593102854764	0.0018436624555162	0.0007555309855121	0.0002694175709284	0.0006280918369538	0.0051386788481626	0.0056871564697693
Bacillota	0.130453739828651	0.749404625991472	0.110563425309672	0.150216193746256	0.162434005163975	0.241901643417812	0.115014098193824	0.147363246486871	0.153145060972868	0.157584180307779	0.157604745445148	0.152720910265907	0.114966282166602	0.111674251083745	0.159258036976189	0.145091151725249	0.241590056123679	0.242711338403707	0.153052742934865	0.053675767284682	0.127064206024481	0.180921604528511	0.175742717231553	0.205170869427185	0.127698490576929	0.0565754712756907	0.151219206418855	0.0798620717577753	0.145520761999626	0.0812110010244507	0.166248953041715	0.169241697744628	0.082365190103126	0.0897464208851876	0.166145192415259	0.166960435393683	0.135511791655136	0.136303183224988	0.205325028456587	0.129007188653585	0.129610756841925	0.0812397094913856	0.0834712453454696	0.208092436557627	0.209580285796891	0.157070340826686	0.159028283917535	0.174904407911337	0.146211715198793	0.148356473504597	0.200850458079352	0.206795289401153	0.122888759464182	0.125866990961651	0.0802558935406556	0.0825062237410401	0.169922503345111	0.171027924779095	0.13759621321731	0.142060489467733	0.12930415795019	0.130728100317775	0.0826249058144257	0.208172918982526	0.210491945271324	0.159496260428104	0.159984720193491	0.0839075711535359	0.0869886955590392	0.0493576755164707	0.0519872276244105	0.0767703507610854	0.079004329004329	0.0431034482758621	0.0479183032207384	0.993773212169103	0.824576514498995	0.834909456740443	0.126184237048982	0.349761006289308	0.440378195774282	0.492414651016167	0.424032715006061	0.429758088330582	0.114955675059776	0.118237663645519	0.347545120078278	0.365378505994734	0.261068879475425	0.118960075488888	0.17072206510359	0.147103113291675	0.166578491829367	0.373151565544098	0.386678169107964	0.373577874141268	0.425970691082025	0.0964381988223183	0.10163282864651	0.457429687605196	0.0128524893924546	0.0728286774298166	0.0245183432746247	0.141018946959808	0.0376120145027708	0.172352831049132
Cyanobacteriota	0.002260771578548	0.0007573260707175	0.0026970942297296	0.0028051179491543	0.0026975991367682	0.0050138170537913	0.0021988973949904	0.0028528808502703	0.0024209301047604	0.0021511151902628	0.0021199444372658	0.0023835279312899	0.002186246362857	0.0022280434858345	0.0023872384081729	0.0029553048488985	0.0050511310814998	0.0049501704694466	0.0028430557654526	0.0004996604348473	0.0026373822352243	0.0009410082648245	0.0009755283577108	0.0029394757131842	0.0027057057923749	0.0005082165405453	0.0015044192314925	0.0021323544296964	0.0013696071717611	0.0022208371839784	0.0018708863765455	0.0018219249261692	0.003757703291748	0.0039674370730794	0.0009473934444568	0.0009861389727452	0.0016197328484017	0.0016339296913048	0.0028188540317342	0.0024056953217676	0.0024006185960587	0.0020640220760622	0.0021031581850779	0.0019203130618822	0.0019500132256417	0.0027072758037225	0.0028855610858379	0.0010141495700782	0.0013993926040612	0.0016007292210896	0.002792276526627	0.0031303766808652	0.0025480489225393	0.0022879286001381	0.0021344335404171	0.0022412001855687	0.0009737602071032	0.0009875480913913	0.001611811242813	0.0016224822844348	0.0024884020669572	0.0025093047716984	0.0020773302470141	0.0019147452078147	0.001921032675957	0.0028433884181188	0.0028214202303054	0.0021938883693504	0.0023368353407398	0.0020690159380026	0.0020890194585142	0.0024818001323626	0.0018037518037518	0.0013061650992685	0.0015710919088766	2.63400500460951e-05	0.0019140587616039	0.0016096579476861	0.0026204394275347	0.0058993710691823	0.0013162892038299	0.0029824773085309	0.0026301756161932	0.0027118665672421	0.0038368911255168	0.0038922457200402	0.0041773370059013	0.0044237004156058	0.0063482852666395	0.0028023622815865	0.0037100270649515	0.0028549123110743	0.0024251607250934	0.0037532590163354	0.0038922631081555	0.005929280373477	0.0025569660753443	0.0010294650478951	0.0010469368097184	0.0023967772888081	0.003061187265159	0.0001956729125658	5.96245519460062e-05	0.0009651264257549	0.0014663874207691	0.0041696469289297
Candidatus.Melainabacteria	0.0001047571050798	2.47964879907509e-05	0.0	1.63659156893487e-05	3.85371305252611e-05	0.000172337436701	1.05210401674184e-05	1.5256047327649e-05	1.39880402256071e-05	1.04296494073352e-05	4.0379894043158e-06	1.54975808276328e-05	1.05615766321596e-05	1.16130338055414e-05	1.25549728453873e-05	1.53389525029336e-05	0.0001652721826257	0.0001639129294518	0.0	6.118291038947e-06	6.85925158705934e-06	1.45892754236361e-05	2.56717988871275e-05	1.13383826930927e-05	1.08228231694998e-05	8.95535754264989e-06	0.0	2.02438711680039e-05	0.0	1.4327981832119e-05	1.28362701649782e-05	6.57734630386024e-06	3.66605199194935e-06	1.87143258164125e-05	1.74795838460678e-05	1.59914428012743e-05	7.68686775512714e-06	6.77979125022741e-06	1.37140178456774e-05	1.42161903453113e-05	6.47067007023912e-06	8.72473099784748e-06	0.0	2.54265916138258e-05	2.82967218862841e-05	0.0	2.98039173185145e-05	2.91143417247336e-05	0.0	0.0	7.30006935065883e-06	3.34085024638771e-06	0.0	0.0	1.78863145845009e-05	1.30682226563776e-05	1.99386428681899e-05	1.70551480964529e-05	6.8733954917399e-06	5.67301498054156e-06	1.30075562590947e-05	9.27539959967375e-06	9.40950982968063e-06	2.58805761684141e-05	2.5248591642117e-05	1.87682403836228e-05	2.2761369799027e-05	1.01373355534098e-05	1.26578580956739e-05	1.56664508177887e-05	1.17002108165258e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52830188679245e-05	2.69854278689508e-05	5.77801871738181e-05	3.21365481932732e-05	3.93024140180026e-05	1.72638520833154e-05	2.01409869083585e-05	3.04653492493876e-05	3.91670474574058e-05	0.0001856902454592	4.06728923307194e-06	1.73771759482508e-05	9.79947017531252e-06	2.11619609519497e-05	2.98535847521157e-05	3.1416608857276e-05	3.67688920939765e-05	3.85946025890202e-05	1.19132028686993e-05	1.33263506373269e-05	3.86388131561646e-05	2.62594140785682e-05	1.61286607785872e-07	8.69854206108844e-07	1.25682003848415e-05	7.79532592257682e-06	9.60084487434894e-07
Candidatus.Margulisbacteria	2.26501848821341e-05	2.06637399922924e-06	5.8127030813139e-06	3.27318313786975e-06	3.85371305252611e-05	5.41059394294028e-05	6.69520737926628e-06	1.69511636973878e-06	5.99487438240305e-06	7.82223705550138e-06	6.0569841064737e-06	3.09951616552656e-06	7.04105108810643e-06	6.63601931745223e-06	1.07614052960463e-05	0.0	5.50907275419206e-05	5.82801526940001e-05	9.44536799153695e-06	0.0	0.0	7.29463771181804e-06	1.92538491653456e-05	8.50378701981949e-06	0.0	2.23883938566247e-06	0.0	0.0	1.03758119072817e-05	0.0	0.0	0.0	0.0	7.48573032656499e-06	6.99183353842712e-06	7.10730791167748e-06	2.19624793003633e-06	2.25993041674247e-06	7.48037337036949e-06	1.57957670503458e-06	0.0	4.98556057019856e-06	0.0	8.47553053794192e-06	9.84233804740316e-06	0.0	1.35472351447793e-05	9.7047805749112e-06	9.92477024156891e-06	0.0	1.09501040259882e-05	6.68170049277541e-06	0.0	0.0	0.0	0.0	9.16099807457376e-06	8.2524910144127e-06	3.43669774586995e-06	2.5213399913518e-06	2.26218369723386e-06	3.7101598398695e-06	2.89523379374789e-06	8.34857295755293e-06	1.02706135493357e-05	7.50729615344913e-06	7.91699819096591e-06	6.75822370227321e-06	5.84208835184951e-06	8.35544043615399e-06	8.50924423020058e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.54716981132075e-06	9.99460291442621e-06	2.03930072378182e-05	2.91237468001539e-05	3.18668221767589e-05	3.88436671874595e-05	3.52467270896274e-05	5.3762381028331e-06	1.0879735404835e-05	9.28451227296466e-05	4.06728923307194e-06	1.73771759482508e-05	3.26649005843751e-06	0.0	7.18697410699083e-06	8.49097536683136e-06	1.30470262268949e-05	4.38976777539238e-05	1.56104037589852e-05	1.63656937651383e-05	2.48810539263181e-05	1.88690400564562e-06	0.0	0.0	6.68182805270053e-06	4.93703975096532e-06	4.16676667546744e-05
Deinococcota	0.0015218092967683	0.0002242015789163	0.0043595273109854	0.0053614739798306	0.0039693244441018	0.0020560256983173	0.0037493161323891	0.0053311409828284	0.004899810661884	0.004171859762934	0.0041833570228711	0.0049111833642768	0.0036631068285873	0.0038090750882175	0.0048677423289115	0.0053098340580988	0.002038356919051	0.0019669551534225	0.0050816079794468	0.0008932704916862	0.0039749362947008	0.0011525527584672	0.0012001565979732	0.0042915778493355	0.0041054575889636	0.0009492678995208	0.0019808186547984	0.0031715398163206	0.0018987735790325	0.0032166319213107	0.0204160876973978	0.0208797858416043	0.0027605371499378	0.0028108917376251	0.0011370469291867	0.0011051863802658	0.0022742147315526	0.0022260314604913	0.004373524963876	0.0039157706517807	0.0038775490395907	0.0030760908718125	0.0028271962487932	0.0027497042645237	0.0027312488081543	0.0044476673918298	0.0044245269982849	0.0011645736689893	0.0018956311161396	0.0019342144754832	0.0041208891484469	0.0040892007015785	0.0042952824694234	0.0040090280425843	0.0031837639960411	0.0031037028808896	0.0011424303481233	0.001113536120878	0.0021920403789073	0.0021790680875258	0.0039412895465056	0.0039834749480732	0.0031181667958664	0.0027249742133452	0.0027384023375916	0.0045259611685106	0.004524564466137	0.00398397287249	0.0038918045237237	0.0038111252689407	0.0038557512918096	0.0038054268696227	0.0032467532467532	0.0036572622779519	0.0028803351662738	4.74120900829712e-05	0.0022968705139247	0.0019114688128772	0.0029227978230195	0.008251572327044	0.0011004057808783	0.0025559235738065	0.0026412225546346	0.0025121678149344	0.0058222341150981	0.0055236656596173	0.0057436143731933	0.0058032508649389	0.0018917193756165	0.0040225490515081	0.0053347930161129	0.0052917138946687	0.0045794483500019	0.0052321171498893	0.0051523238525932	0.0075293202262117	0.0024137830458919	0.0118466532526741	0.0115738186307058	0.0189096009840018	0.0018048236814	0.0132222438489643	0.0004374048695809	0.0007553647522433	0.0277075332297421	0.0670217699157526
Armatimonadota	0.0003241807711255	4.23606669841995e-05	0.0008602800560344	0.0007135539240556	0.0008092797410304	0.0004949691495949	0.0006656949051384	0.0008119607411048	0.0005625190462154	0.0005136602333112	0.0005128246543481	0.0005594626678775	0.0006917832694064	0.0006602839220864	0.0005595930753944	0.000789956053901	0.00050270288882	0.0005026663169857	0.0007556294393229	0.0001203263904326	0.0007167917908477	0.0001823659427954	0.0001925384916534	0.0007454986620708	0.0006746226442321	0.0001186584874401	0.0004137152886604	0.000485852908032	0.0003631534167548	0.000487151382292	0.0008568210335122	0.0008320343074383	0.0005205793828568	0.0005389725835126	0.0001835356303837	0.0001954509675711	0.0004139927348118	0.000407917440222	0.0007355700480863	0.0007060707871504	0.0007117737077263	0.0005172519091581	0.0007585160667494	0.000447992328434	0.0004662807649957	0.0004350978970268	0.0007423884859339	0.0001746860503484	0.0003870660394211	0.0004446470058582	0.0007336569697412	0.0007483504551908	0.0014560279557367	0.000638971050489	0.000512741018089	0.000555399462896	0.0001918420773263	0.0002024611128869	0.0003940746748597	0.0003945897086465	0.0006758273795486	0.0007098772493616	0.0005059421054574	0.0004453963672854	0.0004553305340205	0.000746037555249	0.0007432082051769	0.000688494039669	0.0006367876303515	0.0005984584212395	0.0006073473069305	0.00066181336863	0.0007215007215007	0.0007836990595611	0.0005236973029588	0.0	0.0004785146904009	0.0005030181086519	0.0009070751864543	0.0014490566037735	0.0002088872009115	0.0006100907998647	0.0004288220649539	0.0004004597320212	0.0012473133130195	0.0011480362537764	0.0009587624616719	0.0009726483451922	0.000452619973307	0.0007890541112159	0.0008254158575419	0.0007512927134406	0.000575605337893	0.0008757051527287	0.0008805141455404	0.0013462158879568	0.0004189429380273	0.0004198377010969	0.0004061030010006	0.0002575920877077	0.0003306799269893	5.41923002160531e-05	9.06757111822552e-06	6.97614666930758e-05	0.0004067427836935	0.0006607301442526
Mycoplasmatota	0.0037868277849817	0.0005713524107868	0.0001976319047646	0.0007070075577798	0.0006165940884041	0.0096208376000208	0.0001568591443142	0.0001610360551251	0.0005575233175634	0.00031288948222	0.0002766022741956	0.000530017264305	0.0001777865399746	0.0001343793911784	0.000620574372072	0.0001559460171131	0.00957545708088	0.0099841186583908	0.000141680519873	2.4473164155788e-05	0.0001371850317411	0.0001458927542363	0.0001476128436009	0.0001417297836636	0.0001659499552656	2.23883938566247e-05	0.0001629787500783	0.00010121935584	0.0001452613667019	0.0001432798183211	5.13450806599127e-05	3.61754046712313e-05	0.0002456254834606	0.0002956863478993	0.000106625461461	0.0001154937535647	8.89480411664712e-05	9.60470427115549e-05	0.0001246728895061	0.0001089907926473	0.0001245603988521	0.0001246390142549	6.89560060681285e-05	0.0008669256950237	0.0008661257481714	0.0009185400048344	0.0007288412507891	0.0001358669280487	0.0001488715536235	0.0001556264520503	0.0001241011789612	0.0001536791113338	7.28013977868375e-05	9.27538621677608e-05	9.53936777840049e-05	0.0001176140039073	0.0001088542124155	0.0001182857045399	0.0001008098005455	0.0001752331293989	0.000128378924818	0.0001539716333545	0.0001302855207186	0.0008373618676425	0.0008443300222016	0.0007610521475559	0.0007926894438704	0.0002382273855051	0.0002580255688733	9.81764251248094e-05	0.0005828832297687	0.0001654533421575	0.0001803751803751	0.0	0.0	3.68760700645331e-05	0.0001914058761603	0.0002012072434607	0.0	0.0005157232704402	0.0004967317648469	0.0008599051385279	0.0014843068196768	0.001543416420761	0.000302117411458	0.0003675730110775	0.0002974851750234	0.0003503274800356	0.0067428770382405	0.0001992971724205	0.0002432804632755	0.0007055618526225	0.0002158520017098	0.0003101455749247	0.0003600173555536	0.0005883022735036	0.0013826295416051	0.00012940203116	0.0001267172288672	0.0011509682828033	0.0001899483365683	8.80624878510863e-06	2.71499949179427e-06	2.34659437565078e-05	8.97328628421065e-05	0.0001801118498427
