#OTU ID	mgm4653312	mgm4653313	mgm4653314	mgm4653315	mgm4653316	mgm4653317	mgm4718365	mgm4718366	mgm4718367
Pseudomonadota	0.102073044068084	0.0969040564013487	0.116719321067955	0.119396282098577	0.104228445908841	0.100692663948103	0.0950329079232952	0.17264399803014	0.148422991839362
Actinomycetota	0.0785234330288064	0.0700044276421103	0.0785851452642012	0.0974759544698756	0.116074370440104	0.0905835144352469	0.0607103671537242	0.110852202398127	0.112723437234113
Chloroflexota	0.0024376285054157	0.0025816559381492	0.0027380288670011	0.0029726102833068	0.0026829842315839	0.0023929870827534	0.0017735621848752	0.003713378909599	0.0023245425825497
Bacillota	0.440193314538864	0.490269404993018	0.438233289970885	0.52100876278463	0.36008472581784	0.479142757144369	0.153454653185145	0.229218498580448	0.167426717026361
Cyanobacteriota	0.0043559361553299	0.0037941487006573	0.0042742984575357	0.0043252548906389	0.0042833607907743	0.0043383065139713	0.0056596677106274	0.0106773932912261	0.0090493929461901
Candidatus.Melainabacteria	0.0001483773872861	0.0001362351418548	0.0001610605215883	0.0001176212702027	0.0001568996626657	0.0001709276487681	0.0003289993787341	0.0005020674846373	0.0011019265912504
Candidatus.Margulisbacteria	4.23935392246222e-05	2.72470283709683e-05	4.95570835656322e-05	5.34642137285408e-05	3.13799325331451e-05	1.62788236922e-05	4.9908886337103e-05	4.93836870135078e-05	6.4737609221595e-05
Deinococcota	0.0013036013311571	0.0011852457341371	0.0011893700055751	0.0014435337706706	0.0014905467953243	0.0015790458981434	0.0010716436074302	0.0025263413958299	0.001509311117852
Armatimonadota	0.0002649596201538	0.0003746466401008	0.0001858390633711	0.0003207852823712	0.0003922491566643	0.0003337158856901	0.0002746985103994	0.0005916897314396	0.0003680795495742
Mycoplasmatota	0.0015473641816987	0.0018936684717823	0.0014743232360775	0.0017375869461775	0.0018043461206558	0.0016441611929122	0.0031286882667003	0.0038103172581811	0.0047891958479147
Thermomicrobiota	0.0001059838480615	4.08705425564524e-05	4.95570835656322e-05	0.0001015820060842	9.41397975994352e-05	3.25576473844e-05	5.54986816068585e-05	0.000147236548318	8.64709494602733e-05
Candidatus.Kaiserbacteria	0.0001695741568984	0.000129423384762	0.0001362819798054	0.0002085104335413	0.0001412096963991	0.0001790670606142	0.0002164049311576	0.0002949303529973	0.0002705107242473
Candidatus.Nomurabacteria	0.00013777900248	0.0001089881134838	0.0001115034380226	0.0001122748488299	9.41397975994352e-05	0.0001302305895376	0.0001728843822717	0.0002080516443624	0.0002746724276973
Candidatus.Yanofskybacteria	0.0001059838480615	0.0001089881134838	8.67248962398563e-05	6.9503477847103e-05	9.41397975994352e-05	6.51152947688e-05	0.0001054075679439	0.0001554671628203	0.0001729418989205
Candidatus.Azambacteria	4.23935392246222e-05	2.72470283709683e-05	2.47785417828161e-05	4.27713709828326e-05	1.56899662665725e-05	6.51152947688e-05	2.59526208952936e-05	3.29224580090052e-05	4.71659724328763e-05
Candidatus.Falkowbacteria	0.0001165822328677	0.0001226116276693	0.0001486712506968	0.000144353377067	0.0001725896289322	0.0001139517658454	0.0002184012866111	0.0002770973549091	0.0003592937311798
Candidatus.Magasanikbacteria	0.0002225660809292	0.0002043527127822	0.0001858390633711	0.0001390069556942	0.000219659527732	0.0002523217672291	0.0002770941369435	0.0003799800361872	0.0004975547680174
Candidatus.Nealsonbacteria	5.29919240307777e-05	6.81175709274207e-05	4.95570835656322e-05	6.4157056474249e-05	7.84498313328626e-05	3.25576473844e-05	8.58432844998171e-05	0.0001056262194455	0.0001031177632601
Candidatus.Uhrbacteria	0.0001483773872861	0.0001975409556895	0.0001858390633711	0.0001871247480498	0.0002039695614654	0.000162788236922	0.0002036282562553	0.0003260237855613	0.0003246128690968
Candidatus.Giovannonibacteria	6.35903088369332e-05	4.76822996491945e-05	6.19463544570402e-05	3.74249496099786e-05	4.70698987997176e-05	4.88364710766e-05	3.99271090696824e-05	8.00198632163321e-05	7.95347770436738e-05
Candidatus.Moranbacteria	0.0002331644657354	0.0002384114982459	0.0001610605215883	0.0001924711694227	0.000219659527732	0.0002116247079986	0.0002060238827995	0.0002597216131821	0.0002746724276973
Candidatus.Zambryskibacteria	5.29919240307777e-05	5.44940567419366e-05	3.71678126742241e-05	3.20785282371245e-05	3.13799325331451e-05	4.88364710766e-05	6.38833745114918e-05	0.0001019681685556	8.41588919880735e-05
Candidatus.Staskawiczbacteria	0.0	3.40587854637104e-05	3.71678126742241e-05	5.34642137285408e-05	3.13799325331451e-05	1.62788236922e-05	4.71139887022252e-05	0.000106540732168	8.9707829921353e-05
Candidatus.Wolfebacteria	4.23935392246222e-05	5.44940567419366e-05	2.47785417828161e-05	6.9503477847103e-05	4.70698987997176e-05	5.69758829227e-05	6.46819166928855e-05	9.37375540534176e-05	0.00010727946671
Candidatus.Harrisonbacteria	5.29919240307777e-05	1.36235141854841e-05	2.47785417828161e-05	3.74249496099786e-05	3.13799325331451e-05	3.25576473844e-05	3.55351270720173e-05	5.66997887932867e-05	5.78014368049955e-05
Candidatus.Taylorbacteria	3.17951544184666e-05	6.13058138346787e-05	7.43356253484482e-05	5.34642137285408e-05	0.000109829763866	1.62788236922e-05	5.31030550626776e-05	8.55069395511663e-05	9.89560598101523e-05
Candidatus.Buchananbacteria	1.05983848061555e-05	7.49293280201628e-05	0.000123892708914	9.08891633385194e-05	7.84498313328626e-05	5.69758829227e-05	7.06709830533378e-05	0.0001042544503618	0.0001549078506373
Candidatus.Portnoybacteria	3.17951544184666e-05	3.40587854637104e-05	6.19463544570402e-05	5.34642137285408e-05	6.27598650662901e-05	2.44182355383e-05	4.59161754301347e-05	5.71570451545229e-05	8.60085379658333e-05
Candidatus.Adlerbacteria	2.11967696123111e-05	2.72470283709683e-05	0.0	2.67321068642704e-05	1.56899662665725e-05	2.44182355383e-05	1.47730303557825e-05	3.52087398151861e-05	3.05191586330376e-05
Candidatus.Sungbacteria	4.23935392246222e-05	5.44940567419366e-05	4.95570835656322e-05	3.20785282371245e-05	3.13799325331451e-05	2.44182355383e-05	6.30848323300982e-05	8.55069395511663e-05	7.07489586493145e-05
Candidatus.Jorgensenbacteria	4.23935392246222e-05	1.36235141854841e-05	1.2389270891408e-05	4.27713709828326e-05	0.0	5.69758829227e-05	3.31395005278364e-05	4.75546615685631e-05	6.15007287605152e-05
Candidatus.Liptonbacteria	3.17951544184666e-05	3.40587854637104e-05	1.2389270891408e-05	2.13856854914163e-05	0.0	2.44182355383e-05	3.23409583464427e-05	5.85288142382315e-05	5.78014368049955e-05
Candidatus.Tagabacteria	0.0	0.0	0.0	1.60392641185622e-05	0.0	8.1394118461e-06	1.51723014464793e-05	2.42345871455177e-05	2.31205747219982e-05
Candidatus.Ryanbacteria	6.35903088369332e-05	6.81175709274207e-06	3.71678126742241e-05	1.06928427457082e-05	6.27598650662901e-05	4.88364710766e-05	3.23409583464427e-05	4.02385597887841e-05	6.19631402549552e-05
Candidatus.Wildermuthbacteria	0.0	1.36235141854841e-05	2.47785417828161e-05	3.20785282371245e-05	3.13799325331451e-05	4.88364710766e-05	3.393804270923e-05	3.52087398151861e-05	2.91319241497177e-05
Candidatus.Komeilibacteria	4.23935392246222e-05	7.49293280201628e-05	2.47785417828161e-05	3.74249496099786e-05	4.70698987997176e-05	6.51152947688e-05	4.19234645231665e-05	7.31610177977894e-05	7.12113701437545e-05
Candidatus.Kuenenbacteria	2.11967696123111e-05	1.36235141854841e-05	2.47785417828161e-05	1.06928427457082e-05	0.0	1.62788236922e-05	2.47548076232031e-05	3.93240470663118e-05	3.97673885218369e-05
