#OTU ID	mgm4566569	mgm4566594	mgm4566599	mgm4578951	mgm4612993	mgm4612994	mgm4612995	mgm4612996	mgm4612997
Pseudomonadota	0.230357847887728	0.130653947261443	0.325829007310096	0.77600576997186	0.668959156025711	0.373077474934696	0.326816358484422	0.351551187321501	0.48297445627799
Actinomycetota	0.111302537597358	0.179950676170086	0.0973090369742557	0.0648998113486805	0.0287156871222821	0.0341849935105054	0.0397239869475755	0.0471837958802891	0.0732490933657029
Chloroflexota	0.114652501106684	0.0927125396352205	0.0512236465727302	0.0035297088024604	0.0019485198743262	0.0023769698613587	0.0028437288550492	0.0029554260792921	0.0048469793117195
Bacillota	0.11799050046062	0.148378004823979	0.0805170039199068	0.0133925482499692	0.0739063595922328	0.0902121648705082	0.0928338679469682	0.0652754963627726	0.102334730228697
Cyanobacteriota	0.0245145543950325	0.0162064012574867	0.0109651446127768	0.001908049779754	0.0028761805935875	0.0047676983685521	0.0062957394872789	0.0058529026276177	0.0052127358495001
Candidatus.Melainabacteria	0.0005503511479607	0.0006504241307352	0.0003178302786312	2.97846387329523e-05	9.31984358035723e-05	0.0002280004166904	0.0003815039847767	0.0003097795914629	0.0002416437794591
Candidatus.Margulisbacteria	0.0001794623308567	0.0001355050272365	0.0001059434262104	1.78707832397714e-05	2.9304662804216e-05	6.0275972228501e-05	9.60688000406445e-05	8.44203043709686e-05	5.35941456387999e-05
Deinococcota	0.003481569218621	0.0010569392124447	0.001589151393156	0.0006346419176175	0.0005140326098444	0.0006912081597942	0.000834597700353	0.0009150302482243	0.0011931749265901
Armatimonadota	0.0025722934089468	0.0020325754085476	0.0023307553766288	0.0002034519938066	0.0001950441491559	0.0002633797916941	0.0002919013539696	0.0003612902856554	0.0004560203620143
Mycoplasmatota	0.005395834081093	0.008347109677769	0.0024896705159444	0.0003134260445129	0.0023976979025547	0.0050540092366375	0.0074393277031474	0.0045787283726627	0.0036838923265406
Thermomicrobiota	0.0005264228371798	0.0003252120653676	0.0004237737048416	2.70352874652952e-05	5.09228566761787e-05	5.37242361167074e-05	5.81955231015443e-05	8.51357306791971e-05	0.0001137700284613
Candidatus.Kaiserbacteria	0.0005264228371798	0.0001897070381311	0.0001059434262104	5.04047732403808e-05	8.16687324051922e-05	0.000120551944457	0.0001283996462081	0.0001652634772007	0.0001711251667765
Candidatus.Nomurabacteria	0.0006580285464747	0.0008672321743136	0.0001589151393156	6.27768539448379e-05	9.51200530366356e-05	0.0001546209722383	0.0002457144308731	0.0002403832395647	0.0001692446704383
Candidatus.Yanofskybacteria	0.0007537417895983	0.0005962221198406	0.0001589151393156	6.69008808463236e-05	7.59038807060022e-05	0.0001198967708458	0.0001394845077513	0.0001352155722551	0.0001137700284613
Candidatus.Azambacteria	0.0001435698646854	2.71010054473021e-05	0.0001589151393156	9.16450422552379e-06	1.20101077066459e-05	2.88276388918918e-05	3.18689769365599e-05	2.71861997126848e-05	2.16257078893403e-05
Candidatus.Falkowbacteria	0.0008614191881124	0.0005962221198406	0.0003178302786312	9.39361683116188e-05	0.0001470037183293	0.0002063796875214	0.0002595705078021	0.0002847396706749	0.0002848951952378
Candidatus.Magasanikbacteria	0.0011724872282641	0.0011924442396812	0.0006356605572624	9.89766456356569e-05	0.0002027306180881	0.000303345381976	0.0004327714694138	0.0004077929956902	0.0003366088445384
Candidatus.Nealsonbacteria	0.0023090819903568	0.0008672321743136	0.0005826888441572	0.0002570643435259	5.66877083753687e-05	0.0001159657291787	0.0001496456308325	0.0001280613091729	0.0001034272986011
Candidatus.Uhrbacteria	0.0007058851680365	0.0005691211143933	0.0006886322703676	8.52298892973712e-05	0.0001090517779763	0.0001520002777936	0.0002166166693224	0.0002217821555508	0.0002068545972023
Candidatus.Giovannonibacteria	0.0002512472631994	0.0002168080435784	0.0001059434262104	2.61188370427428e-05	2.6422236954621e-05	3.93104166707615e-05	3.83351461700649e-05	4.50718574183985e-05	4.41916639477824e-05
Candidatus.Moranbacteria	0.0008614191881124	0.0007588281525244	0.0006356605572624	6.00275026771808e-05	0.0001205814813747	0.0001637934027948	0.0002494093847209	0.0002790162602091	0.0002425840276282
Candidatus.Zambryskibacteria	0.0002991038847612	0.0002168080435784	0.0001589151393156	2.6577062254019e-05	2.78634498794185e-05	4.52069791713757e-05	6.41998231040845e-05	9.37208463779397e-05	6.48771236680209e-05
Candidatus.Staskawiczbacteria	0.0005144586817893	0.0004336160871568	0.0002118868524208	5.68199261982475e-05	4.03539618943303e-05	6.61725347291152e-05	6.78947769518016e-05	7.36889097475404e-05	5.73551383152069e-05
Candidatus.Wolfebacteria	0.0002871397293708	0.0001626060326838	0.0001059434262104	3.94073681697523e-05	2.73830455711527e-05	5.96207986173216e-05	9.2835715423892e-05	7.51197623639975e-05	6.8638116344428e-05
Candidatus.Harrisonbacteria	0.0002033906416376	0.000271010054473	0.0003708019917364	2.52023866201904e-05	3.69911317364694e-05	3.73448958372234e-05	4.75725307893576e-05	7.22580571310833e-05	5.64148901461052e-05
Candidatus.Taylorbacteria	0.0001435698646854	0.0002168080435784	0.0001589151393156	2.24530353525333e-05	3.93931532777986e-05	4.52069791713757e-05	6.51235615660138e-05	7.5835188672226e-05	6.95783645135297e-05
Candidatus.Buchananbacteria	0.0004426737494466	0.0001897070381311	5.29717131052018e-05	3.16175395780571e-05	3.89127489695328e-05	7.20690972297294e-05	0.000103920576967	9.87288305355395e-05	8.08613425427507e-05
