#OTU ID	mgm4577669	mgm4577670	mgm4577671	mgm4577672	mgm4578714	mgm4578924	mgm4578925	mgm4578926	mgm4578927	mgm4698609	mgm4698612	mgm4698610	mgm4698611	mgm4670120	mgm4670123	mgm4670118	mgm4670121	mgm4670116	mgm4670122	mgm4670117	mgm4670119
Pseudomonadota	0.565659864184124	0.487757844826108	0.47600510381309	0.464332294422122	0.470690711838038	0.566114440463865	0.57666567317853	0.488958025441638	0.483345051505557	0.429068069322925	0.417453396958358	0.448561079576827	0.426913845460211	0.313730834226471	0.291573705129524	0.376838660638696	0.294035922740126	0.332021367227166	0.294038389044256	0.419086940521707	0.430852864624569
Actinomycetota	0.299066690482478	0.368321639174897	0.393624062864973	0.390377994959143	0.399727893361305	0.319614907446246	0.302899720920151	0.366272565296059	0.371163768881769	0.375628416712977	0.40072779704075	0.417717604964993	0.439073875164101	0.58399060030089	0.596380250893396	0.483051549796848	0.573883318506649	0.546374810681032	0.588603111275784	0.408758324682454	0.415335777890332
Chloroflexota	0.0050703570947193	0.0097916370057686	0.0088482504533531	0.0093904168241212	0.0084283815916249	0.0047585314576313	0.0044251767957298	0.0099977900857723	0.0098750228261761	0.0093955568192098	0.0100449723643105	0.0057976456037281	0.0061794698386177	0.0062485433366476	0.0070101230714242	0.0073608431335244	0.0072648770079641	0.0076892006436844	0.0085716960071356	0.0093000236207281	0.0096418138975251
Bacillota	0.0126643866314397	0.0106801594868037	0.0097098266180537	0.0100560596027638	0.0095524604509869	0.0107032108365258	0.0110212154875769	0.0106994378530683	0.0107369039500973	0.0212724711477571	0.0148031171684576	0.0107339267177596	0.0096405033748392	0.0070127293060662	0.0078814352375716	0.0102723929364217	0.011181919401369	0.0084000879902931	0.0091566837915088	0.0122869551860492	0.0108911981441689
Cyanobacteriota	0.0037367446926719	0.0028496824202994	0.0027310596839793	0.0029420024060212	0.0027453747764364	0.0031681301315787	0.003240577668193	0.00290258421845	0.0028882280447472	0.0046525453300076	0.0037763054001167	0.0031472933277381	0.0029637586028563	0.0031077601709236	0.0030918297623613	0.0081029465452643	0.0146135354484747	0.0091209253394833	0.0068610296742176	0.008176994895788	0.0045645941871248
Candidatus Melainabacteria	2.08205716013978e-05	1.86351191492248e-05	1.23082309242934e-05	2.08013368325804e-05	1.3259121539001e-05	1.39397725789466e-05	1.51732733627767e-05	1.86461512962528e-05	2.73473028060979e-05	6.46186851389948e-05	3.43300490919702e-05	2.20862689665835e-05	2.65213297794751e-05	1.19602513219253e-05	1.39655194730435e-05	1.75431008277621e-05	1.69646239969666e-05	1.55973013441647e-05	1.82530435002303e-05	3.29483634176641e-05	2.71738519711565e-05
Candidatus Margulisbacteria	1.64372933695246e-05	7.45404765968993e-06	4.78653424833634e-06	2.08013368325804e-06	2.20985358983349e-06	1.52070246315781e-05	2.16761048039667e-05	3.45299098078756e-06	6.17519740782856e-06	0.0	1.37320196367881e-05	1.10431344832917e-05	0.0	2.22270157310116e-06	2.15727536575468e-06	6.04934511302143e-06	4.46437473604384e-06	3.63040634734867e-06	3.67286850919269e-06	6.49686039221546e-06	6.53806964719555e-06
Deinococcota	0.0023297123802406	0.0025865545379124	0.0024602786036448	0.0025294425588417	0.0023004575870166	0.0022835881988419	0.0021524372070339	0.0026228919490062	0.0026738604775897	0.0035540276826447	0.0032132925950084	0.0030589482518718	0.0026653936428372	0.0030164177205623	0.0032036674589544	0.0027421681397326	0.0032964943050947	0.0027058628642238	0.003174360083354	0.0028836778912304	0.0025218560517292
Armatimonadota	0.0007166659909112	0.0008616879094601	0.000749434505168	0.0008029316017376	0.0007100996201998	0.0007096611494736	0.0006643726122415	0.000828717835389	0.0008292407947655	0.0012148312806131	0.0012084177280373	0.0008503213552134	0.000702815239156	0.0005376820948263	0.0005689529925156	0.0006893228756287	0.0007509078306025	0.0006323630019104	0.0007173223497499	0.0008650105550778	0.0007477917158979
Mycoplasmatota	6.24617148041935e-05	0.0001073382862995	7.8635919794097e-05	0.0001151007304736	9.57603222261181e-05	5.70263423684181e-05	7.58663668138835e-05	9.11589618927915e-05	0.0001014496717	0.0006978817995011	0.0003638985203748	7.73019413830422e-05	9.2824654228163e-05	6.21298011147801e-05	7.91379436805797e-05	0.000135202863276	0.0001068473686826	0.0001051473245787	8.88166384950232e-05	0.0001791277222425	0.0001409771267676
Thermomicrobiota	0.000310116934905	0.0004517152881772	0.0004089067829293	0.0004014658008688	0.0003940905568536	0.0003320200377894	0.0002958788305741	0.0004205743014599	0.0004631398055871	0.0004006358478617	0.0004462906381956	0.0004527685138149	0.0003779289493575	0.0006216155399439	0.0006446847119344	0.0004642872374243	0.0007305205193079	0.0006120596182641	0.0009439272068625	0.0004392341686594	0.0003514212435367
Candidatus Kaiserbacteria	0.0001523189185575	0.0002124403583011	0.0002393267124168	0.0002475359083077	0.000225405066163	0.000140664977842	0.0001712412279513	0.0002133948426126	0.0002258357909148	0.0003489408997505	0.0002746403927357	0.0003202509000154	0.0002121706382358	0.0001132519372961	0.0001167199513682	0.0002274553762496	0.0001590805530943	0.0001543594995094	0.0001393464052578	0.0002698517370052	0.0002551890309171
