#OTU ID	mgm4639052	mgm4730492	mgm4639044	mgm4729595	mgm4639039	mgm4729594	mgm4730302	mgm4639055	mgm4730489	mgm4730488	mgm4730494	mgm4730487	mgm4730491	mgm4639049	mgm4730070	mgm4639053	mgm4730496	mgm4639040	mgm4729586	mgm4729588	mgm4730303	mgm4639045	mgm4729593	mgm4730072	mgm4730296	mgm4639041	mgm4729598	mgm4730298	mgm4639047	mgm4729591	mgm4639042	mgm4729589	mgm4730306	mgm4639051	mgm4730495	mgm4729592	mgm4730304	mgm4639050	mgm4730493	mgm4639048	mgm4730069	mgm4730071	mgm4730486	mgm4730490	mgm4729596	mgm4730295	mgm4639054	mgm4729587	mgm4729599	mgm4730297	mgm4730299	mgm4639046	mgm4729597	mgm4730305	mgm4729590	mgm4730294	mgm4460448
Pseudomonadota	0.690579463359656	0.633369842921607	0.8013619785410858	0.8243980389816801	0.7624204987042209	0.8158303616963349	0.703913100944356	0.6725259819245981	0.606080372163163	0.573416798140703	0.462198820174711	0.632020500432533	0.61146109848506	0.6743103205048672	0.717887468953415	0.688088398479075	0.54513575996895	0.650564133202903	0.6734288065198649	0.721574809870971	0.55121128689536	0.673140766199764	0.7594913426692909	0.6899134866898491	0.623278842507458	0.6677120209327378	0.695780391470093	0.5751574636699449	0.52713933367353	0.667210320931016	0.5985968671101171	0.693640523268133	0.545681410075203	0.608869548602886	0.5834435013812671	0.636531534842693	0.5463851462603561	0.554275901294053	0.571287693601617	0.663171478848584	0.7138403428663729	0.6999958707257541	0.646377645864758	0.672729258159259	0.7049485008965429	0.6192300996246689	0.689518534503813	0.682288603352053	0.660665238794477	0.51503784386069	0.593261012166701	0.667861867618893	0.6629359469527021	0.6073260739189761	0.722239449410125	0.581547982312444	0.150555573294166
Actinomycetota	0.161331892161241	0.208885558189608	0.0786585449821669	0.0861278074172817	0.09949452331992499	0.10530472372394599	0.24049676448295101	0.21771517752848998	0.279917629024743	0.32697960314632896	0.47235255955703703	0.278861377250396	0.299275459632843	0.207540796086703	0.190918767766725	0.181552330352044	0.339627735871344	0.182106994923549	0.218350834574093	0.14175262819538098	0.284036575704033	0.17540743707235099	0.140537846083309	0.17857250288922197	0.260002159087868	0.19460538563586102	0.16445830166985098	0.288713997833621	0.254164253106597	0.164943588418145	0.23072084344603502	0.14950197827406	0.244003277754189	0.18228519455963899	0.296803830515253	0.212585369276416	0.2952535355953211	0.32463059255474397	0.29069630183408196	0.20999179155479	0.17241715408657599	0.186889651811142	0.242286118042195	0.221503502086623	0.13787706934656602	0.26287179317595805	0.144666660794518	0.156003446543946	0.140303362714721	0.37086137533399605	0.287757922969497	0.15051713156197197	0.160356549243265	0.24436475945092603	0.154188924976492	0.22146382723583802	0.008461317411156171
Chloroflexota	0.00259683675534234	0.0029702917339954602	0.0015061124295332698	0.00114862352592955	0.00183839492720972	0.00159971088702919	0.00341927661445422	0.0048948752322556	0.00815956353341608	0.0068818882498968	0.00539370256936377	0.00474970212349226	0.00531767235775741	0.00455381378186225	0.00490089650097931	0.0029541270621847603	0.00582780674665452	0.00561358263071052	0.00511323563984014	0.00340911819076657	0.00590821834728437	0.0056996616520213796	0.0027576040698984	0.005730896284620929	0.0113896498494636	0.00409346438282871	0.004344281861802321	0.011193730461698	0.00663729019267105	0.00662596663535895	0.00617072396167879	0.00384553913844013	0.00669971125091414	0.0050700181726555	0.012199954081216999	0.00840077116356152	0.013068270447336999	0.0107885932807265	0.0145700228379001	0.0038610013343358795	0.00343924602073202	0.00415268430462859	0.00543131301545806	0.0042793551504212895	0.00440015011884408	0.0058123305831102	0.00400453863727176	0.0043682227245753795	0.00405914757900841	0.009909617041640941	0.00826825856739922	0.00574168538086796	0.007011714664806029	0.0155772321027435	0.00457583195571763	0.00570134583882054	0.00344838596379195
Bacillota	0.005145331442208139	0.004804289391280371	0.008706176489039241	0.00512270582269406	0.009108411230266341	0.0045875285952779	0.0038697404303413	0.00632376896768465	0.00591890228938673	0.00738516520490158	0.00488827869223458	0.0048476341260384895	0.00560213393377752	0.0069448103434502795	0.00486647042272011	0.00693500637025721	0.0077819402959888	0.0110862465777753	0.00543648616879555	0.00716128223390605	0.0944896671836601	0.007931085086219071	0.00490077823345404	0.00622609902825761	0.00627334975101288	0.00769311110622485	0.0072922432547662	0.00731075814012338	0.00747312903121997	0.009027410790315991	0.0100710296059675	0.00903837294823221	0.00909737012871823	0.00844351933699107	0.0065517586153265	0.0074242869744192905	0.00726207601781722	0.00685637789959701	0.00842034851979913	0.00780053150937013	0.00553713967980202	0.00562296604793665	0.00540588501349307	0.00601108264388739	0.0104837162753847	0.0063375411779695605	0.00694648523861877	0.00642063438497335	0.007130008074648409	0.0065766019439768295	0.006460229401597829	0.00799181529535122	0.0077074575010098794	0.00929472511811698	0.00581014878249646	0.00819066585295346	0.0620629649733389
Cyanobacteriota	0.0574362651661619	0.0867999118064639	0.0168319412121425	0.009586224100499821	0.0171026437167692	0.00811664059921199	0.00169800582096356	0.00469961838670929	0.00225061973844726	0.00456002850017813	0.00188590998928803	0.00572902214895458	0.004159231550435721	0.0128137359714321	0.00531079633945215	0.0250027280856775	0.0214220624715233	0.0129080549023052	0.008463286576287121	0.0173171466907812	0.00157286616192934	0.0077519677533941095	0.00575245005591179	0.0022479811027269103	0.00322755955714709	0.0237838709440987	0.0153636948338749	0.0236419240656333	0.0983140708253456	0.0106422197247844	0.020997777001812	0.016679189829697	0.0869131315027198	0.0534962207482219	0.0036651706030913704	0.00299293656945818	0.0241007425089786	0.00647257795647339	0.0024633126267519898	0.0180616333606221	0.00734541262133669	0.007757833347043391	0.0152714087545906	0.013050281907928998	0.0317113548225679	0.0210609448538602	0.0464089273745969	0.0374114807078563	0.0733042681620577	0.00266109472264553	0.0034792612297235397	0.0440695006526151	0.0402073896431314	0.00290146713725392	0.0233040225036295	0.0940159958886069	0.013154953861873
Candidatus Melainabacteria	1.78183906243657e-05	1.90174740872058e-05	9.12949965751626e-05	7.45355851409649e-05	0.00012070269724104	3.6059868892656896e-05	3.37173514885536e-06	1.03493027674726e-05	7.11321029850587e-06	2.20537092642543e-05	0.0	1.6322000424372e-05	9.010095168057581e-06	2.03959187766528e-05	1.00983162893645e-05	2.40921852037136e-05	2.5312610742672e-05	4.00556532280754e-05	9.7954705744064e-06	3.5745057712263e-05	6.80894442393655e-06	2.52355200917256e-05	2.7989214822554997e-05	8.40971347782731e-06	1.01495583558085e-05	4.1227819433145e-05	2.0848383259999103e-05	1.3115543307524001e-05	2.09749863231596e-05	3.0288484837296e-05	3.5205853655732703e-05	2.3865123003013502e-05	1.7167008671628303e-05	2.6635707687669e-05	9.257819154057519e-06	9.18847397824169e-06	1.0773898497697e-05	5.78011962535577e-06	1.06565937263813e-05	2.4649330552539802e-05	2.22785167334867e-05	2.30849190125767e-05	1.08204263680806e-05	1.54526546115357e-05	3.21087527626037e-05	1.65344076159427e-05	1.6014951558775303e-05	2.27899650524651e-05	2.13779990994518e-05	7.250939298761659e-06	1.3185262831733e-05	3.46684497560116e-05	3.27314472568652e-05	2.19412351034686e-05	1.71153230466886e-05	5.35337637447938e-06	4.78942494971104e-05
Candidatus Margulisbacteria	4.648275815051921e-06	4.75436852180145e-06	4.59025122444951e-06	1.1201879847775098e-05	6.55399261037333e-06	3.5663606597133203e-06	6.743470297710729e-07	4.13972110698902e-06	2.1339630895517603e-06	5.08931752252023e-06	0.0	0.0	3.43241720687908e-06	5.0989796941632e-06	2.7540862607357702e-06	7.79453050708381e-06	3.3750147656896e-06	7.72157170661695e-06	9.7954705744064e-06	8.00262486095439e-06	2.91811903882995e-06	7.954674811522212e-06	1.332819753455e-06	3.23450518377973e-06	2.7680613697659403e-06	7.32939012144799e-06	5.21209581499979e-06	6.94352292751271e-06	6.60855733469412e-06	4.326926405328e-06	6.46638128370601e-06	7.9550410010045e-06	9.72797158058938e-06	4.97199876836488e-06	2.77734574621726e-06	5.01189489722274e-06	8.43174665037154e-06	4.62409570028461e-06	8.19737978952408e-06	6.980341395409509e-06	3.7130861222477897e-06	3.9016764528298695e-06	4.328170547232241e-06	6.1810618446142895e-06	1.2092906884616999e-05	1.9452244254050202e-06	0.00014493531160691001	1.3148056761037599e-05	3.3848498574132004e-05	5.4382044740712505e-06	9.88894712379973e-06	8.11389249608781e-06	5.98745986406071e-06	5.2241035960639506e-06	4.0271348345149595e-06	5.35337637447938e-06	7.98237491618506e-05
Deinococcota	0.00200975951990128	0.0020776590440272397	0.00118428481590797	0.00126279653207034	0.00122505045208895	0.0014261480015898	0.00147681999519865	0.0018763285917427698	0.0020834592964323697	0.0018626902132424	0.0019009972692023399	0.00220347005729022	0.00166300613673291	0.00175064969499603	0.0017249760279741699	0.00196918184356236	0.00179550785534687	0.00185607279897805	0.00203745787947653	0.0016896208623095	0.00198967083130889	0.00186687988852483	0.00165136367453075	0.0021807033949043	0.0021858457949918398	0.00162895695449182	0.00198893576300392	0.00205528278654376	0.0018087334096478	0.00221365554896581	0.00207498990526033	0.00198803706470558	0.00174760148277176	0.00158500217880089	0.00216355233630324	0.00247587607922803	0.0024512961234107898	0.00220222557726055	0.0022632965598876	0.0016798627839390199	0.00208211304305045	0.00175185272732061	0.00199853275018449	0.0015473258151017801	0.00213752554105333	0.00208430797182148	0.00174923308400723	0.0020050786560582303	0.0018870537955078602	0.00241818825613701	0.00204701205462654	0.00196061147769104	0.0023011804077539997	0.00238114641908595	0.0023478196085222197	0.0019111553656891399	0.00014368274849133002
Armatimonadota	0.00028540413504418	0.00024484997887277	0.00020911144466936	0.00018396933442307	0.00023867456422776	0.00020962275433203	0.00022388321388399	0.00045640425204554003	0.00053989266165659	0.00034098427400885	0.00027157103845747003	0.00037540600976055	0.0003711301104938	0.00035140468392274	0.00033645753818655	0.00035287965386615	0.00038897045174572	0.0005361666353782099	0.00039181882297625	0.00040013124304772	0.00028111213407395	0.00052418564016617	0.00037052389146049	0.00055018933176093	0.00056283914518574	0.00043151784340025	0.00047117346167597997	0.00051613520427844	0.00041691376924526003	0.00061788509068083	0.0004997075758686099	0.00044982140932952003	0.00040914704000713997	0.00031678735009867	0.0005101058353885599	0.0006791117585736799	0.00066470269427095	0.00060055442907446	0.00064677326539345	0.00037039436529391	0.00040101330120276003	0.00037553635858487	0.0003900763705693	0.00034201875540199	0.00046495141987405996	0.00038320921180477996	0.0004131857502164	0.00045623756960800005	0.00041954323232673996	0.00049427236219892	0.0004801633214556	0.00051191285384408	0.00058238026277763	0.00071570219266076	0.0004520458851743	0.00045503699183074	5.58766244132954e-05
Mycoplasmatota	0.00010412137825716	0.00010756758780575	0.00067935718121852	0.00027487689780308997	0.0005958671614931	0.00012125626243025	3.40545250034392e-05	5.5886234944351795e-05	4.1256619731334006e-05	0.00013684609338332	2.26309198714564e-05	0.00014689800381934	6.435782262898271e-05	0.00013427313194629	4.31473514181938e-05	0.00011620936392378999	0.00015946944767883002	0.00031224105588632003	1.95909411488128e-05	0.0002214059544864	4.57171982750026e-05	0.00016704817104196002	0.00010262712101603	6.1132147973437e-05	5.25931660255529e-05	0.00023179196259079	0.00017929609603599	8.71797878676595e-05	0.00012929786089618	0.00014826934482257	0.00018752505722747	0.00020104558166175	0.00017624795569538	0.00016265538827936002	8.05430266403004e-05	7.26724760097298e-05	5.94906569220658e-05	6.12692680287711e-05	8.68922257689552e-05	0.00022816990936244	0.00010675122601461999	0.00010957208038363001	6.32994942532716e-05	0.00012053070596997	0.00046745340060880996	0.00010504211897187	0.00013292409793783	0.00011351155670361999	0.00016033499324588	6.46542087472915e-05	8.075973484436451e-05	0.00014678769152013	0.00013332077297308	0.00010448207192127	7.55087781471555e-05	0.00013383440936198002	0.0029854082186532103
