#OTU ID	mgm4749366	mgm4749367	mgm4749858	mgm4749859	mgm4749860	mgm4749861	mgm4749862	mgm4749863
Pseudomonadota	0.850841105100607	0.851105119671849	0.548568386180786	0.61981149740965	0.903307617779482	0.902657815957308	0.867616235199866	0.866810641612833
Actinomycetota	0.0943053144888007	0.0939656771877157	0.131389020350213	0.154422320704076	0.0473941629664938	0.0460887674085644	0.0690610822845538	0.0689364262097068
Chloroflexota	0.0002293999672767	0.0002122819304617	0.0007098911500236	0.0006865988390237	0.000310866332658	0.0002941559286736	0.0003330321294493	0.0003219461527434
Bacillota	0.034027099557899	0.03389490540082	0.2479886417416	0.147056987703639	0.0223435176597982	0.0243732916829364	0.033310199632966	0.0342813903373855
Cyanobacteriota	0.00149784684516	0.0015411333849273	0.0014197823000473	0.0016228699831471	0.0018677885487205	0.0018352206169465	0.0029856446849935	0.0029092652342804
Candidatus.Melainabacteria	1.51808801874333e-05	1.50436013713078e-05	0.0	0.0	7.77165831645156e-06	1.04125992450866e-05	2.56178561114889e-05	2.34997191783558e-05
Candidatus.Margulisbacteria	1.68676446527036e-06	1.67151126347865e-06	0.0	0.0	2.59055277215052e-06	1.04125992450866e-05	4.65779202027071e-06	1.17498595891779e-05
Deinococcota	0.0037699185798792	0.0037659148766174	0.0065073355418835	0.0072404968478871	0.001085441611531	0.0010490693739424	0.0034351216149496	0.0034286090281221
Armatimonadota	2.19279380485147e-05	2.17296464252224e-05	0.0001774727875059	0.0001872542288246	4.40393971265589e-05	5.46661460367044e-05	3.9591232172301e-05	2.34997191783558e-05
Mycoplasmatota	4.04823471664887e-05	4.51308041139235e-05	0.0171557027922385	0.0177891517383434	6.99449248480641e-05	0.0001457763894312	0.004767250132747	0.0048832416452623
Thermomicrobiota	2.36147025137851e-05	3.00872027426157e-05	5.91575958353053e-05	0.0001248361525497	4.14488443544083e-05	4.42535467916179e-05	4.42490241925718e-05	4.22994945210405e-05
Candidatus.Kaiserbacteria	2.53014669790554e-05	2.67441802156584e-05	0.0	6.24180762748892e-05	4.92205026708599e-05	5.20629962254328e-05	6.05512962635192e-05	6.34492417815607e-05
Candidatus.Nomurabacteria	3.37352893054073e-06	1.67151126347865e-06	0.0	0.0	0.0	0.0	2.32889601013536e-06	0.0
Candidatus.Yanofskybacteria	8.43382232635182e-06	6.6860450539146e-06	0.0	0.0	1.81338694050537e-05	1.82220486789015e-05	3.49334401520303e-05	3.05496349318626e-05
Candidatus.Azambacteria	1.68676446527036e-06	1.67151126347865e-06	0.0	0.0	7.77165831645156e-06	0.0	4.65779202027071e-06	4.69994383567116e-06
Candidatus.Falkowbacteria	2.69882314443258e-05	2.17296464252224e-05	0.0	0.0	4.14488443544083e-05	4.16503969803462e-05	3.2604544141895e-05	3.05496349318626e-05
Candidatus.Magasanikbacteria	8.43382232635182e-06	1.00290675808719e-05	0.0001183151916706	0.0	2.07244221772042e-05	1.56188988676298e-05	4.65779202027071e-06	7.04991575350675e-06
Candidatus.Nealsonbacteria	1.68676446527036e-06	0.0	0.0	0.0	0.0	0.0	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Uhrbacteria	1.01205867916222e-05	5.01453379043595e-06	5.91575958353053e-05	6.24180762748892e-05	7.77165831645156e-06	5.20629962254328e-06	1.16444800506768e-05	1.87997753426847e-05
Candidatus.Giovannonibacteria	1.68676446527036e-06	3.3430225269573e-06	0.0	0.0	0.0	2.60314981127164e-06	0.0	0.0
Candidatus.Moranbacteria	1.01205867916222e-05	1.17005788443505e-05	0.0	0.0	3.62677388101073e-05	3.64440973578029e-05	3.2604544141895e-05	2.11497472605202e-05
Candidatus.Zambryskibacteria	1.68676446527036e-06	0.0	0.0	0.0	2.59055277215052e-06	0.0	4.65779202027071e-06	2.34997191783558e-06
Candidatus.Staskawiczbacteria	1.68676446527036e-06	0.0	0.0	0.0	2.59055277215052e-05	2.34283483014447e-05	2.79467521216243e-05	3.28996068496981e-05
Candidatus.Wolfebacteria	0.0	1.67151126347865e-06	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Harrisonbacteria	0.0	0.0	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	2.32889601013536e-06	0.0
Candidatus.Taylorbacteria	3.37352893054073e-06	5.01453379043595e-06	5.91575958353053e-05	0.0	0.0	0.0	6.98668803040607e-06	9.39988767134233e-06
Candidatus.Buchananbacteria	3.37352893054073e-06	5.01453379043595e-06	0.0	0.0	1.55433166329031e-05	1.82220486789015e-05	3.2604544141895e-05	2.8199663014027e-05
Candidatus.Portnoybacteria	1.68676446527036e-06	3.3430225269573e-06	0.0	0.0	0.0	0.0	2.32889601013536e-06	0.0
Candidatus.Adlerbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.32889601013536e-06	0.0
Candidatus.Sungbacteria	3.37352893054073e-06	1.67151126347865e-06	0.0	0.0	0.0	2.60314981127164e-06	2.56178561114889e-05	2.58496910961914e-05
Candidatus.Jorgensenbacteria	5.06029339581109e-06	6.6860450539146e-06	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Liptonbacteria	1.34941157221629e-05	1.33720901078292e-05	0.0	0.0	2.33149749493547e-05	1.56188988676298e-05	7.2195776314196e-05	6.81491856172319e-05
Candidatus.Tagabacteria	3.37352893054073e-06	3.3430225269573e-06	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Ryanbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Kuenenbacteria	0.0	0.0	0.0	0.0	5.18110554430104e-06	5.20629962254328e-06	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Lloydbacteria	0.0	0.0	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	4.65779202027071e-06	4.69994383567116e-06
Candidatus.Kerfeldbacteria	5.06029339581109e-06	8.35755631739324e-06	0.0	0.0	0.0	0.0	4.65779202027071e-06	2.34997191783558e-06
Candidatus.Terrybacteria	0.0	1.67151126347865e-06	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	4.65779202027071e-06	2.34997191783558e-06
Candidatus.Yonathbacteria	1.68676446527036e-06	1.67151126347865e-06	0.0	0.0	0.0	0.0	4.65779202027071e-06	7.04991575350675e-06
Candidatus.Niyogibacteria	1.68676446527036e-06	1.67151126347865e-06	0.0	0.0	0.0	0.0	6.98668803040607e-06	4.69994383567116e-06
Candidatus.Campbellbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Colwellbacteria	8.43382232635182e-06	6.6860450539146e-06	0.0	0.0	5.18110554430104e-06	2.60314981127164e-06	6.98668803040607e-06	7.04991575350675e-06
Candidatus.Vogelbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.32889601013536e-06	0.0
Candidatus.Brennerbacteria	5.06029339581109e-06	5.01453379043595e-06	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	1.16444800506768e-05	1.17498595891779e-05
Candidatus.Andersenbacteria	1.68676446527036e-06	1.67151126347865e-06	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Jacksonbacteria	3.37352893054073e-06	1.67151126347865e-06	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Woesebacteria	3.37352893054073e-06	3.3430225269573e-06	0.0	6.24180762748892e-05	1.55433166329031e-05	1.30157490563582e-05	1.16444800506768e-05	9.39988767134233e-06
Candidatus.Gottesmanbacteria	1.34941157221629e-05	8.35755631739324e-06	0.0	0.0	1.55433166329031e-05	1.30157490563582e-05	1.86311680810828e-05	2.34997191783558e-05
Candidatus.Roizmanbacteria	8.43382232635182e-06	8.35755631739324e-06	5.91575958353053e-05	0.0	1.81338694050537e-05	2.34283483014447e-05	2.56178561114889e-05	2.8199663014027e-05
Candidatus.Levybacteria	1.01205867916222e-05	1.00290675808719e-05	0.0	0.0	2.59055277215052e-05	2.60314981127164e-05	2.32889601013536e-05	2.11497472605202e-05
Candidatus.Daviesbacteria	5.06029339581109e-06	5.01453379043595e-06	0.0	0.0	1.29527638607526e-05	7.80944943381492e-06	1.63022720709475e-05	1.40998315070135e-05
Candidatus.Curtissbacteria	0.0	3.3430225269573e-06	5.91575958353053e-05	0.0	7.77165831645156e-06	7.80944943381492e-06	4.65779202027071e-06	2.34997191783558e-06
Candidatus.Shapirobacteria	1.68676446527036e-06	1.67151126347865e-06	0.0	0.0	2.59055277215052e-06	2.60314981127164e-06	2.32889601013536e-06	2.34997191783558e-06
Candidatus.Beckwithbacteria	6.74705786108145e-06	6.6860450539146e-06	0.0	0.0	1.03622110886021e-05	7.80944943381492e-06	1.39733760608121e-05	1.64498034248491e-05
Candidatus.Amesbacteria	3.37352893054073e-06	1.67151126347865e-06	0.0	0.0	0.0	2.60314981127164e-06	2.32889601013536e-06	0.0
