#OTU ID	mgm4625205	mgm4625204	mgm4606757	mgm4614547	mgm4635906	mgm4606758	mgm4606759	mgm4614548	mgm4614549	mgm4635907	mgm4635908	mgm4606762	mgm4614552	mgm4606761	mgm4614551	mgm4635910	mgm4606760	mgm4614550	mgm4635909	mgm4549283	mgm4549284	mgm4549285	mgm4549289	mgm4549290	mgm4549291	mgm4549348	mgm4549349	mgm4549350	mgm4549351	mgm4549352	mgm4549353	mgm4549354	mgm4549355	mgm4549366	mgm4549367	mgm4549368	mgm4549369	mgm4549370	mgm4549371	mgm4549372	mgm4549373	mgm4549376	mgm4549377	mgm4549379	mgm4549380	mgm4549381	mgm4549384	mgm4549385	mgm4549402	mgm4549403	mgm4549409	mgm4549412	mgm4549413	mgm4554277	mgm4554278	mgm4554280	mgm4554281	mgm4554282	mgm4554283	mgm4554286	mgm4554287	mgm4554288	mgm4554289	mgm4554290	mgm4554291	mgm4554293	mgm4554294	mgm4554295	mgm4554297	mgm4730043	mgm4730044	mgm4730047	mgm4730041	mgm4730045	mgm4730046	mgm4730048	mgm4481963	mgm4481964	mgm4481966
Pseudomonadota	0.658323326802756	0.786565723750277	0.633301797909553	0.6041245051166129	0.6274686096466551	0.64550966513932	0.580100708014652	0.626067049732063	0.55933438772658	0.630487719264436	0.5724413338891621	0.539784374684525	0.532842925140632	0.6220266217636049	0.589800210304942	0.6126393128846249	0.6156883291549151	0.58459020226821	0.613391191865712	0.586669527184144	0.581970410827356	0.6727465260323	0.40055248618784495	0.698485153063439	0.6963744216751121	0.23350044988132101	0.615217928975624	0.663005889495116	0.512018903932313	0.440284760955304	0.576193612992606	0.604027508964787	0.484263233190272	0.6156499984629971	0.6108532381046071	0.682858435097241	0.673365102494929	0.592411131466826	0.640950785226203	0.5249241439098401	0.517755785184107	0.7014807823845101	0.6976485930967189	0.6696369432025171	0.625809666168411	0.650641025641026	0.6564236678653149	0.647458597774544	0.615850023216438	0.6142737737927889	0.703691734761399	0.48837209302325607	0.4620462046204621	0.600956127811332	0.499441685762896	0.5805071799572261	0.6710296684118671	0.650690627097938	0.650958531889619	0.66329245603857	0.618481666447199	0.47145385116885496	0.6660792951541851	0.6285855588526209	0.622235595005265	0.629013587102347	0.588203241523317	0.723753693687673	0.6686774164810689	0.532748877018579	0.5454519662208069	0.52560187003809	0.567521865712195	0.5556690758757801	0.562608822815736	0.47856230767620506	0.7240864075335379	0.723885719001156	0.7201210198566559
Actinomycetota	0.0016242179106364199	0.00259530237228895	0.156348249979179	0.200075955820765	0.159086677588662	0.12380170550159801	0.180946159641781	0.160665372065079	0.210751272879095	0.12290784251916499	0.188613947339947	0.17500139066585096	0.18272202000661802	0.193420866471375	0.236722954165893	0.19170482628289004	0.203085827326857	0.249900619665614	0.20162946473336898	0.11150412468165201	0.11347451043156698	0.0904129924667938	0.116022099447514	0.12061112643577301	0.122049558765345	0.653325729004521	0.13058338522266402	0.0699099162835746	0.139158496531276	0.327615862988642	0.163878640360853	0.150358927315419	0.121602288984263	0.115331957124717	0.11848381348041599	0.13181566912910198	0.138569993895595	0.0955828392526226	0.10038771767614599	0.132600386176459	0.13407800902343198	0.0906884667999579	0.0929774504997035	0.11024176188110602	0.150971599402093	0.11730769230769199	0.10384657295412401	0.100005809867922	0.20162108248919502	0.20247457670048002	0.102925270565269	0.151162790697674	0.21782178217821804	0.13682822959557	0.13150167403192098	0.148487626031164	0.126236183827807	0.0933650514737703	0.144979086163187	0.14225698681657198	0.10939515001267801	0.12694421160473102	0.116299559471366	0.0989119683481701	0.109372649315481	0.0851040178674101	0.18904245798946	0.0988442755598413	0.10889906458797301	0.20783468264736302	0.212889393902855	0.21863321059946803	0.201928900972226	0.209767096284351	0.21950467820124697	0.20129367189298897	0.113600614800098	0.113617980523638	0.115215603336858
Chloroflexota	0.00054983252227769	5.65141220096422e-05	0.0114497012159574	0.0109563670226879	0.0123311953078335	0.00782869982289507	0.012412832988038	0.00797546711009618	0.0124651926390614	0.008853857663776409	0.0131704653446993	0.0146153830305802	0.0143304400946878	0.00917404807132536	0.00893486732232325	0.0100329505257547	0.009509982502872659	0.00922483339179235	0.00984497523213605	0.027013896578452004	0.0278179568999723	0.0203647008222828	0.00736648250460405	0.007120563739146441	0.00737927339640297	0.0059247944999124705	0.0238311850528898	0.00642234470760034	0.021612567674931	0.0128473882415671	0.0301083209514047	0.0206278853083052	0.0135908440629471	0.0208890496830227	0.0213189422656781	0.0113171516156591	0.0123860346966505	0.011592638153413999	0.0240761268417441	0.0189935768609371	0.0209576480861592	0.017204271019678002	0.0173991201818168	0.0190842854777281	0.0139511709018435	0.0173076923076923	0.0116595837419636	0.0128342749008173	0.0102559138789407	0.0105555766624875	0.011040799681674998	0.0232558139534884	0.0462046204620462	0.0252851889109266	0.0231313322671019	0.022303696914145996	0.0203606748109366	0.0230328033722002	0.0137282612158699	0.0133434693020185	0.0259661395446022	0.0240290583962001	0.013215859030837	0.0192878338278932	0.0221152399578757	0.013198680387501998	0.0114348215173511	0.0103303911131903	0.0119953674832962	0.0243482882418005	0.0229854174853047	0.0243215441359852	0.0185633435563146	0.0203240026293684	0.0192451764721133	0.0290887777103263	0.00549197987839804	0.00544363749179757	0.00578075431794149
Bacillota	0.12254629337041	0.0391055988105951	0.0131134442408595	0.0115390418121186	0.0127139496300849	0.0174568109767243	0.0218943363442028	0.0156405715229412	0.0198459453626157	0.018459302125504	0.0205961518621253	0.0357267207687189	0.0382467482882378	0.0129773559611366	0.011940990907404	0.0129894122207685	0.0117771009610362	0.00993803343855957	0.0111425305336622	0.0272838002436054	0.0265368931035288	0.0168975385961124	0.3692449355432779	0.0149289913939694	0.0146686911560314	0.0459720354313772	0.0169184076003266	0.144957509043995	0.0235021418450172	0.10805584048692599	0.0131999728237591	0.0206038960478173	0.201001430615165	0.019635801286826002	0.0191776685280802	0.00865370119101462	0.00831971328988047	0.163263097318501	0.0145253651135824	0.0359774599046381	0.0348566438655218	0.0161901998053246	0.0156515910372882	0.0145581498040514	0.0199302441454908	0.0166666666666667	0.0327993897787948	0.0356822721563463	0.0166751536423154	0.0159543077137393	0.012315308839014999	0.0271317829457364	0.0099009900990099	0.0179197602010271	0.0253226928779869	0.0192483959670028	0.0151250727166958	0.0184535839205746	0.0106981443805727	0.0100426110788805	0.0158931056961178	0.0432616187016858	0.0140969162995595	0.0262116716122651	0.016849706634571998	0.0411267303303887	0.021553147061748	0.0121444154306637	0.0145867260579065	0.0152178327577689	0.0146510793254943	0.0156481030698871	0.0137730654851529	0.0136408285881491	0.0124655621436966	0.0202633396830713	0.00907229573035072	0.00903088716389867	0.009103252000678859
Cyanobacteriota	0.0018264551602098199	0.00018693132664726999	0.00397229220454735	0.00364171743394185	0.0038150846731465	0.007430843990092209	0.00791597426336088	0.007052921110927609	0.00797871399406285	0.00814769644152558	0.0076102173017741	0.006123050234971021	0.00576272049278387	0.00557716438092455	0.00506587493041381	0.00582812424286476	0.00360878251331871	0.00311001987606688	0.00372370294607224	0.0052001439486214105	0.00514426138769685	0.00361688265729266	0.0	0.00262326057472302	0.00262272178520928	0.00175796384935558	0.00580787648972094	0.00245300137061171	0.00471533528269897	0.0021500666765141697	0.00375032124089079	0.0041952418741178	0.00286123032904149	0.0055284806609584795	0.0054492671399125605	0.0027941102567968197	0.00264852411239982	0.008732425597516491	0.0143099664046124	0.00528037199038499	0.00596710813564256	0.0041956323003262104	0.00421387447537042	0.009631837500689959	0.0054808171400099704	0.00512820512820513	0.0022883295194508	0.0023903456594753397	0.00285470999092385	0.00297227815559186	0.00750471002306098	0.0077519379844961205	0.0066006600660066	0.0061252998505329104	0.00488365569225501	0.0045829514207149395	0.0058173356602676	0.00405329274525904	0.00353987738438221	0.00298077500150039	0.018843407636831	0.00782341436155351	0.00352422907488987	0.0039564787339268	0.0163983752068602	0.00248768932376248	0.00347618574127473	0.0030838413397047	0.00927002227171492	0.0047343667719584705	0.00507274234404975	0.0057200993238615	0.0051657442088461295	0.00475769476356655	0.00524010391411732	0.00537145967218605	0.00531559232426551	0.0053661954285378795	0.008886538988759641
Candidatus Melainabacteria	0.0	0.0	3.7738402598484204e-05	3.12147208623587e-05	3.5991364841004706e-05	6.77536665763284e-05	0.00010678556338283	6.26420122892239e-05	8.845580924681651e-05	6.46970320580676e-05	8.80715107115926e-05	0.0003007958729158	0.0002952630641179	3.75738430387498e-05	1.5463598688686802e-05	3.33139506711247e-05	1.63219471430064e-05	2.33836080907284e-05	2.20604456210015e-05	9.75805558631381e-05	9.536289583104101e-05	4.9906810374083294e-05	0.0	3.69122043220201e-05	3.3816637495790995e-05	1.37407190772751e-05	4.28786087942162e-05	2.54093774553057e-05	6.79820789411177e-05	1.4668318439414402e-05	4.48998762299464e-05	5.1816802653788e-05	0.0	4.96570119247767e-05	6.40551972785692e-05	2.0101512638826103e-05	9.845814544237249e-06	2.46380407829969e-05	4.85285628904634e-05	3.94057611222761e-05	3.63848057051375e-05	3.7405950752394e-05	4.28964483745253e-05	1.72489926588287e-05	0.0	0.0	0.0	5.8098679223359e-05	4.90982062321055e-05	4.93902207362942e-05	3.2426063080234196e-05	0.0	0.0	4.1405506525100605e-05	0.000105651633775	0.0	0.0	4.87614164843193e-05	2.95843175808221e-05	8.002080540940641e-05	5.659007780047429e-05	9.313588525658941e-05	0.0	0.0	0.00015044380923725	7.282911733665201e-05	7.75579198568162e-05	2.7687739582488e-05	3.5634743875278396e-05	4.14072692852068e-05	3.631561103143429e-05	3.70512318937004e-05	3.21212553887568e-05	3.24359326633958e-05	3.1597150909208004e-05	4.6053044734253005e-05	2.28473009428905e-05	2.1740907103643e-05	2.74155015078526e-05
Candidatus Margulisbacteria	0.0	0.0	1.5615890730407298e-05	1.04049069541196e-05	1.45349742627134e-05	2.59984999653353e-05	2.8344316206554903e-05	1.4236820974823599e-05	6.014995028783521e-05	3.85429127154446e-05	4.27775909170593e-05	4.32651598029581e-05	2.5453712423957e-05	9.27749210833327e-06	1.8556318426424202e-05	6.66279013422494e-06	8.9770709286535e-06	0.0	7.0192326975914e-06	3.46030339940206e-05	4.13461506400317e-05	1.8147931045121202e-05	0.0	1.14727121541414e-05	1.01449912487373e-05	5.428432228059291e-06	1.55357278239914e-05	9.71535020349922e-06	2.78480805300964e-05	6.94815083972263e-06	1.0634181212355699e-05	2.3989260487864802e-05	0.0	2.128157653919e-05	2.0589170553825798e-05	0.0	9.845814544237249e-06	1.53987754893731e-05	1.70275659264784e-05	3.94057611222761e-05	0.00018192402852568	3.16511890981795e-05	2.6058590134057398e-05	2.06987911905945e-05	0.0	0.0	0.0	2.07495282940568e-05	1.82364766004963e-05	1.39305750794676e-05	9.343102921423402e-06	0.0	0.0	1.96845850693101e-05	2.18589587120702e-05	0.0	0.0	2.6992926982391e-05	7.9650085794521e-06	2.0005201352351604e-05	1.9588873084779603e-05	4.6567942628294705e-05	0.0	0.0	0.0	3.44980029489404e-05	3.77846276225515e-05	1.4321244611631698e-05	1.56792873051225e-05	1.9228437088216396e-05	1.56989360187971e-05	1.8990416346950398e-05	1.4493737187609803e-05	1.46990631405117e-05	1.3773117062988098e-05	5.442632559502629e-05	1.35805634975223e-05	1.2378034701344199e-05	8.48575046671628e-06
Deinococcota	6.3199140491689304e-06	1.9562580695645398e-05	0.0024601534521529102	0.0027729077032728603	0.00225361315235214	0.00204836666393551	0.0022945712724422697	0.00236046491762575	0.00227862164619799	0.00196431201589069	0.0023200552250311	0.0026989218734226198	0.0026777305470002803	0.00236204949078165	0.00250201026782953	0.0022683771866065803	0.00274535150945367	0.00281772477493277	0.00258107213765718	0.0022789558188462	0.00230804882847016	0.00213147450124949	0.0009208103130755	0.00131088206700363	0.00134396979304701	0.0007833906259118	0.0031792313419016	0.00075306419654302	0.0024203258225422	0.00113280592579478	0.0025829244589121803	0.0023979664783669603	0.00143061516452074	0.00280680348355762	0.00284816859327924	0.0021508618523543898	0.0019199338361262602	0.0012503805697370901	0.00246814568104304	0.0021279111006029102	0.0021467035366031103	0.0016314749289698	0.00168739393652689	0.0021043771043771	0.00049825610363727	0.00192307692307692	0.0010896807235480001	0.00117442330144361	0.0015192387814105801	0.00161594670921824	0.0014393874441887	0.0038759689922480602	0.0	0.0030477167917656	0.0024873673434443197	0.00305530094714329	0.0034904013961605603	0.00209587016924565	0.00202083646244385	0.0017804629203592899	0.0025498183132021397	0.0025612368445562103	0.00088105726872246	0.00247279920870425	0.00165488190160975	0.00104899483041037	0.0014696231480560802	0.0015934771504542199	0.00144748329621381	0.00318622324195112	0.00300644081950337	0.00320446675840499	0.00300578564526559	0.00308562733445621	0.00298244697248658	0.0036046974105628897	0.00212144378964826	0.0021191830179711603	0.00201960861107847
Armatimonadota	3.15995702458447e-06	6.52086023188179e-06	0.0007794932122928201	0.00085840482371486	0.00083818351581647	0.00070195949906405	0.00083978276388723	0.0006178780303073401	0.0008137934450707099	0.00066899484213235	0.0009369131187128401	0.0011949425088436	0.0012014152264107699	0.00077698996407291	0.00071132553967959	0.00080559189804719	0.0008283388175075701	0.00087688530340231	0.00090548101798929	0.00103255453438157	0.00107033180285889	0.0007785462418357	0.0	0.00038259000966201	0.00039130680530843	0.00030178690417867005	0.00118382246018814	0.00031313321040509	0.00109262763021025	0.00047479030738104005	0.0010900035742664599	0.00094133858154381	0.0	0.00108063116426776	0.00107063686879894	0.0005929946228453599	0.0005710572435657599	0.00045712364952739	0.0009305564778820401	0.00118217283366828	0.00109154417115413	0.00047887838051140994	0.00049832042364051	0.0007727548711155201	0.00249128051818635	0.00192307692307692	0.0003269042170644	0.00042467367908502	0.00054569149212254	0.00054329242809923	0.00043362989441194	0.0038759689922480602	0.0033003300330033	0.00115392395233887	0.0011120745244765698	0.00030553009471432003	0.0005817335660267599	0.0008637736634365099	0.00060420279366986	0.0006201612419229	0.00094026590806941	0.00130390239359225	0.00176211453744493	0.0	0.0015044380923725	0.00038586655150296	0.00057074674356169	0.00059194477728077	0.00044757238307349006	0.00151782567682064	0.0012000228864007	0.00124168106883906	0.0011224811867863698	0.00113956936840674	0.0010918841097523	0.00163278976785079	0.0006612935566617	0.00066968341589323	0.000680818287445
Mycoplasmatota	5.68792264425204e-05	0.00084119096991275	0.00024660094111767997	0.0002705275808071	0.00020141321478331	0.00073110933235852	0.00073761139151476	0.0005808622957728	0.00065103475605656	0.00073093880899646	0.00055946378709173	0.00069224255684733	0.0005243464759335099	0.00023286505191916	0.00023504670006803998	0.00022592915636962	0.00011017314321528999	9.35344323629136e-05	9.375689388925659e-05	0.0007626508692282099	0.0007315601169695901	0.00033845891399151	0.0	0.00021947797164444	0.00023188551425685	8.05782908852552e-05	0.0002864788210744	0.00018334609614808	0.00040543529007052	9.418604471624009e-05	0.00016601138448177	0.00035024320312282	0.00071530758226037	0.00052967479386428	0.00045982480903544005	0.00014071058847178	0.00017722466179627	0.00015794744001956999	0.00022646662682216	0.00023643456673365	0.00076408091980788	0.00050847429759023	0.00049431140977373	0.0003518794502401	0.0009965122072745302	0.00128205128205128	0.0005448403617740001	0.0003181594338422	0.00029879765506967	0.00024061902409989	0.00048254378617704	0.0	0.0	0.00030884435194952	0.0005382768582847201	0.00030553009471432003	0.00029086678301337997	0.00036048618615193	0.00019116020590685	0.00014003640946646002	0.00027315595245998	0.00088479090993759	0.0	0.00148367952522255	0.00045133142771175	0.00035775706761864	0.00045540419608232997	0.00018426668066966	0.00057371937639198	0.000200728605159	0.00018706322557337	0.000216729786561	0.00017637311266814	0.00018119045164537	0.00015247650772084	0.00029725147055745	0.00010832496530964	0.00010013512687882	0.00014752150811368
