#OTU ID	mgm4704667	mgm4704668	mgm4704669	mgm4704670	mgm4704671	mgm4708965	mgm4708967	mgm4708968	mgm4708969	mgm4708970	mgm4708971	mgm4708972	mgm4708973	mgm4708974	mgm4708976	mgm4708977	mgm4708978
Pseudomonadota	0.635933806146572	0.602021478205938	0.681311232978002	0.673922902494331	0.682002022244692	0.671112042079784	0.637306796527631	0.731330472103004	0.603630862329803	0.714285714285714	0.595064898017401	0.56773745441917	0.676799784237801	0.692766529446358	0.644444444444444	0.771105308964317	0.681032441392375
Actinomycetota	0.0819542947202522	0.120341124447252	0.0841086943126502	0.10602166792643	0.089989888776542	0.108085462924173	0.0831039593478721	0.165665236051502	0.111006051437216	0.085978835978836	0.132506061902724	0.126792845980205	0.086863549673467	0.0993026967991263	0.121481481481481	0.15027560197273	0.0914042150130239
Chloroflexota	0.0018011932905549	0.0023689197725837	0.001725306550003	0.0018392542202066	0.0025278058645096	0.0017921146953405	0.0019055684946008	0.0025751072961373	0.0018910741301059	0.0013227513227513	0.0019968620738839	0.0023094287202639	0.0017530678687703	0.0019322859783247	0.0004938271604938	0.0014505366985784	0.0023679848448969
Bacillota	0.0230777890352358	0.0262160454832596	0.0165958058619344	0.018745275888133	0.0219919110212336	0.0206442303216497	0.023502011433411	0.0137339055793991	0.0166414523449319	0.0224867724867725	0.025388674939381	0.0183712450078139	0.0167215704405787	0.018146685709485	0.0306172839506173	0.0113141862489121	0.022022259057542
Cyanobacteriota	0.0238658110998537	0.0579595704358812	0.0371967876435188	0.0197026958931721	0.0406976744186047	0.0195736163478099	0.0238196061825111	0.0051502145922746	0.134833585476551	0.0158730158730159	0.0570532021109685	0.0259593679458239	0.0372575083318885	0.0325968243300008	0.0360493827160494	0.0066724688134609	0.0414397347856974
Candidatus.Melainabacteria	0.0002251491613193	0.0001579279848389	2.05393636905129e-05	0.000100781053162	0.0	9.30968672904157e-05	0.0002117298327334	0.0	0.0	0.0	0.0001426330052774	3.47282514325404e-05	3.85289641487989e-05	8.40124338402084e-05	0.0	0.0	0.0
Candidatus.Margulisbacteria	0.0	0.0	0.0	0.0	0.0	2.32742168226039e-05	0.0	0.0	0.0	0.0	0.0	5.20923771488106e-05	0.0	8.40124338402084e-05	0.0	0.0	0.0
Deinococcota	0.0015760441292356	0.0012634238787113	0.000883192638692	0.0014361300075585	0.0012639029322548	0.0014197272261788	0.0015879737455007	0.0034334763948497	0.0009455370650529	0.0013227513227513	0.0014263300527742	0.0013196735544365	0.0009246951395711	0.0010921616399227	0.0014814814814814	0.000870322019147	0.0011839924224485
Armatimonadota	0.000337723741979	0.0004737839545167	0.0002670117279766	0.0001763668430335	0.0002527805864509	0.000232742168226	0.0002117298327334	0.0	0.0	0.0	0.0005705320211096	0.0002083695085952	0.0002311737848927	0.0003360497353608	0.0004938271604938	0.0	0.0002367984844896
Mycoplasmatota	0.0024766407745131	0.0007896399241945	0.0003697085464292	0.000856638951877	0.0005055611729019	0.0009542428897267	0.0023290281600677	0.0017167381974248	0.0005673222390317	0.0	0.0005705320211096	0.0004167390171904	0.0004045541235623	0.000420062169201	0.0014814814814814	0.0	0.000710395453469
Thermomicrobiota	0.0	0.0001579279848389	6.16180910715386e-05	0.0001259763164525	0.0	0.000116371084113	0.0	0.0	0.0001891074130105	0.0	0.0001426330052774	6.94565028650807e-05	9.63224103719971e-05	0.0001680248676804	0.0	0.0	0.0
Candidatus.Kaiserbacteria	0.0004502983226387	0.0001579279848389	0.0004724053648817	0.0004283194759385	0.0002527805864509	0.0003956616859842	0.0004234596654668	0.0	0.0011346444780635	0.0	0.0001426330052774	0.0001562771314464	0.0004623475697855	0.0005880870368814	0.0	0.0002901073397156	0.0004735969689793
Candidatus.Nomurabacteria	0.0002251491613193	0.0	0.000123236182143	0.000100781053162	0.0007583417593528	9.30968672904157e-05	0.0002117298327334	0.0	0.0001891074130105	0.0	0.0	1.73641257162702e-05	0.0001155868924463	8.40124338402084e-05	0.0	0.0002901073397156	0.000710395453469
Candidatus.Yanofskybacteria	0.0002251491613193	0.0	6.16180910715386e-05	0.000151171579743	0.0	0.0001396453009356	0.0002117298327334	0.0	0.0	0.0	0.0	0.0001215488800138	5.77934462231983e-05	0.0	0.0	0.0	0.0
Candidatus.Azambacteria	0.0	0.0	0.0	2.51952632905014e-05	0.0	2.32742168226039e-05	0.0	0.0	0.0	0.0	0.0	3.47282514325404e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Falkowbacteria	0.0002251491613193	0.0001579279848389	0.0001026968184525	0.000100781053162	0.0	0.000116371084113	0.0002117298327334	0.0	0.0001891074130105	0.0	0.0001426330052774	6.94565028650807e-05	9.63224103719971e-05	8.40124338402084e-05	0.0	0.0002901073397156	0.0
Candidatus.Magasanikbacteria	0.000337723741979	0.0003158559696778	8.21574547620515e-05	0.000251952632905	0.0002527805864509	0.0002792906018712	0.0003175947491001	0.0	0.0001891074130105	0.0	0.0002852660105548	0.0003472825143254	5.77934462231983e-05	0.0002520373015206	0.0009876543209876	0.0	0.0004735969689793
Candidatus.Nealsonbacteria	0.0001125745806596	0.0	6.16180910715386e-05	0.000151171579743	0.0	0.0001396453009356	0.0001058649163667	0.0	0.0	0.0	0.0	3.47282514325404e-05	5.77934462231983e-05	0.0	0.0	0.0	0.0
Candidatus.Uhrbacteria	0.0001125745806596	0.0003158559696778	0.0001643149095241	0.000151171579743	0.0	0.0001396453009356	0.0001058649163667	0.0	0.0001891074130105	0.0006613756613756	0.0004278990158322	0.0002083695085952	0.0001733803386695	0.0	0.0009876543209876	0.0	0.0
Candidatus.Giovannonibacteria	0.0	0.0	0.0	5.03905265810028e-05	0.0	6.98226504678118e-05	0.0	0.0	0.0	0.0	0.0	5.20923771488106e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Moranbacteria	0.0001125745806596	0.0001579279848389	8.21574547620515e-05	5.03905265810028e-05	0.0	6.98226504678118e-05	0.0001058649163667	0.0	0.0	0.0	0.0001426330052774	0.0001389130057301	0.0001155868924463	0.0	0.0009876543209876	0.0	0.0
