#OTU ID	mgm4618470	mgm4618471	mgm4618472	mgm4618473	mgm4618474	mgm4618475	mgm4618476	mgm4618477	mgm4618478	mgm4618479	mgm4618480	mgm4618481	mgm4618482	mgm4618721	mgm4618722	mgm4618723	mgm4618724	mgm4618725	mgm4618726	mgm4618727	mgm4618728	mgm4618729	mgm4618730	mgm4618731	mgm4618732	mgm4618733	mgm4739174	mgm4739175	mgm4739176	mgm4739177	mgm4739178	mgm4739179	mgm4739181	mgm4739182	mgm4739183	mgm4739184	mgm4739185	mgm4739186	mgm4739187	mgm4739188	mgm4739189
Pseudomonadota	0.0279437024544457	0.394049996110261	0.177302945205702	0.21618415943748	0.604503959857324	0.345734618839273	0.31851389059242	0.499861981000971	0.177156028017128	0.219835110703977	0.619248880296559	0.280927690821632	0.0650464182563985	0.024045474984011	0.397376967962127	0.397375145073466	0.194362446545285	0.571107350977488	0.293906376906908	0.279363748366273	0.45455736279832	0.159026470283012	0.195344128428629	0.605539391110718	0.239378250205351	0.0555312467328297	0.622050142679237	0.877893998540021	0.826741864782991	0.524754265386053	0.650198243412798	0.868222282874105	0.887953115008927	0.750277441616069	0.445086345922494	0.607289015855926	0.596162126923567	0.882935467710554	0.574246072109121	0.844393019574843	0.789611968273456
Actinomycetota	0.961469747205712	0.226058657262142	0.799853894888924	0.749619259866001	0.35928903935675	0.5964642984525	0.587992916717773	0.44405709227284	0.799105550481534	0.744396625396332	0.365583637301431	0.67959046129066	0.920067397326016	0.968626096541246	0.258651693640134	0.258655094429638	0.780723793393389	0.399229465713485	0.665858722945408	0.652364043491092	0.501626220781985	0.82400801298682	0.779014646248324	0.381873800838967	0.731975581065881	0.934037041482898	0.305064656016417	0.0598386312507695	0.0757192913880474	0.117210666783945	0.318440819740694	0.0632703704052278	0.0660291719700569	0.109034987941461	0.136884577962921	0.322149970637173	0.34259343900274	0.0457982361096548	0.100650147033268	0.0869962819533055	0.115106468919656
Chloroflexota	2.13273135623668e-05	0.0158182714000467	8.7858307328359e-05	7.623667409531e-05	0.0004312516373455	0.0009299563592768	0.0012303753219673	0.0005235203411448	0.0001103666251325	7.48973042731793e-05	0.000293145225629	0.000608273986068	3.999325331205e-05	2.14118210009002e-05	0.0149959631546112	0.0149958943635805	8.12732406350149e-05	0.0003818754859805	0.0007204100295019	0.0009369041874932	0.0004242315083439	0.0001056291047099	7.89885021666212e-05	0.000289695463392	0.0004364612579815	2.71054129509663e-05	0.004814282021894	0.0077550517894695	0.0045928552482794	0.0280278763919668	0.0021313258051024	0.0047977730301994	0.0037809696833437	0.0104943048724115	0.0077080128155175	0.0029225188411471	0.0048953690049771	0.0061631307306047	0.0084490058655691	0.0089745461206662	0.0074128505129662
Bacillota	0.0003313936415075	0.0368617586806006	0.0008737020562097	0.0009556178450551	0.0046208411422122	0.003529352447858	0.010571262112106	0.0052185459460488	0.0009037267130419	0.0011964364246715	0.0015213866140242	0.0048369947372134	0.0004190597412262	0.0002569418520108	0.0346755844251165	0.034675425357695	0.0007866446994796	0.0037760451015047	0.0024331267770598	0.0076615339932261	0.0040904848594007	0.0006810297540509	0.0009111490602037	0.0012197098676942	0.0034645006740106	0.0003446259646622	0.0147665830346164	0.0065039962891156	0.0138762860692697	0.0267492175340779	0.0030882475951484	0.0222749266164511	0.0044627046262484	0.013054039220982	0.030874601432308	0.0181422506606636	0.0056868070406712	0.0091864434424988	0.016637568194587	0.0045695623924872	0.0087387200300621
Cyanobacteriota	6.56225032688209e-05	0.0051863184918185	0.0001415494951401	0.0002269370763767	0.0005461177276666	0.0005228670293122	0.0043235618790629	0.0034718917169563	0.0001743472773833	0.0002150896943229	0.0007736807537171	0.0021581561025695	0.0001391069680419	4.65474369584788e-05	0.0048121031964475	0.0048120811218708	0.0001635498546112	0.0004597579864107	0.0003602050147509	0.0031667361537272	0.002719547248226	0.0001324996664344	0.0001613145466783	0.0006495156222876	0.0015812776723592	8.7124541628106e-05	0.0011591872113454	0.0009252338889296	0.0014239247274301	0.0056570474056663	0.0008799665411961	0.0008292576314185	0.0007312936887541	0.0022515620698789	0.0063917406161413	0.0004878511304688	0.0009730598341588	0.0011941793948714	0.0043203816051731	0.0010690457585931	0.0020302614693798
Candidatus.Melainabacteria	4.92168774516157e-06	7.13118792625055e-05	9.76203414759545e-06	1.41835672735461e-05	8.06077826814179e-06	5.60214674263178e-06	6.89930087084509e-05	6.1870585771669e-05	1.27961304501519e-05	9.60221849656145e-06	1.85534952929782e-06	1.45985756656342e-05	5.21651130157173e-06	2.79284621750873e-06	8.25718374986238e-05	8.25714587165643e-05	1.30438534352493e-05	6.28084680889016e-06	3.48585498146106e-06	4.45029489059301e-05	4.01903534220597e-05	9.26571093946896e-06	6.67508469013701e-06	3.44875551657184e-06	1.43102051797219e-05	3.87220185013804e-06	3.13293840904166e-05	1.43013302724341e-05	0.0	0.0001042473463756	3.34588038477624e-06	2.71887748006069e-05	1.14831240382884e-05	6.23269777129116e-05	0.0047650624510332	3.05862777723402e-06	1.02237436221882e-05	3.49515920450177e-05	0.0016737978947077	1.43111882007116e-06	2.81452507932016e-05
Candidatus.Margulisbacteria	0.0	0.0001037263698363	0.0	0.0	4.03038913407089e-06	1.86738224754393e-06	7.66588985649454e-06	2.14167412286546e-05	0.0	0.0	3.71069905859565e-06	9.73238377708948e-06	1.73883710052391e-06	0.0	7.79845131931447e-05	7.79841554545329e-05	0.0	2.51233872355606e-06	1.16195166048702e-06	4.68452093746633e-06	1.33967844740199e-05	0.0	0.0	3.44875551657184e-06	5.72408207188875e-06	9.68050462534511e-07	1.04431280301389e-05	3.73078181020021e-06	0.0	6.3525726697664e-05	6.69176076955249e-06	5.22861053857826e-06	1.2087498987672e-06	1.4716091959993e-05	5.64037140361385e-05	1.83517666634041e-05	2.40558673463251e-06	1.16505306816725e-05	3.10195704786546e-05	2.86223764014231e-06	5.3247771770922e-06
Deinococcota	4.92168774516157e-06	0.0017179680004149	0.0001025013585497	0.0001223332677343	0.0003345222981278	0.0002222184874577	0.0011805470379001	0.0005473167202878	9.7570494682408e-05	0.0001248288404552	0.0002226419435157	0.0005669113550154	2.43437194073348e-05	6.51664117418703e-06	0.0016330874527505	0.0016330799612831	9.33137207290912e-05	0.0003115300017209	0.0001812644590359	0.0008666363734312	0.0004272085715604	9.8216535958371e-05	0.0001157014679623	0.0002126732568552	0.0004235820733197	1.74249083256212e-05	0.0006631386299138	0.0008282335618644	0.0010051233370094	0.0032292244404645	0.0003647009619406	0.0006127931551213	0.0006200886980675	0.0014378487497381	0.0023709350672032	0.000327273172164	0.0007812142920719	0.0005883517994244	0.0020321343614709	0.0010375611445515	0.0011151604773738
Armatimonadota	3.28112516344105e-06	0.0008362938568057	9.76203414759545e-06	1.59565131827393e-05	9.87445337847369e-05	6.72257609115813e-05	1.53317797129891e-05	4.99723962001942e-05	7.99758153134492e-06	1.15226621958737e-05	5.38051363496369e-05	1.9464767554179e-05	3.47767420104782e-06	1.86189747833915e-06	0.0007936071048478	0.0007936034643314	1.60539734587684e-05	8.29071778773501e-05	4.41541630985068e-05	1.63958232811322e-05	3.72132902056109e-05	8.33913984552207e-06	1.22376552652512e-05	6.78255251592463e-05	1.14481641437775e-05	1.93610092506902e-06	0.0002532458547308	0.000305302311468	2.79200926947077e-05	0.0022103695161212	0.0001672940192388	0.0002080986994354	0.0001770818601693	0.000438885801395	0.001204021386903	0.0001192864833121	0.0002146986160659	0.0003029137977234	0.0008981575634046	0.0004293356460213	0.0002981875219171
Mycoplasmatota	2.13273135623668e-05	0.0027228172082047	1.95240682951909e-05	4.07777559114449e-05	2.41823348044254e-05	2.4275969218071e-05	6.89930087084509e-05	5.71113099430791e-05	3.83883913504556e-05	3.64884302869335e-05	1.48427962343826e-05	4.13626310526303e-05	2.08660452062869e-05	1.21023336092045e-05	0.0024175199089874	0.0024175088190905	3.21079469175368e-05	1.88425404266705e-05	1.51053715863313e-05	6.08987721870623e-05	4.16788850302842e-05	2.22377062547255e-05	2.33627964154795e-05	1.03462665497155e-05	3.14824513953881e-05	1.25846560129486e-05	0.0001801439585198	3.97950059754689e-05	0.0004188013904206	0.0005627727839498	0.0001104140526976	6.9017659109233e-05	7.55468686729497e-05	0.0002735461799622	0.0010338825521295	7.49363805422335e-05	8.59997257631122e-05	0.0002737874710193	0.0007317798672009	2.14667823010673e-05	0.0001840851538366
Thermomicrobiota	0.0	0.0001880040453284	1.46430512213932e-05	1.06376754551595e-05	8.06077826814179e-06	2.05412047229832e-05	1.53317797129891e-05	4.75927582858992e-06	1.27961304501519e-05	9.60221849656145e-06	1.85534952929782e-06	4.86619188854474e-06	0.0	0.0	0.0001834929722191	0.0001834921304812	1.20404800940763e-05	7.53701617066819e-06	1.39434199258442e-05	1.17113023436658e-05	7.44265804112217e-06	1.38985664092034e-05	8.90011292018267e-06	1.14958517219061e-06	5.72408207188875e-06	9.68050462534511e-07	6.00479861732985e-05	8.58079816346047e-05	1.39600463473539e-05	0.0002842369053523	6.02258469259724e-05	6.48347706783704e-05	6.10418698877434e-05	0.0001385043949175	0.000263526563057	3.36449055495742e-05	9.02095025487191e-05	5.82526534083628e-05	0.0002704644692221	0.0001001783174049	0.0001049741786341
Candidatus.Kaiserbacteria	1.64056258172052e-06	0.0005510463397557	1.13890398388614e-05	5.31883772757977e-06	1.20911674022127e-05	3.36128804557907e-05	0.0005174475653133	0.0001522968265148	1.11966141438829e-05	1.72839932938106e-05	5.19497868203391e-05	0.0002311441147058	5.21651130157173e-06	9.30948739169575e-07	0.0004816690520753	0.0004816668425132	3.01012002351907e-06	1.00493548942243e-05	3.13726948331496e-05	0.0003630503726536	0.0001205710602661	7.41256875157517e-06	1.44626834952968e-05	4.13850661988621e-05	0.0001731534826746	2.90415138760353e-06	0.0002166949066253	9.01605604131717e-05	5.58401853894155e-05	0.0023724415624396	2.00752823086575e-05	4.70574948472043e-05	4.10974965580847e-05	0.0001610113590916	0.0058578844104834	2.44690222178722e-05	7.81815688755566e-05	5.82526534083628e-05	0.0029998341762247	5.86758716229174e-05	0.0001262732873424
Candidatus.Nomurabacteria	1.64056258172052e-06	0.0025412960609911	0.0	1.77294590919326e-06	6.04558370110634e-06	1.12042934852636e-05	0.0004714522261744	9.51855165717984e-05	0.0	5.76133109793687e-06	4.08176896445521e-05	0.0001678836201547	1.73883710052391e-06	1.86189747833915e-06	0.002174391720797	0.0021743817462028	1.00337334117302e-06	6.28084680889016e-06	6.97170996292212e-06	0.0003326009865601	8.63348332770172e-05	9.26571093946896e-07	3.3375423450685e-06	2.9889214476956e-05	0.0001345159286893	9.68050462534511e-07	0.0003576771350322	6.09361028999367e-05	0.0003071210196417	0.0021851221119209	6.69176076955249e-05	7.11091033246643e-05	6.58768694828122e-05	0.0005020784315762	0.0104177412440037	5.96432416560634e-05	7.81815688755566e-05	0.0002213600829517	0.0011303511339843	2.00356634809962e-05	0.0002145124519914
Candidatus.Yanofskybacteria	3.28112516344105e-06	0.0003565593963125	1.62700569126591e-06	3.54589181838651e-06	8.06077826814179e-06	7.4695289901757e-06	3.83294492824727e-05	2.85556549715395e-05	3.19903261253797e-06	5.76133109793687e-06	3.71069905859565e-06	1.21654797213619e-05	3.47767420104782e-06	1.86189747833915e-06	0.0002935887555506	0.00029358740877	3.01012002351907e-06	6.28084680889016e-06	5.8097583024351e-06	2.8107125624798e-05	2.23279741233665e-05	2.77971328184069e-06	4.45005646009134e-06	3.44875551657184e-06	7.15510258986093e-06	1.93610092506902e-06	0.0001148744083315	3.29552393234352e-05	5.58401853894155e-05	0.0014081536084648	1.67294019238812e-05	1.46401095080191e-05	1.63181236333571e-05	8.91622042281929e-05	0.0088298406322955	7.64656944308505e-06	2.10488839280345e-05	5.24273880675265e-05	0.0021417099870578	2.14667823010673e-05	4.48802647783485e-05
Candidatus.Azambacteria	1.64056258172052e-06	0.0001361408604102	0.0	0.0	0.0	3.73476449508785e-06	7.66588985649454e-06	4.75927582858992e-06	0.0	0.0	0.0	2.43309594427237e-06	0.0	9.30948739169575e-07	0.0001146831076369	0.0001146825815507	0.0	1.25616936177803e-06	1.16195166048702e-06	4.68452093746633e-06	2.97706321644887e-06	0.0	0.0	0.0	2.86204103594437e-06	0.0	2.08862560602777e-05	8.70515755713381e-06	0.0	0.000375453333431	3.34588038477624e-06	6.27433264629391e-06	9.66999919013757e-06	2.16413117058721e-05	0.0015486901350646	3.05862777723402e-06	1.02237436221882e-05	0.0	0.0002320928576885	1.43111882007116e-05	1.59743315312766e-05
Candidatus.Falkowbacteria	0.0	0.0009529860228716	1.62700569126591e-06	0.0	8.06077826814179e-06	9.33691123771963e-06	0.000264473200049	8.09076890860287e-05	0.0	1.92044369931229e-06	2.04088448222761e-05	0.0001143555093808	0.0	1.86189747833915e-06	0.0009037028881793	0.0009036987426201	0.0	1.00493548942243e-05	6.97170996292212e-06	0.0001897230979673	6.40068591536507e-05	0.0	2.22502823004567e-06	1.83933627550498e-05	9.44473541861643e-05	0.0	0.0001775331765123	5.03655544377028e-05	0.0	0.0012933186409729	1.00376411543287e-05	3.86917179854791e-05	3.50537470642487e-05	0.0001904435430116	0.0016665071035282	3.67035333268083e-05	3.72865943868039e-05	5.82526534083628e-05	0.0005834297785157	2.86223764014231e-05	8.74784821950861e-05
Candidatus.Magasanikbacteria	1.64056258172052e-06	0.0009789176153307	1.13890398388614e-05	1.06376754551595e-05	2.21671402373899e-05	1.12042934852636e-05	0.0001303201275604	6.66298616002589e-05	9.59709783761391e-06	1.3443105895186e-05	1.11320971757869e-05	4.6228822941175e-05	8.69418550261956e-06	9.30948739169575e-07	0.0007981944291533	0.0007981907675934	1.20404800940763e-05	1.63302017031144e-05	1.51053715863313e-05	0.0001007172001555	5.8052732720753e-05	6.48599765762827e-06	1.11251411502283e-05	1.14958517219062e-05	4.43616360571378e-05	7.74440370027609e-06	0.0002193056886329	3.66860211336354e-05	0.0003210810659891	0.0021957097330372	6.02258469259724e-05	4.70574948472043e-05	4.41193713050027e-05	0.0001973687627575	0.0043549604468955	2.59983361064892e-05	4.20977678560689e-05	1.16505306816725e-05	0.0008761014402396	3.43468516817077e-05	9.28032593721783e-05
Candidatus.Nealsonbacteria	6.56225032688209e-06	0.0008038793662318	4.88101707379772e-06	3.54589181838651e-06	0.0	5.60214674263178e-06	0.0001226542377039	4.04538445430143e-05	1.59951630626898e-06	3.84088739862458e-06	1.29874467050848e-05	7.29928783281711e-05	1.73883710052391e-06	3.7237949566783e-06	0.0006651620242944	0.0006651589729945	3.01012002351907e-06	0.0	3.48585498146106e-06	0.0001358511071865	5.50756695043041e-05	9.26571093946896e-07	4.45005646009134e-06	1.03462665497155e-05	6.8688984862665e-05	9.68050462534511e-07	0.0001984194325726	2.11410969244678e-05	0.0	0.0012420094001786	6.69176076955249e-06	2.19601642620287e-05	1.32962488864392e-05	6.57895875858511e-05	0.0014844938026419	3.51742194381912e-05	1.68391071424276e-05	1.74757960225088e-05	0.0003165909733754	4.29335646021347e-06	3.72734402396454e-05
