#OTU ID	mgm4767414	mgm4767417	mgm4767418	mgm4767419	mgm4767420	mgm4767421	mgm4767422	mgm4767423	mgm4767424	mgm4767425	mgm4767427	mgm4767428	mgm4767429	mgm4767430	mgm4767431	mgm4767432	mgm4767433	mgm4767434	mgm4767435	mgm4767436	mgm4767437	mgm4767438	mgm4767439	mgm4767440	mgm4767441	mgm4767442	mgm4767443	mgm4767444	mgm4767445	mgm4767446	mgm4767447	mgm4767448	mgm4767449	mgm4767450	mgm4767452	mgm4767453	mgm4767454	mgm4767455	mgm4767456	mgm4767457	mgm4767458	mgm4767459	mgm4767460	mgm4767461	mgm4767462	mgm4767463	mgm4767464	mgm4767465	mgm4767466	mgm4767467	mgm4767468	mgm4767469	mgm4767470	mgm4767471	mgm4767472	mgm4767473	mgm4767474	mgm4767475	mgm4767476	mgm4767477	mgm4767478	mgm4767479	mgm4767480	mgm4767481	mgm4767483	mgm4767484	mgm4767485	mgm4767486	mgm4767487	mgm4767488	mgm4767489	mgm4767490	mgm4767491	mgm4767492	mgm4767493	mgm4767494	mgm4767495	mgm4767496	mgm4767497	mgm4767498	mgm4767499	mgm4767500	mgm4767501	mgm4767502	mgm4767503	mgm4767504	mgm4767505	mgm4767506	mgm4767507	mgm4767508	mgm4767509	mgm4767510	mgm4767511	mgm4767512	mgm4767513	mgm4767514	mgm4767515	mgm4767516	mgm4767517	mgm4767518	mgm4767519	mgm4767520	mgm4767521	mgm4767522	mgm4767523
Pseudomonadota	0.6921953152004239	0.65287681734402	0.6412899202020501	0.628073519707111	0.7073307952847192	0.632645345315922	0.6521638527149979	0.5511786326672671	0.6499116311970289	0.657185584463031	0.5726797613014971	0.672328580608629	0.702291306159296	0.68127176216725	0.656450526281141	0.606366093673346	0.6638853040241739	0.7100582452207729	0.703112910545823	0.627221683677828	0.652514214811546	0.618694530060168	0.7039362340656421	0.675892751179938	0.6674161542182471	0.6349511375622571	0.7113912313253191	0.691650895366608	0.657810205556849	0.7017057112378989	0.6819241831866479	0.61820729295586	0.6167408050694909	0.708708977904322	0.6198046314845059	0.601238594269906	0.6663330743272061	0.618464351879901	0.6426650946214539	0.660019008572312	0.6418488825644479	0.6765690094371442	0.6304541950713729	0.6322222926380521	0.633889280791007	0.660669091284733	0.6564939495575071	0.55333711652234	0.669734286211295	0.676128373308135	0.6730998720172701	0.69244233512181	0.6739612675412929	0.711060513454763	0.667509630238032	0.60492593189136	0.6499173493534979	0.666733704516753	0.723007761780975	0.706013777592798	0.678786694799054	0.6772207949302271	0.638282747224394	0.638681208373197	0.644706372402382	0.57492119932458	0.597992478356419	0.637076788645591	0.6412897836021421	0.6624151459580351	0.630512580520839	0.645047170228505	0.662765132114127	0.66006240568676	0.6850283041893349	0.637494452493624	0.6157214831961689	0.664680126384765	0.7248117832662719	0.7179458875018481	0.668906347916394	0.668485783151404	0.7163266605093589	0.669991180601679	0.5957989954863211	0.6427367876293371	0.7052225497300469	0.674263534417421	0.6601807063528471	0.6669633804145351	0.692619128873895	0.693524071773536	0.7114660453323158	0.6713783753270601	0.66743107090525	0.6566262621012751	0.66364908447506	0.639882655455797	0.6302838237409979	0.6632597286791609	0.650802818057302	0.6034487516145121	0.664558880602872	0.6921576221868929	0.6656960800435731
Actinomycetota	0.199439377127786	0.24461778289743	0.21592902320454602	0.21247694689042101	0.17185991043281498	0.23956208283132102	0.18474491872322601	0.31306809500365	0.18708541815460197	0.162909861457121	0.30958604764545	0.160236172879566	0.154504540388576	0.174151223013829	0.167468279839384	0.209373004931695	0.207054117795769	0.15792206595254998	0.151966413074206	0.215229419374639	0.18372870443212197	0.203575530582879	0.172830079093982	0.19174515168021303	0.196097917672992	0.20305084627367198	0.15824130243169002	0.14298816196199202	0.165476976450852	0.17543856325765197	0.16131386721628	0.212841476373972	0.215298442605288	0.169723411841948	0.20097038254229602	0.231167723115584	0.20434324637588103	0.171046883519819	0.18161503746220897	0.198568917730375	0.158825894487394	0.214703405292202	0.24486874965755398	0.206855963254239	0.17515074392797597	0.159786130163519	0.17755966819792698	0.309572023494525	0.164019192856314	0.16847398627053198	0.18333118999230102	0.14204016607739098	0.17233560551088697	0.144178535395549	0.16046639988517902	0.20714835147466398	0.187033923330687	0.19360324834481002	0.17032331470715	0.17811761140072196	0.177795732170978	0.21264593871418103	0.20947561827966898	0.218686963609985	0.19189865743344	0.306380709958003	0.243574954671967	0.156094283282107	0.205821233299459	0.19134335634409805	0.17885901442877103	0.15372184370552402	0.15707270043083998	0.17272939069534599	0.15725621261865602	0.15485073373167302	0.176145709473418	0.184077421474172	0.166847930111344	0.17172245928083799	0.240539906155267	0.180741974704732	0.174037266155484	0.17612556210054103	0.24560363630448104	0.19497355275774803	0.179718593053178	0.19408256345985997	0.19766361450265305	0.243169774258335	0.20090263775409803	0.19712249998852	0.146859323234174	0.186464558034267	0.180441335277371	0.16686902188397598	0.188086327693286	0.186086544751257	0.24618130413990502	0.186583445097621	0.25116182930068	0.22762486406351504	0.16344354447915801	0.20169526182461198	0.18553254811901201
Chloroflexota	0.00166545398299507	0.00139670012305074	0.008163813505289759	0.00220491082767474	0.00160239277174269	0.0062308295471262395	0.00277058545600331	0.002364905013327	0.00271543191151205	0.00371146009234415	0.00266432630273891	0.0054274589146990895	0.00129470874652494	0.00757558321051251	0.00361754554311305	0.0082235418186568	0.00463370754356837	0.00136211361521124	0.00128872041464854	0.0021918237462939	0.00229558280194349	0.0035056281932372897	0.00232444684402743	0.0027478630267878603	0.0026520767640487	0.004557583631956521	0.0013663440955788099	0.0037090636856936202	0.00571465518852603	0.00226702011406137	0.0035380414085569	0.00293703024366739	0.00281949441797394	0.00155098651839916	0.00353367203155645	0.00792798948335113	0.00464889248916848	0.00634512303615672	0.00627180537797021	0.0021720960569111	0.00484852558509162	0.0013838377025734698	0.00844372114305599	0.00461138467885201	0.00707384796235337	0.0025656187495881303	0.00461618647408817	0.00230429529007147	0.00545307607561174	0.00398300491926294	0.0031049430311185	0.0038449870232184296	0.0038608204284016397	0.00114738738235845	0.00360036205906161	0.00850229030845028	0.00229113701801651	0.00274674698832458	0.0014000732212878198	0.00204451087129602	0.007522050937582	0.00139829858369325	0.0022361869726534303	0.008117503105031659	0.006297562938373229	0.0027215628724927897	0.0038765450721847104	0.00253091461652086	0.00223243287052912	0.005396355875602461	0.00701016249492644	0.00489125570413599	0.0025247808140761102	0.0046773142257044206	0.00360724230328129	0.0025249005977429	0.00622912676208762	0.00521574882108603	0.0013790009971238	0.00144927073126733	0.0013509832881972198	0.00538518915245731	0.00139250397471351	0.006967324673627821	0.00372740396908457	0.0062305929513253	0.00201318934152508	0.0026706943769063698	0.00214916881516478	0.0013417475986947	0.0016557845090540099	0.00168069814612674	0.00115732601730294	0.00309646375915982	0.00531834824691214	0.00557569706789405	0.0017903466437161398	0.00622946654221033	0.00593921266551188	0.0056170787355962395	0.00133373976756787	0.00814277025798543	0.00361602195822494	0.0016525814078911698	0.00175589599886695
Bacillota	0.00616369493403369	0.00682733161914973	0.0105696391107214	0.00770277294636687	0.005969797676429379	0.00929866672615043	0.00752600911357641	0.00739478464594333	0.00781486992564147	0.0108551147560117	0.00664583455752519	0.010185591672870002	0.00521828453508961	0.00858992122769018	0.0106300955030592	0.0161276195674021	0.00863503405449955	0.00541944705716804	0.00506371023346605	0.00775536165091814	0.007075426444346371	0.0108944197576224	0.00633346703618776	0.00700172540236566	0.00971172914925746	0.00971939898153775	0.00534455110400047	0.0111340217452682	0.0104740895725349	0.00660192059746659	0.00907666075334562	0.00906263130948813	0.00936533056960818	0.00575351651245926	0.0106997201853801	0.01141255394141	0.00825420743338145	0.0124479045429471	0.0114353896941637	0.00613310565784278	0.0101015731272826	0.007256760519293659	0.00843744732607829	0.00992917019698896	0.0120807140521378	0.00869157896424163	0.0106119474566696	0.00723401977773705	0.0105125826278557	0.00888976126288875	0.00816781405608665	0.0106760633177993	0.009196451521081221	0.00457624838342014	0.00846420621055231	0.015961786545962	0.0074421067475450905	0.009798613141584459	0.00542264744166226	0.00570469872360146	0.00877069737375855	0.0068549507352248604	0.007529814166917229	0.0109314103905031	0.0103088699098546	0.00650086647940888	0.0119952912085799	0.00770279802804127	0.00735091864662498	0.0113883639967505	0.0125830816290209	0.00995409096971461	0.00852866740984002	0.0101140250956582	0.00892625164353255	0.00755425015682023	0.012781999364431001	0.011095838898326	0.0052367067451216795	0.00529598210096906	0.0046645571161898795	0.009470767644190971	0.00546946309542833	0.009428045686660929	0.0126321286705189	0.0105105287025274	0.00578556456585817	0.00732425403772746	0.00603703375802501	0.00481516946259356	0.00587944618712105	0.00598968188560178	0.00470952949274752	0.00843967936744989	0.0106417868661123	0.0108794383932613	0.006689088201450421	0.0119402483596858	0.00903316304585065	0.0116748235999657	0.00661262722521469	0.0111969705961398	0.00877724167080087	0.0059895933351473	0.00648509971702247
Cyanobacteriota	0.00162126073856381	0.00134237175598504	0.00333610699007813	0.00222278536628822	0.00199919981458749	0.00256551943015313	0.00219651384170665	0.00214123219530414	0.00219501121985925	0.00251632091125832	0.00184341475930303	0.00381522271636986	0.00136164572319804	0.0027570714604653198	0.0025806899418924396	0.0049372640408509	0.00238386945272707	0.001671320194831	0.00136846741058368	0.00225339726233187	0.00200750235048065	0.00305336440279189	0.0023281646370958897	0.00211156384749512	0.00219711225915381	0.00302534979078913	0.0017017384026250099	0.0035729053011604897	0.00920517647843277	0.00232740136840498	0.0029302515170826103	0.00248672384888635	0.00258513330264939	0.00199830966877008	0.00307917412549323	0.00442757609029667	0.0022998988837559698	0.0343690510734773	0.00450768031717074	0.00173986229712331	0.00353741541208164	0.00157406782914568	0.0029127240955142603	0.0030375236089251897	0.00358276857911956	0.00251619429953532	0.00337424932955133	0.0021221067376800302	0.00380196857242259	0.00367971985214419	0.00252904882268804	0.00352096457036846	0.00369717816581793	0.00126099225240952	0.00259439270821527	0.00496032791376458	0.00195572072999174	0.0022109598634078	0.0015988089914011	0.0019783463594144103	0.0027548242949963	0.00149663265058293	0.00210647049134953	0.00336783997751706	0.00279693794359817	0.0018354022190350898	0.00326945999745631	0.0022083763163407897	0.0019952742847524	0.0030982365736393	0.00360879324053884	0.0035798218190476	0.00252440420595945	0.00328745830654548	0.0028583032183057398	0.00220731590094279	0.034260655754995	0.00342111974135211	0.00160957276147806	0.00144055593432645	0.0012303004670093	0.00406382161683315	0.0014832384909360301	0.0032631773787877103	0.0035230140916392397	0.0028433381681476897	0.00202166658922021	0.0021332144098379197	0.00178899915312062	0.00124204562813267	0.0016056876197886	0.00158075306189869	0.0012945015871758199	0.00256366072000375	0.0034050954626603	0.00923622136230488	0.0017589323023652	0.004551090970370921	0.00251843654077114	0.00307240471380747	0.0013408761546292	0.004379829123539	0.00259825074397744	0.0016160677433960302	0.00172381507318729
Candidatus Melainabacteria	1.10483111078142e-05	1.20284207525541e-05	4.0755772576613895e-05	2.76767049498922e-05	2.02194671513273e-05	2.00475324170011e-05	2.48673388126392e-05	1.8674770385209602e-05	2.80753267865323e-05	2.6114523912243498e-05	1.6290236156062802e-05	4.1355703587766295e-05	8.907962675127361e-06	4.08876242909314e-05	3.1842701348735196e-05	3.9996294014276095e-05	2.10672601338062e-05	1.04920396278165e-05	1.14244291929559e-05	1.99872146301253e-05	2.42509908261966e-05	5.0986709594103e-05	2.14805821733475e-05	2.9213161746581897e-05	1.50627827053237e-05	4.50554286552526e-05	1.273063277263e-05	2.82335111740951e-05	3.0813574339263504e-05	2.01270847812008e-05	3.5212008825966604e-05	2.86819359733143e-05	2.57146223758879e-05	1.95260105320638e-05	4.23017531617281e-05	2.3333154299067604e-05	2.2973812057223e-05	4.54390367561949e-05	4.47006099199062e-05	1.7726440710398e-05	4.0165300704901e-05	1.8677139699816898e-05	3.47151206099488e-05	3.9154789377507504e-05	5.299953519407629e-05	2.49348576842998e-05	4.21447742347123e-05	2.5520575432263602e-05	3.5515481850864e-05	3.1613907339984996e-05	3.39752312140838e-05	3.8120288570584496e-05	3.20787561888651e-05	1.35191975876518e-05	1.9586380594199397e-05	4.47825674636207e-05	3.08570642157106e-05	1.62437867515675e-05	1.6493716975387602e-05	1.4276160240015198e-05	4.4191782583744204e-05	1.3624599629292402e-05	2.8162130809399603e-05	4.10582698257466e-05	2.47162807231548e-05	1.96812445813496e-05	5.4349272828912895e-05	1.59114474908973e-05	2.5685945672978e-05	3.92877013019437e-05	4.4173626680358396e-05	3.67923183299684e-05	2.7115784399385398e-05	3.9570434038754105e-05	3.67416458682707e-05	1.7237807829996698e-05	5.45690580601021e-05	4.2358778856918105e-05	2.09822636925007e-05	1.59771277249354e-05	1.52791094714978e-05	3.5898843585837606e-05	1.9975136034062e-05	2.14133539482232e-05	4.2963586483405394e-05	3.0722418191825605e-05	1.97802446219713e-05	2.50581876538673e-05	1.49791231266035e-05	1.5634499239804502e-05	1.15246364976771e-05	1.4586579860309199e-05	9.90437327602003e-06	3.66425881947484e-05	4.2540968406968e-05	3.02173047252008e-05	2.5998075600779e-05	5.45983920773533e-05	3.19312508898488e-05	3.45743752960431e-05	1.78409676533062e-05	2.83496318516808e-05	1.90809601539149e-05	9.19603402099833e-06	2.11496472999267e-05
Candidatus Margulisbacteria	6.31332063303666e-06	5.01184198023089e-06	1.2041478261272301e-05	8.93726930673602e-06	6.57132682418137e-06	6.77663067616938e-06	7.581505735560719e-06	1.23083713902518e-05	6.505258645659929e-06	1.4656110358912198e-05	7.56332392960058e-06	1.24067110763299e-05	5.59929082436577e-06	8.12336906442346e-06	8.58679586932185e-06	5.56910422983592e-06	9.80717282090977e-06	6.78896681799891e-06	7.16826929754097e-06	8.05936073795375e-06	6.662360117086979e-06	1.67360955156216e-05	6.81595395885064e-06	7.30329043664548e-06	7.18905538208631e-06	1.11765404416131e-05	6.943981512343621e-06	6.37530897479567e-06	1.11130923846524e-05	7.10367698160029e-06	1.0716698338337598e-05	8.03094207252801e-06	9.43954492279429e-06	8.875459332756281e-06	1.2460981551516802e-05	2.64148916593219e-06	6.92361459258777e-06	9.96470104302519e-06	1.32774088871009e-05	6.07069887342399e-06	7.37730012947162e-06	5.53396731846425e-06	6.2738169777016e-06	1.49353320305956e-05	1.8019841965985998e-05	1.46937554211052e-05	1.17365194071351e-05	9.570215787098849e-06	9.42247477675983e-06	8.68513937911676e-06	4.21180552240709e-06	8.73589946409228e-06	1.0557565327980901e-05	3.7068767579045303e-06	9.311557987406281e-06	3.7632409633294703e-06	6.78855412745634e-06	1.23762184773848e-05	9.73399690350743e-06	6.03991394769874e-06	4.57156371555974e-06	1.09589170931265e-05	1.39388324208139e-05	1.0972468660328801e-05	1.23581403615774e-05	3.78485472718262e-06	1.55283636654037e-05	9.613166192417129e-06	8.47885585321604e-06	5.06938081315403e-06	1.66451346911495e-05	4.952812082880359e-06	1.2428067849718301e-05	7.55839751302045e-06	1.2137865152910901e-05	7.88848832898152e-06	1.0088397288422198e-05	9.94134605825629e-06	7.69349668725027e-06	9.005290172236341e-06	3.98585464473856e-06	1.2328895776954301e-05	8.80260232009512e-06	7.621702252757421e-06	1.9187621147928602e-05	1.2981303461334801e-05	4.0816377791369304e-06	5.08426995875568e-06	6.483501054798549e-06	5.3823685907523695e-06	6.35030990688329e-06	6.212802533094651e-06	4.70457730610951e-06	6.6022681431979106e-06	6.90836239087514e-06	6.04346094504016e-06	7.85358533773531e-06	1.4174582558543699e-05	6.01058840279507e-06	7.85781256728252e-06	4.3328064300886395e-06	6.0479214616919005e-06	1.3320670296129302e-05	6.22084654361652e-06	5.94091216290076e-06
Deinococcota	0.0013867208770465	0.0010534891842445301	0.00233604678268682	0.00159314032867817	0.00124981581329142	0.00185877332255096	0.0015496597723486099	0.00298796326163353	0.00154277344512335	0.0019196839822836899	0.00160604274674326	0.0027084804642018697	0.00112062170453102	0.0020622526264883	0.0019187910936322103	0.00294251216216421	0.0018757126091547398	0.00119897268531205	0.0010927130510439	0.00157963470463894	0.00147424704670901	0.00169034564707778	0.00174343840505025	0.00159789908678439	0.0017294813233476199	0.0018322540986469397	0.00121866875541631	0.0019781672990366	0.00248933269416214	0.00179131054552687	0.0018578162047961102	0.00174242761037885	0.00175380234634537	0.0012103907665046401	0.0016700994484704	0.00273085954937956	0.00183664612556101	0.00244454045987494	0.00267672563163953	0.00136663573038521	0.00212261318725186	0.00100579856013088	0.0020268611382628	0.00188709938494688	0.0025588175591700103	0.00172139571084827	0.0022651482455770698	0.00295648777334043	0.0027129479299547697	0.00181206748005892	0.00162856480199741	0.00193778133567138	0.00191051326415962	0.00105580572128081	0.00204629513978415	0.00291425380200235	0.00148453335941784	0.00176670518764668	0.00114780046820525	0.00151190027772622	0.0020425746681120896	0.00103428482403237	0.00176966278550782	0.0023120053319118697	0.00197512160955328	0.001568191475296	0.00196359855778474	0.0018155624564092602	0.0017917817442752101	0.00198043810433884	0.0025575889650439397	0.00208654897605917	0.0016841914976951599	0.0023164265319315603	0.00186267022535751	0.0017696508818015198	0.0024060827532887	0.00207298676936509	0.00117827067446554	0.00111375104904368	0.0010418581168608301	0.00199945680335665	0.00115280234230477	0.00220557545666699	0.0019579716014864602	0.0020194581084683103	0.0015315560835869198	0.0015873817135515	0.0013834449836928801	0.0010718602593584	0.00130110794092142	0.00136195436399405	0.0010659581738316599	0.00161326422079041	0.00210305095099062	0.0024741929108994397	0.00138385589916646	0.00269684557789773	0.00187380093457136	0.00199116970454939	0.00102024847880264	0.00276881404418082	0.0019995406168838398	0.00133694106369985	0.00139254981098394
Armatimonadota	0.00032418901450643	0.00030471999239802997	0.00054711537125575	0.00039641113860522	0.00029116032697911	0.00040518604251262003	0.00040121328352587003	0.00039599001748637	0.00041359749705037	0.00047885509663573	0.00041976447809282996	0.00054144159620291	0.00026851144635026	0.0005090644613705299	0.00049230962984111	0.00079131908283941	0.00041444385883917997	0.00027814191327074	0.00027732241844861	0.00040973789991756	0.00039254625809876	0.00050597498070483	0.00040854414941232	0.00042602527547097997	0.00045256815310086	0.00053472760675342	0.00027799072654415	0.00044171783611084	0.0005612111654249401	0.00039496444017697	0.0005297110892949701	0.00047181784676102	0.00048727581894562004	0.00029355581743091	0.00051483529041793	0.00069074941689126	0.0004204522316226	0.00064172674717082	0.00056119181562813	0.00035841406148695	0.00051067310896231	0.00025248725890492996	0.00040236079550326	0.00053807561072389	0.00058617485924648	0.00046263066310690994	0.0004924003369448	0.00038209972661083	0.00053635625652325	0.00048358856062922004	0.00059835717121663	0.00048404824757856	0.00048646012549695997	0.00026449655925518	0.00044663369518903	0.0007842594167578599	0.00038849043847579	0.00044373899999122996	0.00039098220895753997	0.00035168771668191	0.0005181105544301	0.00024820466281189	0.00044405137569164006	0.00057800133297796	0.00048669264541623	0.00039488650986938	0.00044403725624165993	0.00050684590028295	0.00045760883796033	0.0005056707361121099	0.00059346307148829	0.00047900768287285	0.00045569582115633	0.00051574947735904	0.0005501405367954401	0.00051596556996227	0.00061951930621174	0.00051867892477858	0.00039003696841726003	0.00046595114310539004	0.00028321711614559	0.00050077073729335	0.00045570395087877	0.00054839962399602	0.000455080318965	0.00047814467749249	0.00034568332267921	0.00040165732674169	0.00037157168114052003	0.00029013529736817003	0.00033021611515793	0.00032576695021357	0.00024488562924959	0.0005912331122233701	0.0005486694130437099	0.0005934678648029401	0.00030845633447174	0.00056803327142015	0.00035913265706699995	0.0005597905672932	0.00028290677278814	0.0007136547324796401	0.00043094168498558	0.00035837485523007996	0.00033078998923031003
Mycoplasmatota	0.00014804736884471	0.00012268989167605	0.00029023050168194	0.00015423997029367	0.0001741401608408	0.00014795643642969	0.00019560284797746002	0.00016043325467293002	0.00021707020954465	0.00015402239613547	0.00013875790440074	0.00024208992638683998	0.00012140280560101999	0.00016003037056914	0.00015957128990488998	0.0001437841455703	0.00029421518462729	0.00013701369396325	0.0001023718459055	0.00015312785402112	0.00019853833148919	0.00027205885500975	0.00014416775343265	0.00014150125221	0.00016534827378798	0.00022353080883226	0.00014142575680138998	0.00026320918481656	0.00018639686772438998	0.00015249226587168	0.00021280300986127	0.00025068012040676	0.0002398946416586	0.00014955148975694	0.00024036577571741002	0.00021572161521778998	0.00024138238147794	0.00027183704445372004	0.00028723461225761	0.00016026645025838998	0.00021353185374748	0.0002068320285276	0.00021414628617221	0.00022402998045893	0.00041339637451379	0.00023242849484292997	0.00023526386629757002	0.00014851557091831002	0.0002616548764931	0.00020670631722297	0.00017773819304557	0.00023507511285192998	0.00022658159434666	0.0001046647555173	0.00015155363345019	0.00015918509274883	0.00023945081831391	0.00014954597326838999	0.00012464923812547	0.00014083981159861	0.00016061427187333	0.00018955964701624	0.00015275822469341	0.00032280294897483	0.00027478688568683	0.00011480726005787	0.00069581858138785	0.00018430760010289	0.00013640982799144	0.0001647548764275	0.00046030199395909004	0.00021403223643875	0.00022106896447832	0.00022363964406172003	0.00020634370759948	0.0001653660886742	0.00032007733215085	0.00037258436096595	0.0001142367689925	9.81867122005124e-05	0.0001244472394635	0.00024258915514066	0.00011477239178893	0.00025224205074601	0.00074664873597374	0.00033102323826403	0.00015416031919663	0.00015398074732231	0.00015113264527737	0.0001286642396456	0.00013312131138133	0.0001334401935369	0.00011117659002331999	0.00019245611637421002	0.00033923695319402	0.00019762117290281	0.00014217697594176	0.00032286549161127	0.00016228588687546	0.00014741256376222	0.00012769035420436998	0.00019844742296176002	0.0001893695290747	0.00014605465798056002	0.00013711625271975
