"samples","Pseudomonadota","Actinomycetota","Chloroflexota","Bacillota","Cyanobacteriota","Candidatus Melainabacteria","Candidatus Margulisbacteria","Deinococcota","Armatimonadota","Mycoplasmatota","Thermomicrobiota","Candidatus Kaiserbacteria","Candidatus Nomurabacteria","Candidatus Yanofskybacteria","Candidatus Azambacteria","Candidatus Falkowbacteria","Candidatus Magasanikbacteria","Candidatus Nealsonbacteria","Candidatus Uhrbacteria","Candidatus Giovannonibacteria","Candidatus Moranbacteria","Candidatus Zambryskibacteria","Candidatus Staskawiczbacteria","Candidatus Wolfebacteria","Candidatus Harrisonbacteria","Candidatus Taylorbacteria","Candidatus Buchananbacteria","Candidatus Portnoybacteria","Candidatus Adlerbacteria","Candidatus Sungbacteria","Candidatus Jorgensenbacteria","Candidatus Liptonbacteria","Candidatus Tagabacteria","Candidatus Ryanbacteria","Candidatus Wildermuthbacteria","Candidatus Komeilibacteria","Candidatus Kuenenbacteria","Candidatus Lloydbacteria","Candidatus Kerfeldbacteria","Candidatus Terrybacteria","Candidatus Yonathbacteria","Candidatus Niyogibacteria","Candidatus Campbellbacteria","Candidatus Colwellbacteria","Candidatus Vogelbacteria","Candidatus Spechtbacteria","Candidatus Brennerbacteria","Candidatus Andersenbacteria","Candidatus Jacksonbacteria","Candidatus Parcubacteria","Candidatus Veblenbacteria","Candidatus Woesebacteria","Candidatus Gottesmanbacteria","Candidatus Roizmanbacteria","Candidatus Levybacteria","Candidatus Daviesbacteria","Candidatus Curtissbacteria","Candidatus Shapirobacteria","Candidatus Beckwithbacteria","Candidatus Amesbacteria","Candidatus Chisholmbacteria","Candidatus Collierbacteria","Candidatus Woykebacteria","Candidatus Pacebacteria","Candidatus Blackburnbacteria","Candidatus Microgenomates","Candidatus Gracilibacteria","candidate division NC10","Candidatus Rokubacteria","Candidatus Handelsmanbacteria","Candidatus Schekmanbacteria","Candidatus Aminicenantes","Candidatus Glassbacteria","candidate division WWE3","Candidatus Peregrinibacteria","Candidatus Doudnabacteria","Candidatus Berkelbacteria","Candidatus Gribaldobacteria","Candidatus Saccharibacteria","Candidatus Eisenbacteria","Candidatus Desantisbacteria","Candidatus Edwardsbacteria","Candidatus Lindowbacteria","Candidatus Ratteibacteria","Candidatus Dadabacteria","Candidatus Firestonebacteria","Candidatus Raymondbacteria","Candidatus Riflebacteria","Candidatus Wallbacteria","candidate division CPR1","Candidatus Coatesbacteria","Candidatus Bipolaricaulota","Candidatus Blackallbacteria","candidate division CPR2","Candidatus Fraserbacteria","Candidatus Fischerbacteria","Candidatus Sumerlaeota","candidate division WOR-3","Candidatus Wirthbacteria","Candidatus Abawacabacteria","Candidatus Absconditabacteria","candidate division CPR3","Candidatus Delongbacteria","Candidatus Calescamantes","Planctomycetota","Candidatus Omnitrophica","Verrucomicrobiota","Lentisphaerota","Chlamydiota","Kiritimatiellota","Thermodesulfobacteriota","Nitrospirota","Campylobacterota","Bacteroidota","Ignavibacteriota","Chlorobiota","Balneolota","Gemmatimonadota","candidate division Zixibacteria","Candidatus Marinimicrobia","Candidatus Hydrogenedentes","Fibrobacterota","Candidatus Cloacimonetes","Elusimicrobiota","Acidobacteriota","Myxococcota","Nitrospinota","Candidatus Tectomicrobia","Spirochaetota","Bdellovibrionota","Synergistota","Caldisericota","Fusobacteriota","Thermotogota","Atribacterota","Chrysiogenota","Aquificota","Calditrichota","Deferribacterota","Dictyoglomota","Coprothermobacterota","Nitrososphaerota","Candidatus Bathyarchaeota","Thermoproteota","Candidatus Korarchaeota","Euryarchaeota","Candidatus Woesearchaeota","Nanoarchaeota","Candidatus Micrarchaeota","Candidatus Diapherotrites","Candidatus Altiarchaeota","Candidatus Aenigmarchaeota","Candidatus Huberarchaea","Candidatus Nanohaloarchaeota","Candidatus Thermoplasmatota","Candidatus Heimdallarchaeota","Candidatus Lokiarchaeota","Candidatus Odinarchaeota","Candidatus Thorarchaeota"
"mgm4718329",0.100357437448447,0.0208963431399505,0.00384932636788562,0.170195215837228,0.00494913390156723,0.00687379708551004,0.0002749518834204,0.0005499037668408,0,0.0107231234533957,0.0002749518834204,0.0002749518834204,0.0005499037668408,0.0005499037668408,0,0.0002749518834204,0.0002749518834204,0,0,0.0002749518834204,0.0005499037668408,0,0.0002749518834204,0,0,0,0.0002749518834204,0,0,0,0,0,0,0,0,0.0002749518834204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002749518834204,0.0002749518834204,0.0005499037668408,0,0.0002749518834204,0,0,0.0002749518834204,0,0.0002749518834204,0,0,0,0.0002749518834204,0,0.0002749518834204,0,0.0002749518834204,0,0,0,0,0,0.00109980753368161,0.0002749518834204,0,0,0.00192466318394281,0,0,0,0,0.0002749518834204,0,0,0,0.0002749518834204,0,0,0,0,0,0,0,0,0,0,0,0,0.00577398955182843,0,0,0,0.00494913390156723,0.0008248556502612,0.00824855650261204,0.00714874896893044,0.00109980753368161,0.0008248556502612,0.00494913390156723,0.0005499037668408,0.00302447071762442,0.572724773164696,0.0005499037668408,0.0005499037668408,0,0.0002749518834204,0.0002749518834204,0.0002749518834204,0,0.00577398955182843,0,0.00467418201814682,0,0.0008248556502612,0,0,0.0332691778938686,0.0002749518834204,0.00247456695078361,0,0.00219961506736321,0.00137475941710201,0,0,0.0005499037668408,0,0,0,0,0,0,0.0002749518834204,0,0.00164971130052241,0,0,0,0,0,0,0,0,0.00549903766840803,0,0,0,0
"mgm4718330",0.0803486829638052,0.0185711578548418,0.00170551449687322,0.127724085654728,0.00416903543680121,0.00871707409512981,0.00018950161076369,0.00113700966458215,0.00018950161076369,0.00852757248436612,0,0,0,0.00037900322152738,0,0.00018950161076369,0.00037900322152738,0,0,0,0.00018950161076369,0,0,0,0,0,0.00037900322152738,0.00018950161076369,0,0,0,0,0,0,0.00018950161076369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037900322152738,0,0,0,0,0.00018950161076369,0,0,0.00018950161076369,0,0,0,0,0,0,0,0.00018950161076369,0,0.00018950161076369,0,0,0.00056850483229107,0,0,0,0.00151601288610953,0,0,0,0,0.00018950161076369,0,0,0,0.00018950161076369,0.00018950161076369,0,0,0,0,0,0,0,0,0,0,0,0.00246352093992799,0,0,0,0.00397953382603752,0.00075800644305476,0.00473754026909229,0.00587454993367444,0.00037900322152738,0.00094750805381845,0.00341102899374645,0.00018950161076369,0.0022740193291643,0.676141747204851,0.00018950161076369,0.00018950161076369,0,0.00018950161076369,0,0,0,0.00776956604131135,0.00018950161076369,0.00322152738298276,0.00037900322152738,0.00037900322152738,0.00018950161076369,0,0.0204661739624787,0.00037900322152738,0.00113700966458215,0,0.00075800644305476,0.00094750805381845,0,0,0.00018950161076369,0,0,0,0,0,0,0.00037900322152738,0,0.00056850483229107,0,0,0,0,0,0,0,0,0.0043585370475649,0,0,0,0
"mgm4718331",0.0562877965576058,0.0212436036594821,0.00232594200651264,0.184679795317103,0.00434175841215692,0.00527213521476198,0,0.00093037680260505,0.00015506280043417,0.00790820282214297,0.00015506280043417,0.00015506280043417,0,0.00031012560086835,0,0.00015506280043417,0.00046518840130252,0,0,0,0,0,0,0,0,0,0.00015506280043417,0.00046518840130252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015506280043417,0,0,0,0,0,0,0,0,0,0.00046518840130252,0.00015506280043417,0.00015506280043417,0,0,0,0.00015506280043417,0.00015506280043417,0,0,0.00015506280043417,0,0,0,0.00015506280043417,0.00015506280043417,0.00015506280043417,0.00015506280043417,0.00015506280043417,0,0,0,0,0.00015506280043417,0,0.00031012560086835,0,0.00155062800434176,0,0,0,0,0.00015506280043417,0,0.00015506280043417,0,0.00015506280043417,0,0,0,0,0,0,0,0,0,0,0,0.00015506280043417,0.00294619320824934,0,0,0,0.0044968212125911,0.00031012560086835,0.00341138160955187,0.0044968212125911,0,0.00077531400217087,0.00604744921693286,0.0006202512017367,0.00186075360521011,0.648007443014421,0.00015506280043417,0.00031012560086835,0.00015506280043417,0.00015506280043417,0.00015506280043417,0,0,0.00558226081563033,0,0.00186075360521011,0.00108543960303923,0.00031012560086835,0,0,0.0196929756551403,0.0006202512017367,0.00201581640564429,0,0.00015506280043417,0.00077531400217087,0.00015506280043417,0.00015506280043417,0.00015506280043417,0,0,0,0,0,0,0,0,0.00108543960303923,0,0,0,0,0,0,0,0,0.00263606760738099,0,0,0,0
"mgm4718332",0.0876308646762311,0.0255913144629701,0.00155098875533152,0.26250484683986,0.00736719658782474,0.00542846064366033,0.00038774718883288,0.00155098875533152,0,0.0120201628538193,0,0,0,0,0.00038774718883288,0,0.00077549437766576,0,0.00038774718883288,0,0.00077549437766576,0,0,0,0,0.00038774718883288,0,0,0,0.00038774718883288,0,0,0.00038774718883288,0,0,0,0.00038774718883288,0,0.00038774718883288,0,0,0,0,0,0.00038774718883288,0,0,0,0,0,0,0.00155098875533152,0,0.00038774718883288,0,0,0.00038774718883288,0,0.00038774718883288,0,0,0.00155098875533152,0,0,0,0,0,0,0,0,0,0,0,0,0.00038774718883288,0.00038774718883288,0,0,0.00232648313299729,0,0,0,0,0.00038774718883288,0,0.00038774718883288,0,0.00038774718883288,0,0,0,0,0,0,0,0,0,0,0,0,0.00697944939899186,0,0,0,0.00426521907716169,0.00038774718883288,0.0120201628538193,0.0112446684761535,0.00155098875533152,0.00310197751066305,0.0081426909654905,0.00038774718883288,0.00232648313299729,0.452888716556805,0,0,0,0,0,0,0,0.0112446684761535,0,0.00348972469949593,0.00077549437766576,0.00155098875533152,0,0,0.0411012020162854,0.00038774718883288,0.0019387359441644,0,0.00348972469949593,0.0019387359441644,0,0,0.00116324156649864,0,0.00038774718883288,0,0,0,0,0.00116324156649864,0,0.00077549437766576,0,0.00038774718883288,0,0,0,0,0,0,0.00969367972082202,0,0,0,0
"mgm4718333",0.0754147812971342,0.0129713423831071,0.00120663650075415,0.10316742081448,0.00452488687782805,0.00542986425339366,0.00030165912518853,0,0,0.0135746606334842,0,0,0.00030165912518853,0.00030165912518853,0,0,0.00060331825037707,0,0,0,0,0,0,0,0,0,0.00030165912518853,0,0,0.00030165912518853,0,0,0,0,0,0.00030165912518853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030165912518853,0,0,0,0,0,0,0.00060331825037707,0.00030165912518853,0,0,0,0,0.00030165912518853,0,0,0,0,0,0,0,0.00060331825037707,0,0,0,0.00060331825037707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030165912518853,0,0,0,0,0,0.00422322775263952,0,0,0,0.00271493212669683,0.00030165912518853,0.00784313725490196,0.00633484162895928,0.00030165912518853,0.0024132730015083,0.00452488687782805,0,0.00120663650075415,0.686274509803922,0,0.00030165912518853,0,0,0.00030165912518853,0,0,0.0102564102564103,0,0.00301659125188537,0.00060331825037707,0.00090497737556561,0,0,0.0349924585218703,0.00060331825037707,0.00150829562594268,0,0.00060331825037707,0.0024132730015083,0.00030165912518853,0,0.00030165912518853,0,0,0,0,0,0,0,0,0.00060331825037707,0,0,0,0,0,0,0,0,0.00542986425339366,0,0,0,0
"mgm4718334",0.0695431472081218,0.0233502538071066,0.0050761421319797,0.294416243654822,0.00964467005076142,0.00609137055837563,0,0.00152284263959391,0.00050761421319797,0.017258883248731,0.00050761421319797,0.00050761421319797,0.00050761421319797,0.00050761421319797,0,0.00050761421319797,0.00050761421319797,0,0,0,0.00203045685279188,0,0,0.00050761421319797,0,0,0,0.00050761421319797,0,0,0,0,0.00101522842639594,0,0,0.00050761421319797,0,0.00050761421319797,0,0,0.00050761421319797,0,0,0,0,0,0,0,0,0,0,0.00152284263959391,0.00050761421319797,0.00152284263959391,0.00050761421319797,0,0.00050761421319797,0.00050761421319797,0.00050761421319797,0,0.00101522842639594,0,0,0,0,0,0,0,0,0,0,0.00050761421319797,0,0,0,0,0,0,0.00253807106598985,0,0,0.00050761421319797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304568527918782,0,0,0,0.0065989847715736,0,0.00862944162436548,0.00964467005076142,0.00050761421319797,0.00152284263959391,0.00812182741116751,0.00101522842639594,0.00558375634517766,0.419796954314721,0.00101522842639594,0.00050761421319797,0,0.00050761421319797,0,0,0,0.0111675126903553,0,0.00456852791878173,0.00152284263959391,0.00152284263959391,0,0,0.0421319796954315,0,0.00304568527918782,0,0.00253807106598985,0.00253807106598985,0,0,0.00101522842639594,0,0.00050761421319797,0,0,0.00101522842639594,0,0.00152284263959391,0,0.00355329949238579,0.00050761421319797,0.00050761421319797,0,0.00050761421319797,0,0,0,0,0.00913705583756345,0,0,0,0
"mgm4718335",0.0611473720371007,0.0192373754723463,0.00137409824802473,0.14943318447269,0.0041222947440742,0.00687049124012367,0,0.00034352456200618,0.00068704912401236,0.0133974579182412,0,0,0.00034352456200618,0.00034352456200618,0,0,0.00034352456200618,0,0,0,0.00034352456200618,0,0,0,0,0,0.00034352456200618,0,0,0,0.00034352456200618,0,0,0,0,0.00034352456200618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034352456200618,0.00034352456200618,0,0,0,0,0,0,0,0.00034352456200618,0,0.00034352456200618,0,0,0.00034352456200618,0,0,0,0,0,0,0,0.00068704912401236,0,0,0,0.00309172105805565,0,0,0,0,0.00034352456200618,0,0,0,0,0,0,0,0.00034352456200618,0,0,0.00034352456200618,0,0,0,0,0,0.00515286843009275,0,0,0,0.00549639299209894,0.00103057368601855,0.0113363105462041,0.0109927859841979,0,0.00274819649604947,0.00652696667811749,0,0.00103057368601855,0.626245276537272,0,0.00034352456200618,0,0,0,0,0,0.0106492614221917,0,0.00137409824802473,0.00068704912401236,0.00171762281003092,0,0,0.0353830298866369,0,0.00137409824802473,0,0.00034352456200618,0.00137409824802473,0,0,0,0,0,0,0,0,0,0,0,0.0020611473720371,0,0,0.00034352456200618,0,0,0,0,0,0.0082445894881484,0,0,0,0
"mgm4718336",0.108480176211454,0.0165198237885463,0.00440528634361234,0.226321585903084,0.00770925110132159,0.00936123348017621,0,0.00165198237885463,0,0.0154185022026432,0,0.00055066079295154,0,0.00055066079295154,0,0.00055066079295154,0.00110132158590308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055066079295154,0,0,0,0.00055066079295154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165198237885463,0,0.00110132158590308,0.00055066079295154,0,0,0.00055066079295154,0,0,0.00055066079295154,0.00055066079295154,0,0,0,0,0,0,0,0,0,0,0,0.00055066079295154,0,0,0,0,0.00165198237885463,0,0,0,0.00055066079295154,0.00055066079295154,0,0,0,0,0,0,0,0,0,0,0,0,0.00055066079295154,0,0,0,0.00605726872246696,0,0.00055066079295154,0,0.0066079295154185,0,0.00991189427312775,0.0110132158590308,0.00055066079295154,0.00220264317180617,0.00770925110132159,0.00165198237885463,0.00495594713656388,0.454295154185022,0,0,0,0,0,0,0,0.00770925110132159,0,0.00330396475770925,0.00055066079295154,0,0,0,0.0468061674008811,0.00220264317180617,0.00220264317180617,0,0.00495594713656388,0.00275330396475771,0.00055066079295154,0,0.00110132158590308,0,0.00055066079295154,0,0,0.00055066079295154,0,0.00110132158590308,0,0.00275330396475771,0,0,0,0,0,0,0,0,0.0148678414096916,0,0,0,0
"mgm4718337",0.124001878816346,0.0112728980742132,0.00140911225927666,0.227806481916393,0.00798496946923438,0.00798496946923438,0,0.0009394081728511,0,0.00939408172851104,0,0,0.0009394081728511,0,0,0,0,0.00046970408642555,0,0,0.00140911225927666,0,0.00046970408642555,0,0,0.00046970408642555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009394081728511,0,0.00046970408642555,0,0,0,0,0.00046970408642555,0.00046970408642555,0,0,0,0,0.00046970408642555,0,0,0,0,0,0,0,0.00046970408642555,0,0,0,0.00046970408642555,0,0,0,0,0.00046970408642555,0,0,0.00046970408642555,0,0,0,0,0,0,0,0.00046970408642555,0,0,0,0,0,0.00046970408642555,0,0,0,0.00328792860497886,0.00046970408642555,0.00704556129638328,0.00892437764208549,0.0009394081728511,0.00422733677782997,0.00657585720995773,0,0.00610615312353217,0.485204321277595,0.00140911225927666,0,0,0,0,0.00046970408642555,0,0.00516674495068107,0,0.00328792860497886,0,0.00187881634570221,0,0,0.0460310004697041,0,0.00187881634570221,0,0.00375763269140442,0.00046970408642555,0.00046970408642555,0,0,0,0,0.00046970408642555,0,0.00046970408642555,0,0.00046970408642555,0,0.00422733677782997,0.00046970408642555,0,0,0,0,0,0,0,0.00610615312353217,0,0,0,0
"mgm4718338",0.115859449192783,0.0297562519784742,0.0034821145932257,0.274770496992719,0.0056980056980057,0.0101297879075657,0,0.00126622348844571,0,0.0129787907565685,0,0.00031655587211142,0.00031655587211142,0.00031655587211142,0,0,0.00031655587211142,0,0,0,0.00031655587211142,0,0,0,0.00031655587211142,0,0.00031655587211142,0,0,0,0,0,0,0,0,0,0,0.00031655587211142,0,0,0,0,0,0.00031655587211142,0,0,0,0,0,0,0,0.00126622348844571,0,0.00126622348844571,0,0,0.00031655587211142,0,0,0,0.00063311174422285,0,0,0,0,0,0,0,0,0,0,0.00031655587211142,0.00031655587211142,0.00031655587211142,0.00094966761633428,0,0.00063311174422285,0,0.00316555872111428,0,0,0.00031655587211142,0.00031655587211142,0.00031655587211142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00474833808167141,0,0,0,0.00474833808167141,0,0.00538144982589427,0.00664767331433998,0.00126622348844571,0.00094966761633428,0.0056980056980057,0.00031655587211142,0.00474833808167141,0.421019309908199,0.00094966761633428,0,0,0.00031655587211142,0,0.00031655587211142,0,0.00728078505856284,0,0.00126622348844571,0.00158277936055714,0.00094966761633428,0,0,0.0379867046533713,0.00063311174422285,0.00284900284900285,0,0.00221589110477999,0.00284900284900285,0.00031655587211142,0,0.00031655587211142,0,0,0,0,0.00063311174422285,0,0.00094966761633428,0,0.00316555872111428,0.00031655587211142,0,0,0.00031655587211142,0,0,0,0,0.0120291231402343,0.00031655587211142,0,0,0
