#OTU ID	mgm4467058	mgm4493725	mgm4493726	mgm4493727	mgm4494621	mgm4494623	mgm4714040	mgm4714041	mgm4714042	mgm4714043	mgm4714044	mgm4714045	mgm4714046	mgm4714047	mgm4714048	mgm4714049	mgm4714050	mgm4714051	mgm4714052	mgm4714053	mgm4683415	mgm4683417	mgm4683416	mgm4779622	mgm4779367	mgm4779621	mgm4491635	mgm4491637	mgm4491641	mgm4467029	mgm4723071	mgm4723070	mgm4723474	mgm4605923	mgm4605924	mgm4605925	mgm4467059	mgm4491643	mgm4491646	mgm4491639	mgm4491642	mgm4491645
Pseudomonadota	0.512844370575192	0.807714983576181	0.815287680318355	0.236177311725453	0.860721169885458	0.860454068527423	0.207785897852777	0.30954226390332	0.110596930049186	0.300526342830044	0.22763401478786	0.28734274983537	0.39982663265714	0.206402971322532	0.201882012367534	0.400834091491467	0.218520334450083	0.233769023402679	0.337507217790006	0.328161071534434	0.811419910982668	0.0447855582033621	0.0321889784840408	0.695943498732343	0.932200357781753	0.977176669484362	0.819334999039016	0.886604603051461	0.396639511201629	0.123708117723616	0.236562203941037	0.370814084796222	0.86483152056741	0.223132195008885	0.98698279869828	0.81299859221023	0.0189778320565486	0.546866230121609	0.538412455334354	0.531752751905165	0.868075648928586	0.71900826446281
Actinomycetota	0.0295231056101029	0.0621578371094079	0.0654949427955563	0.102955195424214	0.0682878007191311	0.0686088887972808	0.317383056482159	0.373536055172006	0.201677375953905	0.452307505813068	0.32154351167112	0.489587237050297	0.452706293051088	0.28687060229785	0.449053913206028	0.444840959189543	0.405802452901009	0.309981003733213	0.384642930146713	0.420415890922475	0.0281587542570254	0.0226264300496596	0.0329720033162042	0.0047084389713871	0.0187239117471676	0.0022541561003099	0.0420911012877186	0.0122834238427722	0.133910386965377	0.0104089409478018	0.589873189900187	0.201375628785546	0.0414471796734814	0.0087305879626052	0.0043390671005733	0.0211168465509151	0.0056844676362828	0.448503274087933	0.454185809086268	0.190093141405588	0.126011657650858	0.240358126721763
Chloroflexota	0.000559021824362	0.0016844942306072	0.0010777648814458	0.023117254528122	0.0097369981836379	0.0098072991353833	0.0006972021103546	0.0020757338950117	0.0005155614137687	0.0020856254733735	0.0018461988180673	0.0010975329443164	0.001620322898314	0.0007263212359727	0.0007069979939092	0.0014144448911112	0.0007236954974992	0.0016482626288155	0.0024450963043423	0.0020598532614115	0.000398576396666	0.0002414376164692	0.0003564861666577	0.0023542194856935	0.0001788908765652	0.0	0.0001921968095329	0.0003878975950349	0.0	0.0001335572548585	0.001309846093084	0.0041063545837183	0.0046637626196179	0.0	0.0	0.0	0.0005181155397653	0.0002806361085126	0.0001276161306789	0.0004233700254022	0.0	0.0
Bacillota	0.0053951233787429	0.014149751537101	0.0150058033493616	0.0438512869399428	0.0061191014567965	0.0059872422663969	0.0107668762876373	0.0107148302304229	0.0086263363056794	0.013350228580669	0.0119900549071687	0.0122652001844028	0.0216853323758599	0.0109178763566067	0.0119850951617585	0.0203084508576395	0.0117859603073485	0.0090941228114474	0.012651461686404	0.0133699924994598	0.0130298458770148	0.0011060122852253	0.00160860221528	0.0565012676566461	0.009540846750149	0.0001408847562693	0.0570824524312896	0.0443496250323248	0.178207739307536	0.0022136404581866	0.0421850432574173	0.0940971152859049	0.0651882735802452	0.203893996755003	0.00092980009298	0.0133740028155795	0.0021390770141741	0.0009822263797942	0.0007656967840735	0.0969517358171041	0.000629009938357	0.0041322314049586
Cyanobacteriota	0.422053973744733	0.0053061568264128	0.0055546343889902	0.007864632983794	0.0020832561070541	0.00204351449158	0.383055226693216	0.225243825690742	0.615023149018057	0.143106959274546	0.348742263274062	0.126898958400267	0.006346974490889	0.417263940986745	0.242088289429287	0.0110216993869694	0.25813155930689	0.383485107708353	0.173788343810008	0.153070806058209	0.0037375252414771	0.0003017970205865	0.000441446531996	0.162984425932633	0.0092426952892069	0.0078895463510848	0.004612723428791	0.0015515903801396	0.0239307535641548	0.855493891886823	0.0228373166152977	0.0170619032953496	0.0009633944077288	0.0057946380282778	0.0	0.005631159080244	0.967114466526035	9.35453695042095e-05	0.0	0.012701100762066	0.0001258019876714	0.0
Candidatus Melainabacteria	2.2510945947467e-05	8.4224711530363e-05	8.2904990880451e-05	0.0	1.5754160951922e-05	1.8648787387138e-05	5.18925940480032e-05	4.19781163042332e-05	5.15561413768782e-05	4.49845430742389e-05	4.53596024230848e-05	3.10500479335115e-05	8.4521493684803e-05	5.16495101136197e-05	4.37318346748002e-05	7.13099640394039e-05	5.2687819011681e-05	2.62789688498244e-05	3.54361783238016e-05	4.81476723338683e-05	1.58326629870977e-05	6.10719097308317e-07	1.59210224654311e-06	0.0001810938065918	0.0	0.0	0.0	0.0001292991983449	0.0015274949083503	0.0	0.0002874662227188	0.0006159531875577	6.06896036586919e-05	0.000154523680754	0.0	0.0002346316283435	1.48033011361534e-05	0.0	0.0	0.0004233700254022	0.0	0.0
Candidatus Margulisbacteria	0.0	0.0	0.0	0.0	4.6335767505653e-06	9.81515125638844e-07	8.78826189522634e-06	1.20896974956192e-05	1.55289582460476e-05	1.49159274404055e-05	7.55993373718079e-06	7.33126131763466e-06	1.63801344350393e-05	1.89074099523072e-05	1.07185869300981e-05	1.41052676121898e-05	9.57960345666928e-06	8.91199813167957e-06	1.08173596988447e-05	1.2093965088602e-05	5.37439018828087e-06	3.05359548654158e-07	5.78946271470223e-07	0.0	0.0	0.0	0.0	0.0001292991983449	0.0	0.0	7.49911885353471e-05	8.21270916743661e-05	1.31564875064297e-05	7.72618403770378e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.0006640729054502	0.0012633706729554	0.0012435748632067	0.0019065776930409	0.0013872928791192	0.001396696023784	0.0004846098702224	0.001129379241049	0.0002549854944001	0.0011544454317367	0.0007197686912274	0.0009349514433312	0.0008078682303361	0.0005100389123719	0.0004287434772039	0.0006308189126562	0.0004820282284787	0.0008098492661198	0.0010709186101856	0.0012077991927164	0.0004351803514618	0.0002468323018287	0.0003670519361121	0.0	0.0	0.0	0.0001921968095329	0.0001292991983449	0.0005091649694501	0.0001704986232236	0.0006224268648433	0.0021455702699928	0.000268222584002	7.72618403770378e-05	0.0	0.0002346316283435	6.66148551126901e-05	0.0	0.0002552322613578	0.0	0.0	0.0006887052341597
Armatimonadota	0.0001125547297373	0.0001684494230607	8.2904990880451e-05	0.0004766444232602	0.0002409459910293	0.0002630460536712	0.0001485634748954	0.0002169429050602	0.0001077709702275	0.0002239756723591	0.000192463313059	0.0001962190529131	0.000202458461617	0.0001747782529737	0.0001341967083648	0.0001488889359064	0.0001441294883707	0.0001780114498609	0.000260362657579	0.0002656108559081	6.65262353035848e-05	4.20378311980558e-05	5.81841002827574e-05	0.0003621876131836	0.0	0.0	0.0	0.0	0.0	1.70498623223617e-05	0.0001374838456481	0.000349040139616	0.0001014322746463	0.0	0.0	0.0	4.44099034084601e-05	0.0	0.0	0.0016934801016088	0.0	0.0
Mycoplasmatota	0.0002401167567729	0.0004211235576518	0.0002487149726413	0.0007149666348903	0.0001269600029654	0.0001158187848253	0.0004896317341626	0.0003640342245903	0.0005605953926823	0.0005346057803243	0.0005909348204562	0.0004165881431079	0.0011891977599838	0.0005077331306704	0.0005603677247055	0.0009991231225301	0.0005181694597016	0.0003144335751074	0.0003961391724197	0.000512510294132	0.0002979155209774	1.39447527218732e-05	2.30131142909413e-05	0.0003621876131836	5.96302921884317e-05	0.0	0.004997117047857	0.0023273855702094	0.0290224032586558	5.68328744078725e-05	0.0031771266876142	0.0069192074735653	0.0002219626763181	0.0006180947230163	0.0	0.003754106053496	0.0001554346619296	0.0	0.0	0.0131244707874682	4.19339958904684e-05	0.0006887052341597
