#OTU ID	mgm4612269	mgm4624935	mgm4624936	mgm4624937	mgm4624938	mgm4624939	mgm4624940	mgm4624941	mgm4624942	mgm4624943	mgm4625757	mgm4625759	mgm4625760	mgm4625761	mgm4625762	mgm4625763	mgm4625764	mgm4625765	mgm4625766
Pseudomonadota	0.7667989067059889	0.816428776272463	0.9473647991879781	0.856262307995274	0.712535956203025	0.799693984554134	0.518824115856858	0.722184437895161	0.43600954291817606	0.122691127217784	0.896409863799662	0.9473647991879781	0.90687202146507	0.797295885662734	0.799693984554134	0.502144130668959	0.76755661168577	0.45017282760793603	0.0963158010021733
Actinomycetota	0.011617791323984	0.0290340302468048	0.004641732984227371	0.0160890114218196	0.0299248399369027	0.0131045838563662	0.0058702382201700105	0.0170029471775108	0.0121682188881901	0.0019308794558954602	0.0154966109413465	0.004641732984227371	0.0123200806449179	0.019595926022648997	0.0131045838563662	0.00346132118963067	0.0102750478484334	0.00992113871616425	0.00113825940294092
Chloroflexota	0.00032083119960019	0.00029714704286864	6.219856030183511e-05	0.00023631350925561	0.00037116080541894	0.00018906126684238998	0.00015741420925595	0.00052898057885589	0.00069874923886243	8.23402753047105e-05	0.00014959817490226002	6.219856030183511e-05	0.00013883481373498	0.00032050521117732	0.00018906126684238998	0.00014898645105452	0.0003516053418206	0.00060790836893365	5.9022456480109997e-05
Bacillota	0.0682074790688491	0.0544124608266907	0.008787200859663509	0.0404785348562426	0.062958151619189	0.0280558126446813	0.0216247769965369	0.0440313358019094	0.0547320296668963	0.0058708616292258604	0.0321570076845063	0.008787200859663509	0.0254867518388067	0.0467605232544337	0.0280558126446813	0.0147499853790709	0.0347723704866562	0.0424868641751073	0.00371809105190426
Cyanobacteriota	0.00674362502236564	0.00905607441114785	0.00156091918885137	0.00508074044899567	0.0067736846988958	0.0054278170678356205	0.00268915940812257	0.00443336104183985	0.0044320666007846	0.00075547202592071	0.00467274299253549	0.00156091918885137	0.004026209598314671	0.00675435056147765	0.0054278170678356205	0.00182737109813143	0.00447087159415927	0.00391063005625006	0.00046592132921592996
Candidatus Melainabacteria	0.00023136865355782998	0.00012784233239697	1.8527230728206198e-05	7.87711697518708e-05	0.0001391853020321	6.15548310649645e-05	2.62357015426593e-05	0.00010075820549636	9.98213198374909e-05	1.23510412957066e-05	4.83994095272038e-05	1.8527230728206198e-05	4.2254073745431296e-05	9.971273236627809e-05	6.15548310649645e-05	3.33259166832479e-05	7.95681813294338e-05	0.00012788316297688998	8.20056068096593e-06
Candidatus Margulisbacteria	4.93586460923377e-05	3.10967835560209e-05	4.63180768205155e-06	1.96927924379677e-05	9.27902013547369e-05	3.957096282747721e-05	6.55892538566481e-06	5.03791027481801e-05	4.99106599187454e-05	1.02925344130888e-05	2.41997047636019e-05	4.63180768205155e-06	1.96179628103788e-05	6.41010422354645e-05	3.957096282747721e-05	1.4702610301432901e-05	5.161179329476789e-05	4.26277209922992e-05	6.47412685339415e-06
Deinococcota	6.78681383769643e-05	0.00010365594518673	2.4482412033701002e-05	6.8924773532887e-05	0.0001391853020321	6.814999153621071e-05	7.21481792423129e-05	0.00022670596236681	9.98213198374909e-05	4.11701376523552e-05	7.03991411304782e-05	2.4482412033701002e-05	4.52722218701049e-05	9.25903943401154e-05	6.814999153621071e-05	5.12957737183326e-05	9.99978495086127e-05	7.59885461167073e-05	2.0069793245521898e-05
Armatimonadota	2.7764238426939898e-05	5.1827972593368104e-05	3.9701208703299e-06	9.84639621898385e-06	0.0	1.9785481413738603e-05	5.24714030853185e-05	2.518955137409e-05	0.00018966050769123	1.02925344130888e-05	2.41997047636019e-05	3.9701208703299e-06	3.01814812467366e-05	2.61152394292633e-05	1.9785481413738603e-05	2.48310751757534e-05	2.9031633728306896e-05	0.00012232302545616002	5.7188120538315e-06
Mycoplasmatota	0.0050469215629415295	0.00474744228955252	0.0007695417620322701	0.00294407246947617	0.0051498561751879	0.0021742045686875	0.0012724315248189698	0.0029219879593944398	0.00202637279270107	0.00030054200486218997	0.0026773673361185	0.0007695417620322701	0.0017973072082431698	0.00318843332304551	0.0021742045686875	0.0007756443745689201	0.0019902797789294897	0.0017959244191973	0.00017523303349853
Thermomicrobiota	0.0	0.0	1.9850604351649504e-06	0.0	0.0	4.39677364749747e-06	0.0	0.0	1.99642639674982e-05	0.0	4.39994632065489e-06	1.9850604351649504e-06	0.0	2.3741126753875703e-06	4.39677364749747e-06	1.96034804019106e-06	1.075245693641e-06	1.11202750414694e-05	0.0
Candidatus Kaiserbacteria	0.00012031169985007	3.80071799018033e-05	9.26361536410309e-06	7.87711697518708e-05	9.27902013547369e-05	3.07774155324823e-05	1.31178507713296e-05	7.55686541222701e-05	0.00014973197975623	1.4409548178324301e-05	2.41997047636019e-05	9.26361536410309e-06	2.11270368727156e-05	6.64751549108521e-05	3.07774155324823e-05	1.69896830149891e-05	6.989097008666479e-05	8.52554419845984e-05	4.63979091159914e-06
Candidatus Nomurabacteria	0.00028072729965017	0.00025568466479394	4.36713295736289e-05	0.0001181567546278	0.00018558040270947	0.00010991934118743001	3.2794626928324106e-05	0.00010075820549636	6.987492388624361e-05	2.88190963566487e-05	0.00013859830910062	4.36713295736289e-05	0.00010865333248825	0.00021129602810949	0.00010991934118743001	5.42362957786192e-05	0.00011075030644501999	6.48682710752379e-05	1.3271960049458e-05
Candidatus Yanofskybacteria	0.00011105695370776001	0.00013475272874275	2.0512291163371102e-05	6.8924773532887e-05	4.63951006773685e-05	7.47451520074569e-05	3.93535523139889e-05	0.0	0.00012976771578873	1.85265619435599e-05	9.019889957342521e-05	2.0512291163371102e-05	4.07449996830944e-05	9.25903943401154e-05	7.47451520074569e-05	3.1038843969691696e-05	7.95681813294338e-05	8.34020628110202e-05	1.5537904448146e-05
