#OTU ID	mgm4675013	mgm4675016	mgm4715759	mgm4715760	mgm4715761	mgm4715762	mgm4715763	mgm4715764	mgm4715765	mgm4715766	mgm4715767	mgm4715768	mgm4715769	mgm4715770	mgm4715771	mgm4715772	mgm4715773	mgm4715774	mgm4715775	mgm4715776	mgm4715777	mgm4715778	mgm4715779	mgm4715780	mgm4715781	mgm4715782	mgm4715843	mgm4715845	mgm4715847	mgm4715849	mgm4715852	mgm4715854	mgm4715856	mgm4715858	mgm4715868	mgm4715870	mgm4715872	mgm4715961	mgm4715962	mgm4715963	mgm4715964	mgm4715965	mgm4715966	mgm4715967	mgm4715968	mgm4715969	mgm4715970	mgm4715971	mgm4715972	mgm4715973	mgm4715974	mgm4715975	mgm4715976	mgm4715977	mgm4715978	mgm4715979	mgm4715980	mgm4715981	mgm4715982	mgm4716114	mgm4716115	mgm4717073	mgm4717074	mgm4717076	mgm4717081	mgm4717083	mgm4717085	mgm4717087	mgm4717089	mgm4717090	mgm4717092	mgm4717093	mgm4717094	mgm4717096	mgm4717098	mgm4717101	mgm4717103	mgm4717105	mgm4717107	mgm4717109	mgm4717156	mgm4717157	mgm4717158	mgm4717159	mgm4717160	mgm4717161	mgm4717162	mgm4717163	mgm4717164	mgm4717165	mgm4717166	mgm4717167	mgm4717168	mgm4717169	mgm4717170	mgm4717171
Pseudomonadota	0.671875513316686	0.7761572261423059	0.411069966330004	0.41105280770058505	0.593813767208165	0.34729222894858197	0.4533428325793061	0.49698626138010205	0.451906867637089	0.450515350823562	0.38529467081171404	0.46066303970482103	0.45940015446202503	0.412754083745699	0.378443645816763	0.721453414892359	0.386796385678261	0.411035608965088	0.449246380934743	0.41127015476995504	0.722832743777886	0.381052315567248	0.59755478779927	0.35012444459055697	0.408293485914406	0.49835719122315797	0.640556756887412	0.6722157286520821	0.566026947470714	0.5943702664132829	0.5484324659393089	0.6760931807216559	0.6163264083798199	0.9336356153192021	0.595925061688965	0.730016916664321	0.640873289209667	0.6759488266761249	0.74625828784088	0.8535421232476709	0.673099993017986	0.8532224853779209	0.6712022579177691	0.704155937284193	0.623077300956936	0.68957852054686	0.6782470632615699	0.62937613752579	0.6915024055822839	0.743753529363731	0.624857083432952	0.667737703900725	0.630686232338523	0.7033391198780179	0.6805773157336579	0.687463975869432	0.6930338894352309	0.7063957763038679	0.705674624556681	0.667455993309752	0.665730723657361	0.632997795975436	0.616890799703032	0.623158416016696	0.618637333498769	0.684097980846754	0.676716134552988	0.676236596333449	0.673032588656196	0.62308086036546	0.685733504728795	0.6739256092021481	0.635555264614715	0.700694449823173	0.6249222523967509	0.662504641314691	0.74834873583536	0.626155409887175	0.7033821519275061	0.6758970530316639	0.549148967043724	0.674216231302902	0.731240106989705	0.5491387119739229	0.7274948467783009	0.566693549309631	0.673033813770173	0.617809121994095	0.6995311285890269	0.9361493425429979	0.70223480693129	0.549192580417344	0.726667723206591	0.7457689306221751	0.6657128438785159	0.6743047160838901
Actinomycetota	0.237448073592101	0.12324222404228599	0.04664454534350701	0.0339069095754849	0.0242056307025952	0.0286113904539936	0.0409861384106638	0.0934055913277219	0.0563949390607774	0.0401840184297923	0.0321358728580326	0.0563809817057936	0.0556813875328985	0.036519838593908	0.0414910656725915	0.0237663912410964	0.0324067841991426	0.0465909799573418	0.0553537720350161	0.0361083775932629	0.0240189157738229	0.0419576640352539	0.0243262455653091	0.0291697440086065	0.0333911162452597	0.0961836184179413	0.128268774399794	0.0955936838390967	0.107478223739345	0.21203690461369396	0.119361960548374	0.181893204434352	0.222567906081947	0.0243789011058179	0.208628612541017	0.11622405043104699	0.126053926706797	0.15317690619989402	0.160442711528703	0.0310132394653165	0.15603919519242498	0.0303537580529996	0.18361600020503197	0.109124700837001	0.18578919411595698	0.20853744497389398	0.18525053998802302	0.17967651844285298	0.159477049744997	0.16323481209121202	0.182622589467423	0.18675953203027598	0.17753351699409303	0.144408079923104	0.18206713975853897	0.21092445758485298	0.158574381238559	0.107045229944732	0.14185313791645401	0.145293806701961	0.147436679428702	0.17423383670122	0.17407793423499698	0.17530005880688398	0.170510017084914	0.10801169953916401	0.188045485512916	0.204105845728122	0.20744953154263396	0.182998468496853	0.10586499741128999	0.217846831832875	0.17192442573890698	0.141657849854465	0.173897046240203	0.20050128704094802	0.13322991033194198	0.17953244373466	0.13885362966991502	0.21558118215223898	0.186455808876559	0.18470575921896498	0.0320105870389554	0.18849230686475302	0.0314641867816198	0.109430087969159	0.0981299019693405	0.21956074828924999	0.11960352506396302	0.0231383919729941	0.11693737830899	0.122217418980932	0.12011123745889	0.135971392566188	0.19756740924863603	0.191138708112801
Chloroflexota	0.00689491692341155	0.00454854298060576	0.0005022334189072901	0.00042122229620512	0.00027691979976568	0.00067223356694324	0.00031878295750888	0.00039412906543007	0.00033569038032869	0.00032113787337693	0.00015371469589285	0.00022768968166797998	0.0002355206794398	0.00027269311667736	0.00035490849038437	0.00040836507210507	0.00016463635667863	0.0005057002327668	0.00033406632015695	0.00026893203715585	0.00042140548369676	0.00035834448072649	0.00028836298777705	0.00069843144834685	0.00038268715704748997	0.00042440525335652	0.0012277756188925	0.0014886203246295	0.00222639949054777	0.0014183397451001199	0.00225551964203393	0.0007419021729985901	0.00211569613612328	0.00034363435433422	0.00139801799692436	0.00123075768519995	0.00119726206995232	0.007161841815943591	0.00138353756800173	0.00093421464584365	0.00730854647870239	0.0009008791973631901	0.0023380084960243	0.00240582827920074	0.00438444120639635	0.0006564156119265901	0.00315419325746907	0.00187388326992782	0.0034194824386937603	0.00142727181764964	0.00424133219038955	0.00230295988954067	0.00179808042765156	0.00615461478447082	0.00308576272110468	0.00064899431080052	0.00339134789233294	0.0022914527560041103	0.00593891345499569	0.00713544860023027	0.007257947501786541	0.0052912575214729	0.00453180363363684	0.0018288719690136399	0.0044392196007386	0.00234542958403136	0.00323420375072837	0.00274911529148817	0.00279905407413	0.00505355644575859	0.00233618835214729	0.00066393690781556	0.00519570684619115	0.0059506124263609	0.0017901127473022899	0.00234959509696777	0.00163264855062645	0.00498542167390678	0.0058225280981090794	0.0006562520313700901	0.00107378073475363	0.0007201871703443799	0.0005388027754810599	0.0011088286148689	0.0004993095351895	0.00232163080407701	0.00150659114926324	0.00218600111664794	0.00252364256609495	0.00033757396252194	0.0025136552389595	0.00217808518522037	0.00132337409495209	0.00165460813657961	0.0023159829687946698	0.00328360081034228
Bacillota	0.0054384663806127794	0.0198330859406609	0.190417994289988	0.176210683629231	0.12549099165352198	0.20722755498548298	0.11968659259824499	0.14196543922687196	0.16941109847027302	0.12010290945602901	0.18093195879508997	0.192468704291107	0.19313442851407103	0.237682388123882	0.190975172888707	0.0753034597042274	0.18090385605909803	0.190377110575009	0.170479581346602	0.23811813293717002	0.0749746711235383	0.19029443000544397	0.12448556962127902	0.20659491146040898	0.17667058058453	0.14058112353295998	0.0589741349016137	0.048859275758644995	0.0522900196688806	0.0330884206475696	0.0726836429680833	0.0219772866806256	0.0300700592117632	0.00702940646734315	0.0338183963255995	0.0262555385659296	0.0599136826623275	0.0178454207386459	0.0119997100232314	0.0171657043403758	0.0174857133185089	0.0174062007616377	0.0130557495530937	0.0143863288371141	0.0204339840490594	0.0122885622002771	0.0204230399802285	0.0159959152672031	0.0176568628540317	0.0117358316532316	0.0209084848025409	0.0128711210093951	0.0162457683050564	0.0208261303221579	0.0211525156640831	0.0120128342964655	0.0177855047409114	0.0146544455853013	0.0212975445207766	0.0206820138060495	0.0203680590503809	0.0160858681804337	0.0248679659430348	0.0181635339841885	0.0255705601356198	0.0169810285116284	0.0225019686457613	0.0155852380065455	0.0152212721290395	0.0152304929547393	0.0172901158443204	0.0133449587214324	0.0162074329859563	0.0211014844775051	0.0183991842255277	0.0124963483313565	0.0150945660036	0.0156151131033144	0.0214354140481723	0.0136252356389304	0.0333322504564326	0.0215753551451909	0.0632170617535034	0.032960450149372	0.0642916537023631	0.0518457508264983	0.0476354099289394	0.0307022904795628	0.0146023563599608	0.00688410554026298	0.0148981385224199	0.0714975661818032	0.0261661366615112	0.0148077432368039	0.0126585505383996	0.0219193443615217
Cyanobacteriota	0.0018562475384399897	0.00175729430194807	0.00053974057873129	0.00067817383796635	0.00087522210218983	0.0005316065054440701	0.00052935160223596	0.00064963859263853	0.00075690792291987	0.00052391030778507	0.00039593573658428996	0.00044143255947310994	0.00045540894677428	0.00051742466937486	0.00048428722130591	0.0005967316545624701	0.00039153429518043	0.0005454906659601799	0.00074095231667485	0.00050010405623302	0.0006245950006070401	0.00050535124452505	0.0008889244777179199	0.00051875057744443	0.0006537967931196	0.00068186693323436	0.00235328825085049	0.00208903052223006	0.0041865390254885605	0.0029282516609031102	0.00414380109754732	0.00262678759880779	0.00368901984206869	0.0009205402969757801	0.00297561879345364	0.007676600907433641	0.0022734003507265802	0.00257238881069048	0.00140326213618098	0.00204288319499543	0.0026161394540911397	0.0020412505498905898	0.00211343409814638	0.00219408043913065	0.00295347212331568	0.00121776129074035	0.00240879580332731	0.0021470255770698397	0.00217724641384904	0.00140058954031727	0.00299770050596644	0.00210041663578241	0.0021756904517201	0.00274785448318433	0.00241337862623362	0.00122743358867536	0.00214968415197157	0.00224393489024978	0.0026850376336870897	0.0027635081985929997	0.00283501362458004	0.0026362086324343	0.0030556541862307197	0.0021582789480200197	0.00305172386151113	0.00240754928573847	0.00237691066076979	0.0017734081898730801	0.00181927555327165	0.00252028635761926	0.00244321981105138	0.0012315726670072901	0.00258856919316265	0.0028171457694017603	0.00212234728718401	0.0019331921271276802	0.00154766136579931	0.00244515034047907	0.00279017760613486	0.00123865778535731	0.0068974927068240705	0.00265148494548934	0.00188409378177775	0.00699772325414507	0.00187653845836331	0.00416166191930631	0.00204170280208	0.00363002714228417	0.0022504816955684	0.0008734197777842	0.00225261186957596	0.00425482725749702	0.007710620655509759	0.00156147027985104	0.00197087436923111	0.00238085511708364
Candidatus Melainabacteria	7.835454696156171e-06	2.0550645996712803e-05	2.0496477673340198e-05	2.73289501063972e-05	1.3524776545332499e-05	2.06413970097496e-05	1.9533269455201503e-05	2.1879408194977302e-05	3.0001674720350103e-05	1.53721349310106e-05	1.57489231185731e-05	1.9028197518312197e-05	2.0000291958284898e-05	2.19891910909571e-05	1.93610234341641e-05	1.12563994055481e-05	1.41503595052641e-05	2.19932576196147e-05	3.24540021032131e-05	1.9168253452159197e-05	1.27658335231586e-05	2.1567602783262e-05	1.2930377085627e-05	2.2219211796134198e-05	2.69052178238522e-05	2.0596934390227102e-05	4.15249704521945e-05	3.1426429075511605e-05	9.754685009564499e-05	5.0416138926300897e-05	6.337680287470229e-05	4.6173236505186895e-05	5.65664497731519e-05	1.16954761685535e-05	6.535449985622011e-05	3.68977151558928e-05	3.85998888589407e-05	2.40747665951379e-05	1.2295834709143302e-05	1.06351577417791e-05	1.9394483080605602e-05	1.09320172264298e-05	2.21050405899803e-05	2.88349878499847e-05	3.07469276927682e-05	1.21673016348316e-05	3.76950043349255e-05	2.60135530611449e-05	1.9722441360459602e-05	1.1500981608780301e-05	3.30442929590387e-05	2.01106776781246e-05	3.05371584681511e-05	3.04713771191938e-05	3.5696066812652794e-05	1.3439053890606099e-05	2.19658419284584e-05	2.3116799556157397e-05	3.6416434062313895e-05	3.07674286362467e-05	3.0242863788520098e-05	2.54058005724583e-05	3.35206350546386e-05	2.570037671778e-05	4.04294161643776e-05	3.18815400295742e-05	3.8235335011053494e-05	1.2505654152143301e-05	1.4856199297131302e-05	1.9619859452559803e-05	3.1202391409328604e-05	1.4282866986905899e-05	2.39186940644817e-05	3.3459995941426395e-05	2.71452732407798e-05	1.4030424976561701e-05	1.55239749374634e-05	1.84515638495689e-05	3.5288049079449e-05	1.41000982705154e-05	5.111178971396889e-05	3.5955958578735706e-05	1.53113968534551e-05	5.7866101915245704e-05	1.5941467486096e-05	0.00010066691833396	3.5906839704387e-05	5.712225452325339e-05	2.57746612337724e-05	1.0236257268299e-05	2.01023496775009e-05	6.33394455898328e-05	2.77630929010928e-05	1.57581727293296e-05	2.16549478677689e-05	2.99189139894513e-05
Candidatus Margulisbacteria	2.36007671570969e-06	6.4220768739727404e-06	5.29840919446891e-06	8.61456035962522e-06	4.395552377233071e-06	6.27691604974842e-06	8.073751374816619e-06	7.1932300914993895e-06	5.52269634155698e-06	6.14885397240422e-06	3.64437890347147e-06	3.89213131056386e-06	2.75866095976344e-06	5.97237288890192e-06	5.23270903626058e-06	5.69944273698639e-06	4.79881757135042e-06	6.221776826601541e-06	4.03656742577277e-06	5.76488825628848e-06	5.31909730131609e-06	3.7185522040106795e-06	3.73890421753069e-06	7.1418895059002805e-06	4.43144764157565e-06	6.368788923293901e-06	1.8593270351728898e-05	8.82145377558222e-06	2.08590748632197e-05	1.54335119162146e-05	1.4758981491369e-05	1.9173632108086103e-05	1.2755179850808802e-05	4.6781904674214e-06	1.4207499968743499e-05	8.13000503434927e-06	1.46413371533913e-05	7.2224299785413606e-06	2.56163223107152e-06	4.47796115443331e-06	7.0525393020384005e-06	5.87089814011971e-06	4.80544360651746e-06	9.61166261666156e-06	1.02489758975894e-05	4.33073448019431e-06	5.10157953405007e-06	9.07449525388774e-06	7.5000833342592695e-06	3.6803141148097e-06	1.3995229959122302e-05	5.4586125126338095e-06	5.58206122536095e-06	9.05090409481003e-06	8.11274245742108e-06	4.66633815646045e-06	4.15569982430295e-06	1.027413313607e-05	6.74378408561369e-06	6.6724544030414495e-06	8.1553789991515e-06	5.13825180117135e-06	1.27254262707424e-05	9.672184786261301e-06	1.21985307392519e-05	8.54556743060753e-06	5.6879010760244906e-06	4.78939946252295e-06	4.87088501545288e-06	6.05907424270228e-06	1.0884555142789e-05	4.11173443562441e-06	9.126870103552209e-06	8.98462853982746e-06	6.196203674525811e-06	6.76466918512795e-06	4.20989150846464e-06	6.99886904638819e-06	8.99499290260464e-06	3.34578603029179e-06	1.25613720483483e-05	1.60199815449813e-05	5.80777122027609e-06	1.30402483189286e-05	4.27003593377573e-06	1.8875047187617998e-05	5.98447328406449e-06	1.4741226973742801e-05	6.8227044442338696e-06	3.56043731071269e-06	1.1199880534607599e-05	1.82100906070769e-05	7.5191709940459706e-06	4.4687355501084e-06	4.38581222638357e-06	5.75363730566371e-06
Deinococcota	0.00213813510136435	0.0015006252962183	0.00024944352760276	0.00022858290333557002	0.00038089151945792	0.00017997849673413	0.00027437732494739	0.00043234310029116	0.00028732947182424	0.00027068932146697	0.00011701059407931	0.00024487992828963996	0.00023264707427337998	0.00020075317051558998	0.00030388957728082997	0.00027713540308596003	0.00012895284140449	0.00023946606158197997	0.00027561682383176	0.00019355612320488	0.00029853433603636	0.00030578894290981	0.00039741436078836003	0.00019022366017302	0.00022078105214277997	0.00044554421233596	0.00074868901949628	0.00064065808045165	0.00094724739967091	0.0009568777388053	0.00089942969559166	0.0006350776512535401	0.0009937948822891	0.00020031161001413	0.0009501975979095599	0.00062288346263168	0.0007387220109211	0.00149664798999774	0.00099493795854818	0.00055750616372694	0.0015554375430645699	0.00057878957871042	0.00132309880632781	0.00111466160102921	0.0013472102110900302	0.00075375402500524	0.00120879092848464	0.00104477688689761	0.0011914021266903	0.0010180668920092301	0.00128289607958621	0.00128334853125975	0.00106387519824526	0.0012975979503926	0.00114714178347934	0.00071973599725246	0.00120099724922355	0.0010569514463732	0.0012678314080953699	0.001475724498806	0.0014676284123889699	0.0016005654360648801	0.0013007868658702802	0.00104846483083072	0.00130350014185149	0.00106622387480349	0.0012036230665876302	0.00118697283346194	0.0012169906211109	0.00160161529148764	0.0010409262901553901	0.0007351348356745299	0.00158052212620825	0.00128913928807662	0.0010397819880489999	0.00132863113661976	0.00094222634323824	0.0015820625348949302	0.00134094586501906	0.0007391797279780299	0.0007103672468721099	0.00066251523678244	0.00053853878588014	0.00074207163089903	0.0005445719160875299	0.0009277371678277599	0.00066327912231714	0.0009710783268953	0.00114394011181655	0.00020472514536598	0.00110419335014273	0.0009675100313846901	0.00063681594341881	0.00097935867529744	0.0012823018496889	0.00115245355232444
Armatimonadota	0.00047239295541645	0.00034957505117324	4.67096600038706e-05	3.80228871045527e-05	3.36428816565146e-05	2.90910916921033e-05	2.95603477755383e-05	5.9643866175349095e-05	4.46293569223118e-05	2.8927563006538e-05	1.58790795079828e-05	3.79482802779976e-05	3.34487641371317e-05	2.61969992626834e-05	3.97685886755804e-05	4.75903468538364e-05	1.6365198384348903e-05	3.50155812101761e-05	4.24646893191296e-05	2.7094974804555898e-05	5.2659063283029294e-05	3.66897150795721e-05	3.30269872548545e-05	3.1968457788315505e-05	3.5135049158207e-05	5.7183594162341e-05	0.00032724155819042	0.00016705628087508	0.00023558484551401002	0.00022069922040186002	0.00029865233135476004	0.0001072158203595	0.000266749630793	4.5293389525489e-05	0.00022277359950988998	0.00031081634631319	0.0003207783867243	0.00029331090635076	0.00018520601030647	6.19451293029942e-05	0.00033922714042804	6.76165509931029e-05	0.000275512100107	0.00021058279005593998	0.00030428856026981004	0.00011115551832498	0.00026244792491835	0.00022867728039797003	0.00023861376237512997	0.0002120781008659	0.00027212947142737004	0.00026143880981562	0.00023116300603847	0.00027695766530117996	0.0002463028610073	0.00011423195807015	0.00024192109691477002	0.0002208938624255	0.00026536790376889	0.00030359667533838	0.00031636074367541	0.00033741186827691003	0.00029020179422302	0.00023683035319502002	0.00028544561929849	0.00021331051009478	0.00025974748247178	0.0002418646728574	0.00024890222428964	0.00032863264583037	0.00022240774341765	0.00011642700665083001	0.00032604956645792996	0.00028812774282895	0.00024725803234536	0.00025906177546008	0.00018865576322307	0.00033244627970343	0.00029545092072401	0.00011758048049311	0.00017022824879313	0.00013421184538795	4.91020657714251e-05	0.00016381811950653998	5.32331146410707e-05	0.00020934143244448998	0.00016956007638182	0.00026472786773679	0.00019861650715436002	4.78433763627017e-05	0.00019154667478418002	0.0003095715403203	0.00030886440852465	0.00018839248292825	0.00025739235503588	0.0002497078590658
Mycoplasmatota	5.40929583240661e-05	0.00010617833764968001	0.00016648159416303998	0.00024744581998509	0.00010363360027861	0.00022608968771497002	0.00026395958123795	0.00019271862286808	0.00019224953751148998	0.00026272376063909	0.00016009235897392	0.00013049451366251	0.00013747327116154	0.0002349585788793	0.00015397246339196	0.00012894989192431002	0.00016180628477758	0.00017319690375446002	0.0001906874451935	0.00021935399815177	0.00012566367374358998	0.00015035346078216	0.00011060924976861001	0.00022604647102801	0.00025591610130098997	0.00019838099965324	0.0005057369535670201	0.00043114855328157996	0.0011276170470175802	0.00062505723260668	0.0007301354961318401	0.000456645483064	0.00063387698128149	0.00012418469240791	0.00060808099866222	0.00045340412691563	0.00050312958581653	0.00023151900542324	9.11941074261462e-05	9.10518768068107e-05	0.00022673913856053	9.029036449977221e-05	0.00015665746157246	0.00023737894038118	0.00026894726407122004	0.00011074306742211002	0.00023977423810035	0.00020901587401454	0.0001702796697741	7.889673383623291e-05	0.00027251822781512996	0.00014996819639972	0.00019405871671696002	0.00023622859687454	0.00024792540949877996	0.00011609849333273	0.00018670965639189	0.00023116799556157	0.00025390347082335	0.00026763955994421	0.00025995270559795	0.00014130192453221002	0.00029485743798061	0.00020891919138324	0.00030008385618559	0.00023138767196721	0.0002211961529565	0.00010802756565468001	0.00010009668706755	0.0001162765199909	0.00024961913127462	0.00010582305994843	0.00014540048233934	0.00027325663352164	0.0002006389761275	0.00010748307705258	0.00010866782456224	0.0001142088176206	0.0002819584313701	0.00011423469446281999	0.00057955571726517	0.00042969150499538	0.00011668340360736001	0.00056439824755362	0.00011899166802121	0.0011794044636626699	0.00042240407263355	0.00063448697766151	0.00030095707381787003	0.00011237630261936001	0.00030555571509801	0.00070544307525676	0.00043495512211712	0.00011524633787121001	0.00010964530565958	0.00020713094300388999
