#OTU ID	mgm4454153	mgm4563797	mgm4589544	mgm4589543	mgm4589538	mgm4589547	mgm4589545	mgm4589537	mgm4589539	mgm4589548	mgm4589546	mgm4589540	mgm4589541	mgm4694205	mgm4694207	mgm4694211	mgm4694208	mgm4694212	mgm4694214	mgm4694206	mgm4694213	mgm4694209	mgm4694210	mgm4528142	mgm4528143	mgm4528144	mgm4528145	mgm4528146	mgm4528147
Pseudomonadota	0.668376694759985	0.5622283195643321	0.604209854411936	0.592840903047386	0.6296261617900171	0.624898845229991	0.62528538981151	0.622046177099078	0.62860036902075	0.6254247811343909	0.583536922374502	0.6392640378669311	0.630728343336896	0.745611562681083	0.757021761045884	0.744706199677477	0.8012233229026279	0.647774717845549	0.8525495446089659	0.780641631735228	0.619379066148207	0.7209855346181909	0.685695825453662	0.242943965380087	0.27622377622377603	0.191686123700957	0.14257523433645802	0.641799008222962	0.624113612335938
Actinomycetota	0.0783307826611773	0.32145041242471	0.14703171558875	0.132947534967824	0.163158691910499	0.142511549840935	0.146877673224979	0.155935442400236	0.158111521601163	0.15103655781248299	0.14255104411140399	0.155888078787647	0.16587762466525	0.0900016981287322	0.10953628296986301	0.120069325283643	0.104129794980964	0.21343936786731602	0.0873654526490102	0.11818874673166199	0.272336055528625	0.176722985131793	0.226001910414138	0.094472905463455	0.40034965034965003	0.0223259930717698	0.0231869758263444	0.0855329232314356	0.0320002062865836
Chloroflexota	0.002349492380316	0.00402080401655241	0.0133239476109658	0.00806387278625751	0.00862512908777969	0.00741159394227434	0.0077549334827881206	0.007119403762964509	0.00836390993876273	0.00791332811656178	0.00903935342790545	0.0109936252242623	0.0124675409116585	0.00507775503880312	0.0049376621539733	0.0078920637471234	0.00253926471003691	0.00464689311782033	0.00131321440476575	0.0023332063099195197	0.00511049128750611	0.00306444210380339	0.00409872908611682	0.0314061157603335	0.00466200466200466	0.00224328160051275	0.00394671928959053	0.00309145690791539	0.0012377195018179
Bacillota	0.0192485935378182	0.010012530847864999	0.0158503374982476	0.0125378928894325	0.0124640275387263	0.0128236417429877	0.0124450606176809	0.0120532999774153	0.0134116766907497	0.0124320809407823	0.014406094054131999	0.0128564339428179	0.0128657870033607	0.014933904278058999	0.0346135552748315	0.0122581792930887	0.0073807074599763905	0.009244976880736621	0.00673973353979161	0.00721015080571832	0.008029428031992929	0.0077104678383813	0.00896178802284451	0.0511025551277564	0.0119463869463869	0.0156419295273848	0.0138135175135668	0.0219697445232565	0.013666486165906
Cyanobacteriota	0.0153471428879357	0.00392267544420736	0.00489469398468656	0.0791928149763336	0.0138822719449225	0.032245357584788	0.0246393911684021	0.0109970292385469	0.0118523748880959	0.009628984676652009	0.0251676105188116	0.007943657670725659	0.00657918798434649	0.0325217911931893	0.0155670587713253	0.0173967437776541	0.0312616500678301	0.0644789768104026	0.00472945363828941	0.0227325377391593	0.0305490621523086	0.00912266683396013	0.0107420772613511	0.0303242434849015	0.19318181818181798	0.0904332432968609	0.0513073507646769	0.0374505680748227	0.168529692375132
Candidatus Melainabacteria	2.15549759662018e-05	2.63827302823256e-05	3.57930090287865e-05	5.6506940381854e-05	5.50774526678141e-05	7.707030095952529e-05	5.89953098728651e-05	5.55931967825437e-05	5.88415774586323e-05	5.87805245427059e-05	4.4055333498874605e-05	4.96240027484063e-05	4.4701091925763704e-05	0.00019519727178988	4.74241871674587e-05	0.00016413105233255	2.88049225396857e-05	1.84929853984238e-05	1.6129552566211802e-05	1.88648634372536e-05	1.28740212649122e-05	8.58479632570717e-06	1.31356365303694e-05	0.00019091863684093	0.0	3.05208381022143e-05	0.0	7.06170359676103e-05	6.4464557386349e-05
Candidatus Margulisbacteria	2.15549759662018e-05	1.2527051788730099e-05	1.49137537619944e-05	3.32393766952082e-06	8.26161790017212e-06	2.14084169332015e-05	8.84929648092977e-06	1.0423724396726899e-05	2.1014849092368697e-05	2.20426967035147e-05	3.20402425446361e-05	2.29033858838798e-05	1.21912068888446e-05	1.9257129952364898e-05	1.22027148267145e-05	2.52509311280853e-05	1.4956402087913699e-05	3.03163695056128e-06	2.41943288493177e-06	4.52756722494086e-06	1.08934026087719e-05	3.63202921472227e-06	3.28390913259235e-06	3.18197728068222e-05	0.0	1.5260419051107097e-05	0.0	6.277069863787579e-05	1.2892911477269801e-05
Deinococcota	0.00140107343780312	0.00195877537060144	0.00269640668016859	0.00202095410306866	0.0023793459552495697	0.00199954614156102	0.00204418748709478	0.0019944059345737603	0.00204684630159671	0.0018846505681505102	0.00206259061381095	0.00211092873229759	0.00218628976873281	0.0009576045530857801	0.0013054131520305698	0.0049296704179603	0.00228389799290623	0.0027969882505878303	0.0016538167897889198	0.00141788313594398	0.0085864770290324	0.0202419591825953	0.0128651245155721	0.0052820822859324795	0.00145687645687646	0.0007782813716064599	0.00098667982239763	0.00145941874333061	0.0006317526623862201
Armatimonadota	0.0005819843510874401	0.00038264449100121003	0.00093956648700564	0.00063154815720895	0.0006223752151463	0.0005951539907430001	0.0005929028642222901	0.0006115251646079799	0.00062624250295258	0.00058413146264314	0.0006608300024831099	0.00059930526396152	0.0007558548271083599	0.00019607259587861998	0.00020883282419354	0.00023529276732987998	0.00019609504959709	0.00029982889441051	0.00014274654021097	0.00023618809023441	0.00034660826482455	0.00024466669528265	0.00021263311633535	0.00136825023069335	0.00029137529137528997	0.00012208335240885	0.00098667982239763	0.00034523884250831	0.00030298341971584
Mycoplasmatota	0.00032332463949302	0.00026249867611839	0.00043548160985023	0.00036563314364729	0.00031944922547332	0.00047098517253043	0.00049556060293206	0.00035440662948871	0.00034044055529637004	0.00042615880293461	0.0005246589716684099	0.00037027140512272	0.00026820655155458	0.0012289550205963802	0.00044900443873750994	0.00107890342092728	0.0002642297702198	9.458707285751179e-05	0.00015188661999849	0.00017770701357891998	0.00011735165537631	8.58479632570717e-05	0.0001169892628486	0.00079549432017055	0.0005827505827505799	0.00024416670481771003	0.0	0.0009258678049086599	0.00064464557386349
